,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2009-09,527.00M,,527.00M,1.254B,,1.254B,232.00M,631.00M,863.00M,126.00M,128.00M,,2.898B,,,,,,,7.498B,-4.498B,3.00B,3.643B,1.46B,5.103B,,,347.00M,8.622B,11.52B,,1.082B,21.00M,1.103B,768.00M,1.871B,475.00M,,,1.00M,476.00M,,476.00M,386.00M,2.733B,4.823B,,4.823B,338.00M,338.00M,603.00M,3.00M,993.00M,6.757B,9.49B,,105.00M,5.461B,454.00M,1.927B,,,-2.066B,2.027B,,AOR,Restated
2009-06,424.00M,,424.00M,1.191B,,1.191B,223.00M,610.00M,833.00M,162.00M,105.00M,,2.715B,,,,,,,7.382B,-4.405B,2.977B,3.639B,1.46B,5.099B,,,302.00M,8.547B,11.26B,,1.052B,0.00,1.052B,641.00M,1.693B,508.00M,,,1.00M,509.00M,,509.00M,374.00M,2.576B,4.808B,,4.808B,330.00M,330.00M,621.00M,4.00M,955.00M,6.714B,9.29B,,105.00M,5.246B,441.00M,1.755B,,,-2.069B,1.968B,,AOR,Restated
2009-03,304.00M,,304.00M,1.17B,,1.17B,206.00M,615.00M,821.00M,161.00M,116.00M,,2.572B,,,,,,,7.041B,-4.157B,2.884B,3.631B,1.46B,5.091B,,,286.00M,8.402B,10.97B,,1.058B,110.00M,1.168B,569.00M,1.737B,1.392B,,,1.00M,1.393B,,1.393B,323.00M,3.453B,4.06B,,4.06B,301.00M,301.00M,590.00M,5.00M,945.00M,5.896B,9.349B,,105.00M,5.027B,428.00M,1.767B,,,-2.173B,1.62B,,AOR,Restated
2008-12,255.00M,,255.00M,1.10B,,1.10B,203.00M,694.00M,897.00M,,,269.00M,2.521B,0.00,94.00M,1.579B,5.112B,,319.00M,7.104B,-4.171B,2.933B,3.637B,1.461B,5.098B,,,394.00M,8.425B,10.95B,,1.135B,51.00M,1.186B,637.00M,1.823B,1.387B,,,1.00M,1.388B,,1.388B,341.00M,3.552B,4.068B,,4.068B,300.00M,300.00M,631.00M,7.00M,940.00M,5.939B,9.491B,,105.00M,4.836B,438.00M,1.79B,,,-2.141B,1.448B,,AOR,Restated
2008-09,684.00M,,684.00M,1.243B,,1.243B,236.00M,671.00M,907.00M,128.00M,145.00M,,3.107B,,,,,,,7.499B,-4.432B,3.067B,3.652B,1.449B,5.101B,,,763.00M,8.931B,12.04B,,1.134B,,1.134B,709.00M,1.843B,1.539B,,,2.00M,1.541B,,1.541B,388.00M,3.772B,4.008B,,4.008B,708.00M,708.00M,,,931.00M,5.647B,9.419B,,105.00M,4.79B,424.00M,1.812B,-482.00M,-406.00M,-888.00M,2.619B,,,Restated
2008-06,556.00M,,556.00M,1.285B,,1.285B,248.00M,694.00M,942.00M,169.00M,85.00M,,3.037B,,,,,,,7.573B,-4.502B,3.071B,3.597B,1.449B,5.046B,,,839.00M,8.956B,11.99B,,1.206B,,1.206B,667.00M,1.873B,1.643B,,,2.00M,1.645B,,1.645B,365.00M,3.883B,4.008B,,4.008B,662.00M,662.00M,,,936.00M,5.606B,9.489B,,105.00M,4.59B,408.00M,1.915B,-322.00M,-361.00M,-683.00M,2.504B,,,Restated
2008-03,532.00M,,532.00M,1.36B,,1.36B,249.00M,644.00M,893.00M,174.00M,111.00M,,3.07B,,,,,7.498B,,7.498B,-4.446B,3.052B,3.598B,1.449B,5.047B,,,238.00M,8.862B,11.93B,,1.148B,82.00M,1.23B,622.00M,1.852B,1.374B,,,466.00M,1.84B,,1.84B,399.00M,4.091B,4.018B,,4.018B,666.00M,666.00M,,,923.00M,5.607B,9.698B,,105.00M,4.399B,388.00M,1.933B,,,-725.00M,2.234B,,,Restated
2007-12,524.00M,,524.00M,903.00M,108.00M,1.011B,234.00M,690.00M,924.00M,140.00M,103.00M,,2.702B,0.00,86.00M,1.614B,5.249B,,354.00M,7.303B,-4.313B,2.99B,3.515B,1.45B,4.965B,,,259.00M,8.695B,11.40B,,1.081B,,1.081B,694.00M,1.775B,1.489B,,,466.00M,1.955B,,1.955B,314.00M,4.044B,3.27B,,3.27B,647.00M,647.00M,490.00M,,420.00M,4.827B,8.871B,,105.00M,4.217B,388.00M,1.357B,,,-827.00M,2.526B,,,Restated
2007-09,576.00M,,576.00M,1.157B,,1.157B,227.00M,608.00M,835.00M,141.00M,163.00M,,2.872B,,,,,,,7.277B,-4.383B,2.894B,3.448B,1.412B,4.86B,,,646.00M,8.40B,11.27B,,1.014B,,1.014B,789.00M,1.803B,1.836B,,,466.00M,2.302B,,2.302B,386.00M,4.491B,2.588B,,2.588B,581.00M,581.00M,,,1.105B,4.274B,8.765B,,105.00M,4.19B,344.00M,1.148B,-371.00M,-613.00M,-984.00M,2.507B,,,
2007-06,574.00M,,574.00M,1.118B,,1.118B,219.00M,596.00M,815.00M,125.00M,149.00M,,2.781B,,,,,,,7.155B,-4.31B,2.845B,3.448B,1.412B,4.86B,,,637.00M,8.342B,11.12B,,971.00M,,971.00M,715.00M,1.686B,1.969B,,,466.00M,2.435B,,2.435B,341.00M,4.462B,2.588B,,2.588B,572.00M,572.00M,,,1.10B,4.26B,8.722B,,105.00M,4.011B,329.00M,1.044B,-382.00M,-618.00M,-1.00B,2.401B,,,
2007-03,236.00M,,236.00M,1.147B,,1.147B,206.00M,573.00M,779.00M,121.00M,114.00M,,2.397B,,,,,,,6.985B,-4.186B,2.799B,3.448B,1.42B,4.868B,,,621.00M,8.288B,10.68B,,942.00M,,942.00M,731.00M,1.673B,1.688B,,,2.00M,1.69B,,1.69B,353.00M,3.716B,3.052B,,3.052B,599.00M,599.00M,,,1.043B,4.694B,8.41B,,105.00M,3.831B,312.00M,949.00M,-416.00M,-608.00M,-1.024B,2.275B,,,
2006-12,411.00M,,411.00M,945.00M,,945.00M,201.00M,623.00M,824.00M,131.00M,116.00M,,2.427B,0.00,78.00M,1.521B,4.992B,,327.00M,6.918B,-4.102B,2.816B,3.448B,1.42B,4.868B,,,603.00M,8.287B,10.71B,,910.00M,,910.00M,801.00M,1.711B,1.268B,,,723.00M,1.991B,,1.991B,318.00M,4.02B,3.053B,,3.053B,619.00M,619.00M,,,953.00M,4.625B,8.645B,,105.00M,3.63B,292.00M,912.00M,-410.00M,-637.00M,-1.047B,2.069B,,,Restated
2006-09,462.70M,,462.70M,1.076B,,1.076B,200.60M,554.80M,755.40M,182.90M,167.00M,,2.644B,,,,,,,6.778B,-4.080B,2.697B,3.448B,1.437B,4.885B,,,862.60M,8.445B,11.09B,,915.70M,,915.70M,831.00M,1.747B,1.207B,,,775.10M,1.982B,,1.982B,388.10M,4.117B,3.053B,,3.053B,910.70M,910.70M,,,541.90M,4.506B,8.622B,,104.60M,3.754B,77.30M,881.50M,,,-587.40M,2.467B,,,
2006-06,315.10M,,315.10M,1.057B,,1.057B,197.50M,522.20M,719.70M,204.20M,182.90M,,2.479B,,,,,,,6.656B,-3.994B,2.662B,3.449B,1.437B,4.886B,,,868.20M,8.416B,10.90B,,878.10M,,878.10M,681.70M,1.560B,1.544B,,,773.90M,2.318B,,2.318B,341.50M,4.219B,3.054B,,3.054B,929.00M,929.00M,,,524.50M,4.507B,8.726B,,104.60M,3.588B,68.60M,984.90M,-457.40M,-150.20M,-607.60M,2.169B,,,
2006-03,260.60M,,260.60M,1.028B,,1.028B,193.10M,513.00M,706.10M,213.70M,201.80M,,2.410B,,,,,,,6.492B,-3.861B,2.631B,3.456B,1.438B,4.894B,,,853.30M,8.378B,10.79B,,832.20M,,832.20M,724.90M,1.557B,1.698B,,,83.60M,1.782B,,1.782B,375.70M,3.715B,3.714B,,3.714B,941.10M,941.10M,,,494.90M,5.150B,8.865B,,104.60M,3.431B,68.70M,1.095B,,,-586.70M,1.923B,,,
2005-12,219.00M,,219.00M,879.00M,,879.00M,189.00M,528.00M,717.00M,174.00M,208.00M,,2.197B,0.00,76.00M,1.459B,4.692B,,237.00M,6.464B,-3.816B,2.648B,3.455B,1.438B,4.893B,,,837.00M,8.378B,10.58B,,883.00M,,883.00M,746.00M,1.629B,1.111B,,,84.00M,1.195B,,1.195B,339.00M,3.163B,3.703B,,3.703B,946.00M,946.00M,,,479.00M,5.128B,8.291B,,105.00M,3.266B,59.00M,570.00M,-420.00M,-157.00M,-577.00M,2.284B,,,
2005-09,463.50M,,463.50M,1.026B,,1.026B,191.40M,485.30M,676.70M,,,254.20M,2.420B,,,,,,,6.449B,-3.842B,2.606B,,4.886B,4.886B,,,794.30M,8.286B,10.71B,,818.10M,,818.10M,390.30M,1.208B,1.026B,,,284.30M,1.310B,,1.310B,835.00M,3.354B,3.163B,,3.163B,918.60M,918.60M,,,611.60M,4.693B,8.047B,,104.60M,3.186B,66.70M,205.70M,,,-491.50M,2.660B,,,
2005-06,303.20M,,303.20M,938.80M,,938.80M,680.30M,,680.30M,,,308.50M,2.231B,,,,,,,6.390B,-3.786B,2.605B,,4.886B,4.886B,,,812.80M,8.304B,10.53B,,753.50M,,753.50M,365.30M,1.119B,1.22B,,,277.50M,1.498B,,1.498B,736.10M,3.352B,3.170B,,3.170B,925.60M,925.60M,,,609.60M,4.705B,8.057B,,104.50M,3.027B,73.70M,242.40M,,,-485.10M,2.477B,,,
2005-03,265.30M,,265.30M,949.30M,,949.30M,186.80M,456.70M,643.50M,,,259.00M,2.117B,,,,,,,6.406B,-3.769B,2.637B,,4.887B,4.887B,,,844.50M,8.368B,10.49B,,735.90M,,735.90M,374.60M,1.110B,661.10M,,,277.40M,938.50M,,938.50M,689.90M,2.739B,3.892B,,3.892B,947.50M,947.50M,,,616.30M,5.456B,8.195B,,103.80M,2.846B,,197.50M,,,-461.90M,2.291B,,,
2004-12,417.40M,,417.40M,776.40M,,776.40M,188.00M,493.00M,681.00M,,,247.00M,2.122B,0.00,78.30M,1.505B,4.751B,,159.60M,6.494B,-3.779B,2.715B,,4.888B,4.888B,,,837.30M,8.440B,10.56B,,726.30M,,726.30M,322.00M,1.048B,750.60M,,,278.60M,1.029B,,1.029B,768.50M,2.846B,3.893B,,3.893B,959.10M,959.10M,,,607.00M,5.459B,8.305B,,103.80M,2.701B,,108.00M,,,-439.90M,2.257B,,,
2004-09,423.00M,,423.00M,920.60M,,920.60M,192.70M,448.60M,641.30M,,,256.30M,2.241B,,,,,,,6.304B,-3.656B,2.648B,,5.119B,5.119B,,,460.10M,8.228B,10.47B,,797.60M,,797.60M,387.90M,1.186B,544.70M,,,78.60M,623.30M,,623.30M,880.30M,2.689B,4.271B,,4.271B,1.050B,1.050B,,,587.40M,5.909B,8.598B,,103.80M,2.622B,,115.70M,,,-738.80M,1.871B,,,
2004-06,211.30M,,211.30M,899.10M,,899.10M,198.90M,421.10M,620.00M,,,297.30M,2.028B,,,,,,,6.267B,-3.591B,2.676B,,5.131B,5.131B,,,460.20M,8.267B,10.29B,,732.60M,,732.60M,395.70M,1.128B,677.40M,,,78.80M,756.20M,,756.20M,764.90M,2.649B,4.264B,,4.264B,1.064B,1.064B,,,583.30M,5.911B,8.561B,,103.80M,2.467B,,98.30M,,,-738.60M,1.734B,,,
2004-03,196.10M,,196.10M,873.80M,,873.80M,191.00M,433.70M,624.70M,,,278.20M,1.973B,,,,,,,6.247B,-3.511B,2.736B,,5.132B,5.132B,,,464.30M,8.332B,10.30B,,710.70M,,710.70M,,710.70M,769.00M,,,78.70M,847.70M,,847.70M,1.267B,2.826B,4.263B,,4.263B,1.063B,1.063B,,,580.40M,5.907B,8.733B,,103.80M,2.363B,1.00M,164.40M,,,-731.80M,1.572B,,,
2003-12,141.20M,,141.20M,754.80M,,754.80M,185.30M,464.50M,649.80M,92.10M,150.00M,,1.788B,0.00,75.10M,1.418B,4.555B,,171.60M,6.220B,-3.439B,2.780B,,5.133B,5.133B,,,441.80M,8.355B,10.14B,,703.80M,,703.80M,835.50M,1.539B,320.80M,,,578.10M,898.90M,,898.90M,327.80M,2.766B,4.265B,,4.265B,1.063B,1.063B,,,605.30M,5.934B,8.700B,,103.80M,2.248B,24.50M,203.60M,,,-729.20M,1.443B,,,
2003-09,341.90M,,341.90M,842.40M,,842.40M,183.60M,401.40M,585.00M,,,283.20M,2.052B,,,,,,,6.053B,-3.337B,2.716B,,5.128B,5.128B,,,491.50M,8.336B,10.39B,,623.60M,,623.60M,371.20M,994.80M,285.90M,,,577.80M,863.70M,,863.70M,956.10M,2.815B,4.518B,,4.518B,1.000B,1.000B,,,837.50M,6.356B,9.171B,,103.80M,2.163B,25.30M,254.10M,,,-820.60M,1.218B,,,
2003-06,160.70M,,160.70M,829.10M,,829.10M,183.00M,406.90M,589.90M,,,301.90M,1.882B,,,,,,,6.018B,-3.256B,2.762B,,5.129B,5.129B,,,491.00M,8.382B,10.26B,,605.10M,,605.10M,360.10M,965.20M,484.60M,,,577.30M,1.062B,,1.062B,803.90M,2.831B,4.519B,,4.519B,999.80M,999.80M,,,831.40M,6.350B,9.181B,,103.80M,2.035B,29.70M,261.90M,,,-824.50M,1.082B,,,
2003-03,136.80M,,136.80M,811.10M,,811.10M,179.00M,417.20M,596.20M,,,322.40M,1.866B,,,,,,,5.867B,-3.091B,2.776B,,5.128B,5.128B,,,487.60M,8.392B,10.26B,,583.30M,,583.30M,346.30M,929.60M,431.40M,,,1.276B,1.707B,,1.707B,881.60M,3.518B,4.019B,,4.019B,985.60M,985.60M,,,825.80M,5.830B,9.349B,,103.80M,1.934B,44.60M,321.00M,,,-852.40M,909.00M,,,
2002-12,100.60M,,100.60M,741.00M,,741.00M,172.20M,431.00M,603.20M,,,318.60M,1.763B,0.00,62.60M,1.346B,4.285B,,159.60M,5.853B,-3.012B,2.840B,,5.133B,5.133B,,,483.10M,8.456B,10.22B,,619.00M,,619.00M,,619.00M,420.90M,,,776.40M,1.197B,,1.197B,1.199B,3.015B,4.519B,,4.519B,986.40M,986.40M,,,803.50M,6.309B,9.324B,,103.80M,1.873B,49.90M,278.20M,,,-853.40M,895.10M,,,
2002-09,461.20M,,461.20M,810.80M,,810.80M,182.50M,402.00M,584.50M,,,234.70M,2.091B,,,,,,,5.756B,-2.948B,2.808B,,5.113B,5.113B,,,437.30M,8.358B,10.45B,,572.90M,,572.90M,,572.90M,418.80M,,,778.50M,1.197B,,1.197B,1.303B,3.073B,4.594B,,4.594B,,,,,1.688B,6.282B,9.355B,,103.80M,1.785B,54.30M,281.90M,,,-566.60M,1.094B,,,
2002-06,196.30M,,196.30M,826.70M,,826.70M,180.70M,375.10M,555.80M,,,278.20M,1.857B,,,,,,,5.718B,-2.872B,2.847B,3.110B,2.004B,5.114B,,,429.40M,8.391B,10.25B,,579.20M,,579.20M,,579.20M,111.50M,,,1.077B,1.189B,,1.189B,1.150B,2.918B,4.592B,,4.592B,1.214B,1.214B,,,458.10M,6.264B,9.182B,,103.80M,1.685B,57.90M,209.00M,,,-572.30M,1.065B,,,
2002-03,261.00M,,261.00M,814.50M,,814.50M,179.60M,355.70M,535.30M,,,278.90M,1.890B,,,,,,,5.589B,-2.727B,2.862B,3.138B,2.004B,5.142B,,,416.90M,8.422B,10.31B,,512.60M,,512.60M,,512.60M,385.70M,,,77.90M,463.60M,,463.60M,1.13B,2.106B,5.592B,,5.592B,1.197B,1.197B,,,474.30M,7.263B,9.369B,,103.80M,1.614B,71.80M,276.90M,,,-570.80M,942.30M,,,
2001-12,231.80M,,231.80M,762.30M,,762.30M,170.70M,403.80M,574.50M,,,333.40M,1.902B,0.00,65.70M,1.279B,4.074B,,192.70M,5.612B,-2.659B,2.953B,,5.121B,5.121B,,,393.20M,8.467B,10.37B,,577.50M,,577.50M,,577.50M,513.30M,,,82.30M,595.60M,,595.60M,1.034B,2.208B,5.619B,,5.619B,949.80M,949.80M,,,720.70M,7.290B,9.497B,,103.80M,1.565B,91.50M,337.10M,,,-551.40M,871.50M,,,
2001-09,327.00M,,327.00M,901.00M,,901.00M,172.10M,363.60M,535.70M,,,306.80M,2.070B,,,,,,,5.609B,-2.654B,2.955B,3.074B,2.064B,5.138B,,,424.60M,8.517B,10.59B,,529.10M,,529.10M,,529.10M,1.016B,,,8.30M,1.025B,,1.025B,1.159B,2.713B,5.329B,,5.329B,1.192B,1.192B,,,481.70M,7.003B,9.716B,,103.80M,1.542B,91.50M,342.00M,,,-523.10M,872.00M,,,
2001-06,240.60M,,240.60M,896.60M,,896.60M,176.20M,360.30M,536.50M,,,329.50M,2.003B,,,,,,,5.556B,-2.588B,2.968B,3.084B,2.084B,5.168B,,,399.80M,8.536B,10.54B,,490.00M,,490.00M,,490.00M,613.80M,,,633.40M,1.247B,,1.247B,1.043B,2.780B,5.287B,,5.287B,1.189B,1.189B,,,483.90M,6.959B,9.740B,,103.80M,1.494B,98.40M,360.70M,,,-536.60M,799.20M,,,
2001-03,346.00M,,346.00M,956.30M,,956.30M,176.00M,375.60M,551.60M,,,342.30M,2.196B,,,,,,,5.515B,-2.513B,3.002B,3.088B,2.097B,5.185B,,,384.70M,8.572B,10.77B,,505.00M,,505.00M,,505.00M,898.30M,,,502.70M,1.401B,,1.401B,979.50M,2.886B,5.417B,,5.417B,1.197B,1.197B,,,486.70M,7.101B,9.986B,,103.80M,1.482B,100.10M,364.50M,,,-540.10M,781.70M,,,
2000-12,204.40M,,204.40M,685.30M,,685.30M,,,443.80M,,,273.30M,1.607B,,,,,,,5.035B,-2.508B,2.527B,,407.40M,407.40M,,,355.20M,3.290B,4.896B,,388.20M,,388.20M,,388.20M,,,,,1.386B,,1.386B,718.10M,2.493B,709.20M,,709.20M,,,,,797.00M,1.506B,3.999B,,103.80M,1.501B,102.00M,374.00M,,,-435.30M,897.50M,,,
2000-09,216.30M,,216.30M,,,822.30M,,,467.10M,,,212.60M,1.718B,,,,,,,5.119B,-2.584B,2.536B,,,,,,745.50M,3.281B,4.999B,,394.30M,,394.30M,,394.30M,,,,,1.485B,,1.485B,717.10M,2.596B,709.10M,,709.10M,372.50M,372.50M,,,413.10M,1.495B,4.091B,,103.80M,1.511B,102.00M,374.00M,,,-433.80M,908.60M,,,
2000-06,172.30M,,172.30M,,,785.10M,,,487.00M,,,243.30M,1.688B,,,,,,,5.156B,-2.562B,2.594B,,,,,,743.30M,3.337B,5.025B,,410.30M,,410.30M,,410.30M,,,,,1.016B,,1.016B,736.10M,2.163B,1.212B,,1.212B,369.20M,369.20M,,,415.80M,1.997B,4.160B,,103.80M,1.431B,101.90M,374.10M,,,-397.70M,864.90M,,,
2000-03,148.30M,,148.30M,,,760.60M,,,485.20M,,,218.70M,1.613B,,,,,,,5.199B,-2.547B,2.652B,,,,,,709.00M,3.361B,4.974B,,356.20M,,356.20M,,356.20M,,,,,982.10M,,982.10M,764.40M,2.103B,1.212B,,1.212B,380.40M,380.40M,,,423.00M,2.016B,4.118B,,103.80M,1.380B,103.10M,376.50M,,,-354.40M,855.70M,,,
1999-12,150.60M,,150.60M,,,678.50M,,,503.80M,,,236.30M,1.569B,,,,,,,5.157B,-2.516B,2.641B,,335.60M,335.60M,,,263.00M,3.240B,4.809B,,305.30M,,305.30M,,305.30M,,,,,521.50M,,521.50M,761.00M,1.588B,1.613B,,1.613B,251.30M,251.30M,,,543.60M,2.408B,3.996B,,103.80M,1.317B,104.50M,380.90M,,,-331.40M,813.20M,,,
1999-09,150.80M,,150.80M,,,804.40M,,,486.40M,,,244.80M,1.686B,,,,,,,5.160B,-2.518B,2.643B,,,,,,551.60M,3.194B,4.881B,,400.30M,,400.30M,,400.30M,,,,,521.30M,,521.30M,719.30M,1.641B,1.611B,,1.611B,385.50M,385.50M,,,430.20M,2.426B,4.067B,,103.80M,1.315B,105.00M,386.50M,,,-323.80M,813.30M,,,
1999-06,140.20M,,140.20M,,,732.50M,,,480.40M,,,216.40M,1.570B,,,,,,,5.265B,-2.438B,2.827B,,,,,,662.00M,3.489B,5.058B,,406.50M,,406.50M,,406.50M,,,,,630.70M,,630.70M,647.90M,1.685B,1.611B,,1.611B,390.70M,390.70M,,,430.90M,2.433B,4.118B,,,1.450B,,,,,,940.00M,,,
1999-03,140.40M,,140.40M,,,724.00M,,,473.60M,,,236.50M,1.574B,,,,,,,5.225B,-2.380B,2.844B,,,,,,672.00M,3.516B,5.091B,,397.80M,,397.80M,,397.80M,,,,,626.90M,,626.90M,737.40M,1.762B,1.611B,,1.611B,398.70M,398.70M,,,435.50M,2.445B,4.208B,,,1.391B,,,,,,883.50M,,,
1998-12,136.40M,,136.40M,,,693.00M,,,451.40M,,,215.70M,1.496B,,,,,,,5.247B,-2.358B,2.889B,,379.50M,379.50M,,,286.70M,3.555B,5.052B,,386.90M,,386.90M,,386.90M,,,,,621.50M,,621.50M,710.10M,1.718B,1.614B,,1.614B,259.20M,259.20M,,,569.50M,2.443B,4.162B,,103.80M,1.368B,105.00M,394.30M,,,-292.40M,889.80M,,,
1998-09,204.20M,,204.20M,,,737.90M,,,437.80M,,,240.10M,1.62B,,,,,,,5.164B,-2.322B,2.841B,,,,,,656.70M,3.498B,5.118B,,393.90M,,393.90M,,393.90M,,,,,798.90M,,798.90M,750.80M,1.944B,1.416B,,1.416B,367.20M,367.20M,,,435.40M,2.218B,4.162B,,,1.416B,,,,,,956.10M,,,
1998-06,192.60M,,192.60M,,,675.50M,,,447.90M,,,230.40M,1.546B,,,,,,,5.059B,-2.246B,2.813B,,,,,,648.60M,3.461B,5.008B,,374.00M,,374.00M,,374.00M,,,,,745.50M,,745.50M,687.00M,1.806B,1.414B,,1.414B,357.50M,357.50M,,,437.10M,2.209B,4.015B,,,1.370B,,,,,,992.60M,,,
1998-03,165.20M,,165.20M,,,653.20M,,,451.10M,,,308.10M,1.578B,,,,,,,5.027B,-2.231B,2.796B,,,,,,658.30M,3.455B,5.032B,,344.80M,,344.80M,,344.80M,,,,,656.50M,,656.50M,761.40M,1.763B,1.418B,,1.418B,,,,,819.70M,2.237B,4.000B,,,1.319B,,,,,,1.032B,,,
1997-12,173.00M,,173.00M,588.00M,,588.00M,,,434.00M,,,273.00M,1.468B,,,,,,,4.86B,-2.087B,2.773B,,,,,,637.00M,3.41B,4.878B,,328.00M,,328.00M,,328.00M,,,,,580.00M,,580.00M,749.00M,1.657B,1.415B,,1.415B,363.00M,363.00M,,,445.00M,2.223B,3.88B,,,1.24B,,,,,,998.00M,,,
1997-09,274.40M,,274.40M,,,664.20M,,,440.30M,,,294.60M,1.674B,,,,,,,5.062B,-2.194B,2.868B,,,,,,628.00M,3.496B,5.170B,,371.90M,,371.90M,,371.90M,,,,,787.30M,,787.30M,791.00M,1.950B,1.219B,,1.219B,368.00M,368.00M,,,444.90M,2.032B,3.982B,,,1.318B,,,,,,1.188B,,,
1997-06,203.20M,,203.20M,,,630.80M,,,449.10M,,,322.30M,1.605B,,,,,,,5.038B,-2.159B,2.879B,,,,,,606.60M,3.485B,5.091B,,324.50M,,324.50M,,324.50M,,,,,758.80M,,758.80M,833.10M,1.916B,1.22B,,1.22B,358.20M,358.20M,,,447.00M,2.025B,3.942B,,,4.300B,,,,,,1.149B,,,
1997-03,226.30M,,226.30M,,,680.00M,,,406.90M,,,318.70M,1.632B,,,,,,,4.986B,-2.105B,2.881B,,,,,,622.20M,3.503B,5.135B,,299.70M,,299.70M,,299.70M,,,,,1.230B,,1.230B,862.00M,2.392B,721.90M,,721.90M,359.30M,359.30M,,,451.20M,1.532B,3.925B,,,4.223B,,,,,,1.210B,,,
1996-12,243.80M,,243.80M,,,592.30M,,,424.90M,,,267.60M,1.529B,,,,,,,5.020B,-2.087B,2.933B,,,,,,588.50M,3.521B,5.05B,,335.20M,,335.20M,,335.20M,,,,,1.154B,,1.154B,710.00M,2.199B,726.70M,,726.70M,347.70M,347.70M,,,494.20M,1.569B,3.768B,,,4.150B,,,,,,1.282B,,,
1996-09,300.40M,,300.40M,,,643.50M,,,382.30M,,,281.10M,1.607B,,,,,,,4.836B,-2.062B,2.774B,,,,,,251.20M,3.025B,4.633B,,330.30M,,330.30M,,330.30M,,,,,1.072B,,1.072B,743.10M,2.145B,224.10M,,224.10M,336.50M,336.50M,,,567.60M,1.128B,3.273B,,,4.151B,,,,,,1.360B,,,
1996-06,254.30M,,254.30M,,,634.80M,,,383.50M,,,310.30M,1.583B,,,,,,,4.774B,-2.028B,2.746B,,,,,,253.70M,3.000B,4.582B,,352.00M,,352.00M,,352.00M,,,,,538.30M,,538.30M,733.60M,1.624B,719.80M,,719.80M,323.10M,323.10M,,,561.20M,1.604B,3.228B,,,4.081B,,,,,,1.354B,,,
1996-03,223.10M,,223.10M,,,658.80M,,,382.40M,,,269.10M,1.533B,,,,,,,4.762B,-2.013B,2.750B,,,,,,257.20M,3.007B,4.540B,,343.30M,,343.30M,,343.30M,,,,,354.40M,,354.40M,768.30M,1.466B,722.10M,,722.10M,296.30M,296.30M,,,553.70M,1.572B,3.038B,,,4.085B,,,,,,1.502B,,,
1995-12,221.90M,,221.90M,,,590.10M,,,376.70M,,,240.10M,1.429B,,,,,,,4.738B,-1.953B,2.785B,,,,,,201.00M,2.986B,4.415B,,370.80M,,370.80M,,370.80M,,,,,189.90M,,189.90M,704.70M,1.265B,717.80M,,717.80M,,,,,840.50M,1.558B,2.824B,,,3.963B,,,,,,1.591B,,,
1995-09,463.50M,,463.50M,,,658.90M,,,399.30M,,,221.50M,1.743B,,,,,,,4.808B,-1.888B,2.92B,,3.60M,3.60M,,,173.20M,3.097B,4.84B,,388.00M,,388.00M,,388.00M,,,,,336.80M,,336.80M,716.00M,1.441B,718.20M,,718.20M,297.20M,297.20M,,,520.30M,1.536B,2.976B,,,4.119B,,,,,,1.864B,,,
1995-06,377.10M,,377.10M,,,648.60M,,,408.70M,,,212.30M,1.647B,,,,,,,4.781B,-1.858B,2.923B,,3.60M,3.60M,,,173.90M,3.101B,4.747B,,353.70M,,353.70M,,353.70M,,,,,343.80M,,343.80M,675.30M,1.373B,718.50M,,718.50M,286.90M,286.90M,,,511.50M,1.517B,2.890B,,,3.974B,,,,,,1.858B,,,
1995-03,294.90M,,294.90M,,,625.80M,,,426.50M,,,215.10M,1.562B,,,,,,,4.734B,-1.803B,2.930B,,3.50M,3.50M,,,195.90M,3.130B,4.692B,,335.50M,,335.50M,,335.50M,,,,,326.20M,,326.20M,681.80M,1.344B,718.90M,,718.90M,282.20M,282.20M,,,495.70M,1.497B,2.840B,,,3.918B,,,,,,1.852B,,,
