,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2006-09,281.00M,,,,140.00M,85.00M,85.00M,4.00M,,,-82.00M,-188.00M,-39.00M,33.00M,91.00M,285.00M,182.00M,610.00M,,-100.00M,,-100.00M,,0.00,6.00M,-94.00M,,,,-346.00M,81.00M,0.00,81.00M,,-116.00M,8.00M,-373.00M,,315.00M,143.00M,4.00M,463.00M,,81.00M,,,0.00,,,,,
2006-06,267.00M,,,,-22.00M,92.00M,92.00M,7.00M,,,43.00M,,,,,-49.00M,-49.00M,338.00M,,-99.00M,,-99.00M,,0.00,-1.00M,-100.00M,,,,-154.00M,78.00M,0.00,78.00M,,-109.00M,5.00M,-180.00M,,261.00M,58.00M,-4.00M,315.00M,,78.00M,,,0.00,,,,,
2006-03,274.00M,,,,22.00M,81.00M,81.00M,-9.00M,,,1.00M,,,,,-205.00M,-205.00M,164.00M,,-63.00M,,-63.00M,,-2.00M,2.00M,-63.00M,,,,587.00M,38.00M,-580.00M,-542.00M,,-109.00M,2.00M,-62.00M,,219.00M,39.00M,3.00M,261.00M,,38.00M,,,-580.00M,,,,,
2005-12,192.00M,,,,27.40M,100.20M,100.20M,2.90M,,,,,,,,54.80M,82.80M,8.30M,,-154.00M,,-144.00M,-19.80M,,-8.40M,-172.20M,,,,417.40M,15.30M,-400.90M,-385.60M,,-112.20M,0.70M,-79.70M,,463.50M,-243.60M,-0.50M,219.00M,,15.30M,,,-400.90M,,,,,
2005-09,274.30M,,,,117.50M,97.00M,97.00M,11.80M,,,,,,,,46.70M,46.70M,547.30M,,-107.00M,,-107.00M,-0.20M,,6.10M,-101.10M,,,,90.30M,-262.70M,0.00,-262.70M,,-114.80M,2.20M,-285.00M,,303.20M,161.20M,-0.90M,463.50M,,-262.70M,,,0.00,,,,,
2005-06,259.00M,,,,58.50M,93.20M,93.20M,-54.80M,,,,,,,,21.50M,21.50M,377.40M,,-72.40M,,-72.40M,-30.00M,,-0.40M,-102.80M,,,,-449.90M,324.00M,-2.80M,321.20M,,-104.00M,3.80M,-228.90M,,265.30M,45.70M,-7.80M,303.20M,,324.00M,,,-2.80M,,,,,
2005-03,254.70M,,,,-4.40M,101.60M,101.60M,-18.90M,,,,,,,,-123.00M,-123.00M,210.00M,,-40.60M,,-40.60M,,,1.70M,-38.90M,,,,-91.80M,145.40M,-260.30M,-114.90M,,-104.00M,-0.70M,-311.40M,,417.40M,-140.30M,-11.80M,265.30M,,145.40M,,,-260.30M,,,,,
2004-12,186.40M,,,,25.50M,98.80M,98.80M,50.10M,,,-204.00M,,,,,72.90M,43.10M,199.90M,,-109.10M,,-101.20M,,,-0.70M,-101.90M,,,,-14.20M,49.80M,-68.20M,-18.40M,,-104.50M,-4.00M,-141.10M,,423.00M,-43.10M,37.50M,417.40M,,49.80M,,,-68.20M,,,,,
2004-09,247.00M,,,,20.20M,113.30M,113.30M,16.50M,,,126.80M,,,,,15.80M,15.80M,539.60M,,-68.40M,,-68.40M,,,0.20M,-68.20M,,,,-126.20M,39.80M,-66.50M,-26.70M,,-104.90M,-1.00M,-258.80M,,211.30M,212.60M,-0.90M,423.00M,,39.80M,,,-66.50M,,,,,
2004-06,237.40M,,,,30.40M,112.40M,112.40M,-16.10M,,,-16.50M,,,,,-111.70M,-111.70M,235.90M,,-58.90M,,-58.90M,,,0.40M,-58.50M,,,,-91.90M,114.50M,-80.60M,33.90M,,-104.20M,-1.70M,-163.90M,,196.10M,13.50M,1.70M,211.30M,,114.50M,,,-80.60M,,,,,
2004-03,219.80M,,,,28.40M,85.50M,85.50M,7.20M,,,-110.30M,,,,,23.00M,23.00M,253.60M,,-42.20M,,-42.20M,,,0.40M,-41.80M,,,,-54.00M,87.70M,-82.20M,5.50M,,-104.00M,,-152.50M,,141.20M,59.30M,-4.40M,196.10M,,87.70M,,,-82.20M,,,,,
2003-12,188.00M,,,,,100.80M,100.80M,17.30M,,,76.10M,,,,,-54.40M,-194.20M,188.00M,,-126.00M,13.80M,-112.20M,,,-7.90M,-120.10M,,,,-210.20M,41.20M,-13.70M,27.50M,,-103.60M,-0.60M,-286.90M,,341.90M,-219.00M,18.30M,141.20M,,41.20M,,,-13.70M,,,,,
2003-09,231.30M,,,,11.70M,88.30M,88.30M,19.60M,,,,,,,,171.70M,171.70M,522.60M,,-52.70M,0.00,-52.70M,,,1.80M,-50.90M,,,,-201.40M,22.40M,-14.30M,8.10M,,-103.20M,2.50M,-294.00M,,160.70M,177.70M,3.50M,341.90M,,22.40M,,,-14.30M,,,,,
2003-06,203.90M,,,,-39.70M,98.00M,98.00M,24.50M,,,46.80M,,,,,-61.40M,-61.40M,272.10M,,-38.60M,-0.30M,-38.90M,,,5.30M,-33.60M,,,,-156.90M,43.30M,0.00,43.30M,,-102.70M,-4.90M,-221.20M,,136.80M,17.30M,6.60M,160.70M,,43.30M,,,0.00,,,,,
2003-03,163.90M,,,,28.00M,85.70M,85.70M,13.40M,,,-46.80M,,,,,-55.90M,-55.90M,188.30M,,-29.90M,14.30M,-15.60M,,,1.20M,-14.40M,,,,10.50M,14.70M,-62.00M,-47.30M,,-102.90M,2.40M,-137.30M,,100.60M,36.60M,-0.40M,136.80M,,14.70M,,,-62.00M,,,,,
2002-12,191.00M,,,,-424.40M,88.00M,88.00M,67.40M,,,,,,,,-257.90M,7.40M,-70.60M,,-117.50M,5.90M,-111.60M,0.00,,1.90M,-109.70M,,,,-80.60M,9.50M,-18.20M,-8.70M,,-102.60M,,-191.90M,,461.20M,-372.20M,11.60M,100.60M,,9.50M,,,-18.20M,,,,,
2002-09,203.50M,,,,25.90M,90.60M,90.60M,43.30M,,,,,,,,143.50M,143.50M,506.80M,,-50.40M,-4.10M,-54.50M,0.00,,-0.70M,-55.20M,,,,0.10M,9.90M,-82.40M,-72.50M,,-103.80M,,-176.20M,,196.30M,275.40M,-10.50M,461.20M,,9.90M,,,-82.40M,,,,,
2002-06,173.80M,,,,-37.30M,82.80M,82.80M,-10.90M,,,,,,,,67.80M,67.80M,276.20M,,-52.70M,65.10M,12.40M,-2.20M,,-0.80M,9.40M,,,,-298.60M,39.50M,0.00,39.50M,,-103.30M,,-362.40M,,261.00M,-76.80M,12.10M,196.30M,,39.50M,,,0.00,,,,,
2002-03,152.60M,,,,-10.10M,87.00M,87.00M,11.40M,,,,,,,,46.60M,46.60M,287.50M,,-32.90M,,-32.90M,,,-0.40M,-33.30M,,,,-152.60M,42.00M,-0.40M,41.60M,,-102.90M,,-213.90M,,231.80M,40.30M,-11.10M,261.00M,,42.00M,,,-0.40M,,,,,
2001-12,124.60M,,,,-30.70M,119.00M,119.00M,64.50M,,,,,,,,-259.60M,-0.20M,277.20M,,-122.60M,,-112.50M,-0.30M,,-16.40M,-129.20M,,,,-146.90M,5.00M,,5.00M,,-101.50M,0.00,-243.40M,,327.00M,-95.40M,0.20M,231.80M,,5.00M,,,,,,,,
2001-09,150.30M,,,,-18.50M,134.50M,134.50M,27.00M,,,,,,,,142.80M,142.80M,436.10M,,-75.10M,,-75.10M,-4.00M,,-3.90M,-83.00M,,,,-178.90M,11.80M,,11.80M,,-102.90M,0.00,-270.00M,,240.60M,83.10M,3.30M,327.00M,,11.80M,,,,,,,,
2001-06,114.60M,,,,-21.40M,114.60M,114.60M,6.00M,,,,,,,,126.00M,126.00M,339.80M,,-51.40M,,-51.40M,-10.90M,,2.70M,-59.60M,,,,-285.30M,2.00M,,2.00M,,-102.70M,0.00,-386.00M,,346.00M,-105.80M,0.40M,240.60M,,2.00M,,,,,,,,
2001-03,84.10M,,,,-40.50M,70.50M,70.50M,-26.00M,,,,,,,,-9.20M,-9.20M,78.90M,,-27.40M,,-27.40M,-3.843B,,-1.80M,-3.872B,,,,4.034B,7.60M,,7.60M,,-102.70M,0.60M,3.940B,,204.40M,146.50M,-4.90M,346.00M,,7.60M,,,,,,,,
2000-12,93.20M,,,,4.30M,73.30M,73.30M,-35.50M,,,,,,,,88.50M,115.50M,250.80M,,-58.40M,,-53.60M,-1.90M,,-11.30M,-66.80M,,,,-96.40M,0.00,,0.00,,-102.70M,,-199.10M,,216.30M,-15.10M,3.20M,204.40M,,0.00,,,,,,,,
2000-09,181.90M,,,,-60.90M,74.10M,74.10M,25.10M,,,,,,,,18.00M,18.00M,238.20M,,-45.10M,,-45.10M,-10.60M,,-1.30M,-57.00M,,,,-33.50M,0.30M,,0.30M,,-102.40M,,-135.60M,,172.30M,45.60M,-1.60M,216.30M,,0.30M,,,,,,,,
2000-06,150.90M,,,,67.60M,74.30M,74.30M,-6.30M,,,13.50M,,,,,-106.50M,-106.50M,193.50M,,-57.30M,,-57.30M,-32.10M,,-6.40M,-95.80M,,,,27.10M,1.20M,,1.20M,,-99.60M,,-71.30M,,148.30M,26.40M,-2.40M,172.30M,,1.20M,,,,,,,,
2000-03,161.70M,,,,-34.00M,68.90M,68.90M,15.30M,,,-13.50M,,,,,,,198.40M,,-70.10M,,-70.10M,-92.60M,,3.00M,-159.70M,,,,60.40M,3.00M,,3.00M,,-99.20M,,-35.80M,,150.60M,2.90M,-5.20M,148.30M,,3.00M,,,,,,,,
1999-12,100.90M,,,,58.30M,72.80M,72.80M,-33.40M,,,,,,,,194.00M,47.20M,245.80M,,-386.70M,311.80M,-74.90M,,,-29.80M,-104.70M,,,,-47.90M,5.10M,,5.10M,,-98.40M,,-141.20M,,150.80M,-0.10M,-0.10M,150.60M,,5.10M,,,,,,,,
1999-09,-35.60M,,,,275.20M,74.60M,74.60M,-37.80M,,,167.40M,,,,,-194.00M,-194.00M,249.80M,,-62.40M,16.00M,-46.40M,,,13.80M,-32.60M,,,,-110.00M,3.40M,,3.40M,,-99.50M,,-206.10M,,0.00,11.10M,-0.50M,150.80M,,3.40M,,,,,,,,
1999-06,154.20M,,,,29.60M,72.60M,72.60M,-0.10M,,,-106.40M,,,,,,,149.90M,,-59.70M,,-59.70M,,,1.60M,-58.10M,,,,3.80M,2.00M,,2.00M,,-95.50M,,-89.70M,,0.00,2.10M,-2.30M,0.00,,2.00M,,,,,,,,
1999-03,118.80M,,,,13.10M,68.00M,68.00M,10.80M,,,-61.00M,,,,,,,149.70M,,-55.60M,,-55.60M,,,6.80M,-48.80M,,,,2.30M,2.40M,,2.40M,,-95.30M,,-90.60M,,136.40M,10.30M,-6.30M,0.00,,2.40M,,,,,,,,
1998-12,46.80M,,,,43.00M,73.30M,73.30M,6.60M,,,85.40M,,,,,,,152.80M,,-127.60M,,-120.80M,,,-11.50M,-132.30M,,,,21.40M,1.60M,-18.20M,-16.60M,,-95.30M,,-90.50M,,0.00,-70.00M,2.20M,136.40M,,1.60M,,,-18.20M,,,,,
1998-09,141.90M,,,,-10.50M,69.50M,69.50M,1.10M,,,22.20M,,,,,,,224.20M,,-80.30M,,-80.30M,,,2.00M,-78.30M,,,,55.10M,0.30M,-93.50M,-93.20M,,-95.60M,,-133.70M,,0.00,12.20M,-0.60M,0.00,,0.30M,,,-93.50M,,,,,
1998-06,143.20M,,,,-47.90M,68.00M,68.00M,36.80M,,,4.10M,,,,,,,204.20M,,-114.10M,,-114.10M,,,9.80M,-104.30M,,,,86.10M,-0.40M,-66.70M,-67.10M,,-92.00M,,-73.00M,,0.00,26.90M,0.50M,0.00,,-0.40M,,,-66.70M,,,,,
1998-03,170.70M,,,,10.50M,67.30M,67.30M,1.70M,,,-111.70M,,,,,,,138.50M,,-79.70M,,-79.70M,,,-3.40M,-83.10M,,,,78.90M,13.70M,-61.30M,-47.60M,,-92.40M,,-61.10M,,173.20M,-5.70M,-2.30M,0.00,,13.70M,,,-61.30M,,,,,
1997-12,32.60M,,,,102.10M,77.30M,77.30M,7.50M,,,-17.60M,,,,,,,180.90M,,-117.60M,,-111.60M,,,18.10M,-93.50M,,,,-11.00M,9.00M,-92.00M,-83.00M,,-92.30M,,-186.30M,,0.00,-98.90M,-1.70M,173.00M,,9.00M,,,-92.00M,,,,,
1997-09,207.20M,,,,-9.80M,69.00M,69.00M,28.90M,,,-10.50M,,,,,,,284.80M,,-88.50M,,-88.50M,,,-7.10M,-95.60M,,,,20.90M,41.90M,-83.60M,-41.70M,,-92.90M,,-113.70M,,0.00,75.50M,-4.30M,0.00,,41.90M,,,-83.60M,,,,,
1997-06,163.60M,,,,-8.40M,72.30M,72.30M,19.20M,,,-2.80M,,,,,,,243.90M,,-70.10M,,-70.10M,,,-0.60M,-70.70M,,,,26.40M,16.70M,-149.20M,-132.50M,,-87.00M,0.20M,-192.90M,,0.00,-19.70M,-3.40M,0.00,,16.70M,,,-149.20M,,,,,
1997-03,160.60M,,,,-72.90M,68.40M,68.40M,-16.60M,,,30.90M,,,,,,,170.40M,,-61.80M,,-61.80M,,,-7.40M,-69.20M,,,,71.70M,3.40M,-101.20M,-97.80M,,-87.80M,-0.20M,-114.10M,,243.80M,-12.90M,-4.60M,0.00,,3.40M,,,-101.20M,,,,,
1996-12,87.30M,,,,-49.90M,66.00M,66.00M,53.30M,,,77.00M,,,,,,,156.40M,,-613.50M,,-601.90M,,,-4.20M,-606.10M,,,,583.40M,,-108.20M,-89.40M,,-88.00M,-17.20M,388.80M,,0.00,-60.90M,4.40M,0.00,,,,,-108.20M,,,,,
1996-09,159.50M,,,,11.40M,59.50M,59.50M,5.20M,,,10.60M,,,,,,,246.20M,,-89.80M,,-89.80M,,,14.40M,-75.40M,,,,31.70M,,-71.20M,-71.20M,,-89.00M,3.30M,-125.20M,,0.00,45.60M,0.50M,0.00,,,,,-71.20M,,,,,
1996-06,78.10M,,,,-38.60M,62.20M,62.20M,2.10M,,,25.20M,,,,,,,129.00M,,-62.70M,,-62.70M,,,6.00M,-56.70M,,,,182.20M,,-142.60M,-142.60M,,-82.80M,3.40M,-39.80M,,0.00,32.50M,-1.30M,0.00,,,,,-142.60M,,,,,
1996-03,206.10M,,,,25.40M,63.80M,63.80M,-2.60M,,,-112.80M,,,,,,,179.90M,,-46.50M,,-46.50M,,,-2.10M,-48.60M,,,,163.90M,,-213.70M,-213.70M,,-83.90M,3.90M,-129.80M,,221.90M,1.50M,-0.30M,0.00,,,,,-213.70M,,,,,
1995-12,-71.60M,,,,379.70M,53.40M,53.40M,-85.10M,,,-147.40M,,,,,,,179.70M,,-93.60M,,-87.30M,,,-6.80M,-94.10M,,,,-147.10M,,-89.80M,-53.00M,,-84.70M,-29.00M,-313.80M,,0.00,-228.20M,-13.40M,0.00,,,,,-89.80M,,,,,
1995-09,230.00M,,,,19.80M,68.40M,68.40M,1.90M,,,64.90M,,,,,,,385.00M,,-77.40M,,-77.40M,,,1.40M,-76.00M,,,,-7.20M,,-137.30M,-137.30M,,-85.20M,8.80M,-220.90M,,0.00,88.10M,-1.70M,0.00,,,,,-137.30M,,,,,
1995-06,135.90M,,,,43.50M,69.80M,69.80M,3.90M,,,9.50M,,,,,,,262.60M,,-74.00M,,-74.00M,,,1.90M,-72.10M,,,,17.30M,,-56.10M,-56.10M,,-79.10M,13.90M,-104.00M,,0.00,86.50M,-4.30M,0.00,,,,,-56.10M,,,,,
1995-03,196.00M,,,,-57.70M,67.20M,67.20M,0.60M,,,7.60M,,,,,,,213.70M,,-70.70M,,-70.70M,,,4.00M,-66.70M,,,,49.80M,,-91.50M,-91.50M,,-79.50M,0.70M,-120.50M,,266.30M,26.50M,2.10M,0.00,,,,,-91.50M,,,,,
1994-12,153.30M,,,,27.30M,67.00M,67.00M,18.90M,,,,,,,,-47.40M,9.40M,226.60M,,-116.80M,-68.20M,-185.00M,,,86.80M,-98.20M,,,,-39.10M,,-43.70M,-41.40M,,-79.90M,-5.80M,-166.20M,,314.40M,-37.80M,-10.30M,0.00,,,,,-43.70M,,,,,
1994-09,216.70M,,,,12.70M,66.30M,66.30M,2.40M,,,,,,,,35.90M,35.90M,334.00M,,-76.50M,0.00,-76.50M,,,-2.40M,-78.90M,,,,-22.00M,,-77.40M,-77.40M,,-80.30M,-0.10M,-179.80M,,231.80M,75.30M,7.30M,314.40M,,,,,-77.40M,,,,,
1994-06,151.50M,,,,7.00M,60.80M,60.80M,5.80M,,,,,,,,-21.40M,-21.40M,203.70M,,-89.90M,0.00,-89.90M,,,7.50M,-82.40M,,,,98.00M,,-83.60M,-83.60M,,-76.30M,-0.70M,-62.60M,,169.40M,58.70M,3.70M,231.80M,,,,,-83.60M,,,,,
1994-03,183.90M,,,,-73.70M,62.00M,62.00M,-2.60M,,,,,,,,32.90M,32.90M,202.50M,,-71.10M,83.80M,12.70M,,,11.40M,24.10M,,,,48.30M,,-122.60M,-122.60M,,-77.10M,0.50M,-150.90M,,98.10M,75.70M,-4.40M,169.40M,,,,,-122.60M,,,,,
1993-12,149.50M,,,,-33.70M,81.60M,81.60M,-1.70M,,,-27.70M,,,,23.10M,,-18.60M,149.40M,,-100.00M,64.00M,-36.00M,,,-28.00M,-64.00M,,,,-25.50M,,-59.60M,-56.70M,,-77.50M,-2.80M,-162.50M,,0.00,-77.10M,-1.20M,98.10M,,,,,-59.60M,,,,,
1993-09,209.30M,,,,0.00,59.20M,59.20M,-1.80M,,,-3.90M,,,,43.00M,,43.00M,305.80M,,-104.50M,0.00,-104.50M,,,-1.00M,-105.50M,,,,24.20M,,-93.60M,-93.60M,,-78.20M,0.90M,-146.70M,,0.00,53.60M,-0.20M,0.00,,,,,-93.60M,,,,,
1993-06,142.70M,,,,0.00,59.60M,59.60M,-3.70M,,,21.10M,,,,14.20M,,14.20M,233.90M,,-164.50M,0.00,-164.50M,,,-1.60M,-166.10M,,,,240.70M,,-219.30M,-219.30M,,-74.20M,1.50M,-51.30M,,0.00,16.50M,-3.50M,0.00,,,,,-219.30M,,,,,
1993-03,179.20M,,,,-32.20M,64.80M,64.80M,15.90M,,,-8.60M,,,,-108.00M,,-108.00M,111.10M,,-80.70M,50.60M,-30.10M,,,5.50M,-24.60M,,,,143.90M,,-175.60M,-175.60M,,-75.30M,3.30M,-103.70M,,126.30M,-17.20M,0.90M,0.00,,,,,-175.60M,,,,,
1992-12,114.30M,,,,0.00,57.60M,57.60M,6.40M,,,60.00M,,,,81.40M,,-9.90M,228.40M,,-168.80M,18.80M,-150.00M,,,-21.50M,-171.50M,,,,-4.40M,,-70.70M,-57.30M,,-76.00M,0.70M,-137.00M,,0.00,-80.10M,-13.70M,0.00,,,,,-70.70M,,,,,
1992-09,204.20M,,,,0.00,59.00M,59.00M,-2.90M,,,-20.00M,,,,-18.60M,,-18.60M,221.70M,,-118.00M,0.00,-118.00M,,,1.40M,-116.60M,,,,18.80M,,-36.20M,-36.20M,,-76.40M,5.60M,-88.20M,,0.00,16.90M,-7.20M,0.00,,,,,-36.20M,,,,,
1992-06,168.10M,,,,0.00,58.30M,58.30M,3.50M,,,-3.80M,,,,-44.50M,,-44.50M,181.60M,,-114.30M,0.00,-114.30M,,,5.60M,-108.70M,,,,117.40M,,-52.10M,-52.10M,,-66.90M,1.00M,-0.60M,,0.00,72.30M,4.30M,0.00,,,,,-52.10M,,,,,
1992-03,196.20M,,,,-58.50M,56.60M,56.60M,2.70M,,,-11.10M,,,,-75.70M,,-75.70M,110.20M,,-72.50M,115.00M,42.50M,,,3.90M,46.40M,,,,-68.70M,,-65.10M,-65.10M,,-67.10M,4.10M,-196.80M,,178.00M,-40.20M,-4.00M,0.00,,,,,-65.10M,,,,,
1991-12,118.20M,,,,,58.80M,58.80M,-4.60M,,,7.50M,,,,140.70M,,129.30M,309.20M,,-123.40M,,-98.20M,,,-11.20M,-109.40M,,,,-260.20M,,-27.20M,-9.50M,,-67.40M,-14.50M,-351.60M,,0.00,-151.80M,3.70M,0.00,,,,,-27.20M,,,,,
1991-09,172.40M,,,,,55.20M,55.20M,-3.70M,,,-12.00M,,,,16.80M,,16.80M,228.70M,,-85.90M,,-85.90M,,,0.70M,-85.20M,,,,41.50M,,-42.90M,-42.90M,,-63.90M,4.80M,-60.50M,,0.00,83.00M,3.10M,0.00,,,,,-42.90M,,,,,
1991-06,152.30M,,,,,53.10M,53.10M,4.00M,,,9.70M,,,,-64.50M,,-64.50M,154.60M,,-66.00M,,-66.00M,,,-3.90M,-69.90M,,,,-4.00M,,-11.30M,-11.30M,,-64.00M,6.80M,-72.50M,,0.00,12.20M,-1.90M,0.00,,,,,-11.30M,,,,,
1991-03,163.10M,,,,,55.70M,55.70M,-1.10M,,,11.60M,,,,12.60M,,12.60M,241.90M,,-58.20M,,-58.20M,,,2.80M,-55.40M,,,,9.10M,,-2.20M,-2.20M,,-64.00M,4.00M,-53.10M,,100.50M,133.40M,-4.20M,0.00,,,,,-2.20M,,,,,
1990-12,108.50M,,,,,57.10M,57.10M,19.10M,,,17.30M,,,,159.40M,,40.50M,242.50M,,-72.50M,,-54.50M,,,-7.70M,-62.20M,,,,-193.20M,,-1.00M,7.40M,,-58.00M,-4.30M,-248.10M,,0.00,-67.80M,1.40M,0.00,,,,,-1.00M,,,,,
1990-09,162.30M,,,,,49.90M,49.90M,6.70M,,,-2.80M,,,,60.60M,,60.60M,276.70M,,-82.10M,,-82.10M,,,7.70M,-74.40M,,,,-150.60M,,-0.50M,-0.50M,,-57.90M,-1.00M,-210.00M,,0.00,-7.70M,1.00M,0.00,,,,,-0.50M,,,,,
1990-06,135.70M,,,,,47.60M,47.60M,10.40M,,,-4.80M,,,,-62.10M,,-62.10M,126.80M,,-77.80M,,-77.80M,,,6.60M,-71.20M,,,,-4.70M,,-6.20M,-6.20M,,-57.80M,-1.70M,-70.40M,,0.00,-14.80M,0.20M,0.00,,,,,-6.20M,,,,,
1990-03,96.30M,,,,,45.60M,45.60M,9.40M,,,8.00M,,,,13.90M,,13.90M,173.20M,,-88.10M,,-88.10M,,,-14.50M,-102.60M,,,,174.40M,,-79.20M,-79.20M,,-58.10M,0.50M,37.60M,,80.30M,108.20M,-0.30M,0.00,,,,,-79.20M,,,,,
1989-12,57.90M,,,,,47.90M,47.90M,-2.20M,,,-8.40M,,,,122.30M,,60.30M,155.50M,,-152.30M,,-137.30M,,,-12.30M,-149.60M,,,,67.30M,,-7.00M,2.50M,,-52.50M,-4.80M,12.50M,,0.00,18.40M,0.60M,0.00,,,,,-7.00M,,,,,
1989-09,123.10M,,,,,42.60M,42.60M,17.00M,,,7.70M,,,,-9.90M,,-9.90M,180.50M,,-130.20M,,-130.20M,,,9.50M,-120.70M,,,,5.30M,,-2.10M,-2.10M,,-52.40M,1.20M,-48.00M,,0.00,11.80M,0.80M,0.00,,,,,-2.10M,,,,,
1989-06,129.70M,,,,,40.20M,40.20M,7.00M,,,17.80M,,,,-167.60M,,-167.60M,27.10M,,-120.10M,,-120.10M,,,0.10M,-120.00M,,,,-30.10M,,-16.30M,-16.30M,,-52.40M,2.00M,-96.80M,,0.00,-189.70M,-1.00M,0.00,,,,,-16.30M,,,,,
1989-03,111.40M,,,,,36.90M,36.90M,10.20M,,,8.00M,,,,3.90M,,3.90M,170.40M,,-106.10M,,-106.10M,,,1.20M,-104.90M,,,,93.80M,,-53.20M,-53.20M,,-52.60M,1.10M,-10.90M,,185.00M,54.60M,-0.20M,0.00,,,,,-53.20M,,,,,
