,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2012-09,-956.00M,0.00,-30.00M,4.00M,165.00M,425.00M,425.00M,,,280.00M,7.00M,-12.77B,4.455B,,,13.63B,5.314B,5.30B,,-429.00M,-429.00M,0.00,-8.313B,-64.00M,-8.875B,,-3.167B,135.00M,-3.032B,,-31.00M,-31.00M,0.00,,0.00,-119.00M,-1.393B,-2.07B,,42.01B,-5.645B,265.00M,36.59B,,0.00,6.774B,-9.941B,-31.00M,110.00M,1.019B,,AOR,Restated
2012-06,750.00M,-108.00M,-22.00M,-12.00M,-107.00M,418.00M,418.00M,,,246.00M,-378.00M,-5.793B,-5.257B,,,19.15B,8.101B,9.466B,,-224.00M,-224.00M,1.536B,1.505B,70.00M,1.786B,,-6.30B,-29.00M,-6.329B,,-8.00M,-8.00M,,,,-118.00M,-3.014B,-7.658B,,38.72B,3.594B,-400.00M,42.01B,,,4.102B,-10.40B,-8.00M,75.00M,1.235B,,AOR,Restated
2012-03,134.00M,0.00,-1.00M,32.00M,29.00M,375.00M,375.00M,,,372.00M,372.00M,-5.179B,10.57B,,,1.704B,7.092B,8.00B,,-212.00M,-212.00M,0.00,-2.484B,,-3.265B,,-10.72B,-826.00M,-11.55B,,-183.00M,-183.00M,,,,-112.00M,-1.816B,-12.88B,,47.31B,-8.146B,93.00M,38.72B,,,5.32B,-16.04B,-183.00M,145.00M,1.169B,,AOR,Restated
2011-12,-184.00M,0.00,-13.00M,207.00M,399.00M,217.00M,217.00M,,-57.00M,294.00M,-1.194B,2.636B,-29.49B,-339.00M,22.88B,,3.654B,4.492B,,-216.00M,-216.00M,0.00,-3.573B,,-5.235B,,-6.339B,-38.00M,-6.377B,,-6.00M,-6.00M,,,,-120.00M,1.478B,-5.547B,,53.91B,-6.29B,-816.00M,47.31B,,,957.00M,-7.296B,-6.00M,,,,AOR,Restated
2011-09,2.293B,-24.00M,-36.00M,63.00M,-74.00M,428.00M,428.00M,,54.00M,278.00M,332.00M,9.534B,9.043B,23.67B,-29.16B,,13.08B,16.06B,,-363.00M,-363.00M,0.00,-2.772B,,-10.39B,,-1.748B,-685.00M,-2.433B,,-28.00M,-28.00M,,,,-120.00M,-427.00M,-2.349B,,50.75B,3.328B,-168.00M,53.91B,,,9.172B,-10.92B,-28.00M,,,,AOR,Restated
2011-06,1.406B,0.00,-82.00M,65.00M,-9.00M,380.00M,380.00M,,0.00,388.00M,388.00M,1.146B,12.11B,-33.23B,13.96B,,-6.017B,-3.852B,,-316.00M,-316.00M,0.00,2.659B,,2.343B,,341.00M,264.00M,605.00M,,-10.00M,-10.00M,,,,-292.00M,-2.401B,-68.00M,,52.61B,-1.577B,-284.00M,50.75B,,,8.311B,-7.97B,-10.00M,,,,AOR,Restated
2011-03,1.13B,,-12.00M,660.00M,671.00M,379.00M,379.00M,,3.00M,340.00M,343.00M,-7.417B,1.35B,9.902B,-7.68B,,-3.845B,-1.322B,,-409.00M,-409.00M,,2.954B,,2.545B,,1.239B,46.00M,1.285B,,-273.00M,-273.00M,,,,-302.00M,2.423B,2.816B,,47.62B,4.039B,954.00M,52.61B,,,14.28B,-13.05B,-273.00M,,,,AOR,Restated
2010-12,1.066B,466.00M,-102.00M,41.00M,-579.00M,-418.00M,-418.00M,,-66.00M,283.00M,12.00M,-411.00M,-1.798B,-20.64B,5.867B,,21.19B,21.36B,,-401.00M,-401.00M,768.00M,-5.40B,,-5.34B,,-7.243B,4.186B,-3.057B,0.00,-19.00M,-19.00M,,,,-289.00M,-662.00M,-1.417B,,33.12B,14.60B,-402.00M,47.62B,,0.00,3.604B,-7.539B,-19.00M,,,,AOR,Restated
2010-09,641.00M,0.00,0.00,74.00M,281.00M,646.00M,646.00M,,39.00M,306.00M,0.00,-6.424B,1.623B,-2.762B,-4.491B,,-12.05B,-10.14B,,-364.00M,-364.00M,-36.00M,-4.11B,,-4.51B,,9.799B,-4.765B,5.034B,5.579B,-23.00M,5.556B,,,,-285.00M,-59.00M,10.08B,,36.35B,-4.571B,1.339B,33.12B,,5.579B,15.16B,-8.671B,-23.00M,,,,AOR,Restated
2010-06,1.984B,-1.446B,0.00,-12.00M,-507.00M,1.037B,1.037B,,17.00M,301.00M,-57.00M,-4.275B,-4.622B,25.49B,-11.08B,,5.517B,8.292B,,-298.00M,-298.00M,55.00M,-559.00M,,-802.00M,,-1.875B,512.00M,-1.363B,1.00M,-13.00M,-12.00M,,,,-289.00M,-1.856B,-6.078B,,35.48B,1.412B,-543.00M,36.35B,,1.00M,6.002B,-7.877B,-13.00M,,,,AOR,Restated
2010-03,2.011B,932.00M,0.00,-66.00M,866.00M,154.00M,154.00M,,10.00M,370.00M,-31.00M,4.618B,5.494B,-2.092B,9.701B,,17.72B,21.10B,,-138.00M,-138.00M,,-18.67B,,-18.81B,,-1.938B,945.00M,-993.00M,1.00M,-262.00M,-261.00M,,,,-293.00M,1.414B,1.578B,,31.99B,3.867B,-380.00M,35.48B,,1.00M,7.755B,-9.693B,-262.00M,,,,AOR,Restated
2009-12,770.00M,-126.00M,,,-157.00M,395.00M,395.00M,,134.00M,244.00M,378.00M,-1.416B,3.525B,-2.167B,3.841B,,3.783B,4.237B,,-570.00M,-570.00M,0.00,,,-570.00M,,813.00M,-535.00M,278.00M,2.00M,-13.00M,-11.00M,,0.00,0.00,-287.00M,83.00M,-137.00M,,28.61B,3.53B,-149.00M,31.99B,,2.00M,3.181B,-2.368B,-13.00M,,,,AOR,Restated
2009-09,793.00M,0.00,,,27.00M,466.00M,466.00M,,281.00M,394.00M,675.00M,1.433B,6.879B,-1.986B,-17.01B,,-10.68B,-8.719B,,-428.00M,-428.00M,-300.00M,,,-728.00M,,3.796B,-117.00M,3.679B,12.00M,-18.00M,-6.00M,,-950.00M,-950.00M,-367.00M,-6.00M,2.383B,,35.01B,-7.064B,668.00M,28.61B,,12.00M,7.537B,-3.741B,-968.00M,,,,AOR,Restated
2009-06,33.00M,-499.00M,,,-753.00M,208.00M,208.00M,,130.00M,423.00M,553.00M,-5.233B,8.181B,-9.574B,-2.363B,,-8.989B,-8.948B,,-752.00M,-752.00M,-1.287B,,,-2.039B,,-1.256B,-381.00M,-1.637B,6.222B,-5.00M,6.217B,,-10.00B,-10.00B,-433.00M,-17.00M,-3.41B,,48.54B,-14.40B,862.00M,35.01B,,6.222B,16.06B,-10.63B,-10.00B,,,,AOR,Restated
2009-03,-190.00M,19.00M,,,-214.00M,155.00M,155.00M,,278.00M,204.00M,482.00M,2.771B,-17.77B,-24.45B,6.695B,,-32.75B,-32.52B,,-1.127B,-1.127B,-8.00M,,,-1.135B,,2.995B,-6.691B,-3.696B,19.00M,-14.00M,5.00M,,,,-645.00M,-43.00M,4.188B,,78.67B,-29.47B,-661.00M,48.54B,,19.00M,12.74B,-16.44B,-14.00M,,,,AOR,Restated
2008-11,-2.295B,,,,-4.484B,485.00M,485.00M,,,,3.705B,,,,,,71.98B,68.16B,,-277.00M,-277.00M,0.00,,,-277.00M,,-25.66B,10.71B,-14.96B,,,-1.728B,,,,-292.00M,526.00M,-10.47B,,23.70B,57.42B,-2.465B,78.65B,,,-802.00M,-24.86B,,,,,,
2008-08,1.425B,,,,,100.00M,100.00M,,,,76.06B,,,,,,-61.67B,15.92B,,-313.00M,-313.00M,780.00M,,,467.00M,,-3.939B,-14.71B,-18.65B,,,13.00M,,,,-309.00M,1.279B,-16.12B,,23.78B,269.00M,-349.00M,23.70B,,,4.509B,-8.448B,,,,,,
2008-05,1.026B,,2.00M,,2.00M,83.00M,83.00M,,,,-77.26B,,,,,,84.57B,8.423B,,-475.00M,-475.00M,1.523B,,,1.048B,,-2.141B,-2.136B,-4.277B,,,43.00M,,,,-312.00M,-1.571B,-6.577B,,20.96B,2.894B,-77.00M,23.78B,,,10.34B,-12.48B,,,,,,
2008-02,1.551B,,-2.00M,,-2.00M,126.00M,126.00M,,,,608.00M,,,,,,-21.37B,-19.09B,,-335.00M,-335.00M,-174.00M,,,-509.00M,,17.96B,-8.543B,9.412B,,,241.00M,,,,-314.00M,775.00M,14.62B,,25.60B,-4.978B,345.00M,20.96B,,,28.28B,-10.33B,,,,,,
2007-11,-3.588B,,,,,-3.00M,-3.00M,,,,317.00M,,,,,,-14.02B,-19.51B,,-241.00M,-241.00M,0.00,-823.00M,0.00,-1.064B,,8.964B,-6.216B,2.748B,,,-811.00M,,,,-306.00M,-555.00M,8.987B,,36.59B,-11.58B,594.00M,25.60B,,,20.11B,-11.15B,,,,,,
2007-08,1.543B,,,,,224.00M,224.00M,,,,958.00M,,,,,,9.238B,11.96B,,-621.00M,-621.00M,-2.00M,-1.003B,-79.00M,-1.705B,,6.221B,-5.546B,675.00M,,,-230.00M,,,,-305.00M,-5.554B,-5.44B,,31.79B,4.818B,-16.00M,36.59B,,,14.03B,-7.81B,,,,,,
