,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity
2005-12,20.73M,11.75M,32.48M,49.64M,,49.64M,,5.158M,4.75M,2.128M,2.201M,96.36M,0.00,0.115M,2.376M,16.46M,,18.95M,-13.19M,5.759M,,72.67M,72.67M,,,,19.65M,98.07M,194.44M,3.33M,,3.33M,16.03M,19.36M,,,,51.30M,51.30M,0.289M,70.95M,,,,11.29M,,11.29M,,,11.29M,82.24M,0.481M,3.769M,151.52M,43.57M,,112.20M
2005-09,16.07M,10.68M,26.74M,40.29M,1.41M,41.70M,,5.796M,,1.611M,,75.85M,,,,,,17.36M,-11.52M,5.841M,,92.24M,92.24M,,,,7.751M,105.84M,181.69M,2.529M,,2.529M,13.10M,15.62M,,,,43.70M,43.70M,,59.32M,,,,12.97M,,12.97M,,,12.97M,72.30M,0.481M,0.648M,152.02M,43.76M,,109.39M
2005-06,12.68M,9.425M,22.11M,46.44M,0.457M,46.89M,,5.423M,,1.611M,,76.03M,,,,,,17.66M,-11.52M,6.147M,,93.99M,93.99M,,,,7.705M,107.84M,183.88M,2.762M,,2.762M,13.48M,16.24M,,,,43.56M,43.56M,,59.81M,,,,12.97M,,12.97M,,,12.97M,72.78M,0.481M,-1.933M,152.19M,39.64M,,111.10M
2005-03,13.79M,11.45M,25.24M,37.44M,,37.44M,,4.768M,,1.611M,,69.06M,,,,,,18.00M,-11.52M,6.486M,,95.67M,95.67M,,,,7.708M,109.86M,178.92M,2.642M,,2.642M,12.59M,15.24M,,,,38.65M,38.65M,0.745M,54.63M,,,,12.97M,,12.97M,,,12.97M,67.60M,0.481M,-3.954M,152.28M,37.49M,,111.32M
2004-12,12.57M,13.83M,26.40M,44.18M,,44.18M,,3.574M,,1.611M,1.468M,77.24M,0.00,0.115M,2.332M,15.70M,,18.14M,-11.52M,6.624M,,73.93M,73.93M,,,,32.69M,113.25M,190.49M,2.89M,,2.89M,13.66M,16.55M,,,,41.54M,41.54M,1.023M,59.11M,,,,12.97M,,12.97M,,,12.97M,72.09M,0.481M,-4.424M,152.87M,30.53M,,118.40M
2004-09,12.71M,16.36M,29.06M,39.06M,,39.06M,,4.262M,,1.536M,,73.92M,,,,,,16.34M,-9.646M,6.697M,,53.71M,53.71M,,,,52.39M,112.79M,186.71M,2.441M,,2.441M,12.57M,15.01M,,,,38.84M,38.84M,,53.85M,,,,13.18M,,13.18M,,,13.18M,67.03M,0.481M,-7.454M,153.31M,26.59M,-0.064M,119.68M
2004-06,17.98M,9.736M,27.72M,42.48M,,42.48M,,4.953M,,1.536M,,76.68M,,,,,,16.02M,-9.646M,6.375M,,54.63M,54.63M,,,,52.25M,113.26M,189.94M,4.57M,,4.57M,11.99M,16.56M,,,,39.59M,39.59M,0.324M,56.47M,,,,13.18M,,13.18M,0.036M,,13.18M,69.65M,0.481M,-9.486M,154.18M,24.88M,-0.047M,120.26M
2004-03,12.54M,11.75M,24.29M,36.73M,,36.73M,,4.681M,,1.536M,,67.23M,,,,,,15.88M,-9.646M,6.238M,,54.65M,54.65M,,,,53.44M,114.32M,181.55M,2.637M,,2.637M,11.61M,14.25M,,,,34.49M,34.49M,0.552M,49.29M,,,,13.18M,,13.18M,0.004M,,13.18M,62.47M,0.481M,-12.46M,155.67M,24.60M,-0.017M,119.07M
2003-12,10.27M,11.67M,21.94M,42.52M,,42.52M,,3.853M,,1.536M,,69.84M,0.00,0.115M,2.026M,14.43M,,16.57M,-9.646M,6.927M,,75.42M,75.42M,,,,34.20M,116.55M,186.40M,2.378M,,2.378M,14.54M,16.92M,,,,37.84M,37.84M,0.53M,55.29M,,,,13.18M,,13.18M,0.015M,,13.18M,68.47M,0.481M,-14.55M,156.20M,24.19M,-0.032M,117.91M
2003-09,14.56M,24.70M,39.26M,30.00M,,30.00M,,3.881M,,1.197M,,74.34M,,,,,,14.36M,-8.138M,6.226M,,46.30M,46.30M,,,,37.40M,89.92M,164.26M,2.157M,,2.157M,12.84M,15.00M,,,,28.55M,28.55M,5.853M,49.41M,,,,4.418M,,4.418M,,,4.418M,53.83M,0.481M,-18.44M,155.63M,27.25M,0.024M,110.44M
2003-06,15.44M,12.11M,27.55M,35.59M,,35.59M,,4.177M,,1.197M,,68.52M,,,,,,14.56M,-8.138M,6.418M,,60.51M,60.51M,,,,23.50M,90.43M,158.94M,2.352M,,2.352M,11.38M,13.73M,,,,30.02M,30.02M,3.82M,47.56M,,,,4.418M,,4.418M,,,4.418M,51.98M,0.481M,-21.68M,156.56M,28.40M,,106.96M
2003-03,30.04M,15.00M,45.04M,33.52M,,33.52M,,3.829M,,1.197M,,83.59M,,,,,,14.73M,-8.138M,6.595M,,60.73M,60.73M,,,,22.67M,90.00M,173.59M,1.851M,,1.851M,8.617M,10.47M,,,,25.48M,25.48M,7.936M,43.89M,,,,4.418M,,4.418M,,,4.418M,48.30M,0.481M,-23.66M,156.83M,8.366M,,125.28M
2002-12,13.74M,,13.74M,33.51M,,33.51M,,4.009M,,1.197M,,52.46M,0.00,0.115M,1.751M,13.09M,,14.96M,-8.138M,6.819M,,60.95M,60.95M,,,,49.61M,117.38M,169.84M,2.39M,,2.39M,11.19M,13.58M,,,,26.21M,26.21M,0.442M,40.23M,2.55M,,2.55M,8.413M,,8.413M,,,10.96M,51.19M,0.481M,-40.95M,156.90M,5.187M,7.418M,118.66M
2002-09,10.53M,,10.53M,32.54M,,32.54M,,2.982M,,1.329M,,47.39M,,,,,,12.87M,-5.933M,6.934M,82.74M,,82.74M,,,,20.69M,110.37M,157.75M,2.328M,,2.328M,10.13M,12.46M,,,,27.29M,27.29M,0.981M,40.73M,2.566M,,2.566M,4.755M,,4.755M,,,7.321M,48.05M,0.481M,-45.35M,156.87M,5.185M,2.89M,109.70M
2002-06,10.09M,,10.09M,35.18M,,35.18M,,4.314M,,1.329M,,50.92M,,,,,,12.92M,-5.933M,6.986M,82.35M,,82.35M,,,,26.98M,116.32M,167.24M,1.96M,,1.96M,8.343M,10.30M,0.116M,,0.116M,29.34M,29.34M,1.615M,41.37M,2.864M,,2.864M,6.976M,,6.976M,,,9.84M,51.21M,0.481M,-47.09M,156.85M,1.225M,7.017M,116.03M
2002-03,7.189M,,7.189M,31.68M,0.095M,31.78M,,3.828M,,1.329M,,44.12M,,,,,,12.97M,-5.933M,7.039M,81.87M,,81.87M,,,,28.06M,116.96M,161.08M,2.393M,,2.393M,5.908M,8.301M,0.103M,,0.103M,26.73M,26.73M,1.464M,36.59M,2.894M,,2.894M,7.016M,,7.016M,,,9.91M,46.50M,0.481M,-48.38M,157.11M,1.717M,7.089M,114.58M
2001-12,5.271M,,5.271M,35.26M,0.151M,35.41M,,3.318M,,1.329M,,45.32M,0.00,0.115M,1.338M,11.45M,,12.90M,-5.933M,6.967M,,62.23M,62.23M,,,,32.45M,101.65M,146.98M,2.036M,,2.036M,9.774M,11.81M,,,,27.22M,27.22M,0.581M,39.61M,2.91M,,2.91M,3.575M,,3.575M,,,6.485M,46.09M,0.481M,-48.94M,157.24M,3.351M,-4.545M,100.88M
2001-09,4.042M,,4.042M,33.24M,1.029M,34.27M,,2.619M,,1.731M,,42.66M,,,,,,10.72M,-3.709M,7.016M,,83.12M,83.12M,,,,9.97M,100.10M,142.76M,2.125M,,2.125M,8.751M,10.88M,0.186M,,0.186M,24.53M,24.53M,0.31M,35.90M,2.908M,,2.908M,3.551M,,3.551M,,0.763M,7.222M,43.12M,0.481M,-49.14M,157.89M,3.359M,-6.231M,99.64M
2001-06,0.596M,,0.596M,38.30M,,38.30M,,2.503M,,1.731M,0.517M,43.65M,,,,,,10.33M,-3.709M,6.625M,,83.85M,83.85M,,,,17.48M,107.95M,151.60M,1.999M,,1.999M,10.51M,12.51M,0.242M,,0.242M,21.66M,21.66M,,34.41M,7.942M,,7.942M,4.347M,,4.347M,,,12.29M,46.70M,0.48M,-49.37M,158.78M,3.359M,-1.623M,104.90M
2001-03,0.517M,,0.517M,31.92M,,31.92M,,2.507M,,1.503M,0.501M,36.94M,,,,,,9.994M,-3.709M,6.285M,,84.48M,84.48M,,,,17.51M,108.27M,145.21M,3.141M,,3.141M,10.66M,13.80M,0.307M,,0.307M,19.05M,19.05M,3.899M,37.06M,3.366M,,3.366M,3.364M,,3.364M,,1.965M,8.695M,45.76M,0.48M,-49.74M,158.78M,3.231M,-6.827M,99.46M
2000-12,8.217M,,8.217M,36.60M,0.323M,36.92M,,2.465M,,1.469M,,49.07M,0.00,0.115M,1.315M,8.454M,,9.884M,-3.709M,6.175M,,84.70M,84.70M,,,,10.76M,101.64M,150.71M,4.299M,,4.299M,11.74M,16.04M,0.353M,,0.353M,21.07M,21.07M,5.187M,42.65M,7.747M,,7.747M,4.193M,,4.193M,,,11.94M,54.59M,0.48M,-49.21M,158.78M,3.231M,-10.69M,96.12M
2000-09,0.555M,,0.555M,,,43.48M,,,,,5.208M,49.25M,,,,,,23.06M,-9.814M,13.25M,,160.35M,160.35M,,,,12.98M,186.58M,235.83M,3.998M,,3.998M,,3.998M,22.62M,,22.62M,,,32.29M,58.91M,47.31M,,47.31M,12.73M,,12.73M,,4.974M,65.02M,123.93M,0.481M,-34.87M,160.60M,5.895M,-8.408M,111.90M
2000-06,1.873M,,1.873M,,,42.84M,,,,,6.019M,50.73M,,,,,,30.02M,-8.877M,21.14M,,167.94M,167.94M,,,,13.62M,202.70M,253.43M,3.651M,,3.651M,,3.651M,31.96M,,31.96M,,,34.43M,70.04M,50.76M,,50.76M,13.11M,,13.11M,,5.065M,68.93M,138.97M,0.481M,-32.31M,160.60M,5.895M,-8.408M,114.46M
2000-03,1.80M,,1.80M,,,37.06M,,,,,8.184M,47.04M,,,,,,29.01M,-7.431M,21.58M,,168.14M,168.14M,,,,23.54M,213.26M,260.31M,3.981M,,3.981M,,3.981M,5.307M,,5.307M,,,36.10M,45.39M,76.75M,,76.75M,13.49M,,13.49M,,5.118M,95.36M,140.75M,0.447M,-28.33M,151.30M,6.157M,2.304M,119.56M
1999-12,1.987M,,1.987M,34.89M,,34.89M,,,,,4.337M,41.22M,,,,,,6.602M,-1.735M,4.867M,,85.69M,85.69M,,,,119.06M,209.62M,250.84M,3.86M,,3.86M,,3.86M,0.807M,,0.807M,,,32.53M,37.20M,61.53M,,61.53M,7.89M,,7.89M,,5.317M,74.74M,111.93M,0.447M,-24.62M,151.30M,6.157M,17.93M,138.90M
1999-09,1.70M,,1.70M,,,30.50M,,,,,6.80M,39.00M,,,,,,22.30M,-4.80M,17.50M,,145.90M,145.90M,,,,27.20M,190.60M,229.60M,3.60M,,3.60M,,3.60M,3.60M,,3.60M,,,30.50M,37.70M,54.40M,,54.40M,11.50M,,11.50M,,5.30M,71.20M,108.90M,0.40M,-19.00M,145.40M,6.20M,,120.70M
1999-06,0.90M,,0.90M,,,32.70M,,,,,4.70M,38.30M,,,,,,20.40M,-4.20M,16.20M,,143.80M,143.80M,,,,10.70M,170.70M,209.00M,3.50M,,3.50M,,3.50M,4.00M,,4.00M,,,27.20M,34.70M,52.60M,,52.60M,10.10M,,10.10M,,6.50M,69.20M,103.90M,,-19.60M,,,,105.10M
1999-03,1.80M,,1.80M,,,15.50M,,,,,9.60M,26.90M,,,,,,17.20M,-2.50M,14.70M,,107.70M,107.70M,,,,9.60M,132.00M,158.90M,1.90M,,1.90M,,1.90M,2.00M,,2.00M,,,17.50M,21.40M,36.60M,,36.60M,10.40M,,10.40M,,6.80M,53.80M,75.20M,,-20.70M,,,,83.70M
1998-12,1.60M,,1.60M,,,14.40M,,,,,16.60M,32.60M,,,,,,16.60M,-2.50M,14.10M,,96.00M,96.00M,,,,7.394M,117.49M,150.09M,1.20M,,1.20M,,1.20M,1.90M,,1.90M,,,15.30M,18.40M,37.20M,,37.20M,10.90M,,10.90M,,7.294M,55.39M,73.79M,,-21.80M,,,,76.30M
1998-09,2.10M,,2.10M,,,11.10M,23.40M,,,,3.60M,40.20M,,,,,,23.30M,-5.10M,18.20M,,95.30M,95.30M,,,,7.50M,121.00M,161.20M,5.00M,,5.00M,,5.00M,1.50M,,1.50M,,,17.20M,23.70M,33.80M,,33.80M,9.20M,,9.20M,,7.60M,50.60M,74.30M,,-11.10M,,,,86.90M
1998-06,2.60M,,2.60M,,,6.10M,23.90M,,,,3.20M,35.80M,,,,,,22.60M,-5.10M,17.50M,,89.30M,89.30M,,,,6.80M,113.60M,149.40M,5.70M,,5.70M,,5.70M,1.80M,,1.80M,,,12.00M,19.50M,29.80M,,29.80M,9.80M,,9.80M,,7.90M,47.50M,67.00M,,-12.00M,,,,82.40M
