,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,DerivativeInstruments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,AsOriginallyReported,Restated
2010-11,2.062B,0.00,2.062B,2.472B,,2.472B,7.909B,220.00M,12.66B,,,,,,,,,11.20B,1.896B,,1.896B,,,1.288B,14.38B,27.04B,,2010-11,4.955B,401.00M,8.136B,,,,,13.00M,,13.00M,,8.149B,2.389B,,2.389B,360.00M,360.00M,,,,1.783B,4.532B,12.68B,,17.27B,708.00M,3.594B,-23.00M,14.36B,AOR,Restated
2010-08,1.88B,,1.88B,2.45B,,2.45B,7.378B,214.00M,11.92B,97.00M,3.471B,5.476B,5.642B,333.00M,,15.02B,-3.835B,11.18B,1.887B,1.114B,3.001B,,,168.00M,14.35B,26.28B,,2010-08,4.585B,492.00M,7.421B,,,,,12.00M,,12.00M,,7.433B,2.389B,,2.389B,318.00M,318.00M,384.00M,430.00M,,921.00M,4.442B,11.88B,,16.85B,684.00M,3.101B,-24.00M,14.40B,AOR,Restated
2010-05,1.712B,600.00M,2.312B,2.729B,,2.729B,7.11B,185.00M,12.34B,,,,,,,,,11.15B,1.894B,,1.894B,,,1.323B,14.37B,26.71B,,2010-05,4.584B,217.00M,7.332B,,,,,9.00M,,9.00M,,7.341B,2.359B,,2.359B,268.00M,268.00M,,,,1.627B,4.254B,11.60B,,16.54B,669.00M,2.114B,35.00M,15.11B,AOR,Restated
2010-02,2.501B,600.00M,3.101B,2.694B,,2.694B,7.20B,164.00M,13.16B,,,,,,,,,10.89B,1.48B,,1.48B,,,804.00M,13.18B,26.33B,,2010-02,4.611B,263.00M,7.289B,,,,,8.00M,,8.00M,,7.297B,2.347B,,2.347B,253.00M,253.00M,,,,1.489B,4.089B,11.39B,,16.22B,653.00M,1.922B,36.00M,14.95B,AOR,Restated
2009-11,2.552B,600.00M,3.152B,2.577B,,2.577B,7.474B,170.00M,13.37B,,,,,,,,,10.86B,1.467B,,1.467B,,,843.00M,13.18B,26.55B,,2009-11,5.043B,320.00M,7.809B,,,,,13.00M,,13.00M,,7.822B,2.366B,,2.366B,275.00M,275.00M,,,,1.464B,4.105B,11.93B,,15.68B,633.00M,1.68B,36.00M,14.62B,AOR,Restated
2009-08,2.087B,500.00M,2.587B,2.496B,,2.496B,6.789B,177.00M,12.05B,46.00M,3.323B,5.026B,5.60B,295.00M,,14.29B,-3.488B,10.80B,1.461B,697.00M,2.158B,,,133.00M,13.09B,25.14B,,2009-08,4.308B,40.00M,6.754B,,,,,15.00M,,15.00M,,6.769B,2.336B,,2.336B,265.00M,265.00M,,,,1.396B,3.997B,10.77B,,15.33B,605.00M,1.533B,37.00M,14.38B,AOR,Restated
2009-05,2.30B,100.00M,2.40B,2.797B,,2.797B,6.891B,164.00M,12.25B,,,,,,,,,10.60B,1.463B,,1.463B,,,833.00M,12.89B,25.14B,,2009-05,4.599B,52.00M,6.963B,,,,,10.00M,,10.00M,,6.973B,2.338B,,2.338B,316.00M,316.00M,,,,1.329B,3.983B,10.96B,,15.03B,591.00M,1.415B,,14.19B,AOR,Restated
2009-02,909.00M,650.00M,1.559B,2.836B,,2.836B,7.584B,203.00M,12.18B,,,,,,,,,10.39B,1.451B,,1.451B,,,805.00M,12.64B,24.82B,,2009-02,4.934B,228.00M,7.249B,,,,,12.00M,,12.00M,,7.261B,2.332B,,2.332B,166.00M,166.00M,,,,1.387B,3.885B,11.15B,,14.62B,577.00M,1.436B,9.00M,13.68B,AOR,Restated
2008-11,886.00M,,886.00M,2.776B,,2.776B,8.298B,199.00M,12.16B,,,,,,,13.29B,-3.143B,10.15B,1.433B,,1.433B,,,771.00M,12.35B,24.51B,,2008-11,5.026B,,7.272B,,,,,1.08B,,1.08B,144.00M,8.496B,1.337B,,1.337B,154.00M,154.00M,,,,1.395B,2.886B,11.38B,,14.09B,593.00M,1.592B,-38.00M,13.13B,,
2008-08,443.00M,0.00,443.00M,2.527B,,2.527B,7.249B,214.00M,10.43B,46.00M,2.892B,4.406B,5.316B,258.00M,,12.92B,-3.143B,9.775B,1.438B,,1.438B,,,764.00M,11.98B,22.41B,,2008-08,4.289B,0.00,6.561B,,,,,83.00M,,83.00M,,6.644B,1.337B,,1.337B,150.00M,150.00M,,,,1.41B,2.897B,9.541B,,13.79B,575.00M,1.551B,9.00M,12.87B,,Restated
