,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2011-09,2.744B,2.744B,1.008B,1.736B,74.00M,74.00M,99.00M,270.00M,,-124.00M,,65.00M,2.00M,-63.00M,116.00M,559.00M,1.177B,2.00M,65.00M,-63.00M,-71.00M,-63.00M,1.036B,371.00M,675.00M,0.00,,-182.00M,,493.00M,538.44M,1.371B,270.00M,1.101B,1.0,0.0,,1.092,1.0,0.98,0.0,,1.07,0.98,494.00M,504.00M,0.3
2011-06,2.384B,2.384B,917.00M,1.467B,93.00M,93.00M,86.00M,250.00M,,-82.00M,,63.00M,2.00M,-61.00M,89.00M,518.00M,949.00M,2.00M,63.00M,-61.00M,-50.00M,-61.00M,847.00M,187.00M,660.00M,-136.00M,,-137.00M,,387.00M,562.00M,1.16B,250.00M,910.00M,1.06,-0.28,,1.139,0.78,1.04,-0.28,,1.1179999999999999,0.77,494.00M,501.00M,0.2
2011-03,2.465B,2.465B,940.00M,1.525B,59.00M,59.00M,68.00M,256.00M,,-40.00M,,65.00M,4.00M,-61.00M,62.00M,445.00M,1.08B,4.00M,65.00M,-61.00M,-52.00M,-61.00M,973.00M,305.00M,670.00M,0.00,,-156.00M,,514.00M,549.88M,1.294B,256.00M,1.038B,1.04,0.0,,1.113,1.04,1.03,0.0,,1.102,1.03,493.00M,501.00M,0.15
2010-12,2.548B,2.548B,1.658B,890.00M,,-53.00M,-28.00M,,,-96.00M,,69.00M,3.00M,-66.00M,465.00M,-303.00M,1.193B,3.00M,69.00M,-66.00M,-15.00M,-66.00M,1.112B,72.00M,1.05B,-28.00M,,-210.00M,,812.00M,880.22M,1.429B,248.00M,1.181B,1.71,-0.06,,1.7919999999999998,1.65,1.67,-0.06,,1.749,1.61,492.00M,506.00M,0.15
2010-09,2.597B,2.597B,958.00M,1.639B,,79.00M,66.00M,242.00M,,46.00M,,66.00M,3.00M,-63.00M,14.00M,401.00M,1.238B,3.00M,66.00M,-63.00M,2.00M,-63.00M,1.177B,360.00M,814.00M,0.00,,-277.00M,,537.00M,535.61M,1.485B,242.00M,1.243B,1.09,0.0,,1.087,1.09,1.07,0.0,,1.067,1.07,493.00M,502.00M,0.15
2010-06,2.153B,2.153B,848.00M,1.305B,74.00M,74.00M,77.00M,231.00M,,9.00M,0.0,69.00M,2.00M,-67.00M,53.00M,435.00M,870.00M,2.00M,69.00M,-67.00M,19.00M,-67.00M,822.00M,283.00M,537.00M,0.00,,-155.00M,,382.00M,369.54M,1.122B,231.00M,891.00M,0.78,0.0,,0.7547,0.78,0.77,0.0,,0.745,0.77,492.00M,499.00M,0.1
2010-03,2.242B,2.242B,869.00M,1.373B,,45.00M,46.00M,224.00M,,41.00M,,75.00M,3.00M,-72.00M,132.00M,447.00M,926.00M,3.00M,75.00M,-72.00M,32.00M,-72.00M,886.00M,141.00M,743.00M,,,-197.00M,,546.00M,519.09M,1.185B,224.00M,961.00M,1.11,0.0,,1.055,1.11,1.11,0.0,,1.055,1.11,491.00M,493.00M,0.1
2009-12,2.518B,2.518B,661.00M,1.857B,,7.00M,35.00M,240.00M,,-37.00M,,,,-39.00M,295.00M,577.00M,1.28B,,,-39.00M,-37.00M,-39.00M,1.204B,335.00M,867.00M,-2.00M,,-307.00M,,558.00M,586.71M,1.542B,240.00M,1.302B,1.14,0.0,,1.194,1.14,1.14,0.0,,1.194,1.14,493.00M,493.00M,0.1
2009-09,2.049B,2.049B,820.00M,1.229B,,49.00M,27.00M,199.00M,,25.00M,,,,-10.00M,65.00M,340.00M,889.00M,,,-10.00M,25.00M,-10.00M,904.00M,253.00M,645.00M,,,-257.00M,,388.00M,370.00M,1.088B,199.00M,889.00M,0.79,0.0,,0.7533,0.79,0.79,0.0,,0.7533,0.79,490.00M,491.00M,0.1
2009-06,1.602B,1.602B,747.00M,855.00M,,52.00M,42.00M,176.00M,,9.00M,,,,-23.00M,112.00M,382.00M,473.00M,,,-23.00M,9.00M,-23.00M,459.00M,136.00M,320.00M,-14.00M,,-144.00M,,162.00M,169.67M,649.00M,176.00M,473.00M,0.33,0.0,,0.3171,0.33,0.33,0.0,,0.3171,0.33,490.00M,491.00M,0.1
2009-03,1.536B,1.536B,780.00M,756.00M,,51.00M,31.00M,191.00M,,9.00M,,32.00M,,-32.00M,73.00M,346.00M,410.00M,,32.00M,-32.00M,9.00M,-32.00M,387.00M,105.00M,277.00M,,,-88.00M,,189.00M,182.44M,610.00M,191.00M,419.00M,0.4,0.0,,0.3861,0.4,0.4,0.0,,0.3861,0.4,472.00M,473.00M,0.1
2008-12,1.325B,1.325B,573.00M,752.00M,,18.00M,53.00M,190.00M,,-285.00M,,37.00M,,-8.00M,204.00M,465.00M,287.00M,,37.00M,-8.00M,-285.00M,-8.00M,-6.00M,-51.00M,46.00M,-4.00M,,-38.00M,,4.00M,193.25M,221.00M,190.00M,31.00M,0.02,-0.01,,0.428,0.01,0.02,-0.01,,0.428,0.01,454.00M,454.00M,0.1
2008-09,1.371B,1.371B,837.00M,534.00M,,44.00M,44.00M,186.00M,,66.00M,,35.00M,,-35.00M,69.00M,343.00M,191.00M,,35.00M,-35.00M,66.00M,-35.00M,222.00M,6.00M,215.00M,7.00M,,-31.00M,,191.00M,119.78M,443.00M,186.00M,257.00M,0.4,0.02,,0.2586,0.42,0.4,0.02,,0.2589,0.42,454.00M,455.00M,0.1
2008-06,1.503B,1.503B,807.00M,696.00M,,45.00M,39.00M,183.00M,,13.00M,,35.00M,7.00M,-28.00M,118.00M,385.00M,311.00M,7.00M,35.00M,-28.00M,12.00M,-28.00M,295.00M,-42.00M,337.00M,2.00M,,-68.00M,,271.00M,261.20M,513.00M,180.00M,330.00M,0.6,0.0,,0.5828,0.6,0.59,0.0,,0.5729,0.59,454.00M,456.00M,0.1
2008-03,1.943B,1.943B,830.00M,1.113B,,37.00M,30.00M,182.00M,,15.00M,,,,-28.00M,63.00M,312.00M,801.00M,,,-28.00M,15.00M,-28.00M,788.00M,232.00M,551.00M,6.00M,,-192.00M,,365.00M,348.42M,983.00M,182.00M,801.00M,0.8,0.01,,0.7766,0.81,0.79,0.01,,0.7668,0.8,453.00M,457.00M,0.1
2007-12,1.322B,1.322B,595.00M,727.00M,,579.00M,28.00M,,,8.00M,,,,,,991.00M,-264.00M,,,,12.00M,,-764.00M,95.00M,-918.00M,629.00M,,,,-289.00M,-923.20M,-1.152B,138.00M,-1.29B,-2.03,1.4,,-2.041,-0.63,-2.03,1.4,,-2.041,-0.63,455.00M,455.00M,0.1
2007-09,1.646B,1.646B,785.00M,861.00M,,50.00M,16.00M,,,2.00M,,,,,,242.00M,619.00M,,,,2.00M,,607.00M,84.00M,325.00M,72.00M,,-198.00M,,397.00M,323.28M,811.00M,192.00M,619.00M,0.72,0.16,,0.7162,0.88,0.72,0.16,,0.7162,0.88,452.00M,453.00M,0.1
2007-06,1.276B,1.276B,760.00M,516.00M,,34.00M,13.00M,,,-1.119B,,,,,,233.00M,283.00M,,,,-1.119B,,-322.00M,-19.00M,-401.00M,-1.661B,,-98.00M,,-2.062B,651.97M,469.00M,173.00M,283.00M,-0.89,-3.68,,1.445,-4.57,-0.89,-3.68,,1.445,-4.57,451.00M,451.00M,0.1
2007-03,1.224B,1.224B,753.00M,471.00M,,72.00M,16.00M,,,-47.00M,,,,,,267.00M,204.00M,,,,-47.00M,,140.00M,44.00M,40.00M,28.00M,,-56.00M,,68.00M,72.23M,396.00M,192.00M,204.00M,0.09,0.06,,0.1615,0.15,0.09,0.06,,0.1613,0.15,451.00M,452.00M,0.1
2006-12,1.355B,1.355B,555.00M,800.00M,,358.00M,20.00M,,,135.00M,,,,,,537.00M,263.00M,,,,137.00M,,724.00M,67.00M,199.00M,24.00M,,-84.00M,,223.00M,76.49M,469.00M,206.00M,263.00M,0.44,0.06,,0.1696,0.5,0.44,0.05,,0.1708,0.49,453.00M,455.00M,0.1
