,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,OtherInventory,Inventories,RestrictedCash,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-03,570.00M,,570.00M,1.466B,,1.466B,,950.00M,,2.146B,5.132B,,,43.26B,-13.88B,29.38B,,,5.487B,,,264.00M,7.968B,43.10B,48.23B,1.131B,,1.131B,1.508B,2.639B,,,,1.914B,1.914B,,4.553B,,9.624B,,9.624B,4.307B,171.00M,,,203.00M,,,9.795B,27.39B,1.00M,1.098B,19.87B,,-171.00M,-162.00M,-333.00M,20.63B
2006-12,948.00M,,948.00M,2.256B,,2.256B,,1.358B,,2.485B,7.047B,,,58.33B,-16.88B,41.45B,,,9.08B,,,320.00M,10.81B,61.65B,68.70B,1.686B,,1.686B,2.872B,4.558B,,,,2.055B,2.055B,,6.613B,,18.12B,,18.12B,7.178B,175.00M,,,805.00M,,,18.29B,41.79B,1.00M,5.652B,19.85B,,949.00M,-354.00M,595.00M,26.10B
2006-09,820.00M,,820.00M,1.969B,,1.969B,,1.243B,,4.15B,8.182B,,,57.54B,-16.74B,40.80B,,,9.193B,,,325.00M,11.78B,62.10B,70.28B,1.225B,,1.225B,3.483B,4.708B,,,,2.569B,2.569B,,7.277B,,18.68B,,18.68B,7.138B,178.00M,,,811.00M,,,18.86B,42.98B,1.00M,5.67B,19.78B,,,,1.05B,26.50B
2006-06,752.00M,,752.00M,2.253B,,2.253B,,1.201B,,2.609B,6.815B,,,57.34B,-16.44B,40.90B,,,9.09B,,,331.00M,13.24B,63.55B,70.37B,1.47B,,1.47B,3.957B,5.427B,,,,2.643B,2.643B,,8.07B,,18.57B,,18.57B,7.302B,226.00M,,,745.00M,,,18.80B,43.95B,1.00M,4.907B,19.72B,,,,1.047B,25.67B
2006-03,785.00M,,785.00M,2.071B,,2.071B,,799.00M,,1.555B,5.21B,,,41.41B,-11.96B,29.46B,,,3.782B,,,264.00M,12.70B,46.21B,51.42B,1.315B,,1.315B,3.216B,4.531B,,,,1.571B,1.571B,,6.102B,,14.60B,,14.60B,5.33B,142.00M,,,727.00M,,,14.74B,34.14B,10.34B,5.405B,,,,,807.00M,16.55B
2005-12,511.00M,,511.00M,2.58B,,2.58B,,863.00M,,4.003B,7.957B,,,40.82B,-11.62B,29.20B,,,3.775B,,,269.00M,13.52B,46.77B,54.72B,2.431B,,2.431B,4.504B,6.935B,,,,1.483B,1.483B,,8.418B,,14.55B,,14.55B,5.397B,144.00M,,,749.00M,,,14.69B,37.54B,10.45B,5.277B,,,,,716.00M,16.44B
2005-09,377.00M,,377.00M,2.131B,,2.131B,,879.00M,,4.722B,8.109B,,,40.02B,-11.42B,28.60B,,,3.773B,,,276.00M,12.58B,45.22B,53.33B,1.307B,,1.307B,5.195B,6.502B,,,,1.05B,1.05B,,7.552B,,15.06B,,15.06B,5.106B,146.00M,,,650.00M,,,15.21B,36.64B,10.49B,5.014B,,134.00M,,,540.00M,16.05B
2005-06,1.009B,,1.009B,2.905B,,2.905B,,957.00M,,3.091B,7.962B,,,46.89B,-13.50B,33.39B,,,4.106B,,,281.00M,10.26B,48.03B,56.00B,2.224B,,2.224B,3.566B,5.79B,,,,2.009B,2.009B,,7.799B,,16.36B,,16.36B,5.81B,149.00M,,,1.925B,,,16.51B,37.66B,10.51B,4.962B,,134.00M,,,944.00M,16.42B
2005-03,1.001B,,1.001B,3.202B,,3.202B,,747.00M,,3.327B,8.277B,,,46.65B,-13.26B,33.39B,,,4.141B,,,289.00M,9.81B,47.63B,55.91B,2.304B,,2.304B,3.161B,5.465B,,,,1.656B,1.656B,,7.121B,,16.93B,,16.93B,5.642B,151.00M,,,1.897B,,,17.08B,37.39B,10.57B,5.149B,,134.00M,,,899.00M,16.62B
2004-12,533.00M,,533.00M,3.184B,,3.184B,,942.00M,,3.259B,7.918B,,,46.81B,-13.00B,33.81B,,,4.148B,,,297.00M,9.601B,47.85B,55.77B,2.414B,,2.414B,3.188B,5.602B,,,,1.90B,1.90B,,7.502B,,16.93B,,16.93B,5.382B,154.00M,,,1.486B,,,17.09B,37.71B,11.39B,4.539B,,134.00M,,,650.00M,16.58B
2004-09,2.858B,,2.858B,2.72B,,2.72B,,894.00M,,2.176B,8.648B,,,45.91B,-13.05B,32.86B,,,4.002B,,,303.00M,8.93B,46.09B,54.74B,1.742B,,1.742B,3.436B,5.178B,,,,3.552B,3.552B,,8.73B,,17.10B,,17.10B,4.94B,156.00M,,,1.587B,,,17.26B,37.73B,10.63B,4.435B,,134.00M,,,360.00M,15.42B
2004-06,2.696B,,2.696B,2.982B,,2.982B,,837.00M,,2.063B,8.578B,,,45.53B,-12.80B,32.73B,,,3.855B,,,317.00M,9.347B,46.25B,54.83B,2.112B,,2.112B,3.724B,5.836B,,,,1.972B,1.972B,,7.808B,,19.18B,,19.18B,4.474B,159.00M,,,1.674B,,,19.34B,38.46B,10.63B,4.053B,,134.00M,,,10.00M,14.69B
2004-03,1.50B,,1.50B,2.689B,,2.689B,,878.00M,,2.673B,7.74B,,,46.72B,-12.64B,34.08B,,,3.932B,,,326.00M,9.275B,47.61B,55.35B,2.00B,,2.00B,3.869B,5.869B,,,,1.764B,1.764B,,7.633B,,20.03B,,20.03B,4.442B,162.00M,,,1.723B,,,20.20B,39.52B,9.732B,4.121B,,134.00M,,,259.00M,14.11B
2003-12,1.16B,,1.16B,2.89B,,2.89B,,941.00M,,2.684B,7.675B,,,45.99B,-12.14B,33.85B,,,3.962B,,,275.00M,11.46B,49.55B,57.22B,2.331B,,2.331B,4.087B,6.418B,,,,1.33B,1.33B,,7.748B,,20.62B,,20.62B,4.285B,165.00M,,,1.701B,,,20.79B,41.64B,9.653B,4.06B,,134.00M,,,169.00M,13.88B
2003-09,1.751B,,1.751B,3.102B,,3.102B,,1.279B,,3.139B,9.271B,,,50.92B,-13.42B,37.50B,,,3.87B,,,1.272B,8.138B,50.78B,60.05B,2.331B,,2.331B,4.181B,6.512B,,,,1.477B,1.477B,,7.989B,,22.49B,,22.49B,5.226B,168.00M,,,1.716B,,,22.66B,42.27B,9.582B,6.336B,,134.00M,,,148.00M,16.07B
2003-06,1.482B,,1.482B,6.111B,,6.111B,,1.179B,,3.763B,12.54B,,,50.95B,-13.22B,37.73B,,,3.747B,,,1.292B,8.87B,51.64B,64.18B,5.259B,,5.259B,4.969B,10.23B,,,,1.673B,1.673B,,11.90B,,21.10B,,21.10B,5.328B,171.00M,,,1.884B,1.166B,,22.43B,46.43B,9.546B,6.314B,,157.00M,,,5.00M,15.86B
2003-03,1.109B,,1.109B,7.422B,,7.422B,,946.00M,,3.411B,12.89B,,,49.82B,-12.88B,36.93B,,,3.73B,,,1.362B,8.335B,50.36B,63.24B,6.559B,,6.559B,4.613B,11.17B,,,,1.879B,1.879B,,13.05B,,20.48B,,20.48B,4.986B,173.00M,,,1.64B,1.408B,,22.06B,46.17B,9.473B,6.387B,,157.00M,,,-421.00M,15.44B
2002-12,874.00M,,874.00M,4.861B,,4.861B,,1.134B,,3.031B,9.90B,,,48.68B,-11.30B,37.38B,,,3.747B,,,263.00M,8.833B,50.22B,60.12B,3.637B,,3.637B,4.154B,7.791B,,,,2.246B,2.246B,,10.04B,,20.22B,,20.22B,5.01B,176.00M,,,1.904B,1.408B,,21.80B,43.12B,9.393B,6.417B,,157.00M,,,-709.00M,15.10B
2002-09,473.00M,,473.00M,5.958B,,5.958B,,1.166B,,3.94B,11.54B,,,48.46B,-12.12B,36.33B,,,3.942B,,,,11.04B,51.31B,62.85B,4.441B,,4.441B,5.689B,10.13B,,,,3.305B,3.305B,,13.44B,,19.58B,,19.58B,4.302B,179.00M,,,3.313B,,,19.76B,45.25B,8.333B,6.716B,,157.00M,,,-763.00M,14.29B
2002-06,87.00M,,87.00M,6.597B,,6.597B,,1.174B,,4.245B,12.10B,,,48.22B,-11.84B,36.38B,,,4.125B,,,,12.58B,53.09B,65.19B,5.254B,,5.254B,5.786B,11.04B,,,,3.706B,3.706B,,14.75B,,18.32B,,18.32B,4.878B,182.00M,,,4.403B,,,18.50B,45.67B,8.416B,6.553B,,232.00M,,,150.00M,15.12B
2002-03,151.00M,,151.00M,5.647B,,5.647B,,1.149B,,4.747B,11.69B,,,46.92B,-11.62B,35.30B,,,4.085B,,,,11.46B,50.85B,62.55B,4.234B,,4.234B,5.517B,9.751B,,,,3.181B,3.181B,,12.93B,,18.32B,,18.32B,4.729B,185.00M,,,4.073B,,,18.51B,43.37B,8.318B,6.475B,,234.00M,,,307.00M,15.10B
2001-12,290.00M,,290.00M,5.301B,,5.301B,,1.017B,,2.993B,9.601B,,,39.46B,-11.05B,28.42B,,,1.73B,,,774.00M,8.011B,38.93B,48.53B,4.231B,,4.231B,4.347B,8.578B,,,,1.877B,1.877B,,10.46B,,12.32B,,12.32B,4.496B,189.00M,,,3.653B,,,12.51B,31.96B,6.451B,6.292B,,234.00M,,,180.00M,12.92B
2001-09,617.00M,,617.00M,8.447B,,8.447B,,872.00M,,3.189B,13.12B,,,37.73B,-10.90B,26.83B,,,1.625B,,,,8.886B,37.34B,50.46B,7.065B,,7.065B,5.51B,12.58B,,,,951.00M,951.00M,,13.53B,,12.13B,,12.13B,4.401B,4.401B,,,2.528B,1.407B,,17.94B,35.19B,6.42B,6.354B,,247.00M,,,-26.00M,12.75B
2001-06,1.241B,,1.241B,8.31B,,8.31B,,875.00M,,4.132B,14.56B,,,36.14B,-10.58B,25.56B,,,1.597B,,,,8.503B,35.66B,50.22B,7.294B,,7.294B,5.513B,12.81B,,,,754.00M,754.00M,,13.56B,,12.36B,,12.36B,4.554B,4.554B,,,2.462B,1.406B,,18.32B,35.42B,6.379B,5.558B,,247.00M,,,403.00M,12.34B
2001-03,489.00M,,489.00M,8.194B,,8.194B,,657.00M,,5.752B,15.09B,,,34.86B,-10.43B,24.43B,,,1.514B,,,,9.925B,35.87B,50.96B,7.602B,,7.602B,6.73B,14.33B,,,,850.00M,850.00M,,15.18B,,12.27B,,12.27B,3.576B,207.00M,,,3.827B,,,12.48B,36.68B,6.245B,5.569B,,247.00M,,,-1.36B,10.45B
2000-12,622.00M,,622.00M,8.648B,,8.648B,,739.00M,,12.50B,22.51B,,,34.60B,-10.15B,24.45B,,,1.566B,,,,9.701B,35.72B,58.23B,7.375B,,7.375B,13.67B,21.04B,,,,2.296B,2.296B,,23.34B,,10.72B,,10.72B,4.062B,211.00M,,,3.841B,,,10.93B,44.09B,5.044B,5.379B,,247.00M,,,-120.00M,10.30B
2000-09,761.00M,,761.00M,8.375B,,8.375B,,803.00M,,6.103B,16.04B,,,33.95B,-9.908B,24.05B,,,1.195B,,,,8.538B,33.78B,49.82B,7.926B,,7.926B,6.81B,14.74B,,,,2.122B,2.122B,,16.86B,,10.58B,,10.58B,4.037B,215.00M,,,1.844B,,,10.79B,37.78B,4.978B,5.283B,,260.00M,,,-62.00M,10.20B
2000-06,415.00M,,415.00M,5.595B,,5.595B,,750.00M,,6.014B,12.77B,,,32.98B,-9.592B,23.39B,,,1.213B,,,,7.062B,31.66B,44.44B,4.878B,,4.878B,6.17B,11.05B,,,,4.172B,4.172B,,15.22B,,8.903B,,8.903B,3.883B,218.00M,,,2.521B,,,9.121B,32.29B,4.961B,4.714B,,280.00M,,,-50.00M,9.625B
2000-03,375.00M,,375.00M,3.516B,,3.516B,,616.00M,,1.956B,6.463B,,,32.36B,-9.268B,23.09B,,,1.065B,,,,5.862B,30.02B,36.48B,2.821B,,2.821B,3.638B,6.459B,,,,1.858B,1.858B,,8.317B,,8.962B,,8.962B,4.068B,222.00M,,,2.457B,,,9.184B,24.50B,4.938B,4.588B,,280.00M,,,-3.00M,9.523B
1999-12,613.00M,,613.00M,3.248B,,3.248B,,599.00M,,1.711B,6.171B,,,30.44B,-9.441B,21.00B,,,844.00M,,,,5.399B,27.24B,33.41B,2.312B,,2.312B,2.782B,5.094B,,,,782.00M,782.00M,,5.876B,,8.683B,,8.683B,3.627B,225.00M,,,2.604B,,,8.908B,21.53B,4.883B,4.397B,,280.00M,,,-2.00M,9.278B
1999-09,1.06B,,1.06B,3.58B,,3.58B,,590.00M,,1.042B,6.272B,,,29.41B,-9.24B,20.17B,,,727.00M,,,,5.177B,26.08B,32.35B,2.538B,,2.538B,2.408B,4.946B,,,,1.02B,1.02B,,5.966B,,8.092B,,8.092B,3.778B,229.00M,,,2.597B,,,8.321B,20.15B,4.812B,4.786B,,293.00M,,,,9.598B
1999-06,300.00M,,300.00M,2.427B,,2.427B,,548.00M,,2.121B,5.396B,,,26.36B,-8.626B,17.74B,,,628.00M,,,,5.796B,24.16B,29.56B,1.785B,,1.785B,3.411B,5.196B,,,,1.021B,1.021B,,6.217B,,6.082B,,6.082B,3.768B,232.00M,,,1.442B,,,6.314B,18.93B,4.835B,4.349B,,313.00M,,,,9.184B
1999-03,583.00M,,583.00M,2.323B,,2.323B,,516.00M,,1.621B,5.043B,,,25.93B,-8.39B,17.54B,,,641.00M,,,,5.485B,23.67B,28.71B,1.541B,,1.541B,2.864B,4.405B,,,,1.086B,1.086B,,5.491B,,6.164B,,6.164B,3.761B,236.00M,,,1.122B,,,6.40B,18.31B,4.817B,4.463B,,313.00M,,,,9.28B
1998-12,80.00M,,80.00M,2.318B,,2.318B,,543.00M,,1.884B,4.825B,,,27.13B,-10.25B,16.88B,,,495.00M,,,,4.611B,21.98B,26.81B,1.754B,,1.754B,2.254B,4.008B,,,,919.00M,919.00M,,4.927B,,6.272B,,6.272B,3.975B,242.00M,,,1.172B,,,6.514B,17.17B,4.762B,3.701B,,313.00M,,,,8.463B
1998-09,448.20M,,448.20M,2.586B,,2.586B,,521.20M,,1.132B,4.687B,,,26.89B,-10.25B,16.64B,,,504.30M,,,,4.356B,21.50B,26.18B,1.680B,,1.680B,1.849B,3.529B,,,,692.20M,692.20M,,4.221B,,6.614B,,6.614B,3.947B,245.70M,,,1.172B,,,6.859B,16.65B,4.678B,3.680B,,312.90M,,,,8.358B
1998-06,63.70M,,63.70M,1.993B,,1.993B,,521.70M,,2.107B,4.686B,,,26.06B,-10.16B,15.90B,,,506.10M,,,,4.336B,20.74B,25.43B,1.153B,,1.153B,2.974B,4.126B,,,,374.60M,374.60M,,4.501B,,6.420B,,6.420B,3.933B,249.50M,,,791.50M,,,6.669B,16.73B,4.658B,3.254B,,332.90M,,,,7.912B
1998-03,56.90M,,56.90M,1.996B,,1.996B,,459.50M,,984.70M,3.497B,,,25.77B,-9.961B,15.81B,,,516.50M,,,,4.148B,20.48B,23.97B,1.155B,,1.155B,1.618B,2.774B,,,,290.60M,290.60M,,3.064B,,6.750B,,6.750B,3.928B,236.20M,,,502.00M,,,6.986B,15.48B,4.623B,3.374B,,332.90M,,,,7.997B
