,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-06,5.152B,5.152B,3.033B,2.119B,,305.00M,134.00M,,,881.00M,1.453B,666.00M,,,305.00M,,596.00M,195.00M,401.00M,23.00M,,-50.00M,7.00M,424.00M,195.79M,1.154B,488.00M,666.00M,1.32,0.06,,,0.6375,1.38,1.32,0.06,,,0.6382,1.38,300.67M,301.00M,0.825
2003-03,6.172B,6.172B,4.04B,2.132B,,76.00M,140.00M,,,674.00M,1.245B,887.00M,,,76.00M,,587.00M,195.00M,392.00M,-5.00M,-162.00M,-50.00M,3.00M,225.00M,341.25M,1.371B,484.00M,887.00M,1.29,0.0,-0.0,,1.12,0.75,1.29,0.0,-0.5418,,1.12,0.75,299.00M,299.00M,0.825
2002-12,4.953B,4.953B,3.023B,1.93B,,89.00M,135.00M,,,918.00M,1.393B,537.00M,,,89.00M,,307.00M,98.00M,209.00M,,,-8.00M,3.00M,-52.00M,148.41M,960.00M,423.00M,537.00M,0.27,-0.57,,,0.0673,-0.3,0.27,-0.57,,,0.0673,-0.3,298.85M,298.85M,0.825
2002-09,3.982B,3.982B,1.788B,2.194B,,126.00M,139.00M,,,1.09B,1.654B,540.00M,,,126.00M,,338.00M,108.00M,230.00M,,,-14.00M,3.00M,230.00M,144.26M,1.02B,480.00M,540.00M,0.81,0.0,,,0.5016,0.81,0.81,0.0,,,0.5016,0.81,278.00M,278.00M,0.825
2002-06,3.617B,3.617B,1.423B,2.194B,,215.00M,132.00M,,,823.00M,1.352B,842.00M,,,215.00M,,721.00M,247.00M,474.00M,,,-62.00M,4.00M,474.00M,332.65M,1.252B,410.00M,842.00M,1.71,0.0,,,1.2,1.71,1.68,0.0,,,1.175,1.68,277.00M,279.76M,0.825
2002-03,3.308B,3.308B,1.317B,1.991B,,102.00M,127.00M,,,852.00M,1.323B,668.00M,,,102.00M,,540.00M,158.00M,382.00M,,,-32.00M,3.00M,382.00M,309.84M,1.047B,379.00M,668.00M,1.44,0.0,,,1.165,1.44,1.44,0.0,,,1.165,1.44,262.67M,262.67M,0.825
2001-12,3.739B,3.739B,2.259B,1.48B,,418.00M,102.00M,,,1.00B,1.347B,133.00M,,,418.00M,,337.00M,107.00M,230.00M,,0.00,-60.00M,2.00M,225.00M,-55.28M,434.00M,301.00M,133.00M,0.84,0.0,0.0,,-0.2672,0.84,0.84,0.0,0.001,,-0.255,0.84,257.67M,260.53M,0.825
2001-09,4.729B,4.729B,1.563B,3.166B,,37.00M,110.00M,,,1.189B,1.674B,1.492B,,,37.00M,,1.276B,480.00M,796.00M,,,-62.00M,4.00M,796.00M,772.92M,1.867B,,1.492B,3.06,0.0,,,2.971,3.06,3.03,0.0,,,2.9419999999999997,3.03,258.33M,261.39M,0.825
2001-06,15.58B,15.58B,13.31B,2.274B,,37.00M,104.00M,,,964.00M,1.394B,880.00M,,,37.00M,,655.00M,236.00M,419.00M,,,-45.00M,4.00M,419.00M,395.33M,1.206B,,880.00M,1.62,0.0,,,1.528,1.62,1.59,0.0,,,1.499,1.59,257.67M,261.01M,0.825
2001-03,16.49B,16.49B,14.00B,2.49B,,87.00M,115.00M,,,877.00M,1.308B,1.182B,,,87.00M,,881.00M,327.00M,554.00M,,-96.00M,-160.00M,4.00M,458.00M,499.29M,1.539B,357.00M,1.182B,1.83,0.0,0.0,,1.61,1.83,1.8,0.0,-0.3866,,1.5830000000000002,1.8,248.33M,252.22M,0.825
2000-12,-18.16B,-18.16B,-19.94B,1.777B,,373.00M,103.00M,,,982.00M,1.388B,389.00M,,,373.00M,,365.00M,81.00M,284.00M,,,-156.00M,5.00M,284.00M,-6.225M,740.00M,351.00M,389.00M,1.14,0.0,,,-0.0334,1.14,1.125,0.0,,,-0.0484,1.125,247.33M,247.33M,0.825
2000-09,15.28B,15.28B,12.87B,2.413B,,462.00M,111.00M,,,908.00M,1.319B,1.094B,,,462.00M,,1.268B,498.00M,770.00M,,,-31.00M,4.00M,770.00M,489.45M,1.437B,343.00M,1.094B,3.12,0.0,,,1.976,3.12,3.105,0.0,,,1.9680000000000002,3.105,245.33M,246.70M,0.825
2000-06,10.93B,10.93B,8.814B,2.112B,,43.00M,102.00M,,,865.00M,1.318B,794.00M,,,43.00M,,520.00M,191.00M,329.00M,,,-89.00M,5.00M,329.00M,301.79M,1.145B,351.00M,794.00M,1.32,0.0,,,1.209,1.32,1.32,0.0,,,1.209,1.32,245.33M,245.33M,0.825
2000-03,7.236B,7.236B,5.449B,1.787B,,101.00M,102.00M,,,624.00M,1.029B,758.00M,,,101.00M,,643.00M,250.00M,393.00M,,,-31.00M,5.00M,393.00M,331.27M,1.061B,303.00M,758.00M,1.59,0.0,,,1.338,1.59,1.59,0.0,,,1.338,1.59,244.67M,244.67M,0.825
1999-12,6.221B,6.221B,4.464B,1.757B,,107.00M,80.00M,,,1.768B,1.98B,-223.00M,,,107.00M,,-355.00M,-166.00M,-189.00M,,,-43.00M,5.00M,-189.00M,-253.20M,-91.00M,,-223.00M,-0.81,0.0,,-0.0048,-1.073,-0.81,-0.81,-0.03,,-0.0179,-1.068,-0.84,244.29M,248.98M,0.825
1999-09,6.694B,6.694B,4.687B,2.007B,,24.00M,105.00M,,,724.00M,1.123B,884.00M,,,24.00M,,724.00M,283.00M,441.00M,,,-31.00M,5.00M,441.00M,426.38M,1.178B,,884.00M,1.8,0.0,,,1.74,1.8,1.8,0.0,,,1.74,1.8,242.22M,242.22M,0.825
1999-06,4.691B,4.691B,3.167B,1.524B,,37.00M,87.00M,,,634.00M,993.00M,531.00M,,,37.00M,,415.00M,127.00M,288.00M,,,-33.00M,5.00M,288.00M,262.32M,803.00M,272.00M,531.00M,1.155,0.0,,,1.0490000000000002,1.155,1.155,0.0,,,1.0490000000000002,1.155,242.67M,242.67M,0.825
1999-03,4.178B,4.178B,2.589B,1.589B,,38.00M,99.00M,,,575.00M,944.00M,645.00M,,,38.00M,,516.00M,209.00M,307.00M,,,-35.00M,5.00M,967.00M,284.20M,915.00M,270.00M,645.00M,3.975,0.0,,2.727,3.8810000000000002,3.975,3.96,0.0,,2.717,3.866,3.96,242.00M,242.93M,0.825
1998-12,4.235B,4.235B,2.594B,1.641B,,13.80M,80.70M,,,958.00M,1.139B,502.00M,,,13.80M,,353.00M,129.30M,223.70M,,,-33.90M,4.50M,223.70M,214.95M,602.50M,,502.00M,0.855,0.03,,0.0002,0.8193,0.885,0.84,0.03,,0.0002,0.8047,0.87,245.08M,247.90M,0.825
1998-09,5.298B,5.298B,3.479B,1.819B,,45.10M,95.80M,,,617.90M,993.60M,825.80M,,,45.10M,,702.20M,273.50M,428.70M,,,-30.00M,4.90M,428.70M,401.17M,1.106B,,825.80M,1.77,0.0,,,1.655,1.77,1.77,0.0,,,1.655,1.77,239.43M,239.43M,0.825
1998-06,4.014B,4.014B,2.474B,1.540B,,33.60M,91.50M,,,633.40M,990.80M,548.80M,,,33.60M,,442.90M,163.40M,279.50M,,,-16.70M,5.10M,279.50M,258.30M,814.70M,,548.80M,1.14,0.0,,,1.052,1.14,1.14,0.0,,,1.052,1.14,240.70M,240.70M,0.825
