,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBIT,,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasic,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2001-02,1.702B,1.702B,651.90M,1.050B,697.80M,2.00M,,,,,753.90M,295.80M,,,,2.00M,,242.40M,84.90M,157.50M,,,,157.50M,156.20M,295.80M,,2001-02,0.275,0.00,0.275,,2001-02,0.27,0.00,0.27,,2001-02,0.1375,,2001-02,,
2000-11,1.895B,1.895B,700.20M,1.195B,785.70M,5.90M,,,,,838.60M,356.40M,,,,5.90M,,309.90M,107.20M,202.70M,,,,202.70M,198.84M,356.40M,,2000-11,0.36,0.00,0.36,,2000-11,0.35,0.00,0.35,,2000-11,0.1375,,2000-11,,
2000-08,1.675B,1.675B,602.20M,1.073B,725.50M,3.00M,,,,,776.60M,296.10M,,,,3.00M,,244.30M,85.40M,158.90M,,,,158.90M,156.95M,296.10M,,2000-08,0.28,0.00,0.28,,2000-08,0.275,0.00,0.275,,2000-08,0.1375,,2000-08,,
2000-05,162.60M,162.60M,638.20M,-475.60M,-748.60M,,,,,,-689.00M,213.40M,,,,1.90M,,166.60M,58.10M,108.50M,,,,108.50M,108.50M,213.40M,,2000-05,0.19,0.00,0.19,,2000-05,0.19,0.00,0.19,,2000-05,0.1375,,2000-05,,
2000-02,1.620B,1.620B,598.90M,1.021B,687.40M,-5.50M,,,,,739.10M,281.60M,,,,-5.50M,,239.60M,86.30M,153.30M,,,,153.30M,156.82M,281.60M,,2000-02,0.255,0.00,0.255,,2000-02,0.25,0.00,0.25,,2000-02,0.1375,,2000-02,,
1999-11,1.817B,1.817B,678.40M,1.139B,760.00M,3.10M,,,,,809.80M,329.00M,,,,3.10M,,298.00M,104.30M,193.70M,,,,193.70M,191.68M,329.00M,,1999-11,0.32,0.00,0.32,,1999-11,0.31,0.00,0.31,,1999-11,0.1375,,1999-11,,
1999-08,1.574B,1.574B,573.50M,1.000B,677.20M,3.50M,,,,,725.10M,275.00M,,,,3.50M,,245.80M,87.30M,158.50M,,,,158.50M,156.24M,275.00M,,1999-08,0.26,0.00,0.26,,1999-08,0.25,0.00,0.25,,1999-08,0.1375,,1999-08,,
1999-05,1.600B,1.600B,640.20M,960.30M,714.20M,-3.00M,,,,,766.00M,194.30M,,,,-3.00M,,162.50M,57.70M,104.80M,,,,104.80M,106.73M,194.30M,,1999-05,0.175,0.00,0.175,,1999-05,0.165,0.00,0.165,,1999-05,0.1375,,1999-05,,
1999-02,1.495B,1.495B,570.80M,924.30M,618.80M,-5.50M,,,,,666.80M,257.50M,,,,-5.50M,,220.60M,79.50M,141.10M,,,,141.10M,144.62M,257.50M,,1999-02,0.23,0.00,0.23,,1999-02,0.225,0.00,0.225,,1999-02,0.1375,,1999-02,,
1998-11,1.677B,1.677B,651.70M,1.026B,667.80M,-53.90M,,,,,715.10M,310.60M,,,,-53.90M,,227.30M,83.70M,143.60M,,,,143.60M,177.65M,310.60M,,1998-11,0.235,0.00,0.235,,1998-11,0.23,0.00,0.23,,1998-11,0.1325,,1998-11,,
1998-08,1.473B,1.473B,536.60M,936.50M,634.10M,2.60M,,,,,681.20M,255.30M,,,,2.60M,,228.10M,83.10M,145.00M,,,,145.00M,143.35M,255.30M,,1998-08,0.235,0.00,0.235,,1998-08,0.23,0.00,0.23,,1998-08,0.1325,,1998-08,,
