,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,SECFilingLinks,Restated
2008-05,208.60M,,27.50M,12.00M,39.50M,110.50M,110.50M,98.70M,-9.50M,23.60M,,-65.50M,71.20M,277.80M,-17.20M,118.40M,-40.10M,,410.10M,,816.00M,2008-05,-222.80M,14.20M,-208.60M,-0.80M,59.30M,1.70M,-148.40M,,-393.40M,-224.80M,-618.20M,191.40M,-3.80M,187.60M,,-134.70M,-111.50M,30.70M,-646.10M,,620.40M,21.50M,19.10M,661.00M,2008-05,191.40M,750.00M,-1.143B,-3.80M,,2008-05,Restated
2008-02,430.10M,,4.20M,2.50M,6.70M,113.10M,113.10M,-5.30M,-5.60M,23.00M,,-27.60M,82.20M,-68.30M,-74.00M,2.40M,-6.50M,,-64.20M,,470.20M,2008-02,-112.80M,0.40M,-112.40M,0.50M,0.50M,-13.20M,-124.60M,,-474.30M,427.40M,-46.90M,0.00,-987.10M,-987.10M,,-135.60M,59.10M,854.50M,-256.00M,,530.10M,89.60M,0.70M,620.40M,2008-02,0.00,0.00,-474.30M,-987.10M,,2008-02,
2007-11,390.50M,,-27.80M,-6.90M,-34.70M,127.40M,127.40M,-25.70M,-0.50M,31.50M,,-2.60M,-138.20M,4.20M,-39.70M,-110.40M,220.70M,,-63.40M,,422.50M,2007-11,-118.50M,0.10M,-118.40M,-0.40M,7.10M,-6.60M,-118.30M,,694.30M,-1.553B,-858.90M,0.00,-5.80M,-5.80M,,-127.30M,21.80M,755.50M,-214.70M,,410.20M,89.50M,30.40M,530.10M,2007-11,0.00,700.00M,-5.70M,-5.80M,,2007-11,
2007-08,288.90M,,-6.00M,-16.30M,-22.30M,108.20M,108.20M,-25.30M,13.90M,55.10M,,11.90M,-109.30M,-378.80M,65.00M,114.70M,-100.80M,,-409.20M,,21.20M,2007-08,-67.90M,11.20M,-56.70M,1.30M,-2.30M,6.60M,-51.10M,,0.00,2.297B,2.297B,92.30M,-1.429B,-1.336B,,-132.10M,30.60M,-835.50M,23.80M,,417.10M,-6.10M,-0.80M,410.20M,2007-08,92.30M,0.00,0.00,-1.429B,,2007-08,
2007-05,224.10M,,12.90M,-34.80M,-21.90M,104.80M,104.80M,-60.20M,41.40M,22.40M,,16.20M,105.10M,59.00M,-53.90M,143.70M,19.50M,,273.40M,,600.20M,2007-05,-211.50M,13.40M,-198.10M,-14.00M,7.30M,22.60M,-182.20M,,875.80M,-655.50M,220.30M,317.40M,-642.60M,-325.20M,,-128.50M,,-255.30M,-488.70M,,475.70M,-70.70M,12.10M,417.10M,2007-05,317.40M,1.15B,-274.20M,-642.60M,,2007-05,Restated
2007-02,267.50M,,-7.90M,8.00M,0.10M,103.70M,103.70M,1.20M,1.10M,24.50M,,-47.90M,75.90M,133.80M,9.10M,-63.60M,80.40M,,235.60M,,585.80M,2007-02,-99.20M,2.40M,-96.80M,-23.10M,3.70M,8.80M,-107.40M,,32.90M,-503.70M,-470.80M,0.00,64.70M,64.70M,,-129.30M,,38.00M,-497.40M,,491.90M,-19.00M,2.80M,475.70M,2007-02,0.00,1.50B,-1.467B,64.70M,,2007-02,
2006-11,385.40M,,-24.20M,-15.30M,-39.50M,104.90M,104.90M,2.30M,-1.50M,27.10M,,9.30M,-98.90M,64.40M,-30.80M,-132.90M,164.80M,,-33.40M,,454.60M,2006-11,-88.10M,1.10M,-87.00M,11.40M,15.20M,-7.00M,-67.40M,,-515.20M,439.70M,-75.50M,0.00,-107.90M,-107.90M,,-121.70M,-14.60M,0.90M,-318.80M,,424.70M,68.40M,-1.20M,491.90M,2006-11,0.00,0.00,-515.20M,-107.90M,,2006-11,
2006-08,266.90M,,-8.30M,-12.90M,-21.20M,104.40M,104.40M,9.60M,-1.90M,53.10M,,26.20M,-106.30M,-373.20M,30.70M,140.60M,-18.30M,,-326.50M,,110.60M,2006-08,-61.40M,10.40M,-51.00M,-57.70M,-126.70M,-4.70M,-240.10M,,-66.70M,719.50M,652.80M,0.00,-634.90M,-634.90M,,-125.70M,14.60M,,-93.20M,,647.40M,-222.70M,,424.70M,2006-08,0.00,,-66.70M,-634.90M,,2006-08,
2006-05,222.30M,,33.20M,-57.20M,-24.00M,106.90M,106.90M,45.80M,,11.60M,,13.20M,70.90M,123.40M,-43.70M,46.50M,12.80M,,209.90M,,615.50M,2006-05,-169.00M,7.30M,-161.70M,-16.50M,-3.70M,32.90M,-149.00M,,-42.00M,-305.60M,-347.60M,0.00,-6.70M,-6.70M,,-121.90M,,-1.10M,-477.30M,,653.00M,-10.80M,,647.40M,2006-05,0.00,0.00,-42.00M,-6.70M,,2006-05,
2006-02,246.00M,,-25.00M,-17.00M,-32.00M,106.00M,106.00M,24.00M,,33.00M,,13.00M,89.00M,90.00M,-17.00M,-18.00M,-93.00M,,51.00M,,441.00M,2006-02,-78.00M,2.00M,-76.00M,-10.00M,-1.00M,1.00M,-86.00M,,-1.344B,1.503B,-288.00M,-53.00M,31.00M,-22.00M,,-122.00M,0.00,0.00,-432.00M,,730.00M,-77.00M,,653.00M,2006-02,-53.00M,0.00,-1.344B,31.00M,,2006-02,
2005-11,370.00M,,,,-24.00M,106.00M,106.00M,3.00M,,,,6.00M,-72.00M,59.00M,-11.00M,-81.00M,273.00M,,168.00M,,629.00M,2005-11,-68.00M,-1.00M,-69.00M,1.00M,10.00M,-16.00M,-74.00M,,,,-124.00M,16.00M,-206.00M,-190.00M,,-118.00M,,-2.00M,-434.00M,,609.00M,121.00M,,730.00M,2005-11,16.00M,,,-206.00M,,2005-11,
2005-08,252.00M,,,,14.00M,105.00M,105.00M,-6.00M,,,,38.00M,-79.00M,-278.00M,36.00M,25.00M,51.00M,,-245.00M,,158.00M,2005-08,-45.00M,3.00M,-42.00M,-1.00M,-5.00M,-13.00M,-61.00M,,,,571.00M,37.00M,-546.00M,-509.00M,,-123.00M,,,-61.00M,,573.00M,36.00M,,609.00M,2005-08,37.00M,,,-546.00M,,2005-08,
2005-05,460.00M,,,,-103.00M,113.00M,113.00M,45.00M,,,,-252.00M,21.00M,67.00M,-37.00M,144.00M,226.00M,,421.00M,,806.00M,2005-05,-196.00M,7.00M,-189.00M,,-30.00M,7.00M,587.00M,,,,-1.313B,-1.014B,190.00M,-824.00M,,-115.00M,,835.00M,-1.417B,,563.00M,-24.00M,,573.00M,2005-05,-1.014B,,,190.00M,,2005-05,
2005-02,230.00M,,,,11.00M,109.00M,109.00M,14.00M,,,,,107.00M,113.00M,-3.00M,-162.00M,46.00M,,101.00M,,465.00M,2005-02,-89.00M,7.00M,-82.00M,,7.00M,14.00M,-61.00M,,,,-380.00M,970.00M,-7.00M,963.00M,,-115.00M,,-836.00M,-368.00M,,290.00M,36.00M,,563.00M,2005-02,970.00M,,,-7.00M,,2005-02,
2004-11,367.00M,,,,-20.00M,113.00M,113.00M,16.00M,,,,-9.00M,-74.00M,30.00M,-2.00M,17.00M,46.00M,,17.00M,,484.00M,2004-11,-82.00M,1.00M,-81.00M,,-1.00M,4.00M,-78.00M,,,,-296.00M,16.00M,-755.00M,-739.00M,,-113.00M,,823.00M,-325.00M,,480.00M,81.00M,,290.00M,2004-11,16.00M,,,-755.00M,,2004-11,
2004-08,183.00M,,,,31.00M,108.00M,108.00M,-4.00M,,,,9.00M,-62.00M,-180.00M,43.00M,-34.00M,-55.00M,,-288.00M,,39.00M,2004-08,-67.00M,9.00M,-58.00M,,25.00M,-2.00M,-35.00M,,,,-181.00M,28.00M,-4.00M,24.00M,,-118.00M,,,-275.00M,,751.00M,-271.00M,,480.00M,2004-08,28.00M,,,-4.00M,,2004-08,
2004-05,278.00M,,,,46.00M,108.00M,108.00M,13.00M,,,,,18.00M,74.00M,-16.00M,43.00M,130.00M,,249.00M,,710.00M,2004-05,-225.00M,14.00M,-211.00M,-2.00M,41.00M,37.00M,-135.00M,,,,-490.00M,70.00M,-10.00M,60.00M,,-104.00M,,0.00,-534.00M,,717.00M,41.00M,,751.00M,2004-05,70.00M,,,-10.00M,,2004-05,
2004-02,242.00M,,,,22.00M,102.00M,102.00M,20.00M,,,,,159.00M,180.00M,-7.00M,-187.00M,-30.00M,,115.00M,,501.00M,2004-02,-131.00M,22.00M,-109.00M,24.00M,24.00M,-24.00M,-85.00M,,,,-331.00M,44.00M,-9.00M,35.00M,,-104.00M,,-1.00M,-401.00M,,695.00M,15.00M,,717.00M,2004-02,44.00M,,,-9.00M,,2004-02,
2003-11,308.00M,,,,-15.00M,96.00M,96.00M,15.00M,,,,,-141.00M,21.00M,-7.00M,-8.00M,50.00M,,-85.00M,,319.00M,2003-11,-153.00M,-4.00M,-157.00M,-24.00M,20.00M,24.00M,-137.00M,,,,24.00M,31.00M,-3.00M,28.00M,,-103.00M,,-1.00M,-52.00M,,565.00M,130.00M,,695.00M,2003-11,31.00M,,,-3.00M,,2003-11,
2003-08,227.00M,,,,15.00M,93.00M,93.00M,61.00M,,,,,-58.00M,-251.00M,15.00M,-9.00M,-162.00M,,-465.00M,,-69.00M,2003-08,-119.00M,4.00M,-115.00M,,37.00M,-35.00M,-113.00M,,,,102.00M,47.00M,-2.00M,45.00M,,-102.00M,,-1.00M,44.00M,,703.00M,-138.00M,,565.00M,2003-08,47.00M,,,-2.00M,,2003-08,
2003-05,225.00M,,,,51.00M,95.00M,95.00M,13.00M,,,,49.00M,139.00M,6.00M,-23.00M,8.00M,34.00M,,164.00M,2.00M,599.00M,2003-05,-324.00M,13.00M,-311.00M,-261.00M,-2.00M,64.00M,-510.00M,,,,-504.00M,21.00M,-4.00M,17.00M,,-102.00M,,1.00M,-588.00M,,1.202B,-499.00M,,703.00M,2003-05,21.00M,,,-4.00M,,2003-05,
2003-02,240.00M,,,,-110.00M,90.00M,90.00M,-41.00M,,,,79.00M,115.00M,201.00M,-5.00M,-225.00M,10.00M,,96.00M,-1.00M,353.00M,2003-02,-176.00M,0.00,-176.00M,54.00M,17.00M,-74.00M,-179.00M,,,,-633.00M,22.00M,-5.00M,17.00M,,-102.00M,,-1.00M,-719.00M,,1.747B,-545.00M,,1.202B,2003-02,22.00M,,,-5.00M,,2003-02,
2002-11,276.00M,,,,64.00M,90.00M,90.00M,15.00M,,,,-79.00M,-188.00M,-24.00M,-26.00M,164.00M,97.00M,20.00M,43.00M,0.00,409.00M,2002-11,-117.00M,1.00M,-116.00M,-54.00M,-17.00M,22.00M,-165.00M,,,,918.00M,33.00M,-3.00M,30.00M,,-101.00M,,-89.00M,758.00M,,745.00M,1.002B,,1.747B,2002-11,33.00M,,,-3.00M,,2002-11,
2002-08,176.00M,,,,22.00M,90.00M,90.00M,40.00M,,,,,-35.00M,-203.00M,26.00M,120.00M,55.00M,-20.00M,-57.00M,-1.00M,270.00M,2002-08,-94.00M,,-94.00M,,-4.00M,-66.00M,-164.00M,,,,-397.00M,20.00M,-17.00M,3.00M,,-101.00M,,159.00M,-336.00M,,975.00M,-230.00M,,745.00M,2002-08,20.00M,,,-17.00M,,2002-08,
2002-05,57.00M,,,,-82.00M,92.00M,92.00M,76.00M,,,,-207.00M,,,,,83.00M,291.00M,374.00M,-1.00M,309.00M,2002-05,3.429B,2.00M,3.431B,,11.00M,-3.719B,-277.00M,,,,-449.00M,31.00M,-11.00M,20.00M,,-101.00M,,150.00M,-380.00M,,1.323B,-348.00M,,975.00M,2002-05,31.00M,,,-11.00M,,2002-05,
2002-02,82.00M,,,,54.00M,90.00M,90.00M,0.00,,,,-49.00M,-69.00M,46.00M,-11.00M,90.00M,61.00M,-98.00M,19.00M,-1.00M,195.00M,2002-02,-3.792B,650.00M,-3.142B,3.593B,63.00M,-25.00M,489.00M,,,,-151.00M,32.00M,-16.00M,16.00M,,-100.00M,,21.00M,-214.00M,,854.00M,470.00M,,1.323B,2002-02,32.00M,,,-16.00M,,2002-02,
2001-11,131.00M,,,,15.90M,61.40M,61.40M,11.30M,,,,87.80M,69.00M,-46.00M,11.00M,-90.00M,-61.00M,4.10M,-112.90M,-0.40M,194.10M,2001-11,-79.30M,300.60M,221.30M,-3.558B,-30.20M,0.40M,-3.366B,,,,6.345B,48.40M,-2.349B,-2.300B,,-78.80M,,6.00M,3.972B,,53.50M,799.60M,,854.00M,2001-11,48.40M,,,-2.349B,,2001-11,
2001-08,188.00M,,,,12.10M,52.60M,52.60M,5.70M,,,,-38.80M,,,,,,-4.10M,-4.10M,-0.60M,214.90M,2001-08,-63.70M,7.40M,-56.30M,-35.40M,-19.80M,-5.40M,-116.90M,,,,1.40M,27.60M,-60.40M,-32.80M,,-78.20M,,1.00M,-108.60M,,64.10M,-10.60M,,53.50M,2001-08,27.60M,,,-60.40M,,2001-08,
2001-05,145.90M,,,,-24.90M,62.90M,62.90M,38.60M,,,,-43.40M,,,,,,129.60M,55.60M,-1.20M,233.50M,2001-05,-17.00M,,-16.00M,,2.70M,-102.80M,-116.10M,,,,-68.60M,25.10M,-21.90M,3.20M,,-77.90M,,13.20M,-130.10M,,77.30M,-12.70M,,64.00M,2001-05,25.10M,,,-21.90M,,2001-05,
2001-02,157.50M,,,,11.90M,56.10M,56.10M,3.00M,,,,-41.60M,,,,,,9.10M,9.10M,-0.90M,195.10M,2001-02,-153.20M,,-153.20M,,-17.30M,46.20M,-124.30M,,,,6.90M,40.50M,-30.70M,9.80M,,-78.20M,,1.10M,-60.40M,,94.50M,10.40M,,77.30M,2001-02,40.50M,,,-30.70M,,2001-02,
2000-11,202.70M,,,,7.30M,52.90M,52.90M,4.60M,,,,-16.20M,,,,,,-107.90M,-107.90M,-0.80M,142.60M,2000-11,-77.50M,,-77.50M,,-3.70M,-32.50M,-113.70M,,,,60.50M,26.50M,-11.60M,14.90M,,-77.80M,,-12.80M,-15.20M,,53.20M,13.70M,,94.50M,2000-11,26.50M,,,-11.60M,,2000-11,
2000-08,158.90M,,,,5.70M,51.10M,51.10M,1.80M,,,,-20.80M,,,,,,-30.80M,-30.80M,-0.10M,165.80M,2000-08,-60.30M,,-60.30M,,-9.70M,-35.90M,-105.90M,,,,184.20M,14.90M,-161.80M,-146.90M,,-78.10M,,8.50M,-32.30M,,25.60M,27.60M,,53.20M,2000-08,14.90M,,,-161.80M,,2000-08,
2000-05,108.50M,,,,-23.90M,59.60M,59.60M,25.70M,,,,-20.00M,,,,,,125.40M,0.40M,-1.00M,149.30M,2000-05,206.40M,,212.40M,,-1.60M,-305.20M,-94.40M,,,,418.50M,70.10M,-488.60M,-418.50M,,-79.10M,,2.60M,-76.50M,,47.50M,-21.60M,,26.00M,2000-05,70.10M,,,-488.60M,,2000-05,
2000-02,153.30M,,,,23.90M,51.70M,51.70M,6.20M,,,,-6.20M,,,,,,-12.00M,-12.00M,-0.60M,216.30M,2000-02,-139.80M,,-139.80M,,-4.80M,-0.50M,-145.10M,,,,191.60M,-20.60M,-168.50M,-189.10M,,-82.70M,,-13.90M,-94.10M,,70.40M,-22.90M,,47.50M,2000-02,-20.60M,,,-168.50M,,2000-02,
1999-11,193.70M,,,,,49.80M,49.80M,7.20M,,,,-14.20M,,,,,,-60.30M,-60.30M,-0.70M,175.50M,1999-11,-73.50M,,-73.50M,,2.80M,1.70M,-69.00M,,,,91.70M,19.50M,-101.90M,-82.40M,,-83.50M,,-7.90M,-82.10M,,46.00M,24.40M,,70.40M,1999-11,19.50M,,,-101.90M,,1999-11,
1999-08,158.50M,,,,,47.90M,47.90M,4.90M,,,,-10.60M,,,,,,-53.10M,-53.10M,-0.70M,146.90M,1999-08,-261.10M,,-261.10M,,-2.40M,8.00M,-255.50M,,,,254.20M,41.00M,-61.00M,-20.00M,,-83.70M,,0.20M,150.70M,,3.90M,42.10M,,46.00M,1999-08,41.00M,,,-61.00M,,1999-08,
1999-05,104.80M,,,,98.40M,51.80M,51.80M,9.80M,,,,0.00,,,,,,,-93.30M,-1.00M,170.50M,1999-05,-74.70M,,-62.90M,,-3.30M,-13.30M,-79.50M,,,,115.60M,10.00M,-151.50M,-141.50M,,-83.90M,,3.80M,-106.00M,,0.00,-15.00M,,3.90M,1999-05,10.00M,,,-151.50M,,1999-05,
1999-02,141.10M,,,,-98.40M,48.00M,48.00M,20.10M,,,,96.40M,,,,,,,,-0.80M,206.40M,1999-02,-73.60M,,-73.60M,,-1.90M,-88.60M,-164.10M,,,,24.60M,50.80M,-19.50M,31.30M,,-84.40M,,-4.40M,-32.90M,,0.00,9.40M,,0.00,1999-02,50.80M,,,-19.50M,,1999-02,
1998-11,143.60M,,,,51.60M,47.30M,47.30M,16.00M,,,,-127.70M,,,,,,41.20M,41.20M,-1.30M,170.70M,1998-11,-66.70M,,-66.70M,,-1.50M,-12.50M,-80.70M,,,,1.20M,21.60M,-44.10M,-22.50M,,-81.10M,,-7.80M,-110.20M,,29.70M,-20.20M,,0.00,1998-11,21.60M,,,-44.10M,,1998-11,
1998-08,145.00M,,,,,47.10M,47.10M,-3.90M,,,,-7.60M,,,,,,-41.20M,-41.20M,-0.80M,138.60M,1998-08,-65.90M,,-65.90M,,14.40M,0.90M,-50.60M,,,,132.40M,10.40M,-125.60M,-115.20M,,-82.00M,,0.10M,-64.70M,,6.40M,23.30M,,29.70M,1998-08,10.40M,,,-125.60M,,1998-08,
