,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2013-06,617.90M,6.794M,624.70M,1.445B,331.74M,1.845B,78.00M,,,434.04M,150.22M,3.132B,,,,,,,,3.610B,-1.619B,1.991B,9.057B,2.077B,11.13B,101.30M,,97.90M,13.32B,16.46B,,320.07M,,272.52M,592.59M,,592.59M,300.00M,,,242.32M,,242.32M,525.27M,2.215B,8.234B,,8.234B,751.45M,751.45M,157.40M,600.50M,372.10M,9.958B,12.17B,,0.135M,4.016B,1.245B,1.133B,,,-3.334M,4.125B,,AOR,Restated
2013-03,699.67M,7.142M,706.81M,1.517B,298.87M,1.816B,76.58M,,,441.83M,150.43M,3.191B,,,,,,,,3.462B,-1.546B,1.915B,9.015B,2.104B,11.12B,100.97M,,86.81M,13.22B,16.41B,,330.25M,37.98M,298.32M,666.55M,,666.55M,300.00M,,,228.22M,,228.22M,565.26M,2.325B,8.277B,,8.277B,737.52M,737.52M,157.09M,605.89M,511.03M,10.13B,12.46B,,0.135M,3.762B,1.208B,1.154B,,,-16.74M,3.799B,,AOR,Restated
2012-12,533.75M,7.138M,540.89M,1.424B,265.67M,1.742B,78.13M,146.78M,,324.15M,3.25M,2.887B,0.00,35.63M,148.88M,1.578B,,137.39M,1.495B,3.395B,-1.522B,1.872B,8.953B,2.128B,11.08B,94.49M,,79.85M,13.13B,16.01B,,414.14M,17.98M,278.66M,710.78M,122.96M,833.74M,,,233.04M,233.04M,,233.04M,382.73M,2.016B,8.327B,,8.327B,715.66M,715.66M,153.79M,580.69M,458.40M,10.08B,12.10B,,0.27M,3.732B,1.209B,1.162B,,,-15.30M,3.763B,,AOR,Restated
2012-09,382.19M,5.836M,388.03M,1.248B,207.44M,1.489B,78.32M,,,323.22M,46.99M,2.326B,,,,,,,,,,1.655B,5.325B,177.54M,5.503B,41.95M,,1.299B,8.498B,10.82B,,272.63M,0.00,,272.63M,,272.63M,,,,117.82M,,117.82M,416.90M,1.337B,5.621B,,5.621B,484.92M,484.92M,132.96M,,711.26M,6.817B,8.154B,,0.135M,3.576B,543.75M,1.564B,,,-18.28M,2.537B,,AOR,Restated
2012-06,273.44M,8.629M,282.07M,1.250B,211.49M,1.473B,77.68M,,,300.28M,45.65M,2.179B,,,,,,,,,,1.586B,5.258B,162.32M,5.420B,39.72M,,29.62M,7.076B,9.255B,,299.00M,0.00,,299.00M,,299.00M,,,,105.56M,,105.56M,395.02M,1.236B,4.393B,,4.393B,431.20M,431.20M,129.36M,,687.02M,5.511B,6.747B,,0.135M,3.431B,564.80M,1.598B,,,-19.38M,2.379B,,AOR,Restated
2012-03,449.29M,8.616M,457.91M,1.267B,216.49M,1.483B,72.28M,,,313.36M,47.49M,2.374B,,,,,,,,,,1.491B,5.065B,160.62M,5.225B,36.85M,,30.06M,6.783B,9.157B,,269.03M,80.52M,,349.55M,,349.55M,,,,89.65M,,89.65M,347.10M,1.242B,4.402B,,4.402B,448.37M,448.37M,127.40M,,662.80M,5.513B,6.755B,,0.135M,3.336B,575.36M,1.618B,,,-18.77M,2.275B,,AOR,Restated
2011-12,393.75M,17.40M,411.15M,1.195B,281.47M,1.477B,75.73M,48.26M,,280.38M,1.093M,2.293B,0.00,23.00M,34.17M,1.269B,,144.12M,1.266B,2.737B,-1.304B,1.433B,4.947B,159.49M,5.106B,37.22M,,34.23M,6.611B,8.904B,,289.65M,52.59M,,342.24M,90.30M,432.54M,,,,87.34M,,87.34M,223.13M,1.165B,4.418B,,4.418B,423.10M,423.10M,127.05M,478.22M,151.99M,5.471B,6.636B,,0.135M,3.196B,596.30M,1.632B,,,-19.48M,2.141B,,AOR,Restated
2011-09,541.21M,24.66M,565.87M,1.165B,242.22M,1.407B,73.29M,,,256.32M,67.45M,2.370B,,,,,,,,,,1.336B,4.770B,159.79M,4.930B,39.20M,,31.76M,6.337B,8.707B,,259.46M,38.80M,,298.26M,,298.26M,,,,82.50M,,82.50M,363.18M,1.206B,4.417B,,4.417B,393.54M,393.54M,83.14M,,607.35M,5.418B,6.624B,,0.135M,3.048B,611.83M,1.640B,,,-20.86M,1.999B,,AOR,Restated
2011-06,729.82M,23.01M,752.84M,1.132B,274.78M,1.412B,68.63M,,,229.83M,49.78M,2.513B,,,,,,,,,,1.224B,4.227B,152.86M,4.380B,40.19M,,35.26M,5.679B,8.193B,,254.13M,,,254.13M,,254.13M,,,,75.23M,,75.23M,317.29M,1.036B,4.211B,,4.211B,456.36M,456.36M,65.27M,,543.80M,5.211B,6.247B,,0.135M,2.912B,614.30M,1.634B,,,-11.79M,1.881B,,AOR,Restated
2011-03,1.006B,23.01M,1.029B,1.069B,277.06M,1.357B,69.64M,,,225.00M,46.34M,2.727B,,,,,,,,,,1.184B,4.182B,156.61M,4.339B,32.93M,,40.66M,5.596B,8.323B,,227.40M,,,227.40M,,227.40M,,,,74.55M,,74.55M,352.49M,1.007B,4.242B,,4.242B,443.88M,443.88M,62.51M,,492.60M,5.179B,6.186B,,0.135M,2.812B,618.36M,1.355B,,,-1.677M,2.074B,,AOR,Restated
