,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,InvestmentWriteOff,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,,AsOriginallyReported,Restated
2003-12,456.31M,456.31M,287.06M,169.24M,,48.07M,,-8.944M,,,,1.847M,66.66M,102.59M,,,-8.944M,,81.88M,30.40M,51.48M,,-1.847M,62.80M,57.11M,122.57M,19.98M,102.59M,,0.2667,0.0600,,0.2958,0.2667,,0.2433,0.0497,,0.2705,0.2433,,192.79M,206.69M,,,
2003-09,513.28M,513.28M,347.90M,165.39M,,49.13M,,-16.19M,,,,1.706M,70.18M,95.21M,,,-16.19M,,62.91M,24.85M,38.06M,,-1.706M,38.06M,47.85M,114.55M,19.34M,95.21M,,0.1933,0.00,,0.2435,0.1933,,0.18,0.00,,0.2227,0.18,,195.31M,229.50M,,,
2003-06,489.88M,489.88M,335.99M,153.90M,,51.36M,,0.89M,,,,1.813M,71.10M,82.80M,,,0.89M,,64.20M,25.68M,38.52M,,-1.813M,38.52M,37.99M,100.72M,17.92M,82.80M,,0.21,0.00,,0.2071,0.21,,0.1833,0.00,,0.1811,0.1833,,183.92M,237.57M,,,
2003-03,459.81M,459.81M,316.71M,143.10M,,45.02M,,0.785M,,,,1.294M,63.76M,79.33M,,,0.785M,,60.66M,24.25M,36.41M,,-1.294M,36.41M,35.94M,96.78M,17.44M,79.33M,,0.20,0.00,,0.1974,0.20,,0.1733,0.00,,0.1713,0.1733,,182.72M,236.32M,,,
2002-12,503.10M,503.10M,317.06M,186.04M,,46.57M,,-52.30M,,,,9.896M,73.36M,112.67M,,,-52.30M,,50.48M,21.03M,29.45M,,-0.335M,58.81M,60.83M,129.57M,16.90M,112.67M,,0.2467,,,0.4211,0.2467,,0.21,,,0.3005,0.21,,179.93M,346.63M,,,
2002-09,481.19M,481.19M,308.44M,172.76M,,45.16M,,1.124M,,,,,61.43M,111.32M,,,1.124M,,90.57M,36.40M,54.17M,,-1.911M,54.17M,53.50M,127.59M,16.27M,111.32M,,0.28,0.00,,0.2765,0.28,,0.24,0.00,,0.2370,0.24,,193.46M,225.71M,,,
2002-06,442.68M,442.68M,300.55M,142.12M,,47.91M,,5.673M,,,,-2.39M,61.21M,80.91M,,,5.673M,,64.23M,26.50M,37.73M,,-2.827M,8.37M,34.32M,96.61M,15.70M,80.91M,,0.0333,0.00,-0.1169,0.0198,0.0333,,0.0333,0.00,-0.1520,0.0198,0.0333,,251.10M,251.10M,,,
2002-03,427.66M,427.66M,291.63M,136.03M,,36.05M,,-4.69M,,,,-705.01M,-653.16M,789.19M,,,-4.69M,,61.98M,26.00M,35.98M,,-2.433M,35.98M,38.79M,804.99M,15.80M,789.19M,,0.1433,0.00,,0.1545,0.1433,,0.1333,0.00,,0.1438,0.1333,,251.01M,269.84M,,,
2001-12,429.66M,429.66M,290.88M,138.78M,,37.39M,,-0.177M,,,,,70.68M,68.09M,,,-0.177M,,59.09M,25.55M,33.54M,,-0.282M,32.56M,33.64M,94.25M,26.16M,68.09M,,0.0933,,,0.0937,0.09,,0.0917,,,0.0920,0.0883,,256.95M,302.49M,,,
2001-09,434.24M,434.24M,277.25M,156.99M,,33.84M,,1.856M,,,,,60.12M,96.87M,,,1.856M,,78.28M,34.00M,44.28M,,-2.126M,44.28M,43.16M,123.15M,26.28M,96.87M,,0.1733,0.00,,0.1690,0.1733,,0.1567,0.00,,0.1527,0.1567,,255.45M,282.63M,,,
2001-06,400.64M,400.64M,271.54M,129.10M,,32.04M,,1.12M,,,,,58.66M,70.43M,,,1.12M,,50.57M,22.00M,28.57M,,-2.269M,29.54M,27.90M,97.06M,26.62M,70.43M,,0.1133,0.0033,0.0039,0.1107,0.1167,,0.1067,0.0033,0.0036,0.1042,0.11,,253.24M,268.59M,,,
2001-03,386.22M,386.22M,260.97M,125.24M,,31.81M,,9.533M,,,,-8.185M,49.78M,75.47M,,,9.533M,,54.63M,23.70M,30.93M,,-2.457M,30.93M,25.21M,101.62M,26.15M,75.47M,,0.1234,0.00,,0.1003,0.1234,,0.1167,0.00,,0.0981,0.1167,,247.49M,306.45M,,,
2000-12,372.75M,372.75M,256.41M,116.34M,,37.26M,,1.828M,,,,,64.55M,51.79M,,,1.828M,,28.22M,12.89M,15.33M,,-2.774M,15.33M,14.24M,79.08M,27.29M,51.79M,,0.05,0.0133,-0.0017,0.0455,0.0633,,0.0467,0.0133,-0.0017,0.0422,0.06,,246.41M,246.41M,,,
2000-09,362.54M,362.54M,248.73M,113.80M,,36.97M,,1.418M,,,,,63.90M,49.91M,,,1.418M,,23.81M,10.66M,13.15M,,-1.147M,9.66M,12.30M,76.83M,26.93M,49.91M,,0.0533,-0.0133,-0.0145,0.0498,0.04,,0.0533,-0.0133,-0.0145,0.0498,0.04,,241.50M,241.50M,,,
2000-06,378.91M,378.91M,267.71M,111.19M,,44.27M,,-16.40M,,,,,73.94M,37.26M,,,-16.40M,,-14.65M,0.709M,-15.36M,,-1.023M,-15.36M,-5.516M,66.93M,29.67M,37.26M,,-0.0634,0.00,,-0.0231,-0.0634,,-0.0634,0.00,,-0.0231,-0.0634,,244.57M,244.57M,,,
2000-03,372.11M,372.11M,259.30M,112.82M,,44.78M,,1.395M,,,,,72.50M,40.32M,,,1.395M,,7.549M,3.702M,3.847M,,-0.998M,3.847M,3.01M,68.04M,27.72M,40.32M,,0.0167,0.00,,0.0130,0.0167,,0.0167,0.00,,0.0130,0.0167,,230.82M,230.82M,,,
1999-12,373.15M,373.15M,258.74M,114.41M,,114.61M,,-121.60M,,,,,142.89M,-28.48M,,,-121.60M,,-188.23M,-40.17M,-148.06M,,1.248M,-148.06M,-52.41M,-0.196M,28.28M,-28.48M,,-0.6067,0.00,,-0.2304,-0.6067,,-0.6067,0.00,,-0.2304,-0.6067,,254.18M,254.18M,,,
1999-09,367.20M,367.20M,250.80M,116.40M,,49.70M,,-3.30M,,,,,79.50M,36.90M,,,-3.30M,,4.20M,2.30M,1.90M,,-1.60M,1.90M,3.88M,66.70M,29.80M,36.90M,,0.0067,0.00,,0.0136,0.0067,,0.0067,0.00,,0.0136,0.0067,,284.86M,284.86M,,,
1999-06,352.80M,352.80M,248.50M,104.30M,,66.20M,,-16.60M,,,,,93.60M,10.70M,,,-16.60M,,-30.70M,-9.70M,-21.00M,,-2.50M,-21.00M,-9.645M,38.10M,27.40M,10.70M,,-0.0867,0.00,,-0.0398,-0.0867,,-0.0867,0.00,,-0.0398,-0.0867,,242.19M,242.19M,,,
1999-03,352.20M,352.20M,222.10M,130.10M,,33.20M,,1.30M,,,,,60.20M,69.90M,,,1.30M,,46.20M,18.30M,27.90M,,-2.30M,27.90M,27.11M,96.90M,27.00M,69.90M,,0.1134,0.00,,0.1102,0.1134,,0.1134,0.00,,0.1102,0.1134,,246.05M,246.05M,,,
1998-12,338.00M,338.00M,230.20M,107.80M,,46.50M,,15.90M,,,,,74.40M,33.40M,,,15.90M,,23.80M,9.50M,14.30M,,-2.40M,14.30M,4.747M,61.30M,27.90M,33.40M,,-0.0233,0.0834,0.0299,-0.0614,0.0600,,-0.0233,0.0834,0.0299,-0.0587,0.0600,,251.07M,269.77M,,,
1998-09,318.60M,318.60M,200.90M,117.70M,,26.20M,,1.00M,,,,,48.60M,69.10M,,,1.00M,,48.30M,19.20M,29.10M,,-1.90M,29.10M,28.50M,91.50M,20.10M,69.10M,,0.1201,0.00,,0.1176,0.1201,,0.1167,0.00,,0.1143,0.1167,,242.38M,249.30M,,,
1998-06,288.40M,288.40M,183.30M,105.10M,,25.40M,,,,,,,48.20M,56.90M,,,,,29.90M,12.10M,17.80M,,-1.60M,7.90M,17.80M,80.30M,23.40M,56.90M,,0.0734,-0.0400,-0.0418,0.0734,0.0334,,0.0734,-0.0400,-0.0418,0.0734,0.0334,,236.88M,236.88M,,,
1998-03,258.70M,258.70M,165.30M,93.40M,,23.70M,,-91.20M,,,,,42.70M,50.70M,,,-91.20M,,-56.40M,-3.60M,-52.80M,,-1.40M,-62.40M,32.58M,69.70M,19.00M,50.70M,,-0.2234,-0.0400,-0.0405,0.1370,-0.2635,,-0.2234,-0.0400,-0.0405,0.1370,-0.2635,,236.84M,236.84M,,,
1997-12,223.00M,223.00M,153.60M,69.40M,,28.80M,,0.90M,,,,,44.40M,25.00M,,,0.90M,,12.60M,7.00M,5.60M,,-1.30M,5.60M,5.06M,40.60M,15.60M,25.00M,,0.0233,0.00,,0.0209,0.0233,,0.0233,0.00,,0.0209,0.0233,,224.86M,224.86M,,,
1997-09,197.70M,197.70M,131.70M,66.00M,,18.60M,,0.90M,,,,,32.80M,33.20M,,,0.90M,,25.80M,11.20M,14.60M,,-0.90M,14.60M,14.06M,59.40M,26.20M,33.20M,,0.0634,0.00,,0.0593,0.0634,,0.0600,0.00,,0.0560,0.0600,,131.78M,135.34M,,,
1997-06,104.80M,104.80M,70.40M,34.40M,,9.30M,,0.50M,,,,,15.70M,18.70M,,,0.50M,,15.00M,6.10M,8.90M,,-1.00M,8.90M,8.60M,25.10M,6.40M,18.70M,,0.0667,0.00,,0.0645,0.0667,,0.0667,0.00,,0.0645,0.0667,,133.43M,133.43M,,,
1997-03,89.00M,89.00M,60.10M,28.90M,,7.60M,,0.40M,,,,,13.00M,15.90M,,,0.40M,,13.20M,5.40M,7.80M,,-1.30M,7.80M,7.56M,21.30M,5.40M,15.90M,,0.0600,0.00,,0.0582,0.0600,,0.0567,0.00,,0.0550,0.0567,,129.94M,137.58M,,,
1996-12,309.80M,309.80M,218.10M,91.70M,,30.60M,,-0.90M,,,,,52.70M,39.00M,,,-0.90M,,29.40M,11.50M,17.90M,,-1.30M,17.90M,18.45M,61.10M,22.10M,39.00M,,0.0500,-0.0033,0.0089,0.0548,0.0467,,0.0500,-0.0033,0.0089,0.0546,0.0467,,114.73M,119.94M,,,
1996-09,73.30M,73.30M,49.50M,23.80M,,6.50M,,0.40M,,,,,10.70M,13.10M,,,0.40M,,10.90M,4.40M,6.50M,,-0.90M,-1.20M,6.26M,17.40M,4.30M,13.10M,,0.0500,-0.0567,-0.0593,0.0480,-0.0067,,0.0500,-0.0567,-0.0593,0.0481,-0.0067,,119.94M,124.94M,,,
1996-06,64.60M,64.60M,43.30M,21.30M,,6.10M,,1.20M,,,,,9.70M,11.60M,,,1.20M,,9.80M,4.10M,5.70M,,-0.70M,5.70M,4.98M,15.20M,3.50M,11.60M,,0.0434,0.00,,0.0379,0.0434,,0.0434,0.00,,0.0379,0.0434,,131.47M,131.47M,,,
1996-03,50.20M,50.20M,33.30M,16.90M,,4.90M,,0.40M,,,,,7.40M,9.50M,,,0.40M,,7.30M,3.00M,4.30M,,-0.80M,4.30M,4.06M,12.00M,2.50M,9.50M,,0.0367,0.00,,0.0346,0.0367,,0.0367,0.00,,0.0346,0.0367,,117.21M,117.21M,,,
1995-11,39.40M,39.40M,25.00M,14.40M,,4.10M,,,,,,,6.10M,8.30M,,,,,4.90M,2.10M,2.80M,,-0.70M,2.80M,2.80M,10.40M,2.10M,8.30M,,0.0334,0.00,,0.0334,0.0334,,0.0334,0.00,,0.0334,0.0334,,83.96M,83.96M,,,
1995-08,35.70M,35.70M,22.70M,13.00M,,3.80M,,,,,,,5.50M,7.50M,,,,,4.10M,1.70M,2.40M,,-0.80M,2.40M,2.40M,9.20M,1.70M,7.50M,,0.0300,0.00,,0.0300,0.0300,,0.0300,0.00,,0.0300,0.0300,,79.96M,79.96M,,,
1995-05,24.80M,24.80M,,,,,,,,,,,,-57.00M,,,,,,,1.30M,,,1.30M,1.30M,-57.00M,,-57.00M,,,,,0.0163,0.0163,,,,,0.0163,0.0163,,79.96M,79.96M,,,
1995-02,24.80M,24.80M,,,,,,,,,,,,24.80M,,,,,,,1.20M,,,1.20M,1.20M,24.80M,,24.80M,,0.0100,0.00,,0.0100,0.0100,,0.0067,0.00,,0.0067,0.0067,,119.94M,179.91M,,,
1994-11,24.70M,24.70M,,,,,,,,,,,,24.70M,,,,,,,1.20M,,,1.20M,1.20M,24.70M,,24.70M,,0.0067,0.00,,0.0067,0.0067,,0.0067,0.00,,0.0067,0.0067,,179.91M,179.91M,,,
1994-08,24.70M,24.70M,,,,,,,,,,,,24.70M,,,,,,,1.20M,,,1.20M,1.20M,24.70M,,24.70M,,0.0067,0.00,,0.0067,0.0067,,0.0067,0.00,,0.0067,0.0067,,179.91M,179.91M,,,
