,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-03,304.60M,0.60M,305.20M,1.861B,1.861B,463.00M,222.20M,706.00M,1.250B,534.30M,,628.80M,4.578B,,,,,,2.322B,-1.172B,1.150B,4.534B,731.50M,5.266B,,1.417B,7.833B,12.41B,922.70M,,922.70M,1.243B,2.166B,,,,1.187B,1.187B,,,198.30M,3.551B,903.00M,903.00M,,,,,,2.571B,3.474B,7.025B,305.30M,5.397B,,,,,,-316.20M,5.386B
2006-12,355.80M,0.70M,356.50M,1.482B,1.482B,353.80M,186.30M,393.00M,837.70M,,,2.862B,5.538B,,,,,,2.040B,-1.172B,868.20M,3.837B,712.80M,4.55B,,1.190B,6.608B,12.15B,757.60M,,757.60M,1.100B,1.858B,,,,1.079B,1.079B,,,1.175B,4.112B,905.20M,905.20M,,,,73.60M,,1.650B,2.555B,6.668B,306.80M,5.456B,,,,,,-358.10M,5.405B
2006-09,265.40M,0.90M,266.30M,2.017B,2.017B,478.80M,239.40M,805.20M,1.387B,368.20M,,,4.038B,,,,,,2.150B,-918.80M,1.231B,4.542B,715.60M,5.258B,,1.252B,7.741B,11.78B,962.70M,,962.70M,1.498B,2.461B,,,,908.40M,908.40M,,,,3.370B,1.171B,1.171B,,,,,,1.559B,2.730B,6.100B,308.90M,5.349B,,,,,,22.00M,5.68B
2006-06,258.70M,0.60M,259.30M,2.072B,2.072B,445.80M,237.80M,746.10M,1.298B,402.70M,,,4.031B,,,,,,2.121B,-918.80M,1.203B,4.522B,719.30M,5.241B,,1.284B,7.727B,11.76B,932.70M,,932.70M,1.521B,2.454B,,,,467.50M,467.50M,,,,2.921B,1.171B,1.171B,,,,,,1.605B,2.776B,5.698B,324.80M,5.736B,,,,,,0.70M,6.061B
2006-03,778.00M,46.70M,824.70M,1.901B,1.901B,435.70M,221.40M,713.80M,1.247B,435.40M,,,4.408B,,,,,,2.005B,-918.80M,1.086B,4.477B,795.40M,5.272B,,1.222B,7.580B,11.99B,896.20M,,896.20M,1.490B,2.387B,,,,929.20M,929.20M,,,,3.316B,1.181B,1.181B,,,,,,1.589B,2.770B,6.086B,328.40M,,,,,,,5.573B,5.902B
2005-12,880.60M,156.50M,1.037B,1.679B,1.679B,436.30M,193.40M,622.40M,1.129B,403.30M,,,4.248B,0.0,603.30M,,1.392B,,1.995B,-918.80M,1.076B,,5.232B,5.232B,,1.200B,7.508B,11.76B,812.50M,,812.50M,1.454B,2.267B,,,,932.70M,932.70M,,,,3.200B,1.184B,1.184B,,,,,,1.610B,2.795B,5.994B,330.70M,5.559B,,,,,,-127.60M,5.762B
2005-09,732.10M,152.70M,884.80M,1.765B,1.765B,422.10M,248.20M,664.60M,1.230B,360.50M,,,4.240B,,,,,,1.922B,-830.60M,1.092B,,5.285B,5.285B,,922.90M,7.300B,11.54B,722.90M,,722.90M,1.430B,2.153B,993.40M,,,993.40M,993.40M,,,,3.147B,1.191B,1.191B,,,,,,1.595B,2.785B,5.932B,333.90M,5.441B,,,,,,-166.80M,5.608B
2005-06,915.60M,,915.60M,1.786B,1.786B,422.20M,223.90M,668.80M,1.211B,360.20M,,,4.273B,,,,,,1.904B,-830.60M,1.073B,,5.257B,5.257B,,950.30M,7.280B,11.55B,772.70M,,772.70M,1.441B,2.214B,983.90M,,,983.90M,983.90M,,,,3.198B,1.190B,1.190B,,,,,,1.607B,2.797B,5.994B,168.60M,5.540B,,,,,,-150.10M,5.558B
2005-03,1.024B,,1.024B,1.713B,1.713B,369.60M,258.60M,723.80M,1.248B,390.70M,,,4.377B,,,,,,1.916B,-830.60M,1.086B,,5.193B,5.193B,,876.90M,7.156B,11.53B,752.00M,,752.00M,1.525B,2.277B,,,,689.80M,689.80M,,,,2.967B,1.332B,1.332B,,,,,,1.562B,2.895B,5.861B,171.50M,5.522B,,,,,,-22.30M,5.671B
2004-12,1.703B,0.60M,1.704B,1.498B,1.498B,359.40M,190.10M,612.30M,1.059B,348.80M,,,4.610B,,,,,,1.844B,-830.60M,1.013B,,4.829B,4.829B,,962.50M,6.805B,11.41B,684.00M,,684.00M,1.580B,2.264B,612.80M,,,612.80M,612.80M,,,,2.877B,1.268B,1.268B,,,,,,1.536B,2.804B,5.681B,173.10M,5.498B,,,,,,62.80M,5.734B
2004-09,440.70M,,440.70M,1.578B,1.578B,268.10M,203.50M,636.20M,1.026B,285.70M,,850.50M,4.181B,,,,,,1.828B,-830.60M,997.10M,,4.772B,4.772B,,819.60M,6.588B,10.77B,658.80M,,658.80M,1.252B,1.910B,,,,621.70M,621.70M,,,350.90M,2.883B,1.356B,1.356B,,,,,,1.611B,2.968B,5.851B,176.70M,,5.005B,,,,,-262.50M,4.919B
2004-06,390.70M,,390.70M,1.768B,1.768B,300.10M,252.10M,579.70M,1.051B,358.00M,,13.30M,3.581B,,,,,,1.942B,-830.60M,1.112B,,5.030B,5.030B,,866.50M,7.008B,10.59B,740.50M,,740.50M,1.370B,2.111B,,,,691.60M,691.60M,,,1.00M,2.804B,1.367B,1.367B,,,,,,1.659B,3.026B,5.829B,176.60M,,4.868B,,,,,-284.40M,4.76B
2004-03,210.80M,1.00M,211.80M,1.662B,1.662B,321.30M,261.40M,570.80M,1.084B,393.20M,,157.80M,3.508B,,,,,,1.971B,-830.60M,1.140B,,5.046B,5.046B,,899.00M,7.086B,10.59B,696.80M,,696.80M,1.472B,2.169B,,,,799.50M,799.50M,,,31.80M,3.000B,1.523B,1.523B,,,,,,1.579B,3.102B,6.102B,175.70M,,4.581B,,,,,-265.00M,4.492B
2003-12,417.20M,,417.20M,1.403B,1.403B,224.30M,148.20M,554.90M,858.00M,286.80M,,1.052B,4.017B,,,,,,1.897B,-830.60M,1.066B,,4.795B,4.795B,,787.70M,6.648B,10.66B,620.30M,,620.30M,1.282B,1.903B,,,,797.00M,797.00M,,,438.90M,3.139B,1.518B,1.518B,,,,,,1.515B,3.033B,6.172B,174.50M,,4.589B,,,,,-270.50M,4.493B
2003-09,191.10M,145.10M,336.20M,1.447B,1.447B,299.40M,255.70M,657.30M,1.103B,298.40M,,15.20M,3.200B,,,,,,2.058B,-830.60M,1.228B,,4.997B,4.997B,,748.20M,6.973B,10.17B,665.40M,,665.40M,1.409B,2.075B,,,,611.50M,611.50M,,,10.20M,2.696B,1.781B,1.781B,,,,,,1.612B,3.394B,6.090B,172.80M,,,,,,,3.911B,4.083B
2003-06,108.10M,165.60M,273.70M,1.505B,1.505B,308.50M,311.40M,711.00M,1.222B,254.20M,,,3.256B,,,,,,2.074B,-830.60M,1.243B,,4.984B,4.984B,,743.00M,6.970B,10.23B,727.00M,,727.00M,1.409B,2.136B,699.30M,,,699.30M,699.30M,,,,2.835B,1.836B,1.836B,,,,,,1.705B,3.541B,6.376B,169.70M,,,,,,,3.680B,3.849B
2003-03,125.20M,148.40M,273.60M,1.349B,1.349B,310.20M,302.90M,698.50M,1.204B,277.20M,,,3.103B,,,,,,2.084B,-830.60M,1.253B,,4.931B,4.931B,651.00M,,6.835B,9.938B,692.10M,,692.10M,1.418B,2.110B,,,,529.90M,529.90M,,,,2.640B,2.089B,2.089B,,,,,,1.605B,3.693B,6.334B,169.30M,3.582B,,,,,,-146.60M,3.604B
2002-12,342.20M,,342.20M,1.405B,1.405B,307.10M,361.40M,628.70M,1.190B,381.10M,,794.00M,4.112B,0.0,622.90M,,1.488B,,2.110B,-830.60M,1.280B,4.006B,890.90M,4.896B,,520.90M,6.697B,10.81B,730.30M,,730.30M,1.617B,2.347B,,,,1.156B,1.156B,,,295.20M,3.798B,2.092B,2.092B,,,,115.10M,,1.326B,3.418B,7.216B,169.20M,3.457B,364.70M,,,,,-513.10M,3.478B
2002-09,112.90M,1.40M,114.30M,1.554B,1.554B,328.20M,436.00M,804.10M,1.426B,295.50M,,,3.390B,,,,,,2.520B,-889.90M,1.630B,3.992B,888.90M,4.880B,,841.90M,7.353B,10.74B,734.10M,,734.10M,1.550B,2.284B,,,,1.274B,1.274B,,,,3.557B,2.166B,2.166B,,,,,,1.419B,3.585B,7.142B,169.20M,3.666B,,,,,,-234.80M,3.600B
2002-06,123.90M,8.80M,132.70M,1.561B,1.561B,329.60M,398.50M,800.50M,1.387B,334.20M,,,3.415B,,,,,,2.522B,-889.90M,1.632B,,4.859B,4.859B,,865.50M,7.357B,10.77B,734.10M,,734.10M,1.494B,2.228B,,,,1.437B,1.437B,,,,3.664B,2.167B,2.167B,,,,,,1.409B,3.576B,7.241B,169.20M,3.605B,,,,,,-243.60M,3.531B
2002-03,92.60M,6.10M,98.70M,1.498B,1.498B,312.90M,394.20M,779.50M,1.345B,315.60M,,,3.257B,,,,,,2.490B,-889.90M,1.600B,,5.665B,5.665B,,628.10M,7.894B,11.15B,2.075B,,2.075B,,2.075B,,,,1.488B,1.488B,,,,3.564B,2.204B,2.204B,,,,,,1.410B,3.614B,7.177B,168.90M,4.152B,,,,,,-347.60M,3.974B
2001-12,114.00M,,114.00M,1.360B,1.360B,272.40M,344.90M,635.60M,1.144B,321.20M,,760.20M,3.699B,,,,,,2.179B,-889.90M,1.290B,4.808B,848.10M,5.656B,,489.60M,7.435B,11.13B,701.60M,,701.60M,1.471B,2.172B,,,,561.90M,561.90M,,,249.30M,2.984B,2.901B,2.901B,178.80M,178.80M,,107.60M,,1.047B,4.126B,7.110B,168.00M,3.746B,324.20M,,,,,-321.40M,3.917B
2001-09,105.30M,13.20M,118.50M,1.513B,1.513B,334.10M,394.40M,745.60M,1.327B,213.00M,,,3.172B,,,,,,2.50B,-889.90M,1.610B,,5.455B,5.455B,160.40M,496.80M,7.723B,10.89B,1.906B,,1.906B,,1.906B,,,,946.40M,946.40M,,,2.50M,2.855B,2.908B,2.908B,,,,113.40M,,1.152B,4.060B,6.915B,360.60M,,,,,,,3.505B,3.866B
2001-06,57.60M,5.90M,63.50M,1.357B,1.357B,274.30M,248.40M,729.90M,1.107B,159.40M,,586.70M,3.274B,,,,,,2.408B,-935.10M,1.473B,,5.159B,5.159B,117.40M,496.70M,7.246B,10.52B,1.568B,,1.568B,,1.568B,,,,938.80M,938.80M,,,31.60M,2.539B,2.992B,2.992B,,,,111.80M,,1.020B,4.012B,6.550B,360.50M,,3.812B,,,,,-314.80M,3.857B
2001-03,76.20M,4.60M,80.80M,1.327B,1.327B,,,,1.106B,151.80M,,571.90M,3.238B,,,,,,2.418B,-913.80M,1.504B,,5.054B,5.054B,103.00M,513.40M,7.175B,10.41B,1.526B,,1.526B,,1.526B,,,,1.681B,1.681B,118.00M,118.00M,,3.325B,2.140B,2.140B,,,,111.60M,402.50M,1.003B,3.546B,6.871B,343.50M,,,,,,,3.087B,3.430B
2000-12,97.00M,130.40M,227.40M,1.671B,1.671B,358.40M,372.90M,654.40M,1.242B,235.50M,,,3.376B,,,,,,2.543B,-889.90M,1.653B,,5.372B,5.372B,152.90M,497.90M,7.676B,11.05B,681.40M,,681.40M,1.561B,2.242B,,,,2.126B,2.126B,,,,4.368B,1.540B,1.540B,,,,113.40M,402.50M,1.147B,3.090B,7.458B,343.10M,3.613B,258.80M,471.00M,,,,-262.40M,3.481B
2000-09,58.00M,105.70M,163.70M,,1.482B,,,,961.50M,,,823.10M,3.43B,,,,,,2.347B,-909.80M,1.437B,,5.156B,5.156B,,586.40M,7.179B,10.61B,1.422B,,1.422B,,1.422B,,,,2.388B,2.388B,,,167.00M,3.977B,1.678B,1.678B,,,,111.80M,,1.041B,2.719B,6.696B,745.50M,3.315B,,,402.50M,,,-259.10M,3.802B
2000-06,80.40M,7.40M,87.80M,,1.530B,,,,947.20M,,,1.504B,4.069B,,,,,,2.312B,-880.20M,1.432B,,5.128B,5.128B,,550.40M,7.109B,11.18B,1.464B,,1.464B,,1.464B,,,,3.242B,3.242B,,,59.90M,4.766B,1.676B,1.676B,,,,111.00M,,990.00M,2.666B,7.432B,745.50M,3.126B,,,402.50M,,,-235.60M,3.636B
2000-03,86.00M,,86.00M,,1.179B,,,,835.00M,,,1.415B,3.516B,,,,,,2.100B,-865.20M,1.235B,,3.715B,3.715B,,548.60M,5.498B,9.014B,1.334B,,1.334B,,1.334B,,,,910.70M,910.70M,,,63.10M,2.308B,2.113B,2.113B,,,,95.80M,,965.60M,3.079B,5.387B,745.00M,2.981B,,,402.50M,,,-194.80M,3.531B
1999-12,222.90M,0.50M,223.40M,988.50M,988.50M,,,,742.10M,,,914.30M,2.868B,,,,,,2.085B,-844.70M,1.240B,,3.726B,3.726B,,565.20M,5.532B,8.40B,1.224B,,1.224B,,1.224B,,,,495.50M,495.50M,,,19.00M,1.739B,2.113B,2.113B,,,,95.70M,,1.369B,3.482B,5.221B,342.30M,3.053B,237.80M,356.70M,,,,-193.50M,3.083B
1999-09,61.80M,1.80M,63.60M,,1.107B,,,,783.90M,,,489.20M,2.444B,,,,,,2.138B,-886.80M,1.251B,,3.772B,3.772B,,570.30M,5.594B,8.037B,1.242B,,1.242B,,1.242B,,,,258.40M,258.40M,,,29.30M,1.529B,2.116B,2.116B,,,,436.10M,,983.50M,3.100B,4.629B,342.20M,,,,,,,2.630B,2.972B
1999-06,79.30M,,79.30M,,1.293B,,,,905.80M,,,317.30M,2.595B,,,,,,2.448B,-1.107B,1.341B,,3.801B,3.801B,,728.70M,5.871B,8.466B,1.494B,,1.494B,,1.494B,,,,298.00M,298.00M,,,20.20M,1.812B,2.186B,2.186B,,,,524.30M,,1.060B,3.246B,5.058B,,2.805B,,,,,,,2.884B
1999-03,72.70M,,72.70M,,1.238B,,,,940.50M,,,237.30M,2.488B,,,,,,2.418B,-1.084B,1.334B,,3.731B,3.731B,,925.30M,5.990B,8.478B,1.445B,,1.445B,,1.445B,,,,455.00M,455.00M,,,67.80M,1.968B,2.166B,2.166B,,,,524.60M,,1.044B,3.21B,5.178B,,2.664B,,,,,,,2.776B
1998-12,44.00M,2.00M,46.00M,,964.00M,,,,825.00M,,,524.00M,2.359B,,,,,,2.062B,-825.00M,1.237B,,3.766B,3.766B,,564.00M,5.567B,7.926B,1.284B,,1.284B,,1.284B,,,,318.00M,318.00M,,,19.00M,1.621B,2.166B,2.166B,,,,436.00M,,973.00M,3.139B,4.76B,338.00M,2.567B,133.00M,178.00M,,,,-131.00M,2.73B
1998-09,97.20M,,97.20M,,1.238B,,,,959.10M,,,293.10M,2.587B,,,,,,2.416B,-1.097B,1.319B,,3.803B,3.803B,,741.90M,5.864B,8.451B,1.565B,,1.565B,,1.565B,,,,256.30M,256.30M,,,,1.822B,2.427B,2.427B,,,,536.50M,,1.112B,3.539B,5.361B,,2.757B,,,,,,,2.554B
1998-06,108.50M,,108.50M,,1.320B,,,,903.40M,,,298.10M,2.630B,,,,,,2.338B,-1.047B,1.290B,,3.796B,3.796B,,764.40M,5.850B,8.481B,1.498B,,1.498B,,1.498B,,,,356.80M,356.80M,,,,1.854B,2.528B,2.528B,,,,521.50M,,1.106B,3.633B,5.487B,,2.471B,,,,,,,2.472B
