,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-06,555.00M,555.00M,647.00M,,649.00M,1.194B,,,,249.00M,2.647B,12.63B,557.00M,13.19B,-4.294B,8.895B,,,,,,2.348B,11.24B,13.89B,478.00M,,478.00M,887.00M,1.365B,,,517.00M,517.00M,,,,1.882B,,5.698B,216.00M,5.914B,56.00M,56.00M,,52.00M,44.00M,,6.014B,11.23B,251.00M,-2.106B,4.488B,249.00M,,,-22.00M,2.611B
2008-03,841.00M,841.00M,921.00M,,921.00M,808.00M,,,,317.00M,2.887B,12.57B,463.00M,13.03B,-4.245B,8.786B,,,,,,2.569B,11.36B,14.24B,396.00M,,396.00M,982.00M,1.378B,,,856.00M,856.00M,,,,2.234B,,5.722B,221.00M,5.943B,57.00M,57.00M,,53.00M,44.00M,,6.044B,11.73B,252.00M,-2.131B,4.483B,250.00M,,,-149.00M,2.455B
2007-12,348.00M,348.00M,907.00M,,907.00M,1.334B,,,,291.00M,2.88B,12.45B,447.00M,12.89B,-4.166B,8.728B,,,,,,2.584B,11.31B,14.19B,431.00M,,431.00M,1.319B,1.75B,,,723.00M,723.00M,,,,2.473B,,5.563B,225.00M,5.788B,58.00M,58.00M,,53.00M,44.00M,,5.89B,11.76B,252.00M,-2.208B,4.48B,250.00M,,,-144.00M,2.38B
2007-09,1.245B,1.245B,533.00M,,533.00M,1.509B,,,,409.00M,3.696B,11.70B,381.00M,12.08B,-4.117B,7.961B,,,,,,2.647B,10.61B,14.30B,488.00M,,488.00M,963.00M,1.451B,,,998.00M,998.00M,,,,2.449B,,5.568B,226.00M,5.794B,59.00M,59.00M,,50.00M,44.00M,,5.897B,11.73B,252.00M,-2.07B,4.476B,250.00M,,,-136.00M,2.522B
2007-06,1.944B,1.944B,699.00M,,699.00M,1.13B,,,,398.00M,4.171B,11.57B,327.00M,11.90B,-4.076B,7.82B,,,,,,2.699B,10.52B,14.69B,470.00M,,470.00M,1.017B,1.487B,,,986.00M,986.00M,,,,2.473B,,5.585B,232.00M,5.817B,128.00M,60.00M,,54.00M,44.00M,,5.921B,12.18B,252.00M,-2.14B,4.477B,250.00M,,,-137.00M,2.452B
2007-03,642.00M,642.00M,1.072B,,1.072B,824.00M,,,,677.00M,3.215B,12.43B,759.00M,13.19B,-5.286B,7.903B,26.00M,,,,,4.133B,12.06B,15.28B,495.00M,,495.00M,966.00M,1.461B,,,723.00M,723.00M,,,,2.184B,,6.21B,52.00M,6.262B,168.00M,61.00M,,85.00M,,,6.323B,12.79B,296.00M,-2.168B,4.468B,294.00M,,,-192.00M,2.404B
2006-12,249.00M,249.00M,564.00M,,564.00M,1.342B,,,,988.00M,3.143B,12.26B,639.00M,12.90B,-5.194B,7.708B,,,,,,4.52B,12.23B,15.37B,566.00M,,566.00M,1.024B,1.59B,,,566.00M,566.00M,,,,2.156B,,6.38B,42.00M,6.422B,182.00M,62.00M,,91.00M,44.00M,,6.528B,12.78B,263.00M,-1.918B,4.468B,261.00M,,,-318.00M,2.495B
2006-09,459.00M,459.00M,624.00M,,624.00M,1.52B,,,,443.00M,3.046B,12.75B,587.00M,13.34B,-5.259B,8.081B,30.00M,,,,,3.821B,11.93B,14.98B,499.00M,,499.00M,771.00M,1.27B,,,315.00M,315.00M,,,,1.585B,,6.822B,296.00M,7.118B,67.00M,63.00M,,344.00M,44.00M,,7.225B,12.10B,263.00M,-1.886B,4.461B,261.00M,-306.00M,5.00M,-301.00M,2.537B
2006-06,851.00M,851.00M,857.00M,,857.00M,1.171B,,,,514.00M,3.393B,12.67B,572.00M,13.24B,-5.21B,8.028B,30.00M,,,,,4.215B,12.27B,15.67B,509.00M,,509.00M,995.00M,1.504B,,,174.00M,174.00M,,,,1.678B,,7.029B,310.00M,7.339B,143.00M,64.00M,,362.00M,44.00M,,7.447B,12.65B,263.00M,-1.783B,4.452B,261.00M,,,-282.00M,2.65B
2006-03,758.00M,758.00M,1.084B,,1.084B,898.00M,,,,574.00M,3.314B,12.52B,548.00M,13.06B,-5.166B,7.898B,30.00M,,,,,4.308B,12.24B,15.55B,400.00M,,400.00M,907.00M,1.307B,,,319.00M,319.00M,,,,1.626B,,6.892B,309.00M,7.201B,318.00M,65.00M,,354.00M,44.00M,,7.31B,12.63B,263.00M,-1.855B,4.445B,261.00M,,,-286.00M,2.567B
2005-12,847.00M,847.00M,899.00M,,899.00M,1.275B,,,,899.00M,3.92B,12.45B,520.00M,12.97B,-5.123B,7.845B,27.00M,,,,,4.249B,12.12B,16.04B,613.00M,,613.00M,1.076B,1.689B,,,445.00M,445.00M,,,,2.134B,,6.978B,308.00M,7.286B,364.00M,67.00M,,333.00M,44.00M,,7.397B,13.12B,263.00M,-1.828B,4.436B,261.00M,,,-288.00M,2.583B
2005-09,793.00M,793.00M,642.00M,,642.00M,1.38B,,,,1.125B,3.94B,12.30B,501.00M,12.80B,-5.077B,7.719B,30.00M,,,,,4.426B,12.18B,16.12B,531.00M,,531.00M,1.196B,1.727B,,,441.00M,441.00M,,,,2.168B,,6.699B,299.00M,6.998B,613.00M,75.00M,,396.00M,44.00M,,7.117B,13.15B,263.00M,-1.822B,4.428B,261.00M,,,-297.00M,2.572B
2005-06,1.013B,1.013B,648.00M,,648.00M,918.00M,,,,714.00M,3.293B,14.46B,490.00M,14.95B,-6.115B,8.834B,27.00M,,,,,4.307B,13.17B,16.46B,412.00M,,412.00M,866.00M,1.278B,,,343.00M,343.00M,,,,1.621B,,6.823B,315.00M,7.138B,790.00M,77.00M,,844.00M,44.00M,,7.259B,12.82B,263.00M,-1.557B,4.422B,261.00M,,,-333.00M,2.795B
2005-03,940.00M,940.00M,886.00M,,886.00M,612.00M,,,,743.00M,3.181B,14.39B,437.00M,14.83B,-6.032B,8.798B,22.00M,,,,,4.20B,13.02B,16.20B,358.00M,,358.00M,821.00M,1.179B,,,487.00M,487.00M,,,,1.666B,,6.964B,315.00M,7.279B,808.00M,78.00M,,844.00M,44.00M,,7.401B,12.85B,263.00M,-1.584B,4.147B,261.00M,,,-323.00M,2.503B
2004-12,669.00M,669.00M,581.00M,,581.00M,1.03B,,,,719.00M,2.999B,14.51B,370.00M,14.88B,-6.135B,8.742B,23.00M,,,,,4.108B,12.87B,15.87B,392.00M,,392.00M,887.00M,1.279B,,,476.00M,476.00M,,,,1.755B,,6.948B,315.00M,7.263B,573.00M,79.00M,,733.00M,44.00M,,7.386B,12.81B,263.00M,-1.734B,4.14B,261.00M,,,-336.00M,2.333B
2004-09,560.00M,560.00M,449.00M,,449.00M,1.186B,,,,609.00M,2.804B,14.22B,418.00M,14.64B,-6.035B,8.60B,28.00M,,,,,3.945B,12.57B,15.38B,339.00M,,339.00M,774.00M,1.113B,,,594.00M,594.00M,,,,1.707B,,6.912B,318.00M,7.23B,739.00M,81.00M,,750.00M,305.00M,,7.616B,12.86B,2.00M,-1.779B,3.85B,,,,-309.00M,1.764B
2004-06,696.00M,696.00M,627.00M,,627.00M,832.00M,,,,697.00M,2.852B,14.09B,392.00M,14.49B,-5.958B,8.528B,23.00M,,,,,3.904B,12.46B,15.31B,381.00M,,381.00M,877.00M,1.258B,,,903.00M,903.00M,,,,2.161B,,6.50B,338.00M,6.838B,733.00M,82.00M,,740.00M,305.00M,,7.225B,12.86B,2.00M,-1.835B,3.848B,,,,-313.00M,1.702B
2004-03,551.00M,551.00M,832.00M,,832.00M,562.00M,,,,774.00M,2.719B,14.03B,405.00M,14.43B,-5.942B,8.492B,25.00M,,,,,3.881B,12.40B,15.12B,276.00M,,276.00M,796.00M,1.072B,,,892.00M,892.00M,,,,1.964B,,6.513B,329.00M,6.842B,747.00M,84.00M,,754.00M,305.00M,,7.231B,12.69B,2.00M,-1.855B,3.846B,,,,-317.00M,1.676B
2003-12,532.00M,532.00M,476.00M,,476.00M,892.00M,,,,594.00M,2.494B,11.40B,388.00M,11.79B,-4.846B,6.944B,25.00M,,,,,4.375B,11.34B,13.84B,357.00M,,357.00M,774.00M,1.131B,,,519.00M,519.00M,,,,1.65B,,6.704B,58.00M,6.762B,700.00M,85.00M,,73.00M,305.00M,,7.152B,12.18B,2.00M,-1.844B,3.846B,,,,-419.00M,1.585B
2003-09,664.00M,664.00M,416.00M,,416.00M,955.00M,,,,640.00M,2.675B,10.93B,360.00M,11.29B,-5.55B,5.742B,,,,,,3.894B,9.636B,12.31B,396.00M,,396.00M,613.00M,1.009B,,,188.00M,188.00M,,,,1.197B,,6.291B,116.00M,6.407B,503.00M,86.00M,,23.00M,707.00M,,7.20B,10.94B,2.00M,-1.763B,3.834B,,,,-720.00M,1.353B
2003-06,931.00M,931.00M,766.00M,,766.00M,597.00M,,,,741.00M,3.035B,10.80B,429.00M,11.23B,-5.493B,5.74B,,,,,,4.253B,9.993B,13.03B,421.00M,,421.00M,750.00M,1.171B,,,542.00M,542.00M,,,,1.713B,,6.055B,120.00M,6.175B,550.00M,87.00M,,23.00M,927.00M,,7.189B,11.81B,1.00M,-1.686B,3.608B,,,,-724.00M,1.199B
2003-03,675.00M,675.00M,850.00M,,850.00M,377.00M,,,,689.00M,2.591B,10.71B,488.00M,11.20B,-5.49B,5.71B,,,,,,5.994B,11.70B,14.30B,481.00M,,481.00M,1.108B,1.589B,,,1.18B,1.18B,,,,2.769B,,5.212B,121.00M,5.333B,466.00M,89.00M,,22.00M,927.00M,,6.349B,13.04B,1.00M,-1.641B,3.605B,,,,-737.00M,1.228B
2002-12,351.00M,351.00M,783.00M,,783.00M,624.00M,,,,981.00M,2.739B,10.93B,557.00M,11.49B,-5.385B,6.103B,31.00M,,,,,5.908B,12.04B,14.78B,549.00M,,549.00M,1.236B,1.785B,,,1.104B,1.104B,,,,2.889B,,5.357B,116.00M,5.473B,529.00M,91.00M,,38.00M,927.00M,,6.491B,13.66B,1.00M,-1.80B,3.605B,,,,-728.00M,1.078B
2002-09,407.00M,407.00M,750.00M,,750.00M,842.00M,,,,440.00M,2.439B,13.59B,488.00M,14.08B,-6.523B,7.558B,740.00M,,,,,4.485B,12.78B,15.22B,774.00M,,774.00M,1.08B,1.854B,,,850.00M,850.00M,,,,2.704B,,6.585B,110.00M,6.695B,804.00M,92.00M,,74.00M,927.00M,,7.714B,13.13B,1.00M,-842.00M,3.619B,,-715.00M,-41.00M,-756.00M,2.022B
2002-06,264.00M,264.00M,955.00M,,955.00M,716.00M,,,,472.00M,2.407B,13.98B,515.00M,14.50B,-6.873B,7.625B,747.00M,,,,,4.694B,13.07B,15.47B,906.00M,,906.00M,1.224B,2.13B,,,924.00M,924.00M,,,,3.054B,,6.403B,,6.403B,788.00M,94.00M,,77.00M,1.228B,,7.725B,13.64B,1.00M,-838.00M,3.317B,,-698.00M,-25.00M,-723.00M,1.757B
2002-03,160.00M,160.00M,1.032B,,1.032B,627.00M,,,,669.00M,2.488B,14.57B,611.00M,15.18B,-6.95B,8.235B,811.00M,,,,,4.945B,13.99B,16.48B,861.00M,,861.00M,1.376B,2.237B,,,922.00M,922.00M,,,,3.159B,,6.603B,,6.603B,881.00M,100.00M,,87.00M,1.228B,,7.931B,14.10B,1.00M,-704.00M,3.282B,,-295.00M,5.00M,-290.00M,2.289B
2001-12,189.00M,189.00M,1.242B,,1.242B,813.00M,,,,667.00M,2.911B,14.63B,564.00M,15.20B,-6.833B,8.362B,811.00M,,,,,4.896B,14.07B,16.98B,1.025B,,1.025B,1.266B,2.291B,,,1.397B,1.397B,,,,3.688B,,6.923B,60.00M,6.983B,875.00M,102.00M,,86.00M,1.258B,,8.343B,15.00B,1.00M,-917.00M,3.265B,,-318.00M,-44.00M,-362.00M,1.89B
2001-09,213.00M,213.00M,1.219B,,1.219B,825.00M,,,,295.00M,2.552B,14.26B,567.00M,14.83B,-6.735B,8.095B,824.00M,,,,,4.618B,13.54B,16.09B,985.00M,,985.00M,961.00M,1.946B,,,955.00M,955.00M,,,,2.901B,,7.459B,,7.459B,750.00M,104.00M,,82.00M,1.258B,,8.821B,14.02B,1.00M,-917.00M,3.265B,,-318.00M,-44.00M,-362.00M,1.987B
2001-06,176.00M,176.00M,3.923B,,3.923B,570.00M,,,,304.00M,4.973B,13.60B,934.00M,14.54B,-6.398B,8.139B,849.00M,,,,,4.86B,13.85B,18.82B,3.654B,,3.654B,1.045B,4.699B,,,669.00M,669.00M,,,,5.368B,,7.193B,55.00M,7.248B,879.00M,107.00M,,89.00M,1.214B,,8.569B,16.00B,45.00M,-252.00M,3.264B,44.00M,-301.00M,-28.00M,-329.00M,2.728B
2001-03,222.00M,222.00M,2.109B,,2.109B,342.00M,,,,331.00M,3.004B,13.40B,905.00M,14.31B,-6.317B,7.992B,880.00M,,,,,4.748B,13.62B,16.62B,1.816B,,1.816B,981.00M,2.797B,,,472.00M,472.00M,,,,3.269B,,7.208B,,7.208B,866.00M,108.00M,,86.00M,1.133B,,8.449B,13.84B,,,,,,,,2.703B
2000-12,182.00M,182.00M,1.44B,,1.44B,467.00M,,,,1.414B,3.503B,13.32B,761.00M,14.08B,-6.252B,7.831B,891.00M,,,,,5.026B,13.75B,17.25B,1.094B,,1.094B,2.057B,3.151B,,,1.11B,1.11B,,,,4.261B,,6.824B,,6.824B,859.00M,110.00M,,88.00M,1.133B,,8.067B,14.80B,1.00M,-320.00M,2.936B,,-254.00M,-2.00M,-256.00M,2.361B
2000-09,281.00M,281.00M,1.578B,,1.578B,568.00M,,,,266.00M,2.693B,13.67B,817.00M,14.48B,-6.315B,8.168B,903.00M,,,,,4.491B,13.56B,16.26B,1.355B,,1.355B,1.003B,2.358B,,,974.00M,974.00M,,,,3.332B,,7.327B,,7.327B,763.00M,119.00M,,221.00M,1.133B,,8.579B,13.72B,1.00M,,,,,,2.309B,2.309B
2000-06,240.00M,240.00M,1.03B,,1.03B,409.00M,,,,265.00M,1.944B,13.45B,854.00M,14.31B,-6.207B,8.099B,915.00M,,,,,4.749B,13.76B,15.71B,824.00M,,824.00M,959.00M,1.783B,,,825.00M,825.00M,,,,2.608B,,7.115B,,7.115B,734.00M,122.00M,,,1.163B,,8.40B,13.36B,1.00M,-110.00M,2.626B,,-173.00M,1.00M,-172.00M,2.345B
2000-03,208.00M,208.00M,937.00M,,937.00M,274.00M,,,,245.00M,1.664B,13.71B,717.00M,14.43B,-6.246B,8.181B,913.00M,,,,,4.517B,13.61B,15.28B,673.00M,,673.00M,894.00M,1.567B,,,785.00M,785.00M,,,,2.352B,,7.206B,,7.206B,741.00M,123.00M,,222.00M,1.163B,,8.492B,12.68B,1.00M,-151.00M,2.653B,,-132.00M,3.00M,-129.00M,2.374B
1999-12,132.00M,132.00M,959.00M,,959.00M,430.00M,,,,296.00M,1.817B,13.67B,604.00M,14.28B,-6.157B,8.121B,891.00M,,,,,4.633B,13.64B,15.46B,775.00M,,775.00M,950.00M,1.725B,,,782.00M,782.00M,,,,2.507B,,7.075B,,7.075B,828.00M,126.00M,,222.00M,1.163B,,8.364B,12.78B,1.00M,-189.00M,2.749B,,-108.00M,3.00M,-105.00M,2.456B
1999-09,234.00M,234.00M,1.023B,,1.023B,469.00M,,,,235.00M,1.961B,13.00B,413.00M,13.41B,-6.018B,7.394B,,,,,,5.239B,12.63B,14.59B,524.00M,,524.00M,842.00M,1.366B,,,625.00M,625.00M,,,,1.991B,,7.181B,,7.181B,775.00M,129.00M,,,988.00M,,8.298B,12.24B,1.00M,-180.00M,2.666B,,-137.00M,3.00M,-134.00M,2.353B
1999-06,213.00M,213.00M,939.00M,,939.00M,344.00M,,,,198.00M,1.694B,12.81B,363.00M,13.17B,-5.917B,7.252B,,,,,,5.201B,12.45B,14.15B,470.00M,,470.00M,791.00M,1.261B,,,570.00M,570.00M,,,,1.831B,,7.171B,,7.171B,792.00M,131.00M,,,687.00M,,7.989B,11.76B,1.00M,-138.00M,2.643B,,-126.00M,10.00M,-116.00M,2.39B
1999-03,104.00M,104.00M,859.00M,,859.00M,255.00M,,,,188.00M,1.406B,12.56B,330.00M,12.89B,-5.803B,7.089B,,,,,,5.272B,12.36B,13.77B,498.00M,,498.00M,703.00M,1.201B,,,439.00M,439.00M,,,,1.64B,,7.357B,,7.357B,763.00M,133.00M,,,637.00M,,8.127B,11.48B,1.00M,-174.00M,2.619B,,-141.00M,-13.00M,-154.00M,2.292B
1998-12,101.00M,101.00M,720.00M,,720.00M,361.00M,,,,225.00M,1.407B,10.98B,271.00M,11.25B,-5.213B,6.04B,,,,,,3.863B,9.903B,11.31B,580.00M,,580.00M,609.00M,1.189B,,,621.00M,621.00M,,,,1.81B,,4.831B,,4.831B,784.00M,135.00M,,,631.00M,,5.597B,9.094B,1.00M,-234.00M,2.594B,,-136.00M,-9.00M,-145.00M,2.216B
1998-09,101.00M,101.00M,457.00M,,457.00M,396.00M,,,,184.00M,1.138B,10.10B,226.00M,10.32B,-5.052B,5.27B,,,,,,3.522B,8.792B,9.93B,399.00M,,399.00M,456.00M,855.00M,,,473.00M,473.00M,,,,1.328B,,4.325B,,4.325B,798.00M,144.00M,,,631.00M,,5.10B,8.008B,1.00M,-247.00M,2.316B,,-132.00M,-16.00M,-148.00M,1.922B
1998-06,230.00M,230.00M,509.00M,,509.00M,302.00M,,,,216.00M,1.257B,10.51B,307.00M,10.82B,-5.667B,5.148B,,,,,,3.453B,8.601B,9.858B,416.00M,,416.00M,452.00M,868.00M,,,381.00M,381.00M,,,,1.249B,,4.372B,,4.372B,839.00M,146.00M,,,631.00M,,5.149B,7.981B,1.00M,-292.00M,2.297B,,-123.00M,-6.00M,-129.00M,1.877B
