,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,BasicEPS(Quarterly),EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,,DilutedEPS(Quarterly),EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDiluted,,SharesData(Quarterly),DividendPerShare,,SECFilingLinks,AsOriginallyReported,Restated
2005-12,7.578B,7.578B,6.147B,1.431B,,885.00M,16.00M,,,885.00M,546.00M,,,16.00M,,471.00M,133.00M,338.00M,-7.00M,,,331.00M,326.52M,757.00M,211.00M,2005-12,0.95,0.00,,,,2005-12,0.93,-0.01,,0.92,,2005-12,0.26,,2005-12,,
2005-09,7.291B,7.291B,6.193B,1.098B,,660.00M,94.00M,,,660.00M,438.00M,,,94.00M,,439.00M,148.00M,291.00M,2.00M,,,293.00M,228.69M,626.00M,188.00M,2005-09,0.81,0.01,,,,2005-09,0.80,0.01,,0.81,,2005-09,0.26,,2005-09,,
2005-06,7.807B,7.807B,6.497B,1.31B,,689.00M,7.00M,,,689.00M,621.00M,,,7.00M,,559.00M,190.00M,369.00M,-2.00M,,,367.00M,364.38M,803.00M,182.00M,2005-06,1.03,-0.01,,,,2005-06,1.01,-0.01,,1.00,,2005-06,0.26,,2005-06,,
2005-03,7.453B,7.453B,6.196B,1.257B,,662.00M,82.00M,,,662.00M,595.00M,,,82.00M,,596.00M,198.00M,398.00M,11.00M,,,409.00M,343.24M,768.00M,173.00M,2005-03,1.10,0.03,,,,2005-03,1.08,0.03,,1.11,,2005-03,0.23,,2005-03,,
2004-12,6.993B,6.993B,5.794B,1.199B,,682.00M,-25.00M,,,682.00M,517.00M,,,-25.00M,,402.00M,143.00M,259.00M,13.00M,,,272.00M,275.11M,701.00M,184.00M,2004-12,0.71,0.04,,,,2004-12,0.71,0.04,,0.74,,2004-12,0.23,,2004-12,,
2004-09,7.408B,7.408B,6.227B,1.181B,,643.00M,-6.00M,,,643.00M,538.00M,,,-6.00M,,442.00M,151.00M,291.00M,,,,278.00M,294.95M,723.00M,185.00M,2004-09,0.81,-0.03,,-0.0364,,2004-09,0.80,-0.04,,0.76,,2004-09,0.23,,2004-09,,
2004-06,7.435B,7.435B,6.265B,1.17B,,677.00M,3.00M,,,677.00M,493.00M,,,3.00M,,400.00M,102.00M,298.00M,,,,298.00M,295.76M,667.00M,174.00M,2004-06,0.83,0.00,,,,2004-06,0.82,0.00,,0.82,,2004-06,0.23,,2004-06,,
2004-03,7.164B,7.164B,6.085B,1.079B,,641.00M,10.00M,,,641.00M,438.00M,,,10.00M,,351.00M,119.00M,232.00M,4.00M,,,236.00M,225.39M,611.00M,173.00M,2004-03,0.64,0.01,,,,2004-03,0.64,0.01,,0.65,,2004-03,0.20,,2004-03,,
2003-12,7.149B,7.149B,6.219B,930.00M,,568.00M,2.00M,,,568.00M,362.00M,,,2.00M,,263.00M,80.00M,183.00M,18.00M,,0.00,224.00M,181.61M,520.00M,158.00M,2003-12,0.57,-0.0219,,0.0513,,2003-12,0.56,-0.0234,,0.38,,2003-12,0.20,,2003-12,,
2003-09,6.664B,6.664B,5.65B,1.014B,,620.00M,-4.00M,,,620.00M,394.00M,,,-4.00M,,288.00M,88.00M,200.00M,-42.00M,,,184.00M,202.78M,567.00M,173.00M,2003-09,0.55,-0.05,,0.0710,,2003-09,0.54,-0.05,,0.50,,2003-09,0.20,,2003-09,,
2003-06,6.627B,6.627B,5.685B,942.00M,,551.00M,11.00M,,,551.00M,391.00M,,,11.00M,,300.00M,93.00M,207.00M,-2.00M,,6.00M,205.00M,199.41M,522.00M,131.00M,2003-06,0.55,-0.005,,,,2003-06,0.545,-0.005,,0.54,,2003-06,0.20,,2003-06,,
2003-03,5.866B,5.866B,4.963B,903.00M,,575.00M,17.00M,,,575.00M,328.00M,,,17.00M,,213.00M,39.00M,174.00M,79.00M,,,253.00M,160.11M,501.00M,173.00M,2003-03,0.46,0.215,,,,2003-03,0.455,0.215,,0.67,,2003-03,0.20,,2003-03,,
2002-12,5.03B,5.03B,4.369B,661.00M,,521.00M,11.00M,,,521.00M,140.00M,,,11.00M,,60.00M,76.00M,-16.00M,158.00M,0.00,7.00M,142.00M,-22.60M,267.00M,127.00M,2002-12,-0.145,0.7777,0.0000,,,2002-12,-0.145,0.7777,0.7380,2.63,,2002-12,0.20,,2002-12,,
