,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,UnrealizedGainorLoss-Total,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-03,311.90M,43.05M,354.96M,,78.08M,,,48.50M,481.53M,,,,,,,121.40M,,121.40M,130.48M,16.01M,146.50M,182.27M,,39.68M,489.84M,971.38M,,,,351.81M,351.81M,,,0.965M,,0.965M,,,38.61M,391.38M,200.40M,,200.40M,,,,,10.12M,210.53M,601.91M,,0.044M,,213.80M,,,155.62M,369.46M,,AOR,Restated
2006-12,271.05M,66.92M,337.97M,,91.66M,,,22.19M,451.82M,,,,,,,110.69M,,110.69M,135.88M,16.20M,152.08M,145.42M,,34.98M,443.16M,894.98M,,,,353.16M,353.16M,,,0.971M,,0.971M,,,33.82M,387.95M,174.65M,,174.65M,,,,,5.96M,180.61M,568.56M,,0.044M,118.29M,209.34M,,-1.251M,-1.251M,326.42M,,AOR,
2006-09,200.48M,214.06M,414.54M,86.11M,86.11M,,,-125.89M,374.76M,,,,,,,103.18M,,103.18M,136.52M,14.95M,151.47M,172.23M,,12.21M,439.08M,813.84M,,,,,67.96M,,,1.032M,,1.032M,,,265.27M,334.26M,168.43M,,168.43M,,,,,5.252M,173.68M,507.94M,,0.044M,104.46M,202.76M,,,-1.356M,305.90M,,AOR,Restated
2006-06,131.44M,76.70M,208.14M,96.85M,96.85M,,,20.71M,325.70M,,,,,,,90.34M,,90.34M,215.38M,20.20M,235.58M,217.96M,,-68.45M,475.43M,801.14M,,,,,52.54M,,,1.034M,,1.034M,,,202.62M,256.19M,164.46M,,164.46M,,,,,6.444M,170.91M,427.10M,,0.043M,175.65M,200.62M,,,-2.276M,374.04M,,AOR,Restated
2006-03,118.51M,71.17M,189.68M,66.37M,66.37M,,,24.99M,281.04M,,,,,,,82.85M,,82.85M,196.99M,19.34M,216.33M,221.25M,,-63.67M,456.76M,737.81M,,,,,47.78M,,,1.712M,,1.712M,,,185.29M,234.78M,130.94M,,130.94M,,,,,7.841M,138.78M,373.56M,,0.043M,170.68M,195.67M,,,-2.148M,364.25M,,AOR,Restated
2005-12,147.36M,56.70M,204.06M,,44.11M,,,24.44M,272.60M,,,,,,,67.20M,,67.20M,157.28M,17.37M,174.65M,123.66M,,29.92M,395.42M,668.03M,,,,200.30M,200.30M,,,,,,,,14.35M,214.65M,92.45M,,92.45M,,,,,8.883M,101.33M,315.98M,,0.043M,161.92M,191.84M,,-1.754M,-1.754M,352.05M,,AOR,
2005-09,121.42M,58.64M,180.07M,43.24M,43.24M,,,20.50M,243.80M,,,,,,,55.07M,,55.07M,159.58M,21.22M,180.80M,211.33M,,-51.39M,395.81M,639.61M,,,,,47.30M,,,0.486M,,0.486M,,,161.33M,209.11M,87.65M,,87.65M,,,,,9.614M,97.26M,306.38M,,0.043M,148.05M,186.66M,,,-1.522M,333.23M,,AOR,Restated
2005-06,65.60M,65.34M,130.94M,69.84M,69.84M,,,16.48M,217.26M,,,,,,,48.48M,,48.48M,130.26M,15.19M,145.45M,222.28M,,-59.02M,357.19M,574.45M,,,,,31.04M,,,0.486M,,0.486M,,,163.25M,194.78M,52.73M,,52.73M,,,,,8.215M,60.95M,255.73M,,0.042M,135.95M,183.54M,,,-0.809M,318.72M,,AOR,Restated
2005-03,103.28M,89.29M,192.56M,36.99M,36.99M,,,19.69M,249.24M,,,,,,,45.26M,,45.26M,101.83M,13.89M,115.72M,233.82M,,-83.26M,311.54M,560.78M,,,,,40.00M,,,0.486M,,0.486M,,,181.52M,222.00M,42.85M,,42.85M,,,,,5.935M,48.79M,270.78M,,0.042M,120.70M,170.86M,,,-1.598M,290.00M,,AOR,Restated
2004-12,84.10M,94.28M,178.39M,,31.48M,,,14.43M,224.29M,,,,,,,,,,101.63M,14.44M,116.07M,116.79M,,70.78M,303.64M,527.93M,,,,197.72M,197.72M,,,0.486M,,0.486M,,,3.956M,202.16M,46.97M,,46.97M,,,,,7.49M,54.46M,256.62M,,0.041M,106.29M,165.39M,,,,271.31M,,AOR,
2004-09,88.69M,43.57M,132.26M,22.74M,22.74M,,3.143M,12.56M,170.70M,,,,,,,28.83M,,28.83M,17.14M,6.808M,23.95M,234.90M,,-37.22M,250.46M,421.15M,,,,,21.91M,,,0.288M,,0.288M,,,130.06M,152.26M,7.40M,,7.40M,,,,,5.571M,12.97M,165.23M,,0.021M,94.28M,161.61M,,,0.012M,255.92M,,AOR,Restated
2004-06,80.48M,196.90M,277.38M,21.30M,21.30M,,3.29M,-156.90M,145.06M,,,,,,,26.01M,,26.01M,18.43M,7.035M,25.46M,165.71M,,27.57M,244.76M,389.82M,,,,,20.67M,,,0.288M,,0.288M,,,113.76M,134.72M,7.472M,,7.472M,,,,,5.426M,12.90M,147.61M,,0.02M,82.93M,160.72M,,,-1.469M,242.20M,,AOR,Restated
2004-03,44.36M,244.36M,288.72M,21.63M,21.63M,,3.174M,-202.42M,111.11M,,,,,,,24.06M,,24.06M,18.41M,7.428M,25.84M,191.06M,,25.32M,266.27M,377.38M,,,,,17.73M,,,0.288M,,0.288M,,,113.58M,131.60M,7.544M,,7.544M,,,,,5.613M,13.16M,144.76M,,0.02M,72.11M,159.24M,,,1.258M,232.63M,,AOR,Restated
2003-12,64.35M,15.16M,79.51M,,20.31M,,,10.49M,110.30M,,,,,,,,,,13.07M,6.294M,19.36M,184.81M,,48.22M,252.39M,362.69M,,,,124.53M,124.53M,,,0.579M,,0.579M,,,3.673M,128.79M,7.616M,,7.616M,,,,,6.175M,13.79M,142.58M,,0.04M,61.98M,157.36M,,,,220.12M,,AOR,Restated
2003-09,62.91M,175.34M,238.25M,22.08M,22.08M,20.04M,2.049M,-179.44M,102.97M,,,,,,,20.95M,,20.95M,,15.23M,15.23M,164.68M,0.586M,24.02M,225.48M,328.45M,,,,,13.47M,,,0.869M,,0.869M,,,92.37M,106.71M,7.688M,,7.688M,,,0.00,,5.504M,13.19M,119.90M,,0.02M,52.28M,154.78M,,,1.477M,208.55M,,AOR,Restated
2003-06,43.42M,105.89M,149.32M,16.74M,16.74M,,1.688M,-89.92M,77.83M,,,,,,,8.202M,,8.202M,,13.04M,13.04M,96.49M,0.726M,24.13M,142.59M,220.41M,,,,,9.81M,,,,,,,,87.13M,96.94M,,,,,,0.007M,,5.634M,5.634M,102.58M,,0.017M,43.58M,73.03M,,,1.204M,117.82M,,AOR,Restated
2003-03,59.97M,95.91M,155.88M,19.92M,19.92M,,1.853M,-81.85M,95.80M,,,,,,,6.998M,,6.998M,,13.31M,13.31M,87.19M,0.63M,20.82M,128.94M,224.75M,,,,,13.04M,,,,,,,,95.14M,108.18M,,,,,,0.589M,,6.319M,6.319M,114.50M,,0.011M,35.87M,72.64M,,,1.141M,109.66M,,AOR,Restated
2002-12,59.66M,,59.66M,,,,,,59.66M,,,,,,,,,,,,,,,,,210.33M,,,,91.18M,91.18M,,,,,,,,,91.18M,,,,,,,,,,108.14M,,,,,,,,102.18M,,AOR,Restated
2002-09,56.07M,86.81M,142.87M,8.25M,8.25M,,2.589M,-73.77M,79.94M,,,,,,,5.60M,,5.60M,,3.217M,3.217M,76.97M,0.00,5.034M,90.82M,170.77M,,,,,5.235M,,,,,,,,66.09M,71.33M,,,,,,,,,4.546M,75.87M,,0.011M,21.89M,72.06M,,,0.931M,94.89M,,AOR,
2002-06,44.34M,84.88M,129.22M,7.524M,7.524M,,3.424M,-74.54M,65.63M,,,,,,,5.395M,,5.395M,,2.732M,2.732M,78.75M,0.382M,4.844M,92.10M,157.74M,,,,,5.141M,,,,,,,,63.56M,68.70M,,,,,,,,,4.738M,73.44M,,0.011M,12.62M,71.44M,,,0.226M,84.30M,,AOR,
2002-03,91.74M,20.41M,112.15M,9.672M,9.672M,,3.121M,-14.75M,110.19M,,,,,,,4.724M,,4.724M,,2.804M,2.804M,19.71M,0.083M,5.614M,32.93M,143.12M,,,,,4.895M,,,,,,,,64.93M,69.82M,,,,,,,,,5.214M,75.04M,,0.01M,7.387M,60.88M,,,-0.188M,68.08M,,AOR,
