,NetIncome,Gain/LossonSaleBusiness,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2005-09,12.11M,,,,,3.757M,3.757M,-4.758M,,,2.001M,28.97M,14.51M,0.234M,,-4.885M,38.83M,51.94M,,-8.069M,-8.069M,-34.07M,10.41M,,-31.73M,,34.92M,34.92M,1.061M,0.00,1.061M,,,-0.363M,35.62M,,65.60M,55.83M,,121.42M,,1.061M,35.00M,-0.081M,0.00,,,,AOR,Restated
2005-06,15.25M,,,,,3.119M,3.119M,2.174M,,,1.97M,-32.85M,-0.27M,2.044M,,-18.34M,-49.41M,-26.90M,,-5.103M,-5.103M,-21.34M,4.281M,,-22.16M,,9.879M,9.879M,1.474M,0.00,1.474M,,,0.035M,11.39M,,103.28M,-37.68M,,65.60M,,1.474M,10.00M,-0.121M,0.00,,,,AOR,Restated
2005-03,14.41M,,,,,2.782M,2.782M,-0.983M,,,4.155M,-5.512M,-2.446M,-4.268M,,11.74M,-0.488M,19.88M,,-3.665M,-3.665M,0.00,5.775M,,2.11M,,-4.121M,-4.121M,1.39M,0.00,1.39M,,,-0.085M,-2.816M,,84.10M,19.17M,,103.28M,,1.39M,0.00,-4.121M,0.00,,,,AOR,Restated
2004-12,12.01M,,,,,2.795M,2.795M,-1.335M,,,38.68M,2.431M,1.299M,4.017M,-25.01M,6.392M,-10.87M,41.93M,,-15.52M,-15.52M,7.005M,7.732M,,-87.52M,,46.37M,46.37M,-2.332M,,-2.332M,,,,41.01M,,88.69M,-4.582M,,84.10M,,-2.332M,45.86M,0.507M,,,,,AOR,
2004-09,11.35M,,,,,2.518M,2.518M,0.611M,,,0.254M,-1.442M,1.437M,-3.752M,25.01M,-8.625M,12.63M,27.36M,,-4.405M,-4.405M,0.00,-15.20M,,-19.61M,,-0.072M,-0.072M,0.527M,,0.527M,,,,0.455M,,80.48M,8.209M,,88.69M,,0.527M,0.00,-0.072M,,,,,AOR,Restated
2004-06,10.81M,,,,,2.43M,2.43M,-0.159M,,,0.884M,0.337M,2.536M,0.425M,,0.483M,3.781M,17.75M,,-2.956M,-2.956M,-0.022M,20.66M,,17.68M,,-0.072M,-0.072M,0.753M,,0.753M,,,,0.681M,,44.36M,36.12M,,80.48M,,0.753M,0.00,-0.072M,,,,,AOR,Restated
2004-03,10.14M,,,,,2.271M,2.271M,-0.755M,,,0.552M,-1.326M,1.211M,-1.476M,,1.75M,0.159M,12.36M,,-2.126M,-2.126M,-6.983M,-23.93M,,-33.04M,,-0.363M,-0.363M,1.052M,,1.052M,,,,0.689M,,64.35M,-19.98M,,44.36M,,1.052M,,-0.363M,,,,,AOR,Restated
2003-12,9.697M,,,,,2.149M,2.149M,,,,18.81M,4.132M,1.927M,-2.331M,,-1.666M,2.062M,33.68M,,-2.92M,-2.92M,3.218M,-26.56M,,-32.12M,,0.024M,0.024M,-0.893M,,-0.893M,,,-0.386M,-0.11M,,62.91M,1.44M,,64.35M,,-0.893M,0.00,0.024M,,,,,AOR,Restated
2003-09,8.704M,,,,,1.538M,1.538M,,,,-0.287M,-5.337M,2.852M,1.216M,,4.243M,2.974M,12.93M,,-13.69M,-13.69M,-0.923M,-69.04M,,-83.66M,,8.557M,8.557M,81.66M,,81.66M,,,-0.003M,90.21M,,43.42M,19.48M,,62.91M,,81.66M,8.581M,-0.024M,,,,,AOR,Restated
2003-06,7.708M,,,,,1.382M,1.382M,,,,-0.962M,3.187M,-3.061M,-1.439M,,-7.279M,-8.592M,-0.464M,,-1.866M,-1.866M,-0.012M,-13.28M,,-15.16M,,0.00,0.00,0.289M,,0.289M,,,-1.218M,-0.929M,,59.97M,-16.55M,,43.42M,,0.289M,,0.00,,,,,AOR,Restated
2003-03,7.161M,,,,,1.379M,1.379M,,,,-0.588M,-1.982M,-0.187M,-0.626M,,4.702M,1.907M,9.859M,,-0.684M,-0.684M,-2.283M,-6.837M,,-9.804M,,0.00,0.00,0.259M,,0.259M,,,,0.259M,,59.66M,0.314M,,59.97M,,0.259M,,0.00,,,,,AOR,Restated
2002-12,6.814M,,0.632M,,0.632M,1.031M,1.031M,-0.822M,,,0.063M,-1.231M,3.33M,-0.114M,11.98M,-4.152M,9.81M,17.53M,,-0.808M,-0.808M,-7.308M,-5.95M,-0.025M,-14.09M,,,,0.153M,,0.153M,,,,0.153M,,56.07M,3.59M,,59.66M,,0.153M,,,,,,,AOR,Restated
2002-09,9.274M,,-0.632M,,-0.632M,1.534M,1.534M,0.803M,,,-0.209M,-1.218M,-2.247M,1.29M,2.125M,2.495M,2.445M,13.22M,,-0.679M,-0.679M,-3.193M,-0.48M,2.623M,-1.729M,,,,0.244M,,0.244M,,,,0.244M,,44.34M,11.73M,,56.07M,,0.244M,,,,,,,AOR,
2002-06,5.233M,,0.205M,,0.205M,-0.476M,-0.476M,-0.843M,,,-2.421M,2.413M,2.869M,0.631M,-0.999M,,4.914M,6.612M,,-1.093M,-1.093M,3.188M,-63.31M,-3.193M,-64.41M,,,,10.40M,,10.40M,,,,10.40M,,91.74M,-47.40M,,44.34M,,10.40M,,,,,,,AOR,
2002-03,4.30M,,-0.205M,,-0.205M,0.476M,0.476M,0.288M,,,2.646M,-2.413M,-2.869M,-2.413M,2.494M,,-5.201M,2.304M,,-1.338M,-1.338M,-3.188M,5.078M,,0.552M,,,,0.015M,,0.015M,,,,0.015M,,88.87M,2.871M,,91.74M,,0.015M,,,,,,,AOR,
