,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2013-02,-284.00M,,,122.00M,58.00M,180.00M,,,455.00M,455.00M,,,,21.00M,3.00M,-101.00M,53.00M,,-81.00M,,-31.00M,-160.00M,,234.00M,-327.00M,,-327.00M,,-24.00M,-9.00M,-360.00M,151.00M,151.00M,,-3.00M,-3.00M,,24.00M,-87.00M,85.00M,2.102B,-41.00M,0.00,2.061B,,686.00M,-535.00M,-3.00M,,
2012-11,-275.00M,,,51.00M,52.00M,103.00M,,,457.00M,457.00M,,,,19.00M,19.00M,98.00M,-26.00M,,-108.00M,,-32.00M,-68.00M,,236.00M,-434.00M,,-434.00M,,-208.00M,3.00M,-639.00M,147.00M,147.00M,,-2.00M,-2.00M,,0.00,-99.00M,46.00M,2.459B,-357.00M,0.00,2.102B,,199.00M,-52.00M,-2.00M,,
2012-08,-242.00M,,,-10.00M,32.00M,22.00M,,,483.00M,483.00M,,,,16.00M,29.00M,104.00M,76.00M,,283.00M,,-321.00M,142.00M,,450.00M,-332.00M,-51.00M,-383.00M,-7.00M,-21.00M,79.00M,-332.00M,155.00M,155.00M,,,,,,-4.00M,150.00M,2.191B,268.00M,,2.459B,,206.00M,-51.00M,,,
2012-05,-320.00M,,,11.00M,115.00M,126.00M,,,525.00M,525.00M,,,,21.00M,-7.00M,-91.00M,183.00M,,-61.00M,,310.00M,341.00M,,686.00M,-278.00M,3.00M,-275.00M,-180.00M,-494.00M,152.00M,-797.00M,1.077B,1.077B,,,,,,-869.00M,208.00M,2.094B,97.00M,,2.191B,,1.128B,-51.00M,,,
2012-02,-282.00M,,,18.00M,73.00M,91.00M,,,569.00M,569.00M,,-17.00M,0.00,30.00M,-47.00M,124.00M,16.00M,,57.00M,,-4.00M,193.00M,,574.00M,-392.00M,39.00M,-353.00M,,41.00M,-157.00M,-469.00M,287.00M,287.00M,,,,,,-213.00M,74.00M,1.915B,179.00M,,2.094B,,340.00M,-53.00M,,,
2011-11,-187.00M,,,,74.00M,74.00M,,,564.00M,564.00M,,17.00M,,20.00M,37.00M,101.00M,-17.00M,,-97.00M,,-71.00M,-84.00M,,404.00M,-697.00M,9.00M,-688.00M,,0.00,-26.00M,-714.00M,-48.00M,-48.00M,,,,,,113.00M,65.00M,2.16B,-245.00M,,1.915B,,0.00,-48.00M,,,
2011-08,-134.00M,54.00M,,,40.00M,73.00M,,,555.00M,555.00M,,-42.00M,,19.00M,41.00M,-56.00M,-12.00M,1.00M,-229.00M,,138.00M,-158.00M,,354.00M,-868.00M,3.00M,-865.00M,,30.00M,-11.00M,-829.00M,882.00M,882.00M,,,,,,-507.00M,240.00M,2.395B,-235.00M,,2.16B,,958.00M,-76.00M,,20.00M,5.00M
2011-05,77.00M,-54.00M,,,44.00M,-8.00M,,,547.00M,547.00M,,12.00M,,19.00M,-37.00M,-44.00M,-149.00M,-1.00M,47.00M,11.00M,115.00M,-21.00M,,589.00M,-493.00M,28.00M,-465.00M,,-19.00M,509.00M,25.00M,-327.00M,-327.00M,,,,,,-76.00M,-403.00M,2.184B,211.00M,,2.395B,,0.00,-327.00M,,19.00M,19.00M
2011-02,75.00M,,,,48.00M,48.00M,,,1.003B,503.00M,,13.00M,,19.00M,-8.00M,-19.00M,-68.00M,,286.00M,-11.00M,-29.00M,159.00M,,809.00M,-724.00M,62.00M,-662.00M,,37.00M,-177.00M,-802.00M,-72.00M,-72.00M,,,,,,-162.00M,-234.00M,2.411B,-227.00M,,2.184B,,,-72.00M,,14.00M,8.00M
2010-11,172.00M,,,,26.00M,137.00M,,,,500.00M,,17.00M,,19.00M,5.00M,173.00M,-128.00M,,-192.00M,,29.00M,-118.00M,,732.00M,-465.00M,34.00M,-431.00M,,,-5.00M,-436.00M,-740.00M,-740.00M,,,,,,-58.00M,-798.00M,2.913B,-502.00M,,2.411B,,,-740.00M,,46.00M,27.00M
2010-08,359.00M,0.00,,,16.00M,72.00M,,,509.00M,509.00M,,22.00M,,20.00M,1.00M,40.00M,-33.00M,,35.00M,-28.00M,227.00M,94.00M,,1.077B,-347.00M,8.00M,-339.00M,423.00M,-14.00M,-299.00M,-229.00M,-92.00M,-92.00M,,,,,,-135.00M,-248.00M,2.313B,600.00M,,2.913B,,0.00,-92.00M,,-9.00M,10.00M
2010-05,960.00M,-437.00M,,,19.00M,-418.00M,,,476.00M,476.00M,,20.00M,,20.00M,25.00M,-246.00M,14.00M,,55.00M,23.00M,-40.00M,-194.00M,,889.00M,-114.00M,50.00M,-64.00M,95.00M,-8.00M,21.00M,44.00M,-378.00M,-378.00M,,,,,,-112.00M,-490.00M,1.87B,443.00M,,2.313B,,0.00,-378.00M,,10.00M,34.00M
2010-02,379.00M,,,,-13.00M,-13.00M,,,446.00M,446.00M,,41.00M,,22.00M,-4.00M,14.00M,-43.00M,,0.00,5.00M,-43.00M,-67.00M,,804.00M,-93.00M,5.00M,-88.00M,,-143.00M,-7.00M,-238.00M,-90.00M,-90.00M,,,,,,-171.00M,-261.00M,1.565B,305.00M,,1.87B,,0.00,-90.00M,,-1.00M,15.00M
