,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2006-03,203.83M,,,,,,,47.56M,47.56M,,,7.221M,-55.25M,-20.70M,-4.226M,23.48M,,10.76M,-10.42M,-56.37M,-96.37M,105.87M,,-36.72M,5.104M,-31.62M,-13.86M,,,105.14M,,,,-116.02M,42.30M,-9.413M,32.89M,,-34.58M,,,-117.71M,,185.83M,93.31M,0.904M,280.05M,,42.30M,,,-9.413M,,,
2005-12,116.13M,,,,-50.34M,,,37.18M,37.18M,,,53.51M,11.03M,53.25M,-0.997M,19.98M,,-14.68M,-12.56M,56.03M,62.21M,292.46M,,-38.18M,4.347M,-33.83M,-12.24M,,,-39.27M,,,,-345.40M,5.691M,-0.767M,4.924M,,-34.48M,,,-374.96M,,308.84M,-121.77M,0.255M,186.94M,,5.691M,,,-0.767M,,,
2005-09,122.68M,,,,70.25M,,,37.35M,37.35M,,,-18.00M,-45.26M,32.42M,6.616M,-7.078M,,17.71M,11.87M,16.27M,-46.46M,182.10M,,-32.87M,5.564M,-27.31M,-961.67M,,,-948.40M,,,,745.65M,5.149M,-0.099M,5.05M,,-34.45M,,,716.26M,,352.81M,-50.04M,6.068M,308.84M,,5.149M,,,-0.099M,,,
2005-06,173.20M,,,,-72.38M,,,31.51M,31.51M,,,,-19.88M,-0.207M,-0.442M,-25.18M,,74.05M,-38.41M,-10.07M,53.98M,176.23M,,-27.53M,0.722M,-26.80M,-15.08M,,,40.75M,,,,-136.84M,5.595M,-51.06M,-45.47M,,-32.40M,,,-214.70M,,411.83M,2.281M,-13.56M,352.81M,,5.595M,,,-51.06M,,,
2005-03,98.13M,,,,2.131M,,,42.50M,42.50M,,,,-58.11M,-33.62M,-4.465M,46.42M,,-44.56M,-2.18M,-96.52M,-2.697M,43.55M,,-27.82M,1.156M,-26.66M,-100.67M,,,-127.33M,,,,177.82M,2.785M,,2.785M,,-32.59M,,,148.01M,,357.61M,64.22M,-9.999M,411.83M,,2.785M,,,,,,
2004-12,97.12M,,,,63.92M,,,22.54M,22.54M,,,,83.98M,33.40M,4.605M,-39.38M,,-33.36M,-31.98M,17.27M,-26.42M,210.99M,,-18.85M,-69.10M,-87.95M,-189.00M,,,-222.61M,,,,67.36M,2.706M,-0.263M,2.443M,,-32.55M,,,37.26M,,305.52M,25.64M,17.83M,309.82M,,2.706M,,,-0.263M,,,
2004-09,120.26M,,,,-12.91M,,,37.18M,37.18M,,,,-13.73M,-7.116M,-1.381M,20.54M,,-3.575M,10.27M,5.009M,15.62M,165.16M,,-21.55M,52.62M,31.07M,-229.98M,,,-198.91M,,,,-0.693M,0.773M,-0.273M,0.50M,,-32.54M,,,-32.73M,,370.45M,-66.47M,3.369M,305.52M,,0.773M,,,-0.273M,,,
2004-06,112.26M,,,,-5.068M,,,36.82M,36.82M,,,,-75.95M,-42.13M,3.37M,26.41M,,12.67M,11.35M,-64.28M,9.231M,88.97M,,-26.53M,27.83M,1.295M,-83.56M,,-15.00M,-97.27M,,,,-14.35M,4.299M,-3.173M,1.126M,,-30.49M,,,-43.72M,,422.53M,-52.02M,0.137M,370.45M,,4.299M,,,-3.173M,,,
2004-03,83.11M,,,,0.697M,,,38.20M,38.20M,,,,-63.39M,-33.10M,-8.89M,46.80M,,61.93M,5.929M,9.273M,-3.45M,127.83M,,-20.93M,1.424M,-19.51M,,,15.00M,-4.507M,,,,-37.69M,5.829M,-1.466M,4.363M,,-30.48M,,,-63.81M,,370.38M,59.52M,-7.365M,422.53M,,5.829M,,,-1.466M,,,
2003-12,76.32M,,,,39.27M,,,37.78M,37.78M,47.70M,,,27.43M,-7.149M,116.88M,-6.312M,,-66.96M,98.34M,162.23M,-14.69M,348.61M,,-25.82M,,-15.96M,-330.82M,,,-346.78M,,,,-12.13M,4.495M,-1.954M,2.541M,,-30.42M,,,-43.92M,,404.38M,-42.09M,8.714M,370.38M,,4.495M,,,-1.954M,,,
2003-09,84.36M,,,,-9.066M,-66.58M,-9.03M,37.92M,37.92M,17.14M,,,-52.49M,11.94M,-116.11M,33.72M,,158.18M,-91.02M,-55.78M,4.006M,78.58M,,-25.88M,,-25.88M,-3.298M,,,-29.18M,,,,53.65M,0.623M,-0.182M,0.441M,,-30.39M,,,23.70M,,306.32M,73.10M,24.96M,404.38M,,0.623M,,,-0.182M,,,
2003-06,72.78M,,,,1.37M,66.58M,9.03M,38.70M,38.70M,-17.14M,,,19.74M,13.62M,3.23M,-28.07M,,13.80M,-12.91M,9.408M,3.279M,108.40M,,-25.55M,,-25.55M,-12.75M,,,-38.29M,,,,-29.32M,1.154M,-0.911M,0.243M,,-27.35M,,,-56.43M,,292.84M,13.68M,-0.816M,306.32M,,1.154M,,,-0.911M,,,
2003-03,59.47M,,,,-1.782M,,,36.90M,36.90M,,,,-19.74M,-13.62M,-3.23M,28.07M,,-40.97M,5.585M,-43.92M,7.401M,58.08M,,-19.14M,,-19.14M,-15.20M,,,-34.34M,,,,1.328M,1.173M,-0.699M,0.474M,,-27.34M,,,-25.54M,,293.82M,-1.801M,0.816M,292.84M,,1.173M,,,-0.699M,,,
2002-12,15.03M,,,,24.60M,-108.77M,-13.33M,34.84M,34.84M,3.467M,,,81.45M,31.07M,32.89M,-14.13M,,-60.51M,,70.77M,4.28M,152.99M,,-27.06M,,-10.38M,-48.88M,,,-59.26M,,,,-18.91M,0.199M,-0.371M,-0.172M,,-27.32M,,-8.434M,5.882M,,174.33M,99.61M,,293.82M,,0.199M,,,-0.371M,,,
2002-09,56.44M,,,,26.87M,39.15M,4.378M,43.53M,43.53M,87.25M,,,-51.39M,42.06M,-44.75M,-7.551M,,-35.13M,2.36M,-94.40M,-0.071M,119.61M,,-23.92M,,-23.92M,-1.345M,,,-25.27M,,,,-4.289M,0.893M,-14.04M,-13.15M,,-27.36M,,8.434M,-36.37M,,116.08M,57.98M,,174.33M,,0.893M,,,-14.04M,,,
2002-06,55.20M,,,,38.13M,69.62M,8.954M,38.98M,38.98M,-78.23M,,,32.23M,-5.984M,1.403M,-0.63M,,11.58M,-2.36M,36.24M,44.80M,135.12M,,-24.31M,,-24.31M,-3.658M,,,-27.97M,,,,-130.59M,2.311M,-0.298M,2.013M,,-27.38M,,,-155.96M,,164.88M,-48.80M,,116.08M,,2.311M,,,-0.298M,,,
2002-03,-247.93M,,,,268.33M,,,39.60M,39.60M,8.573M,,,-32.23M,5.984M,-1.403M,0.63M,,-43.12M,,-70.14M,-49.01M,-50.59M,,-21.13M,,-21.13M,-45.82M,,,-66.96M,,,,132.24M,3.011M,-0.802M,2.209M,,-27.36M,,,107.09M,,175.33M,-10.45M,,164.88M,,3.011M,,,-0.802M,,,
2001-12,23.55M,,,,33.66M,-108.12M,-51.62M,48.11M,48.11M,-13.70M,,,24.65M,42.50M,-8.579M,-2.572M,,-7.429M,,48.57M,-266.70M,-126.51M,,-29.90M,,-18.47M,-5.055M,,,-23.53M,,,,-188.97M,0.97M,-0.041M,0.929M,,-27.34M,,,112.13M,,221.43M,-37.91M,,171.96M,,0.97M,,,-0.041M,,,
2001-09,2.607M,,,,-18.31M,38.21M,17.99M,56.19M,56.19M,11.21M,,,31.88M,75.99M,5.72M,-2.985M,,-12.30M,,98.30M,-10.74M,139.26M,,-28.19M,,-28.19M,-31.85M,,,-60.04M,,,,-167.91M,0.163M,-22.11M,-21.95M,,-27.42M,,,-217.28M,,359.48M,-138.05M,,221.43M,,0.163M,,,-22.11M,,,
2001-06,143.30M,,,,-88.04M,36.04M,17.11M,53.16M,53.16M,10.94M,,-1.26M,80.96M,13.76M,1.626M,-34.50M,,67.25M,,129.09M,285.90M,533.10M,,-39.55M,,-39.55M,-153.90M,,,-193.46M,,,,-117.53M,0.546M,-6.938M,-6.392M,,-25.39M,,,-149.31M,,169.23M,190.34M,,359.48M,,0.546M,,,-6.938M,,,
2001-03,79.09M,,,,-27.59M,33.87M,16.52M,50.39M,50.39M,-5.567M,,1.26M,28.94M,-5.538M,-9.454M,-21.27M,,13.13M,,5.812M,-8.459M,94.93M,,-61.13M,,-61.13M,-82.36M,,,-143.49M,,,,63.36M,2.266M,-3.067M,-0.801M,,-25.41M,,,37.15M,,180.65M,-11.42M,,169.23M,,2.266M,,,-3.067M,,,
2000-12,134.69M,,,,15.27M,,,32.96M,32.96M,25.57M,,15.41M,56.65M,16.29M,,-9.603M,4.392M,-77.46M,,-26.66M,-4.799M,192.44M,,-49.34M,22.16M,-27.18M,-128.57M,0.00,,-155.75M,,,,-36.82M,1.957M,-1.946M,0.011M,,-25.39M,,,-62.20M,,210.86M,-25.51M,,179.50M,,1.957M,,,-1.946M,,,
2000-09,130.87M,,,,18.13M,,,50.16M,50.16M,-15.36M,,308.05M,-25.73M,-37.28M,,-1.334M,-1.612M,85.43M,,19.47M,-306.52M,204.80M,,-57.19M,-13.15M,-70.34M,-89.48M,14.18M,3.906M,-141.73M,,,,41.04M,0.349M,-3.928M,-3.579M,,-25.38M,,,12.07M,,135.71M,75.15M,,210.86M,,0.349M,,,-3.928M,,,
2000-06,136.73M,,,,4.299M,,,53.09M,53.09M,-1.229M,,-308.05M,-69.14M,-8.324M,,8.754M,-3.032M,-2.046M,,-73.79M,307.43M,118.48M,,111.96M,0.00,111.96M,-224.61M,,-0.599M,-113.24M,,,,31.70M,1.248M,,1.248M,,-23.35M,,,9.599M,,120.88M,14.84M,,135.71M,,1.248M,,,,,,
2000-03,117.32M,,,,-0.057M,,,48.01M,48.01M,5.997M,,,-78.96M,-52.02M,,6.209M,-8.78M,-21.57M,,-155.12M,-307.43M,-291.28M,,-189.31M,14.92M,-174.39M,,,-3.307M,-177.70M,,,,469.70M,5.449M,,5.449M,,-23.34M,,,451.81M,,138.04M,-17.16M,,120.88M,,5.449M,,,,,,
1999-12,120.99M,,,,30.99M,,,29.34M,29.34M,-14.55M,,-11.98M,-4.652M,-24.79M,,34.39M,4.543M,15.25M,,16.16M,1.171B,1.342B,,332.73M,-1.167B,-834.40M,,,629.80M,-779.61M,,,,102.92M,0.321M,,-671.35M,,-23.31M,,,-591.73M,,174.60M,-29.71M,,136.91M,,0.321M,,,,,,
1999-09,121.60M,,,,-8.70M,,,51.30M,51.30M,-2.80M,,-0.30M,-80.10M,-2.80M,,11.30M,-1.30M,44.60M,,-28.30M,,132.80M,,-97.40M,40.10M,-57.30M,,,-192.30M,-249.60M,,,,83.20M,1.30M,,1.30M,,-23.70M,,,60.80M,,230.70M,-56.00M,,174.60M,,1.30M,,,,,,
1999-06,93.26M,,,,-1.10M,,,46.72M,46.72M,-3.437M,,0.198M,-50.44M,15.97M,,6.416M,-0.081M,-16.40M,,-44.53M,-1.170B,-1.078B,,-167.75M,1.170B,1.002B,,,-188.21M,813.65M,,,,-3.661M,1.35M,,1.35M,,-22.12M,,,-24.43M,,519.94M,-289.27M,,230.70M,,1.35M,,,,,,
1999-03,593.14M,,,,-535.40M,,,43.18M,43.18M,3.637M,,0.002M,-9.864M,-11.27M,,-7.116M,-6.419M,-33.20M,,-67.87M,1.170B,1.206B,,-190.35M,,-190.35M,,,-249.29M,-439.65M,,,,-325.34M,4.55M,,4.55M,,-22.68M,,,-343.47M,,96.77M,423.17M,,519.94M,,4.55M,,,,,,
1998-12,94.80M,,,,-25.90M,,,45.50M,45.50M,0.50M,,-0.20M,82.60M,24.30M,,-8.30M,-10.30M,-38.50M,,49.80M,14.40M,178.90M,,-61.80M,,-54.80M,,5.50M,-75.00M,-124.30M,,,,-12.20M,11.90M,,11.90M,,-23.40M,,,-23.70M,,63.80M,30.90M,,96.80M,,11.90M,,,,,,
1998-09,93.90M,,,,9.60M,,,43.50M,43.50M,-1.10M,,0.00,-8.70M,-3.60M,,-10.50M,4.00M,49.20M,,30.40M,-12.00M,164.30M,,-34.30M,,-34.30M,,-5.40M,-30.20M,-69.90M,,,,-79.60M,1.60M,,1.60M,,-23.40M,,,-101.40M,,0.00,-7.00M,,63.80M,,1.60M,,,,,,
1998-06,100.10M,,,,-15.10M,,,41.20M,41.20M,-4.70M,,0.10M,-17.60M,-4.00M,,-5.60M,-4.80M,-26.60M,,-58.60M,0.70M,63.70M,,-437.80M,,-437.80M,,24.20M,-0.10M,-413.70M,,,,362.90M,1.30M,,1.30M,,-21.20M,,,343.00M,,0.00,-7.00M,,0.00,,1.30M,,,,,,
1998-03,90.00M,,,,-21.80M,,,37.50M,37.50M,5.00M,,0.10M,18.40M,-34.00M,,-0.30M,-0.20M,-10.40M,,-26.50M,-14.30M,70.00M,,-142.00M,,-142.00M,,-2.30M,-1.00M,-145.30M,,,,67.10M,4.20M,,4.20M,,-21.20M,,,50.10M,,103.10M,-25.20M,,0.00,,4.20M,,,,,,
1997-12,100.20M,,,,-36.50M,,,47.20M,47.20M,2.60M,,0.10M,8.70M,-13.60M,,7.20M,-5.30M,9.90M,,6.90M,,225.10M,,-275.10M,,-268.50M,,5.10M,130.40M,-133.00M,,,,-91.00M,7.70M,,7.70M,,-21.10M,,-2.80M,-107.20M,,0.00,-15.10M,,103.10M,,7.70M,,,,,,
1997-09,101.80M,,,,29.40M,,,37.60M,37.60M,-5.60M,,-0.10M,-40.30M,-8.50M,,-5.40M,-0.90M,58.90M,,3.80M,,166.90M,,-37.00M,,-37.00M,,-1.70M,-74.60M,-113.30M,,,,-12.10M,0.10M,,0.10M,,-21.10M,,0.10M,-33.00M,,0.00,20.60M,,0.00,,0.10M,,,,,,
1997-06,124.90M,,,,-36.30M,,,35.60M,35.60M,-0.70M,,0.20M,-66.70M,2.90M,,25.50M,-0.50M,-34.10M,,-72.90M,,50.80M,,-34.60M,,-34.60M,,-1.30M,-62.90M,-98.80M,,,,87.50M,1.10M,,1.10M,,-18.90M,,,69.70M,,0.00,21.70M,,0.00,,1.10M,,,,,,
1997-03,78.50M,,,,-16.00M,,,34.80M,34.80M,-9.90M,,,6.90M,-11.40M,,-8.50M,-2.00M,9.00M,,-6.00M,,81.40M,,-27.40M,,-27.40M,,-0.40M,-79.10M,-106.90M,,,,-46.00M,4.10M,,4.10M,,-19.20M,,,-61.10M,,200.00M,-86.60M,,0.00,,4.10M,,,,,,
1996-12,80.30M,,,,-69.60M,,,18.20M,18.20M,-10.40M,,-0.20M,-4.30M,29.80M,,16.70M,-0.20M,-22.30M,,19.70M,,77.30M,,-292.30M,-1.80M,-294.10M,,11.90M,73.30M,-208.90M,,,,210.80M,3.10M,,3.10M,,-19.10M,,-1.50M,193.30M,,0.00,61.70M,,0.00,,3.10M,,,,,,
1996-09,144.30M,,,,-55.30M,,,31.80M,31.80M,13.90M,,0.10M,-3.70M,16.50M,,4.40M,-0.10M,-2.90M,,14.20M,,149.00M,,-24.60M,112.10M,87.50M,,1.00M,-94.00M,-5.50M,,,,-106.70M,0.50M,,0.50M,,-19.20M,,0.10M,-125.30M,,0.00,18.20M,,0.00,,0.50M,,,,,,
1996-06,87.90M,,,,-3.70M,,,30.30M,30.30M,0.50M,,-0.10M,-10.70M,1.70M,,-23.50M,-0.80M,-24.60M,,-57.90M,,57.00M,,-26.10M,,-26.10M,,-2.40M,17.70M,-10.80M,,,,-28.60M,1.30M,,1.30M,,-17.00M,,-0.10M,-44.40M,,0.00,1.80M,,0.00,,1.30M,,,,,,
1996-03,77.70M,,,,0.80M,,,30.20M,30.20M,-4.20M,,,33.10M,-30.00M,,-2.50M,-2.10M,5.60M,,4.10M,,108.60M,,-35.70M,,-35.70M,,-1.60M,-59.80M,-97.10M,,,,-11.80M,2.50M,,2.50M,,-17.10M,,,-26.40M,,121.70M,-14.90M,,0.00,,2.50M,,,,,,
1995-12,68.50M,,,,4.40M,,,30.20M,30.20M,-17.30M,,-2.40M,-9.30M,-16.00M,,24.20M,-8.80M,19.50M,,9.60M,,93.00M,,-32.50M,,-15.90M,,43.90M,8.30M,36.30M,,,,-91.00M,7.70M,,7.70M,,-17.00M,,0.80M,-99.50M,,0.00,29.80M,,0.00,,7.70M,,,,,,
1995-09,71.10M,,,,4.20M,,,27.90M,27.90M,6.50M,,-2.50M,2.90M,-8.10M,,-0.60M,-1.90M,1.60M,,-6.10M,,101.10M,,-24.20M,,-24.20M,,-3.30M,-205.50M,-233.00M,,,,160.60M,0.80M,,0.80M,,-17.00M,,0.00,144.40M,,0.00,12.50M,,0.00,,0.80M,,,,,,
1995-06,78.90M,,,,4.20M,,,25.30M,25.30M,-1.60M,,12.10M,-52.60M,-20.40M,,-6.50M,4.40M,-7.60M,,-82.70M,,36.20M,,-19.00M,,-19.00M,,-6.90M,-82.60M,-108.50M,,,,82.60M,0.30M,,0.30M,,-14.80M,,0.00,68.10M,,0.00,-4.20M,,0.00,,0.30M,,,,,,
1995-03,59.80M,,,,0.50M,,,24.40M,24.40M,-1.30M,,-7.00M,-25.20M,-25.00M,,8.80M,-6.80M,45.10M,,-3.10M,,73.30M,,-28.10M,,-28.10M,,-2.20M,-20.30M,-50.60M,,,,-14.50M,1.10M,,1.10M,,-14.70M,,-0.10M,-28.20M,,90.30M,-5.50M,,0.00,,1.10M,,,,,,
1994-12,55.50M,,,,-0.90M,,,26.20M,26.20M,-15.50M,,-6.80M,-17.70M,-3.30M,,25.80M,16.60M,23.20M,,44.60M,,103.10M,,-29.60M,,-22.90M,,-1.40M,-33.50M,-57.80M,,,,-36.20M,3.40M,,3.40M,,-14.90M,,,-45.80M,,0.00,-0.50M,,0.00,,3.40M,,,,,,
1994-09,51.90M,,,,3.00M,,,24.60M,24.60M,-0.90M,,4.10M,-14.60M,18.60M,,-19.60M,1.10M,9.50M,,-5.00M,,77.70M,,-21.10M,,-21.10M,,-1.10M,-32.70M,-54.90M,,,,1.30M,0.80M,,0.80M,,-14.90M,,,-12.80M,,0.00,10.00M,,0.00,,0.80M,,,,,,
1994-06,52.40M,,,,4.80M,,,23.60M,23.60M,-3.40M,,-12.40M,-9.80M,-12.10M,,14.70M,17.90M,17.60M,,28.30M,,93.30M,,-17.70M,,-17.70M,,-19.50M,-45.40M,-82.60M,,,,28.80M,0.10M,,0.10M,,-13.10M,,,15.80M,,0.00,26.50M,,0.00,,0.10M,,,,,,
1994-03,42.60M,,,,-0.20M,,,21.40M,21.40M,0.80M,,15.00M,-14.70M,-25.70M,,-1.30M,-21.40M,23.50M,,-39.60M,,40.00M,,-16.50M,,-16.50M,,,-104.50M,-121.00M,,,,87.10M,1.00M,,1.00M,,-13.20M,,,74.90M,,63.70M,-6.10M,,0.00,,1.00M,,,,,,
1993-12,42.40M,,,,-16.40M,,,22.60M,22.60M,4.90M,,-9.50M,-2.80M,20.90M,,11.00M,8.80M,11.80M,,49.70M,,93.70M,,-16.30M,,-11.60M,,,-81.70M,-96.30M,,,,17.70M,1.00M,,1.00M,,-13.10M,,,-0.90M,,0.00,-3.50M,,0.00,,1.00M,,,,,,
1993-09,42.40M,,,,10.10M,,,18.70M,18.70M,-2.70M,,26.50M,-31.10M,15.00M,,-28.40M,-2.30M,9.40M,,-37.40M,,57.60M,,-9.40M,,-9.40M,,,-222.90M,-232.30M,,,,129.20M,0.60M,,0.60M,,-13.20M,,,116.60M,,0.00,-58.10M,,0.00,,0.60M,,,,,,
1993-06,39.70M,,,,0.60M,,,18.00M,18.00M,-0.80M,,-20.00M,-15.00M,-5.90M,,21.60M,-1.00M,-9.50M,,-9.80M,,27.70M,,-8.60M,,-8.60M,,,-9.30M,-17.90M,,,,51.60M,0.10M,,0.10M,,-12.50M,,,39.20M,,0.00,49.00M,,0.00,,0.10M,,,,,,
1993-03,33.80M,,,,0.50M,,,17.70M,17.70M,-0.90M,,-0.40M,3.30M,-13.10M,,-1.50M,-2.20M,8.80M,,-4.70M,,46.00M,,-14.40M,,-14.40M,,,-4.80M,-19.20M,,,,-10.00M,0.40M,,0.40M,,-12.60M,,,-22.20M,,71.60M,4.60M,,0.00,,0.40M,,,,,,
1992-12,33.90M,,,,-16.80M,,,22.40M,22.40M,-1.00M,,-3.70M,-4.60M,0.50M,,11.30M,1.50M,-1.40M,,7.30M,,42.10M,,-20.80M,,-9.80M,,,-12.60M,-6.40M,,,,-20.90M,-0.80M,,-0.80M,,-12.40M,,-5.60M,-39.70M,,0.00,-4.00M,,0.00,,-0.80M,,,,,,
1992-09,33.70M,,,,0.40M,,,19.00M,19.00M,-2.00M,,14.20M,-11.20M,-4.70M,,4.50M,-2.70M,15.60M,,1.50M,,66.80M,,-7.00M,,-7.00M,,,-74.60M,-81.60M,,,,4.80M,0.20M,,0.20M,,-12.80M,,,-7.80M,,0.00,-22.60M,,0.00,,0.20M,,,,,,
1992-06,31.30M,,,,0.40M,,,18.00M,18.00M,-0.30M,,-6.20M,5.80M,13.50M,,-9.60M,13.20M,-11.50M,,11.40M,,54.60M,,-9.20M,,-9.20M,,,-23.80M,-33.00M,,,,14.10M,0.20M,,0.20M,,-12.30M,,-0.10M,1.90M,,0.00,23.50M,,0.00,,0.20M,,,,,,
1992-03,30.20M,,,,-4.60M,,,18.10M,18.10M,-0.20M,,-6.10M,-3.10M,-4.00M,,-5.60M,-0.30M,-16.00M,,-29.00M,,8.40M,,-10.80M,,-10.80M,,,-82.20M,-93.00M,,,,89.30M,0.40M,,0.40M,,-12.30M,,0.10M,77.50M,,81.80M,-7.10M,,0.00,,0.40M,,,,,,
1991-12,30.90M,,,,-31.60M,,,27.10M,27.10M,-1.50M,,43.90M,-2.20M,0.60M,,1.30M,-3.20M,-37.60M,,-41.10M,,27.70M,,-19.60M,,-17.50M,,,0.40M,-19.20M,,,,27.20M,0.80M,,0.80M,,-12.90M,,,5.10M,,0.00,13.60M,,0.00,,0.80M,,,,,,
1991-09,32.80M,,,,0.20M,,,18.80M,18.80M,0.90M,,-28.90M,21.10M,8.50M,,25.20M,-5.20M,53.60M,,103.20M,,127.00M,,-9.60M,,-9.60M,,,34.90M,25.30M,,,,-106.30M,0.20M,,0.20M,,-12.10M,,,-118.20M,,0.00,34.10M,,0.00,,0.20M,,,,,,
1991-06,35.10M,,,,0.20M,,,18.70M,18.70M,-0.60M,,-36.50M,19.60M,18.20M,,-4.20M,-4.90M,-5.50M,,23.20M,,40.10M,,-10.40M,,-10.40M,,,-0.10M,-10.50M,,,,-69.10M,0.20M,,0.20M,,-12.00M,,,-80.90M,,0.00,-51.30M,,0.00,,0.20M,,,,,,
1991-03,29.40M,,,,-1.00M,,,20.80M,20.80M,-0.60M,,18.10M,-9.90M,-6.70M,,-35.50M,7.30M,-2.80M,,-47.60M,,19.10M,,-10.80M,,-10.80M,,,-1.70M,-12.50M,,,,-6.40M,0.30M,,0.30M,,-24.00M,,,-30.10M,,108.90M,-23.50M,,0.00,,0.30M,,,,,,
1990-12,36.50M,,,,7.20M,,,23.00M,23.00M,4.30M,,10.30M,13.90M,-9.50M,,30.80M,-6.00M,-16.20M,,13.00M,,94.30M,,-22.70M,,-22.10M,,,-128.30M,-153.50M,,,,10.60M,1.90M,,1.90M,,0.00,,7.10M,19.60M,,0.00,-39.60M,,0.00,,1.90M,,,,,,
1990-09,40.60M,,,,0.40M,,,18.30M,18.30M,-1.00M,,2.90M,-10.50M,11.80M,,-5.80M,-2.70M,7.70M,,0.50M,,61.70M,,-11.10M,,-11.10M,,,-17.70M,-28.80M,,,,10.20M,-0.70M,,-0.70M,,-12.10M,,-0.10M,-2.70M,,0.00,30.20M,,0.00,,-0.70M,,,,,,
1990-06,42.20M,,,,0.40M,,,18.40M,18.40M,-1.10M,,-8.80M,-21.20M,-5.80M,,4.50M,-2.40M,11.40M,,-13.50M,,37.60M,,-9.80M,,-9.80M,,,-8.90M,-18.70M,,,,-23.20M,0.40M,,0.40M,,-11.10M,,0.10M,-33.80M,,0.00,-14.90M,,0.00,,0.40M,,,,,,
1990-03,36.40M,,,,-4.20M,,,17.80M,17.80M,-0.80M,,4.10M,13.70M,1.40M,,-26.60M,-1.10M,-14.40M,,-27.00M,,26.30M,,-9.10M,,-9.10M,,,-24.20M,-33.30M,,,,26.70M,0.50M,,0.50M,,-22.40M,,,4.80M,,135.40M,-2.20M,,0.00,,0.50M,,,,,,
