,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,LandandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,ShareholdersEquity
2004-06,1.18M,,1.18M,,,89.49M,9.566M,9.93M,5.451M,,115.62M,,,,,578.09M,-215.00M,363.09M,,,,17.73M,380.82M,496.44M,31.31M,2.73M,34.04M,30.85M,64.89M,,22.09M,22.09M,20.98M,107.96M,85.22M,85.22M,34.48M,34.48M,19.97M,139.67M,247.63M,2.41M,174.14M,72.26M,248.81M
2004-03,1.054M,,1.054M,,,82.85M,9.102M,9.475M,5.384M,,107.87M,,,,,535.64M,-207.25M,328.39M,,,,17.56M,345.95M,453.82M,22.77M,4.357M,27.13M,27.98M,55.11M,,21.90M,21.90M,19.81M,96.81M,68.88M,68.88M,31.24M,31.24M,18.63M,118.76M,215.57M,1.606M,163.68M,72.97M,238.25M
2003-12,1.051M,,1.051M,,,75.58M,8.833M,11.37M,4.539M,,101.37M,,,,,513.02M,-197.26M,315.77M,,,,17.42M,333.19M,434.56M,12.18M,1.736M,13.92M,41.97M,55.89M,,22.44M,22.44M,,78.33M,74.99M,74.99M,31.26M,31.26M,17.44M,123.69M,202.02M,1.606M,157.96M,72.97M,232.54M
2003-09,8.592M,,8.592M,,,78.68M,8.805M,7.146M,4.567M,,107.79M,,,,,495.82M,-188.53M,307.29M,,,,20.74M,328.02M,435.82M,19.24M,,19.24M,25.91M,45.15M,,22.67M,22.67M,18.52M,86.34M,76.66M,76.66M,31.69M,31.69M,16.66M,125.02M,211.36M,1.606M,150.24M,72.62M,224.46M
2003-06,0.949M,,0.949M,,,71.92M,8.705M,8.629M,3.67M,,93.87M,,,,,484.50M,-185.29M,299.21M,,,,21.16M,320.37M,414.24M,15.87M,,15.87M,23.01M,38.88M,,17.75M,17.75M,18.04M,74.67M,82.59M,82.59M,25.86M,25.86M,15.96M,124.41M,199.08M,1.605M,141.12M,72.43M,215.16M
2003-03,6.549M,,6.549M,,,72.79M,8.144M,10.52M,3.67M,,101.67M,,,,,455.30M,-179.66M,275.64M,,,,19.91M,295.55M,397.22M,17.76M,,17.76M,21.12M,38.89M,,17.80M,17.80M,17.55M,74.24M,73.20M,73.20M,25.86M,25.86M,15.36M,114.41M,188.65M,1.069M,134.61M,72.89M,208.57M
2002-12,19.26M,,19.26M,,,68.00M,7.988M,15.62M,3.67M,,114.54M,,,,,430.94M,-175.12M,255.83M,,,,19.11M,274.93M,389.48M,16.84M,0.00,16.84M,35.15M,51.99M,,11.14M,11.14M,,63.13M,82.08M,82.08M,25.86M,25.86M,14.85M,122.78M,185.92M,1.065M,130.36M,72.14M,203.56M
2002-09,0.829M,,0.829M,,,68.16M,8.119M,6.417M,0.873M,,84.40M,,,,,418.22M,-169.93M,248.29M,,,,19.31M,267.60M,352.00M,19.23M,1.00M,20.23M,20.60M,40.83M,,24.01M,24.01M,18.03M,82.87M,83.82M,83.82M,20.78M,20.78M,14.84M,119.44M,202.31M,0.832M,124.90M,23.96M,149.69M
2002-06,1.075M,,1.075M,,,64.36M,7.853M,6.105M,0.873M,,80.27M,,,,,399.19M,-163.49M,235.70M,,,,19.00M,254.70M,334.97M,22.97M,0.222M,23.20M,17.39M,40.59M,,17.20M,17.20M,17.69M,75.48M,81.33M,81.33M,20.78M,20.78M,14.10M,116.21M,191.68M,0.832M,118.50M,23.95M,143.28M
2002-03,0.958M,,0.958M,,,59.61M,7.449M,7.667M,0.873M,,76.56M,,,,,378.92M,-156.79M,222.13M,,,,18.79M,240.93M,317.48M,15.41M,1.249M,16.66M,15.42M,32.08M,,10.04M,10.04M,16.12M,58.24M,85.96M,85.96M,20.78M,20.78M,13.60M,120.34M,178.58M,0.832M,114.14M,23.93M,138.90M
2001-12,0.761M,,0.761M,,,52.16M,7.346M,12.73M,0.873M,,73.87M,,,,,369.52M,-151.33M,218.18M,,,,18.79M,236.97M,310.84M,13.80M,0.425M,14.22M,27.93M,42.16M,,8.408M,8.408M,,50.57M,90.01M,90.01M,20.78M,20.78M,12.84M,123.64M,174.20M,0.831M,111.90M,23.91M,136.64M
2001-09,6.017M,,6.017M,,,65.01M,7.287M,6.325M,1.477M,,86.12M,,,,,355.03M,-148.53M,206.50M,,,,18.02M,224.52M,310.64M,22.23M,0.998M,23.23M,16.27M,39.49M,,7.934M,7.934M,15.21M,62.63M,81.00M,81.00M,21.64M,21.64M,12.86M,115.51M,178.14M,0.831M,107.75M,23.91M,132.49M
2001-06,2.896M,,2.896M,,,63.64M,6.984M,6.306M,1.477M,,81.31M,,,,,347.88M,-141.49M,206.39M,,,,18.25M,224.64M,305.95M,19.67M,0.739M,20.41M,17.55M,37.96M,,8.196M,8.196M,13.92M,60.08M,82.74M,82.74M,21.64M,21.64M,12.65M,117.04M,177.12M,0.831M,104.09M,23.91M,128.83M
2001-03,1.089M,,1.089M,,,62.46M,6.894M,9.693M,1.477M,,81.62M,,,,,339.77M,-136.68M,203.09M,,,,18.40M,221.50M,303.11M,18.76M,0.109M,18.86M,16.90M,35.77M,,9.051M,9.051M,14.14M,58.96M,84.55M,84.55M,21.64M,21.64M,12.22M,118.41M,177.38M,0.831M,101.00M,23.91M,125.74M
2000-12,0.585M,,0.585M,,,58.72M,6.912M,12.50M,1.477M,,80.20M,,,,,331.37M,-130.02M,201.35M,,,,15.04M,216.40M,296.59M,26.52M,0.00,26.52M,13.73M,40.25M,,9.035M,9.035M,14.13M,63.41M,74.51M,74.51M,21.64M,21.64M,12.30M,108.45M,171.86M,0.831M,100.00M,23.91M,124.73M
2000-09,0.871M,,0.871M,,,62.04M,6.532M,6.345M,2.27M,,78.06M,,,,,325.50M,-126.72M,198.79M,,,,15.12M,213.91M,291.97M,19.99M,0.066M,20.06M,17.69M,37.75M,,9.51M,9.51M,14.48M,61.74M,75.68M,75.68M,20.80M,20.80M,11.52M,107.99M,169.73M,0.831M,97.50M,23.91M,122.23M
2000-06,0.873M,,0.873M,,,59.27M,6.169M,6.032M,2.27M,,74.62M,,,,,306.57M,-124.51M,182.06M,,,,14.71M,196.77M,271.39M,18.46M,0.609M,19.06M,16.74M,35.80M,,10.02M,10.02M,13.46M,59.29M,61.81M,61.81M,20.80M,20.80M,11.55M,94.16M,153.44M,0.831M,93.20M,23.91M,117.94M
2000-03,0.95M,,0.95M,,,58.93M,6.144M,6.72M,2.27M,,75.02M,,,,,291.02M,-122.01M,169.01M,,,,14.69M,183.70M,258.72M,19.16M,1.202M,20.37M,16.09M,36.45M,,24.08M,24.08M,12.36M,72.90M,40.73M,40.73M,20.80M,20.80M,10.93M,72.46M,145.36M,0.831M,88.63M,23.91M,113.36M
1999-12,0.781M,,0.781M,,,56.14M,6.428M,10.63M,2.27M,,76.25M,,,,,283.21M,-116.25M,166.96M,,,,14.36M,181.32M,257.58M,22.94M,0.00,22.94M,14.28M,37.22M,,21.81M,21.81M,12.55M,71.58M,43.06M,43.06M,20.80M,20.80M,11.10M,74.96M,146.54M,0.831M,86.30M,23.91M,111.04M
1999-09,0.618M,,0.618M,,,56.00M,,,2.213M,11.04M,69.87M,,,,,273.85M,-110.57M,163.28M,,,,14.62M,177.89M,247.76M,15.84M,0.529M,16.37M,,16.37M,,16.21M,16.21M,30.79M,63.37M,45.70M,45.70M,20.30M,20.30M,10.79M,76.80M,140.17M,0.831M,82.85M,23.91M,107.59M
1999-06,0.645M,,0.645M,,,50.80M,,,2.213M,10.53M,64.18M,,,,,266.21M,-107.12M,159.09M,,,,14.47M,173.56M,237.75M,15.32M,0.242M,15.56M,,15.56M,,11.75M,11.75M,29.87M,57.18M,46.38M,46.38M,20.30M,20.30M,10.50M,77.19M,134.38M,0.831M,78.63M,23.91M,103.37M
1999-03,0.663M,,0.663M,,,52.78M,,,2.213M,11.83M,67.49M,,,,,255.55M,-101.52M,154.03M,,,,14.42M,168.45M,235.93M,10.72M,0.842M,11.56M,,11.56M,,7.55M,7.55M,29.65M,48.76M,57.67M,57.67M,20.30M,20.30M,10.09M,88.06M,136.83M,0.831M,74.37M,23.91M,99.11M
1998-12,0.659M,,0.659M,,,51.18M,6.325M,9.413M,2.213M,,69.79M,,,,,256.47M,-97.47M,159.00M,,,,13.01M,172.01M,241.80M,21.35M,0.499M,21.85M,11.58M,33.43M,,9.093M,9.093M,11.96M,54.48M,61.50M,61.50M,19.55M,19.55M,9.636M,90.68M,145.16M,0.831M,71.90M,23.91M,96.64M
1998-09,0.744M,,0.744M,,,54.75M,,,1.97M,11.17M,68.63M,,,,,255.92M,-94.80M,161.12M,,,,13.09M,174.21M,242.84M,14.65M,0.044M,14.69M,,14.69M,,8.326M,8.326M,28.61M,51.62M,68.10M,68.10M,19.34M,19.34M,9.376M,96.81M,148.44M,0.831M,69.67M,23.91M,94.41M
1998-06,5.407M,,5.407M,,,48.97M,,,1.97M,10.26M,66.60M,,,,,235.14M,-91.42M,143.73M,,,,6.28M,150.01M,216.61M,14.16M,0.046M,14.20M,,14.20M,,5.445M,5.445M,25.15M,44.80M,53.90M,53.90M,18.29M,18.29M,8.631M,80.83M,125.62M,0.831M,66.25M,23.91M,90.98M
