,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2002-06,7.404M,,,7.442M,,,24.31M,24.31M,0.31M,,,,70.49M,-0.294M,-2.237M,-34.11M,-66.67M,,-32.82M,6.643M,-8.409M,0.379M,-8.03M,,7.787M,-0.154M,-0.397M,,,19.89M,,19.89M,,,,19.89M,552.83M,26.14M,9.572M,588.54M,19.89M,,,,,
2002-03,47.30M,,,15.01M,,,27.35M,27.35M,-41.56M,,,,270.67M,1.138M,-65.14M,45.17M,-4.368M,,247.48M,295.58M,-11.46M,-0.529M,-11.99M,,-125.72M,-1.91M,-139.62M,,11.92M,23.02M,-11.92M,11.10M,,,,23.02M,374.54M,178.98M,-0.691M,552.83M,23.02M,,,-11.92M,,
2001-12,132.29M,,,9.28M,-46.36M,-8.932M,28.26M,28.26M,0.084M,,,,-364.66M,-4.099M,74.01M,23.22M,172.09M,,-99.44M,70.47M,-10.34M,0.033M,-10.31M,,16.48M,-0.10M,6.068M,,-11.92M,25.66M,6.824M,32.48M,,,,20.56M,278.80M,97.10M,-1.364M,374.54M,25.66M,,,6.824M,,
2001-09,-32.82M,,,3.201M,23.47M,4.466M,27.94M,27.94M,-0.642M,,,,-27.73M,-4.799M,20.52M,-40.84M,4.28M,,-48.57M,-50.89M,-14.68M,0.06M,-14.62M,,-64.73M,-0.003M,-79.35M,,,16.20M,-6.824M,9.38M,,,,9.38M,397.22M,-120.87M,2.448M,278.80M,16.20M,,,-6.824M,,
2001-06,-45.25M,,,15.84M,22.89M,4.466M,27.36M,27.36M,0.061M,,,,96.31M,-0.334M,-13.89M,-29.28M,-81.00M,,-28.19M,-30.18M,-15.03M,0.735M,-14.30M,,-16.38M,3.021M,-27.65M,,,33.96M,,33.96M,,,,33.96M,419.81M,-23.87M,1.285M,397.22M,33.96M,,,,,
2001-03,-17.88M,,,23.40M,,,19.40M,19.40M,-34.05M,,,,182.26M,4.166M,2.035M,5.576M,7.704M,,201.74M,192.61M,-15.49M,0.176M,-15.31M,,24.46M,1.00M,-32.42M,,,41.77M,,41.77M,,,,41.77M,224.29M,201.96M,-6.44M,419.81M,41.77M,,,,,
2000-12,87.98M,,,19.95M,,,18.69M,18.69M,-0.03M,,,,-211.46M,-0.567M,-6.497M,26.52M,109.70M,,-82.31M,44.28M,-18.00M,0.00,-18.00M,,2.797M,-0.06M,-15.26M,,,13.43M,,13.43M,,,,13.43M,253.82M,42.44M,2.011M,224.29M,13.43M,,,,,
2000-09,-38.91M,,,2.431M,,,16.56M,16.56M,0.912M,,,,-65.41M,6.42M,27.12M,-33.95M,39.59M,,-26.23M,-45.24M,-36.19M,3.641M,-32.55M,,16.16M,-1.499M,-17.89M,,,40.86M,,40.86M,,,,40.86M,204.46M,-22.27M,-2.35M,253.82M,40.86M,,,,,
2000-06,-42.27M,,,1.931M,,,15.02M,15.02M,0.084M,,,,148.39M,-2.719M,-50.13M,-2.382M,-65.64M,,27.52M,2.285M,-50.67M,0.317M,-50.35M,,1.006M,2.221M,-47.12M,,,6.577M,,6.577M,,,,6.577M,246.26M,-38.26M,-3.547M,204.46M,6.577M,,,,,
2000-03,3.451M,,,5.097M,,,15.32M,15.32M,3.494M,,,-0.10M,157.12M,-0.079M,3.573M,1.473M,-59.92M,,102.17M,129.44M,-49.88M,0.386M,-49.50M,-44.00M,8.338M,-1.199M,-86.36M,,,37.09M,,37.09M,,,7.763M,44.85M,157.40M,87.93M,0.824M,246.26M,37.09M,,,,,
1999-12,92.80M,,,-10.60M,,,10.70M,10.70M,-0.60M,,,0.20M,-116.50M,1.00M,-5.90M,-18.80M,57.60M,,-82.60M,9.90M,-37.70M,0.10M,-37.60M,0.00,4.30M,0.00,-33.30M,,,25.50M,,25.50M,,,24.80M,50.30M,224.40M,26.90M,-4.60M,157.40M,25.50M,,,,,
1999-09,18.20M,,,10.60M,,,10.80M,10.80M,0.60M,,,-0.10M,-193.90M,-7.90M,51.80M,-15.40M,34.00M,,-131.40M,-91.30M,-28.50M,-0.10M,-28.60M,-0.60M,28.40M,-2.80M,-3.60M,,,29.30M,,29.30M,,,-5.00M,24.30M,201.90M,-70.60M,3.80M,224.40M,29.30M,,,,,
1999-06,2.30M,,,-0.90M,,,9.90M,9.90M,-0.50M,,,,75.50M,6.40M,-19.80M,-37.00M,-38.60M,,-13.50M,-2.70M,-18.80M,8.90M,-9.90M,,-46.30M,-0.10M,-56.30M,,,13.70M,,13.70M,,,5.00M,18.70M,242.20M,-40.30M,0.10M,201.90M,13.70M,,,,,
1999-03,21.90M,,,5.10M,,,9.40M,9.40M,,,,,164.80M,7.90M,-6.70M,-10.90M,-51.40M,,103.70M,128.10M,-154.60M,0.10M,-154.50M,,93.80M,-0.50M,-61.20M,,,14.80M,,5.80M,,,-4.00M,1.80M,0.00,68.70M,-3.90M,242.20M,14.80M,,,,,
1998-12,72.60M,,,-0.50M,,,15.40M,15.40M,,,,-0.20M,-115.80M,-4.10M,-7.50M,6.60M,86.80M,,-34.00M,53.30M,106.70M,8.20M,114.90M,,-122.10M,2.00M,-5.20M,,,5.20M,,5.20M,,,1.20M,6.40M,0.00,54.50M,-1.10M,0.00,5.20M,,,,,
1998-09,-25.30M,,,40.90M,,,8.30M,8.30M,,,,0.20M,-98.90M,-3.10M,30.50M,-18.20M,39.20M,,-50.50M,-26.40M,-188.70M,,-188.70M,,127.10M,-4.30M,-65.90M,,,9.40M,,9.40M,,,1.10M,10.50M,0.00,-81.80M,4.10M,0.00,9.40M,,,,,
1998-06,3.70M,,,4.20M,,,7.40M,7.40M,,,,,38.20M,0.60M,-14.70M,-1.80M,-41.80M,,-19.50M,-4.20M,-13.70M,,-13.70M,,-2.90M,-2.70M,-19.30M,,,6.80M,,6.80M,,,3.80M,10.60M,216.00M,-12.90M,-1.30M,0.00,6.80M,,,,,
