,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,NotesReceivable,TotalReceivables,PrepaidExpenses,RestrictedCash,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,GrossLoans,NetLoanAssets,LongTermInvestments,DerivativeInstruments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,DividendsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2002-03,5.012M,5.012M,,,2.864M,,,7.876M,,,,,,,,,876.02M,,,,,,,970.11M,977.99M,,,52.06M,,52.06M,,,273.00M,273.00M,273.00M,,325.06M,246.27M,,246.27M,,,,,,246.27M,571.33M,96.26M,,316.94M,96.09M,-6.549M,406.65M
2001-12,2.376M,2.376M,,,9.123M,,,11.50M,,,,,,,,,861.88M,,,,,,,950.65M,962.15M,,,56.35M,,56.35M,,,,,,,56.35M,573.16M,,573.16M,,,,,,573.16M,629.51M,38.75M,,301.82M,38.59M,-7.931M,332.64M
2001-09,2.72M,2.72M,,,8.929M,,,11.65M,,,,,,,,,829.78M,,,,,,,917.14M,928.79M,,,47.22M,,47.22M,,,,,,,47.22M,552.70M,,552.70M,,,,,,552.70M,599.92M,38.75M,,299.26M,38.59M,-9.15M,328.87M
2001-06,3.666M,3.666M,,,9.001M,,,12.67M,,,,,,,,,776.11M,,,,,,,866.89M,879.56M,,,269.70M,,269.70M,,,,,,,269.70M,274.00M,,274.00M,,,,,,274.00M,543.70M,38.75M,,299.86M,38.59M,-2.748M,335.86M
2001-03,5.796M,5.796M,,,8.917M,,,14.71M,,,,,,,,,732.58M,,,,,,,805.40M,820.11M,,,45.66M,,45.66M,,,2.614M,2.614M,2.614M,,48.27M,457.76M,,457.76M,,,,,,457.76M,506.03M,38.74M,,281.69M,38.59M,-6.362M,314.08M
2000-12,2.776M,2.776M,,,8.835M,,,11.61M,,,,,,,,,705.74M,,,,,,,769.37M,780.98M,,,30.58M,,30.58M,,,3.885M,3.885M,3.885M,,34.46M,427.37M,,427.37M,,,,,,427.37M,461.83M,38.74M,,278.87M,38.59M,1.541M,319.15M
2000-09,0.775M,0.775M,,,9.735M,,,10.51M,,,,,,,,,693.77M,,,,,,,755.42M,765.93M,,,30.23M,,30.23M,,,,,,,30.23M,411.61M,,411.61M,,,,,,411.61M,441.84M,38.74M,,278.65M,38.59M,6.703M,324.09M
2000-06,0.733M,0.733M,,,8.523M,,,9.256M,,,,,,,,,643.10M,,,,,,,690.37M,699.63M,,,28.42M,,28.42M,,,,,,,28.42M,391.66M,,391.66M,,,,,,391.66M,420.08M,38.73M,,240.81M,38.59M,,279.54M
2000-03,1.968M,1.968M,,,8.889M,,,10.86M,,,,,,,,,610.47M,,,,,,,650.42M,661.28M,,,28.49M,,28.49M,,,,,,,28.49M,369.87M,,369.87M,,,,,,369.87M,398.36M,38.73M,,224.19M,38.59M,,262.91M
1999-12,3.40M,3.40M,,,9.40M,,,12.80M,,,,,,,,,598.80M,,,,,,,630.32M,643.12M,,,30.00M,,30.00M,,,,,,,30.00M,350.50M,,350.50M,,,,,,350.50M,380.52M,38.70M,,225.20M,38.60M,-1.30M,262.60M
1999-09,2.50M,2.50M,,,9.30M,,,11.80M,,,,,,,,,579.10M,,,,,,,608.30M,620.10M,,,24.00M,,24.00M,,,,,,,24.00M,332.60M,,332.60M,,,,,,332.60M,356.60M,38.70M,,224.80M,38.60M,,263.50M
1999-06,2.90M,2.90M,,,15.40M,,,18.30M,,,,,,,,,526.00M,,,,,,,544.00M,562.30M,,,23.30M,,23.30M,,,148.00M,148.00M,148.00M,,171.30M,128.00M,,128.00M,,,,,,128.00M,299.34M,38.72M,,224.24M,38.59M,,262.96M
1999-03,1.50M,1.50M,,,8.90M,,,10.40M,,,,,,,,,515.40M,,,,,,,539.50M,549.90M,,,24.60M,,24.60M,,,172.00M,172.00M,172.00M,,196.60M,127.20M,,127.20M,,,,,,127.20M,323.80M,0.10M,,225.95M,,,226.10M
1998-12,1.60M,1.60M,,,8.90M,,,10.50M,,,,,,,,,493.70M,,,,,,,519.80M,530.30M,,,20.70M,,20.70M,,,,,,,20.70M,309.80M,,309.80M,,,,,,309.80M,330.50M,0.10M,,199.60M,,,199.80M
1998-09,1.20M,1.20M,,,13.10M,,,14.30M,,,,,,,,,441.70M,,,,,,,461.90M,476.20M,,,16.90M,,16.90M,,,,,,,16.90M,258.90M,,258.90M,,,,,,258.90M,275.80M,0.10M,,200.30M,,,200.40M
1998-06,2.00M,2.00M,,,11.80M,,,13.80M,,,,,,,,,390.50M,,,,,,,407.10M,420.90M,,,14.40M,,14.40M,,,,,,,14.40M,206.60M,,206.60M,,,,,,206.60M,221.00M,0.10M,,199.80M,,,199.90M
1998-03,1.50M,1.50M,,,4.20M,,,5.70M,,,,,,,,,349.00M,1.60M,1.60M,,,,,366.40M,372.10M,,,12.50M,,12.50M,,,,,,,12.50M,192.70M,,192.70M,,,,,,192.70M,205.10M,,-2.30M,169.17M,,,167.00M
