,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,NetCommonEquityIssued(Purchased),PreferredStockIssuance,PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,InterestPaidSupplementalData
2005-09,15.99M,,,-0.275M,,-0.311M,,,15.28M,15.28M,,,,1.699M,,,,,5.64M,38.29M,-78.81M,,-78.81M,,-0.177M,0.001M,-78.98M,-35.99M,,-35.99M,,97.34M,,,,,,-18.50M,,,42.85M,2.39M,2.161M,,4.551M,,-157.00M,121.01M,,
2005-06,16.27M,,,-1.013M,,-1.013M,,,14.73M,14.73M,,,,2.087M,,,,,-15.07M,17.00M,-81.77M,,-81.77M,,1.007M,,-80.77M,78.96M,,78.96M,,1.415M,,,,,,-17.99M,,,62.38M,3.77M,-1.38M,,2.39M,,135.00M,-56.04M,,
2005-03,14.99M,,,,,,,,14.39M,14.39M,,,,0.702M,,,,,1.291M,31.37M,-123.96M,,-123.96M,,-0.60M,,-124.56M,20.53M,,20.53M,,90.23M,,,,,,-16.96M,,,93.80M,3.158M,0.612M,,3.77M,,112.58M,-92.05M,,
2004-12,15.50M,,,,,0.00,,,12.48M,12.48M,,,,0.575M,,,,,-17.31M,11.24M,-226.72M,,-226.72M,,3.983M,-5.183M,-227.92M,230.66M,,230.66M,,-84.57M,,,124.01M,,,-17.01M,,,214.51M,5.33M,-2.172M,,3.158M,,232.40M,-1.736M,,
2004-09,15.46M,,,,,0.00,,,11.11M,11.11M,,,,0.316M,,,,,-5.328M,21.56M,-118.27M,,-118.27M,,-0.592M,0.00,-118.86M,150.35M,,150.35M,,87.63M,,,-124.21M,,,-14.17M,,,99.60M,3.03M,2.30M,,5.33M,,87.00M,63.35M,,
2004-06,13.89M,,,,,0.00,,,10.64M,10.64M,,,,0.777M,,,,,-9.875M,15.43M,-81.49M,,-81.49M,,-2.02M,0.00,-83.51M,-43.91M,,-43.91M,,0.31M,,,124.21M,,,-13.85M,,,66.76M,4.356M,-1.326M,,3.03M,,0.00,-43.91M,,
2004-03,15.34M,,,,,-1.627M,,,10.51M,10.51M,,,,0.802M,,,,,-5.507M,19.52M,-24.47M,,-24.47M,,-1.371M,5.454M,-20.39M,9.922M,,9.922M,,3.722M,,,,,,-13.40M,,,0.243M,4.985M,-0.629M,,4.356M,,38.00M,-28.08M,,
2003-12,13.35M,,,,,0.036M,,,10.46M,10.46M,,,,0.76M,,,,,-5.165M,19.44M,-69.12M,,-69.12M,,5.348M,2.032M,-61.74M,53.72M,,53.72M,,3.294M,,,,,,-12.95M,,-0.001M,44.06M,3.225M,1.76M,,4.985M,,51.00M,2.722M,,
2003-09,21.59M,,,,,-8.322M,,,10.27M,10.27M,,,,5.529M,,,,,-13.60M,15.47M,-23.05M,,-23.05M,,-5.348M,31.60M,3.198M,-7.915M,,-7.915M,,0.828M,,,,,,-12.36M,,0.001M,-19.44M,3.998M,-0.773M,,3.225M,,-2.00M,-5.915M,,
2003-06,12.55M,,,,,-0.455M,,,10.19M,10.19M,,,,-4.51M,,,,,4.526M,22.30M,-23.45M,,-23.45M,,,-2.824M,-26.27M,15.49M,,15.49M,,1.099M,,,,,,-12.30M,,,4.294M,3.674M,0.324M,,3.998M,,16.67M,-1.175M,,
2003-03,12.15M,,,,,0.455M,,,9.825M,9.825M,,,,0.955M,,,,,-5.748M,17.64M,-59.70M,,-59.70M,,,4.705M,-55.00M,48.24M,,48.24M,,0.72M,,,,,,-11.72M,,,37.25M,3.79M,-0.116M,,3.674M,,50.00M,-1.757M,,
2002-12,9.454M,,,,,,,,9.027M,9.027M,,,,4.61M,,,,,5.363M,28.45M,-87.29M,,-87.29M,,12.03M,-14.37M,-89.63M,78.99M,-6.00M,72.99M,,0.087M,,,0.00,,,-11.71M,,,61.37M,3.593M,0.197M,,3.79M,,16.00M,62.99M,,
2002-09,10.76M,,,,,,,,8.956M,8.956M,,,,1.809M,,,,,-9.884M,11.64M,-35.95M,,-35.95M,,-3.133M,,-39.08M,-31.89M,-5.00M,-36.89M,,81.70M,,,55.13M,,,-10.71M,,-61.13M,28.10M,2.942M,0.651M,,3.593M,,41.75M,-73.64M,,
2002-06,10.22M,,,,,,,,9.26M,9.26M,,,,0.977M,,,,,-4.731M,15.73M,-69.13M,,-69.13M,,-8.898M,4.246M,-73.79M,47.94M,11.00M,58.94M,,1.591M,,,-55.13M,,,-10.54M,,61.13M,55.99M,5.012M,-2.07M,,2.942M,,-6.00M,53.94M,,
2002-03,9.603M,,,,,,,,8.847M,8.847M,,,,0.952M,,,,,-8.168M,11.23M,-21.10M,,-21.10M,,,-4.246M,-25.34M,-47.81M,,-47.81M,,17.86M,,,55.13M,,,-8.44M,,,16.74M,2.376M,2.636M,,5.012M,,8.913M,-56.72M,,
2001-12,8.196M,,,,,,,,8.455M,8.455M,,,,0.944M,,,,,9.826M,27.42M,86.13M,,86.13M,,6.902M,-134.79M,-41.76M,3.802M,,3.802M,,18.61M,,,,,,-8.413M,,,14.00M,2.72M,-0.344M,,2.376M,,12.60M,-8.803M,,
2001-09,7.451M,,,,,,,,8.412M,8.412M,,,,0.318M,,,,,-2.578M,13.60M,-60.72M,,-60.72M,,2.773M,,-57.94M,111.23M,-43.00M,68.23M,,-16.44M,,,,,,-8.392M,,,43.40M,3.666M,-0.946M,,2.72M,,112.54M,-1.317M,,
2001-06,7.324M,,,,,,,,7.685M,7.685M,,,,0.942M,,,,,-14.10M,1.849M,-50.07M,,-50.07M,,-9.675M,3.94M,-55.80M,-1.978M,43.00M,41.02M,,19.15M,,,,,,-8.352M,,,51.82M,5.796M,-2.13M,,3.666M,,-1.327M,-0.651M,,
2001-03,7.306M,,,,,,,,6.958M,6.958M,,,,0.637M,,,,,2.566M,17.47M,-32.73M,,-32.73M,,,-3.94M,-36.67M,29.20M,,29.20M,,0.631M,,,,,,-7.606M,,,22.23M,2.776M,3.02M,,5.796M,,30.47M,-1.271M,,
2000-12,7.40M,,,,,,,,24.94M,24.94M,,,,-1.434M,,,,,-19.85M,11.06M,-17.82M,,-17.82M,,10.05M,-13.54M,-21.32M,19.72M,,19.72M,,0.133M,,,,,,-7.596M,,,12.26M,0.775M,2.001M,,2.776M,,-16.01M,35.74M,,
2000-09,6.531M,,,,,,,,,,,,,8.866M,,,,,,15.40M,-46.46M,,-46.46M,,-10.05M,,-56.51M,38.00M,-28.00M,10.00M,,38.26M,,,,,,-7.107M,,,41.16M,0.733M,0.042M,,0.775M,,39.13M,-1.132M,,
2000-06,6.341M,,,,,,,,-5.787M,-5.787M,,,,-6.022M,,,,,5.895M,0.427M,-37.87M,,-37.87M,,,4.252M,-33.62M,-7.032M,28.00M,20.97M,,17.84M,,,,,,-6.848M,,,31.96M,1.968M,-1.235M,,0.733M,,-6.498M,-0.534M,,
2000-03,5.737M,,,,,,,,5.787M,5.787M,,,,0.421M,,,,,-5.895M,6.05M,-16.78M,,-16.78M,,,-4.252M,-21.03M,20.34M,,20.34M,,,,,,,,-6.837M,,,13.50M,3.446M,-1.478M,,1.968M,,21.44M,-1.098M,,
1999-12,5.10M,,,,,,,,,,,,,-9.00M,,,,,,14.70M,-27.57M,,-27.57M,,2.567M,,-25.00M,18.10M,,18.10M,,37.00M,,,-36.90M,,,-6.90M,,,11.30M,2.50M,1.00M,,3.40M,,20.60M,-2.50M,,
1999-09,5.90M,,,,,,,,,,,,,0.50M,,,,,,6.40M,-55.03M,,-55.03M,,-2.567M,,-57.60M,10.60M,46.00M,56.60M,,0.50M,,,0.00,,,-6.20M,,-0.10M,50.80M,2.90M,-0.40M,,2.50M,,11.60M,-1.00M,,
1999-06,5.80M,,,,,,,,,,,,,1.40M,,,,,,7.20M,-14.30M,,-14.30M,,,,-14.30M,0.90M,-24.00M,-23.10M,,0.30M,,,36.90M,,,-5.50M,,-0.10M,8.50M,1.50M,1.40M,,2.90M,,1.40M,-0.50M,,
1999-03,5.30M,,,,,,,,,,,,,8.70M,,,,,,14.00M,-12.90M,,-12.90M,,,,-12.90M,-0.70M,-22.00M,-22.70M,,26.30M,,,,,,-5.00M,,0.20M,-1.20M,1.60M,-0.10M,,1.50M,,0.60M,-1.30M,,
1998-12,4.90M,,,,,,,,,,,,,-1.50M,,,,,,10.10M,-33.90M,,-33.90M,,,11.50M,-22.40M,18.20M,,18.20M,,-0.60M,,,,,,-5.10M,,,12.50M,1.20M,0.30M,,1.60M,,18.60M,-0.40M,,
1998-09,5.10M,,,,,,,,,,,,,0.30M,,,,,,5.40M,-42.40M,,-42.40M,,,-11.50M,-53.90M,188.50M,,188.50M,,0.50M,,,,,,-5.00M,,,47.70M,2.00M,-0.70M,,1.20M,,188.90M,-0.40M,,
1998-06,4.80M,,,,,,,,,,,,,-2.90M,,,,,,1.90M,-44.00M,,-44.00M,,,0.10M,-43.90M,-122.30M,,-122.30M,,33.20M,,,,,,-4.50M,,-0.10M,42.60M,1.50M,0.50M,,2.00M,,-122.10M,-0.20M,,
