,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2003-03,213.50M,8.870B,9.084B,,,18.19B,,27.28B,3.213B,171.00M,,171.00M,,38.59B,514.40M,47.54B,72.30B,,,4.707B,4.707B,,,,,,4.707B,5.529B,,5.529B,,,,670.20M,40.70B,5.115B,1.902B,52.02B,58.82B,185.80M,9.549B,1.114B,7.70M,,,11.58B
2002-12,,,,,,,,,3.125B,,177.80M,177.80M,,,,64.86B,70.52B,,,,,,,,,,,5.652B,,5.652B,,,,,,4.82B,1.895B,10.47B,57.39B,185.80M,9.405B,1.114B,7.70M,,,11.00B
2002-09,308.80M,10.51B,10.82B,,,18.42B,,29.23B,3.043B,,202.30M,202.30M,,41.00B,595.00M,50.49B,75.51B,,,4.765B,4.765B,,,,,,4.765B,5.915B,,5.915B,,,,1.212B,42.58B,5.002B,1.891B,54.71B,62.51B,191.50M,9.750B,1.116B,351.20M,,,11.11B
2002-06,182.10M,8.434B,8.616B,,,19.11B,,27.73B,3.000B,,262.80M,262.80M,,42.29B,724.00M,51.66B,77.58B,,,4.635B,4.635B,,,,,,4.635B,5.930B,,5.930B,,,,3.133B,43.02B,4.914B,1.875B,57.00B,64.95B,191.50M,9.595B,1.116B,310.10M,,,10.76B
2002-03,129.20M,6.768B,6.897B,,,19.95B,,26.84B,3.004B,,307.20M,307.20M,,39.63B,759.50M,49.17B,76.16B,,,5.143B,5.143B,,,,,,5.143B,5.924B,,5.924B,,,,1.171B,43.44B,4.960B,1.952B,55.49B,63.63B,191.50M,9.439B,1.116B,122.90M,,,10.58B
2001-12,,,,,,,,,3.075B,,318.60M,318.60M,,,,68.51B,74.73B,,,,,,,,,,,5.920B,,5.920B,,,,,,4.505B,1.949B,10.43B,63.61B,191.50M,8.995B,48.20M,,,,9.170B
2001-09,158.50M,8.514B,8.672B,,,19.02B,,27.69B,3.034B,,360.20M,360.20M,,39.81B,839.90M,49.40B,75.60B,,,4.529B,4.529B,,,,,,4.529B,5.443B,,5.443B,,,,1.430B,43.36B,4.766B,2.021B,55.00B,63.87B,197.20M,9.331B,49.30M,282.20M,,,9.71B
2001-06,165.40M,10.13B,10.30B,,,17.42B,,27.72B,3.010B,,349.80M,349.80M,,40.00B,850.00M,49.40B,74.39B,,,1.679B,1.679B,,,,,,1.679B,5.835B,,5.835B,,,,2.407B,41.91B,,1.972B,50.15B,62.73B,197.20M,9.194B,47.60M,,,,9.681B
2001-03,181.90M,10.86B,11.05B,,,16.21B,,27.26B,3.018B,,359.80M,359.80M,,40.76B,351.10M,50.46B,73.52B,,,1.511B,1.511B,,,,,,1.511B,5.887B,,5.887B,,,,3.037B,38.76B,,2.292B,47.68B,59.44B,197.20M,10.64B,47.60M,,,,11.79B
2000-12,,,,,,,,,3.206B,,378.70M,378.70M,,,,64.86B,71.59B,,,,,,,,,,,6.04B,,6.04B,,,,,,4.821B,2.208B,10.86B,58.41B,0.00,10.19B,144.20M,,,,10.97B
2000-09,216.30M,11.04B,11.26B,,,15.40B,,26.66B,3.200B,,397.00M,397.00M,,42.19B,743.20M,50.00B,73.45B,,,2.571B,2.571B,,,,,,2.571B,6.026B,,6.026B,,,,1.839B,39.25B,,2.239B,47.11B,60.63B,,,,,,,10.58B
2000-06,236.30M,11.03B,11.27B,,,15.27B,,26.54B,3.156B,,405.20M,405.20M,,38.63B,866.60M,47.84B,71.23B,,,1.34B,1.34B,,,,,,1.34B,6.024B,,6.024B,,,,1.949B,39.41B,,2.163B,47.38B,59.10B,104.50M,9.350B,150.70M,305.70M,,,9.964B
2000-03,222.00M,9.758B,9.980B,,,14.85B,,24.83B,3.15B,,414.20M,414.20M,,40.25B,770.30M,49.28B,72.43B,,,1.217B,1.217B,,,,,,1.217B,5.724B,,5.724B,,,,3.103B,,,2.269B,8.828B,60.31B,,8.854B,,,,,9.852B
1999-12,183.90M,7.318B,7.502B,,,13.54B,,21.04B,2.953B,,409.50M,409.50M,,39.27B,773.90M,47.93B,69.46B,,,516.60M,516.60M,,,,,,516.60M,5.706B,,5.706B,,,,1.647B,39.27B,5.103B,2.350B,51.73B,57.14B,104.50M,8.706B,150.70M,,,1.017B,9.978B
1999-09,,,,,,,,,3.084B,,457.50M,457.50M,,,,65.39B,72.61B,,,,,,,,,,,5.699B,,5.699B,,,,,,,2.430B,5.699B,60.28B,,9.492B,,,,,9.906B
1999-06,,,,,,,,,2.992B,,462.60M,462.60M,,,,66.16B,73.75B,,,,,,,,,,,5.843B,,5.843B,,,,,40.39B,,2.531B,46.23B,60.89B,,9.278B,,,,,10.33B
1999-03,,,,,,,,,2.942B,,482.10M,482.10M,,,,65.76B,73.30B,,,,,,,,,,,5.943B,,5.943B,,,,,41.11B,,2.607B,47.05B,60.07B,,9.051B,,,,,10.63B
1998-12,287.40M,7.792B,8.080B,,,13.09B,,21.17B,2.848B,,489.40M,489.40M,,41.58B,872.60M,49.11B,70.98B,,,1.161B,1.161B,,,,,,1.161B,5.967B,,5.967B,,,,579.50M,40.40B,5.039B,2.477B,51.99B,58.30B,112.60M,9.034B,162.30M,,,892.80M,10.20B
1998-09,,,,,,,,,2.670B,,720.20M,720.20M,,,,63.26B,71.00B,,,,,,,,,,,5.701B,,5.701B,,,,,40.48B,,2.503B,46.18B,57.99B,,9.447B,,,,,10.51B
1998-06,,,,,,,,,2.62B,,756.70M,756.70M,,,,63.38B,71.35B,,,,,,,,,,,5.696B,,5.696B,,,,,40.62B,,2.553B,46.32B,58.99B,,8.946B,,,,,9.803B
