,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,DeferredTaxes,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2002-09,228.70M,400.20M,400.20M,,-228.60M,31.50M,-325.80M,543.30M,-295.70M,290.70M,,206.00M,,606.30M,-136.00M,102.20M,-33.80M,,66.64B,-5.188B,61.42B,-19.90M,,-19.90M,0.00,-774.60M,-774.60M,,64.90M,587.60M,-142.00M,182.10M,126.70M,,308.80M,,0.00,65.00M,-84.90M,-774.60M
2002-06,201.90M,-110.00M,-110.00M,,-328.30M,846.10M,,-237.50M,846.10M,-237.50M,,1.164B,,927.80M,-89.60M,,-89.60M,,-2.364B,1.854B,-599.30M,-0.30M,,-0.30M,-0.80M,-204.70M,-205.50M,,-58.60M,-11.20M,-275.60M,129.20M,52.90M,,182.10M,,-0.80M,,-0.30M,-204.70M
2002-03,252.90M,-290.20M,-290.20M,,314.40M,-189.80M,,3.20M,-189.80M,3.20M,,-411.90M,,-134.80M,-100.20M,,-100.20M,,-331.70M,-393.10M,-825.00M,-0.20M,,-0.20M,1.071B,-121.40M,949.50M,,-36.40M,-5.20M,907.70M,181.30M,-52.10M,,129.20M,,1.071B,,-0.20M,-121.40M
2001-12,190.10M,312.50M,312.50M,,-9.013B,-1.195B,,5.412B,-1.195B,5.412B,,8.472B,,97.90M,-155.10M,,-155.10M,,-207.80M,-123.40M,-486.30M,473.00M,,473.00M,-0.60M,-16.10M,-16.70M,,-29.60M,-15.40M,411.30M,158.50M,22.90M,,180.80M,,-0.60M,551.00M,-78.00M,-16.10M
2001-09,165.70M,-173.50M,-173.50M,,8.754B,-1.043B,,-3.008B,-1.043B,-3.008B,,-8.105B,,641.20M,-117.50M,,-117.50M,,1.146B,-973.20M,55.50M,-397.90M,,-397.90M,49.80M,-303.90M,-254.10M,,-40.40M,-11.20M,-703.60M,165.40M,-6.90M,,158.50M,,49.80M,-0.30M,-397.60M,-303.90M
2001-06,-1.415B,13.30M,13.30M,,-3.365B,-1.047B,,3.383B,-1.047B,3.383B,,4.646B,,-120.70M,-127.60M,,-127.60M,,1.092B,-743.00M,221.60M,-59.20M,,-59.20M,0.40M,,0.40M,,-41.50M,-17.10M,-117.40M,181.90M,-16.50M,,165.40M,,0.40M,449.40M,-508.60M,
2001-03,472.30M,160.20M,160.20M,,-113.80M,-513.90M,,227.70M,-513.90M,227.70M,,-598.10M,,-79.40M,-102.30M,,-102.30M,,-1.099B,1.475B,273.20M,-154.00M,,-154.00M,,,,,-32.50M,-20.60M,-207.10M,195.20M,-13.30M,,181.90M,,,,-154.00M,
2000-12,474.80M,-157.50M,-157.50M,,-685.30M,46.40M,,-467.70M,46.40M,-467.70M,,-819.70M,,-686.30M,-120.20M,,-120.20M,,1.880B,-949.00M,811.10M,-2.10M,,-2.10M,,-87.60M,-87.60M,,-32.60M,-23.60M,-145.90M,216.30M,-21.10M,,195.20M,,,50.60M,-52.70M,-87.60M
2000-09,679.60M,60.50M,60.50M,,116.40M,37.80M,,-221.70M,37.80M,-221.70M,,-388.90M,,467.60M,-131.30M,,-131.30M,,-189.70M,-89.60M,-410.60M,-1.80M,,-1.80M,,-152.00M,-152.00M,,-32.90M,109.70M,-77.00M,236.30M,-20.00M,,216.30M,,,0.70M,-2.50M,-152.00M
2000-06,510.60M,68.70M,68.70M,,95.70M,-632.20M,,256.50M,-632.20M,256.50M,,-768.90M,,-93.90M,-81.80M,,-81.80M,,-829.10M,875.30M,-35.60M,297.10M,,297.10M,,-17.00M,-17.00M,,-32.60M,-103.70M,143.80M,222.00M,14.30M,,236.30M,,,400.60M,-103.50M,-17.00M
2000-03,183.60M,-129.20M,-129.20M,,522.70M,-1.096B,,803.00M,-1.096B,803.00M,,-703.30M,,-126.20M,-333.90M,,-333.90M,,1.536B,-577.40M,624.70M,17.10M,,17.10M,,-327.00M,-327.00M,,-35.10M,-115.40M,-460.40M,183.90M,38.10M,,222.00M,,,25.00M,-7.90M,-327.00M
1999-12,-365.70M,-759.00M,-759.00M,,-2.620B,714.70M,,202.00M,-630.30M,202.00M,,111.70M,,-3.084B,-216.30M,,-216.30M,,3.762B,-432.70M,3.113B,15.30M,,15.30M,,-166.20M,-166.20M,,-36.40M,-20.40M,-207.70M,362.90M,-179.00M,,183.90M,,,19.00M,-3.70M,-166.20M
1999-09,271.30M,-379.70M,-379.70M,,796.40M,-567.40M,,109.20M,-567.40M,109.20M,,-978.20M,,-290.20M,-152.20M,,-152.20M,,919.00M,-84.90M,681.90M,-145.00M,,-145.00M,,-125.80M,-125.80M,,-38.00M,-14.90M,-323.70M,294.90M,68.00M,,362.90M,,,10.80M,-155.80M,-125.80M
1999-06,254.30M,565.40M,565.40M,,812.70M,149.80M,,-491.30M,149.80M,-491.30M,,-770.20M,,862.20M,-129.80M,,-129.80M,,-2.104B,1.559B,-674.70M,-98.90M,,-98.90M,,-126.00M,-126.00M,,-46.60M,-22.00M,-293.50M,400.90M,-106.00M,,294.90M,,,3.50M,-102.40M,-126.00M
1999-03,203.30M,-185.70M,-185.70M,,-567.50M,-284.00M,,814.80M,-284.00M,814.80M,,993.60M,,443.70M,-209.90M,,-209.90M,,-674.40M,803.80M,-80.50M,-24.40M,,-24.40M,,-183.60M,-183.60M,,-28.00M,-13.70M,-249.70M,287.40M,113.50M,,400.90M,,,191.80M,-216.20M,-183.60M
1998-12,-315.80M,673.40M,673.40M,,779.10M,-89.00M,,-612.70M,71.90M,-612.70M,,-1.707B,,-81.50M,-298.80M,,-298.80M,,-1.901B,2.308B,108.40M,266.10M,,266.10M,,-299.00M,-299.00M,,-38.40M,150.80M,79.50M,181.00M,106.40M,,287.40M,,,62.10M,204.00M,-299.00M
1998-09,617.10M,149.10M,149.10M,,-1.12B,873.50M,,-449.30M,873.50M,-449.30M,,868.80M,,515.00M,-133.40M,,-133.40M,,706.10M,-792.30M,-219.60M,4.00M,,4.00M,,-110.10M,-110.10M,,-39.10M,-155.50M,-300.70M,,-5.30M,,181.00M,,,6.60M,-2.60M,-110.10M
1998-06,247.20M,-406.80M,-406.80M,,594.30M,-954.10M,,597.00M,-954.10M,597.00M,,-802.50M,,-367.80M,-112.30M,,-112.30M,,852.50M,-376.90M,363.30M,-54.30M,,-54.30M,,,,,-49.00M,-4.70M,-108.00M,,-112.50M,,,,,707.40M,-761.70M,
