,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2000-09,1.846B,1.846B,801.60M,1.044B,661.90M,0.20M,,,736.00M,308.10M,,,0.20M,,271.90M,90.00M,181.90M,,,181.90M,181.77M,382.20M,74.10M,308.10M,0.45,0.0,,,0.4497,0.45,0.45,0.0,,,0.4497,0.45,405.60M,405.60M,0.2475
2000-06,1.801B,1.801B,775.20M,1.026B,671.70M,-12.90M,,,746.00M,279.90M,,,-12.90M,,232.80M,81.90M,150.90M,,,150.90M,159.26M,354.20M,74.30M,279.90M,0.37,0.0,,,0.3906,0.37,0.37,0.0,,,0.3906,0.37,405.60M,405.60M,0.245
2000-03,1.752B,1.752B,768.00M,983.90M,629.80M,-0.80M,,,698.70M,285.20M,,,-0.80M,,252.60M,90.90M,161.70M,,,161.70M,162.21M,354.10M,68.90M,285.20M,0.4,0.0,,,0.4013,0.4,0.4,0.0,,,0.4013,0.4,405.50M,405.50M,0.245
1999-12,1.586B,1.586B,693.90M,892.20M,573.70M,-59.60M,,,646.50M,245.70M,,,-59.60M,,154.80M,53.90M,100.90M,,,100.90M,139.75M,318.50M,72.80M,245.70M,0.24,0.0,,,0.3318,0.24,0.24,0.0,,,0.3318,0.24,423.24M,423.24M,0.245
1999-09,1.868B,1.868B,809.10M,1.059B,687.80M,-315.30M,,,762.40M,296.90M,,,-315.30M,,-47.90M,-12.30M,-35.60M,,,-35.60M,198.74M,371.50M,74.60M,296.90M,-0.08,0.0,,,0.4466,-0.08,-0.08,0.0,,,0.4466,-0.08,445.00M,445.00M,0.245
1999-06,1.784B,1.784B,765.70M,1.019B,674.80M,-3.50M,,,747.40M,271.30M,,,-3.50M,,238.80M,84.60M,154.20M,,,154.20M,156.46M,343.90M,72.60M,271.30M,0.38,0.0,,,0.3856,0.38,0.38,0.0,,,0.3856,0.38,405.79M,405.79M,0.235
1999-03,1.745B,1.745B,768.40M,976.90M,649.40M,-39.50M,,,717.40M,259.50M,,,-39.50M,,191.00M,72.20M,118.80M,,,118.80M,143.37M,327.50M,68.00M,259.50M,0.29,0.0,,,0.35,0.29,0.29,0.0,,,0.35,0.29,409.66M,409.66M,0.235
1998-12,1.600B,1.600B,739.00M,860.90M,611.30M,-68.40M,,,684.60M,176.30M,,,-68.40M,,77.00M,30.20M,46.80M,,,46.80M,88.37M,249.60M,73.30M,176.30M,0.11,,,,0.2105,0.11,0.11,,,,0.2105,0.11,413.58M,413.58M,0.235
1998-09,1.806B,1.806B,799.40M,1.006B,691.00M,-0.10M,,,760.50M,245.90M,,,-0.10M,,215.30M,73.40M,141.90M,,,141.90M,141.97M,315.40M,69.50M,245.90M,0.35,0.0,,,0.3502,0.35,0.35,0.0,,,0.3502,0.35,405.43M,405.43M,0.235
1998-06,1.714B,1.714B,751.60M,961.90M,649.30M,4.50M,,,717.30M,244.60M,,,4.50M,,220.10M,76.90M,143.20M,,,143.20M,140.27M,312.60M,68.00M,244.60M,0.35,0.0,,,0.3428,0.35,0.35,0.0,,,0.3428,0.35,409.14M,409.14M,0.225
