,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,PrepaidExpenses,TotalCurrentAssets,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,NetLoanAssets,LongTermInvestments,LongTermDeferredTaxAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,SecuritySoldNotYetRepurchased,UnpaidLossReserve,UnearnedPremiumonInsuranceContract,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,UnrealizedGainorLoss-Total,MinimumPensionLiabilities,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2003-12,352.00M,2.138B,2.49B,4.09B,3.121B,7.211B,,9.701B,,2.412B,422.00M,2.834B,211.00M,35.92B,678.00M,40.67B,64.87B,403.00M,,3.121B,3.524B,,3.524B,,,,,,3.524B,2.675B,2.675B,,,711.00M,34.57B,7.111B,,,45.07B,52.88B,0.00,2.29B,8.715B,74.00M,,,,,,1.086B,11.99B
2003-09,253.00M,2.409B,2.662B,2.574B,231.00M,3.064B,,5.726B,349.00M,906.00M,140.00M,1.046B,982.00M,2.743B,1.159B,7.247B,40.36B,894.00M,,,894.00M,993.00M,1.887B,,,,,,1.887B,3.573B,3.573B,,,,20.90B,4.223B,,0.00,28.70B,34.10B,76.00M,2.882B,2.646B,,76.00M,687.00M,,-23.00M,,664.00M,6.268B
2003-06,177.00M,1.895B,2.072B,2.784B,214.00M,3.24B,,5.312B,363.00M,894.00M,148.00M,1.042B,857.00M,2.247B,1.179B,6.847B,40.54B,1.02B,,,1.02B,1.033B,2.053B,,,,,,2.053B,2.535B,2.535B,,,,21.32B,4.177B,,890.00M,28.92B,34.26B,68.00M,2.734B,2.635B,,68.00M,848.00M,,-10.00M,,838.00M,6.275B
2003-03,280.00M,1.609B,1.889B,2.725B,182.00M,3.155B,,5.044B,438.00M,,,1.022B,794.00M,1.993B,1.332B,6.476B,40.03B,982.00M,,,982.00M,945.00M,1.927B,,,,,,1.927B,2.664B,2.664B,,,,21.34B,4.114B,,889.00M,29.01B,34.13B,70.00M,2.577B,2.624B,,70.00M,679.00M,,-50.00M,,629.00M,5.90B
2002-12,315.00M,2.152B,2.467B,2.711B,218.00M,3.176B,,5.643B,459.00M,874.00M,139.00M,1.013B,806.00M,2.546B,1.267B,6.175B,39.96B,1.01B,,,1.01B,963.00M,1.973B,,,,,,1.973B,2.713B,2.713B,,,,22.63B,3.802B,,889.00M,30.03B,34.21B,65.00M,2.473B,2.606B,,65.00M,670.00M,0.0,-68.00M,,602.00M,5.746B
2002-09,429.00M,2.838B,3.267B,2.828B,254.00M,3.343B,,6.61B,471.00M,818.00M,139.00M,957.00M,729.00M,3.208B,1.286B,6.818B,39.94B,891.00M,,,891.00M,1.22B,2.111B,,,,,,2.111B,2.586B,2.586B,,,,22.62B,4.022B,,889.00M,30.11B,34.42B,67.00M,2.301B,2.592B,,67.00M,627.00M,,-73.00M,,554.00M,5.514B
2002-06,166.00M,1.758B,1.924B,3.085B,198.00M,3.539B,,5.463B,479.00M,691.00M,115.00M,806.00M,644.00M,2.314B,1.303B,5.757B,38.22B,948.00M,,,948.00M,787.00M,1.735B,,,,,,1.735B,2.122B,2.122B,,,,22.52B,4.105B,,889.00M,29.63B,33.24B,60.00M,2.304B,2.221B,,60.00M,463.00M,,-65.00M,,398.00M,4.983B
2002-03,185.00M,1.638B,1.823B,3.252B,239.00M,3.761B,,5.584B,485.00M,,,783.00M,741.00M,3.003B,1.276B,6.379B,38.58B,948.00M,,,948.00M,940.00M,1.888B,,,,,,1.888B,2.26B,2.26B,,,,22.08B,4.216B,,893.00M,29.44B,33.47B,61.00M,2.59B,2.207B,,61.00M,322.00M,,-72.00M,,250.00M,5.108B
2001-12,151.00M,2.153B,2.304B,3.123B,247.00M,3.63B,,5.934B,486.00M,,,690.00M,775.00M,3.563B,1.248B,6.958B,38.32B,943.00M,,,943.00M,1.036B,1.979B,,,,,,1.979B,2.13B,2.13B,,,,22.10B,3.957B,,893.00M,29.08B,33.21B,58.00M,2.50B,2.192B,,58.00M,440.00M,,-76.00M,,364.00M,5.114B
2001-09,168.00M,2.438B,2.606B,3.236B,475.00M,3.711B,,6.317B,488.00M,585.00M,,585.00M,997.00M,17.74B,1.136B,30.91B,37.65B,1.862B,58.00M,,1.92B,,1.92B,,,,,,1.92B,2.145B,2.145B,,,,24.88B,4.01B,318.00M,,31.04B,31.32B,2.23B,3.285B,,,60.00M,,,-69.00M,565.00M,496.00M,6.011B
2001-06,94.00M,850.00M,944.00M,2.983B,573.00M,3.556B,,4.50B,486.00M,519.00M,,519.00M,999.00M,16.94B,986.00M,29.20B,35.48B,1.879B,127.00M,,2.006B,,2.006B,,,,,,2.006B,1.796B,1.796B,,,,22.32B,3.908B,337.00M,,28.02B,28.27B,2.267B,4.143B,,,56.00M,,,,,459.00M,6.869B
2001-03,53.00M,923.00M,976.00M,2.921B,505.00M,3.426B,,4.402B,492.00M,523.00M,,523.00M,999.00M,17.07B,948.00M,29.33B,35.55B,1.803B,172.00M,,1.975B,,1.975B,,,,,,1.975B,1.823B,1.823B,,,,22.04B,3.804B,337.00M,337.00M,28.00B,28.09B,2.277B,4.245B,,,58.00M,,,-49.00M,650.00M,601.00M,7.123B
2000-12,52.00M,2.331B,2.383B,2.937B,181.00M,3.395B,,5.778B,492.00M,,,510.00M,1.207B,3.797B,930.00M,7.712B,35.50B,1.06B,170.00M,,1.23B,1.031B,2.261B,,,,,,2.261B,1.647B,1.647B,,,,18.20B,3.648B,,337.00M,23.83B,28.28B,49.00M,4.243B,2.238B,,49.00M,765.00M,,-68.00M,,697.00M,7.227B
2000-09,81.00M,1.141B,1.222B,5.633B,-2.027B,3.606B,,4.828B,515.00M,510.00M,,510.00M,,21.49B,1.178B,34.22B,41.66B,2.145B,399.00M,,2.544B,,2.544B,,,,,,2.544B,1.636B,1.636B,,,,27.45B,3.567B,337.00M,,32.65B,34.27B,2.261B,4.119B,,,50.00M,,,,,667.00M,7.047B
2000-06,84.00M,1.193B,1.277B,5.379B,-1.999B,3.38B,,4.657B,511.00M,505.00M,,505.00M,,21.48B,1.236B,33.91B,41.14B,1.877B,381.00M,,2.258B,,2.258B,,,,,,2.258B,1.593B,1.593B,,,,27.40B,3.385B,544.00M,,32.38B,33.87B,2.033B,4.077B,,,48.00M,,,,,618.00M,6.728B
2000-03,84.00M,1.168B,1.252B,2.326B,662.00M,2.988B,,4.24B,508.00M,519.00M,,519.00M,,21.16B,1.162B,32.82B,39.25B,1.695B,457.00M,,2.152B,,2.152B,,,,,,2.152B,1.517B,1.517B,,,,25.92B,3.154B,425.00M,,30.59B,32.22B,2.02B,3.923B,,,50.00M,,,,,670.00M,6.613B
1999-12,165.00M,1.373B,1.538B,2.334B,588.00M,2.922B,,4.46B,507.00M,509.00M,,509.00M,,22.32B,1.271B,33.56B,38.87B,1.81B,319.00M,,2.129B,,2.129B,,,,,,2.129B,1.466B,1.466B,,,,25.94B,3.118B,425.00M,425.00M,30.95B,31.98B,2.103B,3.827B,,,24.00M,,,,,542.00M,6.472B
1999-09,,,,2.289B,,2.289B,,2.289B,521.00M,,513.00M,513.00M,,,,35.98B,39.20B,,,,,,,,,,,,,1.316B,1.316B,,,,18.12B,3.222B,477.00M,,22.66B,32.30B,,3.809B,,,,,,,,,6.423B
1999-06,,,,2.435B,,2.435B,,2.435B,531.00M,,574.00M,574.00M,,,,35.89B,39.33B,,,,,,,,,,,,,1.506B,1.506B,,,,18.49B,3.342B,503.00M,,23.33B,32.54B,,3.541B,,,,,,,,,6.288B
1999-03,,,,2.102B,,2.102B,,2.102B,524.00M,,581.00M,581.00M,,,,36.22B,39.22B,,,,,,,,,,,,,1.524B,1.524B,,,,18.60B,3.151B,503.00M,,23.27B,32.30B,,3.422B,,,,,,,,,6.424B
1998-12,119.84M,982.49M,1.102B,2.152B,478.31M,2.630B,,3.733B,518.50M,592.06M,,592.06M,,21.93B,1.193B,32.13B,38.32B,2.898B,221.27M,,3.119B,,3.119B,,,,,,3.119B,1.260B,1.260B,,,,25.87B,3.266B,502.70M,502.70M,30.89B,31.18B,2.143B,3.480B,,,15.58M,,,,,1.013B,6.636B
1998-09,,,,2.25B,,2.25B,,2.25B,1.452B,,602.10M,602.10M,674.10M,,,34.38B,37.50B,,,,,,,,,,,,,1.098B,1.098B,,,,18.65B,3.412B,502.70M,,23.16B,30.39B,,3.513B,,,,,,,,,6.609B
1998-06,,,,2.276B,,2.276B,,2.276B,532.90M,,599.40M,599.40M,,,,34.33B,37.45B,,,,,,,,,,,,,1.076B,1.076B,,,,18.65B,3.392B,502.70M,,23.11B,30.46B,,3.509B,,,,,,,,,6.489B
