,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare,,AsOriginallyReported,Restated
2010-12,2.126B,2.126B,1.135B,991.12M,715.85M,-210.68M,16.19M,0.736M,-15.45M,,715.85M,275.27M,0.736M,16.19M,-15.45M,-205.93M,-15.45M,53.89M,-1.421M,55.31M,,,-1.085M,,54.22M,191.17M,120.09M,50.02M,70.08M,,0.1275,,,0.4452,0.1275,,0.125,,,0.4367,0.125,,431.11M,439.34M,0.1575,,AOR,Restated
2010-09,2.232B,2.232B,1.195B,1.037B,682.44M,0.599M,20.56M,0.61M,-19.95M,,682.44M,354.54M,0.61M,20.56M,-19.95M,0.599M,-19.95M,335.20M,91.94M,243.25M,,,-0.467M,,242.79M,242.35M,399.20M,43.45M,355.75M,,0.5625,0.00,,0.5615,0.5625,,0.555,0.00,,0.5540,0.555,,431.52M,436.76M,0.15,,AOR,
2010-06,1.594B,1.594B,842.50M,751.60M,582.08M,1.923M,20.49M,0.496M,-20.00M,,582.08M,169.52M,0.496M,20.49M,-20.00M,1.923M,-20.00M,151.45M,39.96M,111.49M,,,-0.655M,,110.84M,109.42M,210.81M,38.86M,171.94M,,0.255,0.00,,0.2518,0.255,,0.25,0.00,,0.2468,0.25,,435.83M,441.92M,0.15,,AOR,Restated
2010-03,1.750B,1.750B,932.20M,817.68M,594.42M,6.423M,20.50M,0.494M,-20.00M,,594.42M,223.26M,0.494M,20.50M,-20.00M,6.423M,-20.00M,209.68M,46.22M,163.46M,,,0.057M,,163.52M,158.51M,271.25M,41.07M,230.18M,,0.37,0.00,,0.3586,0.37,,0.365,0.00,,0.3538,0.365,,441.04M,446.52M,0.15,,AOR,Restated
2009-12,1.915B,1.915B,1.029B,886.42M,626.73M,-123.57M,20.74M,0.48M,-20.26M,,626.73M,259.69M,0.48M,20.74M,-20.26M,-123.57M,-20.26M,115.86M,50.87M,64.98M,,,1.90M,,66.88M,147.21M,186.14M,49.54M,136.60M,,0.1525,0.00,,0.3343,0.1525,,0.1475,0.00,,0.3268,0.1475,,441.76M,448.03M,0.15,,AOR,Restated
2009-09,2.094B,2.094B,1.166B,927.96M,610.07M,0.505M,21.32M,0.42M,-20.90M,,610.07M,317.89M,0.42M,21.32M,-20.90M,0.505M,-20.90M,297.49M,79.43M,218.06M,,,-0.141M,,217.92M,217.55M,360.85M,42.03M,318.82M,,0.4925,0.00,,0.4917,0.4925,,0.485,0.00,,0.4842,0.485,,443.52M,448.58M,0.1475,,AOR,Restated
2009-06,1.486B,1.486B,833.69M,651.94M,532.21M,1.394M,21.82M,0.565M,-21.25M,,532.21M,119.74M,0.565M,21.82M,-21.25M,1.394M,-21.25M,99.88M,24.90M,74.98M,,,0.549M,,75.53M,74.48M,166.13M,44.44M,121.70M,,0.1725,0.00,,0.1701,0.1725,,0.17,0.00,,0.1676,0.17,,440.97M,444.96M,0.1475,,AOR,Restated
2009-03,1.725B,1.725B,996.64M,728.83M,567.39M,1.249M,22.02M,0.765M,-21.25M,,567.39M,161.45M,0.765M,22.02M,-21.25M,1.249M,-21.25M,141.45M,41.01M,100.43M,,,0.505M,,100.94M,100.05M,197.91M,34.45M,163.46M,,0.23,0.00,,0.2280,0.23,,0.2275,0.00,,0.2255,0.2275,,439.97M,444.11M,0.1475,,AOR,Restated
2008-12,1.912B,1.912B,1.099B,812.94M,633.14M,-4.107M,24.53M,1.419M,-23.12M,,633.14M,179.80M,1.419M,24.53M,-23.12M,-4.107M,-23.12M,152.58M,36.75M,115.83M,,,0.031M,,115.86M,118.98M,226.16M,49.05M,177.12M,,0.265,0.00,,0.2721,0.265,,0.2625,0.00,,0.2695,0.2625,,439.00M,443.53M,0.1475,,,Restated
2008-09,2.207B,2.207B,1.228B,979.05M,627.84M,-1.677M,24.31M,1.435M,-22.88M,,627.84M,351.21M,1.435M,24.31M,-22.88M,-1.677M,-22.88M,326.66M,92.61M,234.05M,,,-0.176M,,233.88M,235.08M,390.19M,39.22M,350.97M,,0.535,0.00,,0.5378,0.535,,0.525,0.00,,0.5277,0.525,,436.42M,445.03M,0.145,,,Restated
