,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2008-03,265.00M,,,,112.00M,,112.00M,112.00M,-38.00M,94.00M,3.00M,,,-32.00M,61.00M,28.00M,-107.00M,85.00M,,,-47.00M,20.00M,,424.00M,,-353.00M,,-315.00M,-37.00M,,-32.00M,-78.00M,-462.00M,,308.00M,-50.00M,258.00M,4.00M,-38.00M,-34.00M,,,-113.00M,-113.00M,-3.00M,108.00M,,430.00M,70.00M,-2.00M,495.00M,,4.00M,399.00M,-141.00M,-38.00M,,,,,
2007-12,418.00M,,,-423.00M,,,,546.00M,137.00M,,,,,-212.00M,-121.00M,2.00M,,177.00M,,,-192.00M,-134.00M,,332.00M,,-542.00M,-86.00M,-628.00M,,660.00M,202.00M,-51.00M,183.00M,,,,-271.00M,7.00M,-147.00M,-140.00M,,,,-116.00M,0.00,-527.00M,,439.00M,-12.00M,3.00M,430.00M,,7.00M,,,-147.00M,,,,,
2007-09,322.00M,,,77.00M,,,,-100.00M,-57.00M,,,,,221.00M,-11.00M,5.00M,,28.00M,76.00M,,59.00M,157.00M,,620.00M,,-451.00M,86.00M,-365.00M,,58.00M,48.00M,4.00M,-255.00M,,,,103.00M,3.00M,-488.00M,-485.00M,,,,-118.00M,-8.00M,-508.00M,,567.00M,-143.00M,1.00M,439.00M,,3.00M,,,-488.00M,,,,,
2007-06,345.00M,,,-87.00M,,,,213.00M,-6.00M,,,,,-14.00M,-6.00M,-40.00M,,-49.00M,59.00M,,-82.00M,-118.00M,,333.00M,,-351.00M,,-351.00M,,180.00M,4.00M,-76.00M,-243.00M,,,,-335.00M,17.00M,-77.00M,-60.00M,,,,-120.00M,3.00M,-512.00M,,965.00M,-422.00M,2.00M,567.00M,,17.00M,,,-77.00M,,,,,
2007-03,203.00M,,,-33.00M,,,,232.00M,-32.00M,,,,,87.00M,-48.00M,58.00M,,-29.00M,-135.00M,,-17.00M,-171.00M,,286.00M,,-341.00M,,-341.00M,,,5.00M,37.00M,-299.00M,,,,333.00M,5.00M,,5.00M,,,,-105.00M,-12.00M,221.00M,,758.00M,208.00M,-1.00M,965.00M,,5.00M,,,,,,,,
2006-12,295.00M,,,-110.00M,,,,530.00M,-48.00M,,,,,54.00M,-18.00M,-9.00M,,118.00M,,,49.00M,140.00M,,861.00M,,-810.00M,,-764.00M,,110.00M,-252.00M,-161.00M,-1.067B,,,,-207.00M,150.00M,,150.00M,,,,242.00M,-11.00M,174.00M,,496.00M,-32.00M,2.00M,794.00M,,150.00M,,,,,,,,
2006-09,109.00M,,,93.00M,,,,-145.00M,74.00M,,,,,-60.00M,9.00M,5.00M,,42.00M,,,75.00M,131.00M,,202.00M,,-106.00M,,-106.00M,,-115.00M,-43.00M,111.00M,-153.00M,,,,918.00M,-136.00M,,-136.00M,,,,-451.00M,-24.00M,307.00M,,468.00M,356.00M,0.00,496.00M,,-136.00M,,,,,,,,
2006-06,181.00M,,,9.00M,,,,185.00M,-3.00M,,,,,22.00M,77.00M,-7.00M,,-29.00M,95.00M,,-132.00M,4.00M,,398.00M,,-280.00M,,-280.00M,,115.00M,-75.00M,2.00M,-238.00M,,,,-173.00M,250.00M,,250.00M,,,,-105.00M,-3.00M,-31.00M,,338.00M,129.00M,1.00M,468.00M,,250.00M,,,,,,,,
2006-03,280.00M,,,-34.00M,,,,185.00M,-48.00M,,,,,-3.00M,-99.00M,-20.00M,,-15.00M,-95.00M,,146.00M,-83.00M,,297.00M,,-198.00M,,-198.00M,,,58.00M,-19.00M,-159.00M,,,,-261.00M,2.00M,,2.00M,,,,-95.00M,-1.00M,-355.00M,,555.00M,-217.00M,,338.00M,,2.00M,,,,,,,,
2005-12,185.00M,,,139.00M,,,,180.00M,-24.00M,,,,,-110.00M,-8.00M,-71.00M,,46.00M,,,-72.00M,-105.00M,,265.00M,,-273.00M,0.00,-273.00M,,,8.00M,-115.00M,-380.00M,,,,533.00M,1.00M,,1.00M,,,,-95.00M,-6.00M,433.00M,,235.00M,318.00M,2.00M,555.00M,,1.00M,,,,,,,,
2005-09,197.00M,,,-96.00M,,,,194.00M,-11.00M,,,,,83.00M,0.00,21.00M,,72.00M,,,12.00M,105.00M,,472.00M,,-179.00M,190.00M,11.00M,,-190.00M,-80.00M,60.00M,-199.00M,,,,-318.00M,3.00M,,3.00M,,,,-87.00M,-3.00M,-405.00M,,366.00M,-132.00M,1.00M,235.00M,,3.00M,,,,,,,,
2005-06,128.00M,,,125.00M,,,,173.00M,-9.00M,,,,,-46.00M,31.00M,12.00M,,24.00M,-42.00M,,-52.00M,-27.00M,,344.00M,,-190.00M,,-190.00M,,190.00M,-5.00M,-102.00M,-107.00M,,,,-540.00M,9.00M,,9.00M,,,,-88.00M,-7.00M,-626.00M,,754.00M,-389.00M,1.00M,366.00M,,9.00M,,,,,,,,
2005-03,168.00M,,,-5.00M,,,,174.00M,-22.00M,,,,,73.00M,-116.00M,,,-1.00M,42.00M,,-6.00M,-81.00M,,307.00M,,-169.00M,,-169.00M,,,63.00M,13.00M,-93.00M,,,,-15.00M,24.00M,,24.00M,,,,-77.00M,-10.00M,-78.00M,,616.00M,136.00M,2.00M,754.00M,,24.00M,,,,,,,,
2004-12,177.00M,,,-10.00M,,,,207.00M,65.00M,,,,,,28.00M,-15.00M,,-1.00M,,,53.00M,6.00M,,445.00M,,-233.00M,,-233.00M,,,-43.00M,-4.00M,-280.00M,,,,-208.00M,1.00M,,1.00M,,,,-81.00M,0.00,-288.00M,,734.00M,-123.00M,5.00M,616.00M,,1.00M,,,,,,,,
2004-09,218.00M,,,14.00M,,,,484.00M,90.00M,,,,,,81.00M,-37.00M,,-48.00M,,,65.00M,61.00M,,867.00M,,-451.00M,,-451.00M,,,14.00M,30.00M,-407.00M,,,,-449.00M,595.00M,,595.00M,,,,-215.00M,-4.00M,-73.00M,,39.00M,387.00M,4.00M,734.00M,,595.00M,,,,,,,,
2004-06,126.00M,,,,,,,,,,,,,,,,,,,,-258.00M,-258.00M,,-132.00M,,124.00M,,124.00M,,,-17.00M,-100.00M,7.00M,,,,-107.00M,-12.00M,,-12.00M,,,,67.00M,-7.00M,-59.00M,,531.00M,-184.00M,-4.00M,39.00M,,-12.00M,,,,,,,,
2004-03,177.00M,,,,,,,,,,,,,,,,,,,,140.00M,140.00M,,317.00M,,-174.00M,,-174.00M,,,-31.00M,107.00M,-98.00M,,,,-99.00M,12.00M,,12.00M,,,,-70.00M,-1.00M,-158.00M,,466.00M,61.00M,4.00M,531.00M,,12.00M,,,,,,,,
2003-12,270.00M,,,,,,,,,,,,,,,,,,,,-580.00M,-562.00M,,321.00M,,-254.00M,,-205.00M,,,,-37.00M,-242.00M,,,,-109.00M,2.00M,-17.00M,-15.00M,,,,-70.00M,-4.00M,-198.00M,,587.00M,-119.00M,8.00M,476.00M,,2.00M,,,-17.00M,,,,,
2003-09,171.00M,,,,,,,,,,,,,,,,,,,,350.00M,350.00M,,521.00M,,-159.00M,,-159.00M,,,,24.00M,-135.00M,,,,-99.00M,13.00M,-4.00M,9.00M,,,,-72.00M,-6.00M,-168.00M,,370.00M,218.00M,-1.00M,587.00M,,13.00M,,,-4.00M,,,,,
2003-06,117.00M,,,,,,,,,,,,,,,,,,,,227.00M,227.00M,,344.00M,,-188.00M,,-188.00M,,,,8.00M,-180.00M,,,,-426.00M,338.00M,-10.00M,328.00M,,,,-73.00M,-21.00M,-192.00M,,397.00M,-28.00M,1.00M,370.00M,,338.00M,,,-10.00M,,,,,
2003-03,176.00M,,,,,,,,,,,,,,,,,,,,-22.00M,-22.00M,,154.00M,,-170.00M,,-170.00M,,,,-2.00M,-172.00M,,,,174.00M,73.00M,,73.00M,,,,-72.00M,-4.00M,171.00M,,245.00M,153.00M,-1.00M,397.00M,,73.00M,,,,,,,,
2002-12,-86.00M,,,,,,,,,,,,,,,,,,,,-132.00M,-253.00M,,375.00M,,-288.00M,,-288.00M,,0.00,,17.00M,-271.00M,,,,-176.00M,48.00M,0.00,48.00M,,,,-64.00M,-8.00M,-200.00M,,339.00M,-96.00M,,245.00M,,48.00M,,,0.00,,,,,
2002-09,142.00M,,,,,,,,,,,,,,,,,,,,266.00M,266.00M,,408.00M,,-112.00M,,-112.00M,,-211.00M,,-12.00M,-335.00M,,,,-208.00M,519.00M,-150.00M,369.00M,,,,-70.00M,-18.00M,73.00M,,193.00M,146.00M,,339.00M,,519.00M,,,-150.00M,,,,,
2002-06,-13.00M,,,,,,,,,,,,,,,,,,,,34.00M,34.00M,,21.00M,,-141.00M,,-141.00M,,,,-79.00M,-220.00M,,,,82.00M,1.00M,-100.00M,-99.00M,,,,-70.00M,-1.00M,-88.00M,,480.00M,-287.00M,,193.00M,,1.00M,,,-100.00M,,,,,
2002-03,165.00M,,,,,,,,,,,,,,,,,,,,-167.00M,-167.00M,,-2.00M,,-107.00M,,-107.00M,,,,-196.00M,-303.00M,,,,-110.00M,19.00M,,19.00M,,,,-57.00M,,-148.00M,,933.00M,-453.00M,,480.00M,,19.00M,,,,,,,,
2001-12,-347.00M,,,,,,,,,,,,,-36.00M,,,,,,,-120.00M,-186.00M,,317.00M,,-149.00M,,-149.00M,,,,185.00M,-276.00M,,,,-409.00M,4.00M,,4.00M,,,,-56.00M,526.00M,65.00M,,830.00M,106.00M,,933.00M,,4.00M,,,,328.00M,373.00M,,,
2001-09,168.00M,,,,,,,,,,,,,,,,,,,,209.00M,209.00M,,377.00M,,-209.00M,,-209.00M,,,,-27.00M,-236.00M,,,,1.169B,-565.00M,,-565.00M,,,,-55.00M,-22.00M,527.00M,,162.00M,668.00M,,830.00M,,-565.00M,,,,,,,,
2001-06,130.00M,,,,,,,,,,,,,47.00M,,,,,,,-161.00M,-161.00M,,16.00M,,-99.00M,,-99.00M,,,,189.00M,90.00M,,,,-760.00M,617.00M,,617.00M,,,,-46.00M,-24.00M,-213.00M,,269.00M,-107.00M,,162.00M,,617.00M,,,,-20.00M,-88.00M,,,
2001-03,228.00M,,,,,,,,,,,,,-47.00M,,,,,,,,,,181.00M,,-108.00M,,-108.00M,,,,-172.00M,-280.00M,,,,-68.00M,,,,,,,-44.00M,,-112.00M,,480.00M,-211.00M,,269.00M,,,,,,20.00M,88.00M,,,
2000-12,124.00M,,,,,,,382.00M,,,,,,-113.00M,,,,,,,78.00M,78.00M,,336.00M,,-149.00M,-437.00M,-586.00M,,,,384.00M,-213.00M,,,,100.00M,13.00M,,13.00M,,,,-45.00M,9.00M,77.00M,,280.00M,200.00M,,480.00M,,13.00M,,,,266.00M,363.00M,,,
2000-09,142.00M,,,,,,,-247.00M,,,,,,140.00M,,,,,,,240.00M,240.00M,,275.00M,,-97.00M,437.00M,340.00M,,,,-273.00M,67.00M,,,,-86.00M,9.00M,,9.00M,,,,-46.00M,-154.00M,-277.00M,,215.00M,65.00M,,280.00M,,9.00M,,,,-145.00M,-157.00M,,,
2000-06,99.00M,,,,,,,247.00M,,,,,,23.00M,,,,,,,-240.00M,-240.00M,,129.00M,,-112.00M,-27.00M,-139.00M,,,,-376.00M,-515.00M,,,,466.00M,13.00M,,13.00M,,,,-44.00M,6.00M,441.00M,,160.00M,55.00M,,215.00M,,13.00M,,,,136.00M,79.00M,,,
2000-03,148.00M,,,,,,,,,,,,,-23.00M,,,,,,,,,,125.00M,,-102.00M,27.00M,-75.00M,,,,-15.00M,-90.00M,,,,22.00M,,,,,,,-42.00M,12.00M,-8.00M,,133.00M,27.00M,,160.00M,,,,,,9.00M,78.00M,,,
1999-12,141.00M,,,,,,,-95.00M,,,,,,,,,,,,,58.00M,58.00M,,114.00M,,-27.00M,207.00M,180.00M,,,,-889.00M,-709.00M,,,,423.00M,0.00,1.00M,1.00M,,,,-43.00M,7.00M,388.00M,,340.00M,-207.00M,,133.00M,,0.00,,,1.00M,43.00M,88.00M,,,
1999-09,167.00M,,,,,,,100.00M,,,,,,,,,,,,,-24.00M,-24.00M,,243.00M,,-63.00M,0.00,-63.00M,,,,-184.00M,-247.00M,,,,492.00M,0.00,-326.00M,-326.00M,,,,-137.00M,-78.00M,-49.00M,,393.00M,-53.00M,,340.00M,,0.00,,,-326.00M,30.00M,62.00M,,,
1999-06,70.00M,,,,,,,102.00M,,,,,,,,,,,,,-7.00M,-7.00M,,165.00M,,-162.00M,14.00M,-148.00M,,,-11.00M,6.00M,-153.00M,,,,286.00M,0.00,-45.00M,-45.00M,,,,,,241.00M,,140.00M,253.00M,,393.00M,,0.00,,,-45.00M,102.00M,65.00M,,,
1999-03,126.00M,,,,,,,105.00M,,,,,,,,,,,,,-109.00M,-109.00M,,122.00M,,-66.00M,,-66.00M,,,11.00M,-15.00M,-70.00M,,,,-69.00M,8.00M,-46.00M,-38.00M,,,,,,-107.00M,,195.00M,-55.00M,,140.00M,,8.00M,,,-46.00M,9.00M,52.00M,,,
1998-12,95.00M,,,,,,,,,,,,,-187.00M,,,,,,,-10.00M,-52.00M,,154.00M,,-102.00M,38.00M,-64.00M,,,54.00M,-296.00M,-306.00M,,,,668.00M,62.00M,,-357.00M,,,,-33.00M,0.00,278.00M,,34.00M,126.00M,,195.00M,,62.00M,,,,59.00M,85.00M,,,
1998-09,142.00M,,,,,,,,,,,,,69.00M,,,,,,,-9.00M,-9.00M,,202.00M,,-53.00M,1.00M,-52.00M,,,-1.00M,276.00M,223.00M,,,,-266.00M,-33.00M,,-33.00M,,,,-93.00M,0.00,-392.00M,,36.00M,33.00M,,34.00M,,-33.00M,,,,91.00M,41.00M,,,
1998-06,60.00M,,,,,,,,,,,,,94.00M,,,,,,,-47.00M,-47.00M,,107.00M,,-70.00M,14.00M,-56.00M,,,2.00M,-165.00M,-219.00M,,,,60.00M,17.00M,,17.00M,,,,-76.00M,-1.00M,0.00,,148.00M,-112.00M,,36.00M,,17.00M,,,,82.00M,61.00M,,,
1998-03,107.00M,,,,,,,,,,,,,94.00M,,,,,,,-27.00M,-27.00M,,174.00M,,-79.00M,1.00M,-78.00M,,,0.00,-105.00M,-183.00M,,,,167.00M,16.00M,,16.00M,,,,-76.00M,,107.00M,,50.00M,98.00M,,148.00M,,16.00M,,,,16.00M,50.00M,,,
1997-12,80.00M,,,,,,,,,,,,,166.00M,,,,,,,-28.00M,-30.00M,,198.00M,,-110.00M,60.00M,-50.00M,,,0.00,-30.00M,-80.00M,,,,-65.00M,23.00M,0.00,23.00M,,,,-75.00M,0.00,-117.00M,,49.00M,1.00M,,50.00M,,23.00M,,,0.00,50.00M,56.00M,,,
1997-09,48.00M,,,,,,,,,,,,,94.00M,,,,,,,130.00M,130.00M,,272.00M,,-80.00M,,-80.00M,,,115.00M,-222.00M,-187.00M,,,,192.00M,-233.00M,0.00,-233.00M,,,,-73.00M,33.00M,-81.00M,,45.00M,4.00M,,49.00M,,-233.00M,,,0.00,194.00M,152.00M,,,
1997-06,68.00M,,,,,,,,,,,,,93.00M,,,,,,,-56.00M,-56.00M,,105.00M,,-48.00M,-21.00M,-69.00M,,,-40.00M,109.00M,0.00,,,,96.00M,269.00M,-294.00M,-25.00M,,,,-150.00M,-53.00M,-132.00M,,72.00M,-27.00M,,45.00M,,269.00M,,,-294.00M,-15.00M,-51.00M,,,
1997-03,124.00M,,,,,,,,,,,,,92.00M,,,,,,,-14.00M,-14.00M,,202.00M,,-72.00M,21.00M,-51.00M,,,40.00M,-13.00M,-24.00M,,,,-149.00M,17.00M,-75.00M,-58.00M,,,,,,-207.00M,,101.00M,-29.00M,,72.00M,,17.00M,,,-75.00M,15.00M,51.00M,,,
1996-12,80.00M,,,,,,,,,,,,,142.00M,,,,,-35.00M,,-12.00M,-61.00M,,161.00M,,-110.00M,93.00M,-17.00M,,,247.00M,-241.00M,-11.00M,,,,-214.00M,77.00M,,77.00M,,,,-75.00M,63.00M,-149.00M,,281.00M,1.00M,,101.00M,,77.00M,,,,-224.00M,-156.00M,,,
1996-09,85.00M,,,,,,,,29.00M,,,,,99.00M,,,,,,,65.00M,65.00M,,278.00M,,-95.00M,-33.00M,-128.00M,,,-192.00M,46.00M,-274.00M,,,,-12.00M,,,,,,,-74.00M,-19.00M,-105.00M,,201.00M,-101.00M,,281.00M,,,,,,224.00M,156.00M,,,
1996-06,69.00M,,,,,,,,-15.00M,,,,,183.00M,,,,14.00M,61.00M,-13.00M,-165.00M,-103.00M,,134.00M,,-87.00M,30.00M,-57.00M,,,-10.00M,-2.00M,-69.00M,,,,250.00M,-17.00M,,-17.00M,,,,-74.00M,-45.00M,114.00M,,22.00M,179.00M,,201.00M,,-17.00M,,,,-14.00M,-55.00M,,,
1996-03,123.00M,,,,,,,,-14.00M,,,,,89.00M,,,,-14.00M,-61.00M,13.00M,84.00M,22.00M,,220.00M,,-68.00M,3.00M,-65.00M,,,-14.00M,1.00M,-78.00M,,,,-84.00M,17.00M,,17.00M,,,,-73.00M,,-140.00M,,20.00M,2.00M,,22.00M,,17.00M,,,,14.00M,55.00M,,,
1995-12,96.50M,,,-65.70M,,,,,-2.40M,,,,,65.20M,-2.40M,43.30M,,-17.80M,,-14.90M,51.60M,59.80M,,153.40M,,-84.50M,52.60M,-31.90M,,,10.70M,-8.00M,-29.20M,,,,-181.80M,70.20M,,70.20M,,,,-73.00M,71.10M,-113.50M,,9.20M,10.70M,,19.90M,,70.20M,,,,257.40M,217.80M,,,
1995-09,94.10M,,,4.00M,,,,,36.60M,,,,,130.10M,-27.10M,-9.00M,,40.00M,59.60M,-15.60M,-40.90M,7.00M,,271.80M,,-95.90M,11.40M,-84.50M,,,-15.80M,1.10M,-99.20M,,,,11.50M,-38.70M,,-38.70M,,,,-72.70M,-71.20M,-171.10M,,7.60M,1.50M,,9.20M,,-38.70M,,,,-127.80M,-108.90M,,,
1995-06,51.60M,,,-1.70M,,,,,-5.30M,,,,,99.60M,23.80M,-6.80M,,-4.90M,7.40M,-0.80M,-93.20M,-74.50M,,69.70M,,-119.50M,22.40M,-97.10M,,,0.50M,-0.40M,-97.00M,,,,79.90M,19.30M,,19.30M,,,,-72.30M,,26.90M,,8.00M,-0.40M,,7.60M,,19.30M,,,,113.60M,58.00M,,,
1995-03,108.30M,,,-2.30M,,,,,-13.10M,,,,,88.60M,3.30M,15.80M,,-35.10M,-67.00M,16.40M,82.50M,15.90M,,197.40M,,-102.90M,10.00M,-92.90M,,,1.90M,2.90M,-88.10M,,,,-59.00M,19.40M,,19.40M,,,,-71.70M,,-111.30M,,10.10M,-2.00M,,8.00M,,19.40M,,,,14.20M,50.90M,,,
1994-03,113.70M,,,-0.90M,,,,,-4.20M,,,,,87.40M,-29.00M,-5.80M,,-45.70M,-125.70M,-7.40M,72.10M,-141.50M,,54.50M,,-97.90M,1.60M,-96.30M,,,-27.20M,17.50M,-106.00M,,,,100.30M,80.00M,-20.00M,60.00M,,,,-70.40M,-18.70M,71.20M,,8.30M,19.70M,,27.90M,,80.00M,,,-20.00M,16.90M,45.90M,,,
