,Cash,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2006-09,,27.40M,27.40M,232.00M,,232.00M,61.20M,107.30M,14.30M,,158.30M,16.20M,,34.60M,,468.50M,,,,,,367.90M,-196.40M,171.50M,301.70M,70.80M,372.50M,38.50M,28.80M,611.30M,1.080B,99.60M,99.60M,143.60M,243.20M,4.70M,4.70M,,247.90M,253.80M,,253.80M,,,,164.50M,418.30M,666.20M,0.30M,266.90M,184.70M,,,,-38.30M,413.60M
2006-06,,7.90M,7.90M,189.00M,,189.00M,55.40M,100.70M,15.30M,,146.60M,9.90M,,25.10M,,378.50M,,,,,,291.00M,-191.10M,99.90M,224.40M,39.00M,263.40M,45.60M,26.00M,434.90M,813.40M,87.00M,87.00M,114.10M,201.10M,0.20M,0.20M,,201.30M,44.70M,,44.70M,,,,185.00M,229.70M,431.00M,0.30M,244.30M,176.40M,,,,-38.60M,382.40M
2006-03,,9.20M,9.20M,183.30M,,183.30M,44.30M,108.70M,11.70M,,137.70M,14.20M,,27.30M,,371.70M,,,,,,285.80M,-186.10M,99.70M,216.60M,37.90M,254.50M,43.10M,26.30M,423.60M,795.30M,82.40M,82.40M,109.00M,191.40M,0.20M,0.20M,,191.60M,66.60M,,66.60M,,,,180.70M,247.30M,438.90M,0.30M,223.40M,171.60M,,,,-38.90M,356.40M
2005-12,,9.30M,9.30M,167.60M,,167.60M,44.70M,92.10M,12.20M,,117.30M,11.90M,,25.40M,,331.50M,0.0,9.30M,58.70M,210.10M,,278.10M,-181.40M,96.70M,197.00M,33.60M,230.60M,42.90M,26.50M,396.70M,728.20M,76.20M,76.20M,101.10M,177.30M,0.20M,0.20M,,177.50M,47.00M,,47.00M,,,,177.70M,224.70M,402.20M,0.30M,205.50M,159.40M,,,,-39.20M,326.00M
2005-09,,12.80M,12.80M,173.30M,,173.30M,36.70M,94.20M,13.90M,,114.90M,10.20M,,30.40M,,341.60M,,,,,,272.10M,-177.50M,94.60M,,232.00M,232.00M,32.00M,27.20M,385.80M,727.40M,69.50M,69.50M,108.40M,177.90M,0.50M,0.50M,,178.40M,73.90M,,73.90M,,,,151.80M,225.70M,404.10M,0.30M,188.90M,156.80M,,,,-22.70M,323.30M
2005-06,,12.30M,12.30M,165.00M,,165.00M,36.90M,87.70M,10.40M,,108.90M,9.30M,,29.70M,,325.20M,,,,,,267.30M,-171.40M,95.90M,,199.90M,199.90M,28.70M,27.00M,351.50M,676.70M,64.60M,64.60M,94.20M,158.80M,1.00M,1.00M,,159.80M,68.70M,,68.70M,,,,146.20M,214.90M,374.70M,0.30M,173.20M,151.00M,,,,-22.50M,302.00M
2005-03,,12.20M,12.20M,163.30M,,163.30M,33.30M,91.00M,9.20M,,108.10M,9.90M,,26.10M,,319.60M,,,,,,244.10M,-155.60M,88.50M,,187.20M,187.20M,30.60M,29.10M,335.40M,655.00M,67.80M,67.80M,92.10M,159.90M,0.10M,0.10M,,160.00M,70.10M,,70.10M,,,,139.60M,209.70M,369.70M,0.30M,157.10M,150.00M,,,,-22.10M,285.30M
2004-12,,11.40M,11.40M,141.70M,,141.70M,35.80M,80.20M,8.90M,,97.70M,9.30M,,26.80M,,286.90M,0.0,8.10M,55.00M,194.50M,,257.60M,-164.30M,93.30M,,190.80M,190.80M,28.30M,25.50M,337.90M,624.80M,62.30M,62.30M,97.00M,159.30M,3.20M,3.20M,,162.50M,74.40M,,74.40M,,,,125.80M,200.20M,362.70M,0.30M,141.30M,142.80M,,,,-22.30M,262.10M
2004-09,,15.70M,15.70M,149.20M,,149.20M,32.40M,71.40M,8.90M,,87.90M,6.90M,,24.90M,,284.60M,,,,,,242.90M,-155.40M,87.50M,,137.50M,137.50M,7.60M,62.30M,294.90M,579.50M,63.00M,63.00M,92.70M,155.70M,2.90M,2.90M,,158.60M,60.10M,3.80M,63.90M,,,,102.10M,166.00M,324.60M,0.30M,127.90M,138.00M,,,,-11.30M,254.90M
2004-06,,24.10M,24.10M,147.30M,,147.30M,28.10M,66.30M,8.90M,,79.30M,6.10M,,24.30M,,281.10M,,,,,,235.60M,-150.40M,85.20M,,115.90M,115.90M,12.50M,45.30M,258.90M,540.00M,54.90M,54.90M,85.80M,140.70M,2.80M,2.80M,,143.50M,60.10M,,60.10M,,,,97.50M,157.60M,301.10M,0.30M,115.40M,134.60M,,,,-11.40M,238.90M
2004-03,,24.00M,24.00M,133.00M,,133.00M,25.00M,59.20M,8.70M,,70.00M,6.50M,,21.20M,,254.70M,,,,,,222.80M,-147.50M,75.30M,,73.20M,73.20M,15.60M,32.00M,196.10M,450.80M,51.30M,51.30M,79.80M,131.10M,,,,131.10M,,,,,,,,90.40M,221.50M,0.30M,105.50M,134.50M,,,,-11.00M,229.30M
2003-12,,37.80M,37.80M,121.30M,,121.30M,22.40M,54.00M,12.10M,,63.60M,7.10M,,22.70M,,252.50M,0.0,4.90M,43.20M,169.70M,,217.80M,-141.80M,76.00M,,61.60M,61.60M,19.70M,23.80M,181.10M,433.60M,48.10M,48.10M,74.90M,123.00M,,,,123.00M,,,,,,,,89.60M,212.60M,0.30M,99.60M,132.40M,,,,-11.30M,221.00M
2003-09,,26.60M,26.60M,119.50M,,119.50M,26.20M,60.40M,15.30M,-27.40M,74.50M,5.20M,,22.00M,,247.80M,,,,,,214.80M,-141.00M,73.80M,,63.10M,63.10M,29.70M,26.10M,192.70M,440.50M,50.10M,50.10M,74.40M,124.50M,,,14.80M,139.30M,,,,,,,,100.30M,239.60M,0.30M,91.80M,131.90M,,,,-23.10M,200.90M
2003-06,,4.90M,4.90M,115.10M,,115.10M,,,,,80.30M,5.20M,,22.40M,,227.90M,,,,,,209.30M,-136.30M,73.00M,,61.70M,61.70M,26.60M,26.30M,187.60M,415.50M,47.90M,47.90M,69.80M,117.70M,,,12.40M,130.10M,,,,,,,,94.80M,224.90M,0.30M,81.90M,131.20M,,,,-22.80M,190.60M
2003-03,,15.40M,15.40M,108.10M,,108.10M,24.20M,72.00M,9.30M,,74.30M,7.80M,,19.20M,,224.80M,,,,,,203.80M,-131.30M,72.50M,,44.30M,44.30M,25.20M,27.40M,169.40M,394.20M,48.50M,48.50M,69.10M,117.60M,,,,117.60M,,,,,,,,93.10M,210.70M,0.30M,75.40M,131.00M,,,,-23.20M,183.50M
2002-12,,19.00M,19.00M,109.20M,,109.20M,23.70M,65.70M,8.50M,,66.80M,8.00M,,18.90M,,221.90M,0.0,4.90M,35.00M,161.60M,,201.50M,-126.80M,74.70M,,44.30M,44.30M,22.20M,28.00M,169.20M,391.10M,53.10M,53.10M,66.20M,119.30M,,,,119.30M,,,,,,,,95.00M,214.30M,0.30M,69.90M,129.80M,,,,-23.20M,176.80M
2002-09,,8.90M,8.90M,112.50M,,112.50M,23.10M,66.00M,7.90M,,67.90M,7.30M,,17.70M,,214.30M,,,,,,201.70M,-125.70M,76.00M,,45.70M,45.70M,9.20M,25.60M,156.50M,370.80M,51.50M,51.50M,72.60M,124.10M,,,,124.10M,,,,,,,,54.00M,178.10M,0.30M,62.70M,129.70M,,,,,192.70M
2002-06,,10.10M,10.10M,117.70M,,117.70M,,,,,61.90M,5.90M,,18.60M,,214.20M,,,,,,199.60M,-122.20M,77.40M,,26.20M,26.20M,7.40M,27.40M,138.40M,352.60M,44.10M,44.10M,69.20M,113.30M,,,,113.30M,,,,,,,,53.80M,167.10M,0.30M,55.80M,129.30M,,,,0.10M,185.50M
2002-03,,7.00M,7.00M,120.10M,,120.10M,,,,,55.00M,14.70M,,15.40M,,212.20M,,,,,,192.30M,-113.20M,79.10M,,26.20M,26.20M,7.50M,26.20M,139.00M,351.20M,42.40M,42.40M,58.70M,101.10M,,,,101.10M,19.50M,,19.50M,,,,51.80M,71.30M,172.40M,0.30M,49.70M,128.50M,,,,0.30M,178.80M
2001-12,,11.90M,11.90M,108.70M,,108.70M,24.30M,52.00M,8.80M,,56.10M,14.20M,,18.40M,,209.30M,0.0,4.90M,33.20M,155.30M,,193.40M,-113.20M,80.20M,,26.20M,26.20M,7.90M,25.70M,140.00M,349.30M,36.90M,36.90M,57.10M,94.00M,,,,94.00M,30.00M,,30.00M,,,,52.30M,82.30M,176.30M,0.30M,44.50M,128.00M,,,,0.20M,173.00M
2001-09,,6.90M,6.90M,115.50M,,115.50M,22.90M,67.80M,9.70M,,65.00M,32.60M,,17.80M,,237.80M,,,,,,204.30M,-124.90M,79.40M,6.30M,,6.30M,15.00M,24.10M,124.80M,362.60M,45.00M,45.00M,60.30M,105.30M,,,,105.30M,31.90M,,31.90M,,,,59.60M,91.50M,196.80M,0.30M,38.00M,127.60M,,,,-0.10M,165.80M
2001-06,,5.20M,5.20M,112.00M,,112.00M,22.00M,71.90M,11.40M,,72.10M,17.10M,,23.80M,,230.20M,,,,,,201.10M,-122.00M,79.10M,,5.80M,5.80M,23.90M,25.20M,134.00M,364.20M,47.20M,47.20M,61.10M,108.30M,,,,108.30M,38.00M,,38.00M,,,,58.90M,96.90M,205.20M,0.30M,32.40M,126.20M,,,,0.10M,159.00M
2001-03,,4.60M,4.60M,120.90M,,120.90M,32.90M,67.20M,15.40M,,81.30M,20.10M,,13.10M,,240.00M,,,,,,194.20M,-116.00M,78.20M,7.40M,,7.40M,25.80M,23.10M,134.50M,374.50M,56.70M,56.70M,54.00M,110.70M,,,,110.70M,27.70M,,27.70M,,,,66.60M,94.30M,205.00M,0.30M,42.80M,125.70M,,,,0.70M,169.50M
2000-12,,14.90M,14.90M,118.50M,,118.50M,29.60M,59.40M,12.10M,,65.20M,7.30M,,16.90M,,222.80M,,,,,,185.80M,-111.80M,74.00M,7.60M,,7.60M,27.00M,19.50M,128.10M,350.90M,58.70M,58.70M,56.50M,115.20M,,,,115.20M,,,,,,,,72.60M,187.80M,0.30M,37.90M,124.80M,,,,0.10M,163.10M
2000-09,,3.50M,3.50M,,,127.30M,,,,,62.30M,,,,32.90M,226.00M,,,,,,188.10M,-125.20M,62.90M,,7.90M,7.90M,,55.50M,126.30M,352.30M,55.50M,55.50M,,55.50M,,,58.40M,113.90M,7.20M,,7.20M,,,,77.70M,84.90M,198.80M,0.30M,28.70M,124.20M,,,,0.30M,153.50M
2000-06,,3.20M,3.20M,,,123.40M,,,,,57.40M,,,,28.80M,212.80M,,,,,,177.80M,-119.30M,58.50M,,7.80M,7.80M,,63.40M,129.70M,342.50M,54.60M,54.60M,,54.60M,,,61.60M,116.20M,91.00M,,91.00M,,,,77.00M,168.00M,284.20M,0.30M,18.90M,38.90M,,,,0.20M,58.30M
2000-03,,4.60M,4.60M,,,127.20M,,,,,54.40M,,,,27.70M,213.90M,,,,,,194.80M,-132.60M,62.20M,,8.00M,8.00M,,43.90M,114.10M,328.00M,50.30M,50.30M,,50.30M,,,64.90M,115.20M,83.50M,,83.50M,,,,74.00M,157.50M,272.70M,0.30M,15.80M,38.70M,,,,0.50M,55.30M
1999-12,,7.10M,7.10M,,,109.10M,,,,,51.40M,,,,26.20M,193.80M,,,,,,172.70M,-116.70M,56.00M,,8.20M,8.20M,,55.40M,119.60M,313.40M,44.20M,44.20M,,44.20M,,,51.10M,95.30M,97.00M,,97.00M,,,,76.60M,173.60M,268.90M,0.30M,5.60M,37.90M,,,,0.70M,44.50M
1998-12,,,,,,103.20M,,,,,53.20M,,,,14.60M,171.00M,,,,,,177.80M,-134.80M,43.00M,,9.40M,9.40M,,27.40M,79.80M,250.80M,43.30M,43.30M,,43.30M,,,49.20M,92.50M,,,,,,,,51.90M,144.40M,,,,,1.70M,104.70M,106.40M,106.40M
