,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,TotalCurrentAssets,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,GrossLoans,AllowforLoan/LeaseLoss,UnearnedIncome,NetLoanAssets,LongTermInvestments,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,PayablesandAccruedExpenses,CommercialPaperLiability,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,TotalDeposits,DerivativeContractLiabilities,MinorityInterestOwnership,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2003-09,,46.19B,,46.19B,,,35.37B,257.02B,,,35.43B,441.58B,11.24B,,430.33B,376.34B,951.90B,1.209T,,,35.80B,35.80B,,63.24B,63.24B,63.24B,267.17B,152.88B,152.88B,454.24B,,,607.12B,1.114T,1.18B,90.56B,17.52B,11.24B,1.125B,-4.635B,1.876B,-2.759B,95.26B
2003-06,,40.60B,,40.60B,,,43.96B,251.82B,,,34.75B,438.57B,11.57B,,427.00B,363.32B,935.22B,1.187T,,,45.78B,45.78B,,53.73B,53.73B,53.73B,272.37B,138.07B,138.07B,447.98B,,,586.05B,1.094T,1.18B,87.70B,17.41B,11.38B,1.125B,-4.012B,2.407B,-1.605B,93.30B
2003-03,,38.90B,,38.90B,,,25.61B,222.56B,,,34.84B,438.03B,11.45B,,426.58B,354.85B,914.41B,1.137T,,,24.99B,24.99B,,50.43B,50.43B,50.43B,253.88B,133.12B,133.12B,444.11B,,6.658B,577.23B,1.043T,1.181B,84.45B,17.45B,11.39B,1.126B,-4.289B,-64.00M,-4.353B,87.34B
2002-12,,33.71B,,33.71B,,,25.36B,199.01B,,,35.47B,447.80B,11.10B,,436.70B,324.72B,898.58B,1.098T,,,22.02B,22.02B,,51.98B,51.98B,51.98B,236.65B,133.08B,133.08B,430.90B,,,563.97B,1.011T,1.455B,81.40B,17.38B,11.64B,1.40B,-3.392B,1.508B,-1.884B,86.72B
2002-09,,31.07B,,31.07B,,,21.21B,209.76B,,,30.34B,403.88B,10.72B,,393.16B,303.86B,821.81B,1.032T,,,19.77B,19.77B,,47.94B,47.94B,47.94B,232.65B,109.67B,109.67B,390.83B,,6.088B,500.50B,944.71B,1.455B,79.91B,16.80B,14.36B,1.40B,-3.508B,476.00M,-3.032B,80.77B
2002-06,,34.45B,,34.45B,,,21.05B,203.89B,,,34.45B,403.22B,10.44B,,392.78B,336.81B,879.42B,1.083T,,,21.18B,21.18B,,40.65B,40.65B,40.65B,233.45B,114.58B,114.58B,394.88B,,6.768B,509.46B,990.82B,1.455B,76.92B,23.82B,12.62B,1.40B,-3.115B,-740.00M,-3.855B,85.72B
2002-03,,33.17B,,33.17B,,,26.85B,210.63B,,,34.39B,388.96B,10.52B,,378.44B,317.14B,847.03B,1.058T,,,25.79B,25.79B,,41.90B,41.90B,41.90B,232.81B,124.46B,124.46B,382.39B,,,506.85B,974.02B,1.455B,73.80B,23.86B,11.19B,1.40B,-2.267B,-2.014B,-4.281B,83.64B
2001-12,,37.73B,,37.73B,,,35.16B,207.70B,,,32.86B,391.93B,10.09B,,381.84B,305.74B,843.76B,1.051T,,,32.89B,32.89B,,24.46B,24.46B,24.46B,210.86B,143.56B,143.56B,374.52B,,,518.08B,970.20B,1.58B,69.80B,23.20B,11.10B,1.525B,,,-2.233B,81.25B
2001-09,,39.36B,,39.36B,,,50.00B,227.95B,,,,399.42B,9.918B,,389.50B,303.17B,840.30B,1.068T,,,45.64B,45.64B,,60.61B,60.61B,60.61B,260.96B,135.40B,135.40B,357.17B,,,492.57B,989.85B,1.829B,66.78B,23.15B,11.17B,1.774B,,,-2.191B,78.40B
2001-06,,30.28B,,30.28B,,,23.24B,192.19B,,,,368.63B,8.917B,,359.71B,268.59B,761.24B,953.43B,,,16.52B,16.52B,,58.74B,58.74B,58.74B,223.62B,126.28B,126.28B,314.60B,,,440.88B,882.90B,1.817B,64.46B,16.88B,10.76B,1.763B,,,-1.867B,70.53B
2001-03,,33.66B,,33.66B,,,24.59B,192.44B,,,,366.28B,8.957B,,357.32B,262.84B,751.89B,944.33B,,,13.42B,13.42B,,66.32B,66.32B,66.32B,215.97B,123.00B,123.00B,313.28B,,,436.28B,875.67B,1.801B,61.66B,17.05B,10.30B,1.747B,,,-1.553B,68.66B
2000-12,,30.78B,,30.78B,,,25.70B,162.36B,,,,367.02B,8.961B,,358.06B,252.64B,739.85B,902.21B,,,15.88B,15.88B,,51.68B,51.68B,51.68B,178.18B,134.92B,134.92B,300.59B,,,435.51B,836.00B,1.799B,58.86B,16.50B,10.21B,1.745B,,,-746.00M,66.21B
2000-09,,28.36B,,28.36B,,,30.81B,181.83B,,,,287.36B,6.679B,,280.68B,232.06B,622.45B,804.29B,,,15.99B,15.99B,,40.17B,40.17B,40.17B,184.06B,58.80B,58.80B,293.25B,,4.92B,352.05B,745.72B,1.823B,51.74B,10.85B,9.582B,1.775B,,,-1.198B,53.64B
2000-06,,26.06B,,26.06B,,,31.42B,177.76B,,,,274.09B,6.736B,,267.36B,239.26B,613.57B,791.33B,,,20.02B,20.02B,,45.09B,45.09B,45.09B,194.16B,51.30B,51.30B,285.96B,,4.92B,337.26B,734.84B,1.823B,49.32B,10.62B,8.889B,1.775B,,,-1.294B,51.58B
2000-03,,25.52B,,25.52B,,,25.48B,163.12B,,,,252.88B,6.657B,,246.22B,230.98B,575.08B,738.20B,,,18.36B,18.36B,,31.59B,31.59B,31.59B,156.15B,47.27B,47.27B,268.34B,,4.92B,315.61B,682.96B,1.811B,46.88B,10.49B,8.264B,1.775B,,,-594.00M,50.33B
1999-12,,28.24B,,28.24B,,,22.22B,163.12B,,,,314.90B,8.853B,,306.05B,223.11B,632.47B,795.58B,,,13.44B,13.44B,,44.34B,44.34B,44.34B,150.37B,107.12B,107.12B,261.57B,,,368.69B,737.29B,1.949B,48.00B,15.31B,7.662B,1.895B,,,699.00M,58.29B
1999-09,,25.14B,,25.14B,,,21.06B,150.89B,,,,237.34B,6.706B,,230.64B,215.32B,536.56B,687.45B,,,15.54B,15.54B,,25.75B,25.75B,25.75B,136.46B,48.54B,48.54B,247.71B,,4.92B,296.26B,635.71B,2.19B,41.74B,,,2.19B,,,,46.82B
1999-06,,26.55B,,26.55B,,,23.32B,154.90B,,,,232.17B,6.743B,,225.42B,215.57B,534.70B,689.60B,,,15.78B,15.78B,,27.01B,27.01B,27.01B,136.45B,49.03B,49.03B,244.39B,,4.92B,293.42B,639.30B,2.253B,39.82B,,,2.253B,,,,45.38B
1999-03,,23.27B,,23.27B,,,22.05B,156.92B,,,,226.40B,6.662B,,219.74B,222.59B,533.73B,690.65B,,,14.46B,14.46B,,28.25B,28.25B,28.25B,147.04B,49.13B,49.13B,238.98B,,4.92B,288.11B,641.63B,2.253B,37.89B,,,2.253B,,,,44.10B
1998-12,,25.48B,,25.48B,,,21.41B,141.72B,,,,221.96B,6.617B,,215.34B,225.02B,526.92B,668.64B,,,21.06B,21.06B,,16.11B,16.11B,16.11B,118.19B,48.67B,48.67B,228.65B,,4.32B,277.32B,621.47B,2.453B,35.97B,,,2.453B,,,,42.85B
1998-09,,5.737B,,5.737B,,,51.53B,152.22B,,,3.455B,,,,,174.00B,202.82B,358.05B,,,46.55B,46.55B,,5.812B,5.812B,5.812B,140.97B,46.54B,46.54B,,,2.845B,46.54B,332.74B,1.73B,17.36B,,,1.73B,,,1.464B,22.46B
1998-06,,4.895B,,4.895B,,,40.62B,176.83B,,,3.412B,,,,,203.21B,240.31B,420.08B,,,48.13B,48.13B,,23.07B,23.07B,23.07B,290.81B,30.55B,30.55B,,,2.845B,30.55B,394.52B,1.73B,17.31B,,,1.73B,,,1.263B,22.71B
