,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2003-03,19.20M,,,3.10M,,,22.60M,22.60M,,,,,27.30M,,,-20.50M,-20.50M,51.70M,-7.50M,,-7.50M,-14.90M,,-0.70M,-23.10M,,,28.80M,,,,,,,,-22.20M,,1.90M,8.50M,121.70M,37.10M,-2.80M,156.00M,,,,
2002-12,18.10M,,,,,,22.70M,22.70M,,,,,7.60M,,,-0.60M,-7.80M,76.70M,4.70M,11.50M,16.20M,-323.60M,-10.40M,-8.60M,-326.40M,,,270.90M,1.50M,,1.50M,,,,,-22.80M,,,234.60M,132.60M,-15.10M,4.20M,121.70M,1.50M,,,
2002-09,54.70M,,,,,,15.80M,15.80M,,,,,10.10M,,,23.30M,23.30M,103.90M,-10.70M,-9.30M,-20.00M,-32.30M,10.40M,0.00,-41.90M,,,-46.30M,3.50M,0.10M,3.60M,,,,,-21.90M,,,-64.60M,139.60M,-2.60M,-4.40M,132.60M,3.50M,,,0.10M
2002-06,63.30M,,,,,,16.00M,16.00M,,,,,-2.60M,,,7.30M,7.30M,84.00M,-12.50M,9.30M,-3.20M,,,-5.50M,-8.70M,,,-31.30M,4.30M,0.00,4.30M,,,,,-20.50M,,,-47.50M,109.90M,27.80M,1.90M,139.60M,4.30M,,,0.00
2002-03,48.90M,,,,,,16.70M,16.70M,,,,,-15.10M,,,-30.00M,-30.00M,20.50M,-18.70M,,-18.70M,,,0.20M,-18.50M,,,4.90M,8.10M,-0.10M,8.00M,,,,,-20.40M,,,-7.50M,115.20M,-5.50M,0.20M,109.90M,8.10M,,,-0.10M
2001-12,6.50M,,,96.90M,,,22.10M,22.10M,,,,,0.10M,,,80.40M,-7.90M,117.70M,0.30M,9.80M,10.10M,-1.40M,,-42.60M,-33.90M,,,-111.10M,9.80M,0.00,9.80M,,,,,-20.60M,,,-121.90M,152.20M,-38.10M,1.10M,115.20M,9.80M,,,0.00
2001-09,54.50M,,,-25.60M,,,18.60M,18.60M,,,,,23.60M,,,-2.00M,-2.00M,69.10M,-29.60M,-1.20M,-30.80M,1.40M,,11.10M,-18.30M,,,-32.80M,4.40M,-10.80M,-6.40M,,,,,-20.60M,,,-59.80M,162.20M,-9.00M,-1.00M,152.20M,4.40M,,,-10.80M
2001-06,50.70M,,,0.00,,,19.90M,19.90M,,,,,6.80M,,,-21.40M,-21.40M,56.00M,-13.10M,1.20M,-11.90M,-79.30M,,-8.60M,-99.80M,,,114.50M,6.00M,-0.10M,5.90M,,,,,-19.60M,,,100.80M,111.40M,57.00M,-6.20M,162.20M,6.00M,,,-0.10M
2001-03,46.60M,,,18.30M,,,22.30M,22.30M,,,,,-30.40M,,,-78.00M,-78.00M,-21.20M,-13.30M,,-13.30M,,,-4.50M,-17.80M,,,72.70M,5.20M,-0.10M,5.10M,,,,,-19.70M,,,58.10M,93.60M,19.10M,-1.30M,111.40M,5.20M,,,-0.10M
2000-12,46.90M,,,,,,18.90M,18.90M,,,,,8.00M,,,94.80M,17.60M,115.70M,-14.60M,4.10M,-10.50M,,,-6.10M,-16.60M,,,-80.90M,4.30M,3.10M,7.40M,,,,,-19.80M,,,-93.30M,93.30M,5.80M,-5.50M,93.60M,4.30M,,,3.10M
2000-09,48.70M,,,,,,20.30M,20.30M,,,,,2.80M,,,0.80M,0.80M,72.60M,-17.80M,6.50M,-11.30M,,,-5.40M,-16.70M,,,4.30M,1.40M,-32.30M,-30.90M,,,,,-19.80M,,,-46.40M,83.00M,9.50M,0.80M,93.30M,1.40M,,,-32.30M
2000-06,50.60M,,,,,,20.40M,20.40M,,,,,-0.10M,,,-20.50M,-20.50M,50.40M,-12.00M,2.80M,-9.20M,,,-8.70M,-17.90M,,,-24.30M,2.20M,-34.40M,-32.20M,,,,,-19.20M,,,-75.70M,128.90M,-43.20M,-2.70M,83.00M,2.20M,,,-34.40M
2000-03,48.20M,,,,,,23.70M,23.70M,,,,,7.20M,,,-81.60M,-81.60M,-2.50M,-15.40M,0.70M,-14.70M,,,-4.10M,-18.80M,,,127.90M,1.00M,-45.00M,-44.00M,,,,,-19.50M,,,64.40M,88.00M,43.10M,-2.20M,128.90M,1.00M,,,-45.00M
1999-12,44.10M,,,0.20M,,,19.40M,19.40M,,,,,26.40M,,,21.10M,-20.40M,69.70M,-19.50M,-1.90M,-21.40M,,,-0.10M,-21.50M,,,-65.80M,2.70M,-7.70M,-5.00M,,,,,-19.60M,,0.00,-90.40M,131.50M,-42.20M,-1.30M,88.00M,2.70M,,,-7.70M
1999-09,50.30M,,,64.30M,,,20.90M,20.90M,,,,,-13.80M,,,-29.30M,-29.30M,92.40M,-7.70M,22.10M,14.40M,,,-20.90M,-6.50M,,,-30.30M,2.30M,-4.80M,-2.50M,,,,,-19.60M,,13.90M,-38.50M,0.00,47.40M,-0.70M,131.50M,2.30M,,,-4.80M
1999-06,25.30M,,,-54.50M,,,21.20M,21.20M,,,,,63.70M,,,,,55.70M,-30.30M,9.50M,-20.80M,,,2.40M,-18.40M,,,-9.80M,3.40M,-6.70M,-3.30M,,,,,-19.20M,,,-32.30M,0.00,5.00M,-0.70M,0.00,3.40M,,,-6.70M
1999-03,30.30M,,,,,,24.10M,24.10M,,,,,-49.90M,,,,,4.50M,-20.40M,5.40M,-15.00M,,,-6.50M,-21.50M,,,9.40M,1.60M,-2.20M,-0.60M,,,,,-19.10M,,,-10.30M,110.10M,-27.30M,-2.30M,0.00,1.60M,,,-2.20M
1998-12,25.80M,,,4.40M,,,21.60M,21.60M,,,,,16.40M,,,189.10M,2.20M,70.40M,-21.60M,0.60M,-21.00M,,,4.50M,-16.50M,,,13.80M,2.40M,-3.70M,-1.30M,,,,,-19.20M,,,-6.70M,65.20M,47.20M,-2.30M,110.10M,2.40M,,,-3.70M
1998-09,33.40M,,,149.20M,,,20.00M,20.00M,,,,,-10.60M,,,-196.00M,-196.00M,-4.00M,-112.50M,3.40M,-109.10M,,,-11.50M,-120.60M,,,135.40M,5.00M,-8.70M,-3.70M,,,,,-19.10M,,,112.60M,0.00,-12.00M,-0.20M,65.20M,5.00M,,,-8.70M
1998-06,42.20M,,,-137.50M,,,18.30M,18.30M,,,,,10.00M,,,78.20M,78.20M,11.20M,-15.30M,5.80M,-9.50M,,,0.70M,-8.80M,,,6.70M,5.60M,-13.40M,-7.80M,,,,,-17.80M,,,-18.90M,93.20M,-16.50M,0.70M,0.00,5.60M,,,-13.40M
