,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2003-06,699.70M,699.70M,468.70M,231.00M,173.80M,-32.60M,,,,,,173.80M,57.20M,,,,-32.60M,,17.90M,5.50M,12.40M,,,,12.40M,34.98M,79.10M,21.90M,57.20M,0.14,0.0,,0.404,0.14,0.14,0.0,,0.4026,0.14,85.56M,86.00M,0.255
2003-03,632.20M,632.20M,418.80M,213.40M,167.80M,-10.50M,,,,,,167.80M,45.60M,,,,-10.50M,,27.30M,8.30M,19.00M,0.20M,,,19.20M,26.31M,68.20M,22.60M,45.60M,0.22,0.0,,0.3032,0.22,0.22,0.0,,0.3026,0.22,87.82M,88.48M,0.255
2002-12,661.70M,661.70M,474.30M,187.40M,143.80M,-11.00M,,,,,,143.80M,43.60M,,,,-11.00M,,25.20M,7.10M,18.10M,,,,18.10M,26.00M,66.30M,22.70M,43.60M,0.2,0.0,,0.29,0.2,0.2,0.0,,0.2893,0.2,87.82M,88.43M,0.255
2002-09,665.50M,665.50M,455.60M,209.90M,133.40M,0.50M,,,,,,133.40M,76.50M,,,,0.50M,,72.20M,17.50M,54.70M,,,,54.70M,54.32M,92.30M,15.80M,76.50M,0.63,0.0,,0.6256,0.63,0.62,0.0,,0.6157,0.62,86.58M,88.04M,0.255
2002-06,649.10M,649.10M,426.10M,223.00M,134.90M,21.00M,,,,,,134.90M,88.10M,,,,21.00M,,103.20M,39.90M,63.30M,,,,63.30M,50.42M,104.10M,16.00M,88.10M,0.74,0.0,,0.5899,0.74,0.72,0.0,,0.5738,0.72,85.82M,88.11M,0.24
2002-03,616.70M,616.70M,401.20M,215.50M,135.10M,-2.10M,,,,,,135.10M,80.40M,,,,-2.10M,,71.90M,23.00M,48.90M,,,,48.90M,50.33M,97.10M,16.70M,80.40M,0.57,0.0,,0.5867,0.57,0.56,0.0,,0.5762,0.56,85.52M,87.89M,0.24
2001-12,627.80M,627.80M,428.70M,199.10M,119.30M,-61.00M,,,,,,119.30M,79.80M,,,,-61.00M,,14.00M,7.50M,6.50M,,,,6.50M,43.10M,101.90M,22.10M,79.80M,-0.19,0.27,,0.2404,0.08,-0.19,0.26,,0.2269,0.07,85.04M,87.80M,0.24
2001-09,676.10M,676.10M,436.80M,239.30M,152.10M,-3.90M,,,,,,152.10M,87.20M,,,,-3.90M,,76.60M,22.10M,54.50M,,,,54.50M,57.27M,105.80M,18.60M,87.20M,0.64,0.0,,0.6725,0.64,0.62,0.0,,0.6517,0.62,85.44M,87.42M,0.24
2001-06,671.60M,671.60M,437.30M,234.30M,146.10M,-5.00M,,,,,,146.10M,88.20M,,,,-5.00M,,75.70M,25.00M,50.70M,,,,50.70M,54.05M,108.10M,19.90M,88.20M,0.59,0.0,,0.629,0.59,0.58,0.0,,0.6183,0.58,85.84M,87.52M,0.23
2001-03,621.60M,621.60M,398.50M,223.10M,148.90M,2.80M,,,,,,148.90M,74.20M,,,,2.80M,,70.40M,23.80M,46.60M,,,,46.60M,44.75M,96.50M,22.30M,74.20M,0.54,0.0,,0.5184,0.54,0.54,0.0,,0.5187,0.54,85.90M,87.11M,0.23
2000-12,666.30M,666.30M,427.00M,239.30M,154.40M,-8.50M,,,,,,154.40M,84.90M,,,,-8.50M,,70.20M,23.30M,46.90M,,,,46.90M,52.58M,103.80M,18.90M,84.90M,0.54,0.0,,0.6052,0.54,0.54,0.0,,0.6052,0.54,87.11M,87.11M,0.23
2000-09,684.40M,684.40M,439.40M,245.00M,162.20M,-1.80M,,,,,,162.20M,82.80M,,,,-1.80M,,73.80M,25.10M,48.70M,,,,48.70M,49.89M,103.10M,20.30M,82.80M,0.56,0.0,,0.5737,0.56,0.56,0.0,,0.5737,0.56,86.53M,86.68M,0.23
2000-06,702.80M,702.80M,447.10M,255.70M,168.10M,-3.70M,,,,,,168.10M,87.60M,,,,-3.70M,,76.70M,26.10M,50.60M,,,,50.60M,53.04M,108.00M,20.40M,87.60M,0.58,0.0,,0.6079,0.58,0.58,0.0,,0.6078,0.58,87.61M,87.83M,0.22
2000-03,695.40M,695.40M,438.00M,257.40M,171.90M,-6.00M,,,,,,171.90M,85.50M,,,,-6.00M,,73.00M,24.80M,48.20M,,,,48.20M,52.16M,109.20M,23.70M,85.50M,0.54,0.0,,0.5845,0.54,0.54,0.0,,0.5844,0.54,88.94M,89.16M,0.22
1999-12,690.60M,690.60M,441.10M,249.50M,180.80M,45.90M,,,,,,200.20M,49.30M,,,,45.90M,,67.90M,23.80M,44.10M,,,,44.10M,14.29M,68.70M,19.40M,49.30M,0.49,0.0,,0.1589,0.49,0.49,0.0,,0.1589,0.49,90.04M,90.04M,0.22
1999-09,692.00M,692.00M,426.00M,266.00M,166.90M,6.20M,,,,,,187.80M,78.20M,,,,6.20M,,77.40M,27.10M,50.30M,,,,50.30M,46.27M,99.10M,20.90M,78.20M,0.56,0.0,,0.5151,0.56,0.56,0.0,,0.5151,0.56,89.82M,89.82M,0.22
1999-06,685.50M,685.50M,433.90M,251.60M,182.20M,-2.40M,,,,,,203.40M,48.20M,,,,-2.40M,,38.10M,12.80M,25.30M,,,,25.30M,26.89M,69.40M,21.20M,48.20M,0.28,0.0,,0.2976,0.28,0.28,0.0,,0.2976,0.28,90.36M,90.36M,0.215
1999-03,683.70M,683.70M,427.30M,256.40M,173.10M,-4.60M,,,,,,197.20M,59.20M,,,,-4.60M,,47.40M,17.10M,30.30M,,,,30.30M,33.24M,83.30M,24.10M,59.20M,0.34,0.0,,0.373,0.34,0.34,0.0,,0.373,0.34,89.12M,89.12M,0.215
1998-12,675.80M,675.80M,434.10M,241.70M,174.80M,-3.50M,,,,,,196.40M,45.30M,,,,-3.50M,,36.10M,10.30M,25.80M,,,,25.80M,28.30M,66.90M,21.60M,45.30M,0.29,0.0,,0.3181,0.29,0.29,0.0,,0.318,0.29,89.12M,89.29M,0.215
1998-09,689.60M,689.60M,433.20M,256.40M,172.70M,-2.70M,,,,,,192.70M,63.70M,,,,-2.70M,,53.60M,20.20M,33.40M,,,,33.40M,35.08M,83.70M,20.00M,63.70M,0.37,0.0,,0.3886,0.37,0.37,0.0,,0.3886,0.37,90.27M,90.27M,0.215
1998-06,691.80M,691.80M,430.60M,261.20M,166.10M,-4.10M,,,,,,184.40M,76.80M,,,,-4.10M,,67.50M,25.30M,42.20M,,,,42.20M,44.76M,95.10M,18.30M,76.80M,0.47,0.0,,0.4985,0.47,0.47,0.0,,0.4985,0.47,89.79M,89.79M,0.2
