,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,CashFlow-Financing(Quarterly),NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,SECFilingLinks,AsOriginallyReported
2005-04,64.44M,,-0.056M,,,24.90M,24.90M,,,,,49.43M,7.759M,-2.05M,-56.08M,,2.876M,-1.644M,0.294M,89.58M,,-13.50M,,-13.50M,,8.893M,,-4.611M,,2005-04,,36.01M,-48.47M,-12.46M,,,,-0.02M,-12.48M,,2005-04,208.51M,281.00M,,2005-04,36.01M,,-48.47M,,,,2005-04,
2005-01,36.27M,,0.138M,,,31.08M,31.08M,,,,,11.73M,-17.59M,-4.739M,-24.74M,0.556M,31.17M,,-5.075M,99.17M,,-17.98M,,-17.98M,,-40.54M,,-58.52M,,2005-01,3.511M,11.68M,0.00,11.68M,,,,,11.18M,,2005-01,156.69M,208.51M,,2005-01,11.68M,,0.00,,,,2005-01,
2004-10,25.88M,,-0.271M,,,24.03M,24.03M,,,,,-62.21M,-30.57M,0.959M,39.82M,-0.01M,2.805M,,-49.20M,0.434M,,-14.06M,,-14.06M,,4.017M,,-10.04M,,2004-10,-0.678M,11.04M,-24.64M,-13.61M,,,,,-14.29M,,2004-10,180.58M,156.69M,,2004-10,11.04M,,-24.64M,,,,2004-10,
2004-07,5.119M,,0.658M,,,24.07M,24.07M,,,,,-51.65M,-32.19M,-0.039M,8.583M,-1.022M,17.58M,,-58.74M,-28.89M,,-16.63M,,-16.63M,,26.17M,,9.539M,,2004-07,-1.35M,4.606M,,4.606M,,,,,3.256M,,2004-07,196.68M,180.58M,,2004-07,4.606M,,,,,,2004-07,
2004-04,21.35M,,-0.113M,,,23.41M,23.41M,,,,,-8.181M,-0.558M,-1.75M,29.28M,0.476M,-2.425M,,16.84M,61.49M,,-18.60M,,-18.60M,,-74.33M,,-92.93M,,2004-04,-1.483M,15.18M,,15.18M,,,,,13.70M,,2004-04,214.42M,196.68M,,2004-04,15.18M,,,,,,2004-04,
2004-01,24.17M,,7.663M,,,24.28M,24.28M,,,,,-38.29M,26.58M,0.815M,-56.97M,-0.998M,-43.33M,,-112.19M,-0.949M,,-12.36M,,-12.36M,0.00,-8.54M,,-20.90M,,2004-01,296.45M,8.005M,,8.005M,,,,,4.454M,,2004-01,231.81M,214.42M,,2004-01,8.005M,,,,,,2004-01,
2003-10,6.356M,,9.19M,,,22.84M,22.84M,,,,,33.84M,-38.89M,0.141M,-40.56M,0.438M,-1.967M,,-47.00M,-8.615M,,-23.38M,,-23.38M,-71.30M,352.64M,,257.96M,,2003-10,-301.69M,9.868M,,9.868M,,,,,-291.82M,,2003-10,274.30M,231.81M,,2003-10,9.868M,,,,,,2003-10,
2003-07,24.15M,,0.884M,,,19.61M,19.61M,,,,,-35.35M,-52.07M,2.531M,47.73M,-0.892M,12.22M,,-25.83M,18.81M,,-66.27M,,-66.27M,,32.31M,,-33.96M,,2003-07,-1.39M,12.04M,,12.04M,,,,,10.65M,,2003-07,278.80M,274.30M,,2003-07,12.04M,,,,,,2003-07,
2003-04,19.75M,,0.467M,,,15.96M,15.96M,,,,,-1.561M,-20.74M,-6.185M,93.31M,-2.03M,-58.54M,,4.256M,40.43M,,-25.59M,,-25.59M,,-89.47M,,-115.06M,,2003-04,-1.414M,7.846M,,7.846M,,,,,6.432M,,2003-04,346.99M,278.80M,,2003-04,7.846M,,,,,,2003-04,
2003-01,50.94M,,-0.188M,,,15.15M,15.15M,29.89M,,,,-4.392M,60.00M,39.01M,-29.46M,-0.392M,-36.22M,,28.54M,124.32M,,-9.94M,,-9.94M,0.00,-89.54M,0.00,-99.48M,,2003-01,-1.364M,0.98M,,0.98M,,,,0.00,-0.384M,,2003-01,322.54M,346.99M,,2003-01,0.98M,,,,,,2003-01,
2002-10,-48.64M,,40.08M,,,16.17M,16.17M,0.00,,,,-17.00M,80.31M,-0.134M,5.194M,-0.174M,15.46M,,83.65M,91.26M,,-4.159M,-149.99M,-154.14M,-3.901M,139.79M,0.00,-18.26M,,2002-10,-1.613M,4.326M,,4.326M,,,,0.00,2.713M,,2002-10,246.82M,322.54M,,2002-10,4.326M,,,,,,2002-10,
2002-07,5.254M,,3.841M,,,14.07M,14.07M,0.00,,,,16.64M,-31.42M,-1.37M,-24.96M,-0.448M,19.07M,,-22.50M,0.668M,,-27.83M,149.99M,122.15M,3.98M,-203.98M,7.00M,-70.85M,,2002-07,-1.088M,5.20M,,5.20M,,,,5.734M,9.846M,,2002-07,307.15M,246.82M,,2002-07,5.20M,,,,,,2002-07,
2002-04,83.24M,,7.11M,,,12.83M,12.83M,-0.12M,,,,-4.317M,-40.05M,-3.804M,-23.66M,1.077M,16.46M,,-54.29M,48.78M,,-21.19M,,-21.19M,-3.98M,-63.56M,,-88.74M,,2002-04,-0.87M,14.98M,,14.98M,,,,,14.11M,,2002-04,333.00M,307.15M,,2002-04,14.98M,,,,,,2002-04,
2002-01,76.03M,,30.63M,14.76M,0.00,14.76M,14.76M,-41.32M,,,,-29.68M,-91.69M,-9.934M,105.50M,-2.595M,-4.156M,,-32.55M,47.55M,,-84.26M,,-84.26M,64.11M,-140.78M,0.05M,-160.89M,,2002-01,-1.123M,48.97M,0.075M,49.04M,,,,-0.075M,47.85M,,2002-01,398.49M,333.00M,,2002-01,48.97M,,0.075M,,,,2002-01,
2001-10,41.32M,,28.14M,11.92M,0.00,11.92M,11.92M,-2.291M,,,,-5.119M,-31.00M,12.58M,20.22M,-8.772M,-47.53M,,-59.62M,19.46M,,42.86M,,42.86M,-64.11M,-316.81M,21.00M,-317.06M,,2001-10,-0.733M,9.743M,0.00,9.743M,,,,5.997M,15.01M,,2001-10,681.08M,398.49M,,2001-10,9.743M,,0.00,,,,2001-10,
2001-07,32.93M,,16.56M,10.62M,0.002M,10.62M,10.62M,-12.46M,,,,-27.18M,-1.735M,4.31M,16.69M,-2.671M,21.04M,,10.46M,58.12M,,-87.94M,,-87.94M,63.61M,,0.00,-24.33M,,2001-07,-0.351M,15.15M,-0.057M,15.09M,,,,5.249M,19.99M,,2001-07,627.30M,681.08M,,2001-07,15.15M,,-0.057M,,,,2001-07,
2001-04,26.65M,,15.40M,6.195M,0.004M,6.199M,6.199M,4.154M,,,,18.17M,0.928M,-44.70M,-0.692M,0.081M,9.484M,,-16.73M,35.68M,,-31.74M,,-31.74M,-63.61M,,-3.55M,-98.90M,,2001-04,-0.248M,16.51M,-0.018M,16.50M,,,,,16.25M,,2001-04,674.28M,627.30M,,2001-04,16.51M,,-0.018M,,,,2001-04,
2001-01,29.59M,,9.307M,,,5.012M,5.012M,,,,,-1.545M,3.647M,,-7.517M,36.39M,197.83M,,198.82M,215.54M,,-14.74M,,-14.74M,,,,-39.24M,,2001-01,-0.363M,3.455M,,3.455M,,,,-200.00M,-196.91M,,2001-01,694.88M,674.28M,,2001-01,3.455M,,,,,,2001-01,
2000-10,28.07M,,23.16M,,,4.38M,4.38M,,,,,-19.26M,-25.06M,,10.83M,-14.83M,10.40M,,-37.92M,17.68M,,-6.534M,,-6.534M,,,,-6.534M,,2000-10,290.39M,104.14M,,104.14M,,,,0.00,394.53M,,2000-10,289.20M,694.88M,,2000-10,104.14M,,,,,,2000-10,
2000-07,22.52M,,17.67M,,,3.343M,3.343M,,,,35.22M,-13.09M,-48.11M,,7.11M,-9.701M,9.109M,,-54.69M,24.07M,,-7.609M,,-7.609M,,,,-7.609M,,2000-07,-0.471M,3.418M,,3.418M,,,,0.00,2.947M,,2000-07,269.80M,289.20M,,2000-07,3.418M,,,,,,2000-07,
2000-04,18.29M,,13.98M,,,3.101M,3.101M,,,,-35.22M,-4.774M,17.61M,,3.367M,-10.51M,4.792M,,10.48M,10.63M,,-7.451M,,-7.451M,,,,-7.451M,,2000-04,-0.501M,5.566M,,5.566M,,,,200.00M,205.06M,,2000-04,61.56M,269.80M,,2000-04,5.566M,,,,,,2000-04,
2000-01,17.46M,,11.12M,,,2.968M,2.968M,,,,,-13.24M,-26.74M,,13.58M,7.385M,2.894M,,-21.29M,5.271M,,-1.689M,,-1.689M,,,,-1.689M,,2000-01,0.003M,2.718M,,2.718M,,,,,2.721M,,2000-01,55.20M,61.56M,,2000-01,2.718M,,,,,,2000-01,
1999-10,10.60M,,1.40M,,,2.60M,2.60M,,,,-0.10M,-6.20M,-3.30M,,9.00M,-1.30M,-2.20M,,-4.00M,10.50M,,-5.20M,,-5.20M,,,,-5.20M,,1999-10,-0.70M,3.90M,,3.90M,,,,,3.20M,,1999-10,46.80M,55.20M,,1999-10,3.90M,,,,,,1999-10,
1999-07,6.639M,,0.457M,,,2.383M,2.383M,,,,0.10M,-23.43M,6.77M,,7.221M,-3.519M,0.123M,,-12.84M,-3.26M,,-2.217M,,-2.217M,,,,-2.217M,,1999-07,-0.459M,0.87M,,0.87M,,,,,0.411M,,1999-07,51.82M,46.80M,,1999-07,0.87M,,,,,,1999-07,
1999-04,6.261M,,0.043M,,,1.717M,1.717M,,,,,-13.57M,13.43M,,-8.221M,-0.581M,4.277M,,-4.661M,3.36M,,-2.483M,,-2.483M,,,,-2.483M,,1999-04,-5.241M,5.93M,,5.93M,,,,,0.689M,,1999-04,50.26M,51.82M,,1999-04,5.93M,,,,,,1999-04,
