,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,LongTermProvisions-Legal&Other,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,Non-CurrentDeferredLiabilities,PensionLiability,DerivativeContractLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-07,719.14M,938.09M,1.657B,679.42M,679.42M,27.55M,176.10M,228.63M,432.28M,45.29M,,,,2.814B,0.00,208.91M,118.34M,335.10M,280.06M,9.99M,,952.39M,-352.91M,599.48M,365.80M,145.15M,510.95M,,,35.40M,,2008-07,438.89M,,,438.89M,685.30M,1.124B,,,,,,,10.82M,10.82M,,1.135B,,,,,88.96M,,,73.16M,162.12M,2008-07,0.625M,2.050B,1.777B,1.164B,-0.966M,2.663B,,2008-07,,
2008-04,803.31M,818.33M,1.622B,651.80M,651.80M,31.31M,162.39M,226.43M,420.13M,55.43M,,,,2.749B,,,,,,,,915.77M,-393.71M,522.06M,371.02M,125.00M,496.02M,,,40.39M,,2008-04,427.86M,,,427.86M,433.99M,861.84M,,,,,,,14.71M,14.71M,,876.55M,,,,,114.60M,,,79.13M,193.73M,2008-04,0.623M,2.171B,1.728B,1.164B,1.549M,2.737B,,2008-04,,
2008-01,726.97M,1.083B,1.809B,666.49M,666.49M,31.30M,107.84M,219.39M,358.52M,43.07M,,11.27M,,2.889B,0.00,38.44M,107.46M,352.64M,246.72M,8.258M,,753.52M,-393.71M,359.81M,354.06M,106.93M,460.98M,,,38.05M,,2008-01,492.10M,,,492.10M,469.21M,961.30M,,,,,,,5.856M,5.856M,,967.16M,,,,,86.90M,,,75.70M,162.60M,2008-01,0.619M,1.994B,1.655B,1.040B,8.034M,2.618B,,2008-01,,
2007-10,1.057B,796.25M,1.853B,552.41M,552.41M,40.02M,121.36M,144.76M,306.14M,44.55M,,,,2.756B,,,,,,,,631.62M,-308.67M,322.95M,292.93M,78.17M,371.11M,,,25.16M,,2007-10,449.79M,,,449.79M,402.99M,852.78M,,,,,,,3.663M,3.663M,,856.44M,,,,,59.90M,,,81.00M,140.90M,2007-10,0.615M,1.737B,1.598B,861.55M,3.35M,2.478B,,2007-10,,
2007-07,914.74M,656.82M,1.572B,508.44M,508.44M,33.20M,65.15M,177.96M,276.30M,41.10M,,,,2.397B,,,,,,,,573.50M,-308.67M,264.83M,293.38M,54.74M,348.12M,,,25.91M,,2007-07,323.38M,,,323.38M,353.83M,677.21M,,,,,,,3.584M,3.584M,,680.80M,,,,,31.90M,,,63.29M,95.19M,2007-07,0.402M,1.502B,1.493B,736.51M,1.586M,2.260B,,2007-07,,
2007-04,678.95M,628.07M,1.307B,471.52M,471.52M,44.34M,121.93M,166.36M,332.64M,43.06M,,,,2.154B,,,,,,,,579.86M,-308.67M,271.19M,291.08M,50.91M,341.99M,,,33.45M,,2007-04,334.05M,,,334.05M,285.44M,619.48M,,,,,,,4.386M,4.386M,,623.87M,,,,,,,,,81.11M,2007-04,0.393M,1.329B,1.378B,612.12M,1.284M,2.096B,,2007-04,,
2007-01,544.41M,573.44M,1.118B,518.68M,518.68M,56.26M,111.06M,187.36M,354.68M,31.14M,,9.419M,,2.032B,0.00,1.23M,92.78M,273.35M,195.56M,6.58M,,569.50M,-308.67M,260.83M,301.42M,45.51M,346.94M,,7.38M,28.35M,,2007-01,272.08M,,,272.08M,365.55M,637.63M,,,,,,,1.18M,1.18M,,638.81M,,,,,,,,,29.54M,2007-01,0.388M,1.197B,1.296B,487.12M,1.436M,2.007B,,2007-01,,
2006-10,741.75M,431.85M,1.174B,439.25M,439.25M,47.60M,127.64M,198.32M,373.56M,30.19M,,2.682M,6.608M,2.026B,,,,,,,,502.79M,-282.25M,220.54M,203.68M,26.54M,230.22M,,12.40M,42.10M,,2006-10,324.40M,,,324.40M,333.03M,657.43M,,0.34M,,0.34M,,0.34M,,,,657.77M,,,,,,,,,27.67M,2006-10,0.38M,1.033B,1.201B,387.12M,-1.325M,1.846B,,2006-10,,
2006-07,388.42M,462.74M,851.17M,459.64M,459.64M,29.09M,146.57M,203.01M,378.66M,25.33M,,2.682M,8.816M,1.726B,,,,,,,,459.39M,-282.25M,177.14M,203.66M,29.43M,233.08M,,9.784M,37.53M,,2006-07,230.92M,,,230.92M,272.90M,503.82M,,,,,,,1.229M,1.229M,,505.04M,,,,,,,,,24.24M,2006-07,0.373M,926.55M,1.117B,387.12M,-2.374M,1.655B,,2006-07,,
2006-04,487.76M,467.29M,955.05M,391.27M,391.27M,29.51M,120.84M,196.01M,346.37M,28.54M,,1.393M,,1.723B,,,,,,,,462.46M,-282.25M,180.21M,204.60M,22.99M,227.59M,,,31.03M,,2006-04,298.15M,,,298.15M,229.43M,527.58M,,,,,,,6.805M,6.805M,,534.39M,,,,,8.26M,,,10.16M,18.42M,2006-04,0.371M,965.78M,907.10M,262.14M,-2.451M,1.609B,,2006-04,,
2006-01,551.76M,398.42M,950.17M,318.19M,318.19M,25.74M,107.85M,121.28M,254.87M,24.39M,,2.682M,,1.550B,0.00,,88.38M,216.15M,153.62M,2.26M,,460.40M,-282.25M,178.15M,145.32M,15.42M,160.74M,,38.02M,27.48M,,2006-01,179.40M,,,179.40M,259.05M,438.44M,,,,,,,0.217M,0.217M,,438.66M,,,,,,,,,20.04M,2006-01,0.36M,747.73M,965.60M,212.14M,-5.561M,1.496B,,2006-01,,
2005-10,364.31M,421.87M,786.18M,351.74M,351.74M,29.09M,100.12M,155.63M,284.85M,23.95M,,3.265M,,1.450B,0.00,,85.87M,214.01M,147.86M,4.20M,,451.95M,-273.44M,178.50M,,152.31M,152.31M,,,24.71M,,2005-10,179.78M,,,179.78M,247.39M,427.17M,,,,,,,,,,427.17M,,,,,20.75M,,,8.146M,28.90M,2005-10,0.178M,777.05M,740.66M,162.14M,-6.308M,1.349B,,2005-10,,
2005-07,242.17M,475.38M,717.55M,355.39M,355.39M,22.85M,113.98M,164.13M,300.96M,24.76M,,3.265M,,1.402B,0.00,,81.99M,205.87M,142.23M,3.138M,,433.23M,-254.28M,178.95M,,131.38M,131.38M,,,15.98M,,2005-07,221.05M,,,221.05M,198.87M,419.91M,,,,,,,5.584M,5.584M,,425.50M,,,,,20.75M,,,6.733M,27.49M,2005-07,0.174M,711.80M,691.91M,122.14M,-6.508M,1.275B,,2005-07,,
2005-04,281.00M,450.51M,731.51M,255.25M,255.25M,30.84M,102.81M,174.11M,307.76M,21.87M,,3.265M,,1.320B,0.00,,80.38M,197.33M,125.84M,1.139M,,404.68M,-235.45M,169.24M,,135.52M,135.52M,,,10.68M,,2005-04,182.15M,,,182.15M,193.03M,375.18M,,,,0.345M,,0.345M,,,,375.52M,,8.233M,,8.233M,20.75M,,,,28.99M,2005-04,0.173M,636.96M,672.10M,72.10M,-6.546M,1.231B,,2005-04,,
2005-01,208.51M,461.53M,670.04M,296.28M,296.28M,23.22M,130.21M,162.08M,315.52M,19.82M,,3.265M,,1.305B,0.00,,79.16M,188.09M,125.31M,3.264M,,395.82M,-216.87M,178.96M,,135.62M,135.62M,,,9.034M,,2005-01,238.22M,,,238.22M,170.58M,408.80M,,,,0.856M,,0.856M,11.50M,11.50M,,421.16M,,,,,20.75M,,,8.358M,29.11M,2005-01,0.169M,572.51M,636.62M,24.64M,-6.389M,1.178B,,2005-01,,
2004-10,156.69M,431.16M,587.85M,307.41M,307.41M,39.59M,97.95M,160.01M,297.55M,15.08M,,3.261M,,1.211B,0.00,,77.28M,305.02M,,3.418M,,385.72M,-203.52M,182.20M,,138.18M,138.18M,,,8.132M,,2004-10,262.96M,,,262.96M,150.83M,413.79M,,,,1.36M,,1.36M,,,,415.15M,,,,,8.609M,,,7.483M,16.09M,2004-10,0.168M,524.50M,613.33M,24.64M,-4.944M,1.108B,,2004-10,,
2004-07,180.58M,432.74M,613.32M,246.40M,246.40M,45.57M,56.99M,164.42M,266.98M,16.33M,,3.261M,,1.146B,0.00,,69.52M,173.76M,120.34M,4.037M,,367.65M,-184.66M,182.99M,,143.33M,143.33M,,,8.277M,,2004-07,223.20M,,,223.20M,148.80M,372.00M,,,,2.038M,,2.038M,,,,374.04M,,,,,8.609M,,,3.082M,11.69M,2004-07,0.167M,498.63M,603.01M,,-6.645M,1.095B,,2004-07,,
2004-04,196.68M,460.63M,657.30M,205.31M,205.31M,33.24M,64.99M,136.57M,234.80M,16.29M,,3.261M,,1.117B,0.00,,59.15M,165.91M,118.52M,7.482M,,351.06M,-166.02M,185.04M,,148.94M,148.94M,,,7.255M,,2004-04,214.62M,,,214.62M,140.89M,355.51M,,,,3.043M,,3.043M,,,,358.55M,,,0.345M,0.345M,8.609M,,,4.582M,13.54M,2004-04,0.166M,493.51M,598.66M,,-6.23M,1.086B,,2004-04,,
2004-01,214.42M,389.62M,604.04M,196.63M,196.63M,22.13M,44.52M,167.58M,234.24M,14.54M,,3.261M,,1.053B,0.00,,58.65M,161.46M,116.15M,1.62M,,337.88M,-147.85M,190.03M,,148.87M,148.87M,,,7.731M,,2004-01,185.34M,,,185.34M,144.76M,330.10M,,,,4.015M,,4.015M,,,,334.11M,,,0.856M,0.856M,8.609M,,,4.582M,14.05M,2004-01,0.164M,472.16M,583.48M,,-4.618M,1.051B,,2004-01,,
2003-10,231.81M,380.31M,612.13M,157.84M,157.84M,32.48M,73.17M,155.17M,260.82M,27.32M,,,,1.058B,,,,,,,,290.16M,-93.93M,196.23M,,153.51M,153.51M,,44.20M,6.733M,,2003-10,242.31M,,,242.31M,187.40M,429.71M,,,,5.788M,,5.788M,,,,435.50M,,,2.634M,2.634M,6.38M,,,4.582M,13.60M,2003-10,0.162M,447.99M,567.19M,,-5.658M,1.010B,,2003-10,,
2003-07,274.30M,737.29M,1.012B,190.21M,190.21M,29.19M,28.37M,160.30M,217.86M,26.38M,,,,1.446B,,,,,,,,292.88M,-93.93M,198.94M,,79.09M,79.09M,,,56.04M,,2003-07,282.40M,,,282.40M,183.20M,465.59M,,,,6.528M,,6.528M,,,4.117M,476.24M,,300.00M,3.522M,303.52M,,,,4.50M,308.02M,2003-07,0.161M,441.64M,551.07M,,2.989M,995.85M,,2003-07,,
2003-04,278.80M,771.54M,1.050B,155.75M,155.75M,23.62M,35.15M,107.01M,165.78M,28.92M,,,,1.401B,,,,,,,,242.84M,-93.93M,148.90M,,82.35M,82.35M,,,55.49M,,2003-04,234.44M,,,234.44M,175.34M,409.78M,,,,6.203M,,6.203M,,,0.525M,416.51M,,300.00M,4.194M,304.19M,,,,6.00M,310.19M,2003-04,0.159M,417.49M,539.03M,,4.154M,960.83M,,2003-04,,
2003-01,346.99M,681.42M,1.028B,154.50M,154.50M,17.51M,13.18M,114.36M,145.05M,23.64M,,,,1.352B,0.00,,54.42M,121.80M,48.01M,4.862M,,229.08M,-93.93M,135.15M,,76.47M,76.47M,,43.32M,10.47M,,2003-01,141.13M,,,141.13M,228.47M,369.60M,,,,5.676M,,5.676M,,,4.176M,379.45M,,300.00M,4.88M,304.88M,,,,,304.88M,2003-01,0.158M,397.74M,531.03M,,3.76M,932.69M,,2003-01,,
2002-10,322.54M,589.04M,911.58M,149.86M,149.86M,10.04M,19.68M,175.32M,205.04M,79.82M,,,,1.346B,,,,,,,,189.22M,-50.44M,138.78M,,78.16M,78.16M,,,66.46M,,2002-10,170.59M,,,170.59M,203.83M,374.42M,,,,5.58M,,5.58M,63.50M,63.50M,0.584M,444.08M,,300.00M,6.34M,306.34M,,,,,306.34M,2002-10,0.157M,346.80M,529.99M,,2.326M,879.28M,,2002-10,,
2002-07,246.82M,579.60M,826.41M,133.04M,133.04M,23.69M,30.70M,230.95M,285.35M,79.68M,,,,1.324B,,,,,,,,194.02M,-50.44M,143.58M,80.46M,,80.46M,,56.04M,10.59M,,2002-07,165.40M,,,165.40M,186.16M,351.55M,,,,5.607M,,5.607M,62.42M,62.42M,4.117M,423.70M,,300.00M,7.926M,307.93M,,,,,307.93M,2002-07,0.153M,395.44M,485.76M,,2.179M,883.53M,,2002-07,,
2002-04,307.15M,521.25M,828.40M,151.43M,151.43M,29.78M,33.77M,190.37M,253.93M,78.31M,7.00M,,,1.319B,,,,,,,,181.71M,-50.44M,131.27M,82.86M,,82.86M,,56.04M,10.49M,,2002-04,190.36M,,,190.36M,181.93M,372.29M,,,,3.944M,,3.944M,49.37M,49.37M,0.528M,426.13M,,300.00M,4.937M,304.94M,,,,,304.94M,2002-04,0.151M,390.18M,478.48M,,-0.166M,868.65M,,2002-04,,
2002-01,333.00M,458.38M,791.38M,147.35M,147.35M,13.37M,77.13M,123.38M,213.88M,74.51M,7.00M,,,1.234B,0.00,,36.73M,45.21M,73.89M,14.74M,,170.57M,-50.44M,120.13M,81.12M,,81.12M,,55.92M,11.90M,,2002-01,214.02M,,,214.02M,141.21M,355.23M,,,,3.896M,,3.896M,70.19M,70.19M,4.176M,433.49M,,300.00M,5.861M,305.86M,,,,,305.86M,2002-01,0.15M,306.94M,456.62M,,0.108M,763.82M,,2002-01,,
2001-10,398.49M,318.67M,717.16M,117.66M,117.66M,6.471M,44.05M,69.97M,120.49M,9.536M,7.05M,35.03M,,1.007B,,,,,,,,137.66M,-28.96M,108.70M,,85.21M,85.21M,,35.30M,11.21M,,2001-10,108.95M,,,108.95M,73.62M,182.58M,,,,4.014M,,4.014M,143.18M,143.18M,,329.77M,,300.00M,6.941M,306.94M,,,,,306.94M,2001-10,0.072M,232.73M,377.02M,,0.818M,610.64M,,2001-10,,
2001-07,681.08M,,681.08M,112.85M,112.85M,6.927M,21.41M,61.27M,89.61M,12.24M,28.05M,41.91M,,965.73M,,,,,,,,123.83M,-28.96M,94.86M,,80.97M,80.97M,,36.02M,11.68M,,2001-07,88.74M,,,88.74M,69.40M,158.13M,,,,2.019M,,2.019M,,,,160.15M,,300.00M,3.672M,303.67M,,,,197.86M,501.54M,2001-07,0.072M,188.07M,339.43M,,,527.57M,,2001-07,,
2001-04,627.30M,,627.30M,86.63M,86.63M,13.51M,18.13M,55.13M,86.77M,11.17M,28.05M,40.73M,,880.65M,0.00,74.33M,,,,,,74.33M,,74.33M,86.23M,,86.23M,,30.05M,10.51M,,2001-04,72.05M,,,72.05M,45.70M,117.75M,,,,0.429M,,0.429M,,,,118.18M,,300.00M,0.307M,300.31M,,,,200.00M,500.31M,2001-04,0.07M,154.49M,308.74M,,-0.002M,463.30M,,2001-04,,
2001-01,674.28M,,674.28M,104.99M,104.99M,,,,90.38M,8.355M,24.50M,28.39M,,930.88M,0.00,,2.11M,15.22M,50.34M,8.578M,,76.24M,-28.96M,47.28M,23.80M,,23.80M,,4.034M,10.91M,,2001-01,72.30M,,,72.30M,32.23M,104.53M,,,,0.588M,,0.588M,200.00M,200.00M,4.295M,309.42M,,300.00M,0.378M,300.38M,,,,,300.38M,2001-01,0.137M,130.02M,276.96M,,-0.006M,407.11M,,2001-01,,
2000-10,694.88M,,694.88M,,104.35M,,,,93.19M,,,,33.31M,925.74M,,,,,,,,62.01M,-24.59M,37.42M,,,,,,20.18M,,2000-10,86.72M,,,86.72M,,86.72M,,,,0.685M,,0.685M,,,33.83M,121.23M,,300.64M,,300.64M,,,,200.00M,500.64M,2000-10,0.068M,97.56M,263.86M,,-0.015M,361.47M,,2000-10,,
2000-07,289.20M,,289.20M,,85.09M,,,,68.14M,,,,24.50M,466.94M,,,,,,,,56.16M,-21.26M,34.91M,,,,,,5.339M,,2000-07,75.89M,,,75.89M,,75.89M,,,,1.104M,,1.104M,,,23.43M,100.42M,,0.672M,,0.672M,,,,200.00M,200.67M,2000-07,0.065M,69.50M,136.56M,,-0.033M,206.09M,,2000-07,,
2000-04,269.80M,,269.80M,,72.00M,,,,55.24M,,,,16.19M,413.23M,,,,,,,,48.45M,-18.01M,30.44M,,,,,,4.122M,,2000-04,68.53M,,,68.53M,,68.53M,,,,1.55M,,1.55M,,,14.32M,84.40M,,0.947M,,0.947M,,,,200.00M,200.95M,2000-04,0.032M,46.97M,115.51M,,-0.065M,162.45M,,2000-04,,
2000-01,61.56M,,61.56M,,67.22M,,,,37.63M,,,,6.76M,173.18M,,,,,,,,41.29M,-15.40M,25.89M,,,,,,3.189M,,2000-01,64.91M,,,64.91M,,64.91M,,,,1.786M,,1.786M,,,9.529M,76.22M,,1.462M,,1.462M,,,,,1.462M,2000-01,0.062M,28.69M,95.93M,,-0.118M,124.56M,,2000-01,,
1999-10,55.20M,,55.20M,,56.40M,,,,11.70M,,,,4.30M,127.60M,,,,,,,,39.20M,-12.60M,26.60M,,,,,,3.40M,,1999-10,43.00M,,,43.00M,,43.00M,,,,2.00M,,2.00M,,,7.20M,52.20M,,7.00M,,7.00M,,,,,7.00M,1999-10,0.00,14.10M,84.50M,,-0.20M,98.40M,,1999-10,,
1999-07,46.80M,,46.80M,,50.20M,,,,8.40M,,,,2.70M,108.10M,,,,,,,,33.00M,-10.30M,22.70M,,,,,,3.60M,,1999-07,34.80M,,,34.80M,,34.80M,,,,1.80M,,1.80M,,,8.40M,45.00M,,6.90M,,6.90M,,,,,6.90M,1999-07,0.00,3.50M,79.20M,,-0.30M,82.50M,,1999-07,,
1999-04,51.80M,,51.80M,,34.20M,,,,15.20M,,,,2.20M,103.40M,,,,,,,,30.90M,-8.20M,22.70M,,,,,,0.60M,,1999-04,27.50M,,,27.50M,,27.50M,,,,1.90M,,1.90M,,,9.30M,38.70M,,11.30M,,11.30M,,,,,11.30M,1999-04,,-3.20M,,,,76.70M,,1999-04,,
