,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-12,571.04M,571.04M,259.84M,311.20M,19.09M,,-6.597M,,,,87.10M,224.11M,,,-5.555M,,176.51M,89.53M,73.60M,,0.00,-13.38M,9.507M,73.60M,77.56M,295.14M,71.04M,224.11M,0.22,0.0,0.0,0.2337,0.22,0.22,0.0,0.0,0.2335,0.22,289.79M,292.67M,0.0
2002-09,538.74M,538.74M,239.14M,299.60M,16.45M,,0.807M,,,,93.52M,206.08M,,,-1.057M,,163.63M,81.13M,70.96M,,,-11.53M,9.426M,70.96M,70.48M,286.15M,80.07M,206.08M,0.21,0.0,,0.2083,0.21,0.195,0.0,,0.1937,0.195,289.79M,377.75M,0.0
2002-06,408.00M,408.00M,206.92M,201.08M,16.36M,,-9.331M,,,,78.66M,122.41M,,,-11.87M,,61.08M,46.04M,15.04M,,,-5.975M,9.459M,15.04M,20.63M,190.72M,68.31M,122.41M,0.02,0.0,,0.0393,0.02,0.02,0.0,,0.039,0.02,289.40M,294.74M,0.0
2002-03,392.68M,392.68M,235.67M,157.01M,16.41M,,0.036M,,,,69.47M,87.54M,,,-0.786M,,36.92M,28.81M,8.107M,,-3.049M,-5.554M,9.212M,5.058M,8.085M,140.60M,53.05M,87.54M,-0.005,-0.01,0.0,-0.0051,-0.015,-0.005,-0.01,-0.0106,-0.0051,-0.015,288.22M,288.22M,0.0
2001-12,412.28M,412.28M,239.81M,172.48M,13.91M,,-0.623M,,,,79.40M,93.07M,,,-4.815M,,79.52M,29.67M,7.072M,,,-6.917M,9.155M,7.072M,7.463M,159.51M,66.44M,93.07M,-0.01,0.0,,-0.0086,-0.01,-0.01,0.0,,-0.0087,-0.01,287.95M,290.06M,0.0
2001-09,441.24M,441.24M,247.16M,194.08M,14.96M,,-7.915M,,,-1.875M,84.09M,109.99M,,,-6.04M,,53.72M,40.28M,13.43M,,,-8.247M,9.184M,13.43M,18.18M,180.99M,71.00M,109.99M,0.015,0.0,,0.0315,0.015,0.015,0.0,,0.0314,0.015,287.95M,289.32M,0.0
2001-06,538.26M,538.26M,269.16M,269.10M,16.14M,,-0.409M,,,,94.46M,174.63M,,,-0.409M,,117.82M,72.41M,45.42M,,,-15.01M,9.125M,45.42M,45.66M,252.95M,78.32M,174.63M,0.125,0.0,,0.1259,0.125,0.125,0.0,,0.1258,0.125,287.91M,290.46M,0.0
2001-03,447.09M,447.09M,196.50M,250.59M,14.41M,,0.709M,,,,82.54M,168.05M,,,0.709M,,107.72M,60.62M,47.10M,,,-12.60M,9.065M,47.10M,46.68M,236.18M,68.13M,168.05M,0.13,0.0,,0.1285,0.13,0.13,0.0,,0.1285,0.13,287.81M,289.46M,0.0
2000-12,529.83M,529.83M,221.54M,308.30M,14.95M,,-5.017M,,,,103.00M,205.30M,,,-5.017M,,133.37M,66.10M,67.28M,,,-14.85M,9.214M,67.28M,70.29M,293.34M,88.04M,205.30M,0.19,0.0,,0.2003,0.19,0.1878,0.0,,0.198,0.1878,292.39M,296.57M,0.0
2000-09,473.84M,473.84M,278.89M,194.95M,18.73M,,-2.70M,,,,96.55M,98.40M,,,-2.70M,,34.91M,34.75M,0.154M,,,-7.252M,9.346M,0.154M,1.774M,176.22M,77.82M,98.40M,-0.03,0.0,,-0.0246,-0.03,-0.03,0.0,,-0.0246,-0.03,300.18M,300.18M,0.0
2000-06,397.35M,397.35M,253.32M,144.03M,16.52M,,-9.483M,,,,70.85M,73.18M,,,-9.483M,,9.076M,18.25M,-9.176M,,,-4.808M,9.437M,-9.176M,-3.486M,127.51M,54.33M,73.18M,-0.06,0.0,,-0.042,-0.06,-0.06,0.0,,-0.042,-0.06,316.76M,316.76M,0.0
2000-03,467.59M,467.59M,262.04M,205.55M,20.75M,,-2.533M,,,,84.11M,121.44M,,,-2.533M,,59.20M,40.47M,18.73M,,,-9.772M,9.49M,18.73M,20.25M,184.80M,63.36M,121.44M,0.03,0.0,,0.0347,0.03,0.03,0.0,,0.0347,0.03,322.65M,325.09M,0.0
1999-12,527.50M,527.50M,274.20M,253.30M,22.50M,,14.20M,,,,98.50M,154.80M,,,14.20M,,107.00M,60.10M,46.90M,,,-14.10M,9.60M,46.90M,38.38M,230.80M,76.00M,154.80M,0.115,0.0,,0.0893,0.115,0.11,0.0,,0.0849,0.11,331.98M,339.61M,0.0
1999-09,473.70M,473.70M,227.70M,246.00M,15.20M,,-6.70M,,,,89.30M,156.70M,,,-6.70M,,88.90M,53.30M,35.60M,,,-13.10M,8.80M,35.60M,39.62M,230.80M,74.10M,156.70M,0.08,0.0,,0.092,0.08,0.08,0.0,,0.092,0.08,335.00M,335.00M,0.0
1999-06,470.34M,470.34M,245.60M,224.74M,17.30M,,-6.10M,,,,89.70M,135.04M,,,-6.10M,,69.70M,42.20M,27.50M,,,-11.30M,8.60M,27.50M,31.16M,207.44M,72.40M,135.04M,0.06,0.0,,0.0716,0.06,0.06,0.0,,0.0716,0.06,315.00M,315.00M,0.0
1999-03,415.80M,415.80M,192.80M,223.00M,15.70M,,-9.70M,,,,86.40M,136.60M,,,-9.70M,,66.40M,40.00M,26.40M,,,-10.10M,8.70M,26.40M,32.22M,207.30M,70.70M,136.60M,0.055,0.0,,0.0731,0.055,0.055,0.0,,0.0731,0.055,321.82M,321.82M,0.0
1998-12,485.00M,485.00M,205.90M,279.10M,24.60M,,-1.30M,,,,104.60M,174.50M,,,-1.30M,,106.90M,56.10M,50.80M,,,-13.70M,8.70M,50.80M,51.58M,254.50M,80.00M,174.50M,0.12,0.0,,0.1223,0.12,0.12,0.0,,0.1223,0.12,339.57M,339.58M,0.025
1998-09,442.10M,442.10M,207.40M,234.70M,24.50M,,-3.90M,,,,99.60M,135.10M,,,-3.90M,,71.20M,38.60M,32.60M,,,-8.70M,8.80M,32.60M,34.94M,210.20M,75.10M,135.10M,0.07,0.0,,0.0769,0.07,0.07,0.0,,0.0769,0.07,340.00M,340.00M,0.025
1998-06,433.90M,433.90M,215.80M,218.10M,19.10M,,-0.80M,,,,83.10M,135.00M,,,-0.80M,,73.40M,38.70M,34.70M,,,-7.40M,8.90M,34.70M,35.18M,199.00M,64.00M,135.00M,0.07,0.0,,0.0713,0.07,0.07,0.0,,0.0713,0.07,368.57M,368.57M,0.025
