,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2005-12,336.00M,336.00M,3.332B,,3.332B,616.00M,372.00M,559.00M,5.215B,0.0,1.212B,8.063B,10.59B,,949.00M,20.82B,-9.439B,11.38B,2.626B,,2.626B,2.761B,85.00M,159.00M,17.01B,22.22B,1.484B,,1.484B,1.825B,3.309B,,586.00M,,586.00M,,,,3.895B,9.889B,,9.889B,1.414B,1.414B,,828.00M,0.00,1.336B,12.64B,16.53B,4.00M,4.729B,,130.00M,4.863B
2005-09,721.00M,721.00M,3.136B,,3.136B,584.00M,466.00M,315.00M,5.222B,,,,,,,20.69B,-9.413B,11.27B,2.645B,,2.645B,2.641B,89.00M,165.00M,16.81B,22.04B,883.00M,,883.00M,1.948B,2.831B,,576.00M,,576.00M,,,,3.407B,8.702B,,8.702B,1.434B,1.434B,,813.00M,,1.321B,11.46B,14.86B,5.00M,5.113B,1.117B,124.00M,6.359B
2005-06,463.00M,463.00M,3.214B,,3.214B,580.00M,464.00M,370.00M,5.091B,,,,,,,20.34B,-9.16B,11.18B,2.622B,,2.622B,2.553B,92.00M,176.00M,16.63B,21.72B,832.00M,,832.00M,1.833B,2.665B,,560.00M,,560.00M,,,,3.225B,8.80B,,8.80B,1.472B,1.472B,,801.00M,,1.303B,11.58B,14.80B,5.00M,4.901B,1.08B,131.00M,6.117B
2005-03,144.00M,144.00M,3.254B,,3.254B,577.00M,458.00M,484.00M,4.917B,,,,,,,20.22B,-8.888B,11.33B,2.579B,,2.579B,2.564B,96.00M,205.00M,16.77B,21.69B,842.00M,,842.00M,1.879B,2.721B,,486.00M,,486.00M,,,,3.207B,9.372B,,9.372B,1.664B,1.664B,,789.00M,,1.326B,12.36B,15.57B,4.00M,4.566B,612.00M,149.00M,5.331B
2004-12,258.00M,258.00M,3.083B,,3.083B,577.00M,467.00M,673.00M,5.058B,0.0,1.185B,7.981B,10.13B,,677.00M,19.97B,-8.574B,11.40B,2.54B,,2.54B,2.533B,99.00M,214.00M,16.78B,21.84B,1.23B,,1.23B,1.833B,3.063B,,486.00M,,486.00M,,,,3.549B,10.04B,,10.04B,1.748B,1.748B,,809.00M,,1.283B,13.08B,16.62B,4.00M,4.21B,,193.00M,4.407B
2004-09,300.00M,300.00M,2.983B,,2.983B,544.00M,675.00M,290.00M,4.792B,,,,,,,19.60B,-8.308B,11.30B,2.498B,,2.498B,2.439B,,306.00M,16.54B,21.33B,757.00M,,757.00M,1.98B,2.737B,,728.00M,,728.00M,,,,3.465B,7.549B,,7.549B,1.761B,1.761B,,758.00M,,1.28B,10.59B,14.06B,5.00M,6.372B,,138.00M,6.519B
2004-06,120.00M,120.00M,3.113B,,3.113B,541.00M,573.00M,385.00M,4.732B,,,,,,,19.35B,-8.081B,11.26B,2.496B,,2.496B,2.374B,,312.00M,16.45B,21.18B,746.00M,,746.00M,1.677B,2.423B,,710.00M,,710.00M,,,,3.133B,7.961B,,7.961B,1.746B,1.746B,,726.00M,,1.27B,10.98B,14.11B,5.00M,6.183B,,151.00M,6.343B
2004-03,148.00M,148.00M,3.243B,,3.243B,532.00M,564.00M,342.00M,4.829B,,,,,,,18.97B,-7.816B,11.15B,2.499B,,2.499B,2.39B,,340.00M,16.38B,21.21B,809.00M,,809.00M,1.702B,2.511B,,223.00M,,223.00M,,,,2.734B,8.53B,,8.53B,1.718B,1.718B,,713.00M,,1.306B,11.55B,14.29B,5.00M,6.023B,,177.00M,6.21B
2003-12,115.00M,115.00M,3.095B,,3.095B,520.00M,534.00M,558.00M,4.822B,,,,,,,18.68B,-7.62B,11.06B,2.481B,,2.481B,2.317B,,378.00M,16.24B,21.06B,877.00M,,877.00M,1.626B,2.503B,,665.00M,,665.00M,,,,3.168B,8.042B,,8.042B,1.65B,1.65B,,680.00M,,1.314B,11.01B,14.17B,5.00M,6.031B,0.00,168.00M,6.209B
2003-09,182.00M,182.00M,2.924B,,2.924B,491.00M,494.00M,720.00M,4.811B,,,,,,,18.17B,-7.561B,10.61B,2.489B,,2.489B,2.334B,,406.00M,15.84B,20.65B,749.00M,,749.00M,1.613B,2.362B,,502.00M,,502.00M,,,,2.864B,8.278B,,8.278B,1.378B,1.378B,,678.00M,,1.332B,10.99B,13.85B,5.00M,5.99B,0.00,116.00M,6.116B
2003-06,184.00M,184.00M,2.873B,,2.873B,493.00M,640.00M,606.00M,4.796B,,,,,,,17.89B,-7.399B,10.49B,2.501B,,2.501B,2.21B,,469.00M,15.67B,20.47B,765.00M,,765.00M,2.278B,3.043B,,808.00M,,808.00M,,,,3.851B,7.568B,,7.568B,1.128B,1.128B,,672.00M,,1.271B,9.967B,13.82B,5.00M,5.857B,0.00,112.00M,5.98B
2003-03,1.09B,1.09B,2.969B,,2.969B,462.00M,577.00M,328.00M,5.426B,,,,,,,17.21B,-7.287B,9.924B,1.982B,,1.982B,2.086B,,467.00M,14.46B,19.88B,749.00M,,749.00M,2.466B,3.215B,,623.00M,,623.00M,,,,3.838B,7.092B,,7.092B,1.046B,1.046B,,647.00M,,1.221B,9.359B,13.20B,5.00M,5.984B,2.00M,44.00M,6.041B
2002-12,161.00M,161.00M,2.788B,,2.788B,462.00M,568.00M,526.00M,4.505B,,,,,,,16.80B,-7.079B,9.721B,1.994B,,1.994B,2.034B,,487.00M,14.24B,18.74B,809.00M,,809.00M,2.484B,3.293B,,446.00M,,446.00M,,,,3.739B,6.497B,,6.497B,999.00M,999.00M,,611.00M,0.00,1.193B,8.689B,12.43B,5.00M,5.525B,93.00M,73.00M,5.702B
2002-09,138.00M,138.00M,2.685B,34.00M,2.719B,438.00M,,1.214B,4.509B,,,,,,,16.46B,-6.93B,9.526B,2.001B,,2.001B,2.051B,,440.00M,14.02B,18.53B,742.00M,,742.00M,1.715B,2.457B,,427.00M,,427.00M,,,,2.884B,6.933B,,6.933B,,,,598.00M,0.00,2.375B,9.308B,12.19B,5.00M,5.638B,37.00M,51.00M,5.737B
2002-06,51.00M,51.00M,2.639B,,2.639B,434.00M,,1.234B,4.358B,,,,,,,16.06B,-6.728B,9.328B,2.004B,,2.004B,2.079B,,493.00M,13.90B,18.26B,721.00M,,721.00M,1.604B,2.325B,,789.00M,,789.00M,,,,3.114B,6.445B,,6.445B,,,,578.00M,0.00,2.37B,8.815B,11.93B,5.00M,5.447B,301.00M,-4.00M,5.755B
2002-03,62.00M,62.00M,2.658B,,2.658B,425.00M,,1.125B,4.27B,,,,,,,15.53B,-6.488B,9.039B,,,2.056B,2.136B,,454.00M,13.68B,17.96B,771.00M,,771.00M,1.666B,2.437B,,840.00M,,840.00M,,,,3.277B,6.172B,,6.172B,,,,576.00M,400.00M,2.304B,8.876B,12.15B,5.00M,5.191B,,23.00M,5.226B
2001-12,85.00M,85.00M,2.42B,93.00M,2.513B,423.00M,,1.12B,4.141B,,,,,,,15.22B,-6.303B,8.919B,,,2.051B,2.133B,,486.00M,13.59B,17.73B,755.00M,,755.00M,1.622B,2.377B,,807.00M,,807.00M,,,,3.184B,6.553B,,6.553B,,,,563.00M,400.00M,2.268B,9.221B,12.40B,5.00M,4.732B,,18.00M,4.762B
2001-09,74.00M,74.00M,2.398B,333.00M,2.731B,402.00M,,1.034B,4.241B,,,,,,,14.98B,-6.28B,8.704B,,,2.032B,2.106B,,414.00M,13.26B,17.50B,680.00M,,680.00M,1.338B,2.018B,,795.00M,,795.00M,,,,2.813B,6.312B,,6.312B,,,,603.00M,500.00M,2.354B,9.166B,11.98B,5.00M,4.922B,,-19.00M,4.915B
2001-06,124.00M,124.00M,2.364B,73.00M,2.437B,405.00M,,1.413B,4.379B,,,,,,,14.70B,-6.13B,8.565B,,,2.17B,2.36B,,406.00M,13.50B,17.88B,673.00M,,673.00M,2.062B,2.735B,,218.00M,,218.00M,,,,2.953B,6.857B,,6.857B,,,,596.00M,300.00M,2.313B,9.47B,12.42B,5.00M,4.813B,,37.00M,4.861B
2001-03,188.00M,188.00M,2.412B,,2.412B,397.00M,,1.428B,4.425B,,,,,,,14.39B,-5.943B,8.445B,,,2.117B,2.123B,,433.00M,13.12B,17.54B,691.00M,,691.00M,2.168B,2.859B,,230.00M,,230.00M,,,,3.089B,6.426B,,6.426B,,,,583.00M,,2.946B,9.372B,12.46B,5.00M,4.478B,,8.00M,4.499B
2000-12,,,,,,,,,,,,,,,,,,,,,,,,,,17.57B,,,,,,,,,,,,,,,,,,,,572.00M,,,,12.59B,,,,,4.405B
2000-09,180.00M,180.00M,2.044B,158.00M,2.202B,383.00M,,1.184B,3.949B,,,,,,,14.77B,-5.987B,8.785B,,,2.312B,2.072B,,389.00M,13.56B,17.51B,614.00M,,614.00M,2.254B,2.868B,,1.434B,,1.434B,,,,4.302B,5.426B,,5.426B,,,,702.00M,,1.671B,7.097B,11.40B,6.00M,4.763B,591.00M,38.00M,5.406B
2000-06,292.00M,292.00M,2.046B,100.00M,2.146B,389.00M,,1.211B,4.038B,,,,,,,14.82B,-5.984B,8.833B,,,2.341B,2.092B,,388.00M,13.65B,17.69B,603.00M,,603.00M,2.337B,2.94B,,691.00M,,691.00M,,,,3.631B,6.276B,,6.276B,,,,739.00M,,1.667B,7.943B,11.57B,6.00M,4.60B,722.00M,43.00M,5.379B
2000-03,133.00M,133.00M,1.976B,,1.976B,377.00M,,923.00M,3.409B,,,,,,,14.27B,-5.724B,8.549B,,,2.257B,2.123B,,392.00M,13.32B,16.73B,632.00M,,632.00M,1.444B,2.076B,,719.00M,,719.00M,,,,2.795B,5.771B,,5.771B,,,,759.00M,,1.715B,7.486B,10.28B,6.00M,4.883B,732.00M,61.00M,5.69B
1999-12,,,,,,,,,,,,,,,,,,,,,,,,,,16.88B,,,,,,,,,,,,,,,,,,,,763.00M,,,,10.50B,,,,,5.617B
1999-09,124.00M,124.00M,,,2.022B,367.00M,,1.002B,3.515B,,,,,,,13.96B,-5.65B,8.305B,,2.481B,2.481B,,,,13.11B,16.63B,608.00M,,608.00M,,608.00M,,1.01B,,1.01B,,,1.531B,3.149B,5.522B,,5.522B,,,,768.00M,,,5.522B,10.35B,6.00M,4.518B,934.00M,,5.509B
1999-06,83.00M,83.00M,,,1.99B,370.00M,,941.00M,3.384B,,,,,,,13.76B,-5.536B,8.228B,,2.523B,2.523B,,,,13.27B,16.65B,629.00M,,629.00M,,629.00M,,942.00M,,942.00M,,,1.456B,3.027B,5.718B,,5.718B,,,,768.00M,,,5.718B,10.45B,,4.391B,,,5.434B
1999-03,586.00M,586.00M,,,2.25B,419.00M,,979.00M,4.234B,,,,,,,15.41B,-6.261B,9.149B,,2.815B,2.815B,,,,14.56B,18.80B,748.00M,,748.00M,,748.00M,,763.00M,,763.00M,,,1.681B,3.192B,5.566B,,5.566B,,,,772.00M,,,5.566B,10.55B,,4.295B,,,7.479B
1998-12,,,,,,,,,,,,,,,,,,,,,,,,,,19.43B,,,,,,,,,,,,,,,,,,,,765.00M,0.00,,0.00,11.08B,,,,,7.581B
1998-09,175.00M,175.00M,,,2.357B,444.00M,,1.121B,4.097B,,,,,,,16.01B,-6.28B,9.726B,,3.044B,3.044B,,,,15.91B,20.01B,745.00M,,745.00M,,745.00M,,1.471B,,1.471B,,,1.977B,4.193B,5.371B,,5.371B,,,,829.00M,,,5.371B,11.47B,,4.041B,,,7.705B
1998-06,25.00M,25.00M,,,2.427B,462.00M,,1.132B,4.046B,,,,,,,16.81B,-6.442B,10.37B,,3.405B,3.405B,,,,17.00B,21.05B,727.00M,,727.00M,,727.00M,,2.669B,,2.669B,,,1.623B,5.019B,5.693B,,5.693B,,,,830.00M,,,5.693B,12.64B,,3.908B,,,7.58B
