,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-09,4.929B,4.929B,,,,1.999B,253.00M,0.00,,,,,2.197B,4.449B,480.00M,,,,,335.00M,135.00M,234.00M,,,-34.00M,200.00M,200.00M,733.00M,253.00M,480.00M,0.39,0.0,,,0.39,0.39,0.38,0.0,,,0.38,0.38,513.99M,527.26M,
2002-06,4.903B,4.903B,,,,1.96B,255.00M,0.00,,,,,1.957B,4.172B,731.00M,,,,,581.00M,231.00M,392.00M,,,-42.00M,350.00M,350.00M,986.00M,255.00M,731.00M,0.68,0.0,,,0.68,0.68,0.66,0.0,,,0.66,0.66,513.18M,528.07M,
2002-03,4.873B,4.873B,,,,1.93B,,,,,,,1.917B,4.091B,782.00M,,,,,626.00M,241.00M,420.00M,,,-35.00M,385.00M,385.00M,1.026B,244.00M,782.00M,0.76,0.0,,,0.76,0.76,0.74,0.0,,,0.74,0.74,508.41M,521.59M,
2001-12,4.538B,4.538B,,,,1.867B,,,,,,,2.113B,4.219B,319.00M,,,,,109.00M,51.00M,-34.00M,,,-27.00M,41.00M,58.00M,593.00M,274.00M,319.00M,0.12,-0.03,,,0.12,0.09,0.12,-0.03,,,0.12,0.09,510.47M,518.06M,
2001-09,4.438B,4.438B,,,,1.808B,255.00M,17.00M,,,,,1.765B,3.845B,593.00M,,,,,423.00M,167.00M,289.00M,,,-33.00M,256.00M,256.00M,865.00M,255.00M,593.00M,0.5,0.0,,,0.5,0.5,0.48,0.0,,,0.48,0.48,513.87M,529.49M,
2001-06,4.476B,4.476B,,,,1.822B,262.00M,18.00M,,,,,1.775B,3.877B,599.00M,,,,,431.00M,168.00M,292.00M,,,-29.00M,263.00M,263.00M,879.00M,262.00M,599.00M,0.49,0.0,,,0.49,0.49,0.48,0.0,,,0.48,0.48,531.62M,545.82M,
2001-03,4.501B,4.501B,,,,1.782B,,,-14.00M,,,,1.734B,3.773B,728.00M,,,-14.00M,,542.00M,216.00M,356.00M,,,-30.00M,326.00M,334.42M,985.00M,257.00M,728.00M,0.6,0.0,,,0.6156,0.6,0.59,0.0,,,0.6052,0.59,541.38M,554.82M,
2000-12,4.173B,4.173B,,,,,,,,,,,,-11.44B,15.61B,,,,,101.00M,,-71.00M,,,165.00M,94.00M,94.00M,15.87B,255.00M,15.61B,,,,,0.2203,0.2203,,,,,0.2148,0.2148,426.66M,437.57M,
2000-09,4.093B,4.093B,,,,1.65B,,,-16.00M,,,,1.687B,3.611B,482.00M,,,-16.00M,,293.00M,119.00M,200.00M,,,-26.00M,174.00M,183.60M,756.00M,257.00M,482.00M,0.31,0.0,,,0.3273,0.31,0.31,0.0,,,0.3269,0.31,553.64M,566.47M,
2000-06,4.133B,4.133B,,,,1.645B,,,-12.00M,,,,2.416B,4.326B,-193.00M,,,-12.00M,,-711.00M,-98.00M,-301.00M,,,29.00M,-272.00M,-261.65M,72.00M,265.00M,-193.00M,-0.49,0.0,,,-0.4714,-0.49,-0.49,0.0,,,-0.4714,-0.49,554.76M,554.76M,
2000-03,4.271B,4.271B,,,,1.661B,,,-13.00M,,,,1.704B,3.621B,650.00M,,,-13.00M,,492.00M,196.00M,322.00M,,,-26.00M,296.00M,303.82M,906.00M,256.00M,650.00M,0.53,0.0,,,0.5439,0.53,0.52,0.0,,,0.5336,0.52,563.24M,573.05M,
1999-12,3.942B,3.942B,,,,,,,,,,,,-6.72B,15.11B,,,,,203.00M,,117.00M,,,16.00M,174.00M,174.00M,17.04B,1.93B,15.11B,0.17,0.0,,,0.17,0.17,0.16,0.0,,,0.16,0.16,855.49M,879.30M,
1999-09,3.899B,3.899B,1.351B,2.548B,,1.901B,262.00M,,-16.00M,,,,,2.163B,385.00M,,,-16.00M,,234.00M,96.00M,138.00M,,,13.00M,138.00M,147.60M,647.00M,-262.00M,385.00M,0.25,0.0,,,0.2674,0.25,0.24,0.0,,,0.2567,0.24,552.00M,575.00M,
1999-06,4.161B,4.161B,1.48B,2.681B,,2.005B,278.00M,,-46.00M,,,,,2.283B,398.00M,,,-46.00M,,220.00M,114.00M,106.00M,,,14.00M,106.00M,133.60M,676.00M,-278.00M,398.00M,0.18,0.0,,,0.2269,0.18,0.18,0.0,,,0.2269,0.18,588.89M,588.89M,
1999-03,4.655B,4.655B,1.614B,3.041B,,2.198B,296.00M,,-78.00M,,,,,2.494B,547.00M,,,-78.00M,,570.00M,248.00M,322.00M,,,14.00M,322.00M,368.80M,843.00M,-296.00M,547.00M,0.5,0.0,,,0.5727,0.5,0.5,0.0,,,0.5727,0.5,644.00M,644.00M,
1998-12,4.42B,4.42B,,,,,,,,,,,,-6.106B,15.54B,,,,,15.00M,,-154.00M,,,16.00M,50.00M,-84.00M,16.39B,315.00M,15.54B,-0.13,0.21,,,-0.13,0.08,-0.13,0.21,,,-0.13,0.08,637.74M,637.74M,
1998-09,4.579B,4.579B,1.644B,2.935B,,2.269B,312.00M,,-166.00M,,,,,2.581B,354.00M,,,-166.00M,,394.00M,231.00M,163.00M,-17.00M,,16.00M,146.00M,262.60M,666.00M,-312.00M,354.00M,0.25,-0.03,,,0.4001,0.22,0.25,-0.03,,,0.4001,0.22,663.64M,663.64M,
1998-06,4.781B,4.781B,1.68B,3.101B,,2.338B,311.00M,,2.00M,,,,,2.649B,452.00M,,,2.00M,,291.00M,118.00M,173.00M,-95.00M,,18.00M,78.00M,171.80M,763.00M,-311.00M,452.00M,0.27,-0.15,,,0.2682,0.12,0.27,-0.15,,,0.2682,0.12,650.00M,650.00M,
