,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalPreferredDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2004-09,26.67M,,,,,13.26M,-0.631M,12.62M,12.62M,,1.295M,,,-1.125M,2.34M,14.29M,2.34M,12.23M,-16.63M,14.57M,54.03M,-34.28M,,-34.28M,,1.581M,-1.61M,-34.31M,-60.02M,59.50M,-0.52M,5.777M,,5.777M,,,-27.39M,,-2.659M,-24.80M,8.88M,-5.075M,,3.805M,5.777M,-114.00M,-60.02M,
2004-06,25.65M,,,,,12.14M,-0.628M,11.51M,11.51M,,1.185M,,,-1.414M,-0.048M,-7.807M,-0.048M,-6.159M,7.969M,-6.093M,30.84M,-69.72M,,-69.72M,,2.231M,-1.797M,-69.28M,-5.106M,74.15M,69.04M,3.846M,,3.846M,,,-27.29M,,,45.60M,1.723M,7.157M,,8.88M,3.846M,74.15M,-5.106M,
2004-03,23.28M,,,,,10.86M,-0.627M,10.23M,10.23M,,1.407M,,,-1.096M,-3.133M,8.704M,-3.133M,9.115M,-5.685M,5.868M,39.68M,-176.67M,,-176.67M,,-3.552M,3.74M,-176.48M,-0.789M,39.85M,39.06M,66.19M,,66.19M,,,-48.84M,,,56.42M,82.10M,-80.38M,,1.723M,66.19M,39.85M,-0.789M,
2003-12,77.21M,,,,,10.11M,7.13M,17.24M,17.24M,,-3.068M,,,-53.93M,-11.34M,-8.134M,-11.34M,17.36M,5.522M,-7.926M,29.52M,0.00,78.00M,78.00M,,0.054M,0.05M,78.11M,-5.35M,-33.45M,-38.80M,11.76M,,11.76M,,,0.00,,-8.575M,-35.62M,10.10M,72.01M,,82.10M,11.76M,0.00,-5.35M,
2003-09,32.21M,,,,,10.24M,0.269M,10.51M,10.51M,,1.028M,,,-12.02M,11.34M,7.291M,11.34M,-17.36M,-10.50M,2.106M,33.83M,-0.22M,2.262M,2.042M,,0.049M,17.58M,19.67M,-0.368M,-40.45M,-40.82M,9.571M,,9.571M,,,-21.34M,,0.00,-52.58M,9.173M,0.922M,,10.10M,9.571M,-14.00M,-0.368M,
2003-06,16.13M,,,,,10.80M,-1.364M,9.434M,9.434M,,1.02M,,,-13.24M,,-8.452M,,,33.28M,24.83M,38.17M,0.003M,58.90M,58.90M,,0.102M,2.923M,61.92M,-0.952M,-29.35M,-30.30M,1.241M,,1.241M,,,-21.17M,,-43.78M,-94.00M,3.083M,6.09M,,9.173M,1.241M,-29.35M,-0.952M,
2003-03,37.29M,,,,,10.80M,-0.666M,10.14M,10.14M,,1.02M,,,0.194M,,7.879M,,,-20.67M,-12.79M,35.85M,-0.041M,,-0.041M,,,0.035M,-0.006M,-37.98M,43.35M,5.367M,0.035M,,0.035M,,,-37.74M,,-2.872M,-35.21M,2.455M,0.628M,,3.083M,0.035M,43.35M,-37.98M,
2002-12,-63.18M,,,,,-31.33M,0.507M,-30.82M,-30.82M,,-2.685M,,,23.09M,-16.96M,-23.35M,-16.96M,-6.123M,40.31M,-23.09M,19.70M,0.236M,-28.62M,-28.38M,,-35.57M,-4.969M,-68.92M,33.11M,57.65M,90.76M,-2.546M,,-2.546M,,,50.12M,,-90.78M,47.56M,4.121M,14.48M,,,-2.546M,-620.30M,653.41M,
2002-09,17.09M,,,,,10.41M,-0.27M,10.14M,10.14M,,1.043M,,,-1.204M,21.06M,9.311M,21.06M,-7.915M,-30.37M,13.15M,40.22M,-0.101M,0.00,-0.101M,,30.30M,-28.64M,1.56M,-0.576M,-21.15M,-21.73M,2.546M,0.045M,2.591M,,,-16.49M,,-5.375M,-41.00M,3.336M,0.785M,,4.121M,2.546M,0.00,-0.576M,0.045M
2002-06,34.44M,,,,,10.45M,0.39M,10.84M,10.84M,,0.942M,,,-22.30M,-4.624M,12.98M,-4.624M,12.98M,-8.356M,8.356M,32.28M,-0.059M,27.07M,27.01M,,5.273M,0.338M,32.62M,-15.71M,-36.50M,-52.21M,,-0.005M,-0.005M,,,-16.41M,,-2.226M,-70.85M,9.281M,-5.945M,,3.336M,,620.30M,-636.01M,-0.005M
2002-03,11.64M,,,,,10.47M,-0.627M,9.839M,9.839M,,0.70M,,,0.412M,0.525M,1.058M,0.525M,1.058M,-1.583M,1.583M,24.18M,-0.076M,1.55M,1.474M,,,-0.873M,0.601M,-16.82M,,-16.82M,,-0.04M,-0.04M,,,-17.23M,,,-34.09M,18.60M,-9.315M,,9.281M,,,-16.82M,-0.04M
2001-12,22.72M,,,,,,,9.794M,9.794M,,,,,-28.41M,6.233M,0.998M,6.233M,0.998M,,14.46M,18.57M,-0.897M,,-0.897M,,2.75M,0.624M,2.477M,-1.648M,,-1.648M,-0.034M,,-0.034M,,,-15.15M,,-9.447M,-26.28M,23.83M,-5.231M,,18.60M,-0.034M,,-226.65M,
2001-09,9.157M,,,,,,,11.99M,11.99M,,,,,16.94M,-12.59M,2.487M,-12.59M,2.487M,,-20.21M,17.87M,-0.051M,,-0.051M,,0.67M,-0.046M,0.573M,36.38M,,36.38M,0.00,,0.00,,,-15.15M,,-39.23M,-18.00M,23.38M,0.443M,,23.83M,0.00,,36.38M,
2001-06,8.105M,,,,,-10.50M,,12.15M,12.15M,,-0.611M,,,-2.514M,11.48M,-10.37M,11.48M,-10.37M,1.00M,3.222M,20.36M,-0.074M,,-0.074M,,,0.339M,0.265M,-37.75M,,-37.75M,0.537M,,0.537M,,,-15.12M,,,-52.33M,55.10M,-31.71M,,23.38M,0.537M,,-37.75M,
2001-03,10.58M,,,,,10.50M,,10.50M,10.50M,,0.611M,,,0.41M,-0.407M,1.407M,-0.407M,1.407M,-1.00M,1.00M,23.10M,-0.095M,,-0.095M,,,-0.46M,-0.555M,-35.00M,,-35.00M,,,,,,-19.85M,,,-54.85M,87.40M,-32.30M,,55.10M,,,-35.00M,
2000-12,-18.83M,,,,,-31.74M,,-31.74M,-31.74M,,-2.625M,,,80.20M,-23.96M,-8.173M,-23.96M,-8.173M,60.35M,-3.907M,23.10M,,,,,,5.134M,5.134M,63.50M,,63.50M,-0.014M,,-0.014M,,,42.44M,,-142.89M,-36.97M,96.14M,43.46M,,,-0.014M,,63.50M,
2000-09,8.581M,,,,,10.54M,,10.54M,10.54M,,0.611M,,,0.294M,25.67M,5.221M,25.67M,5.221M,-59.12M,2.672M,22.70M,,0.00,0.00,,,0.225M,0.225M,0.00,,0.00,0.00,,0.00,,,-42.44M,,,-42.44M,115.65M,-19.51M,,96.14M,0.00,0.00,0.00,
2000-06,7.512M,,,,,10.54M,,10.54M,10.54M,,0.611M,,,0.272M,-27.08M,2.135M,-27.08M,2.135M,24.94M,-24.94M,-6.001M,,,0.00,,,,0.00,0.00,,0.00,0.014M,,0.014M,,,0.00,,-0.013M,0.001M,121.65M,-6.00M,,115.65M,0.014M,0.00,0.00,
2000-03,6.94M,,,,,10.65M,,10.65M,10.65M,,1.403M,,,0.365M,25.36M,0.817M,25.36M,0.817M,-26.18M,26.18M,45.54M,,,0.00,,,,0.00,-63.50M,,-63.50M,,,,,,0.00,,0.013M,-63.48M,139.59M,-17.95M,,121.65M,,0.00,-63.50M,
1999-12,-11.00M,,,,,,,12.56M,12.56M,,,,,-1.792M,-18.96M,30.81M,-18.96M,30.81M,,23.71M,23.48M,0.001M,,0.001M,,,0.07M,0.071M,-0.88M,,-0.88M,,,,,,0.011M,,-2.93M,-3.795M,119.90M,19.76M,,139.59M,,0.043M,-0.923M,
1999-09,13.03M,,,,,,,12.40M,12.40M,,,,,-20.03M,11.60M,-0.10M,11.60M,-0.10M,,23.00M,28.40M,0.00,,0.00,,,0.70M,0.70M,-0.80M,,-0.80M,,,,,,0.00,,21.50M,20.70M,70.10M,49.80M,,119.90M,,0.00,-0.80M,
1999-06,20.20M,,,,,,,12.40M,12.40M,,,,,5.90M,-12.10M,-0.80M,-12.10M,-0.80M,,-25.80M,12.70M,-0.20M,,-0.20M,,,-0.10M,-0.30M,-0.90M,,-0.90M,,,,,,-26.50M,,26.50M,-0.90M,58.50M,11.50M,,70.10M,,0.00,-0.90M,
1999-03,20.30M,,,,,,,12.80M,12.80M,,,,,8.10M,-0.60M,-0.50M,-0.60M,-0.50M,,-2.20M,39.00M,-0.10M,,-0.10M,,,,-0.10M,45.70M,,45.70M,,,,,,,,-26.40M,19.30M,0.30M,58.20M,,58.50M,,173.10M,-127.40M,
