,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,IncomeStatementDepreciation,AmortizationExpense,SpecialIncomeandCharges,ProvisionforDoubtfulAccounts,NonIncomeTaxes,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-09,61.26M,61.26M,,,4.047M,4.047M,13.20M,,-1.37M,,-17.94M,,,,18.64M,17.94M,43.32M,,,,-1.37M,,,,25.10M,0.197M,,,,25.30M,25.92M,56.52M,12.62M,43.32M,0.3,0.0,,,0.3098,0.3,0.3,0.0,,,0.3097,0.3,84.07M,84.89M,0.325
2004-06,59.42M,59.42M,,,4.302M,4.302M,12.08M,,,,-17.07M,,,,17.75M,17.07M,42.36M,,,,,,,,25.46M,0.19M,,,,25.65M,25.46M,54.44M,11.51M,42.36M,0.3,0.01,,,0.3,0.31,0.3,0.0,,,0.3,0.3,83.82M,84.56M,0.325
2004-03,53.94M,53.94M,,,4.224M,4.224M,10.81M,,,,-15.62M,,,,16.22M,15.62M,38.32M,,,,,,,,23.09M,0.184M,,,,23.28M,23.09M,49.13M,10.23M,38.32M,0.28,0.0,,,0.28,0.28,0.28,0.0,,,0.28,0.28,81.70M,82.76M,0.325
2003-12,31.80M,44.57M,,,,5.802M,9.695M,0.364M,,,,,,,-106.24M,-47.20M,91.77M,,,,,,,,14.68M,62.44M,,,,77.12M,14.68M,109.01M,17.24M,91.77M,0.18,0.79,,,0.18,0.97,0.18,0.78,,,0.18,0.96,80.20M,81.24M,0.2675
2003-09,59.78M,50.40M,,,3.136M,3.136M,9.952M,0.309M,,,-14.10M,,,,28.83M,28.13M,22.28M,,,,8.117M,,,,30.39M,1.82M,,,,32.21M,25.52M,32.78M,10.51M,22.28M,0.38,0.03,,,0.3187,0.41,0.38,0.02,,,0.3193,0.4,79.39M,80.26M,0.2675
2003-06,48.02M,48.02M,,,,3.08M,9.925M,0.31M,,,,,,,20.49M,33.81M,14.21M,,,,,,,,15.13M,1.00M,,,,16.13M,15.13M,24.44M,9.434M,14.21M,0.19,0.01,,,0.19,0.2,0.19,0.01,,,0.19,0.2,78.94M,79.58M,0.2675
2003-03,47.00M,47.00M,,,,3.14M,9.928M,0.291M,,,,,,,-8.496M,4.863M,42.14M,,,,,,,,35.93M,1.354M,,,,37.29M,35.93M,52.36M,10.14M,42.14M,0.46,0.01,,,0.46,0.47,0.45,0.01,,,0.45,0.47,78.83M,79.30M,0.2675
2002-12,27.95M,27.95M,,,,7.444M,,,,,,,,,,-37.59M,65.54M,,,,,,,,-2.401M,4.926M,,,,9.444M,-9.32M,65.54M,,65.54M,0.13,0.0,,,0.13,0.13,0.13,0.0,,,0.13,0.13,69.97M,72.67M,0.2375
2002-09,49.08M,49.08M,,,2.41M,2.41M,10.41M,0.354M,-1.192M,,-14.20M,,,,16.54M,15.53M,33.55M,,,,1.192M,,14.89M,-2.20M,17.09M,0.00,0.00,,,17.09M,17.09M,44.32M,10.14M,33.55M,0.25,0.0,0.0,,0.25,0.25,0.24,0.0,0.0,,0.24,0.24,69.10M,70.05M,0.2375
2002-06,51.25M,51.25M,,,2.601M,2.601M,10.39M,0.715M,-9.409M,,-14.64M,,,,16.98M,16.04M,35.20M,,,,-5.587M,,10.54M,0.00,10.54M,22.85M,-6.919M,,,26.47M,23.04M,46.31M,10.84M,35.20M,0.38,0.0,0.0,-0.1005,0.4611,0.38,0.38,0.0,-0.1005,-0.1005,0.4598,0.38,68.85M,70.00M,0.2375
2002-03,46.74M,46.74M,,,2.311M,2.311M,10.47M,0.422M,2.114M,,-13.76M,,,,16.86M,16.29M,30.45M,,,,2.114M,,12.70M,0.00,12.70M,,,,,12.70M,10.59M,41.34M,9.839M,30.45M,0.18,0.0,,,0.1492,0.18,0.18,0.0,,,0.1497,0.18,68.70M,69.84M,0.2375
2001-12,64.12M,28.64M,,,7.162M,7.162M,,,,,-14.73M,,,,,-7.565M,36.21M,,,,,,19.97M,0.363M,19.61M,3.116M,,,,22.72M,20.93M,46.00M,9.794M,36.21M,0.34,-0.01,,,0.34,0.33,0.34,-0.01,,,0.34,0.33,68.20M,69.31M,0.26
2001-09,47.00M,47.00M,,,2.598M,2.598M,,,,,-14.19M,,,,,-11.59M,58.59M,,,,,,9.323M,0.469M,8.854M,0.303M,,,,9.157M,8.854M,70.58M,11.99M,58.59M,0.13,0.0,,,0.13,0.13,0.13,0.0,,,0.13,0.13,68.49M,69.58M,0.44
2001-06,46.72M,46.72M,,,2.593M,2.593M,,,,,-14.55M,,,,,-11.96M,58.68M,,,,,,8.768M,1.184M,7.584M,0.521M,,,,8.105M,7.584M,70.83M,12.15M,58.68M,0.12,0.0,,,0.12,0.12,0.12,0.0,,,0.12,0.12,68.41M,69.31M,0.22
2001-03,47.62M,47.62M,,,2.549M,2.549M,10.50M,0.403M,,,-15.25M,,,,,-1.799M,49.42M,,,,,,11.25M,0.675M,10.58M,,0.00,,,10.58M,10.58M,60.32M,10.50M,49.42M,0.16,0.0,0.0,,0.16,0.16,0.15,0.0,0.0,,0.15,0.15,68.22M,68.87M,0.0
2000-12,32.08M,32.08M,,,,13.39M,,,,,,,,,,-64.85M,96.94M,,,,,,,,-92.21M,,,,,-84.28M,-96.42M,96.94M,,96.94M,-1.3,0.06,,,-1.3,-1.24,-1.3,0.06,,,-1.3,-1.24,68.08M,68.29M,0.29
2000-09,60.88M,60.88M,,,2.602M,2.602M,10.52M,0.309M,,,-28.64M,,,,43.84M,28.64M,32.24M,,,,,,,,8.581M,,0.00,,,8.581M,8.581M,43.07M,10.54M,32.24M,0.13,0.0,0.0,,0.13,0.13,0.13,0.0,0.0,,0.13,0.13,68.04M,68.22M,0.62
2000-06,59.97M,59.97M,,,2.497M,2.497M,10.53M,0.33M,,,-28.68M,,,,44.02M,28.68M,31.29M,,,,,,,,7.512M,,0.00,,,7.512M,7.512M,42.14M,10.54M,31.29M,0.11,0.0,0.0,,0.11,0.11,0.11,0.0,0.0,,0.11,0.11,68.03M,68.10M,0.0
2000-03,59.10M,59.10M,,,2.288M,2.288M,10.63M,0.405M,,,-28.31M,,,,43.30M,28.31M,30.79M,,,,,,,,6.94M,,-4.207M,,,2.733M,11.15M,41.83M,10.65M,30.79M,0.1,-0.06,0.0,-0.062,0.1,0.04,0.1,-0.06,-0.062,-0.062,0.1,0.04,67.90M,67.91M,0.0
1999-12,59.39M,59.39M,,,2.984M,2.984M,,,,,-9.314M,,,,,-6.33M,65.72M,,,,,,,,-11.00M,,,,,-11.00M,-11.00M,78.28M,12.56M,65.72M,-0.16,0.0,,,-0.16,-0.16,-0.16,0.0,,,-0.16,-0.16,67.73M,68.67M,0.0
1999-09,59.31M,59.31M,,,1.416M,1.416M,,,,,-23.89M,,,,,-22.47M,81.78M,,,,,,,,13.03M,,,,,13.03M,13.03M,94.18M,12.40M,81.78M,0.19,0.0,,,0.19,0.19,0.19,0.0,,,0.19,0.19,68.56M,68.56M,0.0
1999-06,57.91M,57.91M,,,4.60M,4.60M,,,,,-19.10M,,,,,-14.50M,72.41M,,,,,,,,20.20M,,,,,20.20M,20.20M,84.81M,12.40M,72.41M,0.3,0.0,,,0.3,0.3,0.3,0.0,,,0.3,0.3,67.33M,67.33M,0.0
1999-03,56.60M,56.60M,,,2.60M,2.60M,,,-1.30M,,-17.00M,,,,,-14.40M,71.00M,,,,-1.30M,,,,20.30M,,,,,20.30M,21.08M,83.80M,12.80M,71.00M,0.3,0.0,,,0.3115,0.3,0.3,0.0,,,0.3115,0.3,67.67M,67.67M,0.39
