,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,LoansReceivable,OtherReceivables,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermNotesReceivable,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2008-12,,158.82M,,158.82M,751.94M,,210.47M,962.41M,,,94.28M,36.32M,147.77M,515.92M,1.916B,0.00,122.28M,349.74M,,,472.02M,-264.04M,207.98M,1.252B,311.45M,1.563B,,,,44.48M,995.15M,2.811B,4.726B,,395.66M,,395.66M,295.22M,690.88M,176.37M,,456.73M,633.10M,,633.10M,,,548.87M,1.873B,1.867B,,1.867B,,,,231.04M,641.09M,2.508B,4.381B,,2.623M,-48.35M,285.82M,,-125.41M,114.69M,,,Restated
2008-09,,400.78M,,400.78M,835.58M,,226.13M,1.062B,,,100.28M,73.74M,241.49M,292.74M,2.171B,,,,,,464.22M,-246.88M,217.35M,2.317B,404.51M,2.721B,,,,23.42M,1.279B,4.241B,6.412B,,394.21M,,394.21M,322.68M,716.89M,145.53M,,964.95M,1.110B,,1.110B,,,408.05M,2.235B,2.311B,,2.311B,,,,283.07M,528.30M,2.839B,5.075B,,2.048M,1.041B,68.88M,,-57.75M,1.054B,,,Restated
2008-06,,250.52M,,250.52M,940.90M,,183.30M,1.124B,,,97.17M,24.47M,239.82M,482.79M,2.219B,,,,,,476.54M,-246.88M,229.66M,2.352B,401.77M,2.753B,,,,17.82M,1.220B,4.221B,6.440B,,479.74M,,479.74M,328.18M,807.92M,186.78M,,758.64M,945.42M,,945.42M,,,527.64M,2.281B,2.277B,,2.277B,85.48M,85.48M,,266.47M,462.70M,2.825B,5.106B,,2.023M,1.001B,60.79M,,3.207M,1.067B,,,Restated
2008-03,,313.16M,,313.16M,950.65M,,244.20M,1.195B,,,94.21M,24.90M,194.64M,402.95M,2.225B,,,,,,475.93M,-246.88M,229.06M,2.292B,400.78M,2.693B,,,,19.76M,1.143B,4.084B,6.309B,,445.11M,,445.11M,370.49M,815.60M,168.26M,,686.96M,855.22M,,855.22M,,,545.64M,2.216B,2.271B,,2.271B,,,,248.21M,553.42M,2.824B,5.041B,,2.021M,983.98M,52.58M,,-18.62M,1.020B,,,Restated
2007-12,,342.87M,,342.87M,1.082B,,255.78M,1.337B,,,80.68M,44.44M,191.98M,361.86M,2.359B,0.00,108.19M,354.90M,,,463.09M,-246.88M,216.21M,2.175B,404.10M,2.579B,,,,17.93M,1.070B,3.883B,6.243B,,492.76M,,492.76M,727.46M,1.220B,149.39M,,550.05M,699.45M,,699.45M,,,507.40M,2.427B,1.777B,,1.777B,,,,263.61M,786.00M,2.563B,4.990B,,2.016M,963.53M,40.56M,,-17.56M,988.54M,,,
2007-09,,435.21M,2.829M,438.04M,959.02M,,450.86M,1.410B,,,87.57M,74.77M,199.32M,366.70M,2.576B,,,,,,401.72M,-207.41M,194.31M,2.221B,408.28M,2.629B,,,,,1.084B,3.907B,6.484B,,427.62M,,427.62M,504.07M,931.68M,146.30M,,568.17M,714.47M,,714.47M,,,559.62M,2.206B,2.010B,,2.010B,4.906M,4.906M,,198.69M,541.27M,2.556B,4.762B,,2.301M,841.08M,664.88M,,14.84M,1.523B,,,
2007-06,,438.17M,2.829M,441.00M,903.33M,,164.28M,1.068B,,,82.01M,77.58M,150.29M,306.73M,2.125B,,,,,,391.54M,-207.41M,184.13M,2.181B,418.88M,2.600B,,,,,1.041B,3.825B,5.950B,,388.33M,,388.33M,384.40M,772.73M,229.25M,,278.89M,508.15M,,508.15M,,,479.00M,1.760B,2.088B,,2.088B,18.88M,18.88M,,162.76M,551.92M,2.658B,4.418B,,2.292M,726.14M,655.90M,,-15.33M,1.369B,,,
2007-03,,346.35M,1.619M,347.97M,777.48M,,27.15M,804.63M,,,83.26M,88.96M,275.69M,187.11M,1.788B,,,,,,385.00M,-207.41M,177.59M,2.191B,429.66M,2.620B,,,,,1.013B,3.811B,5.599B,,386.16M,,386.16M,258.42M,644.58M,208.31M,,95.37M,303.68M,,303.68M,,,462.62M,1.411B,2.219B,,2.219B,57.81M,57.81M,,74.95M,641.20M,2.918B,4.329B,,2.284M,585.00M,637.11M,,-29.61M,1.195B,,,
2006-12,,244.48M,355.50M,599.98M,880.81M,,103.99M,984.80M,,,73.80M,212.94M,143.02M,320.47M,2.335B,0.00,93.38M,294.58M,,,387.95M,-207.41M,180.55M,2.188B,441.07M,2.629B,,,,,799.65M,3.610B,5.945B,,477.78M,,477.78M,524.18M,1.002B,43.86M,,138.04M,181.90M,,181.90M,,,770.80M,1.955B,2.185B,,2.185B,80.60M,80.60M,,78.14M,464.44M,2.730B,4.685B,,2.275M,602.09M,610.41M,,-33.13M,1.182B,,,
2006-09,,138.27M,,138.27M,504.43M,,92.90M,597.33M,,,51.47M,8.737M,58.61M,18.60M,873.02M,,,,,,319.40M,-165.62M,153.78M,969.57M,106.35M,1.076B,,,,109.38M,382.02M,1.721B,2.594B,,232.21M,,232.21M,241.84M,474.05M,,,,258.40M,,258.40M,,,276.22M,1.009B,132.26M,,132.26M,,,,28.72M,398.64M,530.90M,1.540B,,2.253M,476.99M,580.85M,,-34.25M,1.026B,,,
2006-06,,127.29M,,127.29M,473.16M,,17.65M,490.81M,,,55.45M,3.897M,41.42M,19.50M,738.37M,,,,,,322.62M,-165.62M,157.00M,934.34M,107.06M,1.041B,,,,116.33M,343.98M,1.659B,2.397B,,206.40M,,206.40M,201.40M,407.80M,,,,291.73M,,291.73M,,,226.51M,926.04M,132.33M,,132.33M,,,,28.44M,389.77M,522.10M,1.448B,,2.234M,384.68M,566.06M,,-32.49M,920.48M,,,
2006-03,,253.09M,,253.09M,427.40M,,82.56M,509.95M,,,52.99M,5.33M,42.43M,20.71M,884.50M,,,,,,318.54M,-165.62M,152.92M,886.37M,108.33M,994.70M,,,,110.41M,343.25M,1.601B,2.486B,,203.02M,,203.02M,156.98M,360.00M,,,,122.47M,,122.47M,,,241.71M,724.18M,545.60M,,545.60M,,,,18.06M,353.08M,898.68M,1.623B,,0.743M,320.42M,561.88M,,-38.19M,844.86M,,,
2005-12,,449.29M,,449.29M,483.18M,,255.96M,739.14M,,,36.40M,5.179M,38.63M,16.33M,1.285B,0.00,71.57M,231.71M,,,303.28M,-165.62M,137.66M,880.18M,109.54M,989.72M,,,,94.20M,309.13M,1.531B,2.816B,,254.08M,,254.08M,324.97M,579.06M,,,,284.06M,,284.06M,,,274.68M,1.138B,549.16M,,549.16M,,,,6.824M,328.20M,877.36M,2.015B,,2.214M,283.52M,548.65M,,-40.70M,793.68M,,,
2005-09,,284.57M,,284.57M,355.88M,,146.48M,502.36M,,,32.90M,5.962M,25.66M,55.53M,906.98M,,,,,,274.06M,-140.62M,133.44M,,951.37M,951.37M,,,,84.00M,304.91M,1.474B,2.381B,,193.01M,,193.01M,210.70M,403.71M,,,,204.59M,,204.59M,,,218.40M,826.70M,552.04M,,552.04M,,,,6.568M,292.49M,844.53M,1.671B,,0.731M,188.10M,537.87M,,-23.80M,702.91M,,,
2005-06,,192.22M,,192.22M,320.03M,,173.78M,493.82M,,,31.49M,5.841M,30.74M,46.48M,800.58M,,,,,,274.35M,-140.62M,133.73M,,933.19M,933.19M,,,,73.80M,300.26M,1.441B,2.242B,,153.30M,,153.30M,331.74M,485.05M,,,,223.96M,,223.96M,,,38.83M,747.84M,559.29M,,559.29M,,,,5.809M,293.28M,852.57M,1.600B,,0.725M,131.17M,526.79M,,-23.34M,635.35M,,,
2005-03,,157.78M,,157.78M,293.84M,,43.79M,337.63M,,,29.00M,9.104M,27.87M,21.73M,583.13M,,,,,,275.20M,-140.62M,134.58M,,933.05M,933.05M,,,,80.43M,269.08M,1.417B,2.000B,,166.41M,,166.41M,111.72M,278.13M,,,,78.29M,,78.29M,,,195.49M,551.91M,571.85M,,571.85M,,,,6.675M,290.34M,862.19M,1.414B,,0.72M,80.75M,520.44M,,-22.42M,579.48M,,,
2004-12,,256.90M,,256.90M,394.06M,,138.23M,532.30M,,,26.59M,9.213M,23.12M,15.58M,863.70M,0.00,69.12M,209.20M,,,278.32M,-140.62M,137.70M,,935.16M,935.16M,,,,78.47M,256.61M,1.408B,2.272B,,185.88M,,185.88M,266.91M,452.79M,,,,171.92M,,171.92M,,,180.27M,804.98M,600.88M,,600.88M,,,,5.925M,299.90M,900.78M,1.706B,,0.71M,66.17M,513.80M,,-20.74M,559.95M,,,
2004-09,,147.92M,,147.92M,276.34M,,111.84M,388.18M,,,24.31M,10.61M,62.83M,41.54M,675.40M,,,,,,238.22M,-110.15M,128.08M,,948.02M,948.02M,,,,30.64M,225.22M,1.332B,2.007B,,170.13M,,170.13M,143.58M,313.72M,,,,151.26M,,151.26M,,,169.70M,634.68M,604.05M,,604.05M,,,,6.667M,283.71M,887.76M,1.522B,,0.702M,-0.259M,509.29M,5.058M,-26.42M,478.25M,,,
2004-06,,179.59M,,179.59M,295.26M,,219.94M,515.19M,,,23.69M,12.04M,67.79M,35.66M,833.96M,,,,,,233.53M,-110.15M,123.38M,,946.29M,946.29M,,,,35.44M,280.00M,1.385B,2.219B,,181.53M,,181.53M,126.50M,308.03M,,,,261.58M,,261.58M,,,159.97M,729.59M,752.35M,,752.35M,,,,8.163M,275.78M,1.028B,1.758B,,0.69M,-12.15M,498.90M,2.312M,-31.93M,453.20M,,,
2004-03,,54.25M,,54.25M,272.57M,,72.72M,345.30M,,,28.90M,15.16M,65.44M,33.70M,542.76M,,,,,,227.49M,-110.15M,117.34M,,949.37M,949.37M,,,,30.22M,280.05M,1.377B,1.920B,,188.72M,,188.72M,83.16M,271.89M,,,,125.07M,,125.07M,,,156.64M,553.60M,790.49M,,790.49M,,,,6.86M,256.62M,1.047B,1.601B,,0.66M,-15.12M,361.59M,2.312M,-32.66M,312.16M,,,
2003-12,,163.88M,,163.88M,,,,,,,,,,,163.88M,,,,,,,,,,,,,,,,,,2.213B,,,,,,,,,,,,,,,,,,,,,,,,,,1.881B,,,,,,,332.93M,,AOR,Restated
2003-09,,85.49M,,85.49M,,,,386.43M,,,25.22M,,74.75M,35.64M,607.54M,,,,,,110.70M,,110.70M,793.25M,153.79M,947.04M,64.48M,,,26.23M,211.03M,1.359B,1.967B,,289.70M,0.00,289.70M,101.84M,391.54M,,,,175.51M,,175.51M,,,,567.06M,819.38M,,819.38M,,125.46M,,6.706M,99.72M,1.045B,1.612B,,0.22M,11.53M,361.40M,2.028M,-17.72M,348.70M,,AOR,Restated
2003-06,200.00M,223.02M,,223.02M,,,,292.46M,,,19.62M,,19.76M,-185.86M,369.01M,,,,,,68.96M,,68.96M,577.14M,89.49M,666.63M,57.69M,,,35.97M,363.64M,1.193B,1.562B,,159.59M,0.00,159.59M,49.85M,209.44M,,,,216.40M,,216.40M,,,,425.84M,707.73M,,707.73M,,112.74M,,6.081M,56.84M,877.31M,1.303B,,0.145M,39.98M,241.48M,1.892M,-22.27M,252.67M,,AOR,Restated
2003-03,,19.37M,,19.37M,,,,155.99M,,,18.91M,,19.67M,9.47M,223.42M,,,,,,66.71M,,66.71M,577.14M,90.24M,667.38M,53.98M,,,36.30M,148.52M,972.88M,1.196B,,160.63M,0.00,160.63M,33.22M,193.85M,,,,84.83M,,84.83M,,,,278.68M,509.27M,,509.27M,,106.55M,,5.727M,45.05M,660.86M,939.54M,,0.145M,34.81M,241.51M,1.732M,-18.88M,251.03M,,AOR,Restated
2002-12,,79.70M,,79.70M,,,,,,,,,,,79.70M,,,,,,,,,,,,,,,,,,1.325B,,,,,,,,,,,,,,,,,509.72M,,509.72M,,,,,,509.72M,1.068B,,,,,,,251.34M,,AOR,Restated
2002-09,,18.48M,,18.48M,,,,201.56M,,,12.31M,,32.34M,8.977M,273.67M,,,,,,62.90M,,62.90M,581.66M,91.87M,673.54M,43.97M,,,31.95M,168.66M,981.01M,1.255B,,132.22M,11.71M,143.93M,53.08M,197.01M,,,,134.46M,,134.46M,,,,331.47M,513.16M,,513.16M,,96.45M,,4.602M,51.44M,661.05M,992.52M,,0.144M,21.06M,240.65M,1.732M,2.323M,257.56M,,AOR,
2002-06,,18.21M,,18.21M,,,,279.73M,,,11.41M,,32.65M,10.78M,352.78M,,,,,,64.93M,,64.93M,583.21M,93.55M,676.76M,48.12M,,,35.10M,174.24M,999.15M,1.352B,,138.10M,13.01M,151.11M,33.99M,185.10M,,,,231.72M,,231.72M,,,,416.82M,515.28M,,515.28M,,100.03M,,4.608M,46.99M,662.31M,1.079B,,0.144M,18.62M,240.79M,1.325M,10.61M,268.19M,,AOR,
2002-03,,20.00M,,20.00M,,,,160.51M,,,10.91M,,32.01M,9.46M,232.89M,,,,,,65.81M,,65.81M,611.28M,36.24M,647.52M,45.44M,,,52.63M,177.36M,988.77M,1.222B,,144.56M,6.991M,151.55M,17.15M,168.71M,,,,127.04M,,127.04M,,,,295.74M,517.08M,,517.08M,,106.93M,,4.436M,46.83M,670.84M,966.59M,,0.143M,11.33M,239.76M,,0.044M,250.64M,,AOR,
2001-12,,57.45M,,57.45M,,,,263.22M,,,8.325M,,23.25M,8.493M,360.75M,,,,,,68.45M,,68.45M,609.54M,38.12M,647.66M,42.54M,,,62.90M,177.06M,998.61M,1.359B,,151.10M,21.74M,172.84M,85.19M,258.02M,,,,165.84M,,165.84M,,,,423.86M,522.06M,,522.06M,,105.10M,,4.296M,46.66M,673.83M,1.098B,,0.144M,17.43M,240.54M,0.00,0.296M,257.36M,,AOR,
2001-09,,24.21M,,24.21M,,,,224.11M,,,10.36M,,16.65M,7.289M,282.61M,,,,,,68.11M,,68.11M,629.15M,33.63M,662.78M,42.86M,,,37.64M,125.63M,937.02M,1.220B,,150.27M,10.97M,161.25M,55.23M,216.48M,,,,114.94M,,114.94M,,,,331.42M,524.72M,,524.72M,,88.94M,,2.90M,27.10M,640.76M,972.18M,,0.144M,1.248M,243.23M,0.00,1.546M,244.56M,,AOR,
