,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2007-03,11.98M,,,,35.98M,27.37M,1.794M,29.16M,29.16M,-0.04M,,,,,,27.30M,113.22M,1.504M,-113.66M,,-287.99M,294.42M,7.498M,111.88M,,-9.273M,3.134M,-6.139M,,-137.79M,,63.73M,-80.20M,,,,69.40M,4.297M,,4.297M,,,-5.107M,68.59M,,244.48M,100.27M,1.604M,346.35M,,4.297M,,,,,,,,
2006-12,125.10M,,,,-35.64M,25.52M,4.096M,29.61M,29.61M,-6.451M,,,,,,39.11M,-178.89M,-20.77M,100.95M,106.86M,259.61M,-75.86M,191.91M,343.63M,,-17.30M,0.049M,-17.26M,,-1.695B,,-213.68M,-1.926B,,,,1.688B,7.996M,,7.996M,,,-10.24M,1.686B,,138.27M,103.19M,3.015M,244.48M,,7.996M,,,,,,,,
2006-09,92.31M,,,,-23.35M,14.89M,0.50M,15.39M,15.39M,-13.30M,,,,,,19.28M,-29.00M,3.797M,22.15M,-39.95M,113.26M,3.301M,73.55M,163.88M,,39.49M,4.34M,43.83M,,-89.79M,,-11.59M,-57.56M,,,,-108.40M,3.132M,,3.132M,,,10.05M,-95.22M,,127.29M,11.10M,-0.117M,138.27M,,3.132M,,,,,,,,
2006-06,64.25M,,,,14.50M,12.26M,14.23M,26.49M,26.49M,4.666M,,,,,,-2.206M,-40.16M,0.066M,-2.324M,,20.54M,21.46M,-0.419M,107.29M,,-61.42M,3.652M,-57.77M,,8.315M,,-8.765M,-58.22M,,,,-185.39M,1.171M,,1.171M,,,5.314M,-178.90M,,253.09M,-129.83M,4.033M,127.29M,,1.171M,,,,,,,,
2006-03,36.91M,,,,0.598M,14.93M,1.266M,16.20M,16.20M,-7.967M,,,,,,,59.34M,-41.58M,-49.56M,,-194.64M,-4.056M,-230.50M,-184.76M,,-16.07M,,-16.07M,,-8.315M,,4.279M,-20.10M,,,,-1.669M,3.273M,,3.273M,,,6.471M,8.075M,,449.29M,-196.78M,0.585M,253.09M,,3.273M,,,,,,,,
2005-12,95.41M,,,,-51.04M,12.66M,1.265M,13.93M,13.93M,-8.948M,,,,,,65.10M,-121.35M,1.805M,62.48M,40.11M,212.12M,-86.74M,108.42M,222.88M,,-77.79M,40.19M,-37.60M,,-46.56M,65.77M,-7.212M,-25.60M,,,,-34.20M,4.866M,,4.866M,,,-0.627M,-29.96M,,284.57M,167.32M,-2.602M,449.29M,,4.866M,,,,,,,,
2005-09,56.94M,,,,8.482M,11.66M,1.417M,13.08M,13.08M,-1.207M,,,,,,1.347M,-32.44M,-11.19M,11.40M,-9.695M,71.24M,17.62M,46.94M,125.58M,,-9.275M,28.29M,19.01M,,-25.76M,-25.36M,-5.558M,-37.67M,,,,0.385M,2.743M,,2.743M,,,0.251M,3.379M,,192.22M,91.28M,1.069M,284.57M,,2.743M,,,,,,,,
2005-06,50.42M,,,,-5.401M,10.82M,1.681M,12.50M,12.50M,11.36M,,,,,,1.124M,-32.90M,4.828M,8.961M,-21.90M,39.94M,-0.075M,-1.152M,68.85M,,-8.369M,,-8.369M,,-3.331M,-40.41M,13.03M,-39.08M,,,,6.44M,1.766M,,1.766M,,,-1.766M,6.44M,,157.78M,36.20M,-1.772M,192.22M,,1.766M,,,,,,,,
2005-03,14.57M,,,,7.54M,10.37M,2.24M,12.61M,12.61M,-6.859M,,,,,,,93.55M,-4.828M,-16.50M,-8.513M,-134.11M,-15.12M,-85.51M,-57.64M,,-7.144M,,-7.144M,,-0.041M,,-5.972M,-13.16M,,,,-29.66M,2.075M,,2.075M,,,0.453M,-27.13M,,256.90M,-97.94M,-1.177M,157.78M,,2.075M,,,,,,,,
2004-12,66.43M,,,,-6.182M,14.86M,1.319M,16.18M,16.18M,15.94M,,,,,,-1.305M,-74.08M,11.73M,11.34M,-23.12M,120.98M,-8.076M,38.78M,129.84M,,-14.87M,1.096M,-13.77M,,-8.358M,,3.722M,-18.41M,,,,-9.73M,1.652M,,1.652M,,,2.433M,-5.645M,,147.92M,105.78M,3.186M,256.90M,,1.652M,,,,,,,,
2004-09,11.90M,,,,2.155M,12.34M,9.136M,21.48M,21.48M,3.519M,,,,,,-0.087M,21.30M,9.132M,-32.24M,-0.367M,52.16M,-1.35M,48.63M,87.59M,,-12.87M,56.01M,43.14M,,-11.83M,6.836M,-13.54M,24.61M,,,,-149.36M,7.991M,,7.991M,,,-3.041M,-144.41M,,179.59M,-32.21M,0.546M,147.92M,,7.991M,,,,,,,,
2004-06,2.965M,,,,5.388M,10.83M,2.223M,13.05M,13.05M,4.692M,,,,,,1.392M,-30.82M,-0.272M,12.78M,2.017M,29.61M,10.64M,23.95M,51.44M,,-14.13M,,-14.13M,,2.112M,-6.836M,9.113M,-9.74M,,,,-47.89M,135.00M,,135.00M,,,-2.216M,84.89M,,54.25M,126.59M,-1.248M,179.59M,,135.00M,,,,,,,,
2004-03,-16.57M,,,,2.748M,16.83M,2.009M,18.84M,18.84M,-8.343M,,,,,,,46.99M,0.272M,-2.721M,-4.722M,-124.52M,1.345M,-83.36M,-86.69M,,-11.09M,,-11.09M,,-7.069M,,-1.623M,-19.78M,,,,-2.052M,,,,,,-0.151M,-2.203M,,163.88M,-108.67M,-0.959M,54.25M,,,,,,,,,,
2003-12,24.62M,,,,,,,-53.57M,-53.57M,13.60M,,,,,,72.99M,-23.25M,14.24M,22.09M,,,,13.07M,158.26M,,8.185M,,,,243.85M,,-307.75M,-55.72M,,-157.00M,,-157.00M,-120.58M,,-120.58M,,,252.75M,-24.83M,,85.49M,-5.10M,-0.693M,,,-120.58M,-352.85M,195.85M,,,,,AOR,Restated
2003-09,-28.44M,,,,,,,41.07M,41.07M,-13.49M,,,,,,9.355M,14.14M,-14.24M,-4.549M,,,,-4.646M,3.841M,,-7.014M,0.00,0.00,,-242.50M,,-5.562M,-255.08M,,145.75M,,145.75M,120.58M,,120.58M,,,48.00M,314.33M,,23.02M,63.09M,-0.612M,85.49M,,120.58M,212.25M,-66.50M,,,,,AOR,Restated
2003-06,5.172M,,,,,,,6.329M,6.329M,0.666M,-0.824M,,,,,15.57M,-12.06M,,-18.65M,,,,-30.71M,-3.794M,,2.829M,,,,-1.343M,,3.404M,4.89M,,-2.25M,,-2.25M,,,,,,4.665M,2.415M,,19.37M,3.511M,0.137M,23.02M,,,106.85M,-109.10M,,,,,AOR,Restated
2003-03,-1.347M,,,,,,,6.171M,6.171M,-0.772M,0.824M,,,,,-97.92M,21.17M,,1.112M,,,,22.28M,-70.76M,,-4.00M,,,,,,1.506M,-2.494M,,13.50M,,13.50M,,,,,,-1.744M,11.76M,,79.70M,-61.50M,1.168M,19.37M,,,33.75M,-20.25M,,,,,AOR,Restated
2002-12,-3.63M,,,,,,,,,,,,,,,21.10M,-20.02M,,-2.679M,,,24.20M,1.503M,98.96M,,8.281M,,8.281M,,,0.491M,-31.55M,-22.78M,,0.014M,,0.014M,-0.18M,,-0.18M,,,-15.61M,-15.77M,,18.48M,37.50M,1.469M,,,-0.18M,-214.25M,214.26M,,,,,AOR,Restated
2002-09,2.436M,,,,,,,,,,,,,,,19.99M,-2.949M,,3.501M,,,-1.818M,-1.266M,21.16M,,-2.918M,,-2.918M,,,-0.12M,2.786M,-0.252M,,-25.34M,0.00,-25.34M,0.00,,0.00,,,5.363M,-19.98M,,18.21M,0.935M,-0.662M,18.48M,,0.00,80.00M,-105.34M,,,,,AOR,
2002-06,7.289M,,,,,,,,,,,,,,,9.011M,-3.029M,,-10.62M,,,13.76M,0.114M,16.41M,,-3.218M,,-3.218M,,,-0.371M,-1.291M,-4.88M,,-6.643M,0.00,-6.643M,0.18M,,0.18M,,,-6.714M,-13.18M,,20.00M,-1.643M,-0.143M,18.21M,,0.18M,83.75M,-90.39M,,,,,AOR,
2002-03,-6.095M,,,,,,,,,,,,,,,-50.10M,26.00M,,9.798M,,,-36.15M,-0.351M,-56.55M,,-2.145M,,-2.145M,,,,-9.185M,-11.33M,,31.97M,0.00,31.97M,,,,,,-0.88M,31.09M,,57.45M,-36.79M,-0.664M,20.00M,,,50.50M,-18.53M,,,,,AOR,
