,NetIncome,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2006-01,140.26M,,,29.54M,27.73M,27.73M,-24.83M,,,,,-24.19M,-13.07M,42.04M,44.64M,-25.33M,-21.37M,116.85M,-17.27M,126.50M,,275.00M,-35.52M,,-35.52M,,,9.534M,-17.86M,-50.70M,,,68.32M,12.59M,-18.47M,-5.88M,,-11.38M,,5.179M,56.24M,111.59M,280.55M,1.477M,393.61M,12.59M,,,-18.47M
2005-10,23.79M,,,-14.10M,26.62M,26.62M,-11.55M,,,,,24.19M,-3.242M,-50.75M,-18.77M,4.679M,-0.619M,3.832M,4.718M,-60.15M,,-11.20M,-45.21M,,-45.21M,,,-0.126M,65.80M,20.46M,,,7.282M,7.621M,-30.39M,-22.77M,,-11.40M,,1.701M,-25.19M,128.61M,-15.93M,-1.092M,111.59M,7.621M,,,-30.39M
2005-07,50.55M,,,11.10M,27.11M,27.11M,-7.19M,,,,,,-8.758M,-11.96M,-9.858M,5.111M,0.619M,-14.88M,2.795M,-36.92M,,44.64M,-44.43M,,-44.43M,,,-0.421M,0.303M,-44.55M,,,-22.33M,1.698M,-49.97M,-48.27M,,-11.46M,,0.203M,-81.85M,213.71M,-81.76M,-3.338M,128.61M,1.698M,,,-49.97M
2005-04,40.06M,,,7.322M,27.99M,27.99M,-14.87M,,,,,,7.509M,-22.96M,-14.77M,-3.638M,,-82.13M,9.754M,-106.24M,,-45.74M,-31.88M,,-31.88M,,,139.01M,-0.404M,106.72M,,,4.843M,2.632M,-33.98M,-31.35M,,-8.668M,,0.821M,-34.35M,187.68M,26.63M,-0.602M,213.71M,2.632M,,,-33.98M
2005-01,217.04M,,,-176.39M,28.48M,28.48M,-4.439M,,,,,,-10.91M,85.55M,17.28M,13.69M,-11.98M,98.32M,-5.929M,186.02M,,250.71M,-31.31M,,-31.31M,,,118.10M,-5.523M,76.76M,,,-225.06M,0.748M,-40.16M,-39.41M,,-8.682M,,0.189M,-272.96M,129.78M,54.51M,3.392M,187.68M,0.748M,,,-40.16M
2004-10,17.36M,,,9.205M,26.97M,26.97M,-2.707M,,,,,,-4.406M,-79.50M,4.971M,-12.67M,-1.606M,22.38M,3.631M,-67.20M,,-16.38M,-40.50M,,-40.50M,,,-0.171M,3.016M,-37.66M,,,55.72M,0.872M,-21.13M,-20.26M,,-8.76M,,0.293M,26.99M,153.62M,-27.05M,3.20M,129.78M,0.872M,,,-21.13M
2004-07,33.09M,,,8.567M,27.80M,27.80M,-4.156M,,,,,,1.834M,-74.84M,-9.711M,-22.41M,-2.209M,9.126M,4.37M,-93.84M,,-28.54M,-41.55M,,-41.55M,,,-0.18M,-1.705M,-43.43M,,,61.93M,2.465M,-21.32M,-18.85M,,-8.781M,,0.626M,34.92M,190.79M,-37.05M,-0.12M,153.62M,2.465M,,,-21.32M
2004-04,36.81M,,,7.898M,24.94M,24.94M,-3.758M,,,,,,16.46M,-106.61M,-16.43M,3.506M,-1.626M,-41.87M,5.731M,-140.83M,,-74.94M,-28.96M,,-28.96M,,,3.023M,,-25.94M,,,55.09M,2.606M,-4.129M,-1.523M,,-7.346M,,0.892M,47.11M,248.66M,-53.76M,-4.107M,190.79M,2.606M,,,-4.129M
2004-01,110.48M,,,3.887M,23.82M,23.82M,13.56M,,,,,,-15.05M,34.37M,16.94M,-3.763M,3.525M,46.74M,,82.77M,,234.51M,-25.15M,,-25.15M,,,,0.00,-52.60M,,,-88.27M,5.756M,0.00,5.756M,,-7.334M,,,-89.85M,152.72M,92.06M,3.878M,248.66M,5.756M,,,0.00
2003-10,28.03M,,,6.063M,22.79M,22.79M,6.394M,,,,,,-6.97M,-61.16M,-8.709M,14.51M,-0.191M,-3.559M,,-66.08M,,-2.806M,-37.24M,,-37.24M,,,,0.963M,-36.28M,,,75.16M,10.82M,0.00,10.82M,,-7.307M,,,78.68M,116.12M,39.59M,-2.988M,152.72M,10.82M,,,0.00
2003-07,41.15M,,,1.933M,21.50M,21.50M,-0.245M,,,,,,0.665M,-46.54M,-0.539M,5.985M,8.075M,16.34M,,-16.02M,,48.32M,-177.26M,,-177.26M,,,,0.815M,-176.45M,,,124.81M,4.082M,0.00,4.082M,,-7.266M,,,121.62M,123.45M,-6.504M,-0.826M,116.12M,4.082M,,,0.00
2003-04,35.86M,,,4.144M,21.37M,21.37M,-1.212M,,,,,,7.23M,-35.85M,-11.25M,-0.172M,-1.378M,-14.93M,,-56.35M,,3.813M,-33.25M,,-33.25M,,,,1.436M,-31.81M,,,4.184M,1.929M,-4.61M,-2.681M,,-5.793M,,,-4.29M,156.20M,-32.29M,-0.459M,123.45M,1.929M,,,-4.61M
2003-01,89.29M,,,-1.519M,21.72M,21.72M,3.214M,,,,,,-14.86M,50.96M,22.48M,-15.54M,-0.694M,33.48M,,75.83M,,188.53M,-44.40M,,-44.40M,,-1.945M,,0.00,-46.34M,,,-61.72M,0.806M,-11.33M,-10.52M,,-5.793M,,,-78.04M,90.65M,64.15M,1.399M,156.20M,0.806M,,,-11.33M
2002-10,35.18M,,,6.036M,19.14M,19.14M,-0.566M,,,,,,-6.85M,-59.26M,-5.803M,22.04M,-0.047M,5.23M,,-44.69M,,15.11M,-91.81M,,-91.81M,,-24.55M,,0.187M,-116.18M,,,13.67M,0.635M,-8.967M,-8.332M,,-5.805M,,,-0.463M,191.33M,-101.53M,0.852M,90.65M,0.635M,,,-8.967M
2002-07,32.71M,,,7.349M,19.13M,19.13M,-0.76M,,,,,,12.97M,-21.73M,-6.102M,-15.68M,1.073M,-13.22M,,-42.69M,,15.74M,-51.37M,,-51.37M,,,,0.188M,-51.18M,,,94.65M,6.363M,-17.23M,-10.86M,,-5.839M,,,77.94M,145.26M,42.50M,3.565M,191.33M,6.363M,,,-17.23M
2002-04,32.71M,,,11.51M,18.01M,18.01M,-3.203M,,,,,,0.755M,-34.43M,-10.13M,5.647M,-0.462M,-18.35M,,-56.97M,,2.059M,-32.13M,,-32.13M,,,,2.57M,-29.56M,,,-0.006M,2.85M,,2.85M,,-5.819M,,,-2.975M,173.68M,-30.48M,2.069M,145.26M,2.85M,,,
2002-01,82.74M,,,17.51M,17.99M,17.99M,-4.493M,,,,,,-6.671M,68.15M,16.16M,-10.02M,3.109M,37.22M,,107.94M,,221.69M,-35.03M,,-35.03M,,,,0.093M,-34.93M,,,-111.14M,1.73M,-2.849M,-1.119M,,-5.796M,,,-118.06M,106.40M,68.70M,-1.425M,173.68M,1.73M,,,-2.849M
2001-10,24.03M,,,4.253M,16.13M,16.13M,-1.095M,,,,,,-5.713M,-30.40M,-6.694M,16.21M,-2.132M,0.309M,,-28.42M,,14.89M,-51.00M,,-51.00M,,,,0.65M,-50.36M,,,61.14M,0.648M,-27.98M,-27.34M,,-5.836M,,,27.97M,112.73M,-7.491M,1.165M,106.40M,0.648M,,,-27.98M
2001-07,36.05M,,,6.27M,15.16M,15.16M,-1.309M,,,,,,4.007M,-6.963M,-2.074M,-10.91M,-7.343M,-1.123M,,-24.41M,,31.76M,-46.50M,,-46.50M,,,,-9.235M,-55.74M,,,17.83M,2.808M,-2.731M,0.077M,,-5.84M,,,12.07M,124.70M,-11.91M,-0.054M,112.73M,2.808M,,,-2.731M
2001-04,30.76M,,,-1.385M,15.36M,15.36M,-7.771M,,,,,,12.48M,-27.98M,-5.756M,-12.43M,-0.524M,-29.60M,,-63.80M,,-26.83M,-38.27M,,-38.27M,,,,1.00M,-37.27M,,,6.537M,1.12M,-5.70M,-4.58M,,-5.843M,,,-3.886M,195.61M,-67.99M,-2.925M,124.70M,1.12M,,,-5.70M
2001-01,84.67M,,,3.023M,13.38M,13.38M,5.945M,,,,,,-7.521M,-7.285M,,-17.11M,17.54M,35.24M,,20.87M,,127.88M,-37.50M,,-37.50M,,,,8.014M,-37.39M,,,-9.69M,1.015M,-2.115M,-1.10M,,-5.835M,,,-16.62M,121.14M,73.87M,0.604M,195.61M,1.015M,,,-2.115M
2000-10,36.32M,,,18.93M,11.99M,11.99M,-2.725M,,,,,,-1.228M,-108.40M,,17.77M,-9.282M,4.465M,,-96.67M,,-32.16M,-30.49M,,-30.49M,,,,1.29M,-29.20M,,,10.45M,5.20M,0.00,5.20M,,-5.833M,,,9.813M,174.66M,-51.55M,-1.971M,121.14M,5.20M,,,0.00
2000-07,39.16M,,,2.892M,10.81M,10.81M,2.226M,,,,,,4.724M,-39.44M,,2.602M,-9.018M,-2.726M,,-43.86M,,11.23M,-25.13M,,-25.13M,,,,0.976M,-24.16M,,,-0.301M,1.064M,-1.099M,-0.035M,,-10.15M,,,-10.49M,199.17M,-23.41M,-1.091M,174.66M,1.064M,,,-1.099M
2000-04,30.42M,,,11.41M,10.56M,10.56M,-4.664M,,,,,,14.26M,-26.91M,,7.783M,-8.89M,-31.75M,,-45.51M,,2.229M,-15.26M,,-15.26M,,,,-6.519M,-21.78M,,,9.385M,3.462M,-10.10M,-6.643M,,,,,2.742M,216.94M,-16.81M,-0.96M,199.17M,3.462M,,,-10.10M
2000-01,84.58M,,,0.317M,14.64M,14.64M,1.82M,,,,,-0.20M,-14.94M,66.20M,,-12.86M,19.60M,44.29M,,102.29M,,203.45M,-111.44M,,-111.44M,,,-70.64M,71.62M,-117.49M,,,-20.96M,1.606M,,1.606M,,-4.383M,,,-23.74M,155.90M,62.23M,,216.94M,1.606M,,,
1999-10,22.00M,,,8.20M,9.70M,9.70M,-2.10M,,,,,0.30M,-10.10M,-21.40M,,13.40M,-2.30M,17.00M,,-3.40M,,34.70M,-20.00M,,-20.00M,,,70.10M,-69.40M,-19.30M,,,-9.20M,3.10M,,3.10M,,-4.30M,,,-10.40M,151.00M,5.00M,,155.90M,3.10M,,,
1999-07,22.90M,,,5.10M,9.00M,9.00M,-3.80M,,,,,-0.10M,-0.20M,-9.00M,,-10.50M,-22.30M,26.10M,,-15.90M,,17.20M,-20.10M,,-20.10M,,,-70.10M,0.50M,-89.70M,,,13.60M,74.00M,,74.00M,,-4.20M,,-0.10M,83.30M,140.30M,10.80M,,151.00M,74.00M,,,
1999-04,16.20M,,,12.80M,8.20M,8.20M,-4.90M,,,,,,12.50M,-49.20M,,6.10M,-6.20M,-20.50M,,-57.30M,,-25.00M,-19.70M,,-19.70M,,,,2.60M,-17.10M,,,-12.30M,9.10M,,9.10M,,-3.20M,,0.10M,-6.30M,188.60M,-48.40M,,140.30M,9.10M,,,
1999-01,53.30M,,,5.80M,8.10M,8.10M,1.80M,,,,,0.10M,-16.70M,32.80M,,-14.30M,11.80M,32.70M,,46.30M,,115.40M,-7.50M,,-7.50M,,,,0.90M,-14.80M,,,46.00M,2.50M,-12.10M,-9.60M,,8.80M,,-0.10M,45.10M,0.00,145.70M,,188.60M,2.50M,,,-12.10M
1998-10,12.20M,,,1.60M,7.60M,7.60M,0.60M,,,,,-0.10M,-12.40M,-54.20M,,21.70M,-0.10M,6.10M,,-38.90M,,-17.00M,-16.40M,,-16.40M,,,,1.90M,-14.50M,,,41.00M,0.30M,-16.10M,-15.80M,,-3.20M,,0.20M,22.20M,53.30M,-9.30M,,0.00,0.30M,,,-16.10M
1998-07,13.50M,,,2.80M,7.20M,7.20M,-1.20M,,,,,-0.20M,4.60M,-21.90M,,-3.90M,-8.40M,7.80M,,-21.80M,,0.30M,-17.20M,,-17.20M,,,,1.20M,-16.00M,,,7.70M,1.40M,-11.40M,-10.00M,,-3.10M,,-0.20M,-5.60M,0.00,-21.30M,,53.30M,1.40M,,,-11.40M
