,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CommercialPaperLiability,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,UnrealizedGainorLoss-Total,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2007-10,334.85M,56.27M,391.12M,168.68M,168.68M,336.18M,81.27M,928.28M,1.346B,91.68M,65.38M,,2.063B,,,,,,,,1.297B,-539.02M,757.54M,,,115.33M,197.64M,1.071B,3.133B,204.58M,,204.58M,,204.58M,,,,65.40M,,65.40M,,,162.91M,432.88M,397.80M,,397.80M,,,,,,376.15M,773.94M,1.207B,1.357M,1.253B,647.40M,,40.24M,-15.26M,24.99M,1.926B
2007-07,129.03M,,129.03M,152.35M,152.35M,339.96M,73.21M,840.48M,1.254B,79.82M,104.18M,48.90M,1.768B,,,,,,,,1.484B,-539.02M,945.28M,,,51.10M,168.18M,1.165B,2.932B,164.16M,,164.16M,,164.16M,,,,136.45M,,136.45M,,,107.29M,407.90M,400.64M,,400.64M,,,,,,228.06M,628.70M,1.037B,1.368M,1.266B,619.46M,,24.80M,-15.73M,9.072M,1.896B
2007-04,117.27M,10.00M,127.27M,162.05M,162.05M,331.71M,71.86M,891.58M,1.295B,74.05M,71.70M,,1.730B,,,,,,,,1.478B,-539.02M,938.60M,,,52.57M,177.26M,1.168B,2.899B,177.89M,,177.89M,,177.89M,,,,121.26M,,121.26M,,,98.81M,397.96M,401.72M,,401.72M,,,,,,228.65M,630.37M,1.028B,1.367M,1.278B,584.61M,,21.36M,-14.93M,6.429M,1.870B
2007-01,175.01M,15.50M,190.51M,165.59M,165.59M,316.21M,58.37M,772.10M,1.147B,57.46M,72.93M,73.47M,1.707B,,,,,,,,1.451B,-539.02M,912.14M,,,37.37M,189.36M,1.139B,2.846B,133.07M,,133.07M,82.90M,215.97M,,,,112.08M,,112.08M,,,124.62M,452.67M,406.38M,,406.38M,,,,,,181.56M,587.94M,1.041B,1.358M,1.270B,536.19M,,11.85M,-14.44M,-2.59M,1.805B
2006-10,58.18M,,58.18M,150.07M,150.07M,308.79M,60.28M,940.40M,1.309B,70.98M,78.73M,,1.667B,,,,,,,,1.415B,-487.94M,926.99M,,,30.77M,184.84M,1.143B,2.810B,223.38M,,223.38M,,223.38M,,,,243.71M,,243.71M,,,68.48M,535.56M,416.86M,,416.86M,1.072M,,1.072M,,,169.86M,587.79M,1.123B,1.353M,1.159B,510.53M,,14.95M,0.798M,15.75M,1.687B
2006-07,146.94M,,146.94M,143.45M,143.45M,318.10M,71.12M,847.78M,1.237B,62.41M,80.40M,,1.670B,,,,,,,,1.392B,-487.94M,904.48M,,,30.41M,181.94M,1.117B,2.787B,199.30M,,199.30M,,199.30M,,,,148.49M,,148.49M,,,89.04M,436.83M,423.82M,,423.82M,0.935M,,0.935M,,,164.89M,589.64M,1.026B,1.381M,1.237B,504.68M,,16.05M,1.205M,17.26M,1.761B
2006-04,180.54M,46.18M,226.72M,156.12M,156.12M,263.02M,61.14M,816.66M,1.141B,54.18M,73.50M,,1.651B,,,,,,,,1.376B,-487.94M,888.22M,,,27.36M,184.92M,1.101B,2.752B,210.22M,,210.22M,,210.22M,,,,53.97M,,53.97M,,,93.65M,357.84M,428.45M,,428.45M,0.797M,,0.797M,,,161.02M,590.26M,948.10M,1.406M,1.288B,499.60M,,14.19M,0.385M,14.58M,1.804B
2006-01,393.61M,,393.61M,142.29M,142.29M,244.40M,51.72M,764.04M,1.060B,33.20M,69.58M,,1.699B,0.0,203.37M,631.11M,498.05M,,21.42M,,1.354B,-487.94M,866.00M,,,29.83M,182.60M,1.078B,2.777B,202.65M,,202.65M,,202.65M,,,,45.13M,,45.13M,,,116.84M,364.61M,426.55M,,426.55M,,,,,,155.20M,581.75M,946.36M,1.425M,1.331B,488.96M,,5.281M,3.926M,9.207M,1.831B
2005-10,111.59M,,111.59M,129.45M,129.45M,246.49M,47.46M,814.87M,1.104B,73.80M,74.54M,,1.494B,,,,,,,,1.295B,-434.36M,860.71M,,,,145.52M,1.006B,2.500B,182.83M,,182.83M,,182.83M,,,,30.36M,,30.36M,,,69.70M,282.89M,373.61M,,373.61M,,,,,,150.80M,524.40M,807.30M,1.421M,1.220B,464.11M,,5.183M,1.988M,7.171M,1.693B
2005-07,128.61M,,128.61M,126.00M,126.00M,232.96M,46.47M,791.34M,1.066B,51.99M,72.08M,,1.445B,,,,,,,,1.351B,-434.36M,916.37M,,,,139.24M,1.056B,2.501B,178.32M,,178.32M,,178.32M,,,,22.97M,,22.97M,,,72.00M,273.29M,381.30M,,381.30M,9.79M,,9.79M,,,142.32M,533.40M,806.69M,1.424M,1.237B,445.35M,,9.525M,0.92M,10.44M,1.694B
2005-04,213.71M,,213.71M,120.71M,120.71M,236.70M,49.46M,792.10M,1.074B,41.12M,69.38M,,1.519B,,,,,,,,1.352B,-434.36M,917.42M,,,,140.51M,1.058B,2.576B,177.51M,,177.51M,,177.51M,,,,47.49M,,47.49M,,,87.22M,312.22M,392.18M,,392.18M,21.67M,,21.67M,,,139.86M,553.70M,865.92M,1.438M,1.245B,439.24M,,26.00M,-1.45M,24.55M,1.711B
2005-01,187.68M,139.20M,326.88M,133.54M,133.54M,236.80M,53.99M,771.19M,1.057B,25.43M,64.79M,,1.608B,0.0,238.33M,643.21M,443.48M,,27.19M,,1.352B,-434.36M,917.85M,,,,140.38M,1.058B,2.666B,186.01M,,186.01M,,186.01M,,,,42.96M,,42.96M,,,170.85M,399.82M,397.61M,,397.61M,33.18M,,33.18M,,,134.36M,565.14M,964.96M,1.445M,1.246B,426.31M,,29.04M,-1.969M,27.08M,1.701B
2004-10,129.78M,,129.78M,124.08M,124.08M,241.05M,70.16M,824.74M,1.131B,43.61M,51.18M,,1.479B,,,,,,,,1.261B,-342.76M,917.84M,,,,188.86M,1.107B,2.586B,193.46M,,193.46M,,193.46M,,,,267.39M,,267.39M,,,62.66M,523.50M,393.19M,,393.19M,26.26M,,26.26M,,,133.27M,552.72M,1.076B,1.457M,1.087B,404.61M,,19.31M,-2.123M,17.18M,1.510B
2004-07,153.62M,,153.62M,114.60M,114.60M,226.72M,84.77M,727.73M,1.034B,50.03M,48.16M,,1.401B,,,,,,,,1.235B,-342.76M,892.44M,,,,182.36M,1.075B,2.476B,173.64M,,173.64M,,173.64M,,,,206.97M,,206.97M,,,69.48M,450.08M,379.36M,,379.36M,17.71M,,17.71M,,,125.14M,522.22M,972.30M,1.464M,1.095B,404.10M,,,,3.07M,1.503B
2004-04,190.79M,,190.79M,115.51M,115.51M,212.13M,60.15M,697.36M,964.95M,40.41M,46.42M,,1.358B,,,,,,,,1.222B,-342.76M,879.10M,,,,180.36M,1.059B,2.418B,185.59M,,185.59M,,185.59M,,,,145.82M,,145.82M,,,72.89M,404.30M,382.88M,,382.88M,18.52M,,18.52M,,,117.04M,518.44M,922.74M,1.468M,1.087B,401.93M,,,,4.201M,1.495B
2004-01,248.66M,27.45M,276.12M,131.99M,131.99M,165.77M,50.52M,659.56M,871.25M,23.68M,45.04M,,1.348B,0.0,233.34M,588.60M,389.44M,,16.48M,,1.228B,-342.76M,885.09M,,,,157.91M,1.043B,2.391B,209.84M,,209.84M,,209.84M,,,,93.87M,,93.87M,,,91.45M,395.16M,392.99M,,392.99M,22.40M,,22.40M,,,112.34M,527.73M,922.89M,1.467M,1.058B,395.18M,,,,13.35M,1.468B
2003-10,152.72M,,152.72M,115.41M,115.41M,141.52M,53.91M,706.65M,897.48M,43.84M,44.50M,,1.254B,,,,,,,,1.181B,-303.77M,877.20M,,,1.967M,158.85M,1.038B,2.292B,199.76M,,199.76M,,199.76M,,,,178.78M,,178.78M,,,45.82M,424.35M,386.68M,,386.68M,,,,,,134.31M,520.99M,945.34M,1.463M,955.06M,384.32M,,11.15M,-5.338M,5.81M,1.347B
2003-07,116.12M,,116.12M,104.95M,104.95M,134.01M,49.92M,634.75M,814.41M,35.70M,44.18M,,1.115B,,,,,,,,1.148B,-303.77M,844.63M,,,7.895M,159.14M,1.012B,2.127B,172.38M,,172.38M,,172.38M,,,,186.16M,,186.16M,,,65.47M,424.01M,289.69M,,289.69M,,,,,,131.93M,421.62M,845.63M,1.454M,934.34M,363.84M,,-13.97M,-4.258M,-18.23M,1.281B
2003-04,123.45M,,123.45M,107.10M,107.10M,107.09M,36.82M,626.31M,765.78M,35.45M,44.84M,,1.077B,,,,,,,,991.87M,-303.77M,688.09M,,,7.208M,172.04M,867.34M,1.944B,156.83M,,156.83M,,156.83M,,,,57.35M,,57.35M,,,70.58M,284.75M,298.42M,,298.42M,,,,,,123.56M,421.98M,706.73M,1.449M,900.46M,355.79M,,-15.80M,-4.657M,-20.45M,1.237B
2003-01,156.20M,,156.20M,113.06M,113.06M,91.50M,29.70M,615.25M,732.09M,24.66M,44.38M,,1.070B,0.0,78.75M,473.74M,336.78M,,92.13M,,981.40M,-303.77M,677.63M,,,6.595M,168.97M,853.20M,1.924B,163.34M,,163.34M,,163.34M,,,,52.55M,,52.55M,,,84.02M,299.91M,297.11M,,297.11M,,,,,,118.52M,415.63M,715.54M,1.449M,874.69M,351.40M,,-14.56M,-4.931M,-19.49M,1.208B
2002-10,90.65M,,90.65M,96.11M,96.11M,90.57M,36.04M,655.85M,777.93M,43.17M,48.66M,,1.057B,,,,,,,,889.65M,-239.15M,650.50M,,,6.377M,154.46M,811.34M,1.868B,182.12M,,182.12M,,182.12M,,,,109.77M,,109.77M,,,40.00M,331.90M,295.95M,,295.95M,,,,,,114.84M,410.79M,742.68M,1.451M,801.93M,350.47M,,-27.21M,-1.466M,-28.67M,1.125B
2002-07,191.33M,,191.33M,87.56M,87.56M,95.12M,34.48M,564.48M,689.73M,34.37M,48.96M,,1.052B,,,,,,,,812.63M,-239.15M,573.48M,,,5.415M,146.52M,725.41M,1.777B,133.59M,,133.59M,,133.59M,,,,89.81M,,89.81M,,,48.61M,272.02M,289.21M,,289.21M,,,,,,106.94M,396.15M,668.17M,1.454M,780.99M,350.03M,,-22.29M,-0.993M,-23.28M,1.109B
2002-04,145.26M,,145.26M,100.98M,100.98M,86.76M,30.72M,539.42M,653.08M,33.84M,45.80M,,978.97M,,,,,,,,779.54M,-239.15M,540.38M,,,5.452M,145.66M,691.50M,1.670B,171.91M,,171.91M,,171.91M,,,,93.48M,,93.48M,,,65.93M,331.31M,182.00M,,182.00M,,,,,,74.67M,256.66M,587.97M,1.457M,770.43M,344.83M,,-36.88M,2.649M,-34.23M,1.082B
2002-01,173.68M,,173.68M,98.53M,98.53M,67.78M,18.72M,528.67M,611.65M,28.03M,41.17M,,953.06M,0.0,55.50M,374.55M,278.96M,,55.73M,,764.74M,-239.15M,525.58M,,,4.56M,147.87M,678.02M,1.631B,134.69M,,134.69M,,134.69M,,,,91.90M,,91.90M,,,87.75M,314.35M,179.06M,,179.06M,,,,,,100.72M,279.78M,594.13M,1.45M,743.54M,330.74M,,-45.31M,6.515M,-38.79M,1.037B
2001-10,106.40M,,106.40M,99.09M,99.09M,72.47M,28.63M,605.53M,702.75M,42.80M,38.03M,,989.08M,,,,,,,,703.85M,-192.58M,511.27M,,,5.36M,151.09M,667.72M,1.657B,183.68M,,183.68M,,183.68M,,,,158.55M,,158.55M,,,37.96M,380.20M,237.55M,,237.55M,,,,,,70.63M,308.18M,688.37M,1.449M,669.29M,327.36M,,-29.68M,,-29.68M,968.42M
2001-07,112.73M,,112.73M,92.08M,92.08M,73.14M,30.23M,569.29M,667.80M,38.57M,36.04M,,947.22M,,,,,,,,665.69M,-192.58M,473.11M,,,4.446M,152.80M,630.35M,1.578B,151.99M,,151.99M,,151.99M,,,,92.02M,,92.02M,,,53.18M,297.18M,235.44M,,235.44M,,,,,,68.90M,304.34M,601.52M,1.461M,677.20M,327.98M,,,,-30.58M,976.05M
2001-04,124.70M,,124.70M,94.01M,94.01M,66.19M,57.78M,546.02M,665.89M,36.72M,33.38M,,954.70M,,,,,,,,637.07M,-192.58M,444.49M,,,4.917M,138.19M,587.59M,1.542B,162.94M,,162.94M,,162.94M,,,,75.51M,,75.51M,,,57.93M,296.38M,236.14M,,236.14M,,,,,,64.63M,300.77M,597.15M,1.459M,649.60M,323.08M,,,,-29.00M,945.14M
2001-01,195.61M,,195.61M,106.99M,106.99M,87.21M,56.64M,510.89M,651.72M,22.46M,28.07M,,1.005B,,,,,,,,615.82M,-192.58M,423.24M,,,7.282M,132.97M,563.50M,1.568B,189.53M,,189.53M,,189.53M,,,,69.52M,,69.52M,,,78.14M,337.20M,242.16M,,242.16M,,,,,,63.50M,305.66M,642.86M,1.459M,630.08M,318.79M,,-24.85M,,-24.85M,925.48M
2000-10,121.14M,,121.14M,,100.66M,,,,657.11M,,,79.02M,957.94M,,,,,,,,528.61M,-171.76M,356.85M,,,,137.88M,494.72M,1.453B,213.85M,,213.85M,,213.85M,,,,36.85M,,36.85M,,,38.43M,289.13M,247.86M,,247.86M,,,,,,61.61M,309.47M,598.60M,1.459M,553.13M,320.89M,,-21.42M,,-21.42M,854.06M
2000-07,174.66M,,174.66M,,100.53M,,,,559.68M,,,67.10M,901.96M,,,,,,,,511.39M,-171.76M,339.63M,,,,138.62M,478.24M,1.380B,181.25M,,181.25M,,181.25M,,,,28.67M,,28.67M,,,50.64M,260.55M,247.24M,,247.24M,,,,,,59.66M,306.90M,567.46M,1.452M,522.64M,305.96M,,-17.29M,,-17.29M,812.75M
2000-04,199.17M,,199.17M,,106.42M,,,,525.59M,,,61.60M,892.78M,,,,,,,,488.06M,-161.69M,326.37M,,,,138.48M,464.84M,1.358B,178.90M,,178.90M,,178.90M,,,,28.96M,,28.96M,,,55.21M,263.07M,250.18M,,250.18M,,,,,,57.78M,307.96M,571.02M,1.453M,494.44M,303.99M,,-13.29M,,-13.29M,786.60M
2000-01,216.94M,,216.94M,,119.36M,,,,504.80M,,,50.57M,891.66M,,,,,,,,474.52M,-152.12M,322.40M,,,,129.50M,451.90M,1.344B,176.10M,,176.10M,,176.10M,,,,20.65M,,20.65M,,,84.23M,280.98M,249.58M,,249.58M,,,,,,55.93M,305.51M,586.49M,1.45M,473.82M,293.17M,,-11.37M,,-11.37M,757.08M
1999-10,155.90M,,155.90M,,107.00M,,,,576.00M,,,64.80M,903.70M,,,,,,,,362.40M,-145.40M,217.00M,,,,141.70M,358.70M,1.262B,194.30M,,194.30M,,194.30M,,,,44.00M,,44.00M,,,36.60M,274.90M,251.60M,,251.60M,,,,,,57.70M,309.30M,584.20M,0.70M,393.60M,290.40M,,-6.50M,,-6.50M,678.20M
1999-07,151.00M,,151.00M,,93.20M,,,,536.60M,,,59.50M,840.30M,,,,,,,,341.00M,-135.50M,205.50M,,,,141.00M,346.50M,1.187B,150.50M,,150.50M,,150.50M,,,,98.30M,,98.30M,,,42.30M,291.10M,194.80M,,194.80M,,,,,,56.30M,251.10M,542.20M,0.70M,376.00M,281.60M,,,,-13.60M,644.60M
1999-04,140.30M,,140.30M,,92.60M,,,,523.50M,,,48.20M,804.60M,,,,,,,,321.90M,-127.50M,194.40M,,,,55.60M,250.00M,1.055B,144.90M,,144.90M,,144.90M,,,,82.70M,,82.70M,,,32.50M,260.10M,193.50M,,193.50M,,,,,,54.90M,248.40M,508.50M,,357.20M,,,,,,546.10M
1999-01,188.60M,,188.60M,,108.40M,,,,481.40M,,,37.20M,815.60M,,,,,,,,310.10M,-120.30M,189.80M,,,,51.62M,241.42M,1.057B,140.70M,,140.70M,,140.70M,,,,97.40M,,97.40M,,,54.60M,292.70M,194.40M,,194.40M,,,,,,53.42M,247.82M,540.52M,,344.20M,,,,,,516.50M
1998-10,43.90M,,43.90M,,92.50M,,,,519.40M,,,56.00M,711.80M,,,,,,,,297.20M,-113.80M,183.40M,,,,48.30M,231.70M,943.50M,154.10M,,154.10M,,154.10M,,,,154.00M,,154.00M,,,24.80M,332.90M,94.30M,,94.30M,,,,,,52.00M,146.30M,479.20M,,294.30M,,,,,,464.30M
1998-07,53.30M,,53.30M,,72.10M,,,,430.90M,,,54.30M,610.60M,,,,,,,,278.60M,-105.50M,173.10M,,,,46.20M,219.30M,829.90M,118.80M,,118.80M,,118.80M,,,,93.60M,,93.60M,,,26.90M,239.30M,86.30M,,86.30M,,,,,,45.50M,131.80M,371.10M,,299.90M,,,,,,458.80M
