,NetIncome,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AmortizationofSecurities,UnrealizedGain(Loss)onInvestmentSecurities,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData,,AsOriginallyReported,Restated
2012-09,41.55M,,,,19.77M,19.77M,,,0.997M,-12.17M,5.046M,2.486M,3.705M,-2.498M,,8.739M,60.34M,,-0.397M,,-0.397M,-0.351M,,13.85M,-309.15M,,130.89M,,130.89M,-0.006M,,-0.006M,,,-20.86M,-20.86M,2.793M,-5.897M,106.92M,,185.50M,-141.89M,43.61M,,-0.006M,314.17M,-183.28M,,0.00,16.60M,,AOR,Restated
2012-06,24.74M,,,,16.63M,16.63M,,,1.364M,0.809M,-0.561M,7.294M,-1.818M,3.775M,,8.69M,51.83M,,-0.692M,,-0.692M,0.01M,,-20.84M,-49.52M,,-60.17M,,-60.17M,226.70M,,226.70M,,,-20.83M,-20.83M,3.694M,-3.776M,145.62M,,37.58M,147.93M,185.50M,,226.70M,119.51M,-179.68M,,0.00,16.51M,,AOR,Restated
2012-03,22.52M,,,,16.52M,16.52M,,,0.957M,2.374M,3.102M,-5.25M,2.979M,-3.003M,,-2.172M,40.79M,,-0.531M,,-0.531M,1.136M,,1.495M,-16.40M,,8.922M,,8.922M,,,,,,-19.00M,-19.00M,2.444M,-5.668M,-13.30M,,26.48M,11.09M,37.58M,,,206.97M,-198.05M,,0.473M,14.70M,,AOR,Restated
2011-12,18.41M,,-4.665M,-4.665M,15.97M,15.97M,-3.72M,,1.862M,6.036M,-8.333M,4.156M,7.533M,-1.118M,0.361M,2.599M,43.51M,,114.20M,,107.88M,,-0.877M,5.444M,-82.73M,,42.60M,,42.60M,-0.003M,,-0.003M,,,-7.121M,-7.121M,6.508M,-10.18M,31.81M,,33.90M,-7.411M,26.48M,,-0.003M,105.24M,-62.64M,,,,,AOR,Restated
2011-09,17.35M,,-0.504M,-0.504M,14.36M,14.36M,1.487M,,1.184M,0.44M,-1.694M,7.179M,,,-4.344M,1.141M,35.46M,,-29.18M,,-27.36M,,4.282M,-48.65M,-73.55M,,51.54M,,51.54M,-0.18M,,-0.18M,,,-15.23M,-15.23M,1.609M,-0.949M,36.80M,,35.19M,-1.292M,33.90M,,-0.18M,105.56M,-54.01M,,,,,AOR,Restated
2011-06,12.52M,,3.856M,3.856M,14.09M,14.09M,1.131M,,1.585M,0.44M,0.844M,-1.621M,-3.11M,1.474M,3.983M,1.57M,35.19M,,-82.48M,,-81.41M,,-0.328M,7.827M,-74.98M,,-64.87M,,-64.87M,112.53M,,112.53M,,,-15.27M,-15.27M,1.947M,-1.916M,32.42M,,42.56M,-7.368M,35.19M,,112.53M,155.83M,-220.70M,,,,,AOR,Restated
2011-03,10.14M,,1.313M,1.313M,13.58M,13.58M,1.102M,,1.126M,0.428M,0.549M,0.123M,3.11M,-1.474M,,2.308M,30.00M,,-7.551M,,-4.12M,,-3.077M,-10.03M,-20.66M,,-6.137M,,-6.137M,,,,,,-14.41M,-14.41M,8.558M,-1.555M,-13.54M,,46.75M,-4.195M,42.56M,,,108.86M,-115.00M,,,,,AOR,Restated
2010-12,10.79M,,-4.83M,-6.83M,13.21M,13.21M,-3.323M,,1.123M,6.782M,4.248M,-0.203M,0.486M,-2.917M,,1.614M,30.08M,,52.68M,,24.15M,-16.65M,1.939M,2.721M,-49.21M,,55.57M,,55.57M,0.00,,0.00,,,-3.087M,-3.087M,0.56M,-8.965M,44.08M,,21.80M,24.95M,46.75M,,0.00,59.94M,-4.368M,,,,,AOR,Restated
2010-09,9.482M,,1.735M,3.735M,12.52M,12.52M,0.976M,,1.055M,0.416M,-4.004M,3.252M,-2.097M,3.325M,,0.476M,28.66M,,-18.74M,,-8.523M,0.00,7.12M,0.806M,-10.81M,,-10.35M,,-10.35M,0.00,,0.00,,,-10.62M,-10.62M,1.396M,-4.819M,-24.40M,,28.35M,-6.556M,21.80M,,0.00,27.03M,-37.38M,,,,,AOR,Restated
2010-06,13.10M,,1.744M,1.744M,12.20M,12.20M,1.097M,,1.483M,-4.763M,2.415M,-1.705M,5.408M,-0.929M,,5.189M,30.06M,,-26.76M,,-14.48M,0.00,-8.002M,-0.737M,-35.50M,,-65.78M,,-65.78M,0.00,,0.00,,,-10.65M,-10.65M,3.218M,-1.735M,-74.94M,,108.74M,-80.39M,28.35M,,0.00,96.65M,-162.43M,,,,,AOR,Restated
