,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermReceivables,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,Shareholder'sEquity(Quarterly),TotalCapitalStock,RetainedEarnings,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,ShareholdersEquity,,SECFilingLinks,AsOriginallyReported,Restated
2008-03,3.86B,3.86B,5.595B,,5.595B,841.00M,,,862.00M,1.238B,12.40B,0.00,1.185B,,,31.25B,1.159B,,33.59B,-16.04B,17.56B,22.09B,2.473B,24.57B,,,,7.771B,49.90B,62.29B,5.399B,,5.399B,,5.399B,2.861B,2.861B,,,2.996B,11.26B,12.93B,,12.93B,2.321B,,2.321B,,1.146B,,3.851B,19.10B,2008-03,24.60B,26.38B,20.07B,215.00M,30.79B,,2008-03,,Restated
2007-12,3.414B,3.414B,6.994B,,6.994B,731.00M,,,862.00M,1.267B,13.27B,0.00,1.172B,,,30.65B,1.076B,,32.90B,-15.54B,17.36B,22.07B,7.422B,29.49B,,,,2.656B,49.50B,62.77B,7.084B,,7.084B,,7.084B,2.945B,2.945B,,,2.354B,12.38B,12.78B,,12.78B,2.225B,,2.225B,,1.327B,,3.672B,18.68B,2007-12,24.42B,25.25B,19.15B,166.00M,30.38B,,2007-12,,
2007-09,3.67B,3.67B,5.032B,,5.032B,641.00M,446.00M,,862.00M,663.00M,11.31B,0.00,4.802B,15.36B,11.27B,,1.147B,,32.58B,-15.14B,17.43B,22.08B,7.617B,29.70B,,,,2.479B,49.61B,60.93B,3.996B,,3.996B,1.953B,5.949B,3.28B,3.28B,,,2.162B,11.39B,11.89B,274.00M,12.17B,2.573B,,2.573B,,1.295B,,2.75B,17.49B,2007-09,24.21B,24.80B,18.10B,164.00M,30.75B,,2007-09,,
2007-06,3.464B,3.464B,5.139B,,5.139B,608.00M,,,588.00M,1.019B,10.82B,0.00,1.154B,,,29.70B,929.00M,,31.79B,-14.72B,17.06B,22.02B,7.405B,29.42B,,,,2.364B,48.85B,59.67B,5.137B,,5.137B,,5.137B,1.947B,1.947B,,,2.461B,9.545B,11.73B,,11.73B,2.451B,,2.451B,,1.202B,,3.184B,17.36B,2007-06,23.99B,23.93B,16.38B,,31.56B,,2007-06,,
2007-03,2.182B,2.182B,4.949B,,4.949B,622.00M,,,592.00M,1.169B,9.514B,0.00,1.193B,,,29.33B,1.004B,,31.52B,-14.49B,17.03B,22.70B,8.099B,30.80B,,,,2.257B,50.09B,59.60B,5.396B,,5.396B,,5.396B,2.399B,2.399B,,,2.482B,10.28B,10.29B,,10.29B,2.646B,,2.646B,,1.128B,,3.521B,16.46B,2007-03,23.54B,22.62B,14.44B,127.00M,31.74B,,2007-03,,
2006-12,2.437B,2.437B,6.313B,,6.313B,670.00M,,,592.00M,1.103B,11.12B,0.00,1.187B,,,29.26B,855.00M,,31.30B,-14.16B,17.14B,22.54B,8.036B,30.58B,,,,2.153B,49.88B,60.99B,6.916B,,6.916B,,6.916B,1.759B,1.759B,1.912B,1.912B,,10.59B,10.63B,,10.63B,2.596B,,2.596B,,1.358B,,3.315B,16.54B,2006-12,22.94B,21.69B,12.14B,,32.51B,,2006-12,,
2006-09,2.411B,2.411B,4.707B,,4.707B,694.00M,,,592.00M,1.158B,9.562B,0.00,1.192B,,,28.84B,913.00M,,30.95B,-13.78B,17.17B,22.50B,8.142B,30.65B,,,,2.622B,50.44B,60.00B,5.917B,,5.917B,,5.917B,2.682B,2.682B,,,1.611B,10.21B,10.84B,,10.84B,2.651B,,2.651B,,1.343B,,3.131B,16.62B,2006-09,22.38B,20.63B,11.18B,,31.82B,,2006-09,,
2006-06,1.953B,1.953B,4.743B,,4.743B,641.00M,,,749.00M,1.079B,9.165B,0.00,1.191B,,28.41B,,936.00M,,30.53B,-13.53B,17.01B,22.53B,8.435B,30.97B,,,,2.217B,50.19B,59.36B,4.811B,,4.811B,,4.811B,2.692B,2.692B,,,1.848B,9.351B,9.974B,,9.974B,2.453B,,2.453B,,1.256B,,3.789B,16.22B,2006-06,21.63B,19.85B,8.337B,,32.53B,,2006-06,,
2006-03,2.031B,2.031B,4.727B,,4.727B,643.00M,,,749.00M,1.513B,9.663B,0.00,1.139B,,27.88B,,791.00M,,29.80B,-13.09B,16.72B,16.98B,2.712B,19.70B,,,,7.545B,43.96B,53.62B,5.095B,,5.095B,,5.095B,2.303B,2.303B,,,2.069B,9.467B,10.52B,,10.52B,2.399B,,2.399B,,1.174B,,4.115B,17.03B,2006-03,13.78B,18.72B,5.978B,,25.95B,,2006-03,,
2005-12,1.819B,1.819B,5.265B,,5.265B,611.00M,,,749.00M,1.366B,9.81B,0.00,1.128B,,27.51B,,873.00M,,29.51B,-12.79B,16.72B,,19.68B,19.68B,,,,7.451B,43.86B,53.67B,5.90B,,5.90B,,5.90B,2.754B,2.754B,,,1.582B,10.24B,10.45B,,10.45B,2.43B,,2.43B,,1.288B,,3.913B,16.79B,2005-12,13.40B,17.99B,5.461B,,25.35B,,2005-12,,
2005-09,1.723B,1.723B,4.585B,,4.585B,626.00M,,,749.00M,1.162B,8.845B,0.00,1.129B,,27.57B,,874.00M,,29.57B,-12.60B,16.97B,16.97B,8.158B,25.13B,,,,2.213B,44.31B,53.16B,5.339B,,5.339B,,5.339B,2.31B,2.31B,,,1.519B,9.168B,10.16B,,10.16B,2.43B,,2.43B,,1.248B,,3.945B,16.53B,2005-09,13.29B,17.78B,4.281B,,26.21B,,2005-09,,
2005-06,2.034B,2.034B,4.87B,,4.87B,611.00M,,,772.00M,1.221B,9.508B,0.00,1.129B,,25.83B,,2.134B,,29.09B,-12.40B,16.69B,,19.77B,19.77B,,,,7.926B,44.38B,53.89B,4.831B,,4.831B,,4.831B,1.609B,1.609B,,,1.596B,8.036B,10.92B,,10.92B,3.113B,,3.113B,,1.153B,,3.611B,17.65B,2005-06,12.93B,17.51B,3.223B,,27.05B,,2005-06,,
2005-03,1.941B,1.941B,5.354B,,5.354B,665.00M,,,772.00M,1.45B,10.18B,0.00,1.137B,,25.64B,,2.331B,,29.11B,-12.31B,16.80B,,19.77B,19.77B,,,,8.296B,44.86B,55.05B,5.261B,,5.261B,,5.261B,1.523B,1.523B,,,1.812B,8.596B,11.66B,,11.66B,3.036B,,3.036B,,1.081B,,3.707B,18.41B,2005-03,12.82B,16.66B,2.306B,140.00M,26.96B,,2005-03,,
2004-12,2.166B,2.166B,5.334B,,5.334B,658.00M,,,778.00M,1.442B,10.38B,0.00,1.142B,,25.77B,,2.066B,,28.98B,-12.15B,16.83B,,19.77B,19.77B,,,,8.473B,45.07B,55.45B,6.259B,,6.259B,,6.259B,3.405B,3.405B,,,1.60B,11.26B,10.31B,,10.31B,2.881B,,2.881B,,909.00M,,3.75B,16.94B,2004-12,12.56B,15.96B,1.873B,144.00M,26.34B,,2004-12,,
2004-09,2.042B,2.042B,4.255B,303.00M,4.558B,775.00M,,,772.00M,1.222B,9.369B,0.00,1.127B,,25.17B,,1.852B,,28.15B,-11.66B,16.48B,,19.78B,19.78B,,,,8.27B,44.53B,53.90B,5.623B,,5.623B,,5.623B,4.093B,4.093B,,,1.343B,11.06B,9.395B,,9.395B,2.95B,,2.95B,,798.00M,,3.619B,15.96B,2004-09,12.45B,15.73B,1.862B,,26.08B,,2004-09,,
2004-06,3.023B,3.023B,4.529B,,4.529B,699.00M,,,674.00M,1.242B,10.17B,0.00,1.136B,,24.36B,,2.152B,,27.65B,-11.40B,16.25B,,19.77B,19.77B,,,,8.378B,44.39B,54.56B,5.418B,,5.418B,,5.418B,5.216B,5.216B,,,1.524B,12.16B,9.352B,,9.352B,2.804B,,2.804B,,667.00M,,4.089B,16.24B,2004-06,12.39B,15.22B,1.525B,107.00M,25.49B,,2004-06,,
2004-03,3.148B,3.148B,4.612B,,4.612B,742.00M,,,675.00M,1.571B,10.75B,0.00,1.138B,,24.78B,,1.871B,,27.79B,-11.52B,16.28B,,19.74B,19.74B,,,,8.329B,44.35B,55.10B,5.738B,,5.738B,,5.738B,5.354B,5.354B,,,1.684B,12.78B,9.961B,,9.961B,2.894B,,2.894B,,733.00M,,3.972B,16.83B,2004-03,12.33B,14.61B,1.526B,95.00M,24.76B,,2004-03,,
2003-12,1.462B,1.462B,5.67B,,5.67B,660.00M,,,674.00M,1.61B,10.08B,0.00,919.00M,,19.50B,,1.157B,,21.57B,-9.002B,12.57B,,19.74B,19.74B,,,,9.13B,41.44B,51.52B,5.95B,,5.95B,,5.95B,2.332B,2.332B,,,1.273B,9.555B,10.83B,,10.83B,2.744B,,2.744B,,444.00M,,3.916B,17.49B,2003-12,12.18B,14.08B,1.526B,93.00M,24.03B,,2003-12,,
2003-09,1.583B,1.583B,4.018B,220.00M,4.238B,703.00M,484.00M,,674.00M,632.00M,8.314B,0.00,3.039B,599.00M,16.76B,,1.076B,,21.47B,-8.794B,12.68B,,19.75B,19.75B,,,,9.244B,41.67B,49.99B,4.095B,,4.095B,,4.095B,2.457B,2.457B,,,2.117B,8.669B,10.64B,,10.64B,2.712B,,2.712B,,428.00M,,3.745B,17.10B,2003-09,12.15B,13.82B,1.527B,63.00M,23.79B,,2003-09,,
2003-06,1.37B,1.37B,4.171B,,4.171B,622.00M,,,623.00M,1.182B,7.968B,0.00,892.00M,,19.19B,,1.362B,,21.44B,-8.814B,12.63B,,19.76B,19.76B,,,,9.653B,42.04B,50.01B,4.509B,,4.509B,,4.509B,1.855B,1.855B,,,1.149B,7.513B,12.06B,,12.06B,2.961B,,2.961B,,388.00M,,3.156B,18.17B,2003-06,12.14B,13.44B,1.527B,,23.93B,,2003-06,,
2003-03,1.752B,1.752B,4.382B,,4.382B,629.00M,,,624.00M,1.278B,8.665B,0.00,764.00M,,19.18B,,1.312B,,21.25B,-8.519B,12.74B,,19.74B,19.74B,,,,9.611B,42.09B,50.76B,4.952B,,4.952B,,4.952B,1.781B,1.781B,,,1.171B,7.904B,12.93B,,12.93B,2.72B,,2.72B,,491.00M,,3.199B,18.85B,2003-03,12.12B,13.04B,1.527B,,23.51B,,2003-03,,
2002-12,1.38B,1.38B,4.765B,,4.765B,631.00M,,,624.00M,1.334B,8.734B,0.00,733.00M,,19.21B,,1.116B,,21.06B,-8.35B,12.71B,,19.74B,19.74B,,,,9.687B,42.14B,50.88B,5.675B,,5.675B,,5.675B,1.82B,1.82B,,,836.00M,8.331B,13.08B,,13.08B,2.611B,,2.611B,,459.00M,,3.111B,18.80B,2002-12,12.10B,12.81B,1.527B,,23.28B,,2002-12,,
2002-09,1.239B,1.239B,3.96B,89.00M,4.049B,697.00M,492.00M,,624.00M,748.00M,7.849B,0.00,848.00M,,18.92B,,1.148B,,20.91B,-8.133B,12.78B,,19.86B,19.86B,,,,9.557B,42.20B,50.04B,3.82B,,3.82B,,3.82B,1.663B,1.663B,,,2.336B,7.819B,12.47B,,12.47B,2.597B,,2.597B,,434.00M,,3.283B,18.35B,2002-09,12.11B,12.98B,1.395B,,23.44B,,2002-09,,
2002-06,2.196B,2.196B,3.637B,,3.637B,656.00M,,,538.00M,1.865B,8.892B,0.00,668.00M,,19.42B,,915.00M,,21.00B,-8.264B,12.74B,,19.78B,19.78B,,,,8.811B,41.33B,50.22B,4.916B,,4.916B,,4.916B,585.00M,585.00M,,,967.00M,6.468B,14.66B,,14.66B,2.286B,,2.286B,,421.00M,,3.075B,20.02B,2002-06,12.10B,12.80B,1.395B,,23.31B,,2002-06,,
2002-03,1.869B,1.869B,4.006B,,4.006B,663.00M,,,554.00M,2.448B,9.54B,0.00,676.00M,,19.46B,,837.00M,,20.98B,-8.146B,12.83B,,19.80B,19.80B,,,,8.314B,40.94B,50.48B,4.811B,,4.811B,,4.811B,867.00M,867.00M,,,929.00M,6.607B,14.76B,,14.76B,2.364B,,2.364B,,494.00M,,3.223B,20.35B,2002-03,12.11B,12.44B,1.394B,,23.03B,,2002-03,,
2001-12,845.00M,845.00M,4.606B,,4.606B,654.00M,,,620.00M,2.54B,9.265B,0.00,639.00M,,19.37B,,859.00M,,20.87B,-7.99B,12.88B,,19.85B,19.85B,,,,8.472B,41.20B,50.46B,5.373B,,5.373B,,5.373B,780.00M,780.00M,,,703.00M,6.856B,14.99B,,14.99B,2.526B,,2.526B,,463.00M,,2.871B,20.38B,2001-12,12.10B,12.18B,1.395B,,22.76B,,2001-12,,
2001-09,618.00M,618.00M,3.12B,223.00M,3.343B,671.00M,444.00M,,622.00M,907.00M,6.605B,0.00,635.00M,,19.09B,,911.00M,,20.64B,-7.728B,12.91B,,14.84B,14.84B,,,,9.456B,37.20B,43.81B,3.623B,,3.623B,,3.623B,829.00M,829.00M,,,1.568B,6.02B,8.94B,,8.94B,2.729B,,2.729B,,382.00M,,3.067B,14.74B,2001-09,12.10B,12.17B,1.395B,,22.67B,,2001-09,,
2001-06,2.448B,2.448B,3.683B,,3.683B,595.00M,,,611.00M,2.127B,9.464B,0.00,623.00M,,17.27B,,2.161B,,20.06B,-7.378B,12.68B,,14.77B,14.77B,,,,8.961B,36.41B,45.87B,4.668B,,4.668B,,4.668B,454.00M,454.00M,,,853.00M,5.975B,10.48B,,10.48B,2.922B,,2.922B,,362.00M,,2.657B,16.06B,2001-06,12.11B,12.12B,689.00M,,23.47B,,2001-06,,
2001-03,663.00M,663.00M,3.974B,,3.974B,578.00M,,,568.00M,2.328B,8.111B,0.00,611.00M,,16.66B,,2.527B,,19.80B,-7.211B,12.59B,,15.17B,15.17B,,,,8.585B,36.35B,44.46B,4.813B,,4.813B,,4.813B,175.00M,175.00M,,,916.00M,5.904B,9.661B,,9.661B,2.783B,,2.783B,,419.00M,,2.699B,15.14B,2001-03,12.08B,11.73B,689.00M,,22.99B,,2001-03,,
2000-12,1.20B,1.20B,4.381B,,4.381B,567.00M,,,,2.763B,8.911B,,,,,,,,19.56B,-7.042B,12.51B,,15.79B,15.79B,,,,8.586B,36.89B,45.80B,5.495B,,5.495B,,5.495B,1.974B,1.974B,,,698.00M,8.167B,8.341B,,8.341B,2.744B,,2.744B,,386.00M,,2.696B,13.78B,2000-12,12.08B,12.29B,689.00M,,23.47B,,2000-12,,
2000-09,842.00M,842.00M,3.416B,183.00M,3.599B,702.00M,493.00M,,623.00M,1.304B,7.563B,0.00,597.00M,,16.61B,,1.995B,,19.20B,-6.892B,12.31B,,16.12B,16.12B,,,,9.037B,37.46B,45.03B,4.278B,,4.278B,,4.278B,2.502B,2.502B,,,1.622B,8.402B,6.959B,,6.959B,2.833B,,2.833B,,356.00M,,2.377B,12.17B,2000-09,9.92B,12.77B,689.00M,,24.10B,,2000-09,,
2000-06,690.00M,690.00M,3.80B,,3.80B,654.00M,,,,5.09B,10.23B,,,,,,,,18.76B,-6.813B,11.94B,,16.62B,16.62B,,,,5.985B,34.54B,44.78B,4.618B,,4.618B,,4.618B,2.481B,2.481B,,,786.00M,7.885B,7.249B,,7.249B,2.854B,,2.854B,,334.00M,,2.629B,12.73B,2000-06,11.85B,12.60B,605.00M,-19.00M,23.83B,,2000-06,,
2000-03,860.00M,860.00M,3.979B,,3.979B,727.00M,,,,5.378B,10.94B,,,,,,,,18.44B,-6.659B,11.78B,,17.00B,17.00B,,,,5.856B,34.64B,45.58B,5.117B,,5.117B,,5.117B,2.837B,2.837B,,,892.00M,8.846B,7.706B,,7.706B,2.558B,,2.558B,,394.00M,,2.723B,12.99B,2000-03,11.75B,12.24B,605.00M,-19.00M,23.36B,,2000-03,,
1999-12,992.00M,992.00M,4.406B,,4.406B,725.00M,,,,5.629B,11.75B,,,,,,,,17.99B,-6.442B,11.55B,,17.39B,17.39B,,,,5.684B,34.62B,46.37B,5.267B,,5.267B,,5.267B,2.459B,2.459B,,,718.00M,8.444B,9.091B,,9.091B,2.718B,,2.718B,,371.00M,,2.754B,14.56B,1999-12,11.54B,12.16B,605.00M,-32.00M,23.00B,,1999-12,,
1999-09,414.00M,414.00M,3.633B,,3.633B,796.00M,,,,5.357B,10.20B,,,,,,,,17.57B,-6.22B,11.35B,,15.70B,15.70B,,,,6.438B,33.48B,43.68B,3.628B,,3.628B,,3.628B,2.415B,2.415B,,,1.664B,7.707B,9.278B,,9.278B,2.66B,,2.66B,,,,3.059B,15.00B,1999-09,9.324B,12.28B,605.00M,-25.00M,20.98B,,1999-09,,
1999-06,851.00M,851.00M,3.319B,,3.319B,818.00M,,,,4.794B,9.782B,,,,,,,,17.18B,-5.947B,11.24B,,15.78B,15.78B,,,,6.447B,33.46B,43.24B,4.147B,,4.147B,,4.147B,1.734B,1.734B,,,782.00M,6.663B,10.37B,,10.37B,2.733B,,2.733B,,,,2.67B,15.77B,1999-06,,12.20B,,,20.81B,,1999-06,,
1999-03,790.00M,790.00M,4.036B,,4.036B,850.00M,,,,4.65B,10.33B,,,,,,,,16.55B,-5.769B,10.78B,,15.80B,15.80B,,,,6.567B,33.15B,43.47B,4.21B,,4.21B,,4.21B,2.017B,2.017B,,,893.00M,7.12B,10.52B,,10.52B,2.804B,,2.804B,,,,2.672B,16.00B,1999-03,,11.83B,,,20.36B,,1999-03,,
1998-12,1.194B,1.194B,4.242B,,4.242B,836.00M,,,,4.522B,10.79B,,,,,,,,16.09B,-5.602B,10.49B,,15.71B,15.71B,,,,6.551B,32.74B,43.54B,4.384B,,4.384B,,4.384B,2.028B,2.028B,,,817.00M,7.229B,11.08B,,11.08B,2.764B,,2.764B,,,,2.466B,16.31B,1998-12,,11.60B,,,20.00B,,1998-12,,
1998-09,127.00M,127.00M,3.999B,,3.999B,899.00M,,,,4.35B,9.375B,,,,,,,,15.73B,-5.382B,10.35B,,15.77B,15.77B,,,,5.888B,32.00B,41.38B,3.792B,,3.792B,,3.792B,2.123B,2.123B,,,1.61B,7.525B,9.562B,,9.562B,2.488B,,2.488B,,,,2.415B,14.46B,1998-09,8.995B,10.98B,593.00M,13.00M,19.39B,,1998-09,,
1998-06,853.00M,853.00M,,,3.694B,920.00M,,,,7.083B,12.55B,,,,,,,,15.14B,-5.34B,9.797B,,15.86B,15.86B,,,,1.83B,27.49B,40.04B,5.888B,,5.888B,,5.888B,2.60B,2.60B,,,,8.488B,9.372B,,9.372B,1.941B,,1.941B,,,,1.021B,12.33B,1998-06,,10.79B,,,19.21B,,1998-06,,
