,NetIncome,Gain/LossonSaleBusiness,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2012-12,1.438B,-219.00M,-110.00M,-329.00M,,,514.00M,514.00M,-236.00M,,100.00M,86.00M,-934.00M,95.00M,-314.00M,-145.00M,,677.00M,-621.00M,,1.144B,2012-12,-545.00M,,-545.00M,-1.925B,,5.00M,-2.465B,,2.261B,994.00M,3.255B,,-1.044B,-1.044B,-1.30B,-1.30B,124.00M,101.00M,1.136B,,3.387B,-185.00M,5.00M,3.207B,2012-12,,,3.037B,-776.00M,-1.044B,,AOR,Restated
2012-09,1.39B,-14.00M,-175.00M,-189.00M,,,492.00M,492.00M,319.00M,,97.00M,31.00M,-344.00M,-58.00M,-146.00M,59.00M,,-278.00M,-767.00M,,1.535B,2012-09,-933.00M,,-933.00M,-256.00M,,-100.00M,-1.289B,,-1.622B,1.025B,-597.00M,,-973.00M,-973.00M,0.00,0.00,164.00M,101.00M,-1.305B,,4.374B,-1.059B,72.00M,3.387B,2012-09,,,528.00M,-2.15B,-973.00M,,AOR,Restated
2012-06,2.036B,0.00,-169.00M,-169.00M,,,522.00M,522.00M,-83.00M,,103.00M,184.00M,48.00M,6.00M,-522.00M,167.00M,,407.00M,106.00M,,2.885B,2012-06,-740.00M,,-740.00M,-11.00M,,62.00M,-689.00M,,-35.00M,-848.00M,-883.00M,,-373.00M,-373.00M,0.00,0.00,320.00M,-518.00M,-1.454B,,3.731B,742.00M,-99.00M,4.374B,2012-06,,,92.00M,-127.00M,-373.00M,,AOR,Restated
2012-03,1.226B,-184.00M,-138.00M,-322.00M,,,488.00M,488.00M,250.00M,,108.00M,-132.00M,831.00M,18.00M,433.00M,-196.00M,,-1.046B,40.00M,,1.812B,2012-03,-1.477B,,-1.477B,-350.00M,,24.00M,-1.803B,,73.00M,1.266B,1.339B,,-869.00M,-869.00M,-1.076B,-1.076B,410.00M,100.00M,-96.00M,,3.766B,-87.00M,52.00M,3.731B,2012-03,,,1.569B,-1.496B,-869.00M,,AOR,Restated
2011-12,1.521B,0.00,-145.00M,-145.00M,,,485.00M,485.00M,-14.00M,,100.00M,148.00M,-643.00M,52.00M,-373.00M,-233.00M,,675.00M,-522.00M,,1.734B,2011-12,-634.00M,,-634.00M,-361.00M,,17.00M,-978.00M,,1.541B,-976.00M,565.00M,,-800.00M,-800.00M,0.00,0.00,114.00M,-9.00M,-130.00M,,3.185B,626.00M,-45.00M,3.766B,2011-12,,,1.59B,-49.00M,-800.00M,,AOR,Restated
2011-09,1.251B,0.00,-585.00M,-585.00M,,,462.00M,462.00M,-80.00M,,113.00M,-26.00M,14.00M,-94.00M,472.00M,,,-174.00M,361.00M,,2.104B,2011-09,-998.00M,,-998.00M,552.00M,,-673.00M,-1.119B,,1.062B,,835.00M,,-1.964B,-1.964B,,0.00,27.00M,-99.00M,-1.201B,,3.519B,-216.00M,-118.00M,3.185B,2011-09,,,1.85B,-788.00M,-1.964B,,AOR,Restated
2011-06,1.663B,0.00,-16.00M,-16.00M,,,476.00M,476.00M,12.00M,-10.00M,98.00M,466.00M,-511.00M,-75.00M,-841.00M,,,560.00M,-867.00M,,1.822B,2011-06,-716.00M,,-716.00M,-1.00M,,106.00M,-611.00M,,265.00M,,415.00M,,-1.427B,-1.427B,,0.00,83.00M,104.00M,-825.00M,,3.094B,386.00M,39.00M,3.519B,2011-06,,,500.00M,-235.00M,-1.427B,,AOR,Restated
2011-03,1.01B,-75.00M,2.00M,2.00M,,,456.00M,456.00M,256.00M,-2.00M,113.00M,-443.00M,1.292B,-43.00M,292.00M,,,-984.00M,557.00M,,1.949B,2011-03,-632.00M,,-632.00M,-8.00M,,-35.00M,-675.00M,,-31.00M,,-57.00M,,-805.00M,-805.00M,,-756.00M,614.00M,-302.00M,-1.306B,,3.039B,-32.00M,87.00M,3.094B,2011-03,,,0.00,-31.00M,-805.00M,,AOR,Restated
2010-12,1.334B,,14.00M,-61.00M,,,447.00M,447.00M,-61.00M,12.00M,99.00M,207.00M,-1.313B,13.00M,-290.00M,,,732.00M,-858.00M,,1.119B,2010-12,-1.213B,,-1.213B,-163.00M,,495.00M,-881.00M,,-42.00M,,454.00M,,-797.00M,-797.00M,,,404.00M,38.00M,99.00M,,2.722B,337.00M,-20.00M,3.039B,2010-12,,,0.00,-42.00M,-797.00M,,AOR,Restated
2010-09,966.00M,,65.00M,65.00M,,,434.00M,434.00M,-331.00M,6.00M,0.00,203.00M,25.00M,-126.00M,968.00M,,,-4.00M,863.00M,,2.206B,2010-09,-797.00M,,-797.00M,-43.00M,,-220.00M,-1.06B,,-792.00M,396.00M,-396.00M,,-1.18B,-1.18B,,0.00,361.00M,,-1.508B,,2.951B,-362.00M,133.00M,2.722B,2010-09,,,-794.00M,-792.00M,-1.18B,,AOR,Restated
