,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,FinishedGoodsInventory,OtherInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2007-06,3.470B,2.034B,5.504B,3.608B,3.608B,1.638B,434.40M,99.90M,1.760B,1.565B,,,12.44B,,,,,,24.56B,-11.79B,12.77B,1.432B,828.50M,2.260B,,16.72B,31.75B,44.18B,,454.60M,,,454.60M,6.106B,6.561B,,,2.169B,2.169B,1.551B,10.28B,4.134B,4.134B,7.888B,7.888B,2.408B,,12.02B,22.30B,,29.80M,40.91B,7.353B,27.70B,,,-1.113B,19.47B,,,
2007-03,2.102B,1.954B,4.056B,4.016B,4.016B,1.616B,436.30M,88.50M,1.727B,1.942B,,,11.74B,,,,,,24.37B,-11.43B,12.94B,1.432B,887.10M,2.319B,,15.99B,31.25B,42.99B,,430.30M,,,430.30M,5.230B,5.66B,,,930.70M,930.70M,1.271B,7.861B,5.545B,5.545B,8.671B,8.671B,2.435B,,14.22B,22.08B,,29.80M,40.05B,7.221B,27.73B,,,-1.093B,18.48B,,,
2006-12,5.915B,2.798B,8.713B,3.315B,3.315B,1.689B,403.80M,92.80M,1.769B,1.433B,,,15.23B,0.00,408.90M,9.746B,13.17B,882.30M,24.21B,-11.02B,13.19B,1.432B,943.90M,2.376B,,13.77B,29.34B,44.57B,,496.60M,,,496.60M,6.653B,7.150B,,,1.285B,1.285B,4.288B,12.72B,5.551B,5.551B,6.330B,6.330B,2.406B,,11.88B,24.60B,,29.80M,39.10B,7.166B,27.57B,18.60M,-1.183B,-1.164B,17.56B,,,
2006-09,6.222B,2.865B,9.087B,3.081B,3.081B,1.78B,448.80M,89.70M,1.871B,1.185B,,,15.22B,,,,,,24.14B,-10.73B,13.41B,1.086B,631.80M,1.718B,,13.36B,28.49B,43.72B,,362.60M,,,362.60M,5.505B,5.868B,,,1.196B,1.196B,4.084B,11.15B,4.790B,4.790B,6.060B,6.060B,2.437B,,10.85B,22.00B,,29.80M,39.45B,7.106B,27.35B,,,50.10M,19.29B,,,
2006-06,8.213B,2.251B,10.46B,3.085B,3.085B,1.926B,398.60M,,1.640B,700.50M,,,15.89B,,,,,,23.94B,-10.21B,13.73B,1.086B,678.30M,1.764B,,12.10B,27.59B,43.48B,,363.70M,,,363.70M,4.966B,5.33B,,,1.703B,1.703B,3.469B,10.50B,4.759B,4.759B,6.511B,6.511B,2.408B,,11.27B,21.77B,,29.80M,39.34B,7.045B,27.13B,,,19.30M,19.30B,,,
2006-03,10.19B,2.214B,12.40B,3.041B,3.041B,2.006B,392.80M,,1.664B,905.40M,,,18.01B,,,,,,23.87B,-9.886B,13.98B,1.086B,483.10M,1.569B,,9.857B,25.41B,43.42B,,457.40M,,,457.40M,4.953B,5.411B,,,1.952B,1.952B,3.936B,11.30B,4.763B,4.763B,6.074B,6.074B,2.436B,,10.84B,22.14B,,29.80M,38.67B,6.998B,26.90B,,,47.70M,18.85B,,,
2005-12,9.585B,6.052B,15.64B,2.927B,2.927B,2.012B,400.00M,,1.658B,826.30M,,,21.05B,0.00,433.00M,9.480B,12.79B,1.016B,23.71B,-9.315B,14.40B,1.086B,518.70M,1.604B,,7.794B,23.80B,44.85B,,471.10M,,,471.10M,5.278B,5.749B,,,2.972B,2.972B,4.522B,13.24B,5.126B,5.126B,6.093B,6.093B,2.407B,,11.22B,24.46B,,29.80M,37.98B,6.90B,26.98B,,,52.30M,17.98B,,,
2005-09,2.918B,11.11B,14.03B,3.647B,3.647B,2.015B,412.40M,85.70M,1.749B,640.60M,,,20.07B,,,,,,23.58B,-8.974B,14.61B,,1.640B,1.640B,,7.520B,23.77B,43.83B,,475.20M,,,475.20M,4.993B,5.468B,2.192B,,2.192B,2.192B,4.502B,12.16B,5.125B,5.125B,6.328B,6.328B,2.438B,,11.45B,23.61B,,29.80M,37.63B,6.832B,26.76B,,,50.40M,17.78B,,,
2005-06,1.918B,11.11B,13.03B,3.507B,3.507B,2.067B,457.40M,85.50M,1.811B,780.70M,,,19.13B,,,,,,23.34B,-8.674B,14.67B,,1.675B,1.675B,,7.532B,23.88B,43.01B,,409.10M,,,409.10M,4.956B,5.365B,1.494B,,1.494B,1.494B,4.334B,11.19B,5.672B,5.672B,6.347B,6.347B,2.408B,,12.02B,23.21B,,29.80M,37.04B,6.824B,26.52B,,,5.30M,17.39B,,,
2005-03,2.390B,7.049B,9.438B,3.798B,3.798B,2.130B,328.40M,88.20M,1.757B,766.90M,,,15.76B,,,,,,23.08B,-8.370B,14.71B,,1.718B,1.718B,,10.93B,27.36B,43.12B,,570.70M,,,570.70M,5.077B,5.647B,1.615B,,1.615B,1.615B,3.641B,10.90B,5.656B,5.656B,6.474B,6.474B,2.436B,,12.13B,23.03B,,29.80M,37.16B,6.810B,26.27B,,,-72.90M,17.65B,,,
2004-12,2.879B,4.211B,7.090B,3.628B,3.628B,2.167B,376.80M,94.70M,1.899B,858.90M,,,13.48B,0.00,366.60M,8.874B,11.93B,1.642B,22.81B,-8.095B,14.71B,,1.765B,1.765B,,12.62B,29.10B,42.57B,,421.40M,,,421.40M,5.288B,5.710B,2.181B,,2.181B,2.181B,3.853B,11.74B,4.692B,4.692B,6.442B,6.442B,2.407B,,11.13B,22.88B,,29.80M,36.63B,6.870B,26.19B,,,-45.90M,17.29B,,,
2004-09,2.667B,4.290B,6.957B,3.908B,3.908B,2.139B,419.30M,109.20M,2.213B,782.40M,,,13.86B,,,,,,22.25B,-7.821B,14.43B,,1.811B,1.811B,,12.77B,29.01B,42.87B,,544.50M,,,544.50M,4.309B,4.853B,2.192B,,2.192B,2.192B,3.744B,10.79B,4.394B,4.394B,6.442B,6.442B,3.937B,,10.84B,21.63B,,29.80M,36.37B,6.886B,25.96B,,,-7.70M,17.31B,,,
2004-06,1.600B,4.577B,6.177B,3.889B,3.889B,2.228B,526.70M,94.20M,2.521B,701.90M,,,13.29B,,,,,,21.80B,-7.502B,14.30B,,1.855B,1.855B,,12.41B,28.57B,41.85B,,469.90M,,,469.90M,3.760B,4.230B,1.711B,,1.711B,1.711B,3.741B,9.682B,4.894B,4.894B,6.396B,6.396B,3.915B,,11.29B,20.97B,,29.80M,35.88B,6.899B,25.80B,,,-49.60M,16.97B,,,
2004-03,1.762B,3.550B,5.312B,4.200B,4.200B,2.352B,579.40M,97.90M,2.659B,791.20M,,,12.96B,,,,,,21.54B,-7.358B,14.18B,,1.903B,1.903B,,12.62B,28.70B,41.67B,,519.20M,,,519.20M,3.820B,4.339B,1.945B,,1.945B,1.945B,3.830B,10.11B,4.932B,4.932B,6.410B,6.410B,3.938B,,11.34B,21.46B,,29.80M,34.94B,6.876B,25.65B,,,80.40M,16.27B,,,
2003-12,1.201B,2.972B,4.173B,4.024B,4.024B,2.310B,552.50M,90.50M,2.555B,775.90M,,,11.53B,0.00,356.70M,8.017B,11.02B,1.902B,21.29B,-7.125B,14.17B,,1.949B,1.949B,,12.94B,29.06B,40.59B,,735.20M,,,735.20M,3.773B,4.508B,1.70B,,1.70B,1.70B,3.362B,9.570B,5.096B,5.096B,6.430B,6.430B,3.915B,,11.53B,21.10B,,29.80M,34.14B,6.957B,25.62B,,,65.50M,15.58B,,,
2003-09,2.174B,4.119B,6.293B,4.562B,4.562B,1.813B,526.40M,101.60M,2.441B,725.30M,,,14.02B,,,,,,20.91B,-6.981B,13.92B,,1.904B,1.904B,,12.74B,28.57B,42.59B,,728.80M,,,728.80M,3.140B,3.869B,4.274B,,4.274B,4.274B,3.573B,11.72B,5.399B,5.399B,6.092B,6.092B,4.070B,,11.49B,23.21B,,29.80M,33.58B,6.944B,25.10B,,,-145.40M,15.31B,,,
2003-06,1.665B,4.051B,5.716B,5.902B,5.902B,2.211B,1.313B,106.00M,3.630B,1.056B,,,16.30B,,,,,,21.82B,-7.251B,14.57B,,7.628B,7.628B,,11.51B,33.71B,50.01B,,2.170B,,,2.170B,3.306B,5.476B,4.770B,,4.770B,4.770B,3.504B,13.75B,5.394B,5.394B,7.216B,7.216B,4.042B,,12.61B,26.36B,,29.80M,37.40B,6.932B,24.58B,,,-171.40M,19.61B,,,
2003-03,2.217B,2.920B,5.137B,5.618B,5.618B,1.470B,1.965B,87.70M,3.523B,1.103B,,,15.38B,,,,,,21.44B,-7.082B,14.36B,,7.692B,7.692B,,11.52B,33.57B,48.95B,,2.375B,,,2.375B,3.232B,5.608B,4.435B,,4.435B,4.435B,3.508B,13.55B,5.376B,5.376B,7.093B,7.093B,4.058B,,12.47B,26.02B,,29.80M,36.34B,6.906B,24.29B,,,-109.00M,18.88B,,,
2002-12,2.243B,2.728B,4.971B,5.423B,5.423B,1.626B,1.262B,75.70M,2.964B,1.028B,,,14.39B,0.00,336.90M,7.336B,10.88B,2.427B,20.98B,-6.788B,14.20B,,7.241B,7.241B,,11.74B,33.17B,47.56B,,2.413B,,,2.413B,3.366B,5.779B,3.670B,,3.670B,3.670B,2.926B,12.38B,4.879B,4.879B,7.178B,7.178B,4.928B,,12.06B,24.43B,,29.80M,35.43B,6.944B,24.11B,,,-98.80M,18.20B,,,
2002-09,1.497B,2.488B,3.985B,5.525B,5.525B,1.189B,2.179B,83.40M,3.452B,1.062B,,,14.02B,,,,,,20.37B,-6.531B,13.84B,,7.306B,7.306B,,12.17B,33.31B,47.34B,,5.167B,,,5.167B,,5.167B,4.843B,,4.843B,4.843B,3.063B,13.07B,4.870B,4.870B,6.951B,6.951B,4.911B,,11.82B,24.89B,,29.80M,34.35B,6.931B,23.97B,,,185.60M,17.53B,,,
2002-06,1.319B,1.791B,3.110B,5.787B,5.787B,1.304B,2.024B,79.00M,3.407B,1.001B,,,13.30B,,,,,,19.85B,-6.237B,13.61B,,7.367B,7.367B,,11.68B,32.66B,45.96B,,5.045B,,,5.045B,,5.045B,4.878B,,4.878B,4.878B,2.521B,12.44B,4.834B,4.834B,6.940B,6.940B,4.965B,,11.77B,24.22B,,29.80M,33.28B,6.930B,23.51B,,,47.20M,16.78B,,,
2002-03,2.943B,1.563B,4.506B,5.565B,5.565B,1.163B,1.884B,68.60M,3.116B,836.10M,,,14.02B,,,,,,19.31B,-6.064B,13.25B,,7.429B,7.429B,,10.77B,31.45B,45.47B,,4.908B,,,4.908B,,4.908B,5.146B,,5.146B,5.146B,2.574B,12.63B,4.790B,4.790B,6.760B,6.760B,4.851B,,11.55B,24.18B,,29.80M,32.32B,6.899B,22.75B,,,-54.90M,16.45B,,,
2001-12,2.144B,1.143B,3.287B,5.215B,5.215B,1.341B,2.156B,82.90M,3.579B,880.30M,,,12.96B,0.00,315.20M,6.654B,9.807B,2.180B,18.96B,-5.853B,13.10B,,7.491B,7.491B,,10.47B,31.06B,44.02B,,5.108B,,,5.108B,,5.108B,4.067B,,4.067B,4.067B,2.369B,11.54B,4.799B,4.799B,6.791B,6.791B,4.838B,,11.59B,23.13B,,29.80M,31.49B,6.907B,22.39B,,,10.60M,16.05B,,,
2001-09,1.634B,2.216B,3.849B,5.532B,5.532B,1.213B,2.077B,95.90M,3.385B,1.156B,,,13.92B,,,,,,18.25B,-5.596B,12.66B,,7.574B,7.574B,,9.554B,29.78B,43.71B,,4.708B,,,4.708B,,4.708B,5.220B,,5.220B,5.220B,2.865B,12.79B,4.235B,4.235B,6.380B,6.380B,4.940B,,10.62B,23.41B,,29.80M,30.42B,6.939B,22.15B,,,117.00M,15.36B,,,
2001-06,2.108B,1.851B,3.960B,5.250B,5.250B,1.156B,1.908B,89.60M,3.154B,1.108B,,,13.47B,,,,,,17.94B,-5.567B,12.37B,,7.190B,7.190B,,8.717B,28.28B,41.75B,,4.020B,,,4.020B,,4.020B,5.765B,,5.765B,5.765B,2.191B,11.98B,3.656B,3.656B,6.394B,6.394B,4.957B,,10.05B,22.03B,,29.70M,29.28B,6.313B,20.86B,,,5.10M,14.77B,,,
2001-03,2.158B,1.842B,4.000B,5.010B,5.010B,1.052B,1.715B,79.40M,2.846B,996.20M,,,12.85B,,,,,,17.23B,-5.395B,11.84B,,7.284B,7.284B,,8.255B,27.37B,40.23B,,4.163B,,,4.163B,,4.163B,3.778B,,3.778B,3.778B,2.456B,10.40B,3.623B,3.623B,6.428B,6.428B,4.922B,,10.05B,20.45B,,29.70M,28.24B,6.267B,19.78B,,,107.00M,14.86B,,,
2000-12,2.537B,1.718B,4.255B,5.018B,5.018B,1.175B,1.763B,83.80M,3.022B,1.059B,,,13.35B,0.00,344.70M,5.481B,8.576B,2.305B,16.71B,-5.225B,11.48B,,7.374B,7.374B,,7.701B,26.56B,39.91B,,4.361B,,,4.361B,,4.361B,,,3.319B,3.319B,2.029B,9.710B,3.601B,3.601B,6.747B,6.747B,5.021B,,10.35B,20.06B,,29.70M,27.36B,6.266B,18.86B,,,30.80M,14.83B,,,
2000-09,1.535B,1.30B,2.835B,4.571B,4.571B,,,,3.100B,,,1.094B,11.60B,,,,,,16.09B,-5.168B,10.92B,,7.458B,7.458B,,8.026B,26.41B,38.01B,,4.049B,,,4.049B,,4.049B,,,3.174B,3.174B,1.696B,8.920B,3.438B,3.438B,7.115B,7.115B,5.015B,,10.55B,19.47B,,29.70M,26.38B,6.035B,18.94B,,,14.70M,13.52B,,,
2000-06,2.806B,1.106B,3.912B,3.863B,3.863B,,,,2.928B,,,1.138B,11.84B,,,,,,15.41B,-5.004B,10.41B,,7.549B,7.549B,,7.647B,25.60B,37.44B,,3.924B,,,3.924B,,3.924B,,,3.784B,3.784B,1.340B,9.048B,3.439B,3.439B,7.227B,7.227B,5.010B,,10.67B,19.71B,,29.70M,25.33B,5.974B,18.61B,,,-6.20M,12.72B,,,
2000-03,2.223B,1.07B,3.293B,3.692B,3.692B,,,,2.978B,,,1.122B,11.08B,,,,,,14.74B,-4.796B,9.947B,,7.452B,7.452B,,7.296B,24.69B,35.78B,,3.942B,,,3.942B,,3.942B,,,2.356B,2.356B,1.691B,7.989B,3.443B,3.443B,7.247B,7.247B,4.998B,,10.69B,18.68B,,29.70M,24.28B,5.954B,18.17B,,,12.90M,12.10B,,,
1999-12,2.022B,1.180B,3.202B,4.089B,4.089B,,,,2.847B,,,1.121B,11.26B,,,,,,14.35B,-4.670B,9.677B,,7.584B,7.584B,,7.115B,24.38B,35.63B,,4.159B,,,4.159B,,4.159B,,,2.859B,2.859B,1.741B,8.759B,3.144B,3.144B,7.030B,7.030B,3.460B,,10.17B,18.93B,,29.70M,23.45B,5.920B,16.16B,,,8.10M,13.24B,,,
1999-09,2.103B,1.676B,3.780B,3.498B,3.498B,,,,2.747B,,,990.10M,11.01B,,,,,,13.60B,-4.558B,9.038B,,7.673B,7.673B,,6.862B,23.57B,34.59B,,3.765B,,,3.765B,,3.765B,,,1.601B,1.601B,2.304B,7.670B,3.214B,3.214B,6.981B,6.981B,3.866B,,10.19B,17.86B,,29.70M,22.55B,5.571B,15.31B,,,9.80M,12.86B,,,
1999-06,2.268B,,2.268B,3.380B,3.380B,,,,2.566B,,,2.213B,10.43B,,,,,,12.90B,-4.371B,8.525B,,7.747B,7.747B,,6.511B,22.78B,33.21B,,3.633B,,,3.633B,,3.633B,,,612.40M,612.40M,2.300B,6.545B,3.213B,3.213B,6.765B,6.765B,3.713B,,9.977B,16.52B,,,21.69B,,,,,,12.97B,,,
1999-03,1.793B,,1.793B,3.132B,3.132B,,,,2.486B,,,2.204B,9.615B,,,,,,12.34B,-4.214B,8.121B,,8.193B,8.193B,,6.359B,22.67B,32.29B,,3.395B,,,3.395B,,3.395B,,,630.50M,630.50M,1.779B,5.805B,3.218B,3.218B,6.198B,6.198B,3.726B,,9.415B,15.22B,,,20.85B,,,,,,13.34B,,,
1998-12,2.606B,,2.606B,3.374B,3.374B,,,,2.624B,,,1.624B,10.23B,,,,,,11.89B,-4.043B,7.844B,,8.287B,8.287B,,5.494B,21.62B,31.85B,,3.682B,,,3.682B,,3.682B,,,624.20M,624.20M,1.762B,6.069B,3.221B,3.221B,6.057B,6.057B,3.705B,,9.278B,15.35B,,,20.19B,,,,,,12.80B,,,
1998-09,2.429B,,2.429B,,3.086B,,,,2.366B,,,2.451B,10.33B,,,,,,11.21B,-3.884B,7.324B,,8.378B,8.378B,,5.122B,20.82B,31.16B,,3.339B,,,3.339B,,3.339B,,,868.00M,868.00M,1.589B,5.797B,2.726B,2.726B,6.432B,6.432B,3.641B,,9.158B,14.95B,,,19.42B,,,,,,12.56B,,,
1998-06,1.425B,,1.425B,,2.874B,,,,2.329B,,,2.270B,8.897B,,,,,,10.73B,-3.700B,7.027B,,6.664B,6.664B,,4.906B,18.60B,27.49B,,3.340B,,,3.340B,,3.340B,,,1.551B,1.551B,1.110B,6.000B,1.344B,1.344B,5.300B,5.300B,1.186B,,6.644B,12.64B,,,18.70B,,,,,,13.66B,,,
1998-03,1.597B,,1.597B,,2.574B,,,,2.079B,,,2.137B,8.387B,,,,,,10.33B,-3.584B,6.744B,,6.722B,6.722B,,4.546B,18.01B,26.40B,,2.980B,,,2.980B,,2.980B,,,658.20M,658.20M,1.240B,4.878B,1.845B,1.845B,5.306B,5.306B,1.225B,,7.150B,12.03B,,,17.92B,,,,,,13.15B,,,
1997-12,1.125B,,1.125B,,2.877B,,,,2.145B,,,2.066B,8.213B,,,,,,10.03B,-3.423B,6.609B,,6.780B,6.780B,,4.133B,17.52B,25.74B,,3.269B,,,3.269B,,3.269B,,,902.50M,902.50M,1.397B,5.569B,1.346B,1.346B,5.060B,5.060B,1.166B,,6.407B,11.98B,,,17.29B,,,,,,12.59B,,,
1997-09,1.282B,,1.282B,,2.966B,,,,2.227B,,,1.735B,8.210B,,,,,,9.485B,-3.189B,6.296B,,6.852B,6.852B,,4.540B,17.69B,25.90B,,3.063B,,,3.063B,,3.063B,,,586.60M,586.60M,1.686B,5.335B,1.690B,1.690B,4.803B,4.803B,1.235B,,6.493B,11.83B,,,16.63B,,,,,,12.83B,,,
1997-06,1.587B,,1.587B,,2.697B,,,,2.171B,,,1.964B,8.419B,,,,,,9.270B,-3.134B,6.135B,,6.978B,6.978B,,4.096B,17.21B,25.63B,,2.710B,,,2.710B,,2.710B,,,496.80M,496.80M,1.396B,4.603B,1.727B,1.727B,4.185B,4.185B,2.292B,,5.912B,10.51B,,,15.98B,,,,,,12.82B,,,
1997-03,1.737B,,1.737B,,2.722B,,,,2.088B,,,1.670B,8.217B,,,,,,8.968B,-2.994B,5.974B,,6.690B,6.690B,,3.853B,16.52B,24.73B,,2.788B,,,2.788B,,2.788B,,,477.50M,477.50M,1.530B,4.795B,1.232B,1.232B,4.057B,4.057B,2.216B,,5.289B,10.08B,,,15.32B,,,,,,12.43B,,,
1996-12,1.352B,,1.352B,,2.656B,,,,2.149B,,,1.570B,7.727B,,,,,,8.726B,-2.800B,5.927B,,6.737B,6.737B,,3.903B,16.57B,24.29B,,2.938B,,,2.938B,,2.938B,,,606.10M,606.10M,1.285B,4.829B,1.156B,1.156B,4.027B,4.027B,2.310B,,5.183B,10.01B,,,14.82B,,,,,,11.97B,,,
1996-09,1.344B,,1.344B,,2.723B,,,,1.921B,,,1.792B,7.780B,,,,,,8.414B,-2.747B,5.667B,,6.793B,6.793B,,3.742B,16.20B,23.98B,,2.831B,,,2.831B,,2.831B,,,851.50M,851.50M,1.322B,5.004B,1.328B,1.328B,3.933B,3.933B,2.319B,,5.261B,10.27B,,,14.26B,,,,,,11.40B,,,
1996-06,1.687B,,1.687B,,2.499B,,,,1.811B,,,1.626B,7.623B,,,,,,8.248B,-2.679B,5.569B,,6.740B,6.740B,,3.314B,15.62B,23.25B,,2.810B,,,2.810B,,2.810B,,,333.40M,333.40M,2.131B,5.274B,1.506B,1.506B,2.824B,2.824B,2.308B,,4.330B,9.605B,,,13.75B,,,,,,11.33B,,,
1996-03,1.753B,,1.753B,,2.432B,,,,1.883B,,,2.543B,8.611B,,,,,,7.967B,-2.566B,5.401B,,6.787B,6.787B,,3.185B,15.37B,23.98B,,2.898B,,,2.898B,,2.898B,,,573.70M,573.70M,2.249B,5.720B,1.516B,1.516B,2.797B,2.797B,2.287B,,4.313B,10.03B,,,13.16B,,,,,,11.66B,,,
1995-12,1.847B,,1.847B,,2.496B,,,,1.872B,,,2.402B,8.618B,,,,,,7.709B,-2.440B,5.269B,,6.826B,6.826B,,3.119B,15.21B,23.83B,,3.105B,,,3.105B,,3.105B,,,423.10M,423.10M,2.161B,5.690B,1.373B,1.373B,2.748B,2.748B,2.286B,,4.120B,9.810B,,,12.74B,,,,,,11.74B,,,
1995-09,1.906B,,1.906B,,2.242B,,,,1.764B,,,1.842B,7.754B,,,,,,7.547B,-2.433B,5.113B,,6.970B,6.970B,,2.608B,14.69B,22.45B,,3.065B,,,3.065B,,3.065B,,,391.70M,391.70M,2.204B,5.661B,1.337B,1.337B,2.657B,2.657B,1.274B,,3.994B,9.655B,,,12.28B,,,,,,11.52B,,,
1995-06,1.664B,,1.664B,,2.224B,,,,1.787B,,,1.702B,7.377B,,,,,,7.291B,-2.342B,4.949B,,7.027B,7.027B,,2.474B,14.45B,21.83B,,2.834B,,,2.834B,,2.834B,,,358.10M,358.10M,2.185B,5.377B,916.10M,916.10M,2.814B,2.814B,1.358B,,3.730B,9.108B,,,11.82B,,,,,,11.36B,,,
1995-03,2.221B,,2.221B,,2.875B,,,,1.673B,,,704.10M,7.473B,,,,,,7.042B,-2.191B,4.852B,,7.074B,7.074B,,2.322B,14.25B,21.72B,,2.745B,,,2.745B,,2.745B,,,131.10M,131.10M,2.439B,5.316B,1.168B,1.168B,2.890B,2.890B,1.299B,,4.058B,9.374B,,,11.33B,,,,,,11.05B,,,
1994-12,1.604B,,1.604B,,3.017B,,,,1.661B,,,639.60M,6.922B,,,,,,7.673B,-2.377B,5.296B,,7.212B,7.212B,,2.426B,14.93B,21.86B,,2.715B,,,2.715B,,2.715B,,,146.70M,146.70M,2.586B,5.449B,1.146B,1.146B,2.914B,2.914B,1.209B,,4.060B,9.509B,,,10.94B,,,,,,11.14B,,,
1994-09,1.213B,,1.213B,,3.342B,,,,1.590B,,,472.60M,6.617B,,,,,,7.746B,-2.526B,5.220B,,6.684B,6.684B,,2.598B,14.50B,21.12B,,2.485B,,,2.485B,,2.485B,,,961.60M,961.60M,2.174B,5.620B,1.104B,1.104B,1.881B,1.881B,1.257B,,2.985B,8.606B,,,10.56B,,,,,,11.26B,,,
1994-06,1.220B,,1.220B,,3.022B,,,,1.555B,,,516.40M,6.313B,,,,,,7.487B,-2.406B,5.081B,,6.721B,6.721B,,2.591B,14.39B,20.71B,,2.238B,,,2.238B,,2.238B,,,1.510B,1.510B,1.938B,5.686B,1.017B,1.017B,1.888B,1.888B,1.246B,,2.906B,8.591B,,,10.16B,,,,,,10.87B,,,
1994-03,917.00M,,917.00M,,2.745B,,,,1.578B,,,463.90M,5.704B,,,,,,7.348B,-2.381B,4.968B,,6.619B,6.619B,,2.696B,14.28B,19.99B,,2.156B,,,2.156B,,2.156B,,,1.437B,1.437B,1.842B,5.435B,1.093B,1.093B,1.828B,1.828B,1.216B,,2.921B,8.356B,,,9.749B,,,,,,10.41B,,,
1993-12,829.40M,,829.40M,,2.807B,,,,1.642B,,,456.30M,5.735B,,,,,,7.173B,-2.278B,4.895B,,6.646B,6.646B,,2.653B,14.19B,19.93B,,2.378B,,,2.378B,,2.378B,,,1.736B,1.736B,1.781B,5.896B,1.121B,1.121B,1.745B,1.745B,1.144B,,2.866B,8.761B,,,9.393B,,,,,,10.02B,,,
1993-09,1.197B,,1.197B,,2.473B,,,,1.187B,,,428.20M,5.286B,,,,,,6.785B,-2.244B,4.540B,,,,,2.799B,7.339B,12.62B,,1.86B,,,1.86B,,1.86B,,,576.90M,576.90M,1.748B,4.184B,577.10M,577.10M,1.520B,1.520B,1.078B,,2.097B,6.281B,,,9.069B,,,,,,5.266B,,,
1993-06,847.80M,,847.80M,,2.615B,,,,1.227B,,,449.50M,5.139B,,,,,,6.583B,-2.158B,4.425B,,,,,2.762B,7.186B,12.33B,,2.004B,,,2.004B,,2.004B,,,1.341B,1.341B,1.514B,4.858B,577.60M,577.60M,1.243B,1.243B,718.90M,,1.821B,6.679B,,,8.682B,,,,,,4.928B,,,
1993-03,702.50M,,702.50M,,1.706B,,,,1.220B,,,858.10M,4.487B,,,,,,6.714B,-2.332B,4.383B,,,,,2.672B,7.054B,11.54B,,1.450B,,,1.450B,,1.450B,,,976.90M,976.90M,1.462B,3.889B,489.00M,489.00M,1.328B,1.328B,662.90M,,1.817B,5.706B,,,8.794B,,,,,,5.172B,,,
1992-12,575.10M,,575.10M,,1.737B,,,,1.183B,,,905.10M,4.400B,,,,,,6.531B,-2.260B,4.271B,,153.50M,153.50M,,2.262B,6.686B,11.09B,,1.462B,,,1.462B,,1.462B,,,825.20M,825.20M,1.330B,3.617B,495.70M,495.70M,1.343B,1.343B,627.10M,,1.839B,5.456B,,,8.466B,,,,,,5.003B,,,
1992-09,868.80M,,868.80M,,2.184B,,,,1.188B,,,402.10M,4.643B,,,,,,6.228B,-2.212B,4.015B,,,,,2.247B,6.262B,10.90B,,1.443B,,,1.443B,,1.443B,,,843.20M,843.20M,1.189B,3.475B,600.20M,600.20M,727.50M,727.50M,627.80M,,1.328B,4.803B,,,8.635B,,,,,,5.474B,,,
1992-06,715.90M,,715.90M,,2.042B,,,,1.088B,,,408.70M,4.255B,,,,,,6.000B,-2.18B,3.820B,,,,,2.072B,5.892B,10.15B,,1.295B,,,1.295B,,1.295B,,,526.20M,526.20M,1.187B,3.008B,596.10M,596.10M,623.30M,623.30M,606.90M,,1.219B,4.228B,,,8.278B,,,,,,5.313B,,,
1992-03,694.80M,,694.80M,,1.524B,,,,1.068B,,,832.50M,4.119B,,,,,,5.758B,-2.126B,3.632B,,,,,1.912B,5.544B,9.663B,,1.263B,,,1.263B,,1.263B,,,225.40M,225.40M,1.295B,2.783B,582.30M,582.30M,605.70M,605.70M,578.30M,,1.188B,3.971B,,,7.891B,,,,,,5.114B,,,
1991-12,797.90M,,797.90M,,1.546B,,,,991.30M,,,976.10M,4.311B,,,,,,5.607B,-2.102B,3.504B,,,,,1.683B,5.188B,9.498B,,1.400B,,,1.400B,,1.400B,,,338.40M,338.40M,1.076B,2.814B,493.70M,493.70M,679.70M,679.70M,594.60M,,1.173B,3.988B,,,7.589B,,,,,,4.916B,,,
1991-09,920.30M,,920.30M,,1.446B,,,,997.10M,,,1.022B,4.386B,,,,,,5.304B,-2.080B,3.224B,,,,,1.583B,4.807B,9.192B,,1.187B,,,1.187B,,1.187B,,,473.10M,473.10M,1.066B,2.726B,589.90M,589.90M,661.50M,661.50M,565.70M,,1.251B,3.978B,,,7.302B,,,,,,4.649B,,,
