,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,NotesPayable,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,Non-CurrentAccruedExpenses,PensionLiability,MinorityInterestOwnership,PreferredSecuritiesoutofShareholdersEquity,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-09,49.40M,,49.40M,663.10M,,663.10M,,87.40M,62.10M,22.90M,,884.90M,,,,,,,,1.116B,-622.30M,493.60M,1.766B,1.330B,3.096B,,,146.30M,3.736B,4.621B,154.10M,,,154.10M,281.50M,435.60M,,,,,687.30M,,687.30M,,,,,1.123B,1.040B,,1.040B,558.30M,,558.30M,,,140.80M,,99.10M,1.697B,2.820B,12.80M,2.482B,,929.80M,,,,95.20M,1.660B
2008-06,155.30M,,155.30M,675.70M,,675.70M,,85.00M,56.90M,14.60M,,987.50M,,,,,,,,1.106B,-622.30M,483.50M,1.714B,1.356B,3.070B,,,147.10M,3.700B,4.688B,152.60M,,,152.60M,282.90M,435.50M,,,,,607.50M,,607.50M,,,,,1.043B,1.052B,,1.052B,546.80M,,546.80M,,,146.80M,,97.10M,1.696B,2.739B,13.20M,2.478B,126.50M,929.80M,,,,113.60M,1.802B
2008-03,50.10M,,50.10M,717.10M,,717.10M,,83.20M,57.80M,,,908.20M,,,,,,,,1.097B,-622.30M,474.40M,1.732B,1.329B,3.062B,,,136.50M,3.673B,4.581B,145.40M,,,145.40M,262.10M,407.50M,,,,,618.40M,,618.40M,,11.20M,11.20M,,1.037B,1.065B,,1.065B,531.40M,,531.40M,,,149.90M,,94.70M,1.691B,2.728B,13.20M,2.374B,117.50M,908.10M,,,,106.30M,1.703B
2007-12,56.40M,109.90M,166.30M,623.20M,,623.20M,,80.40M,67.60M,,,937.50M,0.0,19.60M,207.70M,517.90M,256.40M,59.90M,,1.062B,-622.30M,439.20M,1.640B,613.40M,2.253B,,,738.60M,3.431B,4.368B,134.20M,,,134.20M,234.30M,368.50M,,,,,589.50M,,589.50M,,4.60M,4.60M,5.30M,967.90M,1.078B,,1.078B,506.80M,,506.80M,,,,,90.70M,1.675B,2.643B,13.20M,2.244B,245.50M,897.10M,,148.10M,-28.10M,120.00M,1.725B
2007-09,12.50M,22.70M,35.20M,662.80M,,662.80M,,82.50M,69.60M,1.70M,,851.80M,,,,,,,,977.50M,-546.70M,430.80M,1.581B,613.20M,2.194B,,,737.70M,3.362B,4.214B,126.30M,,,126.30M,240.00M,366.30M,,,,,661.80M,,661.80M,,,,,1.028B,602.60M,,602.60M,506.10M,,506.10M,,,,,86.20M,1.195B,2.223B,13.80M,2.129B,625.20M,897.10M,,,,120.00M,1.991B
2007-06,8.50M,43.20M,51.70M,634.20M,,634.20M,,81.70M,44.00M,8.80M,,820.40M,,,,,,,,960.70M,-546.70M,414.00M,1.493B,592.70M,2.086B,,,683.30M,3.183B,4.004B,135.20M,,,135.20M,215.10M,350.30M,,,,,559.20M,,559.20M,,,,,909.50M,602.70M,,602.70M,478.90M,,478.90M,,,,,86.50M,1.168B,2.078B,13.90M,2.018B,699.20M,897.00M,,,,91.80M,1.926B
2007-03,6.50M,70.20M,76.70M,609.90M,,609.90M,,77.80M,48.00M,11.60M,,824.00M,,,,,,,,954.10M,-546.70M,407.40M,1.488B,602.00M,2.090B,,,637.30M,3.135B,3.959B,124.00M,,,124.00M,270.90M,394.90M,,,,,637.00M,,637.00M,,,,,1.032B,602.90M,,602.90M,456.50M,,456.50M,,,,,80.80M,1.140B,2.172B,13.90M,1.889B,718.40M,897.00M,,,,62.40M,1.787B
2006-12,51.50M,135.40M,186.90M,541.30M,,541.30M,,84.30M,53.20M,21.30M,,887.00M,0.0,14.60M,199.10M,450.50M,239.50M,36.20M,,939.90M,-546.70M,393.20M,1.484B,610.20M,2.094B,,,626.40M,3.114B,4.001B,133.50M,,,133.50M,235.30M,368.80M,,,,,554.40M,,554.40M,,,,7.70M,930.90M,603.00M,,603.00M,409.20M,,409.20M,,,,,80.60M,1.093B,2.024B,14.40M,1.768B,1.028B,891.60M,,89.20M,-30.50M,58.70M,1.977B
2006-09,8.60M,312.10M,320.70M,567.80M,,567.80M,,75.50M,43.90M,25.60M,,1.034B,,,,,,,,841.50M,-469.60M,371.90M,1.473B,611.80M,2.085B,,,675.00M,3.132B,4.165B,129.30M,,,129.30M,221.50M,350.80M,,,,,552.70M,,552.70M,,,,,903.50M,603.10M,,603.10M,427.20M,,427.20M,,,,,86.60M,1.117B,2.020B,14.70M,1.664B,1.253B,891.60M,,,,104.40M,2.145B
2006-06,16.60M,185.70M,202.30M,537.00M,,537.00M,,76.20M,38.30M,37.70M,,891.50M,,,,,,,,840.00M,-469.60M,370.40M,1.476B,621.70M,2.098B,,,688.70M,3.157B,4.049B,154.10M,,,154.10M,227.00M,381.10M,,,,,549.90M,,549.90M,,,,,931.00M,603.30M,,603.30M,416.80M,,416.80M,,,,,87.50M,1.108B,2.039B,14.70M,1.555B,1.227B,891.60M,,,,105.20M,2.010B
2006-03,25.20M,46.20M,71.40M,522.20M,,522.20M,,59.80M,34.70M,39.40M,,727.50M,,,,,,,,846.00M,-469.60M,376.40M,1.476B,634.10M,2.110B,,,670.60M,3.157B,3.885B,108.50M,,,108.50M,265.30M,373.80M,,,,,547.40M,,547.40M,,,,,921.20M,604.20M,,604.20M,401.70M,,401.70M,,,,,88.70M,1.095B,2.016B,14.60M,1.438B,1.220B,891.70M,,,,88.40M,1.869B
2005-12,45.40M,17.70M,63.10M,493.40M,,493.40M,,65.40M,37.20M,43.20M,,702.30M,0.0,14.20M,191.10M,612.50M,,33.30M,,851.10M,-469.60M,381.50M,1.477B,645.70M,2.123B,,,669.30M,3.174B,3.876B,116.20M,,,116.20M,227.30M,343.50M,,,,,544.60M,,544.60M,,,,,888.10M,604.50M,,604.50M,408.90M,,408.90M,,,,,88.60M,1.102B,1.990B,14.80M,1.336B,1.340B,888.50M,,,,83.40M,1.886B
2005-09,52.50M,,52.50M,519.70M,,519.70M,,53.60M,33.50M,41.00M,,700.30M,,,,,,,,788.20M,-404.20M,384.00M,,2.147B,2.147B,,,666.70M,3.198B,3.898B,102.70M,,,102.70M,226.50M,329.20M,,541.70M,,0.20M,541.90M,,541.90M,,,,,871.10M,355.10M,2.50M,357.60M,411.60M,,411.60M,,,,,87.50M,856.70M,1.728B,15.30M,1.247B,1.578B,752.40M,,,,81.80M,2.170B
2005-06,34.20M,,34.20M,520.00M,,520.00M,,59.70M,30.10M,47.60M,,691.60M,,,,,,,,779.80M,-404.20M,375.60M,,2.144B,2.144B,,,641.50M,3.161B,3.853B,82.00M,,,82.00M,217.20M,299.20M,,,,,0.10M,,0.10M,,,,,299.30M,951.30M,3.00M,954.30M,393.60M,,393.60M,,,,,87.10M,1.435B,1.734B,15.20M,1.153B,1.561B,673.60M,,,,62.90M,2.118B
2005-03,71.70M,,71.70M,489.20M,,489.20M,,54.80M,26.60M,38.40M,,680.70M,,,,,,,,774.30M,-404.20M,370.10M,,1.999B,1.999B,,,641.20M,3.010B,3.691B,95.20M,,,95.20M,244.50M,339.70M,,,,,0.10M,,0.10M,,,,,339.80M,891.80M,3.00M,894.80M,365.00M,,365.00M,,,,,87.30M,1.347B,1.687B,15.20M,1.047B,1.538B,663.50M,,,,67.30M,2.004B
2004-12,186.80M,20.00M,206.80M,441.40M,,441.40M,,61.50M,29.20M,26.30M,,765.20M,0.0,14.20M,172.80M,533.10M,,44.10M,,764.20M,-404.20M,360.00M,,1.857B,1.857B,,,643.50M,2.861B,3.626B,85.30M,,,85.30M,215.40M,300.70M,,,,,0.10M,,0.10M,,,,,300.80M,889.30M,,889.30M,346.20M,,346.20M,,,,,90.50M,1.326B,1.627B,15.10M,950.10M,1.504B,544.20M,,,,74.20M,1.999B
2004-09,213.70M,20.00M,233.70M,451.00M,,451.00M,,51.90M,26.60M,0.10M,,763.30M,,,,,,,,700.40M,-352.50M,347.90M,,1.864B,1.864B,,,551.80M,2.764B,3.527B,80.10M,,,80.10M,172.00M,252.10M,,,,,0.30M,,0.30M,,,,,252.40M,886.50M,3.30M,889.80M,293.30M,,293.30M,,,,,116.40M,1.300B,1.552B,15.00M,865.30M,1.477B,416.00M,,,,33.20M,1.975B
2004-06,182.20M,,182.20M,452.50M,,452.50M,,47.80M,25.30M,13.00M,,720.80M,,,,,,,,708.50M,-352.50M,356.00M,,1.873B,1.873B,,,525.20M,2.754B,3.475B,78.50M,,,78.50M,185.60M,264.10M,,528.40M,,0.20M,528.60M,,528.60M,,,,,792.70M,355.80M,3.70M,359.50M,283.70M,,283.70M,,,,,117.10M,760.30M,1.553B,15.00M,772.70M,1.470B,348.10M,,,,12.20M,1.922B
2004-03,169.00M,,169.00M,451.50M,,451.50M,,47.60M,26.00M,13.70M,,707.80M,,,,,,,,709.40M,-352.50M,356.90M,,1.847B,1.847B,,,567.70M,2.772B,3.479B,84.40M,,,84.40M,167.80M,252.20M,,525.80M,,0.10M,525.90M,,525.90M,,,,,778.10M,356.20M,4.00M,360.20M,283.50M,,283.50M,,,,,127.60M,771.30M,1.549B,14.90M,674.40M,1.458B,232.60M,,,,15.50M,1.930B
2003-12,123.00M,,123.00M,432.50M,,432.50M,,47.00M,36.30M,19.10M,,657.90M,0.0,15.30M,90.40M,498.60M,81.10M,28.40M,,713.80M,-352.50M,361.30M,,1.857B,1.857B,,,538.40M,2.757B,3.415B,73.00M,,,73.00M,161.10M,234.10M,,523.20M,,0.30M,523.50M,,523.50M,,,,,757.60M,356.30M,4.40M,360.70M,273.40M,,273.40M,,,,,127.30M,761.40M,1.519B,14.90M,587.10M,1.441B,159.30M,,,,12.30M,1.896B
2003-09,30.00M,,30.00M,446.80M,,446.80M,,48.50M,29.00M,30.70M,,585.00M,,,,,,,,662.80M,-295.60M,367.20M,,1.863B,1.863B,,,517.30M,2.747B,3.332B,76.50M,,,76.50M,165.20M,241.70M,,,,,521.00M,,521.00M,,,,,762.70M,381.40M,4.60M,386.00M,,,,,,,,401.20M,787.20M,1.550B,14.80M,509.50M,1.433B,159.30M,,,,-15.50M,1.782B
2003-06,33.90M,,33.90M,444.50M,,444.50M,,49.40M,23.70M,68.60M,,620.10M,,,,,,,,663.80M,-295.60M,368.20M,,1.843B,1.843B,,,517.90M,2.729B,3.349B,82.90M,,,82.90M,163.80M,246.70M,,,,,0.40M,,0.40M,,,,,247.10M,87.70M,4.90M,92.60M,,,,,,,,1.260B,1.353B,1.600B,14.80M,426.40M,1.423B,95.60M,,,,-19.20M,1.749B
2003-03,50.00M,,50.00M,440.50M,,440.50M,,49.10M,26.90M,58.00M,,624.50M,,,,,,,,665.70M,-295.60M,370.10M,,1.833B,1.833B,,,476.10M,2.679B,3.303B,99.10M,,,99.10M,157.30M,256.40M,,,,,0.40M,,0.40M,,,,,256.80M,1.003B,5.10M,1.008B,,,,,,,,353.30M,1.361B,1.618B,14.80M,340.00M,1.421B,43.20M,,,,-47.50M,1.685B
2002-12,56.40M,,56.40M,393.00M,,393.00M,,44.80M,33.80M,57.10M,,585.10M,0.0,15.30M,171.10M,430.40M,,30.00M,,646.80M,-295.60M,351.20M,,1.218B,1.218B,,,426.60M,1.995B,2.580B,79.90M,,,79.90M,146.10M,226.00M,,,,,0.40M,,0.40M,,,,,226.40M,516.00M,5.50M,521.50M,79.30M,,79.30M,,,,,141.50M,742.30M,968.70M,14.80M,266.10M,1.406B,4.40M,,,,-71.30M,1.612B
2002-09,98.40M,,98.40M,418.70M,,418.70M,,44.00M,23.10M,53.50M,,637.70M,,,,,,,,620.50M,-265.20M,355.30M,,1.241B,1.241B,,,419.60M,2.016B,2.654B,90.00M,,,90.00M,194.90M,284.90M,,,,,120.50M,,120.50M,,,,,405.40M,513.50M,6.30M,519.80M,,,,,,,,153.20M,673.00M,1.078B,14.80M,213.10M,1.406B,4.40M,,,,-54.50M,1.575B
2002-06,303.60M,,303.60M,392.90M,,392.90M,,42.80M,22.90M,54.70M,,816.90M,,,,,,,,576.10M,-265.20M,310.90M,725.00M,256.40M,981.40M,,,30.20M,1.322B,2.139B,74.90M,,,74.90M,149.50M,224.40M,,,,,,,,,,,,224.40M,507.80M,5.50M,513.30M,,,,,,,,139.80M,653.10M,877.50M,14.30M,155.80M,1.153B,4.40M,,,,-56.40M,1.262B
2002-03,245.00M,,245.00M,390.40M,,390.40M,,40.10M,15.60M,54.90M,,746.00M,,,,,,,,574.70M,-265.20M,309.50M,723.30M,245.60M,968.90M,,,27.90M,1.306B,2.052B,70.00M,,,70.00M,162.60M,232.60M,,,,,,,,,,,,232.60M,505.30M,5.80M,511.10M,,,,,,,,136.50M,647.60M,880.20M,7.10M,77.30M,1.152B,4.40M,,,,-59.80M,1.172B
2001-12,149.20M,,149.20M,365.50M,,365.50M,,38.70M,16.70M,54.40M,,624.50M,,,,,,,,574.50M,-265.20M,309.30M,,968.50M,968.50M,,,27.30M,1.305B,1.930B,60.20M,,,60.20M,141.00M,201.20M,,,,,,,,,,,,201.20M,502.80M,6.10M,508.90M,,,,,,,,134.10M,643.00M,844.20M,14.10M,11.50M,1.082B,,,,,-22.00M,1.085B
2001-09,55.50M,,55.50M,389.00M,,389.00M,,37.40M,16.40M,55.20M,,553.50M,,,,,,,,550.40M,-254.20M,296.20M,,952.30M,952.30M,,,18.30M,1.267B,1.820B,61.50M,,,61.50M,161.60M,223.10M,,,,,,,,,,,,223.10M,437.10M,6.40M,443.50M,,,,,,,,117.20M,560.70M,783.80M,7.00M,-29.30M,1.075B,,,,,-16.00M,1.036B
2001-06,20.50M,,20.50M,390.80M,,390.80M,,34.80M,19.10M,51.00M,,516.20M,,,,,,,,538.00M,-254.20M,283.80M,,948.90M,948.90M,,,15.00M,1.248B,1.764B,57.30M,,,57.30M,140.70M,198.00M,,132.00M,,,132.00M,,132.00M,,,,,330.00M,330.50M,6.60M,337.10M,,,,,,,,116.50M,453.60M,783.60M,7.00M,-72.40M,1.066B,,,,,-20.40M,980.30M
2001-03,66.80M,,66.80M,388.70M,,388.70M,,32.20M,19.90M,49.30M,,556.90M,,,,,,,,525.60M,-254.20M,271.40M,,860.00M,860.00M,,,15.10M,1.146B,1.703B,55.50M,,,55.50M,149.70M,205.20M,,132.00M,,,132.00M,,132.00M,,,,,337.20M,313.50M,6.90M,320.40M,,,,,,,,122.10M,442.50M,779.70M,3.50M,-124.50M,1.067B,,,,,-22.20M,923.70M
2000-12,48.80M,,48.80M,368.00M,,368.00M,,31.60M,,,63.30M,511.70M,,,,,,,,527.00M,-254.20M,272.80M,,865.70M,865.70M,,,16.70M,1.155B,1.667B,52.80M,,,52.80M,,52.80M,,,,,132.00M,,132.00M,,,,127.10M,311.90M,353.70M,,353.70M,,,,,,,,123.90M,477.60M,789.50M,3.50M,-168.00M,1.052B,,,,,-9.80M,877.40M
2000-09,15.30M,,15.30M,378.10M,,378.10M,,32.40M,,,58.40M,484.20M,,,,,,,,525.70M,-254.20M,271.50M,,806.70M,806.70M,,,77.40M,1.156B,1.640B,57.10M,,,57.10M,,57.10M,,,,,121.00M,,121.00M,,,,112.40M,290.50M,386.70M,,386.70M,,,,,,,,128.60M,515.30M,805.80M,3.50M,-188.90M,1.031B,,,,,-11.90M,834.00M
2000-06,59.20M,,59.20M,372.70M,,372.70M,,30.60M,,,66.50M,529.00M,,,,,,,,527.40M,-255.00M,272.40M,,813.70M,813.70M,,,18.20M,1.104B,1.633B,51.00M,,,51.00M,,51.00M,,,,,110.00M,,110.00M,,,,135.40M,296.40M,420.00M,,420.00M,,,,,,,,127.50M,547.50M,843.90M,447.80M,-221.70M,570.80M,,446.00M,,,-7.50M,789.40M
2000-03,40.90M,,40.90M,,,368.20M,,26.20M,,,78.40M,513.70M,,,,,,,,536.30M,-264.90M,271.40M,,801.60M,801.60M,,,13.20M,1.086B,1.600B,45.30M,,,45.30M,,45.30M,,,,,99.00M,,99.00M,,,,120.40M,264.70M,449.70M,,449.70M,,,,,,,,129.00M,578.70M,843.40M,570.20M,-234.70M,427.30M,,568.90M,,,-6.30M,756.50M
1999-12,40.30M,,40.30M,348.00M,,348.00M,,29.10M,,,82.10M,499.50M,,,,,,,,527.10M,-253.90M,273.20M,,803.90M,803.90M,,,13.60M,1.091B,1.590B,43.60M,,,43.60M,,43.60M,,,,,95.00M,,95.00M,,,,107.00M,245.60M,482.80M,,482.80M,,,,,,,,127.60M,610.40M,856.00M,560.00M,-245.50M,423.90M,,558.70M,,,-4.20M,734.20M
1999-09,19.70M,,19.70M,,,360.70M,,26.40M,,,94.70M,501.50M,,,,,,,,522.20M,-250.00M,272.20M,,812.60M,812.60M,,,25.70M,1.110B,1.612B,38.10M,,,38.10M,,38.10M,,,,,77.90M,,77.90M,,,,144.50M,260.50M,511.10M,,511.10M,,,,,,,,117.50M,628.60M,889.10M,551.30M,-246.40M,423.90M,,550.00M,,,-5.90M,722.90M
1999-06,16.90M,,16.90M,,,376.50M,,28.20M,,,91.40M,513.00M,,,,,,,,514.40M,-246.50M,267.90M,,819.80M,819.80M,,,26.50M,1.114B,1.627B,47.90M,,,47.90M,,47.90M,,,,,66.80M,,66.80M,,,,134.70M,249.40M,552.70M,,552.70M,,,,,,,,118.50M,671.20M,920.60M,541.50M,-250.50M,417.00M,,541.50M,,,-1.40M,706.60M
1999-03,16.30M,,16.30M,,,383.60M,,30.40M,,,95.30M,525.60M,,,,,,,,501.60M,-241.10M,260.50M,,827.40M,827.40M,,,24.90M,1.113B,1.638B,43.40M,,,43.40M,,43.40M,,,,,83.30M,,83.30M,,,,139.20M,265.90M,552.70M,,552.70M,,,,,,,,128.40M,681.10M,947.00M,533.30M,-257.60M,,,533.30M,,,,691.40M
1998-12,22.70M,,22.70M,,,375.40M,,30.70M,,,90.30M,519.10M,,,,,,,,433.80M,-174.70M,259.10M,,836.20M,836.20M,,,26.50M,1.122B,1.641B,50.20M,,,50.20M,,50.20M,,,,,72.50M,,72.50M,,,,128.70M,251.40M,575.50M,,575.50M,,,,,,,,132.80M,708.30M,959.70M,526.80M,-260.50M,415.70M,,526.80M,,,-0.80M,681.20M
1998-09,11.60M,,11.60M,,,375.90M,,28.80M,,,54.10M,470.40M,,,,,,,,489.80M,-236.80M,253.00M,,843.70M,843.70M,,,28.00M,1.125B,1.595B,48.80M,,,48.80M,,48.80M,,,,,34.80M,,34.80M,,,,131.60M,215.20M,612.80M,,612.80M,,,,,,,,116.40M,729.20M,944.40M,521.00M,-285.40M,,,521.00M,,,,650.70M
1998-06,15.50M,,15.50M,,,356.20M,,29.90M,,,54.90M,456.50M,,,,,,,,484.50M,-229.80M,254.70M,,832.80M,832.80M,,,25.30M,1.113B,1.569B,51.20M,,,51.20M,,51.20M,,,,,23.20M,,23.20M,,,,145.60M,220.00M,625.50M,,625.50M,,,,,,,,79.40M,704.90M,924.90M,514.30M,-285.50M,,,514.30M,,,,644.40M
