,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SG&AExpense,ResearchandDevelopmentExpense,IncomeStatementDepreciation,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",IncomeAttributabletoMinorityInterest,PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2004-09,12.83B,12.83B,1.64B,11.19B,4.036B,1.888B,,843.00M,,-473.00M,,,,,6.767B,4.424B,,,,-473.00M,,3.951B,650.00M,3.298B,43.00M,,-3.00M,1.00M,3.341B,3.693B,5.689B,1.265B,4.424B,0.44,0.01,,0.4927,0.45,0.43,0.01,,0.4822,0.44,7.501B,7.569B,0.17
2004-06,12.27B,12.27B,1.752B,10.52B,4.258B,1.819B,,830.00M,,-187.00M,,,,,6.907B,3.615B,,,,-187.00M,,3.428B,582.00M,2.844B,19.00M,,-2.00M,1.00M,2.863B,2.999B,4.871B,1.256B,3.615B,0.38,0.0,,0.4005,0.38,0.38,0.0,,0.4003,0.38,7.574B,7.664B,0.11900000000000001
2004-03,12.49B,12.49B,1.794B,10.69B,3.933B,1.649B,,823.00M,,-1.159B,,,,,6.405B,4.288B,,,,-1.159B,,3.129B,809.00M,2.318B,13.00M,,-2.00M,1.00M,2.331B,3.177B,5.549B,1.261B,4.288B,0.31,0.0,,0.4233,0.31,0.3,0.0,,0.4119,0.3,7.586B,7.679B,0.17
2003-12,13.98B,13.98B,3.266B,10.72B,4.629B,2.407B,,998.00M,,-1.811B,,,,,8.034B,2.682B,,,,-1.811B,,964.00M,333.00M,612.00M,-10.00M,0.00,-2.00M,2.00M,602.00M,1.797B,4.404B,1.722B,2.682B,0.08,-0.01,0.0,0.2363,0.07,0.08,-0.01,0.0001,0.2347,0.07,7.586B,7.662B,0.15
2003-09,12.35B,12.35B,3.285B,9.063B,3.994B,1.869B,,613.00M,,-98.00M,,,,,6.476B,2.587B,,,,-98.00M,,2.489B,250.00M,2.237B,-2.00M,,-2.00M,1.00M,2.235B,2.325B,3.685B,1.098B,2.587B,0.29,0.0,,0.3014,0.29,0.29,0.0,,0.3013,0.29,7.711B,7.791B,0.15
2003-06,9.90B,9.90B,1.98B,7.92B,3.744B,1.738B,,572.00M,,-5.272B,,,,,6.054B,1.866B,,,,-5.272B,,-3.406B,269.00M,-3.674B,83.00M,,1.00M,2.00M,-3.591B,-510.80M,2.802B,936.00M,1.866B,-0.49,0.01,,-0.0656,-0.48,-0.49,0.01,,-0.0656,-0.48,7.453B,7.453B,0.15
2003-03,8.525B,8.525B,1.065B,7.46B,2.744B,1.218B,,4.00M,,-304.00M,,,,,3.966B,3.494B,,,,-304.00M,,3.224B,764.00M,2.46B,2.235B,-30.00M,,,4.665B,2.692B,3.763B,269.00M,3.494B,0.4,0.36,0.0,0.438,0.76,0.4,0.36,-0.0049,0.4376,0.76,6.101B,6.162B,0.15
2002-12,9.255B,9.255B,1.147B,8.108B,2.965B,1.543B,,-2.00M,,-206.00M,,,,,4.506B,3.602B,,,,-206.00M,,3.463B,740.00M,2.688B,168.00M,0.00,-5.00M,,2.856B,2.850B,3.902B,300.00M,3.602B,0.35,0.11,0.0,0.3765,0.46,0.35,0.11,-0.0002,0.3762,0.46,6.107B,6.177B,0.13
2002-09,7.996B,7.996B,1.026B,6.97B,2.657B,1.245B,,3.00M,,-187.00M,,,,,3.905B,3.065B,,,,-187.00M,,2.90B,630.00M,2.269B,81.00M,,-1.00M,,2.35B,2.415B,3.315B,250.00M,3.065B,0.38,0.01,,0.4039,0.39,0.37,0.01,,0.3936,0.38,6.126B,6.202B,0.13
2002-06,7.296B,7.296B,902.00M,6.394B,2.662B,1.239B,,17.00M,,-142.00M,,,,,3.918B,2.476B,,,,-142.00M,,2.373B,480.00M,1.893B,64.00M,,,,1.957B,2.006B,2.716B,240.00M,2.476B,0.3,0.01,,0.3183,0.31,0.3,0.01,,0.3181,0.31,6.185B,6.271B,0.13
2002-03,7.747B,7.747B,940.00M,6.807B,2.545B,1.181B,,4.00M,,-49.00M,,,,,3.73B,3.077B,,,,-49.00M,,3.06B,747.00M,2.312B,61.00M,-410.00M,-1.00M,,1.963B,2.349B,3.323B,246.00M,3.077B,0.38,0.01,0.0,0.386,0.32,0.37,0.01,-0.0661,0.3759,0.31,6.206B,6.306B,0.13
2001-12,5.995B,5.995B,272.00M,5.723B,1.856B,1.444B,,4.00M,,-241.00M,,,,,3.304B,2.419B,,,,-241.00M,,2.239B,497.00M,1.742B,214.00M,,0.00,,1.956B,1.930B,2.619B,200.00M,2.419B,0.21,0.11,,0.2402,0.32,0.19,0.11,,0.2196,0.3,6.218B,6.328B,0.11
2001-09,7.824B,7.824B,1.177B,6.647B,2.597B,1.188B,,23.00M,,-145.00M,,,,,3.808B,2.839B,,,,-145.00M,,2.754B,679.00M,2.072B,,,-3.00M,,2.072B,2.181B,3.089B,250.00M,2.839B,0.33,0.0,,0.3475,0.33,0.33,0.0,,0.3472,0.33,6.241B,6.359B,0.11
2001-06,7.686B,7.686B,1.15B,6.536B,2.81B,1.116B,,24.00M,,-266.00M,,,,,3.95B,2.586B,,,,-266.00M,,2.391B,590.00M,1.792B,37.00M,,-9.00M,,1.829B,1.992B,2.854B,268.00M,2.586B,0.29,0.0,,0.3221,0.29,0.29,0.0,,0.3214,0.29,6.25B,6.376B,0.11
2001-03,7.645B,7.645B,1.224B,6.421B,2.58B,1.028B,,25.00M,,-269.00M,,,,,3.633B,2.788B,,,,-269.00M,,2.598B,668.00M,1.93B,,,-2.00M,,1.93B,2.130B,3.042B,254.00M,2.788B,0.31,0.0,,0.342,0.31,0.3,0.0,,0.3313,0.3,6.247B,6.381B,0.11
2000-12,8.047B,8.047B,1.37B,6.677B,3.016B,1.263B,,46.00M,,-501.00M,,,,,4.325B,2.352B,,,,-501.00M,,1.919B,500.00M,1.412B,,,-7.00M,,1.42B,1.782B,2.613B,261.00M,2.352B,0.2,0.03,,0.2594,0.23,0.2,0.03,,0.258,0.23,6.237B,6.389B,0.09
2000-09,7.158B,7.158B,1.221B,5.937B,2.65B,1.025B,,24.00M,,-498.00M,,,,,3.699B,2.238B,,,,-498.00M,,1.785B,421.00M,1.361B,,,-3.00M,,1.361B,1.742B,2.472B,234.00M,2.238B,0.22,0.0,,0.2811,0.22,0.21,0.0,,0.2697,0.21,6.228B,6.371B,0.09
2000-06,6.989B,6.989B,1.18B,5.809B,2.824B,1.086B,,25.00M,,-237.00M,,,,,3.935B,1.874B,,,,-237.00M,,1.667B,513.00M,1.15B,,,-4.00M,,1.15B,1.314B,2.103B,229.00M,1.874B,0.18,0.0,,0.2064,0.18,0.18,0.0,,0.2058,0.18,6.217B,6.369B,0.09
2000-03,7.161B,7.161B,992.00M,6.169B,2.733B,1.061B,244.00M,25.00M,,-1.725B,,,,,4.063B,2.106B,,,,-1.725B,,409.00M,613.00M,-204.00M,,,-1.00M,,-204.00M,831.00M,2.375B,244.00M,2.106B,-0.03,0.0,,0.1382,-0.03,-0.03,0.0,,0.1382,-0.03,6.152B,6.152B,0.09
1999-12,7.534B,7.534B,1.294B,6.24B,2.943B,1.117B,,,,53.00M,,,,,4.326B,1.914B,,,,53.00M,,2.034B,560.00M,1.469B,0.00,,-2.00M,,1.469B,1.431B,2.18B,266.00M,1.914B,0.24,0.0,,0.2337,0.24,0.23,0.0,,0.2239,0.23,6.135B,6.248B,0.08
1999-09,6.746B,6.746B,1.43B,5.316B,2.566B,1.041B,,,,-32.00M,,,,,3.744B,1.572B,,,,-32.00M,,1.539B,431.00M,1.108B,,,-1.00M,,1.108B,1.131B,1.798B,226.00M,1.572B,0.18,0.0,,0.1838,0.18,0.18,0.0,,0.1836,0.18,6.122B,6.322B,0.08
1999-06,6.516B,6.516B,1.063B,5.453B,2.66B,949.00M,,,,-64.00M,,,,,3.725B,1.728B,,,,-64.00M,,1.663B,482.00M,1.181B,-20.00M,,-1.00M,,1.161B,1.226B,2.013B,285.00M,1.728B,0.19,-0.01,,0.1974,0.18,0.18,-0.01,,0.1872,0.18,6.125B,6.338B,0.0733
1999-03,3.927B,3.927B,418.00M,3.509B,1.57B,655.00M,,,,-7.00M,,,,,2.353B,1.156B,,,,-7.00M,,1.148B,333.00M,815.00M,,,-1.00M,,815.00M,819.97M,1.284B,128.00M,1.156B,0.22,0.0,,0.2213,0.22,0.21,0.0,,0.2113,0.21,3.783B,3.932B,0.0733
1998-12,13.55B,13.55B,3.258B,10.30B,5.674B,1.724B,,,,-426.00M,,,,,7.751B,2.544B,,,,-426.00M,,2.11B,522.00M,1.588B,328.00M,,1.00M,,1.916B,1.909B,2.897B,353.00M,2.544B,0.4091,0.0845,,0.4917,0.4936,0.4091,0.0845,,0.4917,0.4936,3.882B,3.882B,0.0633
1998-09,3.33B,3.33B,298.00M,3.032B,1.323B,550.00M,,,,-281.00M,,,,,2.049B,983.00M,,,,-281.00M,,701.00M,186.00M,515.00M,882.00M,,-1.00M,,1.397B,721.44M,1.192B,209.00M,983.00M,0.13,0.23,,0.1832,0.36,0.13,0.22,,0.1817,0.35,3.881B,3.991B,0.0633
1998-06,3.312B,3.312B,350.00M,2.962B,1.367B,550.00M,,,,-67.00M,,,,,2.051B,911.00M,,,,-67.00M,,843.00M,249.00M,594.00M,34.00M,,-1.00M,,628.00M,641.21M,1.045B,117.00M,911.00M,0.16,0.01,,0.1728,0.17,0.15,0.0,,0.1613,0.15,3.694B,4.187B,0.0633
