,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,PensionandEmployeeExpense,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,EndingCash(Quarterly),BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,,AdditionalItems(Quarterly),CashfromDiscontinuedOperationsAdjustment,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,SECFilingLinks,AsOriginallyReported,Restated
2007-09,165.20M,,,,-5.80M,24.00M,7.80M,31.80M,31.80M,,,,-7.60M,-9.20M,-15.50M,63.40M,,22.70M,-19.20M,42.20M,14.40M,,2007-09,-48.90M,5.90M,-43.00M,-204.90M,,-2.60M,-215.80M,2007-09,,,109.30M,13.10M,-255.50M,-242.40M,,-43.90M,,5.70M,-171.30M,2007-09,794.30M,-190.60M,20.50M,,2007-09,,13.10M,,,-255.50M,2007-09,,
2007-06,164.20M,,,,0.50M,22.60M,5.80M,28.40M,28.40M,,,,11.90M,-25.40M,-13.50M,0.20M,,-90.90M,-20.90M,-150.50M,-17.70M,,2007-06,-28.90M,-0.10M,-29.00M,0.00,,-0.90M,-29.90M,2007-06,,,45.80M,27.90M,-383.30M,-355.40M,,-44.70M,,12.30M,-342.00M,2007-06,1.120B,-335.10M,9.80M,,2007-06,,27.90M,,,-383.30M,2007-06,,
2007-03,729.30M,,,,2.90M,23.60M,5.60M,29.20M,29.20M,,,,6.50M,-24.80M,-1.40M,19.40M,,-110.00M,79.30M,-37.50M,-625.60M,,2007-03,-24.00M,1.743B,1.719B,-44.60M,,-2.30M,1.669B,2007-03,,,-530.00M,12.00M,-529.80M,-517.80M,,-46.90M,,4.20M,-1.090B,2007-03,433.50M,683.50M,2.60M,,2007-03,,12.00M,,,-529.80M,2007-03,,
2006-12,429.10M,,,,-3.00M,23.30M,5.20M,28.50M,28.50M,,,,2.60M,-35.70M,-37.30M,-14.60M,,17.20M,9.60M,-60.80M,-275.70M,,2006-12,-29.20M,2.10M,-27.10M,,,,-31.10M,2006-12,,,314.20M,11.90M,-350.70M,-338.80M,,-49.20M,,4.50M,-70.10M,2006-12,408.10M,19.50M,5.90M,,2006-12,,11.90M,,,-350.70M,2006-12,,
2006-09,165.80M,,,,-1.80M,24.00M,4.50M,28.50M,28.50M,,,,23.20M,-17.50M,20.60M,47.10M,,53.70M,-47.60M,56.30M,9.50M,,2006-09,-44.40M,83.40M,39.00M,0.00,,0.00,51.10M,2006-09,,,66.80M,3.40M,-298.10M,-294.70M,,-39.20M,,1.30M,-265.00M,2006-09,335.40M,70.70M,2.00M,,2006-09,,3.40M,,,-298.10M,2006-09,,
2006-06,149.00M,,,,1.90M,22.50M,6.10M,28.60M,28.60M,,,,15.90M,-4.70M,3.20M,-7.60M,,-10.30M,8.70M,-10.70M,-2.00M,,2006-06,-28.60M,6.10M,-22.50M,-6.60M,,0.00,-34.90M,2006-06,,,51.10M,9.00M,-133.90M,-124.90M,,-39.90M,,6.80M,-107.30M,2006-06,297.00M,40.50M,-2.10M,,2006-06,,9.00M,,,-133.90M,2006-06,,
2006-03,146.50M,,,,451.60M,28.00M,5.90M,33.90M,33.90M,,,,-436.50M,-36.70M,-12.40M,-10.60M,,24.10M,10.80M,-24.80M,-13.80M,,2006-03,-26.60M,17.40M,-9.20M,-7.50M,,-6.40M,-28.60M,2006-03,,,-1.00M,30.30M,-89.40M,-59.10M,,-39.90M,,27.20M,-73.50M,2006-03,239.60M,54.80M,2.60M,,2006-03,,30.30M,,,-89.40M,2006-03,,
2005-12,145.70M,,,,-454.20M,21.70M,4.70M,26.40M,26.40M,,,,-5.20M,-1.50M,-17.60M,12.90M,,66.10M,5.60M,65.50M,21.80M,,2005-12,-22.70M,89.90M,67.20M,-25.40M,,,94.90M,2005-12,,,102.00M,17.40M,-201.10M,-183.70M,,-40.30M,,11.40M,-110.60M,2005-12,459.00M,-215.70M,-3.70M,,2005-12,,17.40M,,,-201.10M,2005-12,,
2005-09,148.10M,,,,-61.10M,-2.20M,2.40M,0.20M,0.20M,,,,,-19.60M,27.00M,44.20M,,-27.10M,-9.50M,15.00M,4.40M,,2005-09,-17.00M,-0.40M,-17.40M,,,0.00,-43.90M,2005-09,,,,3.80M,-108.90M,-105.10M,,-40.70M,,-0.10M,-144.90M,2005-09,468.80M,-9.30M,2.70M,,2005-09,,3.80M,,,-108.90M,2005-09,,
2005-06,127.30M,,,,21.40M,36.50M,3.60M,40.10M,40.10M,,,,,-0.20M,19.70M,-19.80M,,0.00,-7.50M,-7.80M,-5.90M,,2005-06,-23.30M,0.40M,-22.90M,,,0.00,-22.90M,2005-06,,,,2.60M,-127.70M,-125.10M,,-41.00M,,-0.10M,-166.20M,2005-06,484.70M,-14.00M,-1.90M,,2005-06,,2.60M,,,-127.70M,2005-06,,
2005-03,142.50M,,,,50.70M,35.80M,5.10M,40.90M,40.90M,,,,,-26.90M,-14.00M,24.70M,,-7.70M,-28.00M,-51.90M,7.40M,,2005-03,-50.50M,1.60M,-48.90M,,14.90M,-0.70M,-34.70M,2005-03,,,,39.80M,-146.20M,-106.40M,,-30.50M,,-0.10M,-137.00M,2005-03,467.70M,17.90M,-0.90M,,2005-03,,39.80M,,,-146.20M,2005-03,,
2004-12,122.10M,,,,-7.00M,38.90M,7.30M,46.20M,46.20M,,,,,12.10M,-23.40M,-35.70M,,-29.60M,17.60M,-59.00M,18.40M,,2004-12,-11.90M,5.50M,-6.40M,,-14.90M,,-21.30M,2004-12,,,,45.40M,-116.40M,-71.00M,,-30.50M,,-1.00M,-102.50M,2004-12,473.80M,-3.10M,-3.00M,,2004-12,,45.40M,,,-116.40M,2004-12,,
2004-09,91.80M,,,,16.50M,38.60M,5.30M,43.90M,43.90M,,,,,-38.10M,-6.00M,32.60M,,-42.20M,60.30M,6.60M,16.70M,,2004-09,-38.20M,32.40M,-5.80M,,,-2.30M,-8.10M,2004-09,,,0.00,23.60M,-84.40M,-60.80M,,-30.40M,,-0.20M,-91.40M,2004-09,329.70M,139.60M,4.50M,,2004-09,,23.60M,,,-84.40M,2004-09,,
2004-06,130.30M,,,,-99.60M,40.50M,8.20M,48.70M,48.70M,,,,,-18.80M,-11.60M,4.90M,,36.80M,14.90M,26.20M,-10.60M,,2004-06,-23.40M,-2.20M,-25.60M,,,2.30M,-23.30M,2004-06,,,0.00,8.70M,-74.10M,-65.40M,,-30.60M,,-0.10M,-96.10M,2004-06,353.80M,-24.40M,0.30M,,2004-06,,8.70M,,,-74.10M,2004-06,,
2004-03,74.90M,,,,-18.60M,40.60M,6.20M,46.80M,46.80M,,,,,-33.40M,-13.20M,40.80M,,67.10M,-37.50M,23.80M,17.70M,,2004-03,-20.40M,2.20M,-18.20M,,,0.20M,-18.00M,2004-03,,,-8.40M,10.60M,-59.20M,-48.60M,,-30.70M,,-0.30M,-88.00M,2004-03,315.60M,38.60M,-0.40M,,2004-03,,10.60M,,,-59.20M,2004-03,,
2003-12,57.10M,,,,28.90M,40.00M,7.30M,47.30M,47.30M,,,,,42.10M,2.30M,-41.20M,,-19.30M,24.80M,8.70M,2.10M,,2003-12,-16.00M,,-16.00M,,,0.20M,-15.80M,2003-12,,,,35.60M,-40.70M,-5.10M,,-30.80M,,-0.60M,-36.50M,2003-12,226.40M,91.80M,-2.60M,,2003-12,,35.60M,,,-40.70M,2003-12,,
2003-09,62.40M,,,,5.50M,39.50M,4.10M,43.60M,43.60M,,,,,-28.00M,23.30M,9.90M,,-1.10M,-0.10M,4.00M,,,2003-09,-36.60M,,-30.00M,0.30M,,1.30M,-28.40M,2003-09,,,-0.40M,28.40M,-33.40M,-5.00M,,-30.40M,,0.50M,-35.30M,2003-09,125.00M,93.20M,8.00M,,2003-09,,28.40M,,,-33.40M,2003-09,,
2003-06,128.00M,,,,-53.00M,43.00M,7.00M,50.00M,50.00M,,,,,-4.00M,-4.00M,4.00M,,-22.00M,-22.00M,-48.00M,,,2003-06,-29.00M,,-29.00M,-1.00M,,1.00M,-29.00M,2003-06,,,-150.00M,9.00M,-29.00M,-20.00M,,-31.00M,,0.00,-201.00M,2003-06,296.00M,-153.00M,-18.00M,,2003-06,,9.00M,,,-29.00M,2003-06,,
2003-03,49.30M,,,,14.90M,41.80M,5.40M,47.20M,47.20M,,,,,-14.00M,-5.30M,30.00M,,26.10M,-51.00M,-14.20M,,,2003-03,-27.20M,,-27.20M,-25.00M,,-2.00M,-54.20M,2003-03,,,-1.70M,26.70M,-37.60M,-10.90M,,-30.30M,,-0.60M,-43.50M,2003-03,306.60M,-0.50M,-9.90M,,2003-03,,26.70M,,,-37.60M,2003-03,,
2002-12,41.70M,,,,1.10M,44.20M,5.60M,49.80M,49.80M,,,,,33.00M,6.30M,-37.00M,,-28.10M,37.00M,11.20M,,,2002-12,-14.80M,,-14.80M,,,-5.00M,-19.80M,2002-12,,,-1.30M,6.30M,-28.40M,-22.10M,,-30.70M,,-1.40M,-55.50M,2002-12,289.20M,28.50M,-11.10M,,2002-12,,6.30M,,,-28.40M,2002-12,,
2002-09,49.00M,,,,-3.00M,46.00M,6.00M,52.00M,52.00M,,,,,4.00M,30.00M,-10.00M,,27.00M,46.00M,97.00M,0.00,,2002-09,-33.00M,,-29.00M,-3.00M,,,-36.00M,2002-09,,,-45.00M,1.00M,,1.00M,,-30.00M,,,-74.00M,2002-09,214.00M,71.00M,4.00M,,2002-09,,1.00M,,,,2002-09,,
2002-06,90.00M,,,,-24.00M,42.00M,5.00M,47.00M,47.00M,,,,,-2.00M,14.00M,7.00M,,-22.00M,36.00M,33.00M,0.00,,2002-06,-24.00M,,-24.00M,-13.00M,,,-37.00M,2002-06,,,-45.00M,9.00M,,9.00M,,-31.00M,,,-67.00M,2002-06,187.00M,42.00M,-15.00M,,2002-06,,9.00M,,,,2002-06,,
2002-03,58.00M,,,,-1.00M,48.00M,6.00M,54.00M,54.00M,,,,,5.00M,4.00M,32.00M,,-6.00M,-84.00M,-49.00M,-36.00M,,2002-03,-28.00M,,-28.00M,-55.00M,,,-83.00M,2002-03,,,89.00M,11.00M,,11.00M,,-31.00M,,,69.00M,2002-03,170.00M,12.00M,5.00M,,2002-03,,11.00M,,,,2002-03,,
2001-12,29.00M,,,,1.00M,48.00M,5.00M,53.00M,53.00M,,,,,63.00M,5.00M,-55.00M,,-15.00M,6.00M,4.00M,,,2001-12,-19.00M,,-19.00M,,,,-19.00M,2001-12,,,1.00M,4.00M,,4.00M,,-30.00M,,,-25.00M,2001-12,121.00M,43.00M,6.00M,,2001-12,,4.00M,,,,2001-12,,
2001-09,12.00M,,,,33.00M,47.00M,18.00M,65.00M,65.00M,,,,,-15.00M,12.00M,33.00M,,-109.00M,-41.00M,-120.00M,0.00,,2001-09,-39.00M,5.00M,-34.00M,0.00,,-3.00M,-37.00M,2001-09,,,-63.00M,2.00M,0.00,2.00M,,-30.00M,,,-91.00M,2001-09,259.00M,-136.00M,-2.00M,,2001-09,,2.00M,,,0.00,2001-09,,
2001-06,-27.00M,,,,70.00M,50.00M,20.00M,70.00M,70.00M,,,,,46.00M,16.00M,-23.00M,,-30.00M,73.00M,82.00M,-4.00M,,2001-06,-50.00M,1.00M,-49.00M,0.00,,300.00M,251.00M,2001-06,,,-340.00M,18.00M,0.00,18.00M,,-47.00M,,,-369.00M,2001-06,190.00M,73.00M,9.00M,,2001-06,,18.00M,,,0.00,2001-06,,
2001-03,6.00M,,,,61.00M,50.00M,20.00M,70.00M,70.00M,,,,,-6.00M,2.00M,-67.00M,,9.00M,47.00M,-15.00M,-17.00M,,2001-03,-39.00M,5.00M,-34.00M,0.00,,,-34.00M,2001-03,,,-35.00M,19.00M,0.00,19.00M,,-46.00M,,,-62.00M,2001-03,158.00M,9.00M,6.00M,,2001-03,,19.00M,,,0.00,2001-03,,
2000-12,134.00M,,,,-70.00M,49.00M,18.00M,67.00M,67.00M,,,,,8.00M,-33.00M,-29.00M,,41.00M,-92.00M,-105.00M,-328.00M,,2000-12,-29.00M,8.00M,-21.00M,-6.00M,,,-27.00M,2000-12,,,430.00M,5.00M,-63.00M,-58.00M,,-47.00M,,,325.00M,2000-12,166.00M,-4.00M,-4.00M,,2000-12,,5.00M,,,-63.00M,2000-12,,
2000-09,-147.00M,,,,6.00M,193.00M,77.00M,-1.00M,-1.00M,,,,,-82.00M,-39.00M,159.00M,,-86.00M,85.00M,37.00M,59.00M,,2000-09,-10.00M,1.00M,-9.00M,6.00M,,,-3.00M,2000-09,,,-6.00M,-2.00M,-107.00M,-109.00M,,-47.00M,,,-162.00M,2000-09,224.00M,-69.00M,35.00M,,2000-09,,-2.00M,,,-107.00M,2000-09,,
2000-06,302.00M,,,,0.00,-95.00M,-37.00M,139.00M,139.00M,,,,,48.00M,-26.00M,-81.00M,,71.00M,-97.00M,-85.00M,-9.00M,,2000-06,-109.00M,1.00M,-108.00M,-16.00M,,,-124.00M,2000-06,,,-4.00M,1.00M,-107.00M,-106.00M,,-48.00M,,,-158.00M,2000-06,165.00M,65.00M,-6.00M,,2000-06,,1.00M,,,-107.00M,2000-06,,
2000-03,32.00M,,,,52.00M,95.00M,37.00M,68.00M,68.00M,,,,,-4.00M,-7.00M,17.00M,,52.00M,-15.00M,43.00M,0.00,,2000-03,-60.00M,56.00M,-4.00M,-60.00M,,,-64.00M,2000-03,,,-160.00M,9.00M,-44.00M,-35.00M,,-48.00M,,,-243.00M,2000-03,289.00M,-112.00M,-12.00M,,2000-03,,9.00M,,,-44.00M,2000-03,,
1999-12,157.00M,,,,-70.00M,,,64.00M,64.00M,,,,,22.00M,-14.00M,-53.00M,,-25.00M,-24.00M,-94.00M,9.00M,,1999-12,-38.00M,1.00M,-37.00M,,,,-37.00M,1999-12,,,-3.00M,5.00M,-67.00M,-62.00M,,-49.00M,,,-114.00M,1999-12,356.00M,-85.00M,18.00M,,1999-12,,5.00M,,,-67.00M,1999-12,,
1999-09,155.00M,,,,-17.00M,,,101.00M,101.00M,12.00M,,,,-152.00M,46.00M,147.00M,,74.00M,31.00M,146.00M,0.00,,1999-09,-377.00M,91.00M,-286.00M,217.00M,,,-69.00M,1999-09,,,45.00M,10.00M,-61.00M,-51.00M,,-48.00M,,,-54.00M,1999-09,62.00M,274.00M,,,1999-09,,10.00M,,,-61.00M,1999-09,,
1999-06,150.00M,,,,6.00M,,,85.00M,85.00M,39.00M,,,-20.00M,-3.00M,11.00M,-46.00M,,-22.00M,-11.00M,-71.00M,0.00,,1999-06,59.00M,9.00M,68.00M,-217.00M,,,-149.00M,1999-06,,,-59.00M,79.00M,-53.00M,26.00M,,-49.00M,,,-82.00M,1999-06,0.00,-42.00M,,,1999-06,,79.00M,,,-53.00M,1999-06,,
1999-03,143.00M,,,,-30.00M,,,83.00M,83.00M,57.00M,,,0.00,-7.00M,-50.00M,55.00M,,29.00M,,27.00M,0.00,,1999-03,-199.00M,6.00M,-193.00M,,,,-193.00M,1999-03,,,-145.00M,18.00M,-2.00M,16.00M,,-49.00M,,,-178.00M,1999-03,0.00,-91.00M,,,1999-03,,18.00M,,,-2.00M,1999-03,,
1998-12,114.00M,,,,13.00M,,,68.00M,68.00M,-96.00M,,,20.00M,85.00M,-36.00M,-59.00M,,-55.00M,,-65.00M,-47.00M,,1998-12,-101.00M,92.00M,-9.00M,,,,-9.00M,1998-12,,,180.00M,18.00M,-56.00M,-38.00M,,-48.00M,,,94.00M,1998-12,103.00M,92.00M,,,1998-12,,18.00M,,,-56.00M,1998-12,,
1998-09,-126.00M,,,,258.00M,,,69.00M,69.00M,34.00M,,,30.00M,-144.00M,54.00M,41.00M,,35.00M,,-14.00M,48.00M,,1998-09,-170.00M,2.00M,-168.00M,,,,-168.00M,1998-09,,,-937.00M,75.00M,-103.00M,-28.00M,,-49.00M,,826.00M,-188.00M,1998-09,0.00,-57.00M,,,1998-09,,75.00M,,,-103.00M,1998-09,,
1998-06,-482.00M,,,,666.00M,,,84.00M,84.00M,-38.00M,,,-14.00M,40.00M,-21.00M,56.00M,,-68.00M,,7.00M,-96.00M,,1998-06,-111.00M,83.00M,-28.00M,,,,-28.00M,1998-06,,,1.019B,-58.00M,-282.00M,-340.00M,,-50.00M,,-826.00M,-197.00M,1998-06,0.00,-98.00M,,,1998-06,,-58.00M,,,-282.00M,1998-06,,
