,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,NonIncomeTaxes,OperatingInterestExpense,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,IncomefromDiscontinuedOperations,"ExtraordinaryItems,IncomeStatement",NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,EPSBasicfromTaxLossCarryforward,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,EPSDilutedfromTaxLossCarryforward,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2002-10,18.05B,18.05B,13.26B,4.789B,,2.951B,967.00M,151.00M,,-333.00M,,,,,4.069B,720.00M,,,-333.00M,,455.00M,65.00M,390.00M,,,390.00M,675.43M,1.429B,709.00M,720.00M,0.2,-0.01,,-0.0007,0.293,0.2,0.2,-0.01,,-0.0007,0.293,0.2,3.069B,3.069B,0.08
2002-07,16.54B,16.54B,12.42B,4.117B,,2.738B,983.00M,147.00M,,-2.764B,,,,,3.868B,249.00M,,,-2.764B,,-2.495B,-466.00M,-2.029B,,,-2.029B,218.76M,963.00M,714.00M,249.00M,-0.67,0.0,,,0.0722,-0.67,-0.67,0.0,,,0.0722,-0.67,3.028B,3.028B,0.08
2002-04,10.62B,10.62B,7.583B,3.038B,,1.724B,742.00M,,,-174.00M,,,,,2.466B,572.00M,,,-174.00M,,353.00M,115.00M,238.00M,,,252.00M,355.31M,953.00M,381.00M,572.00M,0.12,0.01,,0.0072,0.1805,0.13,0.12,0.01,,0.0072,0.1805,0.13,1.938B,1.938B,0.08
2002-01,11.38B,11.38B,8.33B,3.053B,,1.75B,678.00M,,,,,,,,2.428B,625.00M,,,,,635.00M,157.00M,478.00M,,,484.00M,478.00M,940.00M,315.00M,625.00M,0.25,0.0,,0.0031,0.25,0.25,0.25,0.0,,0.0031,0.25,0.25,1.936B,1.936B,0.08
2001-10,10.88B,10.88B,7.841B,3.035B,,1.912B,653.00M,50.00M,,-310.00M,,,,,2.425B,610.00M,,,-310.00M,,103.00M,19.00M,84.00M,,0.00,97.00M,336.82M,973.00M,363.00M,610.00M,0.04,0.12,0.0,0.0067,0.1704,0.05,0.04,0.12,0.0001,0.0066,0.1685,0.05,1.939B,1.968B,0.08
2001-07,10.28B,10.28B,7.62B,2.664B,,1.729B,682.00M,49.00M,,-131.00M,,,,,2.46B,204.00M,,,-131.00M,,115.00M,,115.00M,,,123.00M,193.60M,578.00M,374.00M,204.00M,0.06,0.01,,0.0041,0.1006,0.07,0.06,0.01,,0.0041,0.1,0.07,1.936B,1.967B,0.08
2001-04,11.67B,11.67B,8.738B,2.93B,,1.881B,706.00M,,,-400.00M,,,,,2.587B,343.00M,,,-400.00M,,-18.00M,-53.00M,35.00M,,,47.00M,275.00M,689.00M,346.00M,343.00M,0.02,0.0,,0.0062,0.144,0.02,0.02,0.0,,0.006,0.1408,0.02,1.935B,1.987B,0.08
2001-01,12.40B,12.40B,9.059B,3.339B,,1.763B,704.00M,,,-467.00M,,,,,2.467B,872.00M,,,-467.00M,,502.00M,112.00M,390.00M,,-272.00M,141.00M,752.81M,1.158B,286.00M,872.00M,0.2,-0.13,0.0,0.0119,0.388,0.07,0.2,-0.13,-0.1409,0.0115,0.3818,0.07,1.93B,1.996B,0.08
2000-10,13.35B,13.35B,9.561B,3.79B,,1.825B,686.00M,,,,,,,,2.597B,1.193B,,,,,1.198B,276.00M,922.00M,0.00,,922.00M,922.00M,1.375B,182.00M,1.193B,0.545,-0.07,,,0.545,0.475,0.525,-0.07,,,0.525,0.46,1.958B,2.05B,0.08
2000-07,11.82B,11.82B,8.308B,3.51B,,1.755B,663.00M,,,,,,,,2.418B,1.092B,,,,,1.308B,279.00M,1.029B,17.00M,,1.046B,1.029B,1.478B,386.00M,1.092B,0.52,0.01,,,0.52,0.53,0.495,0.01,,,0.495,0.505,1.976B,2.09B,0.08
2000-04,12.03B,12.03B,8.595B,3.433B,,1.872B,671.00M,,,,,,,,2.543B,890.00M,,,,,1.06B,244.00M,816.00M,119.00M,,935.00M,816.00M,1.288B,398.00M,890.00M,0.41,0.06,,,0.41,0.47,0.395,0.055,,,0.395,0.45,1.988B,2.084B,0.08
2000-01,11.67B,11.67B,8.349B,3.324B,,1.765B,607.00M,,,,,,,,2.372B,952.00M,,,,,1.059B,265.00M,794.00M,,,794.00M,794.00M,1.227B,275.00M,952.00M,0.4,0.0,,,0.4,0.4,0.39,0.0,,,0.39,0.39,1.998B,2.086B,0.08
1999-10,11.36B,11.36B,8.102B,3.26B,,1.739B,612.00M,,,,,,,,2.351B,909.00M,,,,,1.005B,245.00M,760.00M,0.00,,760.00M,760.00M,1.26B,351.00M,909.00M,0.38,0.0,,,0.38,0.38,0.37,-0.01,,,0.37,0.36,2.006B,2.096B,0.08
1999-07,10.32B,10.32B,7.251B,3.067B,,1.661B,619.00M,,,,,,,,2.28B,787.00M,,,,,946.00M,250.00M,696.00M,157.00M,,853.00M,696.00M,1.126B,339.00M,787.00M,0.35,0.08,,,0.35,0.43,0.33,0.08,,,0.33,0.41,2.02B,2.112B,0.08
1999-04,10.46B,10.46B,7.299B,3.156B,,1.628B,633.00M,,,,,,,,2.261B,895.00M,,,,,1.044B,278.00M,766.00M,152.00M,,918.00M,766.00M,1.221B,326.00M,895.00M,0.38,0.08,,,0.38,0.46,0.37,0.08,,,0.37,0.45,2.02B,2.102B,0.08
1999-01,10.24B,10.24B,7.068B,3.167B,,1.494B,576.00M,,,,,,,,2.07B,1.097B,,,,,1.199B,317.00M,882.00M,78.00M,,960.00M,882.00M,1.397B,300.00M,1.097B,0.44,0.04,,,0.44,0.48,0.43,0.04,,,0.43,0.47,2.022B,2.098B,0.08
1998-10,10.30B,10.30B,7.284B,3.012B,,1.481B,604.00M,,,,,,,,2.085B,927.00M,,,,,1.01B,251.00M,759.00M,-49.00M,,710.00M,759.00M,1.329B,402.00M,927.00M,0.385,-0.03,,,0.385,0.355,0.36,-0.03,,,0.36,0.335,2.038B,2.09B,0.08
1998-07,9.182B,9.182B,6.507B,2.675B,,1.417B,585.00M,,,,,,,,2.002B,673.00M,,,,,774.00M,220.00M,554.00M,67.00M,,621.00M,554.00M,779.00M,106.00M,673.00M,0.27,0.04,,,0.27,0.31,0.26,0.03,,,0.26,0.29,2.07B,2.152B,0.08
