,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding,DividendPerShare
2001-12,7.741B,7.741B,1.544B,6.197B,,,2.312B,1.044B,136.00M,,,,3.356B,2.841B,,,,99.00M,,3.357B,1.074B,2.283B,,,2.283B,2.191B,3.136B,295.00M,2.841B,0.21,0.0,,0.2014,0.21,0.205,0.0,,0.1967,0.205,10.79B,11.11B,
2001-09,6.126B,6.126B,884.00M,5.242B,,,1.332B,1.013B,-1.429B,,,,2.345B,2.897B,,,,-1.459B,,1.887B,604.00M,1.283B,,,1.283B,2.255B,3.179B,282.00M,2.897B,0.12,0.0,,0.21,0.12,0.115,0.0,,0.2023,0.115,10.80B,11.13B,
2001-06,6.577B,6.577B,867.00M,5.71B,,,1.595B,1.364B,-3.072B,,,,2.959B,2.751B,,,,-3.105B,,98.00M,33.00M,65.00M,0.00,,65.00M,2.103B,3.315B,564.00M,2.751B,0.005,0.0,0.0,0.1944,0.005,0.005,0.0,0.0001,0.1879,0.005,10.76B,11.14B,
2001-03,6.403B,6.403B,899.00M,5.504B,,,1.437B,1.069B,200.00M,,,,2.506B,2.998B,,,,154.00M,,3.658B,1.207B,2.451B,,,2.451B,2.317B,3.481B,483.00M,2.998B,0.23,0.0,,0.2174,0.23,0.22,0.0,,0.208,0.22,10.67B,11.13B,
2000-12,6.55B,6.55B,864.00M,5.686B,,,1.502B,990.00M,332.00M,,,,2.492B,3.194B,,,,304.00M,,3.917B,1.293B,2.624B,,,2.624B,2.402B,3.433B,239.00M,3.194B,0.245,0.0,,0.2241,0.245,0.235,0.0,,0.215,0.235,10.66B,11.14B,
2000-09,5.766B,5.766B,825.00M,4.941B,,,1.208B,956.00M,696.00M,,,,2.164B,2.777B,,,,644.00M,,3.852B,1.271B,2.581B,-375.00M,,2.206B,2.115B,3.027B,250.00M,2.777B,0.245,-0.035,0.0,0.201,0.21,0.23,-0.035,-0.0354,0.188,0.2,10.60B,11.11B,
2000-06,5.804B,5.804B,1.822B,3.982B,,,1.384B,1.087B,745.00M,,,,1.431B,2.551B,,,,721.00M,,3.651B,1.242B,2.409B,,0.00,2.409B,1.917B,2.856B,305.00M,2.551B,0.2153,,,0.1677,0.2153,0.215,0.0,,0.1705,0.215,10.33B,11.05B,
2000-03,5.656B,5.656B,477.00M,5.179B,,,1.195B,974.00M,551.00M,,,,2.444B,2.735B,,,,547.00M,,3.613B,1.228B,2.385B,,,2.385B,2.021B,3.01B,275.00M,2.735B,0.23,0.0,,0.1951,0.23,0.215,0.0,,0.1822,0.215,10.42B,11.09B,
1999-12,6.112B,6.112B,431.00M,5.681B,,,1.527B,898.00M,479.00M,,,,2.75B,2.931B,,,,479.00M,,3.691B,1.255B,2.436B,,7.00M,2.436B,2.120B,3.256B,325.00M,2.931B,0.235,0.0,,0.2044,0.235,0.22,0.0,,0.1915,0.22,10.33B,11.08B,
1999-09,5.384B,5.384B,367.00M,5.017B,,,1.07B,813.00M,266.00M,,,,2.228B,2.789B,,,,266.00M,,3.32B,1.129B,2.191B,,7.00M,2.191B,2.015B,3.134B,345.00M,2.789B,0.215,0.0,,0.1979,0.215,0.2,0.0,,0.1841,0.2,10.26B,11.05B,
1999-06,5.764B,5.764B,173.00M,5.591B,,,1.197B,940.00M,430.00M,,,,2.633B,2.958B,,,,430.00M,,3.388B,1.186B,2.202B,,7.00M,2.202B,1.923B,3.454B,412.00M,2.958B,0.215,0.0,,0.1876,0.215,0.2,0.0,,0.1747,0.2,10.20B,11.04B,
1999-03,4.595B,4.595B,550.00M,4.045B,,,993.00M,664.00M,719.00M,,,,1.815B,2.23B,,,,719.00M,,2.949B,1.032B,1.917B,,7.00M,1.917B,1.450B,2.388B,158.00M,2.23B,0.19,0.0,,0.1438,0.19,0.175,0.0,,0.1326,0.175,10.11B,11.02B,
1998-12,5.195B,5.195B,611.00M,4.584B,,,943.00M,715.00M,302.00M,,,,1.835B,2.749B,,,,302.00M,,3.051B,1.068B,1.983B,,7.00M,1.983B,1.787B,2.926B,177.00M,2.749B,0.2,0.0,,0.1804,0.2,0.18,0.0,,0.1621,0.18,9.996B,10.98B,
1998-09,4.193B,4.193B,470.00M,3.723B,,,811.00M,651.00M,421.00M,,,,1.641B,2.082B,,,,421.00M,,2.503B,820.00M,1.683B,,7.00M,1.683B,1.400B,2.261B,179.00M,2.082B,0.17,0.0,,0.1413,0.17,0.155,0.0,,0.1288,0.155,9.859B,10.81B,
1998-06,4.773B,4.773B,1.329B,3.444B,,,693.00M,810.00M,395.00M,,,,1.751B,1.693B,,,,395.00M,,2.088B,731.00M,1.357B,,7.00M,1.357B,1.100B,1.941B,248.00M,1.693B,0.135,0.0,,0.109,0.135,0.125,0.0,,0.1013,0.125,9.86B,10.82B,
