,NetIncome,Gain(Loss)onInvestmentSecurities,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock
2005-09,3.141B,,-84.00M,234.00M,234.00M,-128.00M,,,,1.408B,,,-340.00M,-209.00M,307.00M,1.166B,4.329B,-213.00M,,-213.00M,-187.00M,-2.861B,,-3.261B,,,,1.001B,-3.116B,-2.115B,,-857.00M,31.00M,-2.941B,4.851B,-1.873B,-4.00M,2.974B,1.001B,,,-3.116B
2005-06,3.70B,,-1.504B,282.00M,282.00M,-248.00M,,,,-1.707B,,,-286.00M,-414.00M,1.037B,-1.37B,3.976B,-260.00M,,-260.00M,-195.00M,1.314B,,859.00M,,,,1.473B,-4.306B,-2.833B,,-859.00M,,-3.71B,3.782B,1.125B,-56.00M,4.851B,1.473B,,,-4.306B
2005-03,2.563B,,402.00M,282.00M,282.00M,-292.00M,,,,1.001B,,,-130.00M,993.00M,184.00M,2.048B,5.003B,-203.00M,,-203.00M,-11.00M,-919.00M,,-1.133B,,,,354.00M,-2.427B,-2.073B,,-885.00M,,-2.958B,4.556B,912.00M,-8.00M,3.782B,354.00M,,,-2.427B
2004-12,3.463B,,912.00M,108.00M,108.00M,68.00M,,,,-1.398B,,,373.00M,162.00M,-69.00M,-932.00M,3.619B,-176.00M,,-176.00M,-1.00M,23.59B,,23.42B,,,,795.00M,-969.00M,-174.00M,,-33.50B,,-33.67B,9.462B,-6.638B,54.00M,4.556B,795.00M,,,-969.00M
2004-09,2.528B,,575.00M,183.00M,183.00M,293.00M,,,,861.00M,,,-202.00M,-345.00M,114.00M,428.00M,4.007B,-173.00M,,-173.00M,,-7.941B,,-8.114B,,,,487.00M,-355.00M,132.00M,,-870.00M,,-738.00M,14.30B,-4.845B,3.00M,9.462B,487.00M,,,-355.00M
2004-06,2.69B,,1.62B,309.00M,309.00M,-554.00M,,,,-1.056B,,,122.00M,-1.402B,-714.00M,-3.05B,1.658B,-557.00M,,-557.00M,0.00,4.13B,,3.573B,,,,1.296B,0.00,1.296B,,0.00,,1.296B,7.787B,6.527B,-10.00M,14.30B,1.296B,,,0.00
2004-03,1.315B,,-1.116B,249.00M,249.00M,54.00M,,,,697.00M,,,63.00M,1.951B,1.757B,4.468B,4.97B,-213.00M,,-213.00M,0.00,-1.005B,,-1.218B,,,,568.00M,-1.608B,-1.04B,,0.00,,-1.04B,6.149B,2.712B,7.00M,7.787B,568.00M,,,-1.608B
2003-12,1.549B,,3.059B,300.00M,300.00M,-985.00M,,,,-1.004B,,,607.00M,1.256B,-208.00M,651.00M,4.574B,-172.00M,,-172.00M,0.00,-1.777B,,-1.949B,,,,189.00M,-730.00M,-541.00M,,-1.729B,,-2.27B,5.768B,355.00M,26.00M,6.149B,189.00M,,,-730.00M
2003-09,2.614B,,1.225B,328.00M,328.00M,6.00M,,,,676.00M,,,-314.00M,-276.00M,-835.00M,-749.00M,3.424B,-167.00M,,-167.00M,-4.00M,-3.577B,,-3.748B,,,,695.00M,-1.045B,-350.00M,,,,-350.00M,6.438B,-674.00M,4.00M,5.768B,695.00M,,,-1.045B
2003-06,-541.00M,,5.122B,426.00M,426.00M,-999.00M,,,,-1.038B,,,-6.00M,-3.00M,-1.138B,-2.185B,2.689B,-273.00M,,-273.00M,-172.00M,73.00M,,-372.00M,,,,731.00M,-1.214B,-483.00M,,0.00,,-483.00M,4.30B,1.834B,22.00M,5.357B,731.00M,,,-1.214B
2003-03,4.166B,,-1.783B,419.00M,419.00M,1.182B,,,,823.00M,,,51.00M,-384.00M,-305.00M,185.00M,4.169B,-182.00M,,-182.00M,-12.00M,-4.013B,,-4.207B,,,,485.00M,-839.00M,-354.00M,,-857.00M,,-1.211B,5.552B,-1.249B,-3.00M,4.30B,485.00M,,,-839.00M
2002-12,1.865B,,1.494B,275.00M,275.00M,-592.00M,,,,-349.00M,,,404.00M,-375.00M,45.00M,-275.00M,2.767B,-276.00M,,-276.00M,-9.00M,-1.734B,,-2.019B,,,,365.00M,-936.00M,-571.00M,,,,-571.00M,5.338B,177.00M,37.00M,5.552B,365.00M,,,-936.00M
2002-09,2.041B,,1.888B,273.00M,273.00M,-939.00M,,,,751.00M,,,-37.00M,797.00M,1.398B,2.909B,6.172B,-160.00M,,-160.00M,-870.00M,133.00M,,-897.00M,,,,539.00M,-3.497B,-2.958B,,,,-2.958B,3.016B,2.317B,5.00M,5.338B,539.00M,,,-3.497B
2002-06,1.525B,,1.671B,359.00M,359.00M,301.00M,,,,-878.00M,,,-56.00M,-282.00M,794.00M,-422.00M,3.434B,-282.00M,,-282.00M,,-1.418B,,-1.70B,,,,286.00M,-4.127B,-3.841B,,,,-3.841B,5.116B,-2.107B,7.00M,3.016B,286.00M,,,-4.127B
2002-03,2.738B,,136.00M,148.00M,148.00M,144.00M,,,,654.00M,,,-305.00M,129.00M,477.00M,955.00M,4.121B,-166.00M,,-166.00M,,-3.83B,,-3.996B,,,,425.00M,-676.00M,-251.00M,,,,-251.00M,5.256B,-126.00M,-14.00M,5.116B,425.00M,,,-676.00M
2001-12,2.283B,,281.00M,295.00M,295.00M,-22.00M,,,,-1.468B,,,136.00M,1.168B,892.00M,728.00M,3.565B,-172.00M,,-172.00M,,-1.508B,,-1.68B,,,,395.00M,-141.00M,254.00M,,,,254.00M,3.113B,2.139B,4.00M,5.256B,395.00M,,,-141.00M
2001-09,1.283B,,1.932B,282.00M,282.00M,-839.00M,,,,69.00M,,,-39.00M,434.00M,267.00M,731.00M,3.389B,-150.00M,,-150.00M,,-3.319B,,-3.469B,,,,391.00M,-1.125B,-734.00M,,,,-734.00M,3.922B,-814.00M,5.00M,3.113B,391.00M,,,-1.125B
2001-06,65.00M,,3.959B,564.00M,564.00M,-1.777B,,,,-137.00M,,,75.00M,632.00M,198.00M,768.00M,3.579B,-322.00M,,-322.00M,,-1.827B,,-2.149B,,,,525.00M,-2.655B,-2.13B,,,499.00M,-1.631B,4.149B,-201.00M,-26.00M,3.922B,525.00M,,,-2.655B
2001-03,2.451B,,274.00M,483.00M,483.00M,361.00M,,,,617.00M,,,-109.00M,-13.00M,-100.00M,395.00M,3.964B,-264.00M,,-264.00M,,-2.067B,,-2.331B,,,,397.00M,-1.156B,-759.00M,,,-264.00M,-1.023B,3.531B,610.00M,8.00M,4.149B,397.00M,,,-1.156B
2000-12,2.624B,,200.00M,239.00M,239.00M,262.00M,,,,-1.014B,,,-237.00M,408.00M,437.00M,-406.00M,2.919B,-272.00M,,-272.00M,,-46.00M,,-318.00M,,,,242.00M,-1.878B,-1.636B,,,,-1.636B,2.641B,965.00M,-75.00M,3.531B,242.00M,,,-1.878B
2000-09,2.206B,,229.00M,250.00M,250.00M,734.00M,,,,116.00M,,,-211.00M,-253.00M,-111.00M,-459.00M,2.96B,-245.00M,,-245.00M,,-3.691B,,-3.936B,,,,456.00M,-1.752B,-1.296B,,,,-1.296B,4.846B,-2.272B,67.00M,2.641B,456.00M,,,-1.752B
2000-06,2.409B,,879.00M,305.00M,305.00M,-874.00M,,,,-386.00M,,,-447.00M,655.00M,147.00M,-31.00M,2.688B,-262.00M,,-262.00M,,-3.208B,,-3.47B,,,,495.00M,-24.00M,471.00M,,0.00,,471.00M,5.192B,-311.00M,-35.00M,4.846B,495.00M,,,-24.00M
2000-03,2.385B,,859.00M,275.00M,275.00M,876.00M,,,,472.00M,,,281.00M,-1.76B,-434.00M,-1.441B,2.954B,-246.00M,,-246.00M,,-3.409B,,-3.655B,,,,837.00M,-20.00M,817.00M,,0.00,,817.00M,5.032B,116.00M,44.00M,5.192B,837.00M,,,-20.00M
1999-12,2.436B,,1.16B,325.00M,325.00M,0.00,,,,-1.094B,,,-306.00M,406.00M,,-994.00M,2.927B,-232.00M,,-232.00M,,737.00M,,505.00M,,,,634.00M,-3.818B,-3.184B,,-6.00M,,-3.19B,4.789B,242.00M,1.00M,5.032B,634.00M,,,-3.818B
1999-09,2.191B,,905.00M,345.00M,345.00M,-427.00M,,,,64.00M,,,-303.00M,82.00M,,-157.00M,2.857B,-139.00M,,-139.00M,,-2.633B,,-2.772B,,,,751.00M,-1.034B,-283.00M,,-7.00M,,-290.00M,4.975B,-205.00M,19.00M,4.789B,751.00M,,,-1.034B
1999-06,2.202B,,1.80B,412.00M,412.00M,,,,,-495.00M,,,-131.00M,1.93B,,1.304B,5.718B,-292.00M,0.00,-292.00M,,-5.155B,1.899B,-3.548B,,,,257.00M,-1.423B,-1.166B,,-7.00M,-2.238B,-3.411B,6.203B,-1.241B,13.00M,4.975B,257.00M,,,-1.423B
1999-03,1.917B,,1.307B,158.00M,158.00M,,,,,294.00M,,,-80.00M,-912.00M,,-698.00M,2.684B,-50.00M,0.00,-50.00M,,-1.774B,-1.899B,-3.723B,,,,890.00M,-755.00M,135.00M,,-7.00M,1.02B,1.148B,6.113B,109.00M,-19.00M,6.203B,890.00M,,,-755.00M
1998-12,1.983B,,-245.00M,177.00M,177.00M,,,,,-827.00M,,,40.00M,1.023B,,236.00M,2.151B,-135.00M,0.00,-135.00M,,-1.913B,,-2.048B,,,,428.00M,-268.00M,160.00M,,-7.00M,627.00M,780.00M,5.191B,883.00M,39.00M,6.113B,428.00M,,,-268.00M
1998-09,1.683B,,85.00M,179.00M,179.00M,,,,,341.00M,,,-64.00M,360.00M,,637.00M,2.584B,-106.00M,79.00M,-27.00M,,-1.845B,,-1.872B,,,,541.00M,-504.00M,37.00M,,-7.00M,591.00M,621.00M,3.839B,1.333B,19.00M,5.191B,541.00M,,,-504.00M
1998-06,1.357B,,-1.045B,248.00M,248.00M,,,,,-397.00M,,,-141.00M,2.965B,,2.427B,2.987B,-431.00M,,-431.00M,,-3.474B,1.946B,-1.959B,,,,459.00M,-863.00M,-404.00M,,-7.00M,-910.00M,-1.321B,4.11B,-293.00M,22.00M,3.839B,459.00M,,,-863.00M
