,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,PreferredStock,AccruedComprehensiveInc,ShareholdersEquity
2007-12,,7.46B,13.62B,21.08B,11.62B,11.62B,241.00M,77.00M,437.00M,755.00M,1.483B,2.84B,37.78B,,,,,,,9.981B,-5.016B,4.965B,10.31B,1.717B,12.03B,,1.20B,11.37B,29.56B,67.34B,3.612B,,,3.612B,1.977B,5.589B,,,10.22B,10.22B,,6.248B,22.06B,,,,,,,,,10.85B,32.91B,0.00,-29.72B,62.53B,,1.628B,34.43B
2007-09,,6.637B,14.94B,21.57B,8.982B,8.982B,290.00M,252.00M,636.00M,1.178B,1.571B,2.548B,35.85B,,,,,,,9.631B,-5.016B,4.615B,10.15B,1.718B,11.87B,,1.587B,11.72B,29.79B,65.64B,3.206B,,,3.206B,1.796B,5.002B,,,9.787B,9.787B,,7.955B,22.74B,,,,,,,,,10.77B,33.51B,0.00,-30.09B,60.70B,,1.53B,32.14B
2007-06,3.04B,6.111B,17.30B,23.41B,11.34B,11.34B,435.00M,148.00M,544.00M,1.127B,1.899B,2.393B,40.17B,0.0,428.00M,3.17B,4.691B,,1.077B,9.366B,-5.016B,4.35B,4.76B,878.00M,5.638B,10.12B,1.389B,1.509B,23.00B,63.17B,3.247B,1.04B,2.741B,7.028B,,7.028B,,,10.78B,10.78B,,3.622B,23.75B,,,,,1.867B,1.867B,,1.382B,8.32B,32.07B,60.56B,-31.11B,,,1.654B,31.10B
2007-03,,7.611B,20.62B,28.24B,8.454B,8.454B,420.00M,,1.33B,1.75B,1.969B,2.374B,42.78B,,,,,,,8.102B,-4.179B,3.923B,4.217B,699.00M,4.916B,,1.417B,10.85B,21.11B,63.89B,2.843B,,,2.843B,1.878B,4.721B,,,8.551B,8.551B,,8.355B,21.63B,,,,,,,,,7.291B,28.92B,0.00,-27.39B,60.83B,,1.535B,34.97B
2006-12,,6.859B,22.01B,28.87B,9.895B,9.895B,294.00M,,1.431B,1.725B,2.607B,2.08B,45.18B,,,,,,,7.865B,-4.179B,3.686B,4.189B,745.00M,4.934B,,1.656B,10.92B,21.19B,66.37B,2.944B,,,2.944B,1.559B,4.503B,,,10.02B,10.02B,,7.689B,22.22B,,,,,,,,,7.522B,29.74B,0.00,-24.52B,61.15B,,,36.63B
2006-09,,9.076B,22.76B,31.83B,6.879B,6.879B,405.00M,,2.116B,2.521B,2.068B,2.058B,45.36B,,,,,,,7.372B,-4.179B,3.193B,4.153B,720.00M,4.873B,,1.881B,10.05B,20.00B,65.35B,2.406B,,,2.406B,1.401B,3.807B,,,8.31B,8.31B,,9.855B,21.97B,,,,,,,,,7.281B,29.25B,0.00,-21.56B,57.66B,,,36.10B
2006-06,,6.714B,27.45B,34.16B,9.316B,9.316B,465.00M,,1.013B,1.478B,1.94B,2.115B,49.01B,0.0,362.00M,3.146B,3.715B,,,7.223B,-4.179B,3.044B,3.866B,539.00M,4.405B,,2.611B,10.53B,20.59B,69.60B,2.909B,,,2.909B,1.938B,4.847B,,,9.138B,10.70B,1.557B,6.90B,22.44B,,,,,,,,,7.051B,29.49B,59.00B,-20.13B,,,1.229B,40.10B
2006-03,,4.351B,30.46B,34.82B,6.818B,6.818B,465.00M,,648.00M,1.113B,2.036B,1.845B,46.63B,,,,,,,6.572B,-4.029B,2.543B,,4.07B,4.07B,,3.436B,10.18B,20.23B,66.85B,2.354B,,,2.354B,1.516B,3.87B,,,7.215B,7.215B,,7.282B,18.37B,,,,,,,,,6.449B,24.82B,59.85B,-17.81B,,,,42.04B
2005-12,,4.083B,30.62B,34.70B,7.758B,7.758B,496.00M,,507.00M,1.003B,1.487B,1.745B,46.69B,,,,,,,6.481B,-4.029B,2.452B,,4.019B,4.019B,,3.713B,10.38B,20.56B,67.26B,2.477B,,,2.477B,1.249B,3.726B,,,7.118B,7.118B,,5.903B,16.75B,,,,,,,,,6.302B,23.05B,60.14B,-15.93B,,,,44.21B
2005-09,,2.974B,37.08B,40.06B,5.799B,5.799B,297.00M,,429.00M,726.00M,1.48B,1.77B,49.83B,,,,,,,6.38B,-4.029B,2.351B,,4.006B,4.006B,,3.92B,11.35B,21.63B,71.46B,1.852B,,,1.852B,1.196B,3.048B,,,7.148B,7.148B,,6.826B,17.02B,,,,,,,,,6.113B,23.14B,60.86B,-12.54B,,,,48.33B
2005-06,,4.851B,32.90B,37.75B,7.18B,7.18B,69.00M,,422.00M,491.00M,1.701B,1.614B,48.74B,0.0,313.00M,2.865B,3.197B,,,6.375B,-4.029B,2.346B,,3.808B,3.808B,,3.621B,12.30B,22.08B,70.82B,2.086B,,,2.086B,1.662B,3.748B,,,7.502B,7.502B,,5.627B,16.88B,,,,,,,,,5.823B,22.70B,60.41B,-13.72B,,,1.426B,48.12B
2005-03,,3.782B,33.81B,37.59B,5.61B,5.61B,56.00M,,284.00M,340.00M,1.78B,1.269B,46.59B,,,,,,,6.484B,-4.163B,2.321B,,3.579B,3.579B,,714.00M,13.07B,19.68B,66.28B,1.636B,,,1.636B,1.289B,2.925B,,,6.275B,6.275B,,6.939B,16.14B,,,,,,,,,2.763B,18.90B,58.83B,-11.46B,,,,47.37B
2004-12,,4.556B,29.95B,34.50B,6.646B,6.646B,59.00M,,245.00M,304.00M,1.301B,1.644B,44.40B,,,,,,,6.499B,-4.163B,2.336B,,3.599B,3.599B,,1.127B,13.48B,20.54B,64.94B,1.573B,,,1.573B,1.098B,2.671B,,,6.267B,6.267B,,6.107B,15.04B,,,,,,,,,2.664B,17.71B,58.40B,-11.17B,,,,47.23B
2004-09,,11.14B,53.27B,64.42B,5.106B,5.106B,121.00M,,487.00M,608.00M,1.522B,1.245B,72.90B,,,,,,,6.48B,-4.163B,2.317B,,3.649B,3.649B,,1.545B,13.86B,21.37B,94.27B,1.439B,,,1.439B,918.00M,2.357B,,,6.149B,6.149B,,7.305B,15.81B,,,,,,,,,2.511B,18.32B,57.15B,18.80B,,,,75.95B
2004-06,,14.30B,46.29B,60.59B,5.89B,5.89B,150.00M,,271.00M,421.00M,2.097B,1.566B,70.57B,0.0,274.00M,2.786B,3.429B,,,6.489B,-4.163B,2.326B,,3.684B,3.684B,,3.808B,13.98B,23.80B,94.37B,1.717B,,,1.717B,1.339B,3.056B,,,6.514B,6.514B,,5.399B,14.97B,,,,,,,,,4.574B,19.54B,56.40B,18.43B,,,,74.82B
2004-03,,9.348B,47.06B,56.41B,4.937B,4.937B,202.00M,,340.00M,542.00M,1.748B,1.636B,65.27B,,,,,,,6.113B,-3.855B,2.258B,,3.709B,3.709B,,1.583B,16.95B,24.50B,89.77B,1.412B,,,1.412B,1.224B,2.636B,,,5.949B,5.949B,,7.399B,15.98B,,,,,,,,,3.203B,19.19B,53.98B,16.60B,,,,70.58B
2003-12,,6.149B,46.63B,52.78B,5.608B,5.608B,241.00M,,380.00M,621.00M,2.068B,1.326B,62.40B,,,,,,,6.033B,-3.855B,2.178B,,3.455B,3.455B,,1.259B,16.64B,23.54B,85.94B,1.36B,,,1.36B,1.143B,2.503B,,,6.229B,6.229B,,5.195B,13.93B,,,,,,,,,2.667B,16.59B,52.68B,16.67B,,,,69.34B
2003-09,,5.768B,45.85B,51.62B,4.533B,4.533B,245.00M,,854.00M,1.099B,2.206B,1.45B,60.91B,,,,,,,6.048B,-3.855B,2.193B,,3.506B,3.506B,,2.507B,15.16B,23.37B,84.28B,1.341B,,,1.341B,869.00M,2.21B,,,6.62B,6.62B,,6.268B,15.10B,,,,,,,,,2.503B,17.60B,51.30B,15.38B,,,,66.68B
2003-06,,6.438B,42.61B,49.05B,5.196B,5.196B,247.00M,,393.00M,640.00M,2.506B,1.583B,58.97B,0.0,248.00M,1.854B,2.464B,1.512B,,6.078B,-3.855B,2.223B,,3.512B,3.512B,,2.161B,14.86B,22.76B,81.73B,1.573B,,,1.573B,1.416B,2.989B,,,7.225B,7.225B,,3.76B,13.97B,,,,,,,,,2.846B,16.82B,49.23B,15.68B,,,,64.91B
2003-03,,4.30B,41.88B,46.18B,4.075B,4.075B,184.00M,,420.00M,604.00M,2.257B,1.558B,54.67B,,,,,,,5.831B,-3.623B,2.208B,,3.357B,3.357B,,,14.24B,19.81B,74.48B,1.31B,,,1.31B,1.129B,2.439B,,,6.798B,6.798B,,3.924B,13.16B,,,,369.00M,,369.00M,,2.67B,3.039B,16.20B,34.33B,23.95B,,,,58.28B
2002-12,,5.552B,37.87B,43.42B,4.894B,4.894B,150.00M,,500.00M,650.00M,2.347B,1.616B,52.93B,,,,,,,5.88B,-3.623B,2.257B,,3.364B,3.364B,,265.00M,13.54B,19.43B,72.36B,1.342B,,,1.342B,1.06B,2.402B,,,6.81B,6.81B,,4.405B,13.62B,,,,,,,,,2.93B,16.55B,33.60B,22.21B,,,,55.81B
2002-09,,5.338B,35.14B,40.48B,4.45B,4.45B,188.00M,,771.00M,959.00M,2.401B,1.758B,50.04B,,,,,,,5.812B,-3.623B,2.189B,,3.497B,3.497B,,,14.51B,20.19B,70.24B,1.189B,,,1.189B,851.00M,2.04B,,,6.841B,6.841B,,4.876B,13.76B,,,,152.00M,,152.00M,,2.81B,2.962B,16.72B,33.01B,20.50B,,,,53.52B
2002-06,,3.016B,35.64B,38.65B,5.129B,5.129B,168.00M,,505.00M,673.00M,2.112B,2.01B,48.58B,0.0,197.00M,1.701B,2.621B,1.372B,,5.891B,-3.623B,2.268B,,1.669B,1.669B,,,15.13B,19.07B,67.65B,1.208B,,,1.208B,1.145B,2.353B,,,5.92B,5.92B,,4.471B,12.74B,,,,398.00M,,398.00M,,2.324B,2.722B,15.47B,31.65B,20.53B,,,,52.18B
2002-03,,5.116B,33.58B,38.69B,4.23B,4.23B,,,,,2.086B,2.818B,47.83B,,,,,,,5.148B,-2.966B,2.182B,,1.71B,1.71B,,,16.66B,20.55B,68.38B,1.136B,,,1.136B,822.00M,1.958B,,,5.568B,5.568B,,4.316B,11.84B,,,,59.00M,,59.00M,,2.178B,2.237B,14.08B,30.90B,23.40B,,,,54.30B
2001-12,,5.256B,32.97B,38.23B,5.095B,5.095B,,,,,1.972B,2.692B,47.99B,,,,,,,5.206B,-2.966B,2.24B,,1.855B,1.855B,,141.00M,13.16B,17.40B,65.39B,1.229B,,,1.229B,899.00M,2.128B,,,5.30B,5.30B,,4.139B,11.57B,,,,,,,,,2.272B,13.84B,30.18B,21.37B,,,,51.55B
2001-09,,3.113B,33.05B,36.16B,3.615B,3.615B,,,,,1.993B,2.561B,44.33B,,,,,,,5.227B,-2.966B,2.261B,,1.905B,1.905B,,,12.87B,17.04B,61.37B,1.143B,,,1.143B,586.00M,1.729B,,,5.849B,5.849B,,5.284B,12.86B,,,,,,,,,,12.86B,29.30B,19.21B,,,,48.50B
2001-06,,3.922B,27.68B,31.60B,3.671B,3.671B,5.00M,,78.00M,83.00M,1.522B,2.334B,39.21B,0.0,185.00M,1.584B,2.292B,1.214B,,5.275B,-2.966B,2.309B,,1.912B,1.912B,,,15.40B,19.62B,58.83B,1.188B,,,1.188B,742.00M,1.93B,,,4.395B,4.395B,,2.929B,9.254B,,,,409.00M,,409.00M,,1.878B,2.287B,11.54B,28.39B,18.90B,,,,47.29B
2001-03,,4.149B,25.87B,30.02B,3.532B,3.532B,,,,,1.841B,2.398B,37.79B,,,,4.715B,,,4.715B,-2.556B,2.159B,,,,,,19.66B,21.82B,59.60B,1.246B,,,1.246B,,1.246B,,,,,,8.494B,9.74B,,,,1.775B,,1.775B,,,1.775B,11.52B,27.65B,20.44B,,,,48.09B
2000-12,,3.531B,23.36B,26.89B,4.143B,4.143B,,,,,,3.984B,35.02B,,,,,,,4.654B,-2.556B,2.098B,,,,,,20.58B,22.68B,57.69B,1.262B,,,1.262B,,1.262B,,,,,,8.363B,9.625B,,,,1.644B,,1.644B,,,1.644B,11.27B,27.18B,19.24B,,,,46.42B
2000-09,,2.641B,22.07B,24.71B,3.172B,3.172B,,,,,,3.51B,31.39B,,,,,,,4.529B,-2.556B,1.973B,,,,,,22.72B,24.70B,56.09B,1.101B,,,1.101B,,1.101B,,,,,,8.205B,9.306B,,,,1.44B,,1.44B,,,1.44B,10.75B,26.66B,18.68B,,,,45.34B
2000-06,,4.846B,18.95B,23.80B,3.25B,3.25B,,,,,1.708B,1.552B,30.31B,0.0,176.00M,1.387B,1.909B,842.00M,,4.314B,-2.411B,1.903B,,,,,,19.94B,21.84B,52.15B,1.083B,,,1.083B,557.00M,1.64B,,,4.816B,4.816B,,3.299B,9.755B,,,,1.027B,,1.027B,,,1.027B,10.78B,23.20B,18.17B,,,,41.37B
2000-03,,5.192B,16.01B,21.20B,,2.902B,,,,,,1.11B,25.22B,,,,,,,4.128B,-2.293B,1.835B,,,,,,23.84B,25.68B,50.90B,1.073B,,,1.073B,,1.073B,,,,,,10.03B,11.10B,,,,,,,,,,11.10B,20.98B,18.82B,,,,39.79B
1999-12,,4.719B,13.12B,17.84B,3.284B,3.284B,,,,,,893.00M,22.02B,,,,,,,3.897B,-2.158B,1.739B,,,,,,21.33B,23.07B,45.09B,1.233B,,,1.233B,,1.233B,,,,,,9.271B,10.50B,,,,,,,,,,10.50B,18.88B,15.71B,,,,34.59B
1999-09,,4.789B,14.11B,18.90B,2.207B,2.207B,,,,,,854.00M,21.96B,,,,,,,3.715B,-2.058B,1.657B,,,,,,16.05B,17.71B,39.67B,997.00M,,,997.00M,,997.00M,,,,,,7.335B,8.332B,,,,,,,,,,8.332B,16.86B,14.48B,,980.00M,,31.34B
1999-06,,4.975B,12.26B,17.24B,2.245B,2.245B,,,,,,2.221B,21.70B,,,,,,,3.516B,-1.905B,1.611B,,,,,,15.31B,16.92B,38.62B,874.00M,,,874.00M,,874.00M,,,,,,7.928B,8.802B,,,,1.385B,,1.385B,,,1.385B,10.19B,14.82B,13.61B,,980.00M,,28.44B
1999-03,,6.203B,,6.203B,1.689B,1.689B,,,,,,16.17B,24.06B,,,,,,,3.333B,-1.888B,1.445B,,,,,,8.058B,9.503B,33.56B,1.016B,,,1.016B,,1.016B,,,,,,6.823B,7.839B,,,,,,,,,,7.839B,980.00M,12.32B,,980.00M,,25.72B
1998-12,,6.113B,,6.113B,2.029B,2.029B,,,,,,13.67B,21.81B,,,,,,,3.307B,-1.812B,1.495B,,,,,,6.745B,8.24B,30.05B,989.00M,,,989.00M,,989.00M,,,,,,6.482B,7.471B,,,,,,,,,,7.471B,980.00M,11.16B,,980.00M,,22.58B
1998-09,,5.191B,,5.191B,1.153B,1.153B,,,,,,12.62B,18.96B,,,,,,,3.152B,-1.686B,1.466B,,,,,,5.139B,6.605B,25.57B,845.00M,,,845.00M,,845.00M,,,,,,5.60B,6.445B,,,,,,,,,,6.445B,980.00M,8.983B,,980.00M,,19.12B
1998-06,,3.839B,,3.839B,1.46B,1.46B,,,,,,10.59B,15.89B,,,,,,,3.052B,-1.547B,1.505B,,,,,,4.963B,6.468B,22.36B,759.00M,,,759.00M,,759.00M,,,,,,4.971B,5.73B,,,,,,,,,,5.73B,980.00M,7.622B,,980.00M,,16.63B
