,Cash,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,RawMaterialsInventory,WorkinProcessInventory,FinishedGoodsInventory,Inventories,PrepaidExpenses,RestrictedCash,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,Leases,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,TotalLongTermAssets,TotalAssets,,Liabilities(Quarterly),AccountsPayable,CurrentTaxPayable,OtherPayables,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,NotesPayable,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,CurrentDeferredTaxLiability,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentDeferredLiabilities,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,TreasuryStock,PreferredStock,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity
2008-09,,1.108B,233.00M,1.341B,620.00M,,620.00M,39.00M,523.00M,282.00M,844.00M,240.00M,,20.00M,232.00M,3.297B,0.00,50.00M,1.797B,4.904B,,404.00M,,7.155B,-2.715B,4.44B,945.00M,224.00M,1.169B,,6.144B,9.441B,,2008-09,737.00M,,,737.00M,993.00M,1.73B,,,266.00M,,266.00M,65.00M,65.00M,,331.00M,2.392B,4.874B,,4.00M,175.00M,657.00M,5.535B,7.927B,6.00M,-4.774B,6.078B,97.00M,,,,126.00M,1.339B
2008-06,,1.31B,257.00M,1.567B,437.00M,,437.00M,36.00M,470.00M,285.00M,791.00M,244.00M,,20.00M,372.00M,3.431B,0.00,50.00M,1.75B,4.861B,,477.00M,,7.138B,-2.539B,4.599B,945.00M,253.00M,1.198B,,6.353B,9.784B,,2008-06,800.00M,,,800.00M,890.00M,1.69B,,,306.00M,,306.00M,80.00M,80.00M,,392.00M,2.468B,4.955B,,3.00M,189.00M,695.00M,5.653B,8.121B,6.00M,-4.647B,6.058B,96.00M,,,,153.00M,1.474B
2008-03,,1.404B,349.00M,1.753B,538.00M,,538.00M,50.00M,469.00M,266.00M,785.00M,332.00M,,105.00M,,3.513B,0.00,50.00M,1.031B,5.792B,,686.00M,,7.559B,-2.794B,4.765B,1.907B,537.00M,2.444B,,7.695B,11.21B,,2008-03,944.00M,,,944.00M,1.097B,2.041B,,,262.00M,,262.00M,92.00M,92.00M,,343.00M,2.738B,5.025B,,4.00M,189.00M,615.00M,5.644B,8.382B,6.00M,-3.458B,6.037B,96.00M,,,,148.00M,2.637B
2007-12,,1.432B,457.00M,1.889B,640.00M,,640.00M,47.00M,472.00M,291.00M,810.00M,401.00M,,64.00M,759.00M,4.563B,0.00,49.00M,1.036B,6.117B,,677.00M,,7.879B,-3.163B,4.716B,1.286B,465.00M,1.751B,,6.987B,11.55B,,2007-12,1.009B,,,1.009B,1.007B,2.016B,,,238.00M,,238.00M,101.00M,101.00M,,270.00M,2.625B,5.031B,,6.00M,265.00M,633.00M,5.67B,8.295B,6.00M,-3.10B,6.016B,95.00M,,,,163.00M,2.99B
2007-09,,1.096B,432.00M,1.528B,682.00M,,682.00M,56.00M,564.00M,219.00M,839.00M,432.00M,,62.00M,,3.543B,0.00,50.00M,1.247B,6.154B,,702.00M,,8.153B,-3.428B,4.725B,3.165B,994.00M,4.159B,,9.391B,12.93B,,2007-09,1.064B,,,1.064B,1.031B,2.095B,,,218.00M,,218.00M,106.00M,106.00M,,283.00M,2.702B,5.117B,,32.00M,308.00M,650.00M,5.799B,8.501B,6.00M,-1.328B,5.375B,95.00M,,,,167.00M,4.125B
2007-06,,1.304B,290.00M,1.594B,648.00M,,648.00M,94.00M,459.00M,339.00M,892.00M,410.00M,,54.00M,,3.598B,0.00,56.00M,1.474B,6.015B,,629.00M,,8.174B,-3.599B,4.575B,3.18B,1.065B,4.245B,,9.626B,13.22B,,2007-06,985.00M,,,985.00M,960.00M,1.945B,,,219.00M,,219.00M,92.00M,92.00M,,220.00M,2.476B,5.318B,,56.00M,292.00M,610.00M,5.984B,8.46B,6.00M,-932.00M,5.331B,94.00M,,,,161.00M,4.472B
2007-03,,991.00M,176.00M,1.167B,680.00M,,680.00M,103.00M,451.00M,384.00M,938.00M,331.00M,,71.00M,,3.187B,0.00,52.00M,1.503B,5.586B,,797.00M,,7.938B,-3.533B,4.405B,3.186B,1.136B,4.322B,,9.525B,12.71B,,2007-03,1.365B,,,1.365B,879.00M,2.244B,,,182.00M,,182.00M,181.00M,181.00M,,304.00M,2.911B,3.659B,,43.00M,303.00M,591.00M,4.293B,7.204B,6.00M,-332.00M,5.465B,93.00M,,,,159.00M,5.205B
2006-12,,1.38B,161.00M,1.541B,1.14B,10.00M,1.15B,83.00M,545.00M,186.00M,814.00M,433.00M,,25.00M,,3.963B,0.00,53.00M,1.41B,5.202B,,672.00M,,7.337B,-3.35B,3.987B,3.217B,1.207B,4.424B,,9.184B,13.15B,,2006-12,1.338B,,,1.338B,893.00M,2.231B,,,125.00M,,125.00M,169.00M,169.00M,,327.00M,2.852B,3.672B,,31.00M,290.00M,517.00M,4.22B,7.072B,5.00M,308.00M,5.409B,93.00M,,150.00M,6.00M,156.00M,5.785B
2006-09,,1.385B,972.38M,2.357B,709.22M,,709.22M,25.78M,332.44M,107.50M,465.72M,305.04M,,74.98M,,3.912B,0.00,50.32M,1.310B,4.786B,-0.001M,453.47M,,6.600B,-3.196B,3.404B,,,,,4.467B,8.379B,,2006-09,901.35M,,,901.35M,620.73M,1.522B,,,44.95M,,44.95M,115.57M,115.57M,,209.61M,1.892B,644.36M,,75.86M,272.12M,482.20M,1.202B,3.095B,4.871M,881.63M,4.051B,92.61M,,,,167.31M,5.012B
2006-06,,688.66M,1.841B,2.530B,571.54M,20.72M,592.26M,20.11M,252.58M,132.60M,405.28M,287.60M,,90.32M,,3.906B,0.00,50.21M,1.316B,4.454B,,378.35M,,6.198B,-3.035B,3.163B,,,,,4.156B,8.062B,,2006-06,706.45M,,,706.45M,591.39M,1.298B,,,45.14M,,45.14M,189.99M,189.99M,,221.51M,1.754B,647.11M,,90.32M,267.10M,450.29M,1.188B,2.942B,4.856M,747.16M,4.011B,89.70M,,,,178.79M,4.853B
2006-03,,828.63M,1.804B,2.633B,819.96M,38.86M,858.82M,12.80M,196.63M,127.78M,337.22M,283.17M,,104.98M,,4.217B,0.00,28.69M,1.286B,4.156B,,307.89M,,5.779B,-2.904B,2.875B,,,,,3.835B,8.052B,,2006-03,847.18M,,,847.18M,661.91M,1.509B,,,42.41M,,42.41M,194.94M,194.94M,,202.09M,1.949B,615.87M,,104.98M,244.67M,428.07M,1.149B,3.097B,4.832M,658.26M,3.959B,89.76M,,,,177.21M,4.710B
2005-12,,633.07M,1.162B,1.795B,805.53M,143.29M,948.82M,17.76M,225.00M,145.87M,388.63M,334.02M,,92.61M,0.001M,3.559B,0.00,28.81M,1.028B,3.310B,,1.121B,,5.488B,-2.787B,2.701B,,,,,3.729B,7.288B,,2005-12,855.83M,,,855.83M,634.49M,1.490B,,,43.22M,,43.22M,141.90M,141.90M,,146.52M,1.822B,1.327B,,92.61M,234.99M,459.32M,1.879B,3.701B,4.355M,473.68M,2.800B,90.14M,,,,163.64M,3.352B
2005-09,,806.12M,536.05M,1.342B,877.59M,-15.80M,861.80M,49.74M,677.99M,204.03M,931.76M,263.88M,,54.23M,8.564M,3.462B,0.00,68.79M,2.471B,7.775B,,1.169B,,11.48B,-7.162B,4.321B,,,,,4.698B,8.160B,,2005-09,941.65M,,,941.65M,626.78M,1.568B,75.66M,224.87M,300.53M,,300.53M,163.65M,163.65M,,179.75M,2.212B,1.709B,,50.63M,777.05M,436.80M,2.196B,4.409B,4.02M,378.07M,2.439B,,,,,153.65M,2.974B
2005-06,,711.22M,508.84M,1.220B,735.69M,,735.69M,40.82M,659.15M,211.19M,911.16M,309.49M,,71.66M,,3.248B,0.00,56.12M,2.372B,7.758B,,1.006B,,11.19B,-7.047B,4.145B,,,,,4.525B,7.773B,,2005-06,757.27M,,,757.27M,644.74M,1.402B,50.41M,254.23M,304.64M,,304.64M,148.62M,148.62M,,142.40M,1.998B,1.592B,,68.13M,806.24M,462.31M,2.122B,4.120B,3.963M,302.21M,2.461B,90.18M,,,,170.10M,2.847B
2005-03,,661.98M,422.82M,1.085B,698.31M,,698.31M,48.26M,579.95M,217.94M,846.15M,421.71M,,76.50M,,3.127B,0.00,63.05M,2.433B,7.908B,,877.23M,,11.28B,-6.966B,4.317B,,,,,4.694B,7.822B,,2005-03,710.60M,,,710.60M,633.22M,1.344B,,,248.08M,,248.08M,144.59M,144.59M,,166.99M,1.903B,1.622B,,85.21M,788.31M,488.04M,2.195B,4.099B,3.947M,290.92M,2.443B,91.03M,,,,287.70M,2.935B
2004-12,,918.38M,277.18M,1.196B,737.41M,-17.84M,719.57M,63.88M,571.65M,239.26M,874.79M,350.24M,,87.84M,,3.228B,0.00,77.98M,2.449B,7.921B,,589.70M,,11.04B,-6.804B,4.234B,,,,,4.616B,7.844B,,2004-12,655.12M,,,655.12M,636.77M,1.292B,,,230.83M,,230.83M,141.74M,141.74M,,181.92M,1.846B,1.628B,,104.25M,840.64M,414.63M,2.147B,3.994B,3.917M,308.50M,2.408B,91.10M,,,,380.97M,3.010B
2004-09,,991.41M,193.77M,1.185B,790.75M,,790.75M,60.18M,534.49M,212.56M,807.23M,156.63M,,111.45M,,3.051B,0.00,60.61M,2.144B,7.365B,,567.44M,,10.14B,-6.259B,3.878B,,,,,4.231B,7.282B,,2004-09,600.91M,,,600.91M,494.43M,1.095B,,,216.03M,,216.03M,128.06M,128.06M,,144.50M,1.584B,1.827B,,147.51M,799.40M,353.14M,2.328B,3.912B,3.556M,338.68M,2.110B,92.05M,,,,211.42M,2.571B
2004-06,,910.88M,231.40M,1.142B,744.55M,,744.55M,46.72M,524.25M,155.21M,726.18M,148.91M,,115.54M,,2.877B,0.00,60.72M,2.201B,7.661B,,450.30M,,10.37B,-6.580B,3.792B,,,,,4.132B,7.009B,,2004-06,540.40M,,,540.40M,455.37M,995.77M,,,246.64M,,246.64M,131.54M,131.54M,,137.36M,1.511B,1.748B,,162.75M,718.22M,349.29M,2.260B,3.771B,3.543M,294.89M,2.096B,92.06M,,,,217.05M,2.520B
2004-03,,957.42M,138.96M,1.096B,669.36M,,669.36M,34.65M,490.17M,167.77M,692.59M,153.83M,,119.55M,211.97M,2.944B,0.00,60.74M,2.293B,7.636B,,155.78M,,10.15B,-6.414B,3.731B,,,,,4.059B,7.003B,,2004-03,498.93M,,,498.93M,472.87M,971.79M,,,253.24M,,253.24M,114.29M,114.29M,,139.72M,1.479B,1.801B,,172.87M,716.48M,383.05M,2.357B,3.836B,3.522M,262.72M,2.071B,92.30M,,,,205.25M,2.451B
2003-12,,1.186B,127.56M,1.313B,564.88M,,564.88M,42.92M,504.86M,149.87M,697.66M,177.14M,,102.65M,,2.856B,0.00,61.00M,2.278B,7.581B,,152.20M,,10.07B,-6.224B,3.848B,,,,,4.194B,7.050B,,2003-12,492.62M,,,492.62M,487.77M,980.38M,,,193.27M,,193.27M,72.38M,72.38M,,161.67M,1.408B,1.900B,,157.69M,717.64M,428.76M,2.486B,3.894B,3.502M,217.89M,2.051B,92.42M,,,,258.08M,2.438B
2003-09,,994.94M,81.00M,1.076B,543.44M,,543.44M,26.16M,494.14M,172.09M,692.40M,206.20M,,,,2.518B,0.00,52.75M,2.189B,7.553B,,198.08M,,9.993B,-6.184B,3.809B,,,,,4.146B,6.664B,,2003-09,335.92M,,,335.92M,511.33M,847.26M,,,200.72M,,200.72M,89.33M,89.33M,,131.74M,1.269B,1.881B,,95.34M,711.06M,425.28M,2.401B,3.671B,3.478M,174.70M,2.033B,92.61M,,,,164.64M,2.283B
2003-06,,703.18M,35.62M,738.80M,351.83M,,351.83M,19.48M,317.44M,130.46M,467.38M,157.02M,,,,1.715B,0.00,35.34M,1.471B,5.451B,,332.54M,,7.290B,-4.396B,2.894B,,,,,3.579B,5.294B,,2003-06,350.40M,,,350.40M,446.39M,796.79M,,,77.69M,,77.69M,65.41M,103.78M,38.37M,85.73M,1.064B,1.587B,,,,359.62M,1.947B,3.011B,3.469M,205.93M,2.025B,92.70M,,,,141.09M,2.283B
2003-03,,429.39M,370.62M,800.01M,371.84M,,371.84M,21.94M,280.71M,137.40M,440.05M,183.09M,,,,1.795B,0.00,34.78M,1.448B,5.362B,,339.98M,,7.184B,-4.274B,2.910B,,,,,3.604B,5.399B,,2003-03,386.84M,,,386.84M,605.39M,992.23M,7.35M,156.56M,163.91M,,163.91M,76.92M,76.92M,,36.82M,1.270B,1.767B,,,,,1.767B,3.037B,3.457M,346.31M,2.020B,92.80M,,,,85.30M,2.362B
2002-12,,397.70M,608.96M,1.007B,395.83M,,395.83M,22.74M,254.96M,154.90M,432.60M,184.59M,,91.14M,,2.111B,0.00,34.44M,1.393B,5.257B,,355.75M,,7.040B,-4.159B,2.881B,,,,,3.600B,5.710B,,2002-12,352.44M,,,352.44M,666.96M,1.019B,0.913M,71.35M,72.26M,,72.26M,57.18M,57.18M,,110.67M,1.260B,1.569B,,91.14M,,323.70M,1.984B,3.243B,3.445M,492.67M,2.014B,93.22M,,,,49.90M,2.467B
2002-09,,533.39M,332.44M,865.82M,428.65M,,428.65M,16.64M,234.99M,168.60M,420.23M,253.62M,,177.32M,,2.146B,0.00,47.71M,1.265B,5.166B,,458.61M,,6.937B,-4.008B,2.930B,,,,,3.586B,5.731B,,2002-09,355.58M,,,355.58M,509.53M,865.10M,48.98M,307.54M,356.52M,,356.52M,34.15M,34.15M,,38.09M,1.294B,1.197B,,,,,1.197B,2.490B,3.435M,1.347B,1.992B,77.16M,,,,-24.74M,3.241B
2002-06,,506.19M,593.75M,1.100B,534.93M,,534.93M,39.32M,116.20M,224.55M,380.08M,166.96M,,236.15M,,2.418B,0.00,47.81M,1.259B,4.885B,,592.48M,,6.784B,-3.849B,2.935B,,,,,3.485B,5.903B,,2002-06,258.64M,,,258.64M,471.93M,730.57M,82.42M,284.94M,367.36M,,367.36M,38.38M,38.38M,,37.82M,1.174B,1.141B,,75.44M,,,1.216B,2.391B,3.423M,1.602B,1.984B,77.16M,,,,0.453M,3.512B
2002-03,,298.39M,978.34M,1.277B,692.16M,,692.16M,20.02M,266.40M,90.37M,376.80M,151.38M,,162.82M,,2.660B,0.00,46.76M,1.232B,4.644B,,483.87M,,6.407B,-3.638B,2.769B,,,,,3.305B,5.965B,,2002-03,383.50M,,,383.50M,455.35M,838.85M,,,264.03M,,264.03M,68.02M,68.02M,,56.11M,1.227B,1.124B,,104.66M,,,1.228B,2.455B,3.414M,1.787B,1.976B,77.16M,,,,-178.68M,3.510B
2001-12,,427.29M,442.71M,870.00M,659.78M,,659.78M,26.49M,236.68M,117.31M,380.47M,286.96M,,155.90M,,2.353B,0.00,33.21M,1.461B,4.163B,,469.19M,,6.126B,-3.387B,2.739B,,,,,3.294B,5.647B,,2001-12,304.99M,,,304.99M,573.04M,878.03M,63.36M,268.34M,331.70M,,331.70M,47.98M,47.98M,,56.23M,1.314B,672.94M,,105.30M,,,778.25M,2.092B,3.405M,1.796B,1.983B,93.44M,,,,-133.25M,3.555B
2001-09,,397.42M,506.11M,903.53M,588.56M,,588.56M,31.49M,292.98M,124.61M,449.08M,289.72M,,168.85M,,2.400B,,,,,,,,5.950B,-3.234B,2.715B,,,,,3.339B,5.739B,,2001-09,369.06M,,,369.06M,526.78M,895.85M,,,192.49M,,192.49M,34.62M,34.62M,,49.59M,1.173B,796.02M,,139.85M,,,935.87M,2.108B,3.471M,1.812B,1.959B,68.84M,,,,-74.85M,3.631B
2001-06,,392.50M,664.66M,1.057B,728.36M,,728.36M,51.28M,215.26M,134.30M,400.85M,175.52M,,188.95M,,2.551B,,,,,,,,5.764B,-3.095B,2.668B,,,,,3.280B,5.831B,,2001-06,314.61M,,,314.61M,315.93M,630.53M,,,220.08M,,220.08M,67.41M,67.41M,,159.71M,1.078B,754.72M,,198.20M,,,952.92M,2.031B,3.464M,1.998B,1.955B,,,,,-157.11M,3.800B
2001-03,,1.056B,539.78M,1.596B,602.07M,,602.07M,44.47M,171.87M,138.29M,354.63M,139.66M,,189.18M,,2.881B,,,,,,,,5.621B,-2.957B,2.664B,,,,,3.148B,6.029B,,2001-03,377.07M,,,377.07M,278.09M,655.16M,,,183.52M,,183.52M,99.29M,99.29M,,223.76M,1.162B,1.393B,,198.07M,,,1.591B,2.753B,3.16M,1.981B,1.423B,,,,,-130.22M,3.277B
2000-12,,591.46M,701.71M,1.293B,547.20M,,547.20M,34.41M,154.85M,154.27M,343.54M,255.26M,,218.53M,,2.658B,0.00,33.09M,1.420B,3.563B,,445.27M,,5.462B,-2.825B,2.636B,,,,,3.110B,5.768B,,2000-12,477.37M,,,477.37M,276.72M,754.09M,,,129.57M,,129.57M,92.83M,92.83M,,247.62M,1.224B,1.168B,,203.99M,,,1.372B,2.596B,3.141M,1.856B,1.406B,,,,,-94.02M,3.172B
2000-09,,582.30M,651.20M,1.233B,687.69M,,687.69M,10.18M,173.61M,106.63M,290.43M,167.25M,,73.98M,,2.453B,,,,,,,,5.206B,-2.700B,2.506B,,,,,2.919B,5.372B,,2000-09,387.02M,,,387.02M,289.37M,676.39M,,,73.03M,,73.03M,113.76M,113.76M,,201.15M,1.064B,1.223B,,182.98M,,,1.406B,2.471B,3.226M,1.678B,1.311B,,,,,-91.35M,2.901B
2000-06,,709.52M,370.37M,1.080B,533.01M,,533.01M,11.43M,162.10M,82.05M,255.58M,127.47M,,63.44M,,2.059B,,,,,,,,5.063B,-2.588B,2.476B,,,,,2.904B,4.963B,,2000-06,353.40M,,,353.40M,233.26M,586.65M,,,75.95M,,75.95M,99.59M,99.59M,,174.54M,936.74M,1.482B,,101.86M,,,1.584B,2.520B,1.649M,1.270B,1.219B,,,,,-47.61M,2.443B
2000-03,,380.15M,539.03M,919.18M,408.15M,,408.15M,9.285M,102.87M,92.81M,204.96M,144.62M,,55.96M,,1.733B,,,,,,,,5.004B,-2.528B,2.476B,,,,,2.905B,4.638B,,2000-03,317.30M,,,317.30M,266.32M,583.63M,3.769M,68.21M,71.98M,,71.98M,108.67M,108.67M,,145.81M,910.08M,1.470B,,59.98M,,,1.530B,2.440B,1.543M,1.063B,1.175B,,,,,-40.27M,2.198B
1999-12,,294.12M,302.39M,596.51M,429.81M,,429.81M,,,,198.21M,,,,185.34M,1.410B,,,,,,,,4.938B,-2.415B,2.523B,,,,,2.968B,4.378B,,1999-12,387.19M,,,387.19M,,387.19M,,,47.63M,,47.63M,,,,475.83M,910.65M,1.427B,,60.49M,,,1.488B,2.398B,2.973M,873.24M,1.120B,,,,,-17.41M,1.979B
1999-09,,93.27M,283.77M,377.04M,382.48M,,382.48M,13.32M,121.79M,99.00M,234.11M,49.83M,,117.33M,,1.161B,,,,,,,,4.883B,-2.314B,2.569B,,,,,3.018B,4.179B,,1999-09,318.13M,,,318.13M,208.25M,526.37M,4.778M,44.69M,49.47M,,49.47M,77.70M,77.70M,,99.91M,753.45M,1.449B,,58.04M,,,1.507B,2.260B,1.49M,808.16M,1.109B,,,,,0.048M,1.919B
1999-06,,220.64M,430.19M,650.83M,320.75M,,320.75M,12.58M,102.67M,87.81M,203.06M,73.41M,,49.83M,0.005M,1.298B,,,,,,,,4.734B,-2.196B,2.538B,,,,,2.948B,4.246B,,1999-06,300.54M,,,300.54M,161.79M,462.33M,5.762M,131.36M,137.13M,,137.13M,81.26M,81.26M,,102.46M,783.17M,1.441B,,60.11M,,,1.501B,2.284B,1.49M,913.70M,1.103B,,,,,-55.75M,1.962B
1999-03,,163.58M,325.57M,489.14M,376.36M,,376.36M,14.69M,132.52M,35.46M,182.67M,73.70M,,206.74M,,1.329B,,,,,,,,4.771B,-2.198B,2.573B,,,,,2.977B,4.305B,,1999-03,343.98M,,,343.98M,133.47M,477.45M,5.941M,174.66M,180.60M,,180.60M,102.50M,102.50M,,103.06M,863.62M,1.540B,,28.23M,,,1.568B,2.432B,1.082B,-42.32M,833.80M,,,,,,1.874B
1998-12,,361.90M,,361.90M,415.60M,,415.60M,,,,175.10M,,,,609.40M,1.562B,,,,,,,,4.380B,-2.112B,2.268B,,,,,2.691B,4.253B,,1998-12,334.00M,,,334.00M,,334.00M,,,151.60M,,151.60M,,,,355.10M,840.70M,1.372B,,34.80M,,0.10M,1.407B,2.248B,,962.20M,,,,,,,2.005B
1998-09,,135.69M,444.82M,580.51M,372.39M,,372.39M,15.62M,128.64M,27.97M,172.23M,71.92M,,168.55M,,1.366B,,,,,,,,4.449B,-2.074B,2.375B,,,,,2.751B,4.116B,,1998-09,312.54M,,,312.54M,161.98M,474.53M,5.167M,149.22M,154.39M,,154.39M,86.79M,86.79M,,104.15M,819.85M,1.364B,,2.339M,,,1.367B,2.186B,1.453M,939.85M,1.052B,,,,,-63.23M,1.930B
1998-06,,160.17M,532.28M,692.44M,239.60M,,239.60M,22.06M,116.40M,33.18M,171.63M,55.14M,,168.84M,,1.328B,,,,,,,,4.147B,-1.984B,2.163B,,,,,2.531B,3.859B,,1998-06,340.91M,,,340.91M,142.57M,483.48M,5.027M,123.26M,128.28M,,128.28M,81.28M,81.28M,,99.05M,792.10M,1.143B,,5.461M,,,1.148B,1.940B,1.445M,938.84M,1.044B,,,,,-65.91M,1.918B
