,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,CashfromOperations,,CashFlow-Investing(Quarterly),NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,,CashFlow-Financing(Quarterly),NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockIssuance,NetPreferredEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromFinancing,,EndingCash(Quarterly),BeginningCash,CashForeignExchangeAdjustment,EndingCash,,AdditionalItems(Quarterly),IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment
2003-12,43.19M,,,,-59.60M,278.44M,8.875M,287.31M,287.31M,-12.23M,,,,,-70.46M,-5.262M,55.41M,363.18M,-38.25M,-174.71M,,388.59M,,2003-12,-162.78M,3.269M,-159.51M,0.00,-47.86M,0.00,,2003-12,,,-300.10M,18.29M,,18.29M,,,,,-98.29M,,2003-12,994.94M,-1.821M,968.18M,,2003-12,18.29M,,
2003-09,-31.23M,,,,-24.51M,276.60M,8.427M,285.03M,285.03M,15.20M,,,,,-140.04M,-37.38M,27.34M,-132.78M,-8.832M,20.72M,26.50M,0.001M,,2003-09,-123.96M,24.21M,-99.75M,0.00,-43.68M,147.62M,,2003-09,,,241.63M,6.864M,,6.864M,,,,,308.93M,,2003-09,703.18M,9.69M,994.94M,,2003-09,6.864M,,
2003-06,-140.10M,,,,-21.05M,202.23M,11.33M,213.57M,213.57M,,,,,,30.94M,-27.34M,24.08M,-64.93M,16.63M,-19.65M,-26.50M,-14.34M,,2003-06,-103.08M,0.387M,-102.69M,-6.265M,334.90M,,,2003-06,,,-13.72M,5.152M,,5.152M,,,,,47.10M,,2003-06,429.39M,15.08M,703.18M,,2003-06,5.152M,,
2003-03,-146.36M,,,,-17.63M,198.29M,11.47M,209.75M,209.75M,,,,,,24.20M,-7.445M,-36.58M,-133.12M,17.83M,10.69M,,-78.66M,,2003-03,-180.50M,2.071M,-178.42M,,238.84M,,,2003-03,,,-21.39M,5.133M,,5.133M,,,,,9.665M,,2003-03,428.75M,9.221M,429.39M,,2003-03,5.133M,,
2002-12,-854.74M,,,,301.95M,197.62M,2.246M,199.87M,199.87M,235.79M,,,,,31.67M,-12.37M,-3.593M,85.08M,-132.48M,50.76M,,-98.07M,,2002-12,-137.96M,3.456M,-134.51M,0.00,-274.08M,,,2002-12,,,297.25M,5.573M,,5.573M,,,,,378.55M,,2002-12,533.39M,23.47M,428.75M,,2002-12,5.573M,,
2002-09,-254.17M,,,,-32.18M,210.85M,-11.76M,199.09M,199.09M,-102.60M,,,,,89.50M,-40.15M,47.44M,-18.15M,-113.24M,130.85M,,-93.62M,,2002-09,-195.77M,2.922M,-192.85M,0.00,260.73M,,,2002-09,,,108.24M,7.507M,,7.507M,,,,,55.02M,,2002-09,506.19M,-2.085M,533.39M,,2002-09,7.507M,,
2002-06,-184.94M,,,,-9.256M,165.40M,17.71M,183.11M,183.11M,-90.20M,,,,,172.31M,-3.284M,-21.01M,29.48M,12.60M,-196.58M,,-107.76M,,2002-06,-172.33M,2.24M,-170.09M,0.00,-1.509B,1.934B,,2002-06,,,-36.88M,7.827M,,7.827M,,,,,37.43M,,2002-06,298.39M,22.54M,506.19M,,2002-06,7.827M,,
2002-03,-9.163M,,,,-0.848M,165.74M,8.364M,174.11M,174.11M,-7.566M,,,,,-33.97M,3.834M,-23.64M,-29.48M,132.90M,4.359M,,210.53M,,2002-03,-199.08M,,-199.08M,-26.51M,1.391B,-1.934B,,2002-03,,,433.93M,8.272M,,8.272M,,,,,436.44M,,2002-03,427.29M,-6.605M,298.39M,,2002-03,8.272M,,
2001-12,-15.84M,,,,12.62M,,,150.48M,150.48M,-21.60M,,,,,-80.56M,75.98M,8.672M,67.11M,21.53M,-54.55M,-52.29M,111.57M,,2001-12,-136.97M,0.022M,-136.95M,,49.78M,0.00,,2001-12,,,-17.38M,-1.546M,-8.383M,-9.929M,,,,,10.20M,,2001-12,397.42M,-4.728M,427.29M,,2001-12,-1.546M,,
2001-09,-186.93M,,,,81.26M,,,160.01M,160.01M,-38.25M,,,,,139.35M,-48.24M,17.74M,83.98M,-157.52M,-50.64M,72.41M,73.19M,,2001-09,-164.07M,1.348M,-162.72M,,181.28M,0.00,,2001-09,,,-34.61M,5.629M,-68.84M,-63.21M,,,,,-97.82M,,2001-09,392.50M,11.00M,397.42M,,2001-09,5.629M,,
2001-06,17.35M,,,,-4.913M,,,159.44M,159.44M,0.376M,,,,,-125.81M,-53.59M,4.653M,-43.62M,-22.92M,-22.43M,-72.41M,-163.87M,,2001-06,-215.10M,0.068M,-215.04M,,-128.22M,-122.36M,,2001-06,,,-40.65M,21.76M,,21.76M,,,,,-18.89M,,2001-06,1.056B,-14.91M,392.50M,,2001-06,21.76M,,
2001-03,124.84M,,,,-19.44M,,,152.93M,152.93M,23.42M,,,,,-55.16M,-11.13M,-2.506M,-107.47M,70.13M,-28.86M,,146.76M,,2001-03,-162.71M,0.299M,-162.41M,,143.12M,,,2001-03,,,327.36M,10.86M,,10.86M,,,,,338.22M,,2001-03,591.46M,-1.362M,1.056B,,2001-03,10.86M,,
2000-12,177.97M,,,,-22.25M,,,149.61M,149.61M,-123.54M,,,,,236.45M,-156.28M,79.29M,-40.85M,-340.59M,290.70M,,250.50M,,2000-12,-228.30M,0.656M,-227.64M,,-48.00M,,,2000-12,,,9.169M,7.087M,,7.087M,,,,,31.64M,,2000-12,582.30M,2.66M,591.46M,,2000-12,7.087M,,
2000-09,407.63M,,,,-175.98M,,,153.76M,153.76M,70.58M,,,,,-271.29M,57.37M,25.04M,174.34M,41.56M,-198.01M,2.175M,287.15M,,2000-09,-287.28M,377.58M,90.30M,,-284.80M,,,2000-09,,,-242.94M,20.81M,,20.81M,,,,,-222.13M,,2000-09,709.52M,2.263M,582.30M,,2000-09,20.81M,,
2000-06,208.08M,,,,-3.929M,,,147.81M,147.81M,34.40M,,,,,-107.28M,-57.37M,-25.04M,-52.32M,29.64M,209.31M,-102.18M,281.14M,,2000-06,-160.87M,0.611M,-160.26M,,168.71M,,,2000-06,,,-4.808M,43.54M,,43.54M,,,,,38.73M,,2000-06,380.15M,1.042M,709.52M,,2000-06,43.54M,,
2000-03,189.35M,,,,-13.14M,,,127.89M,127.89M,-0.515M,,,,,9.803M,,,-23.69M,,-2.931M,100.00M,386.76M,,2000-03,-129.03M,9.049M,-119.98M,,-234.13M,,,2000-03,,,-0.648M,51.56M,,51.56M,,,,,50.91M,,2000-03,294.12M,2.468M,380.15M,,2000-03,51.56M,,
1999-12,65.10M,,,,-2.00M,,,129.90M,129.90M,-3.60M,,,,-0.30M,60.10M,,,-94.70M,,254.20M,,339.30M,,1999-12,-124.80M,0.70M,-124.10M,,-21.90M,,,1999-12,,,-15.20M,10.70M,,10.70M,,,,,9.90M,,1999-12,93.30M,-2.30M,294.10M,,1999-12,10.70M,,
1999-09,-105.50M,,,,-14.30M,,,130.20M,130.20M,-2.10M,,,,0.20M,-127.10M,,,58.30M,,-1.40M,,-61.70M,,1999-09,-147.60M,0.40M,-147.20M,,146.40M,0.10M,,1999-09,,,-72.90M,5.80M,,5.80M,,,,,-67.10M,,1999-09,220.60M,2.10M,93.30M,,1999-09,5.80M,,
1999-06,79.87M,,,,-435.70M,,,127.91M,127.91M,173.74M,,,,,-1.508M,,,27.10M,,-10.98M,,-39.57M,,1999-06,-147.61M,454.41M,306.81M,,-120.02M,-0.10M,,1999-06,,,-106.21M,17.05M,,17.05M,,,,,-89.16M,,1999-06,163.58M,-0.928M,220.60M,,1999-06,17.05M,,
1999-03,-128.37M,,,,2.205M,,,127.49M,127.49M,-7.344M,,,,,24.01M,,,4.298M,,-0.416M,,21.87M,,1999-03,-199.79M,2.786M,-197.01M,,14.62M,,,1999-03,,,-37.39M,10.25M,,10.25M,,,,,-27.14M,,1999-03,361.91M,-10.67M,163.58M,,1999-03,10.25M,,
1998-12,22.30M,,,,11.40M,,,125.10M,125.10M,-5.00M,,,,-0.10M,0.90M,,,10.40M,,11.50M,,111.10M,,1998-12,-176.40M,93.20M,-83.20M,,109.50M,,,1998-12,,,-48.60M,17.40M,,17.40M,,,,,87.00M,,1998-12,135.70M,1.80M,361.90M,,1998-12,17.40M,,
1998-09,1.00M,,,,4.50M,,,117.10M,117.10M,-2.80M,,,,0.10M,-155.40M,,,-9.00M,,3.60M,,-40.90M,,1998-09,-308.50M,7.30M,-301.20M,,85.80M,-0.10M,,1998-09,,,220.30M,5.10M,,5.10M,,,,,225.40M,,1998-09,160.00M,6.50M,135.70M,,1998-09,5.10M,,
1998-06,-64.60M,,,,-2.10M,,,113.10M,113.10M,-44.40M,,,,0.30M,-18.40M,,,102.20M,,3.30M,,89.40M,,1998-06,-305.90M,0.80M,-305.10M,,-415.00M,0.10M,,1998-06,,,503.20M,16.10M,,16.10M,,,,,597.70M,,1998-06,192.50M,0.60M,160.00M,,1998-06,16.10M,,
