,NetIncome,Gain/LossonSaleBusiness,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,PensionandEmployeeExpense,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),PreferredStockPayments,NetPreferredEquityIssued(Purchased),ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2002-03,-316.00M,,,,,,147.00M,326.00M,326.00M,,,,,64.00M,-3.00M,-114.00M,-2.00M,,-55.00M,102.00M,-435.00M,,-435.00M,-78.00M,-4.00M,-87.00M,-604.00M,,558.00M,,,,,,,-41.00M,517.00M,2.00M,15.00M,17.00M,,,,,,
2001-12,-295.01M,,,,,,-435.17M,489.72M,489.72M,,,,295.00M,-41.48M,-0.222M,205.54M,-15.42M,-4.491M,143.93M,186.46M,-844.39M,,-844.39M,37.20M,-3.00M,4.692M,-805.50M,,699.90M,-7.367M,,-7.367M,,,,-87.00M,605.54M,15.20M,-13.50M,2.00M,-7.367M,,,,,
2001-09,-317.43M,,,,,,-327.44M,775.44M,775.44M,,,,,-42.09M,11.02M,187.11M,-11.69M,9.491M,153.83M,284.41M,-794.35M,,-794.35M,-44.54M,3.60M,-16.30M,-851.59M,,7.214M,2.44M,,2.44M,,,,,9.654M,572.73M,-557.53M,15.20M,2.44M,,,,,
2001-06,-273.87M,,,,,,-207.25M,720.95M,720.95M,,,,-58.21M,-16.44M,-10.05M,4.134M,12.95M,,-9.404M,172.22M,-837.74M,,-837.74M,-1.748B,0.00,-0.99M,-2.586B,,1.716B,1.228B,,1.228B,,,,23.81M,2.967B,19.42M,553.31M,572.73M,1.228B,,,,,
2001-03,-280.70M,,,,,,-385.14M,695.90M,695.90M,,,,58.21M,27.01M,-11.75M,-271.78M,14.16M,,-242.36M,-154.09M,-524.52M,,-524.52M,,-3.60M,-2.404M,-530.53M,,597.14M,,,,,,,-23.81M,573.33M,130.70M,-111.28M,19.42M,,,,,,
2000-12,-270.45M,879.67M,,,,,-345.33M,620.11M,620.11M,,,,10.99M,-123.00M,-16.16M,112.44M,,,-33.72M,-28.40M,-681.90M,,-681.90M,-55.49M,-44.11M,39.18M,-742.32M,-2.126B,879.11M,,,,,,,-22.15M,856.96M,44.47M,86.24M,131.00M,,-5.563B,3.437B,,,-453.74M
2000-09,-210.02M,-313.45M,,,,,-313.45M,628.11M,628.11M,,,-26.09M,77.55M,2.153M,-8.933M,100.24M,,,93.46M,249.56M,-804.11M,,-804.11M,25.82M,-14.89M,-6.031M,-799.21M,534.41M,534.41M,,,,,,,-14.32M,520.09M,74.02M,-29.55M,44.47M,,1.537B,-1.002B,,,206.26M
2000-06,-196.82M,-297.32M,0.00,,,,-297.32M,603.69M,603.69M,,,10.59M,43.33M,-34.82M,31.93M,247.30M,,,244.40M,407.87M,-790.05M,,-790.05M,543.13M,,5.376M,-241.54M,-219.38M,-219.38M,,,,,,,-3.639M,-223.02M,130.71M,-56.69M,74.02M,,-168.90M,-50.48M,,,170.54M
2000-03,-180.71M,-268.91M,0.00,,,,-268.91M,546.10M,546.10M,,,15.50M,42.12M,-9.332M,-8.835M,63.03M,,,44.86M,198.96M,-259.94M,,-259.94M,-1.701B,,-6.521M,-1.968B,1.811B,1.811B,,,,,,,-44.89M,1.766B,133.71M,-2.993M,130.71M,,4.195B,-2.384B,,,76.94M
1999-12,-66.10M,388.16M,,,,,-104.44M,303.91M,303.91M,,,,-24.82M,-52.32M,11.66M,105.10M,,,105.74M,214.29M,-7.986B,,-7.986B,2.711B,,-15.65M,-5.291B,-3.945B,474.95M,,,,,,,751.96M,4.776B,434.18M,-300.51M,133.70M,,-6.464B,2.519B,,,-136.63M
1999-09,-0.007M,-164.15M,1.806M,,,,-162.34M,191.44M,191.44M,,,-38.19M,83.31M,18.74M,-11.38M,38.22M,,,45.58M,119.79M,-179.85M,,-179.85M,-1.576B,0.00,-2.422M,-1.758B,823.99M,823.99M,,,,,,,1.139B,1.963B,109.63M,324.56M,434.18M,,1.335B,-511.01M,,,44.95M
1999-06,-0.057M,-140.87M,-1.633M,,,,-142.51M,159.87M,159.87M,,,21.54M,28.64M,2.968M,5.968M,52.77M,,,61.71M,129.20M,-150.60M,,-150.60M,-1.132B,,-3.645M,-1.287B,263.26M,263.26M,,,,,,,-25.16M,238.10M,1.029B,-919.26M,109.63M,,310.06M,-46.81M,,,12.81M
1999-03,-0.033M,-83.14M,-0.173M,,,,-83.32M,90.08M,90.08M,,,16.65M,20.07M,-1.788M,-6.25M,-18.80M,,,-26.83M,16.62M,-54.85M,,-54.85M,-2.752M,,-1.685B,-1.743B,2.858B,2.858B,,,,,,,-112.12M,2.745B,9.573M,1.019B,1.029B,,4.819B,-1.962B,,,78.86M
