,CashandEquivalents,ShortTermInvestments,CashandShortTermInvestments,AccountsReceivable,OtherReceivables,TotalReceivables,Inventories,PrepaidExpenses,CurrentDeferredTaxAssets,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,ConstructioninProgress,GrossPP&E,AccumulatedD&A,NetPP&E,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,AccountsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentProvisions-Legal&Other,LiabilityonCreditLine,OtherCurrentBorrowings,CurrentPortionofLongTermDebt,CurrentCapitalLeaseObligation,CurrentDebt&CapitalLeaseObligation,CurrentDeferredRevenue,CurrentDeferredLiabilities,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredLiabilities,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AccruedComprehensiveInc,ShareholdersEquity
2003-09,55.13M,24.67M,79.80M,137.86M,,137.86M,219.81M,,5.868M,15.99M,459.33M,,,,,,,239.58M,-79.70M,159.88M,3.045M,3.045M,,13.52M,176.45M,635.77M,29.63M,,29.63M,22.21M,51.84M,,,,,,,,,7.126M,58.97M,,,,12.07M,12.07M,,12.07M,71.04M,0.759M,553.37M,7.472M,3.131M,564.73M
2003-06,36.84M,22.86M,59.70M,127.40M,,127.40M,227.96M,,5.868M,15.97M,436.90M,,,,,,,236.36M,-79.70M,156.66M,,,,18.18M,174.84M,611.74M,24.03M,,24.03M,27.13M,51.17M,,,,,,,,,7.128M,58.29M,,,,12.07M,12.07M,,12.07M,70.37M,0.759M,530.11M,7.472M,3.03M,541.37M
2003-03,18.80M,25.75M,44.55M,120.04M,,120.04M,232.68M,,5.868M,15.71M,418.86M,,,,,,,233.44M,-79.70M,153.74M,,,,15.14M,168.88M,587.74M,23.68M,,23.68M,24.77M,48.45M,,,,,,,,,10.57M,59.03M,,,,12.07M,12.07M,,12.07M,71.10M,0.759M,508.18M,7.472M,0.229M,516.64M
2002-12,14.30M,37.06M,51.36M,105.55M,,105.55M,217.26M,,5.868M,16.44M,396.49M,0.0,9.246M,56.09M,146.47M,,12.14M,223.95M,-79.70M,144.25M,,,,18.27M,162.52M,559.01M,25.78M,,25.78M,21.28M,47.06M,,,,,,,,,,47.06M,,,,12.07M,12.07M,,12.07M,59.14M,0.759M,493.69M,7.472M,-2.053M,499.87M
2002-09,25.48M,30.72M,56.21M,121.80M,,121.80M,184.90M,,4.696M,14.30M,381.90M,,,,,,,200.83M,-64.84M,135.99M,,,,21.75M,157.74M,539.64M,26.42M,,26.42M,20.38M,46.80M,,,,,,,,,3.505M,50.31M,,,,9.795M,9.795M,,9.795M,60.10M,0.759M,476.80M,4.044M,-2.065M,479.54M
2002-06,46.69M,28.06M,74.76M,122.97M,,122.97M,168.04M,,4.696M,9.651M,380.11M,,,,,,,192.51M,-64.84M,127.67M,,,,18.20M,145.87M,525.98M,29.71M,,29.71M,19.22M,48.92M,,,,,,,,,5.759M,54.68M,,,,9.795M,9.795M,,9.795M,64.48M,0.759M,457.69M,4.044M,-0.987M,461.50M
2002-03,47.79M,29.23M,77.02M,115.66M,,115.66M,156.93M,,4.696M,11.69M,366.00M,,,,,,,186.59M,-64.84M,121.75M,,,,16.87M,138.62M,504.62M,24.31M,,24.31M,18.81M,43.11M,,,,,,,,,12.89M,56.00M,,,,9.795M,9.795M,,9.795M,65.80M,0.379M,435.86M,4.424M,-1.834M,438.82M
2001-12,47.26M,21.26M,68.52M,101.36M,,101.36M,152.71M,,4.696M,13.96M,341.24M,0.0,7.029M,37.57M,128.49M,,13.35M,186.44M,-64.84M,121.61M,,,,12.40M,134.00M,475.24M,20.10M,,20.10M,17.97M,38.07M,,,,,,,,,2.488M,40.56M,,,,9.795M,9.795M,,9.795M,50.36M,0.759M,421.94M,4.044M,-1.86M,424.89M
2001-09,56.22M,2.00M,58.22M,121.75M,,121.75M,152.00M,,4.06M,13.44M,349.46M,,,,,,,170.46M,-53.02M,117.44M,,,,11.08M,128.52M,477.98M,28.58M,,28.58M,19.10M,47.68M,,,,,,,,,11.99M,59.67M,,,,6.627M,6.627M,,6.627M,66.30M,0.379M,408.59M,4.424M,-1.707M,411.69M
2001-06,46.71M,2.017M,48.73M,112.92M,,112.92M,144.06M,,4.06M,10.05M,319.82M,,,,,,,167.58M,-53.02M,114.55M,,,,10.30M,124.85M,444.67M,24.39M,,24.39M,15.85M,40.23M,,,,,,,,,2.294M,42.53M,,,,6.627M,6.627M,,6.627M,49.16M,0.379M,391.59M,4.424M,-0.878M,395.52M
2001-03,35.75M,3.027M,38.77M,113.50M,,113.50M,145.67M,,4.06M,9.385M,311.39M,,,,,,,163.33M,-53.02M,110.30M,,,,11.24M,121.55M,432.94M,21.18M,,21.18M,14.39M,35.57M,,,,,,,,,14.81M,50.38M,,,,6.627M,6.627M,,6.627M,57.00M,0.379M,372.57M,4.424M,-1.445M,375.93M
2000-12,32.71M,,32.71M,,,106.12M,143.07M,,,11.53M,293.42M,,,,,,,158.83M,-53.02M,105.81M,,,,3.233M,109.04M,402.46M,19.90M,,19.90M,,19.90M,,,,,,,,,16.68M,36.58M,,,,6.627M,6.627M,,6.627M,43.21M,0.379M,355.25M,4.424M,-0.793M,359.26M
2000-09,23.92M,,23.92M,,,111.61M,134.38M,,,13.48M,283.39M,,,,,,,151.83M,-50.01M,101.82M,,,,3.266M,105.08M,388.47M,25.30M,,25.30M,,25.30M,,,,,,,,,16.99M,42.30M,,,,5.00M,5.00M,,5.00M,47.30M,0.379M,336.34M,4.424M,0.031M,341.18M
2000-06,28.57M,,28.57M,,,105.61M,126.13M,,,11.27M,271.58M,,,,,,,143.77M,-47.25M,96.52M,,,,3.456M,99.98M,371.55M,29.87M,,29.87M,,29.87M,,,,,,,,,16.97M,46.83M,,,,5.00M,5.00M,,5.00M,51.83M,0.379M,315.54M,4.424M,-0.622M,319.72M
2000-03,40.23M,,40.23M,,,97.46M,110.79M,,,8.363M,256.85M,,,,,,,138.08M,-45.45M,92.64M,,,,3.49M,96.13M,352.98M,23.62M,,23.62M,,23.62M,,,,,,,,,25.47M,49.09M,,,,5.00M,5.00M,,5.00M,54.09M,0.379M,294.56M,4.424M,-0.473M,298.89M
1999-12,27.85M,,27.85M,,,84.56M,106.60M,,,8.396M,227.40M,,,,,,,131.43M,-43.80M,87.63M,,,,3.586M,91.22M,318.62M,19.32M,,19.32M,,19.32M,,,,,,,,,14.34M,33.66M,,,,3.00M,3.00M,,3.00M,36.66M,0.379M,277.55M,4.424M,-0.396M,281.96M
1999-09,24.30M,,24.30M,,,90.80M,99.30M,,,8.10M,222.50M,,,,,,,121.20M,-42.50M,78.70M,,,,3.60M,82.30M,304.80M,20.00M,,20.00M,,20.00M,,,,,,,,,16.10M,36.10M,,,,2.80M,2.80M,-0.10M,2.70M,38.80M,0.40M,261.70M,4.40M,-0.50M,266.00M
1999-06,16.50M,,16.50M,,,86.30M,99.60M,,,8.30M,210.70M,,,,,,,115.80M,-41.00M,74.80M,,,,3.70M,78.50M,289.20M,21.90M,,21.90M,,21.90M,,,,,,,,,15.60M,37.50M,,,,2.80M,2.80M,,2.80M,40.30M,,244.60M,,,248.90M
1999-03,11.50M,,11.50M,,,80.70M,94.10M,,,8.30M,194.60M,,,,,,,115.90M,-39.30M,76.60M,,,,3.60M,80.20M,274.80M,21.00M,,21.00M,,21.00M,,,,,,,,,19.40M,40.40M,,,,2.80M,2.80M,-0.10M,2.70M,43.10M,,227.50M,,,231.70M
1998-12,2.10M,,2.10M,,,68.50M,93.70M,,,9.00M,173.30M,,,,,,,111.00M,-36.80M,74.20M,,,,3.80M,78.00M,251.30M,17.40M,,17.40M,,17.40M,,,,4.10M,,4.10M,,,9.30M,30.80M,,,,2.80M,2.80M,0.10M,2.90M,33.70M,0.40M,213.60M,4.40M,-0.80M,217.60M
1998-09,1.60M,,1.60M,,,71.70M,91.70M,,,7.70M,172.70M,,,,,,,101.10M,-34.00M,67.10M,,,,3.80M,70.90M,243.60M,11.80M,,11.80M,,11.80M,,,,12.70M,,12.70M,,,12.20M,36.70M,,,,1.60M,1.60M,0.10M,1.70M,38.40M,,201.10M,,,205.20M
1998-06,0.80M,,0.80M,,,71.90M,88.10M,,,8.10M,168.90M,,,,,,,97.80M,-31.80M,66.00M,,,,3.80M,69.80M,238.70M,15.00M,,15.00M,,15.00M,,,,19.60M,,19.60M,,,11.10M,45.70M,,,,1.60M,1.60M,,1.60M,47.30M,,187.10M,,,191.40M
1998-03,0.40M,,0.40M,,,67.20M,82.10M,,,7.90M,157.60M,,,,,,,89.00M,-29.80M,59.20M,,,,3.90M,63.10M,220.70M,13.30M,,13.30M,,13.30M,,,,11.40M,,11.40M,,,16.80M,41.50M,,,,1.60M,1.60M,0.10M,1.70M,43.20M,,173.00M,,,177.50M
