,NetIncome,GainandLossonSaleofPPE,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-09,45.97M,,-3.531M,7.742M,0.016M,7.758M,7.758M,,,,,4.482M,-10.31M,-18.58M,-2.573M,-8.701M,2.802M,4.753M,-32.61M,22.07M,-14.27M,1.045M,-13.22M,,6.73M,-0.072M,-6.563M,,,,0.00,0.00,,-23.41M,,,-23.41M,39.64M,-7.903M,0.287M,32.03M,,,,0.00,,
2005-06,44.65M,,1.909M,7.239M,0.017M,7.256M,7.256M,,,,,,-13.40M,-23.10M,0.442M,2.827M,-12.75M,-1.422M,-47.40M,6.409M,-15.85M,1.383M,-14.47M,,0.699M,-0.029M,-13.80M,,,,-18.74M,-18.74M,,0.00,,,-18.74M,66.00M,-26.13M,-0.223M,39.64M,,,,-18.74M,,
2005-03,37.03M,,1.935M,6.646M,0.017M,6.663M,6.663M,,,,,,-22.62M,-3.071M,3.835M,2.454M,22.28M,-1.41M,1.466M,47.10M,-12.27M,1.489M,-10.78M,,19.75M,-0.023M,8.947M,,,,,,,-23.52M,,,-23.52M,33.50M,32.52M,-0.028M,66.00M,,,,,,
2004-12,33.27M,,6.245M,6.339M,0.017M,6.356M,6.356M,,,,,,5.856M,-17.42M,-7.966M,-0.667M,-7.098M,1.661M,-25.64M,18.71M,-14.69M,0.535M,-14.16M,,2.838M,-0.069M,-11.39M,,,,,,,0.001M,,,0.001M,26.03M,7.325M,0.146M,33.50M,,,,,,
2004-09,34.74M,,1.712M,6.08M,0.016M,6.096M,6.096M,,,,,,-7.979M,-27.88M,-1.019M,-5.258M,-0.21M,2.68M,-39.66M,2.885M,-14.98M,0.743M,-14.24M,,13.57M,-0.072M,-0.737M,,,,,,,-18.97M,,,-18.97M,42.70M,-16.82M,0.152M,26.03M,,,,,,
2004-06,34.83M,,1.875M,5.691M,0.017M,5.708M,5.708M,,,,,,-14.51M,-21.10M,5.383M,-2.101M,-1.265M,-1.326M,-34.92M,7.49M,-12.87M,1.303M,-11.56M,,-6.191M,-0.048M,-17.80M,,,,,,,0.00,,,0.00,53.09M,-10.31M,-0.073M,42.70M,,,,,,
2004-03,28.15M,,1.999M,5.533M,0.017M,5.55M,5.55M,,,,,,-24.04M,-8.045M,2.754M,2.732M,19.73M,-0.476M,-7.347M,28.35M,-10.15M,1.918M,-8.229M,,-5.315M,-0.063M,-13.61M,,,,,,,-11.38M,,,-11.38M,49.75M,3.36M,-0.022M,53.09M,,,,,,
2003-12,19.89M,,3.506M,5.337M,0.017M,5.354M,5.354M,,,,,,7.70M,-13.07M,10.49M,-1.455M,-2.373M,-4.804M,-3.513M,28.74M,-16.24M,1.103M,-15.13M,,-7.68M,-0.041M,-22.85M,,,,,,,-11.38M,,,-11.38M,55.13M,-5.496M,0.119M,49.75M,,,,,,
2003-09,23.26M,,1.588M,5.111M,0.016M,5.127M,5.127M,,,,,,-12.02M,8.15M,5.598M,-0.017M,-4.923M,0.091M,-3.118M,26.86M,-9.822M,1.446M,-8.376M,,-0.165M,-0.041M,-8.582M,,,,,,,0.00,,,0.00,36.84M,18.28M,0.01M,55.13M,,,,,,
2003-06,21.93M,,1.518M,5.122M,0.017M,5.139M,5.139M,,,,,,-8.85M,4.722M,0.354M,-2.101M,-1.362M,4.713M,-2.524M,26.06M,-9.124M,1.067M,-8.057M,,-0.138M,-0.028M,-8.223M,,,,,,,0.00,,,0.00,18.80M,17.84M,0.202M,36.84M,,,,,,
2003-03,19.04M,,1.535M,4.874M,0.017M,4.891M,4.891M,,,,,,-15.89M,-15.42M,-2.104M,0.734M,16.18M,,-16.50M,8.964M,-15.06M,0.568M,-14.50M,,14.52M,-0.096M,-0.074M,,,,,,,-4.553M,,,-4.553M,14.30M,4.337M,0.168M,18.80M,,,,,,
2002-12,16.89M,,-1.581M,4.432M,0.017M,4.449M,4.449M,,,,,,11.69M,-39.54M,0.627M,-1.557M,-2.545M,,-31.32M,-10.46M,-13.44M,15.58M,2.137M,,-2.837M,-0.038M,-0.738M,,,,,,,0.00,,,0.00,25.48M,-11.20M,0.007M,14.30M,,,,,,
2002-09,19.12M,,1.506M,4.208M,0.016M,4.224M,4.224M,,,,,,-0.248M,-16.87M,-3.287M,-4.646M,-1.09M,,-26.14M,-1.29M,-13.32M,0.70M,-12.62M,,-6.307M,-0.913M,-19.84M,,,,,,,0.00,,,0.00,46.69M,-21.13M,-0.079M,25.48M,,,,,,
2002-06,21.83M,,1.627M,4.233M,0.017M,4.25M,4.25M,,,,,,-8.824M,-11.11M,5.402M,2.036M,-6.721M,,-19.21M,8.495M,-11.06M,0.803M,-10.26M,,-0.141M,0.718M,-9.683M,,,,,,,0.00,,,0.00,47.79M,-1.188M,0.09M,46.69M,,,,,,
2002-03,17.70M,,1.435M,4.072M,0.017M,4.089M,4.089M,,,,,,-15.65M,-4.226M,4.207M,2.274M,11.24M,,-2.157M,21.07M,-4.861M,0.548M,-4.313M,,-12.48M,0.051M,-16.75M,,,,,,,-3.794M,,,-3.794M,47.26M,0.531M,-0.004M,47.79M,,,,,,
2001-12,13.35M,,1.729M,3.90M,0.055M,3.955M,3.955M,,,,,,18.71M,-0.709M,-8.484M,-0.524M,-10.62M,,-1.632M,19.94M,-8.556M,0.451M,-8.105M,,-20.66M,-0.126M,-28.89M,,,,,,,0.00,,,0.00,56.22M,-8.953M,0.00,47.26M,,,,,,
2001-09,17.00M,,1.312M,3.755M,0.055M,3.81M,3.81M,,,,,,-3.145M,-0.908M,2.16M,-1.299M,10.10M,,6.911M,29.03M,-18.67M,0.785M,-17.89M,,-0.835M,-0.72M,-19.44M,,,,,,,0.00,,,0.00,46.71M,9.592M,-0.088M,56.22M,,,,,,
2001-06,19.02M,,1.381M,3.817M,0.055M,3.872M,3.872M,,,,,,-0.666M,1.613M,3.206M,-0.668M,-11.06M,,-7.571M,16.70M,-9.51M,1.312M,-8.198M,,1.922M,0.565M,-5.711M,,,,,,,0.00,,,0.00,35.75M,10.99M,-0.022M,46.71M,,,,,,
2001-03,20.74M,,1.37M,3.275M,0.055M,3.33M,3.33M,,,,,,-8.666M,-2.601M,1.283M,-1.916M,12.52M,,0.616M,26.06M,-8.604M,0.747M,-7.857M,,1.938M,-0.685M,-6.604M,,,,,,,-3.415M,,,-3.415M,19.71M,16.04M,,35.75M,,,,,,
2000-12,18.91M,,0.011M,,,3.317M,3.317M,0.453M,,,,,5.492M,-8.688M,-5.407M,3.124M,-0.309M,,-5.788M,16.90M,-7.933M,0.668M,-7.265M,,0.00,-0.846M,-8.111M,,,,,,,0.00,,,0.00,23.92M,8.789M,,32.71M,,,,,,
2000-09,20.80M,,0.032M,,,3.027M,3.027M,0.00,,,,,-6.003M,-8.252M,-4.561M,-2.213M,0.024M,,-21.00M,2.856M,-9.065M,0.765M,-8.30M,,0.143M,0.645M,-7.512M,,,,,,,0.00,,,0.00,28.57M,-4.656M,,23.92M,,,,,,
2000-06,20.98M,,-0.014M,,,2.916M,2.916M,0.00,,,,,-8.145M,-15.34M,6.249M,-2.903M,-8.503M,,-28.64M,-4.762M,-9.284M,2.556M,-6.728M,,0.003M,-0.173M,-6.898M,,,,,,,0.00,,,0.00,40.23M,-11.66M,,28.57M,,,,,,
2000-03,20.05M,,0.133M,,,2.717M,2.717M,2.00M,,,,,-12.90M,-4.194M,4.292M,0.033M,11.13M,,-1.637M,23.26M,-10.45M,2.644M,-7.803M,,0.069M,-0.105M,-7.839M,,,,,,,-3.035M,,,-3.035M,27.85M,12.38M,,40.23M,,,,,,
1999-12,15.90M,,0.30M,,,2.70M,2.70M,,,,,0.00,6.10M,-7.30M,-0.60M,0.30M,-1.80M,,-3.30M,15.20M,-16.00M,4.30M,-11.70M,,0.00,0.10M,-11.60M,,0.00,,,,,0.00,,,0.00,24.30M,3.60M,,27.80M,,,,,,
1999-09,17.10M,,-0.10M,,,2.90M,2.90M,,,,,-0.20M,-4.40M,0.30M,-2.00M,0.20M,0.50M,,-5.40M,14.30M,-12.30M,5.70M,-6.60M,,0.00,-0.10M,-6.70M,,0.00,,,,,0.00,,,0.00,0.00,7.60M,,24.30M,,,,,,
1999-06,17.08M,,-0.241M,,,3.349M,3.349M,,,,,0.10M,-5.619M,-5.583M,0.915M,0.023M,-3.758M,,-14.02M,6.271M,-3.596M,2.302M,-1.294M,,0.05M,0.115M,-1.129M,,-0.045M,,,,,0.016M,,,-0.029M,11.47M,5.113M,,0.00,,,,,,
1999-03,15.42M,,0.041M,,,3.051M,3.051M,,,,,,-12.18M,-0.317M,3.585M,0.577M,10.06M,,1.722M,20.23M,-7.304M,1.898M,-5.406M,,0.05M,0.085M,-5.271M,,-4.055M,,,,,-1.516M,,,-5.571M,2.086M,9.387M,,11.47M,,,,,,
1998-12,12.60M,,-0.10M,,,3.30M,3.30M,,,,,0.10M,3.10M,-2.00M,5.60M,-0.60M,-2.80M,,3.30M,19.60M,-11.90M,1.50M,-10.40M,,,-0.10M,-10.50M,,-8.60M,,,,,0.00,,-0.10M,-8.70M,1.60M,0.40M,,2.10M,,,,,,
1998-09,14.00M,,,,,2.90M,2.90M,,,,,-0.10M,0.20M,-3.60M,-3.10M,0.50M,1.10M,,-4.90M,11.90M,-6.70M,2.80M,-3.90M,,,-0.30M,-4.20M,,-6.90M,,,,,0.00,,0.00,-6.90M,0.00,0.80M,,1.60M,,,,,,
1998-06,14.00M,,0.10M,,,2.60M,2.60M,,,,,0.10M,-4.70M,-6.00M,1.60M,-0.20M,-5.80M,,-15.10M,1.70M,-12.10M,2.70M,-9.40M,,,-0.10M,-9.50M,,8.20M,,,,,0.00,,0.10M,8.30M,0.00,0.50M,,0.00,,,,,,
