,CashandEquivalents,CashandShortTermInvestments,AccountsReceivable,TotalReceivables,FinishedGoodsInventory,Inventories,PrepaidExpenses,OtherCurrentAssets,TotalCurrentAssets,Properties,LandandImprovements,BuildingsandImprovements,"Machine,Furniture&Equipment",OtherProperties,GrossPP&E,AccumulatedD&A,NetPP&E,Goodwill,OtherIntangibleAssets,GoodwillandIntangibles,LongTermInvestments,LongTermDeferredAssets,OtherLongTermAssets,TotalLongTermAssets,TotalAssets,,AccountsPayable,DividendsPayable,CurrentTaxPayable,TotalPayables,AccruedExpenses,PayablesandAccruedExpenses,CurrentPortionofLongTermDebt,CurrentDebt&CapitalLeaseObligation,OtherCurrentLiability,TotalCurrentLiabilities,Non-CurrentPortionofLongTermDebt,LongTermCapLeaseObligation,Non-CurrentPortionofLTDandCapitalLeaseObligation,LongTermDeferredTaxLiabilities,Non-CurrentDeferredRevenue,Non-CurrentDeferredLiabilities,PensionLiability,MinorityInterestOwnership,OtherLongTermLiabilities,TotalLongTermLiabilities,TotalLiabilities,,TotalCapitalStock,RetainedEarnings,AdditionalPaidInCapital,AdjustmentsforForeignCurrencyTranslation,OtherEquityAdjustments,AccruedComprehensiveInc,ShareholdersEquity,,AsOriginallyReported,Restated
2006-09,214.39M,214.39M,1.301B,1.301B,,2.190B,212.91M,,3.919B,,,,,,999.81M,-568.69M,431.12M,62.40M,,62.40M,,,499.89M,993.41M,4.912B,,1.013B,,,1.013B,,1.013B,,,263.09M,1.276B,500.00M,,500.00M,160.76M,,160.76M,,59.57M,130.29M,791.06M,2.067B,,170.40M,2.554B,,,,60.52M,2.785B,,,
2006-06,189.14M,189.14M,1.307B,1.307B,,2.162B,192.48M,,3.851B,,,,,,973.75M,-557.61M,416.14M,62.50M,,62.50M,,,516.22M,994.86M,4.846B,,1.019B,,,1.019B,,1.019B,,,237.01M,1.256B,500.00M,,500.00M,159.30M,,159.30M,,58.64M,116.76M,776.07M,2.032B,,171.31M,2.524B,,,,59.99M,2.755B,,,
2006-03,150.17M,150.17M,1.298B,1.298B,,2.185B,198.59M,,3.831B,,,,,,946.13M,-545.68M,400.44M,62.61M,,62.61M,,,520.93M,983.98M,4.815B,,954.28M,,,954.28M,,954.28M,,,295.56M,1.250B,500.00M,,500.00M,156.81M,,156.81M,,57.57M,119.22M,776.04M,2.026B,,172.68M,2.516B,,,,43.08M,2.732B,,,
2005-12,188.91M,188.91M,1.187B,1.187B,,2.217B,214.56M,,3.807B,0.00,52.34M,281.01M,596.19M,,929.54M,-537.24M,392.30M,62.72M,,62.72M,,,509.64M,964.66M,4.772B,,973.62M,,,973.62M,,973.62M,0.881M,0.881M,274.61M,1.249B,500.00M,,500.00M,156.81M,,156.81M,,57.05M,114.62M,771.43M,2.021B,,173.03M,2.475B,,,,45.54M,2.694B,,,
2005-09,339.50M,339.50M,1.228B,1.228B,,2.158B,167.96M,,3.893B,,,,,,923.14M,-539.84M,383.29M,,62.48M,62.48M,,,430.40M,876.17M,4.769B,,1.041B,,,1.041B,,1.041B,0.908M,0.908M,289.17M,1.331B,500.00M,,500.00M,121.16M,,121.16M,,56.36M,109.89M,731.05M,2.062B,,173.52M,2.435B,,,,42.44M,2.650B,,,
2005-06,260.54M,260.54M,1.226B,1.226B,,2.125B,152.57M,,3.764B,,,,,,912.35M,-531.66M,380.69M,,62.62M,62.62M,,,403.34M,846.64M,4.611B,,974.85M,,,974.85M,,974.85M,0.929M,0.929M,252.58M,1.228B,500.00M,,500.00M,116.81M,,116.81M,,55.24M,110.95M,727.76M,1.956B,,174.06M,2.395B,10.11M,,,20.42M,2.599B,,,
2005-03,157.82M,157.82M,1.195B,1.195B,,2.150B,186.84M,,3.690B,,,,,,906.03M,-526.44M,379.59M,,57.58M,57.58M,,,404.30M,841.47M,4.531B,,878.64M,,,878.64M,,878.64M,0.897M,0.897M,300.79M,1.180B,500.00M,,500.00M,116.69M,,116.69M,,53.05M,112.30M,728.99M,1.909B,,174.45M,2.338B,31.32M,,,24.50M,2.569B,,,
2004-12,134.94M,134.94M,1.124B,1.124B,,2.199B,175.69M,,3.633B,0.00,46.25M,277.00M,578.37M,,901.62M,-522.23M,379.39M,,57.67M,57.67M,,,384.70M,821.76M,4.455B,,856.65M,,,856.65M,179.67M,1.036B,0.968M,0.968M,95.43M,1.133B,500.00M,,500.00M,115.68M,,115.68M,,52.39M,110.08M,725.76M,1.858B,,174.96M,2.286B,56.57M,,,26.48M,2.544B,,,
2004-09,284.70M,284.70M,1.167B,1.167B,,2.163B,113.58M,,3.728B,,,,,,848.75M,-509.35M,339.40M,,57.76M,57.76M,,,312.99M,710.15M,4.438B,,836.88M,,,836.88M,,836.88M,125.84M,125.84M,331.35M,1.294B,500.00M,,500.00M,113.26M,,113.26M,,52.09M,,613.26M,1.907B,,174.63M,2.243B,45.33M,,,16.09M,2.479B,,,
2004-06,127.73M,127.73M,1.174B,1.174B,,2.139B,110.94M,,3.552B,,,,,,830.60M,-497.74M,332.86M,,57.85M,57.85M,,,319.74M,710.45M,4.262B,,772.56M,,,772.56M,,772.56M,127.17M,127.17M,271.77M,1.172B,500.00M,,500.00M,113.25M,,113.25M,,51.51M,,613.25M,1.785B,,174.99M,2.197B,57.71M,,,-3.955M,2.426B,,,
2004-03,28.09M,28.09M,1.155B,1.155B,,2.129B,134.68M,,3.447B,,,,,,830.78M,-492.82M,337.96M,,57.94M,57.94M,,,324.28M,720.18M,4.167B,,668.44M,,,668.44M,,668.44M,36.90M,36.90M,305.26M,1.011B,625.00M,,625.00M,114.41M,,114.41M,,51.13M,,739.41M,1.750B,,174.44M,2.148B,43.14M,,,0.031M,2.366B,,,
2003-12,15.39M,15.39M,1.085B,1.085B,,2.141B,176.55M,,3.418B,0.00,36.43M,236.25M,560.83M,,833.51M,-490.52M,342.99M,,58.03M,58.03M,,,297.85M,698.87M,4.116B,,706.61M,,,706.61M,187.89M,894.50M,52.52M,52.52M,69.91M,1.017B,625.11M,,625.11M,114.53M,,114.53M,,47.64M,,739.64M,1.757B,,174.04M,2.101B,32.85M,,,4.835M,2.312B,,,
2003-09,31.48M,31.48M,1.133B,1.133B,,2.083B,77.88M,,3.325B,,,,,,833.54M,-486.58M,346.96M,,58.16M,58.16M,,,321.68M,726.81M,4.052B,,667.85M,,,667.85M,,667.85M,30.01M,30.01M,271.95M,969.80M,671.66M,,671.66M,102.78M,,102.78M,,49.13M,,774.44M,1.744B,,173.97M,2.065B,29.94M,,,-10.27M,2.259B,,,
2003-06,21.94M,21.94M,1.138B,1.138B,,2.044B,84.78M,,3.289B,,,,,,825.92M,-486.94M,338.98M,,58.30M,58.30M,,,334.77M,732.05M,4.021B,,624.48M,,,624.48M,,624.48M,130.82M,130.82M,225.79M,981.09M,671.68M,,671.68M,100.60M,,100.60M,,48.56M,,772.28M,1.753B,,173.94M,2.028B,29.85M,,,-12.34M,2.220B,,,
2003-03,25.03M,25.03M,1.110B,1.110B,,2.058B,77.88M,,3.271B,,,,,,823.84M,-477.32M,346.52M,,58.93M,58.93M,,,300.94M,706.40M,3.978B,,596.26M,,,596.26M,,596.26M,172.54M,172.54M,235.64M,1.004B,674.73M,,674.73M,99.44M,,99.44M,,47.97M,,774.17M,1.779B,,173.85M,1.989B,29.16M,,,-40.76M,2.151B,,,
2002-12,20.00M,20.00M,1.040B,1.040B,,2.145B,172.36M,,3.377B,0.00,36.56M,229.89M,532.68M,,799.13M,-466.08M,333.05M,,58.70M,58.70M,,,292.31M,684.07M,4.061B,,735.18M,,,735.18M,186.92M,922.10M,116.90M,116.90M,71.92M,1.111B,674.80M,,674.80M,97.91M,,97.91M,,47.41M,,772.71M,1.884B,,174.38M,1.972B,44.37M,,,-60.52M,2.130B,,,
2002-09,39.60M,39.60M,1.084B,1.084B,,1.967B,65.66M,,3.157B,,,,,,792.57M,-459.57M,333.00M,,59.83M,59.83M,,,310.80M,703.63M,3.861B,,690.90M,,,690.90M,,690.90M,43.78M,43.78M,232.06M,966.74M,675.27M,,675.27M,80.85M,,80.85M,,47.28M,,756.11M,1.723B,,174.66M,1.932B,47.95M,,,-64.12M,2.090B,,,
2002-06,24.55M,24.55M,1.113B,1.113B,,1.921B,74.91M,,3.134B,,,,,,789.26M,-456.69M,332.58M,,59.36M,59.36M,,,301.88M,693.82M,3.827B,,689.99M,,,689.99M,,689.99M,44.78M,44.78M,224.71M,959.48M,675.41M,,675.41M,81.90M,,81.90M,,46.91M,,757.30M,1.717B,,174.73M,1.889B,50.18M,,,-49.70M,2.064B,,,
2002-03,56.36M,56.36M,1.088B,1.088B,,1.864B,59.56M,,3.068B,,,,,,787.15M,-449.72M,337.44M,,60.05M,60.05M,,,289.50M,686.99M,3.755B,,613.39M,,,613.39M,,613.39M,50.75M,50.75M,238.84M,902.98M,735.46M,,735.46M,60.98M,,60.98M,,46.11M,,796.45M,1.699B,,174.25M,1.843B,35.25M,,,-43.13M,2.009B,,,
2001-12,85.77M,85.77M,1.011B,1.011B,,1.890B,159.68M,,3.146B,0.00,37.46M,229.55M,521.96M,,788.98M,-443.85M,345.13M,,442.08M,442.08M,,,273.22M,1.060B,4.207B,,644.08M,,,644.08M,,644.08M,57.19M,57.19M,217.91M,919.18M,835.58M,,835.58M,60.98M,,60.98M,,45.78M,,896.56M,1.816B,,173.47M,2.202B,16.08M,,,-46.09M,2.345B,,,
2001-09,108.91M,108.91M,1.085B,1.085B,,1.764B,53.02M,,3.011B,,,,,,812.25M,-452.38M,359.87M,451.19M,,451.19M,,,281.69M,1.093B,4.104B,,606.13M,,,606.13M,,606.13M,163.88M,163.88M,234.88M,1.005B,627.26M,,627.26M,58.18M,,58.18M,,46.30M,,685.44M,1.690B,,173.21M,2.226B,10.13M,,,-42.50M,2.367B,,,
2001-06,45.68M,45.68M,1.131B,1.131B,,1.797B,58.90M,,3.033B,,,,821.22M,,821.22M,-450.49M,370.72M,,453.45M,453.45M,,,294.27M,1.118B,4.151B,,628.62M,,,628.62M,,628.62M,198.05M,198.05M,152.91M,979.57M,709.94M,,709.94M,72.86M,,72.86M,,45.66M,,782.80M,1.762B,,172.59M,2.187B,3.836M,,,-20.47M,2.343B,,,
2001-03,49.19M,49.19M,,1.095B,,1.866B,,71.22M,3.081B,,,,,,818.93M,-438.60M,380.33M,,444.96M,444.96M,,,284.38M,1.110B,4.191B,,603.42M,,,603.42M,,603.42M,166.94M,166.94M,202.42M,972.78M,822.61M,,822.61M,77.81M,,77.81M,,45.07M,,900.42M,1.873B,,172.01M,2.132B,,,,-31.47M,2.272B,,,
2000-12,27.74M,27.74M,,1.032B,,1.864B,,95.75M,3.019B,,,,,,832.20M,-436.94M,395.26M,,451.44M,451.44M,,,275.94M,1.123B,4.142B,,635.50M,,,635.50M,,635.50M,151.45M,151.45M,201.36M,988.31M,770.58M,,770.58M,77.81M,,77.81M,,44.60M,,848.40M,1.837B,,172.39M,2.101B,,,,-13.04M,2.261B,,,
2000-09,40.93M,40.93M,,1.088B,,1.759B,,51.39M,2.939B,,,,,,836.45M,-431.93M,404.52M,,430.28M,430.28M,,,230.60M,1.065B,4.004B,,650.89M,,,650.89M,,650.89M,158.65M,158.65M,170.09M,979.63M,676.44M,,676.44M,87.47M,,87.47M,,44.28M,,763.90M,1.744B,,173.08M,2.056B,,,,-13.09M,2.216B,,,
2000-06,53.22M,53.22M,,1.123B,,1.734B,,42.26M,2.952B,,,,,,827.83M,-419.07M,408.75M,,432.20M,432.20M,,,228.63M,1.070B,4.022B,,663.02M,,,663.02M,,663.02M,170.30M,170.30M,143.60M,976.93M,699.81M,,699.81M,87.47M,,87.47M,,44.25M,,787.28M,1.764B,,174.95M,2.048B,,,,-10.12M,2.213B,,,
2000-03,80.46M,80.46M,,1.108B,,1.743B,,55.53M,2.987B,,,,,,820.74M,-409.65M,411.09M,,436.96M,436.96M,,,228.64M,1.077B,4.064B,,626.06M,,,626.06M,,626.06M,168.34M,168.34M,195.17M,989.58M,724.00M,,724.00M,96.93M,,96.93M,,44.36M,,820.93M,1.811B,,176.86M,2.043B,,,,-10.39M,2.209B,,,
1999-12,45.70M,45.70M,,1.007B,,1.772B,,71.00M,2.895B,,,,,,816.50M,-403.00M,413.50M,,440.30M,440.30M,,,180.70M,1.034B,3.930B,,581.00M,,,581.00M,,581.00M,133.10M,133.10M,201.90M,916.00M,702.40M,,702.40M,87.50M,,87.50M,,46.30M,,789.90M,1.706B,,177.30M,2.007B,,,,-6.90M,2.178B,,,
1999-09,76.50M,76.50M,,1.042B,,1.698B,,41.20M,2.857B,,,,,,806.00M,-391.70M,414.30M,,412.90M,412.90M,,,193.30M,1.020B,3.878B,,612.30M,,,612.30M,,612.30M,157.90M,157.90M,151.30M,921.50M,674.60M,,674.60M,95.00M,,95.00M,,49.50M,,769.60M,1.691B,,177.80M,1.956B,,,,3.50M,2.137B,,,
1999-06,113.20M,113.20M,,1.033B,,1.679B,,32.40M,2.858B,,,,,,796.30M,-379.40M,416.90M,,402.40M,402.40M,,,197.10M,1.016B,3.874B,,599.70M,,,599.70M,,599.70M,190.10M,190.10M,149.50M,939.30M,666.10M,,666.10M,95.00M,,95.00M,,44.60M,,761.10M,1.700B,,,1.942B,,,,,2.129B,,,
1999-03,148.80M,148.80M,,990.20M,,1.680B,,39.30M,2.859B,,,,,,786.10M,-369.30M,416.80M,,398.70M,398.70M,,,193.70M,1.009B,3.868B,,541.10M,,,541.10M,,541.10M,259.00M,259.00M,174.40M,974.50M,672.10M,,672.10M,95.00M,,95.00M,,47.60M,-0.10M,767.00M,1.742B,,,1.897B,,,,,2.079B,,,
1998-12,85.00M,85.00M,,907.60M,,1.660B,,30.60M,2.683B,,,,,,759.60M,-355.60M,404.00M,,344.70M,344.70M,,,168.30M,917.00M,3.600B,,509.50M,,,509.50M,,509.50M,156.30M,156.30M,152.60M,818.40M,588.60M,,588.60M,95.00M,,95.00M,,45.00M,0.10M,683.70M,1.502B,,179.50M,1.857B,20.00M,,,-3.10M,2.053B,,,
1998-09,93.10M,93.10M,,817.70M,,1.404B,,33.90M,2.349B,,,,,,688.30M,-299.10M,389.20M,,220.30M,220.30M,,,224.50M,834.00M,3.183B,,473.20M,,,473.20M,,473.20M,164.00M,164.00M,135.20M,772.40M,260.80M,,260.80M,89.00M,,89.00M,,51.90M,,349.80M,1.122B,,,1.829B,,,,,2.009B,,,
1998-06,64.80M,64.80M,,781.80M,,1.331B,,30.40M,2.208B,,,,,,652.00M,-276.70M,375.30M,,,,,,289.30M,664.60M,2.873B,,457.90M,,,457.90M,,457.90M,20.00M,20.00M,122.90M,600.80M,209.40M,,209.40M,89.00M,,89.00M,,50.40M,,298.40M,899.20M,,,1.745B,,,,,1.923B,,,
1998-03,98.80M,98.80M,,746.50M,,1.315B,,30.00M,2.190B,,,,,,641.90M,-269.10M,372.80M,,,,,,288.80M,661.60M,2.852B,,412.20M,,,412.20M,,412.20M,41.00M,41.00M,159.00M,612.20M,209.40M,,209.40M,89.00M,,89.00M,,48.50M,,298.40M,910.60M,,,1.714B,,,,,1.893B,,,
1997-12,72.80M,72.80M,,686.60M,,1.322B,,12.60M,2.094B,,,,,,631.10M,-258.60M,372.50M,,62.10M,62.10M,,,226.20M,660.80M,2.754B,,405.10M,,,405.10M,,405.10M,36.70M,36.70M,115.10M,556.90M,209.50M,,209.50M,89.00M,,89.00M,,39.40M,0.10M,298.60M,855.50M,,,1.680B,,,,,1.860B,,,
1997-09,54.00M,54.00M,,709.60M,,1.249B,,19.30M,2.032B,,,,,,626.50M,-258.80M,367.70M,,,,,,241.00M,608.70M,2.641B,,430.60M,,,430.60M,,430.60M,20.00M,20.00M,120.20M,570.80M,159.90M,,159.90M,75.40M,,75.40M,,40.30M,0.10M,235.40M,806.20M,,,1.616B,,,,,1.794B,,,
1997-06,75.10M,75.10M,,691.60M,,1.233B,,19.50M,2.019B,,,,,,610.40M,-251.90M,358.50M,,,,,,239.00M,597.50M,2.616B,,402.10M,,,402.10M,,402.10M,85.00M,85.00M,104.00M,591.10M,110.30M,,110.30M,75.40M,,75.40M,,38.50M,-0.10M,185.60M,776.70M,,,1.621B,,,,,1.801B,,,
1997-03,76.00M,76.00M,,680.70M,,1.237B,,17.60M,2.011B,,,,,,594.00M,-242.80M,351.20M,,,,,,235.60M,586.80M,2.598B,,379.40M,,,379.40M,,379.40M,85.00M,85.00M,148.40M,612.80M,110.30M,,110.30M,75.40M,,75.40M,,37.30M,-0.10M,185.60M,798.40M,,,1.582B,,,,,1.762B,,,
1996-12,67.40M,67.40M,,622.80M,,1.234B,,13.60M,1.938B,,,,,,580.80M,-234.80M,346.00M,,,,,,238.00M,584.00M,2.522B,,401.80M,,,401.80M,,401.80M,47.00M,47.00M,119.60M,568.40M,110.20M,,110.20M,75.40M,,75.40M,,35.60M,-0.10M,185.50M,753.90M,,,1.552B,,,,,1.732B,,,
1996-09,74.20M,74.20M,,641.00M,,1.188B,,22.10M,1.925B,,,,,,568.80M,-234.70M,334.10M,,,,,,214.10M,548.20M,2.474B,,504.10M,,,504.10M,,504.10M,,,121.60M,625.70M,60.20M,,60.20M,58.70M,,58.70M,,34.00M,,118.90M,744.60M,,,1.575B,,,,,1.695B,,,
1996-06,60.50M,60.50M,,647.50M,,1.140B,,22.70M,1.870B,,,,,,542.20M,-224.60M,317.60M,,,,,,212.00M,529.60M,2.400B,,448.70M,,,448.70M,,448.70M,,,112.10M,560.80M,60.50M,,60.50M,58.70M,,58.70M,,30.50M,,119.20M,680.00M,,,1.562B,,,,,1.689B,,,
1996-03,73.70M,73.70M,,631.40M,,1.120B,,20.90M,1.846B,,,,,,526.80M,-217.10M,309.70M,,,,,,208.70M,518.40M,2.365B,,397.40M,,,397.40M,,397.40M,,,144.10M,541.50M,60.60M,,60.60M,58.70M,,58.70M,,29.30M,,119.30M,660.80M,,,1.548B,,,,,1.675B,,,
1995-12,44.30M,44.30M,,565.30M,,1.128B,,26.90M,1.764B,,,,,,448.00M,-144.80M,303.20M,,,,,,206.90M,510.10M,2.274B,,331.70M,,,331.70M,,331.70M,45.60M,45.60M,98.20M,475.50M,60.60M,,60.60M,58.70M,,58.70M,,28.40M,,119.30M,594.80M,,,1.529B,,,,,1.651B,,,
1995-09,29.90M,29.90M,,581.00M,,1.05B,,35.20M,1.696B,,,,,,501.30M,-206.20M,295.10M,,,,,,190.40M,485.50M,2.182B,,340.50M,,,340.50M,,340.50M,,,116.20M,456.70M,10.90M,,10.90M,44.50M,,44.50M,,27.60M,,55.40M,512.10M,,,1.508B,,,,,1.642B,,,
1995-06,32.70M,32.70M,,569.20M,,1.026B,,31.90M,1.660B,,,,,,478.60M,-200.50M,278.10M,,,,,,191.80M,469.90M,2.130B,,339.80M,,,339.80M,,339.80M,,,110.70M,450.50M,11.20M,,11.20M,44.50M,,44.50M,,26.50M,,55.70M,506.20M,,,1.470B,,,,,1.597B,,,
1995-03,40.10M,40.10M,,557.10M,,996.70M,,29.10M,1.623B,,,,,,466.70M,-196.00M,270.70M,,,,,,178.20M,448.90M,2.072B,,288.30M,,,288.30M,,288.30M,50.20M,50.20M,92.60M,431.10M,11.20M,,11.20M,44.50M,,44.50M,,25.70M,,55.70M,486.80M,,,1.434B,,,,,1.559B,,,
1994-12,82.40M,82.40M,,487.40M,,1.005B,,21.40M,1.596B,,,,,,450.10M,-192.10M,258.00M,,,,,,175.70M,433.70M,2.030B,,316.60M,,,316.60M,,316.60M,0.90M,0.90M,104.90M,422.40M,11.40M,,11.40M,44.50M,,44.50M,,24.90M,0.10M,56.00M,478.40M,,,1.404B,,,,,1.526B,,,
1994-09,111.00M,111.00M,,517.30M,,894.40M,,47.30M,1.57B,,,,,,439.50M,-192.50M,247.00M,,,,,,137.70M,384.70M,1.955B,,286.50M,,,286.50M,,286.50M,,,91.30M,377.80M,12.90M,,12.90M,33.40M,,33.40M,,24.20M,,46.30M,424.10M,,,1.383B,,,,,1.506B,,,
1994-06,118.00M,118.00M,,498.80M,,893.30M,,76.80M,1.587B,,,,,,432.90M,-191.50M,241.40M,,,,,,134.50M,375.90M,1.963B,,281.00M,,,281.00M,,281.00M,,,96.00M,377.00M,13.10M,,13.10M,38.00M,,38.00M,,23.60M,0.10M,51.20M,428.20M,,,1.383B,,,,,1.511B,,,
1994-03,150.10M,150.10M,,487.80M,,870.80M,,71.60M,1.580B,,,,,,422.60M,-188.20M,234.40M,,,,,,132.90M,367.30M,1.948B,,276.60M,,,276.60M,,276.60M,,,121.70M,398.30M,13.10M,,13.10M,38.00M,,38.00M,,22.60M,,51.10M,449.40M,,,1.348B,,,,,1.476B,,,
1993-12,123.20M,123.20M,,428.90M,,879.20M,,74.90M,1.506B,,,,,,416.30M,-185.10M,231.20M,,,,,,133.40M,364.60M,1.871B,,258.90M,,,258.90M,,258.90M,0.80M,0.80M,93.80M,353.50M,12.30M,,12.30M,38.00M,,38.00M,,21.80M,-0.10M,50.20M,403.70M,,,1.318B,,,,,1.445B,,,
1993-09,126.80M,126.80M,,462.80M,,812.80M,,85.40M,1.488B,,,,,,403.10M,-182.00M,221.10M,,,,,,119.60M,340.70M,1.828B,,267.20M,,,267.20M,,267.20M,,,109.10M,376.30M,13.20M,,13.20M,14.30M,,14.30M,,21.10M,0.10M,27.60M,403.90M,,,1.278B,,,,,1.404B,,,
1993-06,118.90M,118.90M,,454.10M,,797.20M,,65.00M,1.435B,,,,,,393.40M,-178.60M,214.80M,,,,,,120.80M,335.60M,1.771B,,255.40M,,,255.40M,,255.40M,,,95.40M,350.80M,13.50M,,13.50M,13.40M,,13.40M,,20.10M,,26.90M,377.70M,,,1.248B,,,,,1.373B,,,
1993-03,91.40M,91.40M,,447.00M,,790.20M,,91.50M,1.420B,,,,,,386.50M,-175.20M,211.30M,,,,,,120.30M,331.60M,1.752B,,246.80M,,,246.80M,,246.80M,,,118.90M,365.70M,13.50M,,13.50M,13.40M,,13.40M,,19.60M,-0.10M,26.80M,392.50M,,,1.215B,,,,,1.340B,,,
1992-12,161.30M,161.30M,,374.40M,,734.50M,,6.90M,1.277B,,,,,,368.70M,-164.90M,203.80M,,,,,,115.90M,319.70M,1.597B,,218.40M,,,218.40M,,218.40M,0.80M,0.80M,89.70M,308.90M,13.00M,,13.00M,20.50M,,20.50M,,18.90M,0.10M,33.60M,342.50M,,,1.215B,,,,,1.235B,,,
1992-09,120.60M,120.60M,,383.50M,,676.20M,,44.50M,1.225B,,,,,,368.50M,-165.00M,203.50M,,,,,,114.10M,317.60M,1.542B,,204.80M,,,204.80M,,204.80M,,,81.70M,286.50M,16.70M,,16.70M,20.30M,,20.30M,,18.20M,0.10M,37.10M,323.60M,,,1.181B,,,,,1.201B,,,
1992-06,140.50M,140.50M,,363.50M,,666.00M,,56.00M,1.226B,,,,,,351.30M,-151.90M,199.40M,,,,,,89.50M,288.90M,1.515B,,205.00M,,,205.00M,,205.00M,,,84.40M,289.40M,14.10M,,14.10M,20.30M,,20.30M,,17.50M,,34.40M,323.80M,,,1.154B,,,,,1.174B,,,
1992-03,171.00M,171.00M,,366.30M,,653.00M,,31.40M,1.222B,,,,,,346.20M,-147.40M,198.80M,,,,,,88.90M,287.70M,1.509B,,206.40M,,,206.40M,,206.40M,,,104.50M,310.90M,14.10M,,14.10M,20.30M,,20.30M,,16.90M,0.10M,34.50M,345.40M,,,1.128B,,,,,1.147B,,,
1991-12,167.80M,167.80M,,345.80M,,658.50M,,7.20M,1.179B,,,,,,345.80M,-145.00M,200.80M,,,,,,86.90M,287.70M,1.467B,,194.70M,,,194.70M,,194.70M,3.10M,3.10M,92.90M,290.70M,12.70M,,12.70M,20.30M,,20.30M,,16.60M,,33.00M,323.70M,,,1.150B,,,,,1.127B,,,
1991-09,184.30M,184.30M,,357.50M,,608.20M,,37.40M,1.187B,,,,,,341.90M,-139.40M,202.50M,,,,,,61.70M,264.20M,1.452B,,219.30M,,,219.30M,,219.30M,,,85.10M,304.40M,17.40M,,17.40M,19.50M,,19.50M,,15.70M,,36.90M,341.30M,,,1.118B,,,,,1.095B,,,
1991-06,139.70M,139.70M,,357.50M,,620.40M,,40.40M,1.158B,,,,,,343.00M,-138.30M,204.70M,,,,,,60.20M,264.90M,1.423B,,221.20M,,,221.20M,,221.20M,,,80.70M,301.90M,17.60M,,17.60M,19.50M,,19.50M,,15.10M,,37.10M,339.00M,,,1.092B,,,,,1.069B,,,
1991-03,109.70M,109.70M,,348.80M,,625.10M,,52.80M,1.136B,,,,,,336.30M,-134.10M,202.20M,,,,,,58.10M,260.30M,1.397B,,209.10M,,,209.10M,,209.10M,,,91.60M,300.70M,17.60M,,17.60M,19.50M,,19.50M,,14.60M,,37.10M,337.80M,,,1.068B,,,,,1.044B,,,
1990-12,131.80M,131.80M,,315.10M,,632.70M,,19.00M,1.099B,,,,,,338.00M,-133.60M,204.40M,,,,,,48.90M,253.30M,1.352B,,167.70M,,,167.70M,,167.70M,26.70M,26.70M,74.30M,268.70M,16.40M,,16.40M,19.50M,,19.50M,,14.30M,-0.10M,35.80M,304.50M,,,1.057B,,,,,1.033B,,,
1990-09,137.70M,137.70M,,354.20M,,587.50M,,23.00M,1.102B,,,,,,333.30M,-133.10M,200.20M,,,,,,50.80M,251.00M,1.353B,,190.00M,,,190.00M,,190.00M,,,78.30M,268.30M,44.00M,,44.00M,20.20M,,20.20M,,13.50M,,64.20M,332.50M,,,1.031B,,,,,1.007B,,,
1990-06,133.20M,133.20M,,350.00M,,578.50M,,32.80M,1.094B,,,,,,329.20M,-130.10M,199.10M,,,,,,49.40M,248.50M,1.343B,,205.50M,,,205.50M,,205.50M,,,69.20M,274.70M,18.40M,,18.40M,20.20M,,20.20M,,12.50M,,38.60M,313.30M,,,1.040B,,,,,1.017B,,,
1990-03,142.60M,142.60M,,354.60M,,582.10M,,27.60M,1.107B,,,,,,316.40M,-125.00M,191.40M,,,,,,48.40M,239.80M,1.347B,,192.20M,,,192.20M,,192.20M,,,84.30M,276.50M,45.70M,,45.70M,20.20M,,20.20M,,12.20M,-0.10M,65.80M,342.30M,,,1.015B,,,,,992.20M,,,
1989-12,141.40M,141.40M,,303.80M,,578.40M,,32.00M,1.056B,,,,,,312.80M,-122.60M,190.20M,,,,,,46.10M,236.30M,1.292B,,176.30M,,,176.30M,,176.30M,1.00M,1.00M,67.70M,245.00M,43.10M,,43.10M,20.20M,,20.20M,,11.80M,,63.30M,308.30M,,,994.90M,,,,,971.80M,,,
1989-09,138.70M,138.70M,,331.70M,,544.10M,,16.90M,1.031B,,,,,,306.30M,-118.20M,188.10M,,,,,,47.00M,235.10M,1.266B,,204.70M,,,204.70M,,204.70M,,,72.70M,277.40M,18.80M,,18.80M,18.20M,,18.20M,,11.30M,,37.00M,314.40M,,,963.90M,,,,,940.80M,,,
1989-06,102.30M,102.30M,,333.80M,,549.50M,,20.80M,1.006B,,,,,,298.00M,-114.50M,183.50M,,,,,,45.30M,228.80M,1.235B,,208.00M,,,208.00M,,208.00M,,,65.20M,273.20M,19.40M,,19.40M,18.20M,,18.20M,,11.00M,-0.20M,37.40M,310.60M,,,936.90M,,,,,913.60M,,,
1988-12,123.30M,123.30M,,290.90M,,549.50M,,4.30M,968.00M,,,,,,284.40M,-115.30M,169.10M,,,,,,4.20M,173.30M,1.141B,,,,,,,,1.00M,1.00M,230.50M,231.50M,18.20M,,18.20M,18.20M,,18.20M,,,10.20M,46.60M,278.10M,,,888.40M,,,,,863.20M,,,
1987-12,113.50M,113.50M,,252.90M,,493.70M,,3.20M,863.30M,,,,,,263.70M,-102.90M,160.80M,,,,,,2.70M,163.50M,1.027B,,,,,,,,1.00M,1.00M,221.40M,222.40M,19.40M,,19.40M,14.60M,,14.60M,,,10.10M,44.10M,266.50M,,,787.40M,,,,,760.30M,,,
