,NetIncome,NetForeignCurrencyExchangeGain/Loss,OperatingGainsLosses,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",AssetImpairmentCharge,StockBasedCompensation,ExcessTaxBenefitfromStockCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,OtherCashfromOperations,CashfromOperations,,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,,NetChangeinLongTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalCommonDividendsPaid,TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,,AsOriginallyReported,Restated
2002-06,96.05M,,4.63M,17.88M,17.88M,,,,,,,,,,-33.34M,-33.34M,,85.22M,,-14.54M,,-14.54M,,,,-14.54M,,,-66.86M,15.11M,-0.041M,15.07M,,-50.70M,,,-102.49M,,56.36M,-31.81M,,24.55M,,15.11M,,,-0.041M,,,
2002-03,-308.06M,,397.00M,18.42M,18.42M,,,,,,,,,,12.83M,12.83M,,120.18M,,-11.44M,,-11.44M,,,,-11.44M,,,-106.56M,20.18M,-0.234M,19.95M,,-51.54M,,,-138.15M,,85.77M,-29.41M,,56.36M,,20.18M,,,-0.234M,,,
2001-12,24.97M,,84.27M,16.88M,16.88M,,,,,,,,,,-69.31M,-188.35M,,-83.94M,,-6.503M,,-1.242M,0.977M,,,-0.265M,,,102.92M,6.576M,-0.237M,6.339M,,-47.70M,,,61.55M,,108.91M,-22.65M,,85.77M,,6.576M,,,-0.237M,,,
2001-09,88.22M,,0.821M,21.78M,21.78M,,,,,,,,,,125.98M,125.98M,,236.80M,,-11.87M,,-11.87M,0.00,,,-11.87M,,,-116.84M,6.286M,-0.294M,5.992M,,-50.85M,,,-161.70M,,45.68M,63.23M,,108.91M,,6.286M,,,-0.294M,,,
2001-06,94.69M,,1.607M,24.10M,24.10M,,,,,,,,,,32.30M,32.30M,,152.70M,,-11.46M,,-11.46M,-15.17M,,,-26.62M,,,-81.88M,1.425M,-0.05M,1.375M,,-49.07M,,,-129.58M,,49.19M,-3.501M,,45.68M,,1.425M,,,-0.05M,,,
2001-03,89.27M,,4.251M,23.04M,23.04M,,,,,,,,,,-88.97M,-88.97M,,27.59M,,-12.11M,,-12.11M,-2.168M,,,-14.28M,,,67.51M,0.114M,-12.08M,-11.96M,,-47.41M,,,8.139M,,27.74M,21.45M,,49.19M,,0.114M,,,-12.08M,,,
2000-12,105.27M,,-7.662M,22.54M,22.54M,,,,,,,,,,-94.22M,-142.13M,,-28.69M,,-19.09M,,-8.481M,-2.758M,,,-11.24M,,,86.98M,,-13.37M,-13.36M,,-46.78M,,,26.83M,,40.93M,-13.10M,,27.74M,,,,,-13.37M,,,
2000-09,91.73M,,5.247M,22.39M,22.39M,,,,,,,,,,18.05M,18.05M,,137.41M,,-17.66M,,-17.66M,-6.313M,,,-23.97M,,,-39.40M,,-37.92M,-37.92M,,-48.42M,,,-125.74M,,53.22M,-12.30M,,40.93M,,,,,-37.92M,,,
2000-06,96.59M,,-3.253M,23.55M,23.55M,,,,,,,,,,-6.239M,-6.239M,,110.65M,,-14.49M,,-14.49M,-7.671M,,,-22.16M,,,-22.22M,,-44.20M,-44.20M,,-49.31M,,,-115.72M,,80.46M,-27.24M,,53.22M,,,,,-44.20M,,,
2000-03,91.73M,,2.424M,23.82M,23.82M,,,,,,,,,,-22.92M,-22.92M,,95.05M,,-19.90M,,-19.90M,-29.48M,,,-49.38M,,,56.87M,,-22.33M,-22.33M,,-45.49M,,,-10.95M,,45.74M,34.72M,,80.46M,,,,,-22.33M,,,
1999-12,108.32M,,1.60M,22.37M,22.37M,,,,0.011M,,,,,,-28.10M,-87.50M,,57.10M,,-2.30M,,8.00M,,,,12.80M,,,-18.30M,,-22.30M,-15.80M,,-46.10M,,-20.50M,-100.70M,,76.50M,-30.80M,,45.70M,,,,,-22.30M,,,
1999-09,90.70M,,1.40M,24.80M,24.80M,,,,,,,,34.50M,,-28.80M,5.70M,,122.60M,,-33.10M,,-33.10M,,,,-33.10M,,,-43.70M,,-37.70M,-37.70M,,-46.90M,,2.10M,-126.20M,,113.20M,-36.70M,,76.50M,,,,,-37.70M,,,
1999-06,92.50M,,-2.90M,20.10M,20.10M,,,,40.70M,,,,-34.50M,,,-34.50M,,115.90M,,-36.20M,,-36.20M,,,,-36.20M,,,-74.80M,,-4.40M,-4.40M,,-46.40M,,10.30M,-115.30M,,0.00,-35.60M,,113.20M,,,,,-4.40M,,,
1999-03,86.10M,,2.50M,22.70M,22.70M,,,,-40.70M,,,,,,,,,70.60M,,-106.00M,,-106.00M,,,,-106.00M,,,186.10M,,-46.70M,-46.70M,,-44.80M,,4.60M,99.20M,,85.00M,63.80M,,0.00,,,,,-46.70M,,,
1998-12,103.79M,,-6.70M,21.60M,21.60M,,,,0.001M,-4.70M,-74.20M,-25.00M,,19.50M,,-66.00M,,63.10M,,-279.40M,,-211.90M,,,-1.10M,-213.00M,,,203.30M,,-12.20M,-6.50M,,-45.10M,,-9.90M,141.80M,,0.00,-8.10M,,85.00M,,,,,-12.20M,,,
1998-09,86.10M,,1.50M,16.10M,16.10M,,,,20.70M,25.80M,-23.30M,-13.60M,,-28.20M,,-39.30M,,85.10M,,-79.70M,,-79.70M,,,2.50M,-77.20M,,,111.90M,,-43.30M,-43.30M,,-44.70M,,-3.50M,20.40M,,0.00,28.30M,,0.00,,,,,-43.30M,,,
1998-06,85.90M,,1.90M,15.60M,15.60M,,,,-20.80M,-35.30M,-16.30M,45.80M,,-15.70M,,-21.50M,,61.10M,,-20.10M,,-20.10M,,,-6.60M,-26.70M,,,-21.00M,,-12.00M,-12.00M,,-44.80M,,9.40M,-68.40M,,0.00,-34.00M,,0.00,,,,,-12.00M,,,
1998-03,80.00M,,1.00M,16.00M,16.00M,,,,0.10M,-60.00M,6.50M,7.00M,,24.40M,,-22.10M,,75.00M,,-20.00M,,-20.00M,,,11.30M,-8.70M,,,5.00M,,-8.80M,-8.80M,,-43.40M,,6.90M,-40.30M,,72.80M,26.00M,,0.00,,,,,-8.80M,,,
1997-12,98.40M,,-14.90M,15.00M,15.00M,,,,8.20M,23.10M,-72.50M,-25.50M,,-0.40M,,-81.40M,,39.10M,,-33.00M,,-21.40M,,,-12.80M,-34.20M,,,65.30M,,-11.80M,1.10M,,-42.50M,,-10.00M,13.90M,,0.00,18.80M,,72.90M,,,,,-11.80M,,,
1997-09,83.70M,,1.70M,14.90M,14.90M,,,,16.60M,-18.00M,-16.50M,28.60M,,0.00,,-5.90M,,111.00M,,-26.40M,,-26.40M,,,0.40M,-26.00M,,,-15.00M,,-52.30M,-52.30M,,-43.20M,,4.40M,-106.10M,,0.00,-21.10M,,0.00,,,,,-52.30M,,,
1997-06,83.70M,,1.30M,14.00M,14.00M,,,,-9.40M,-11.00M,4.10M,22.70M,,-37.00M,,-21.20M,,68.40M,,-24.10M,,-24.10M,,,-0.60M,-24.70M,,,0.00,,-12.70M,-12.70M,,-43.20M,,11.30M,-44.60M,,0.00,-0.90M,,0.00,,,,,-12.70M,,,
1997-03,76.60M,,1.70M,15.00M,15.00M,,,,-15.40M,-57.80M,-2.90M,-22.50M,,37.40M,,-45.80M,,32.10M,,-23.00M,,-23.00M,,,5.10M,-17.90M,,,38.00M,,,,,-40.30M,,-3.30M,-5.60M,,67.40M,8.60M,,0.00,,,,,,,,
1996-12,93.90M,,-15.80M,11.20M,11.20M,,,,-1.80M,18.20M,-45.80M,-20.00M,,0.60M,,-33.70M,,67.70M,,-17.80M,,-13.40M,,,-23.50M,-36.90M,,,,,-26.00M,-18.10M,,-40.40M,,-30.90M,-37.70M,,0.00,-6.90M,,0.00,,,,,-26.00M,,,
1996-09,81.50M,,3.50M,15.60M,15.60M,,,,8.30M,6.50M,-48.50M,-21.90M,,2.00M,,-61.90M,,47.00M,,-36.30M,,-36.30M,,,2.10M,-34.20M,,,,,-28.40M,-28.40M,,-40.60M,,69.90M,0.90M,,0.00,13.70M,,0.00,,,,,-28.40M,,,
1996-06,80.80M,,1.30M,11.90M,11.90M,,,,-6.10M,-16.10M,-19.20M,71.30M,,-27.70M,,8.30M,,96.20M,,-20.90M,,-20.90M,,,-6.60M,-27.50M,,,,,-26.00M,-26.00M,,-40.80M,,-15.10M,-81.90M,,0.00,-13.20M,,0.00,,,,,-26.00M,,,
1996-03,73.90M,,0.80M,11.70M,11.70M,,,,2.30M,-66.10M,7.10M,40.70M,,46.70M,,28.40M,,117.10M,,-20.60M,,-20.60M,,,5.10M,-15.50M,,,,,-14.30M,-14.30M,,-38.40M,,-19.40M,-72.10M,,44.30M,29.50M,,0.00,,,,,-14.30M,,,
1995-12,88.30M,,-12.10M,11.60M,11.60M,,,,2.80M,15.70M,-77.50M,24.00M,-5.60M,-1.60M,,-45.00M,,57.90M,,-20.40M,,-15.60M,,,-5.10M,-20.70M,,,,,,,,-38.70M,,-41.90M,-22.90M,,0.00,14.30M,,0.00,,,,,,,,
1995-09,76.90M,,1.00M,11.00M,11.00M,,,,11.40M,-11.80M,-24.20M,27.60M,,-9.00M,,-17.40M,,82.90M,,-27.10M,,-27.10M,,13.60M,-13.10M,-26.60M,,,,,,,,-38.70M,,-20.30M,-59.00M,,0.00,-2.70M,,0.00,,,,,,,,
1995-06,75.00M,,1.60M,10.20M,10.20M,,,,-12.10M,-12.10M,-29.10M,-75.20M,28.30M,15.10M,,-73.00M,,1.70M,,-19.60M,,-19.60M,,-11.70M,0.10M,-31.20M,,,,,,,,-38.70M,,60.80M,22.10M,,0.00,-7.40M,,0.00,,,,,,,,
1995-03,69.00M,,,10.40M,10.40M,,,,0.70M,-69.70M,7.90M,38.70M,-28.30M,-12.50M,,-63.90M,,16.20M,,-23.70M,,-23.70M,,-1.90M,,-25.60M,,,,,,,,-35.20M,,2.30M,-32.90M,,82.40M,-42.30M,,0.00,,,,,,,,
1994-12,81.70M,,-7.40M,9.90M,9.90M,,,,0.20M,29.90M,-110.20M,30.00M,,1.00M,,-60.40M,,30.70M,,-20.80M,,-17.90M,,35.40M,-15.00M,2.50M,,,,,-27.70M,-23.30M,,-35.80M,,-1.90M,-61.70M,,0.00,-28.50M,,0.00,,,,,-27.70M,,,
1994-09,72.90M,,-1.80M,9.40M,9.40M,,,,4.60M,-18.50M,-1.10M,5.50M,,8.70M,,-5.40M,,79.70M,,-16.10M,,-16.10M,,29.10M,-21.90M,-8.90M,,,,,-42.60M,-42.60M,,-35.80M,,0.60M,-77.80M,,0.00,-7.00M,,0.00,,,,,-42.60M,,,
1994-06,71.00M,,1.00M,9.00M,9.00M,,,,8.40M,-11.00M,-22.50M,4.40M,,-32.70M,,-61.80M,,27.60M,,-16.40M,,-16.40M,,-6.50M,-1.20M,-24.10M,,,,,,,,-35.80M,,0.10M,-35.70M,,0.00,-32.20M,,0.00,,,,,,,,
1994-03,62.90M,,0.80M,9.10M,9.10M,,,,-10.70M,-58.90M,8.40M,17.70M,,31.70M,,-1.10M,,61.00M,,-12.70M,,-12.70M,,6.60M,3.00M,-3.10M,,,,,,,,-32.90M,,1.90M,-31.00M,,123.20M,26.90M,,0.00,,,,,,,,
1993-12,73.60M,,-9.00M,8.50M,8.50M,,,,-5.20M,33.80M,-66.40M,-8.20M,,8.60M,,-33.60M,,40.30M,,-14.40M,,-9.60M,,8.40M,-10.90M,-12.10M,,,,,,,,-32.90M,,-0.80M,-31.70M,,0.00,-3.50M,,0.00,,,,,,,,
1993-09,63.00M,,1.00M,8.60M,8.60M,,,,7.20M,-8.60M,-15.60M,19.60M,,-2.20M,,-6.80M,,73.00M,,-16.30M,,-16.30M,,-19.60M,3.60M,-32.30M,,,,,,,,-32.90M,,0.10M,-32.80M,,0.00,7.90M,,0.00,,,,,,,,
1993-06,65.90M,,0.50M,8.80M,8.80M,,,,7.30M,-7.20M,-7.00M,0.80M,,-21.90M,,-35.30M,,47.20M,,-14.60M,,-14.60M,,25.60M,1.80M,12.80M,,,,,,,,-32.90M,,0.30M,-32.60M,,0.00,27.40M,,0.00,,,,,,,,
1993-03,56.40M,,0.70M,8.50M,8.50M,,,,-7.20M,-43.80M,-2.50M,6.10M,,21.90M,,-18.30M,,40.10M,,-12.20M,,-12.20M,,-67.00M,-7.40M,-86.60M,,,,,,,,-31.10M,,1.10M,-30.00M,,168.00M,-76.50M,,0.00,,,,,,,,
1992-12,62.50M,,-0.10M,7.80M,7.80M,,,,-1.30M,21.10M,-53.40M,13.50M,,2.50M,,-15.60M,,57.10M,,-5.40M,,-1.60M,,22.40M,-3.20M,17.60M,,,,,,,,-28.60M,,-2.70M,-33.90M,,0.00,40.80M,,0.00,,,,,,,,
1992-09,55.70M,,0.60M,8.00M,8.00M,,,,-2.20M,-14.60M,-2.80M,-4.50M,,0.20M,,-21.70M,,40.40M,,-11.20M,,-11.20M,,12.90M,-33.00M,-31.30M,,,,,,,,-28.60M,,-0.40M,-29.00M,,0.00,-19.90M,,0.00,,,,,,,,
1992-06,54.80M,,0.60M,7.90M,7.90M,,,,3.70M,2.90M,-13.00M,-1.30M,,-23.20M,,-34.60M,,32.40M,,-8.60M,,-8.60M,,-25.30M,-0.60M,-34.50M,,,,,,,,-28.70M,,0.10M,-28.60M,,0.00,-30.70M,,0.00,,,,,,,,
1992-03,46.80M,,0.40M,7.40M,7.40M,,,,-3.60M,-38.20M,5.50M,11.50M,,8.90M,,-12.30M,,38.70M,,-6.00M,,-6.00M,,-4.30M,-1.30M,-11.60M,,,,,,,,-27.60M,,3.80M,-23.80M,,167.80M,3.30M,,0.00,,,,,,,,
1991-12,59.70M,,-2.30M,7.20M,7.20M,,,,11.50M,29.40M,-50.30M,-12.90M,,10.80M,,-23.00M,,57.40M,,-4.20M,,-1.40M,,-7.40M,-3.00M,-11.80M,,,,,0.00,0.90M,,-27.60M,,-8.00M,-62.00M,,0.00,-16.40M,,0.00,,,,,0.00,,,
1991-09,53.00M,,0.60M,7.60M,7.60M,,,,2.90M,0.00,12.10M,-2.20M,,1.10M,,11.00M,,75.10M,,-5.50M,,-5.50M,,3.60M,2.90M,1.00M,,,,,-4.40M,-4.40M,,-27.70M,,0.50M,-31.60M,,0.00,44.50M,,0.00,,,,,-4.40M,,,
1991-06,51.90M,,0.50M,7.40M,7.40M,,,,8.90M,-8.70M,4.70M,11.70M,,-16.90M,,-9.20M,,59.50M,,-10.00M,,-10.00M,,9.90M,-2.10M,-2.20M,,,,,,,,-27.60M,,0.40M,-27.20M,,0.00,30.10M,,0.00,,,,,,,,
1991-03,43.10M,,0.30M,7.60M,7.60M,,,,-25.60M,-33.70M,7.60M,9.10M,,17.70M,,0.70M,,26.10M,,-8.20M,,-8.20M,,-10.80M,-10.70M,-29.70M,,,,,,,,-26.40M,,7.80M,-18.60M,,131.80M,-22.20M,,0.00,,,,,,,,
1990-12,55.90M,,-0.10M,6.70M,6.70M,,,,-5.60M,39.10M,-45.20M,-22.40M,,-6.40M,,-37.80M,,28.00M,,-10.80M,,-9.00M,,-7.00M,41.20M,25.20M,,,,,,,,-26.50M,,0.00,-66.40M,,0.00,-13.20M,,0.00,,,,,,,,
1990-09,52.10M,,0.90M,7.80M,7.80M,,,,12.30M,-4.10M,-9.00M,15.00M,,3.40M,,5.30M,,78.40M,,-9.60M,,-9.60M,,12.70M,-38.10M,-35.00M,,,,,,,,-26.70M,,-4.90M,-31.60M,,0.00,11.80M,,0.00,,,,,,,,
1990-06,51.60M,,0.40M,7.30M,7.30M,,,,9.00M,4.50M,3.60M,-17.20M,,-21.20M,,-30.30M,,38.00M,,-15.30M,,-15.30M,,9.10M,-17.50M,-23.70M,,,,,,,,-26.80M,,3.10M,-23.70M,,0.00,-9.40M,,0.00,,,,,,,,
1990-03,47.00M,,0.40M,7.00M,7.00M,,,,-19.70M,-50.80M,-3.70M,15.90M,,18.20M,,-20.40M,,14.30M,,-8.80M,,-8.80M,,1.20M,15.00M,7.40M,,,,,,,,-23.20M,,2.70M,-20.50M,,141.40M,1.20M,,0.00,,,,,,,,
