,OperatingRevenue,Revenue,CostofGoodsSold,GrossProfit,SalesandMarketingExpense,GeneralandAdministrativeExpense,SG&AExpense,ResearchandDevelopmentExpense,AmortizationExpense,InvestmentWriteOff,SpecialIncomeandCharges,OperatingInterestExpense,OperatingInterestIncome,NetOperatingInterestIncome,OtherOperatingExpenses,TotalOperatingExpenses,OperatingIncome,Non-OperatingInterestIncome,Non-OperatingInterestExpense,NetNon-OperatingInterestIncomeExpense,OtherIncomeandExpenses,NetInterestIncome,Pre-TaxIncome,ProvisionforIncomeTaxes,IncomefromContinuingOperations,"ExtraordinaryItems,IncomeStatement",PreferredStockDividend,NetIncome,NormalizedIncome,EBITDA,ReconciledDepreciation,EBIT,EPSBasicfromContinuingOperations,EPSBasicfromDiscontinuedOperations,EPSBasicfromExtraordinaries,NormalizedBasicEPS,EPSBasic,EPSDilutedfromContinuingOperations,EPSDilutedfromDiscontinuedOperations,EPSDilutedfromExtraordinaries,NormalizedDilutedEPS,EPSDiluted,AverageBasicSharesOutstanding,AverageDilutedSharesOutstanding
2003-06,276.44M,276.44M,44.92M,231.52M,,,105.37M,88.38M,35.53M,,-11.34M,,,,3.80M,233.08M,-1.564M,,,,-11.34M,,-9.748M,-1.895M,-7.853M,,,-7.853M,1.286M,59.27M,60.83M,-1.564M,-0.03,0.0,,0.0041,-0.03,-0.03,0.0,,0.0041,-0.03,267.89M,267.89M
2003-03,263.05M,263.05M,57.36M,205.69M,,,110.29M,85.12M,20.92M,,-5.209M,,,,,216.34M,-10.64M,,,,-5.209M,,-16.52M,-3.487M,-13.04M,,,-13.04M,-8.928M,42.88M,53.52M,-10.64M,-0.05,0.0,,-0.0347,-0.05,-0.05,0.0,,-0.0347,-0.05,268.36M,268.36M
2002-12,271.17M,271.17M,76.11M,195.06M,,,143.50M,85.32M,16.62M,,202.68M,,,,,18.35M,176.71M,,,,202.68M,,149.50M,72.41M,77.08M,,,77.08M,-44.52M,253.35M,76.64M,176.71M,0.3,0.0,,-0.1502,0.3,0.3,0.0,,-0.1045,0.3,270.10M,300.62M
2002-09,327.24M,327.24M,58.72M,268.52M,,,129.48M,84.65M,32.50M,,-7.092M,,,,,246.63M,21.89M,,,,-7.092M,,14.80M,6.569M,8.231M,,,8.231M,12.49M,82.24M,60.35M,21.89M,0.03,0.0,,0.0459,0.03,0.03,0.0,,0.0457,0.03,267.30M,271.44M
2002-06,344.82M,344.82M,75.95M,268.87M,96.17M,25.55M,121.72M,78.26M,26.50M,,-92.74M,,,,,226.48M,42.40M,,,,-92.74M,,-50.35M,-4.029M,-46.32M,,,-46.32M,39.00M,100.86M,58.46M,42.40M,-0.18,0.0,,0.1596,-0.18,-0.18,0.0,,0.1596,-0.18,251.25M,251.25M
2002-03,344.71M,344.71M,67.29M,277.42M,,,123.21M,78.19M,22.14M,,-23.80M,,,,,223.54M,53.88M,,,,-23.80M,,30.07M,8.727M,21.34M,,,21.34M,38.24M,106.34M,52.46M,53.88M,0.09,0.0,,0.1577,0.09,0.08,0.0,,0.1448,0.08,249.72M,260.87M
2001-12,378.20M,378.20M,94.24M,283.96M,,,140.87M,78.20M,1.186M,,0.605M,,,,,73.23M,210.73M,,,,0.605M,,61.68M,22.75M,38.93M,,,38.93M,38.55M,264.10M,53.37M,210.73M,0.1554,,,0.1538,0.1554,0.15,0.0,,0.1485,0.15,246.86M,251.44M
2001-09,360.01M,360.01M,97.53M,262.48M,,,124.23M,74.25M,26.48M,,167.96M,,,,,224.96M,37.52M,,,,167.96M,,205.49M,78.06M,127.42M,,,127.42M,23.27M,94.03M,56.50M,37.52M,0.52,0.0,,0.0974,0.52,0.5,0.0,,0.0947,0.5,246.49M,256.98M
2001-06,347.58M,347.58M,86.50M,261.07M,,,123.62M,73.90M,33.10M,,-67.17M,,,,,230.62M,30.45M,,,,-67.17M,,-36.72M,-7.829M,-28.89M,,,-28.89M,23.96M,92.65M,62.20M,30.45M,-0.12,0.0,,0.0931,-0.12,-0.12,0.0,,0.0931,-0.12,248.02M,248.02M
2001-03,344.66M,344.66M,92.34M,252.32M,,,124.24M,70.98M,27.93M,,-17.46M,,,,17.08M,240.24M,12.08M,,,,-17.46M,,11.70M,7.882M,3.822M,,,3.822M,14.30M,70.44M,58.36M,12.08M,0.02,0.0,,0.0626,0.02,0.01,0.0,,0.0502,0.01,245.99M,260.45M
2000-12,390.91M,390.91M,101.07M,289.84M,,,135.17M,68.99M,31.71M,,3.835M,,,,-3.28M,232.59M,57.25M,,,,3.835M,,57.81M,15.32M,42.49M,,,42.49M,39.67M,113.65M,56.40M,57.25M,0.17,0.0,,0.1585,0.17,0.16,0.0,,0.1494,0.16,244.63M,265.38M
2000-09,332.46M,332.46M,96.10M,236.36M,,,121.97M,66.61M,20.65M,,-8.528M,,,,10.10M,219.33M,17.03M,,,,-8.528M,,18.60M,4.929M,13.67M,,,13.67M,19.94M,71.62M,54.60M,17.03M,0.06,0.0,,0.0856,0.06,0.05,0.0,,0.0738,0.05,244.60M,262.82M
2000-06,298.68M,298.68M,88.01M,210.67M,,,118.78M,65.77M,19.87M,,1.407M,,,,,204.42M,6.248M,,,,1.407M,,7.655M,2.029M,5.626M,,,5.626M,4.592M,53.23M,46.98M,6.248M,0.02,0.0,,0.0158,0.02,0.02,0.0,,0.016,0.02,244.40M,258.58M
2000-03,257.49M,257.49M,83.67M,173.82M,,,108.70M,62.57M,19.67M,,1.046M,,,,,190.94M,-17.11M,,,,1.046M,,-16.07M,-4.258M,-11.81M,,,-11.81M,-12.58M,31.73M,48.84M,-17.11M,-0.05,0.0,,-0.0531,-0.05,-0.05,0.0,,-0.0531,-0.05,244.63M,244.63M
1999-12,268.02M,268.02M,56.20M,211.82M,,,125.10M,59.50M,,,-12.70M,,,,,230.60M,-18.78M,,,,-12.70M,,-31.50M,-9.00M,-22.50M,,,-22.50M,-13.43M,27.22M,46.00M,-18.78M,-0.09,0.0,,-0.0527,-0.09,-0.09,0.0,,-0.0527,-0.09,243.33M,243.33M
1999-09,225.90M,225.90M,57.20M,168.70M,,,110.60M,58.40M,,,-11.70M,,,,,210.20M,-41.50M,,,,-11.70M,,-53.20M,-11.80M,-41.40M,,,-41.40M,-32.30M,-0.303M,41.20M,-41.50M,-0.17,0.0,,-0.1326,-0.17,-0.17,0.0,,-0.1326,-0.17,243.53M,243.53M
1999-06,264.19M,264.19M,53.70M,210.49M,,,103.80M,50.40M,,,-19.50M,,,,,195.20M,15.29M,,,,-19.50M,,-4.20M,-1.20M,-3.00M,,,-3.00M,10.93M,56.29M,39.10M,15.29M,-0.01,0.0,,0.0364,-0.01,-0.01,0.0,,0.0364,-0.01,300.00M,300.00M
1999-03,335.19M,335.19M,53.81M,281.38M,,,101.32M,50.87M,,,-14.06M,,,,,189.79M,91.59M,,,,-14.06M,,77.54M,24.67M,52.86M,,,52.86M,62.45M,129.19M,37.60M,91.59M,0.22,0.0,,0.2599,0.22,0.2,0.0,,0.237,0.2,240.07M,259.25M
1998-12,376.50M,376.50M,56.30M,320.20M,,,118.80M,55.50M,,,-42.80M,,,,,211.20M,109.00M,,,,-42.80M,,65.90M,18.40M,47.50M,,,47.50M,78.35M,145.90M,36.90M,109.00M,0.21,0.0,,0.3258,0.21,0.2,0.0,,0.2858,0.2,266.42M,359.45M
1998-09,334.20M,334.20M,61.00M,273.20M,,,109.00M,50.20M,,,-155.90M,,,,,185.30M,87.90M,,,,-155.90M,,-68.20M,12.30M,-80.50M,,,-80.50M,13.04M,114.00M,26.10M,87.90M,-0.91,0.0,,-0.4669,-0.91,-0.91,0.0,,-0.513,-0.91,211.11M,235.60M
1998-06,315.70M,315.70M,63.40M,252.30M,,,101.20M,49.40M,,,3.40M,,,,,173.40M,78.90M,,,,3.40M,,82.30M,22.30M,60.00M,,,60.00M,57.52M,106.10M,27.20M,78.90M,0.26,0.0,,0.2493,0.26,0.23,0.0,,0.2205,0.23,230.77M,260.87M
