,NetIncome,GainandLossonSaleofPPE,Gain(Loss)onInvestmentSecurities,EarningsLossfromEq.Investments,OperatingGainsLosses,DepreciationExpense,AmortizationExpenseCF,TotalDepreciationandAmortization,"TotalDepreciation,Amortization,Depletion",DeferredTaxes,AmortizationofSecurities,AssetImpairmentCharge,StockBasedCompensation,OtherNoncashItems,ChangeinReceivables,ChangeinInventories,ChangeinPrepaidAssets,ChangeinPayablesandAccruedExpense,ChangeinOtherCurrentAssets,ChangeinOtherCurrentLiabilities,ChangeinOtherWorkingCap,ChangesinWorkingCapital,CashfromOperations,NetChangeinCapitalExpenditures,SaleofPPE,NetChangeinPP&E,NetChangeinIntangibles,NetDivestitures(Acquisitions),TotalNetChangeinInvestments,NetOtherInvestingChanges,CashfromInvesting,NetChangeinLongTermDebt,NetChangeinShortTermDebt,NetDebtIssuance,CommonStockIssuance,CommonStockPayments,NetCommonEquityIssued(Purchased),TotalDividendsPaid,ProceedsfromStockOptionExercised,CashfromOtherFinancingActivities,CashfromFinancing,BeginningCash,ChangeinCash,CashForeignExchangeAdjustment,EndingCash,IssuanceofCapitalStock,IssuanceofDebt,DebtRepayment,RepurchaseofCapitalStock,IncomeTaxPaidSupplementalData,InterestPaidSupplementalData
2005-09,21.27M,,,,37.67M,,,48.32M,48.32M,-5.369M,,,,2.179M,8.38M,-4.807M,-15.99M,-10.40M,-0.265M,-15.26M,-12.10M,-50.44M,53.63M,-16.69M,0.00,-16.69M,,-18.00M,2.735M,-2.75M,-34.70M,,,-0.007M,57.49M,,57.49M,,,,57.49M,543.56M,76.41M,-1.195M,618.77M,57.49M,,,,,
2005-06,0.483M,,,,92.30M,,,51.05M,51.05M,2.591M,,,,-0.048M,-44.70M,-0.952M,0.754M,21.82M,0.265M,10.83M,-5.404M,-17.39M,128.99M,-13.67M,33.62M,19.95M,,-276.03M,3.659M,-4.504M,-256.92M,,,-0.024M,12.33M,,12.33M,,,,12.30M,656.82M,-115.63M,2.368M,543.56M,12.33M,,,,,
2005-03,1.023M,,,,50.35M,,,44.35M,44.35M,-2.591M,,,,,45.70M,0.707M,-1.807M,-60.55M,,-15.60M,5.404M,-26.14M,66.99M,-19.59M,,-19.59M,,-1.411M,122.81M,-2.43M,99.38M,,,-0.027M,39.59M,,39.59M,,,,39.56M,448.52M,205.94M,2.366M,656.82M,39.59M,,,,,
2004-12,59.80M,,,,7.324M,179.20M,31.41M,72.10M,72.10M,,,,,-1.008M,-41.73M,-0.188M,1.06M,24.85M,16.42M,40.40M,-24.74M,16.06M,138.58M,-14.99M,0.00,-14.99M,,0.00,-38.62M,-8.82M,-62.43M,,,-0.016M,9.476M,-0.002M,9.474M,,,0.00,9.458M,361.63M,85.60M,1.283M,448.52M,9.476M,,,-0.002M,,
2004-09,19.63M,,,,41.79M,-92.87M,-16.15M,29.49M,29.49M,,,,,1.008M,-31.90M,3.851M,1.498M,-11.28M,-1.05M,-4.862M,24.74M,-18.99M,72.92M,-13.10M,0.00,-13.10M,,-18.37M,13.42M,-4.043M,-22.08M,,,-0.033M,19.98M,-24.26M,-4.281M,,,0.00,-4.314M,389.72M,46.52M,0.736M,361.63M,19.98M,,,-24.26M,,
2004-06,3.803M,,,,-1.12M,92.87M,16.15M,63.66M,63.66M,,,,,,16.31M,1.896M,-3.944M,2.985M,1.05M,17.16M,-0.441M,35.01M,101.36M,-15.86M,3.625M,-12.23M,,-96.80M,49.26M,-7.764M,-67.54M,,,1.972M,5.505M,-69.85M,-64.34M,,,-1.92M,-64.29M,345.90M,-30.47M,-1.063M,389.72M,5.505M,,,-69.85M,,
2004-03,-8.755M,,,,18.80M,,,45.36M,45.36M,,,,,,28.51M,-9.114M,-2.024M,-14.55M,,1.00M,0.441M,4.259M,59.66M,-17.83M,,-17.83M,,,-38.76M,-6.303M,-62.90M,,,-2.293M,40.36M,,40.36M,,,,38.07M,309.18M,34.83M,1.894M,345.90M,40.36M,,,,,
2003-12,15.23M,,,,-20.37M,48.26M,15.57M,63.83M,63.83M,,,,,,-103.72M,-1.785M,4.537M,-31.95M,98.45M,95.85M,,61.39M,60.04M,-27.88M,0.00,-27.88M,,-41.39M,,-36.64M,-163.00M,,,-0.432M,88.68M,-2.88M,85.80M,,,-56.44M,28.93M,394.20M,-74.03M,4.002M,309.18M,88.68M,,,-2.88M,,
2003-09,-5.829M,,,,64.64M,48.13M,6.421M,54.55M,54.55M,,,,,,-0.457M,-3.864M,-8.498M,15.39M,5.538M,-40.03M,-8.393M,-40.32M,73.05M,-17.54M,9.147M,-8.391M,,-36.22M,,-27.22M,-71.83M,,,384.82M,25.53M,-148.99M,-123.46M,,,-89.66M,171.70M,207.21M,172.92M,14.07M,394.20M,25.53M,,,-148.99M,,
2003-06,-13.93M,,,,1.954M,47.78M,13.06M,60.83M,60.83M,,,,,,-14.48M,-2.517M,-3.802M,5.717M,-2.052M,-3.238M,8.393M,-11.98M,36.88M,6.152M,,6.152M,,-104.64M,,-3.833M,-102.32M,,,24.35M,6.906M,0.00,6.906M,,,,31.25M,239.40M,-34.18M,2.00M,207.21M,6.906M,,,0.00,,
2003-03,-13.04M,,,,25.35M,47.44M,6.081M,53.52M,53.52M,,,,,,9.399M,0.854M,0.943M,-95.85M,17.36M,2.50M,,-64.80M,1.035M,-43.61M,,-43.61M,,,,-5.569M,-49.18M,,,-42.59M,21.89M,-61.96M,-40.07M,,,,-82.67M,371.33M,-130.81M,-1.118M,239.40M,21.89M,,,-61.96M,,
2002-12,77.08M,,,,56.15M,,,76.64M,76.64M,-24.16M,,,,,-255.33M,-2.039M,25.60M,47.76M,210.99M,64.73M,,91.72M,277.43M,-29.34M,,-29.34M,,5.544M,1.675M,10.83M,-11.29M,,,-43.38M,3.62M,-23.61M,-19.99M,,,,-63.37M,164.14M,202.76M,4.43M,371.33M,3.62M,,,-23.61M,,
2002-09,8.231M,,,,9.193M,,,60.35M,60.35M,-0.545M,,,,,9.684M,-0.361M,17.80M,-11.20M,97.08M,-50.11M,,62.90M,140.13M,-27.80M,,-27.80M,,-68.74M,9.949M,-5.854M,-92.45M,,,94.56M,21.19M,-100.03M,-78.84M,,,-138.77M,-123.05M,239.19M,-75.38M,0.325M,164.14M,21.19M,,,-100.03M,,
2002-06,-46.32M,,,,57.28M,,,58.46M,58.46M,-0.119M,,,,,17.50M,-0.298M,8.407M,30.69M,-159.02M,34.93M,,-67.78M,1.519M,-36.47M,,-36.47M,,48.10M,3.88M,-11.50M,4.003M,,,-0.41M,7.086M,-15.75M,-8.664M,,,58.37M,49.29M,179.22M,54.82M,5.145M,239.19M,7.086M,,,-15.75M,,
2002-03,21.34M,,,,-2.256M,,,52.46M,52.46M,0.672M,,,,,-66.76M,1.897M,-22.23M,-75.01M,-7.919M,26.38M,,-143.64M,-71.42M,-31.54M,,-31.54M,,-19.58M,23.82M,-9.041M,-36.35M,,,-0.30M,45.33M,-42.40M,2.929M,,,80.40M,83.03M,206.31M,-24.74M,-2.347M,179.22M,45.33M,,,-42.40M,,
2001-12,38.93M,,,,29.15M,,,53.37M,53.37M,-15.92M,,,,,-299.80M,-4.326M,-18.58M,-3.483M,211.34M,29.03M,,-85.82M,19.70M,-34.17M,,-34.17M,,9.10M,37.60M,23.24M,35.78M,,,-10.87M,51.80M,-45.67M,6.127M,,,-1.435M,-6.177M,155.86M,49.30M,1.148M,206.31M,51.80M,,,-45.67M,,
2001-09,127.42M,,,,22.89M,,,56.50M,56.50M,2.874M,,,,,92.89M,-4.806M,43.87M,-3.81M,-49.12M,20.53M,,99.56M,309.25M,-45.44M,,-45.44M,,0.00,5.933M,-24.94M,-64.45M,,,9.852M,12.05M,-151.99M,-139.95M,,,-90.36M,-220.46M,130.04M,24.35M,1.479M,155.86M,12.05M,,,-151.99M,,
2001-06,-28.89M,,,,56.19M,,,62.20M,62.20M,-0.988M,,,,,-72.31M,-3.619M,-8.107M,25.31M,-2.357M,8.736M,,-52.35M,36.16M,-41.58M,,-41.58M,,-2.188M,-0.589M,3.175M,-41.18M,,,-0.63M,12.07M,-39.48M,-27.42M,,,64.01M,35.96M,100.62M,30.94M,-1.525M,130.04M,12.07M,,,-39.48M,,
2001-03,3.822M,,,,10.25M,,,58.36M,58.36M,0.851M,,,,,11.40M,-3.765M,-6.846M,-33.52M,,5.102M,,-27.63M,45.66M,-33.13M,,-33.13M,,,41.31M,-23.71M,-15.53M,,,-0.656M,23.96M,-61.89M,-37.93M,,,26.35M,-12.23M,85.22M,17.90M,-2.505M,100.62M,23.96M,,,-61.89M,,
2000-12,42.49M,,,,-16.74M,,,56.40M,56.40M,-27.78M,,,,,-43.46M,-82.05M,19.66M,-5.522M,,53.84M,,-57.54M,-3.173M,-40.90M,,-40.90M,,0.00,-45.95M,2.779M,-84.07M,,,-0.883M,48.03M,-74.56M,-26.53M,,,78.24M,50.82M,122.19M,-36.42M,-0.553M,85.22M,48.03M,,,-74.56M,,
2000-09,13.67M,,,,10.25M,,,54.60M,54.60M,-1.278M,,,,,-69.32M,77.12M,-11.51M,10.42M,,-27.09M,,-20.37M,56.86M,-31.92M,,-31.92M,,0.00,1.514M,-25.41M,-55.82M,,,-1.058M,28.35M,-59.76M,-31.41M,,,43.50M,11.02M,113.16M,12.07M,-3.043M,122.19M,28.35M,,,-59.76M,,
2000-06,5.626M,,,,-10.76M,,,46.98M,46.98M,0.00,,,,,-89.74M,0.351M,-21.61M,37.96M,,68.51M,,-4.54M,37.31M,-24.92M,,-24.92M,,0.00,1.00M,-2.427M,-26.35M,,,-1.07M,19.90M,-67.93M,-48.03M,,,42.01M,-7.09M,110.96M,3.871M,-1.67M,113.16M,19.90M,,,-67.93M,,
2000-03,-11.81M,,,,6.515M,,,48.84M,48.84M,0.014M,,,,,24.48M,-1.16M,-2.847M,-27.28M,,14.34M,,7.54M,51.10M,-21.73M,,-21.73M,,-4.503M,1.106M,-34.63M,-59.76M,,,-20.69M,21.04M,-30.70M,-9.657M,,,38.80M,8.449M,111.40M,-0.211M,-0.226M,110.96M,21.04M,,,-30.70M,,
1999-12,-22.50M,,,,18.00M,,,46.00M,46.00M,-14.90M,,,,-0.30M,-37.00M,-7.20M,,13.20M,28.20M,0.60M,,-2.20M,24.10M,-45.40M,,-45.40M,,,4.30M,-35.90M,-77.00M,,,-14.50M,35.90M,-33.60M,2.30M,,,65.20M,53.00M,113.40M,0.10M,-2.00M,111.40M,35.90M,,,-33.60M,,
1999-09,-41.50M,,,,26.10M,,,41.20M,41.20M,-0.10M,,,,-3.30M,-23.70M,-3.00M,,-7.50M,1.00M,-7.30M,,-40.50M,-18.10M,-123.90M,,-123.90M,,,20.90M,5.20M,-97.80M,,,38.10M,5.70M,-33.10M,-27.40M,,,25.30M,36.00M,193.00M,-79.90M,0.20M,113.40M,5.70M,,,-33.10M,,
1999-06,-2.962M,,,,4.292M,,,39.10M,39.10M,-0.116M,,,,3.40M,-9.054M,-1.592M,,43.22M,-9.51M,8.061M,,31.13M,74.84M,-41.37M,,-41.37M,,,6.535M,-17.96M,-52.79M,,,-84.49M,17.96M,-28.32M,-10.36M,,,28.86M,-65.99M,238.18M,-43.94M,-1.258M,193.00M,17.96M,,,-28.32M,,
1999-03,52.86M,,,,14.61M,,,37.60M,37.60M,13.72M,,,,,-26.95M,1.792M,,-53.02M,-7.19M,12.94M,,-72.43M,46.36M,-32.83M,,-32.83M,,,20.56M,-14.64M,-26.91M,,,-50.31M,31.64M,-20.78M,10.86M,,,48.24M,8.794M,209.07M,28.24M,0.858M,238.18M,31.64M,,,-20.78M,,
1998-12,47.50M,,,,8.00M,,,36.90M,36.90M,-12.00M,,,,0.10M,-144.00M,-6.40M,,56.90M,-3.10M,33.30M,,-63.30M,17.20M,-283.60M,,-283.60M,,,11.40M,-7.40M,-279.60M,,,134.00M,42.60M,-20.80M,21.80M,,,83.70M,239.50M,232.30M,-22.90M,-0.30M,209.10M,42.60M,,,-20.80M,,
1998-09,-80.40M,,,,145.40M,,,26.10M,26.10M,38.70M,,,,-0.50M,-98.20M,-1.90M,,2.60M,1.30M,37.90M,,-58.30M,71.00M,-77.70M,,-77.70M,,,94.70M,-76.50M,-59.50M,,,-0.20M,17.90M,-51.90M,-34.00M,,,101.10M,66.90M,152.10M,78.40M,1.80M,232.30M,17.90M,,,-51.90M,,
1998-06,58.40M,,,,4.20M,,,27.20M,27.20M,-6.00M,,,,0.50M,-84.40M,5.90M,,19.50M,3.90M,7.20M,,-47.90M,36.40M,-30.20M,,-30.20M,,,-14.60M,-13.20M,-58.00M,,,-0.70M,20.70M,-65.10M,-44.40M,,,27.10M,-18.00M,179.20M,-39.60M,-1.50M,152.10M,20.70M,,,-65.10M,,
